gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,attOboxTarget,attMissHighRight,cleanSheet,attMissHigh,attHdMiss,attCmissRight,attOboxBlocked,errorLeadToShot,sixYardBlock,shieldBallOop,handBall,attFreekickTotal,postScoringAtt,attIboxPost,attOneOnOne,penaltyWon,freekickTotal,hitWoodwork,attMissHighLeft,attCmissHigh,attPenGoal,attSvLowRight,attFreekickGoal,attPostHigh,attObxRight,attGoalHighRight,attSvHighRight,attHdPost,attPostRight,goalsConcededObox,attObxLeft,shotFastbreak,totalFastbreak,attFastbreak,midfielderGoals,totalPullBack,attCmissHighLeft,goalAssistSetplay,goalAssistDeadball,attHdGoal,attLgRight,attGoalHighCentre,attemptsIbox,attemptsObox,contentiousDecision,touchesInOppBox,attCorner,defenderGoals,attOboxPost,accuratePullBack,attPostLeft,attFreekickMiss,attObxdRight,attFreekickPost,attLgCentre,ownGoals,attFreekickTarget,attIboxOwnGoal,clearanceOffLine,secondYellow,penaltyConceded,penaltyFaced,penGoalsConceded,goalFastbreak,attObxdLeft
28,695175,2014-03-25 19:45:00,"Old Trafford, Manchester",75203,Home,Manchester United,Manchester City,0,3,L,0,1,0,0,,,58.0,,,,1.0,38.0,33.0,3.0,1.0,1.0,,4.0,176.0,,4.0,7.0,,3.0,8.0,4.0,133.0,137.0,43.0,10.0,15.0,4.0,,,,,1.0,30.0,11.0,33.0,5.0,18.0,24.0,245.0,,0.0,137.0,12.0,1.0,1.0,2.0,3.0,,76.0,69.0,6.0,82.0,5.0,1.0,25.0,28.0,8.0,1.0,137.0,1.0,10.0,154.0,756.0,8.0,7.0,,23.0,451.0,31.0,5.0,18.0,,,2.0,4.0,2.0,26.0,533.0,65.0,,1.0,83090,3.0,222.0,1.0,14.0,,251.0,7.0,,28.0,8.0,48.0,,1.0,2.0,,9.0,3.0,5.0,54.0,463.0,8.0,7.0,,15.0,69.0,,,,0.0,1.0,8.0,1.0,,3.0,2.0,0.0,4.0,,1.0,52.7,26.0,1.0,3.0,,2.0,3.0,51.0,5.0,,545.0,23.0,11.0,11.0,3.0,22.0,,2.0,324.0,8.0,16.0,12.0,108.0,23.0,,2.0,18.0,16.0,3.0,7.0,3.0,11.0,,2.0,10.0,5.0,,,,1.0,1.0,,2.0,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
29,695188,2014-03-08 12:45:00,"The Hawthorns, West Bromwich",26184,Away,Manchester United,West Bromwich Albion,3,0,W,1,0,0,0,,2.0,65.0,,2.0,,4.0,33.0,44.0,3.0,3.0,3.0,,1.0,176.0,,10.0,4.0,3.0,3.0,12.0,5.0,98.0,147.0,53.0,14.0,10.0,1.0,3.0,,2.0,,2.0,30.0,19.0,44.0,4.0,21.0,35.0,208.0,,0.0,128.0,10.0,2.0,,,3.0,1.0,53.0,73.0,9.0,82.0,1.0,1.0,26.0,22.0,8.0,3.0,147.0,2.0,10.0,105.0,701.0,7.0,7.0,1.0,15.0,370.0,34.0,5.0,22.0,3.0,,2.0,4.0,3.0,25.0,444.0,58.0,2.0,1.0,83090,4.0,181.0,,15.0,2.0,204.0,7.0,1.0,22.0,9.0,50.0,3.0,1.0,1.0,2.0,17.0,4.0,6.0,53.0,379.0,11.0,12.0,2.0,22.0,83.0,1.0,,,0.0,3.0,3.0,3.0,3.0,,4.0,0.0,8.0,3.0,3.0,55.0,23.0,1.0,1.0,1.0,1.0,4.0,48.0,5.0,1.0,461.0,15.0,14.0,21.0,5.0,24.0,2.0,2.0,287.0,6.0,18.0,12.0,97.0,24.0,2.0,2.0,22.0,26.0,,10.0,3.0,9.0,,2.0,7.0,5.0,1.0,,1.0,2.0,,,,,1.0,2.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,
30,695195,2014-03-16 13:30:00,"Old Trafford, Manchester",75225,Home,Manchester United,Liverpool,0,3,L,0,1,1,0,,,64.0,,,2.0,6.0,33.0,25.0,2.0,4.0,4.0,,1.0,147.0,,4.0,10.0,,4.0,7.0,1.0,112.0,138.0,67.0,13.0,9.0,1.0,2.0,,,,,18.0,16.0,25.0,3.0,15.0,21.0,209.0,,0.0,129.0,13.0,1.0,,,2.0,,92.0,67.0,3.0,49.0,1.0,2.0,15.0,21.0,7.0,2.0,138.0,1.0,10.0,103.0,638.0,5.0,6.0,,15.0,329.0,30.0,4.0,16.0,,,1.0,2.0,4.0,20.0,396.0,59.0,,,83090,8.0,138.0,1.0,6.0,,149.0,4.0,,21.0,7.0,73.0,1.0,3.0,5.0,,9.0,8.0,5.0,49.0,343.0,12.0,15.0,2.0,17.0,66.0,,,,0.0,2.0,4.0,2.0,,3.0,3.0,1.0,2.0,,3.0,48.5,18.0,6.0,1.0,1.0,5.0,6.0,41.0,3.0,,411.0,15.0,26.0,10.0,6.0,15.0,2.0,4.0,280.0,6.0,14.0,17.0,90.0,22.0,,2.0,16.0,31.0,3.0,10.0,3.0,22.0,,2.0,8.0,3.0,,2.0,,1.0,3.0,,,,,,2.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,3.0,3.0,2.0,,
31,695210,2014-03-22 17:30:00,"Boleyn Ground, London",34237,Away,Manchester United,West Ham United,2,0,W,2,0,0,0,3.0,1.0,59.0,,1.0,,2.0,20.0,53.0,4.0,8.0,1.0,1.0,1.0,170.0,,6.0,7.0,2.0,1.0,12.0,7.0,131.0,129.0,44.0,16.0,31.0,4.0,3.0,,1.0,2.0,2.0,22.0,13.0,53.0,6.0,14.0,14.0,252.0,1.0,0.0,142.0,8.0,,,1.0,,2.0,60.0,83.0,6.0,86.0,1.0,2.0,16.0,6.0,5.0,4.0,129.0,2.0,6.0,97.0,705.0,10.0,8.0,1.0,13.0,403.0,26.0,5.0,30.0,1.0,,1.0,4.0,6.0,18.0,472.0,59.0,2.0,,83090,5.0,165.0,2.0,11.0,,180.0,,1.0,6.0,11.0,60.0,4.0,2.0,6.0,2.0,13.0,4.0,3.0,41.0,411.0,8.0,7.0,1.0,28.0,88.0,,,,0.0,1.0,12.0,1.0,1.0,,4.0,0.0,4.0,,2.0,55.2,18.0,1.0,2.0,1.0,6.0,2.0,55.0,7.0,2.0,484.0,13.0,9.0,7.0,7.0,17.0,2.0,3.0,326.0,6.0,14.0,13.0,107.0,22.0,2.0,5.0,30.0,16.0,,11.0,2.0,14.0,,5.0,1.0,7.0,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,2.0,,,1.0,,,,1.0,,,,,,2.0,3.0,2.0,,1.0,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0
32,695215,2014-03-29 12:45:00,"Old Trafford, Manchester",75368,Home,Manchester United,Aston Villa,4,1,W,2,1,0,0,,4.0,51.0,1.0,2.0,,1.0,33.0,34.0,2.0,,,,2.0,187.0,1.0,7.0,6.0,4.0,4.0,7.0,6.0,105.0,140.0,54.0,9.0,9.0,1.0,,,2.0,,,17.0,14.0,34.0,,13.0,34.0,207.0,,0.0,136.0,10.0,,,,2.0,,78.0,52.0,6.0,75.0,1.0,1.0,17.0,16.0,2.0,,140.0,3.0,5.0,109.0,676.0,3.0,11.0,,8.0,373.0,30.0,6.0,25.0,2.0,,2.0,2.0,1.0,26.0,458.0,58.0,1.0,2.0,83090,5.0,190.0,1.0,13.0,2.0,216.0,5.0,3.0,16.0,12.0,45.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0,62.0,390.0,17.0,4.0,2.0,23.0,81.0,,,,0.0,3.0,5.0,,4.0,1.0,1.0,0.0,7.0,2.0,2.0,55.9,21.0,,,,3.0,2.0,46.0,,,476.0,8.0,19.0,13.0,1.0,24.0,,1.0,277.0,6.0,13.0,14.0,93.0,18.0,3.0,2.0,25.0,18.0,,6.0,3.0,11.0,,2.0,7.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,,1.0,2.0,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
33,695227,2014-04-05 15:00:00,"St. James' Park, Newcastle",52081,Away,Manchester United,Newcastle United,4,0,W,1,0,0,0,,3.0,50.0,1.0,1.0,,,21.0,36.0,2.0,4.0,4.0,3.0,,162.0,1.0,,7.0,4.0,4.0,7.0,4.0,128.0,130.0,46.0,8.0,17.0,,1.0,,3.0,,,17.0,9.0,36.0,5.0,27.0,25.0,220.0,1.0,0.0,112.0,6.0,3.0,,,1.0,,49.0,72.0,3.0,75.0,3.0,1.0,12.0,13.0,3.0,1.0,130.0,4.0,7.0,136.0,722.0,4.0,2.0,,13.0,418.0,20.0,3.0,25.0,3.0,,0.0,2.0,4.0,33.0,485.0,59.0,3.0,,83090,3.0,208.0,1.0,8.0,,227.0,3.0,1.0,13.0,11.0,45.0,4.0,2.0,5.0,3.0,12.0,7.0,6.0,49.0,428.0,16.0,5.0,,24.0,82.0,,,,0.0,2.0,4.0,4.0,3.0,,,0.0,,3.0,,56.4,32.0,,1.0,,5.0,,48.0,5.0,,501.0,13.0,9.0,13.0,4.0,17.0,,2.0,291.0,4.0,26.0,12.0,77.0,21.0,1.0,5.0,25.0,13.0,,7.0,3.0,16.0,,5.0,4.0,5.0,,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,3.0,4.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
34,695234,2014-05-06 19:45:00,"Old Trafford, Manchester",75341,Home,Manchester United,Hull City,3,1,W,1,0,0,0,3.0,2.0,61.0,1.0,,1.0,2.0,48.0,22.0,8.0,9.0,2.0,1.0,1.0,149.0,2.0,6.0,14.0,3.0,4.0,14.0,7.0,195.0,92.0,47.0,18.0,14.0,2.0,,,,1.0,1.0,15.0,10.0,22.0,6.0,35.0,29.0,357.0,,0.0,217.0,13.0,1.0,1.0,1.0,1.0,1.0,91.0,110.0,10.0,118.0,2.0,1.0,10.0,13.0,3.0,1.0,92.0,2.0,,175.0,799.0,13.0,2.0,,13.0,569.0,23.0,3.0,18.0,1.0,1.0,1.0,,4.0,14.0,623.0,72.0,,1.0,83090,7.0,232.0,1.0,6.0,1.0,242.0,8.0,2.0,13.0,2.0,51.0,,,4.0,2.0,6.0,2.0,1.0,58.0,583.0,8.0,4.0,,6.0,48.0,,,,0.0,1.0,,,3.0,1.0,2.0,0.0,3.0,1.0,,55.3,13.0,4.0,1.0,,4.0,7.0,43.0,8.0,1.0,637.0,13.0,13.0,19.0,4.0,18.0,4.0,3.0,410.0,9.0,33.0,14.0,179.0,29.0,3.0,,18.0,12.0,,14.0,3.0,21.0,,,2.0,8.0,2.0,,,,,1.0,5.0,,1.0,,,2.0,,,,,2.0,,2.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,
35,695244,2014-04-20 16:10:00,"Goodison Park, Liverpool",39436,Away,Manchester United,Everton,0,2,L,0,2,0,0,,,52.0,,,1.0,1.0,33.0,32.0,6.0,3.0,3.0,,2.0,180.0,,4.0,5.0,,3.0,6.0,2.0,163.0,147.0,42.0,9.0,15.0,1.0,,,,2.0,2.0,19.0,11.0,32.0,5.0,27.0,35.0,313.0,,0.0,211.0,8.0,1.0,,,2.0,1.0,58.0,93.0,3.0,88.0,2.0,1.0,14.0,13.0,2.0,2.0,147.0,1.0,13.0,167.0,794.0,6.0,1.0,,12.0,499.0,23.0,3.0,14.0,,,2.0,5.0,3.0,18.0,582.0,76.0,,,83090,1.0,202.0,1.0,10.0,1.0,217.0,3.0,,13.0,10.0,52.0,,4.0,5.0,,13.0,4.0,6.0,58.0,511.0,8.0,7.0,,10.0,80.0,,,,0.0,,6.0,2.0,,2.0,1.0,0.0,3.0,,1.0,61.3,17.0,3.0,1.0,,5.0,4.0,51.0,5.0,1.0,598.0,12.0,16.0,10.0,3.0,30.0,1.0,1.0,400.0,5.0,27.0,12.0,155.0,16.0,,1.0,14.0,17.0,2.0,6.0,3.0,12.0,,1.0,4.0,5.0,1.0,,,,1.0,,3.0,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
36,695255,2014-04-26 17:30:00,"Old Trafford, Manchester",75208,Home,Manchester United,Norwich City,4,0,W,1,0,0,0,2.0,3.0,70.0,1.0,2.0,2.0,4.0,46.0,34.0,9.0,6.0,2.0,1.0,5.0,185.0,1.0,6.0,8.0,4.0,2.0,19.0,11.0,166.0,129.0,55.0,25.0,12.0,4.0,5.0,,3.0,1.0,4.0,21.0,14.0,34.0,3.0,35.0,40.0,324.0,1.0,0.0,212.0,13.0,1.0,1.0,1.0,,2.0,87.0,114.0,13.0,113.0,,1.0,18.0,19.0,4.0,3.0,129.0,3.0,3.0,173.0,846.0,16.0,9.0,,14.0,549.0,27.0,5.0,22.0,3.0,,1.0,3.0,6.0,22.0,624.0,70.0,1.0,,83090,5.0,241.0,2.0,14.0,,255.0,5.0,2.0,19.0,10.0,53.0,2.0,1.0,,3.0,9.0,6.0,6.0,64.0,559.0,8.0,12.0,,13.0,74.0,,2.0,1.0,0.0,1.0,3.0,,3.0,,1.0,0.0,5.0,1.0,2.0,61.3,19.0,3.0,,,1.0,6.0,56.0,5.0,2.0,637.0,14.0,11.0,20.0,8.0,18.0,1.0,5.0,403.0,17.0,33.0,23.0,159.0,37.0,2.0,5.0,22.0,16.0,,23.0,3.0,14.0,,5.0,6.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,3.0,1.0,,,,1.0,1.0,,,,2.0,1.0,2.0,,,,,2.0,,,,,1.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,695266,2014-05-03 15:00:00,"Old Trafford, Manchester",75347,Home,Manchester United,Sunderland,0,1,L,0,1,0,0,1.0,,63.0,,,,2.0,46.0,21.0,6.0,6.0,,,,162.0,,8.0,11.0,,3.0,13.0,2.0,162.0,153.0,55.0,17.0,12.0,1.0,3.0,,,1.0,2.0,42.0,11.0,21.0,7.0,24.0,32.0,340.0,,0.0,237.0,11.0,,,,2.0,1.0,74.0,102.0,4.0,83.0,,4.0,35.0,17.0,9.0,4.0,153.0,2.0,6.0,168.0,769.0,11.0,12.0,1.0,6.0,474.0,23.0,6.0,14.0,,,2.0,1.0,9.0,19.0,558.0,76.0,,,76359,5.0,158.0,2.0,24.0,1.0,177.0,5.0,,17.0,5.0,37.0,,2.0,2.0,,12.0,2.0,4.0,69.0,490.0,12.0,1.0,2.0,21.0,75.0,,,1.0,0.0,,,,,1.0,4.0,0.0,6.0,,3.0,63.0,15.0,6.0,1.0,,2.0,3.0,48.0,8.0,1.0,575.0,6.0,10.0,18.0,12.0,22.0,2.0,8.0,440.0,7.0,21.0,18.0,196.0,30.0,,,14.0,14.0,1.0,12.0,3.0,16.0,,,9.0,8.0,1.0,1.0,,4.0,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
38,695277,2014-05-11 15:00:00,"St. Mary's Stadium, Southampton",31372,Away,Manchester United,Southampton,1,1,D,0,1,0,0,,,66.0,,,4.0,,33.0,35.0,3.0,2.0,5.0,1.0,1.0,143.0,,5.0,9.0,1.0,3.0,6.0,2.0,87.0,122.0,53.0,9.0,6.0,1.0,1.0,,,,4.0,16.0,12.0,35.0,2.0,5.0,35.0,158.0,1.0,0.0,88.0,5.0,1.0,,,1.0,,57.0,73.0,1.0,54.0,2.0,,14.0,10.0,5.0,1.0,122.0,,6.0,85.0,569.0,3.0,2.0,,8.0,282.0,29.0,2.0,23.0,,,2.0,4.0,5.0,21.0,348.0,54.0,,1.0,83090,3.0,145.0,,8.0,1.0,160.0,2.0,,10.0,4.0,28.0,4.0,6.0,5.0,,12.0,9.0,3.0,55.0,298.0,16.0,3.0,3.0,13.0,77.0,,4.0,,0.0,4.0,6.0,1.0,,1.0,1.0,0.0,5.0,,3.0,41.5,18.0,1.0,1.0,1.0,5.0,1.0,47.0,2.0,,369.0,8.0,6.0,18.0,6.0,18.0,,5.0,225.0,4.0,5.0,10.0,56.0,23.0,,3.0,23.0,18.0,1.0,5.0,3.0,17.0,,3.0,6.0,2.0,,,,1.0,3.0,,1.0,1.0,,,,2.0,,,,,2.0,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
