gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attCmissRight,attFreekickTotal,attIboxTarget,interceptionsInBox,freekickTotal,attHdTarget,attMissHighLeft,bigChanceMissed,defenderGoals,attCmissHighLeft,attAssistSetplay,attPostHigh,shieldBallOop,attSvHighCentre,attFreekickMiss,attLfTarget,savedObox,attPenTarget,accurateKeeperSweeper,penaltyWon,divingSave,attSvLowLeft,attGoalHighCentre,totalKeeperSweeper,sixYardBlock,attSvLowRight,attHdMiss,ptsGainedLosingPos,goalsConceded,goalsConcededIbox,ptsDroppedWinningPos,attGoalLowLeft,attFreekickPost,attPostLeft,errorLeadToShot,totalPullBack,attPenGoal,attGoalHighLeft,attOboxPost,contentiousDecision,clearanceOffLine,punches,foulThrowIn,errorLeadToGoal,attHdPost,attFreekickTarget,handBall,attGoalHighRight,attSvHighLeft,penaltyConceded,attFreekickGoal,penaltyFaced,penGoalsConceded,accuratePullBack,attLgCentre,goalsConcededObox,ownGoals,attIboxOwnGoal,attObxLeft,attCmissHighRight
27,919157,2018-02-11 14:15:00,"St. James' Park, Newcastle",52309,Away,Manchester United,Newcastle United,0,1,L,0,0,0,0,,67.0,,6.0,,,48.0,17.0,1.0,4.0,12.0,2.0,,4.0,205.0,,5.0,18.0,,5.0,7.0,4.0,167.0,191.0,61.0,13.0,,24.0,,1.0,,,3.0,,1.0,25.0,,9.0,,17.0,10.0,26.0,44.0,1.0,269.0,,,,0.0,221.0,15.0,,,2.0,,71.0,96.0,6.0,89.0,2.0,15.0,31.0,1.0,4.0,1.0,191.0,2.0,3.0,169.0,844.0,7.0,17.0,38.0,,11.0,489.0,34.0,12.0,13.0,,2.0,2.0,1.0,33.0,609.0,75.0,2.0,,76359,7.0,239.0,9.0,,274.0,6.0,,31.0,7.0,63.0,,3.0,2.0,6.0,,17.0,7.0,3.0,,89.0,503.0,12.0,9.0,38.0,77.0,,,0.0,4.0,,1.0,,8.0,0.0,4.0,,1.0,64.1,32.0,2.0,3.0,6.0,6.0,44.0,10.0,,630.0,11.0,11.0,24.0,3.0,,40.0,1.0,2.0,381.0,8.0,24.0,19.0,157.0,23.0,,1.0,13.0,12.0,,11.0,3.0,27.0,1.0,12.0,10.0,1.0,,4.0,,,,,3.0,,,,,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,3.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,
28,919170,2018-02-25 14:05:00,"Old Trafford, Manchester",75060,Home,Manchester United,Chelsea,2,1,W,1,1,0,0,2.0,70.0,1.0,3.0,,,28.0,18.0,2.0,4.0,8.0,6.0,1.0,1.0,141.0,,5.0,13.0,2.0,4.0,9.0,5.0,124.0,138.0,58.0,10.0,1.0,9.0,,,,2.0,1.0,,1.0,18.0,,14.0,,18.0,3.0,15.0,23.0,,214.0,,,,0.0,157.0,13.0,,,3.0,,97.0,40.0,8.0,51.0,,15.0,18.0,2.0,8.0,1.0,138.0,2.0,8.0,116.0,631.0,6.0,4.0,23.0,,18.0,334.0,27.0,6.0,7.0,2.0,2.0,3.0,1.0,13.0,408.0,53.0,,1.0,74208,7.0,143.0,4.0,1.0,163.0,7.0,,18.0,4.0,59.0,,,1.0,6.0,2.0,14.0,6.0,3.0,,50.0,352.0,12.0,15.0,19.0,54.0,,,0.0,5.0,4.0,3.0,2.0,,0.0,5.0,2.0,2.0,44.3,10.0,3.0,1.0,6.0,4.0,31.0,3.0,,432.0,18.0,14.0,10.0,1.0,,26.0,,,287.0,3.0,15.0,13.0,121.0,31.0,1.0,1.0,7.0,20.0,1.0,8.0,2.0,21.0,1.0,8.0,3.0,,,3.0,2.0,,1.0,,,,,1.0,,,1.0,,1.0,3.0,,,,2.0,1.0,,,,,,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,919175,2018-03-05 20:00:00,"Selhurst Park, London",25840,Away,Manchester United,Crystal Palace,3,2,W,0,1,0,0,1.0,70.0,2.0,2.0,1.0,,28.0,28.0,8.0,6.0,8.0,2.0,2.0,2.0,194.0,,1.0,16.0,3.0,2.0,11.0,8.0,198.0,159.0,56.0,17.0,4.0,24.0,,,,,2.0,,3.0,18.0,,6.0,2.0,28.0,7.0,25.0,31.0,,305.0,,,1.0,0.0,213.0,8.0,,1.0,,,80.0,71.0,9.0,74.0,,11.0,17.0,9.0,4.0,2.0,159.0,2.0,6.0,188.0,857.0,10.0,6.0,31.0,1.0,5.0,535.0,29.0,2.0,17.0,1.0,3.0,,2.0,28.0,632.0,70.0,3.0,,74208,4.0,250.0,7.0,,274.0,3.0,,17.0,7.0,64.0,,8.0,2.0,6.0,2.0,13.0,4.0,6.0,,58.0,554.0,10.0,15.0,20.0,64.0,,1.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,69.5,22.0,1.0,1.0,6.0,6.0,42.0,7.0,,654.0,5.0,15.0,16.0,3.0,,40.0,,1.0,398.0,8.0,22.0,22.0,166.0,33.0,1.0,2.0,17.0,9.0,1.0,14.0,3.0,20.0,2.0,7.0,7.0,,1.0,3.0,,1.0,1.0,,1.0,1.0,,,,,2.0,1.0,2.0,,,,,2.0,,,,,1.0,1.0,3.0,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,
30,919188,2018-03-10 12:30:00,"Old Trafford, Manchester",74855,Home,Manchester United,Liverpool,2,1,W,2,0,0,0,,63.0,1.0,2.0,,,18.0,40.0,,2.0,5.0,2.0,,,121.0,1.0,3.0,7.0,2.0,3.0,4.0,2.0,53.0,138.0,67.0,5.0,,13.0,,,,1.0,,,,6.0,,15.0,,40.0,1.0,3.0,25.0,,101.0,,,,0.0,75.0,10.0,,2.0,1.0,,53.0,28.0,3.0,45.0,1.0,5.0,9.0,,1.0,,138.0,1.0,6.0,64.0,495.0,2.0,7.0,11.0,,25.0,179.0,31.0,5.0,18.0,1.0,2.0,7.0,1.0,18.0,252.0,45.0,,1.0,66749,3.0,96.0,3.0,2.0,124.0,4.0,2.0,9.0,10.0,50.0,,2.0,3.0,4.0,2.0,18.0,9.0,4.0,,58.0,194.0,16.0,15.0,24.0,63.0,,,0.0,4.0,13.0,1.0,2.0,3.0,0.0,3.0,,,32.1,11.0,,2.0,4.0,2.0,30.0,1.0,,283.0,25.0,10.0,8.0,1.0,,19.0,,1.0,165.0,2.0,3.0,22.0,43.0,21.0,,7.0,18.0,22.0,,3.0,3.0,10.0,7.0,1.0,1.0,1.0,,,4.0,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,
31,919202,2018-05-10 19:45:00,"London Stadium, London",56902,Away,Manchester United,West Ham United,0,0,D,0,0,0,0,,52.0,,1.0,,,21.0,14.0,8.0,2.0,7.0,2.0,,4.0,173.0,,4.0,17.0,,1.0,13.0,6.0,165.0,129.0,63.0,16.0,2.0,9.0,,1.0,,,3.0,,3.0,14.0,,11.0,4.0,14.0,6.0,19.0,11.0,,315.0,,1.0,,0.0,190.0,12.0,,,,,71.0,95.0,7.0,89.0,2.0,8.0,16.0,9.0,,3.0,129.0,,5.0,174.0,780.0,11.0,9.0,20.0,1.0,7.0,502.0,21.0,2.0,6.0,,1.0,1.0,6.0,25.0,576.0,63.0,,,76359,3.0,208.0,8.0,1.0,233.0,8.0,,16.0,9.0,49.0,,1.0,2.0,5.0,,14.0,4.0,5.0,1.0,47.0,519.0,12.0,14.0,17.0,63.0,,2.0,0.0,2.0,1.0,1.0,,3.0,0.0,2.0,,3.0,55.8,22.0,3.0,2.0,5.0,3.0,41.0,6.0,,601.0,7.0,10.0,7.0,7.0,,23.0,2.0,4.0,382.0,11.0,17.0,18.0,153.0,20.0,,1.0,6.0,16.0,,13.0,3.0,22.0,1.0,5.0,6.0,2.0,,2.0,2.0,,,1.0,,,,2.0,,,,,2.0,1.0,,,,,1.0,,,,2.0,3.0,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,
32,919208,2018-03-31 15:00:00,"Old Trafford, Manchester",75038,Home,Manchester United,Swansea City,2,0,W,2,0,0,0,,55.0,,1.0,,,26.0,13.0,3.0,4.0,8.0,2.0,1.0,2.0,204.0,,3.0,10.0,2.0,4.0,10.0,5.0,214.0,123.0,51.0,11.0,1.0,4.0,,1.0,,1.0,1.0,,1.0,19.0,,12.0,1.0,13.0,3.0,23.0,36.0,,355.0,1.0,1.0,1.0,0.0,198.0,5.0,,1.0,2.0,,151.0,62.0,6.0,125.0,,16.0,16.0,3.0,5.0,,123.0,3.0,3.0,203.0,913.0,9.0,8.0,30.0,,13.0,661.0,20.0,1.0,7.0,1.0,0.0,1.0,4.0,16.0,728.0,57.0,2.0,,74208,5.0,323.0,9.0,,336.0,1.0,1.0,16.0,6.0,30.0,2.0,3.0,5.0,1.0,2.0,11.0,,3.0,2.0,47.0,675.0,13.0,5.0,10.0,63.0,,,0.0,3.0,3.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,66.5,16.0,6.0,,1.0,2.0,49.0,3.0,,746.0,13.0,8.0,20.0,4.0,,40.0,1.0,4.0,429.0,6.0,23.0,11.0,154.0,27.0,1.0,2.0,7.0,17.0,,11.0,3.0,19.0,2.0,5.0,3.0,,,2.0,1.0,,,,3.0,,,,,,,,1.0,,,,,2.0,2.0,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
33,919219,2018-04-07 17:30:00,"Etihad Stadium, Manchester",54259,Away,Manchester United,Manchester City,3,2,W,0,2,0,0,3.0,53.0,,,1.0,1.0,17.0,14.0,2.0,2.0,3.0,4.0,,,125.0,1.0,3.0,16.0,3.0,6.0,5.0,4.0,61.0,119.0,54.0,5.0,,10.0,,,,2.0,,,,13.0,,6.0,1.0,14.0,3.0,10.0,15.0,,118.0,,,,0.0,93.0,9.0,,2.0,3.0,,35.0,58.0,4.0,45.0,1.0,10.0,19.0,2.0,1.0,1.0,119.0,3.0,15.0,87.0,505.0,2.0,9.0,8.0,,22.0,227.0,24.0,6.0,4.0,3.0,3.0,4.0,1.0,17.0,286.0,47.0,1.0,1.0,74208,3.0,129.0,6.0,1.0,140.0,7.0,2.0,19.0,13.0,40.0,,3.0,2.0,5.0,2.0,15.0,5.0,2.0,,57.0,244.0,17.0,11.0,25.0,61.0,,,0.0,3.0,8.0,4.0,3.0,2.0,0.0,2.0,3.0,1.0,35.2,13.0,4.0,,5.0,,26.0,4.0,,318.0,22.0,5.0,8.0,1.0,,17.0,1.0,,191.0,2.0,10.0,10.0,57.0,18.0,,1.0,4.0,11.0,1.0,4.0,3.0,22.0,1.0,7.0,4.0,,,,3.0,,,,,1.0,,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,3.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
34,919227,2018-04-15 16:00:00,"Old Trafford, Manchester",75095,Home,Manchester United,West Bromwich Albion,0,1,L,0,0,0,0,,70.0,,1.0,,,33.0,11.0,8.0,3.0,6.0,3.0,,1.0,178.0,,1.0,14.0,,1.0,12.0,4.0,239.0,139.0,57.0,14.0,3.0,14.0,,1.0,,,1.0,,2.0,22.0,,6.0,1.0,11.0,4.0,24.0,37.0,,404.0,1.0,,,0.0,274.0,8.0,,,1.0,1.0,110.0,101.0,6.0,101.0,2.0,18.0,21.0,8.0,13.0,4.0,139.0,,6.0,224.0,932.0,12.0,4.0,28.0,,10.0,638.0,26.0,2.0,5.0,,1.0,2.0,6.0,16.0,722.0,65.0,,,76359,5.0,255.0,4.0,,266.0,5.0,,21.0,4.0,39.0,,3.0,4.0,7.0,,18.0,4.0,4.0,1.0,42.0,658.0,13.0,9.0,5.0,60.0,,,0.0,1.0,4.0,3.0,,,0.0,1.0,,2.0,70.3,15.0,3.0,,8.0,4.0,51.0,4.0,1.0,742.0,10.0,7.0,23.0,6.0,,41.0,,2.0,498.0,9.0,23.0,15.0,217.0,31.0,,4.0,5.0,15.0,,14.0,3.0,16.0,4.0,10.0,4.0,1.0,,3.0,,,2.0,,,,,,,,,,1.0,,,,,2.0,3.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,
35,919233,2018-04-18 19:45:00,"Vitality Stadium, Bournemouth",10952,Away,Manchester United,Bournemouth,2,0,W,1,0,0,0,2.0,60.0,1.0,3.0,1.0,,36.0,25.0,7.0,6.0,6.0,2.0,2.0,1.0,177.0,,,10.0,2.0,2.0,9.0,4.0,131.0,131.0,59.0,13.0,5.0,18.0,,1.0,,1.0,2.0,,1.0,17.0,,16.0,1.0,25.0,5.0,25.0,20.0,,244.0,,1.0,,0.0,155.0,8.0,,,1.0,,63.0,103.0,8.0,97.0,,13.0,18.0,7.0,1.0,1.0,131.0,2.0,8.0,151.0,746.0,6.0,14.0,34.0,,16.0,455.0,27.0,8.0,12.0,2.0,1.0,5.0,1.0,21.0,530.0,64.0,2.0,,76359,2.0,230.0,11.0,,247.0,3.0,,18.0,9.0,51.0,,6.0,3.0,1.0,1.0,12.0,5.0,6.0,,64.0,474.0,8.0,15.0,19.0,75.0,,,0.0,2.0,8.0,1.0,2.0,6.0,0.0,,2.0,,55.6,16.0,6.0,2.0,1.0,8.0,51.0,5.0,,556.0,16.0,4.0,8.0,1.0,,27.0,1.0,,326.0,7.0,23.0,23.0,113.0,19.0,,5.0,12.0,19.0,,8.0,3.0,16.0,5.0,11.0,5.0,,1.0,1.0,2.0,1.0,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
36,919247,2018-04-29 16:30:00,"Old Trafford, Manchester",75035,Home,Manchester United,Arsenal,2,1,W,1,0,0,0,1.0,67.0,1.0,4.0,,,28.0,7.0,6.0,3.0,10.0,2.0,,,153.0,,6.0,10.0,2.0,3.0,10.0,3.0,193.0,144.0,37.0,16.0,3.0,7.0,,1.0,1.0,1.0,,,2.0,34.0,1.0,10.0,,7.0,7.0,16.0,35.0,,271.0,,,,0.0,186.0,12.0,,1.0,1.0,,77.0,75.0,5.0,73.0,1.0,28.0,17.0,6.0,7.0,3.0,144.0,2.0,5.0,190.0,811.0,8.0,5.0,36.0,3.0,13.0,530.0,25.0,5.0,3.0,1.0,0.0,1.0,5.0,22.0,592.0,62.0,,,74208,4.0,278.0,20.0,,290.0,10.0,1.0,17.0,5.0,59.0,,,2.0,8.0,2.0,17.0,3.0,2.0,2.0,52.0,543.0,6.0,13.0,14.0,61.0,,,0.0,3.0,,1.0,2.0,2.0,0.0,5.0,1.0,3.0,59.2,22.0,5.0,3.0,8.0,7.0,45.0,9.0,,609.0,13.0,17.0,20.0,6.0,1.0,47.0,2.0,2.0,353.0,9.0,16.0,5.0,145.0,28.0,,,3.0,16.0,1.0,12.0,3.0,21.0,,4.0,9.0,,1.0,1.0,2.0,1.0,1.0,,2.0,,,1.0,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,
37,919255,2018-05-04 20:00:00,"Amex Stadium, Falmer",30611,Away,Manchester United,Brighton and Hove Albion,0,1,L,0,0,0,0,,60.0,,1.0,,,31.0,19.0,11.0,5.0,5.0,3.0,,2.0,191.0,,4.0,17.0,,2.0,13.0,3.0,194.0,133.0,45.0,16.0,5.0,15.0,,,,,1.0,,2.0,16.0,,5.0,2.0,19.0,6.0,27.0,29.0,,336.0,1.0,,,0.0,221.0,3.0,,,,,82.0,114.0,7.0,95.0,1.0,10.0,17.0,11.0,3.0,4.0,133.0,,6.0,195.0,862.0,12.0,4.0,21.0,,12.0,591.0,21.0,5.0,8.0,,0.0,3.0,6.0,23.0,664.0,69.0,,,74208,2.0,266.0,7.0,,280.0,1.0,,17.0,4.0,51.0,1.0,,2.0,6.0,,17.0,5.0,3.0,3.0,56.0,598.0,5.0,14.0,15.0,75.0,,,0.0,2.0,5.0,,,1.0,0.0,2.0,,1.0,68.3,19.0,3.0,2.0,6.0,6.0,49.0,6.0,,675.0,12.0,10.0,15.0,7.0,,38.0,2.0,3.0,411.0,9.0,27.0,15.0,181.0,29.0,,1.0,8.0,8.0,,13.0,3.0,26.0,1.0,7.0,6.0,,2.0,1.0,1.0,2.0,,,,,,1.0,,,,1.0,1.0,3.0,,,,1.0,2.0,,,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
38,919267,2018-05-13 15:00:00,"Old Trafford, Manchester",75049,Home,Manchester United,Watford,1,0,W,1,0,0,0,1.0,68.0,1.0,,,,28.0,23.0,5.0,1.0,2.0,3.0,,,162.0,,2.0,11.0,1.0,2.0,5.0,1.0,106.0,148.0,57.0,7.0,2.0,13.0,,1.0,,1.0,,,1.0,14.0,,18.0,,23.0,5.0,12.0,38.0,,195.0,1.0,1.0,,0.0,137.0,6.0,,,,,69.0,61.0,2.0,65.0,1.0,9.0,14.0,5.0,3.0,3.0,148.0,1.0,6.0,127.0,659.0,4.0,7.0,14.0,,18.0,354.0,28.0,3.0,11.0,1.0,4.0,1.0,3.0,23.0,439.0,57.0,1.0,,76359,1.0,177.0,6.0,,203.0,3.0,1.0,14.0,7.0,47.0,,2.0,5.0,5.0,1.0,18.0,1.0,5.0,1.0,60.0,370.0,11.0,8.0,17.0,69.0,,,0.0,1.0,5.0,3.0,1.0,1.0,0.0,1.0,1.0,,51.4,21.0,4.0,,5.0,2.0,44.0,6.0,1.0,460.0,18.0,16.0,18.0,4.0,,28.0,1.0,1.0,271.0,6.0,12.0,11.0,91.0,30.0,1.0,,11.0,25.0,,5.0,3.0,15.0,,5.0,6.0,,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
