gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attGoalLowRight,goalAssistOpenplay,attOboxTarget,attMissHighRight,midfielderGoals,freekickCross,goodHighClaim,interceptionsInBox,bigChanceCreated,attMissHighLeft,goalAssist,accurateThroughBall,accurateFreekickCross,bigChanceMissed,attObxdLeft,attRfGoal,totalPullBack,totalThroughBall,goalsOpenplay,attAssistSetplay,goalAssistIntentional,attHdTotal,foulThrowIn,attHdMiss,attBxLeft,totalHighClaim,effectiveBlockedCross,blockedCross,attLfTarget,postScoringAtt,attSvLowCentre,attIboxPost,attOneOnOne,crosses18yardplus,contentiousDecision,attHdPost,hitWoodwork,attSvLowRight,attFreekickTarget,attSvHighCentre,attPostRight,accurateCornersIntobox,handBall,bigChanceScored,attGoalHighRight,goalsConceded,goalsConcededIbox,goalAssistSetplay,goalAssistDeadball,attLfGoal,accuratePullBack,penaltyWon,attGoalHighCentre,defenderGoals,attPenGoal,attGoalHighLeft,punches,clearanceOffLine,attPostLeft,attCmissHigh,attCmissLeft,forwardGoals,attGoalLowCentre,shotFastbreak,totalFastbreak,attFastbreak,attSvHighLeft,attCmissHighLeft,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,shieldBallOop,attHdGoal,attPostHigh,attOboxGoal,penaltyConceded,penaltyFaced,penGoalsConceded,attHdTarget,goalsConcededObox,errorLeadToGoal,attSvHighRight,goalFastbreak,attCmissHighRight,attGoalLowLeft,ownGoals,attIboxOwnGoal,attFreekickGoal,secondYellow
28,803439,2016-03-02 20:00:00,"Old Trafford, Manchester",75272,Home,Manchester United,Watford,1,0,W,0,0,0,0,65.0,1.0,1.0,32.0,8.0,8.0,4.0,3.0,1.0,195.0,5.0,17.0,1.0,7.0,10.0,,3.0,91.0,174.0,58.0,2.0,14.0,4.0,18.0,1.0,2.0,,1.0,19.0,18.0,6.0,3.0,23.0,31.0,201.0,1.0,0.0,153.0,7.0,2.0,,100.0,62.0,5.0,87.0,5.0,16.0,12.0,2.0,2.0,172.0,9.0,131.0,717.0,9.0,11.0,21.0,370.0,28.0,5.0,3.0,,1.0,4.0,5.0,26.0,469.0,53.0,3.0,59846,1.0,199.0,7.0,,1.0,238.0,3.0,12.0,12.0,60.0,2.0,1.0,14.0,4.0,6.0,,80.0,395.0,16.0,9.0,32.0,67.0,0.0,4.0,7.0,3.0,,7.0,0.0,4.0,61.3,23.0,3.0,1.0,5.0,29.0,9.0,504.0,21.0,,15.0,15.0,6.0,30.0,4.0,285.0,8.0,22.0,4.0,115.0,29.0,2.0,21.0,9.0,3.0,28.0,5.0,9.0,,,1.0,,1.0,2.0,,1.0,1.0,,,,,1.0,,,4.0,,,1.0,,2.0,,2.0,2.0,,2.0,2.0,1.0,,,,,7.0,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,
29,803447,2016-03-06 16:00:00,"The Hawthorns, West Bromwich",24878,Away,Manchester United,West Bromwich Albion,0,1,L,0,0,1,0,65.0,1.0,3.0,37.0,18.0,4.0,1.0,1.0,1.0,204.0,1.0,14.0,,3.0,4.0,,1.0,101.0,206.0,66.0,1.0,7.0,1.0,20.0,,,,,20.0,21.0,11.0,4.0,14.0,45.0,202.0,,0.0,144.0,7.0,1.0,,89.0,89.0,3.0,79.0,1.0,16.0,19.0,1.0,2.0,199.0,6.0,119.0,701.0,4.0,11.0,17.0,348.0,26.0,7.0,8.0,,0.0,3.0,1.0,19.0,475.0,55.0,,59846,2.0,163.0,8.0,,,208.0,3.0,19.0,11.0,53.0,1.0,2.0,14.0,3.0,3.0,1.0,89.0,364.0,8.0,7.0,39.0,91.0,0.0,2.0,4.0,,,2.0,1.0,1.0,53.4,15.0,4.0,2.0,4.0,42.0,5.0,503.0,17.0,,9.0,23.0,2.0,18.0,,315.0,6.0,12.0,16.0,98.0,28.0,6.0,28.0,6.0,3.0,24.0,7.0,5.0,,,1.0,,,1.0,1.0,,,,,,,,,,2.0,,,,,,1.0,,1.0,1.0,3.0,3.0,,,,,,7.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0
30,803453,2016-04-20 20:00:00,"Old Trafford, Manchester",75277,Home,Manchester United,Crystal Palace,2,0,W,1,0,0,0,71.0,,,36.0,14.0,8.0,8.0,,4.0,180.0,3.0,11.0,2.0,3.0,9.0,,10.0,163.0,134.0,56.0,,16.0,3.0,9.0,7.0,2.0,,2.0,18.0,26.0,10.0,3.0,29.0,33.0,382.0,1.0,0.0,234.0,13.0,,,92.0,122.0,8.0,109.0,,15.0,19.0,,2.0,130.0,2.0,181.0,826.0,9.0,2.0,10.0,546.0,27.0,4.0,3.0,1.0,1.0,3.0,1.0,20.0,615.0,61.0,,59846,3.0,184.0,12.0,1.0,,201.0,7.0,19.0,2.0,56.0,3.0,2.0,12.0,3.0,2.0,,54.0,563.0,7.0,14.0,12.0,58.0,0.0,1.0,2.0,,1.0,,0.0,3.0,66.3,15.0,5.0,2.0,3.0,44.0,10.0,633.0,10.0,,15.0,21.0,3.0,32.0,1.0,450.0,7.0,28.0,9.0,200.0,37.0,2.0,29.0,12.0,3.0,19.0,11.0,10.0,,,2.0,1.0,,,1.0,1.0,1.0,,,1.0,,2.0,,,6.0,2.0,,,,1.0,1.0,1.0,3.0,1.0,2.0,2.0,5.0,,6.0,,,3.0,1.0,,,,,2.0,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,
31,803467,2016-03-20 16:00:00,"Etihad Stadium, Manchester",54557,Away,Manchester United,Manchester City,1,0,W,1,0,0,0,52.0,,1.0,27.0,23.0,2.0,1.0,3.0,2.0,173.0,2.0,14.0,1.0,3.0,5.0,,4.0,88.0,156.0,58.0,,5.0,,24.0,1.0,,,,12.0,22.0,16.0,4.0,11.0,36.0,164.0,1.0,0.0,107.0,12.0,1.0,1.0,94.0,55.0,5.0,47.0,,8.0,22.0,,,149.0,21.0,90.0,590.0,4.0,11.0,17.0,280.0,23.0,1.0,11.0,,1.0,5.0,,27.0,367.0,51.0,,58893,1.0,137.0,6.0,1.0,,159.0,6.0,22.0,18.0,76.0,1.0,1.0,8.0,5.0,11.0,,64.0,299.0,8.0,20.0,23.0,74.0,0.0,3.0,11.0,3.0,1.0,1.0,0.0,1.0,45.5,20.0,4.0,1.0,1.0,31.0,5.0,398.0,17.0,,8.0,19.0,,15.0,,251.0,4.0,11.0,10.0,69.0,22.0,10.0,26.0,5.0,3.0,27.0,12.0,5.0,,1.0,2.0,,,1.0,,4.0,2.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,2.0,,2.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,13.0,,1.0,,,,,,,,,,,,,,,,,
32,803474,2016-04-03 16:00:00,"Old Trafford, Manchester",75341,Home,Manchester United,Everton,1,0,W,0,0,0,0,72.0,,2.0,35.0,23.0,5.0,5.0,1.0,,179.0,3.0,8.0,1.0,,9.0,,2.0,131.0,162.0,36.0,,10.0,3.0,9.0,1.0,1.0,3.0,2.0,18.0,8.0,17.0,4.0,14.0,35.0,255.0,1.0,0.0,179.0,15.0,,,102.0,95.0,7.0,78.0,1.0,14.0,13.0,,2.0,156.0,6.0,126.0,718.0,7.0,9.0,21.0,412.0,25.0,5.0,6.0,3.0,2.0,5.0,2.0,27.0,499.0,50.0,,59846,4.0,170.0,10.0,,,196.0,11.0,13.0,2.0,62.0,2.0,7.0,9.0,1.0,1.0,,67.0,422.0,5.0,9.0,26.0,77.0,0.0,2.0,5.0,1.0,1.0,3.0,0.0,1.0,54.4,21.0,3.0,7.0,5.0,48.0,5.0,514.0,21.0,,18.0,20.0,3.0,27.0,1.0,336.0,3.0,14.0,10.0,141.0,34.0,4.0,13.0,8.0,3.0,20.0,5.0,5.0,,1.0,,,1.0,,1.0,4.0,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,3.0,3.0,1.0,,,,,4.0,,,,1.0,,,,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,803487,2016-04-10 16:00:00,"White Hart Lane, London",35761,Away,Manchester United,Tottenham Hotspur,0,3,L,0,0,0,0,69.0,3.0,,32.0,21.0,3.0,2.0,7.0,1.0,190.0,3.0,8.0,,2.0,4.0,,1.0,87.0,200.0,51.0,,5.0,3.0,11.0,1.0,,,,17.0,18.0,12.0,3.0,16.0,34.0,176.0,,0.0,127.0,10.0,3.0,,138.0,41.0,3.0,82.0,1.0,14.0,28.0,,,191.0,9.0,83.0,657.0,4.0,6.0,17.0,295.0,20.0,4.0,6.0,,3.0,1.0,1.0,28.0,406.0,67.0,,59846,1.0,147.0,11.0,,,179.0,4.0,28.0,13.0,60.0,3.0,2.0,16.0,7.0,6.0,,74.0,320.0,9.0,12.0,27.0,84.0,0.0,1.0,2.0,2.0,,1.0,0.0,2.0,53.0,21.0,3.0,2.0,3.0,40.0,7.0,442.0,17.0,,20.0,14.0,1.0,18.0,1.0,280.0,3.0,13.0,10.0,75.0,39.0,4.0,24.0,4.0,3.0,15.0,11.0,7.0,,,,,,2.0,2.0,2.0,,,,1.0,1.0,,,,2.0,2.0,,,,,1.0,,1.0,3.0,4.0,4.0,,,1.0,,,1.0,,,,,,,,1.0,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,803492,2016-04-16 15:00:00,"Old Trafford, Manchester",75411,Home,Manchester United,Aston Villa,1,0,W,1,0,0,0,67.0,,1.0,38.0,10.0,4.0,5.0,1.0,1.0,181.0,5.0,4.0,1.0,5.0,11.0,1.0,4.0,161.0,150.0,42.0,2.0,13.0,1.0,11.0,2.0,1.0,,2.0,25.0,10.0,7.0,6.0,22.0,43.0,322.0,1.0,0.0,223.0,9.0,1.0,,109.0,122.0,5.0,84.0,2.0,19.0,20.0,2.0,2.0,147.0,4.0,155.0,749.0,6.0,5.0,11.0,476.0,19.0,6.0,4.0,,0.0,2.0,6.0,20.0,555.0,65.0,,58893,4.0,180.0,15.0,,2.0,194.0,6.0,20.0,9.0,47.0,4.0,2.0,17.0,3.0,5.0,2.0,63.0,497.0,10.0,7.0,14.0,72.0,0.0,,3.0,1.0,1.0,2.0,0.0,2.0,66.2,19.0,11.0,2.0,2.0,50.0,14.0,581.0,11.0,1.0,18.0,24.0,7.0,45.0,5.0,412.0,6.0,21.0,10.0,176.0,34.0,3.0,18.0,4.0,3.0,7.0,4.0,14.0,,,1.0,1.0,,1.0,,2.0,1.0,,1.0,2.0,1.0,1.0,,1.0,3.0,2.0,,4.0,1.0,2.0,,2.0,1.0,,2.0,2.0,2.0,,1.0,,,3.0,,,1.0,1.0,,1.0,,3.0,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,803505,2016-05-10 20:30:00,"Boleyn Ground, London",34602,Away,Manchester United,West Ham United,2,3,L,0,1,0,0,64.0,2.0,,37.0,26.0,1.0,1.0,2.0,,167.0,2.0,11.0,2.0,2.0,3.0,,2.0,115.0,159.0,55.0,,3.0,,21.0,,,,,12.0,20.0,23.0,2.0,19.0,49.0,180.0,,0.0,147.0,18.0,1.0,,84.0,70.0,2.0,61.0,,10.0,20.0,,1.0,156.0,11.0,130.0,659.0,1.0,8.0,17.0,342.0,25.0,1.0,17.0,,3.0,3.0,1.0,17.0,447.0,62.0,2.0,76359,1.0,184.0,8.0,,,214.0,12.0,20.0,15.0,64.0,2.0,6.0,12.0,9.0,10.0,,72.0,362.0,5.0,8.0,16.0,82.0,0.0,2.0,6.0,1.0,2.0,1.0,0.0,1.0,58.7,16.0,6.0,6.0,,45.0,2.0,473.0,17.0,,13.0,27.0,1.0,26.0,,271.0,2.0,17.0,14.0,100.0,26.0,14.0,25.0,3.0,3.0,16.0,10.0,2.0,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,,,,,1.0,1.0,1.0,2.0,,1.0,,,,,1.0,4.0,4.0,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,3.0,3.0,,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,803515,2016-05-01 14:05:00,"Old Trafford, Manchester",75275,Home,Manchester United,Leicester City,1,1,D,1,1,0,1,65.0,1.0,1.0,38.0,19.0,11.0,1.0,2.0,4.0,178.0,8.0,24.0,1.0,6.0,13.0,,6.0,151.0,164.0,77.0,3.0,21.0,7.0,12.0,3.0,1.0,,3.0,36.0,10.0,14.0,5.0,17.0,38.0,328.0,,0.0,250.0,16.0,,,116.0,90.0,8.0,80.0,1.0,31.0,22.0,3.0,3.0,159.0,10.0,183.0,822.0,10.0,10.0,12.0,483.0,29.0,5.0,9.0,,3.0,4.0,5.0,33.0,571.0,69.0,,59846,4.0,179.0,24.0,,1.0,199.0,11.0,22.0,10.0,68.0,1.0,3.0,8.0,4.0,8.0,2.0,61.0,499.0,10.0,16.0,15.0,73.0,0.0,1.0,5.0,1.0,1.0,6.0,0.0,6.0,70.5,30.0,6.0,3.0,8.0,52.0,6.0,592.0,12.0,,12.0,25.0,7.0,47.0,3.0,429.0,17.0,14.0,31.0,197.0,24.0,7.0,14.0,14.0,3.0,37.0,12.0,6.0,,1.0,2.0,,1.0,2.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,2.0,1.0,3.0,,1.0,4.0,,1.0,1.0,,1.0,,1.0,,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,
37,803525,2016-05-07 12:45:00,"Carrow Road, Norwich",27132,Away,Manchester United,Norwich City,1,0,W,0,0,0,0,65.0,,2.0,34.0,18.0,7.0,2.0,2.0,1.0,205.0,4.0,11.0,1.0,3.0,12.0,1.0,2.0,148.0,163.0,58.0,2.0,15.0,5.0,15.0,,2.0,,2.0,20.0,16.0,15.0,6.0,23.0,21.0,314.0,1.0,0.0,201.0,10.0,1.0,,100.0,105.0,7.0,81.0,2.0,14.0,17.0,2.0,1.0,160.0,8.0,145.0,767.0,8.0,5.0,11.0,461.0,26.0,6.0,11.0,,0.0,3.0,5.0,31.0,561.0,61.0,1.0,59846,5.0,161.0,11.0,,,189.0,4.0,17.0,6.0,46.0,1.0,6.0,15.0,,3.0,2.0,76.0,471.0,11.0,9.0,36.0,77.0,0.0,,1.0,2.0,1.0,2.0,0.0,1.0,66.9,26.0,2.0,7.0,7.0,38.0,6.0,579.0,11.0,1.0,10.0,13.0,6.0,32.0,5.0,410.0,10.0,19.0,17.0,161.0,27.0,11.0,19.0,10.0,3.0,15.0,6.0,6.0,1.0,1.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,3.0,1.0,2.0,,2.0,,1.0,,,,,1.0,,,3.0,,,,,,,,3.0,2.0,1.0,,,,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
38,803533,2016-05-17 20:00:00,"Old Trafford, Manchester",74363,Home,Manchester United,Bournemouth,3,1,W,1,0,0,0,55.0,,2.0,54.0,11.0,4.0,1.0,,2.0,172.0,2.0,12.0,3.0,2.0,11.0,1.0,5.0,194.0,117.0,43.0,,12.0,2.0,10.0,1.0,,1.0,,11.0,10.0,9.0,4.0,18.0,56.0,375.0,,0.0,232.0,9.0,,1.0,129.0,116.0,7.0,114.0,2.0,7.0,17.0,,1.0,115.0,7.0,197.0,846.0,5.0,5.0,14.0,595.0,15.0,2.0,2.0,1.0,1.0,4.0,3.0,21.0,658.0,66.0,,76359,7.0,239.0,5.0,1.0,,251.0,6.0,17.0,4.0,38.0,4.0,1.0,18.0,1.0,3.0,,70.0,612.0,7.0,4.0,6.0,65.0,0.0,1.0,1.0,,3.0,3.0,0.0,,66.3,19.0,6.0,1.0,4.0,52.0,7.0,677.0,14.0,,8.0,40.0,3.0,31.0,2.0,437.0,10.0,15.0,7.0,189.0,31.0,2.0,17.0,10.0,3.0,20.0,10.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,,1.0,3.0,,3.0,2.0,,1.0,,3.0,,2.0,3.0,2.0,3.0,1.0,,1.0,1.0,,1.0,1.0,,,,,2.0,1.0,1.0,,1.0,,,1.0,,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
