gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attFreekickPost,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,attFreekickTarget,overrun,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfGoal,attMissHighRight,totalFastbreak,midfielderGoals,attOboxMiss,bigChanceCreated,errorLeadToShot,bigChanceMissed,totalThroughBall,goalsOpenplay,attCmissLeft,lostCorners,savedIbox,shieldBallOop,attBxLeft,attFreekickMiss,accurateKeeperSweeper,cleanSheet,goodHighClaim,contentiousDecision,attMissHighLeft,totalKeeperSweeper,accurateThroughBall,attCmissHigh,totalHighClaim,goalAssistOpenplay,attOboxGoal,attGoalHighCentre,attLgCentre,goalAssist,totalPullBack,attSvLowRight,attFreekickGoal,goalAssistIntentional,attSvHighCentre,clearanceOffLine,attGoalLowCentre,attCmissRight,attIboxPost,penaltyConceded,penaltyFaced,penGoalsConceded,attHdGoal,errorLeadToGoal,accuratePullBack,penaltySave,attGoalLowRight,attSvHighRight,attPostLeft,attSetpiece,attOneOnOne,accurateFreekickCross,secondYellow,attGoalHighRight,shotFastbreak,goalFastbreak,attFastbreak,punches,defenderGoals,attGoalHighLeft,attObxRight,goalAssistSetplay,goalAssistDeadball,attSvHighLeft,attCmissHighLeft,penaltyWon,attPenGoal,attCmissHighRight,attPenTarget,ownGoals,attIboxOwnGoal
27,755567,2015-02-28 15:00:00,"Old Trafford, Manchester",75344,Home,Manchester United,Sunderland,2,0,W,0,0,0,1,,,4.0,2.0,58.0,1.0,2.0,4.0,29.0,9.0,10.0,13.0,3.0,4.0,155.0,13.0,12.0,2.0,7.0,22.0,10.0,181.0,127.0,49.0,2.0,30.0,5.0,8.0,5.0,6.0,,2.0,4.0,38.0,10.0,3.0,9.0,10.0,18.0,27.0,393.0,0.0,261.0,6.0,1.0,2.0,1.0,104.0,91.0,15.0,96.0,1.0,,2.0,28.0,16.0,2.0,7.0,127.0,2.0,193.0,830.0,,18.0,5.0,,1.0,11.0,543.0,20.0,4.0,7.0,1.0,,7.0,31.0,609.0,57.0,59846,11.0,176.0,20.0,1.0,195.0,6.0,1.0,16.0,1.0,42.0,1.0,6.0,5.0,3.0,1.0,3.0,49.0,556.0,11.0,6.0,4.0,14.0,51.0,0.0,1.0,3.0,2.0,,,,3.0,0.0,7.0,6.0,,73.4,29.0,5.0,3.0,6.0,9.0,32.0,13.0,625.0,11.0,12.0,12.0,11.0,26.0,6.0,9.0,468.0,11.0,17.0,10.0,220.0,26.0,,,7.0,16.0,,18.0,3.0,22.0,,5.0,13.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,3.0,,,,,,1.0,,,,,1.0,,1.0,,,1.0,,3.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,
28,755580,2015-03-04 19:45:00,"St. James' Park, Newcastle",49801,Away,Manchester United,Newcastle United,1,0,W,0,0,0,0,,,,1.0,55.0,1.0,,,36.0,38.0,4.0,2.0,2.0,2.0,164.0,6.0,19.0,1.0,1.0,8.0,5.0,162.0,133.0,59.0,,11.0,1.0,25.0,4.0,,,1.0,2.0,21.0,11.0,,38.0,1.0,19.0,25.0,294.0,0.0,203.0,14.0,1.0,,1.0,82.0,94.0,4.0,80.0,2.0,,1.0,20.0,17.0,,9.0,133.0,5.0,148.0,789.0,,7.0,10.0,2.0,,14.0,469.0,20.0,1.0,25.0,2.0,2.0,4.0,31.0,537.0,70.0,76359,5.0,196.0,10.0,,211.0,8.0,1.0,17.0,10.0,76.0,6.0,3.0,9.0,4.0,9.0,,59.0,484.0,6.0,10.0,1.0,13.0,73.0,0.0,,3.0,1.0,,,,4.0,0.0,5.0,3.0,,67.6,31.0,1.0,7.0,3.0,1.0,54.0,1.0,554.0,14.0,12.0,16.0,5.0,23.0,1.0,2.0,364.0,6.0,18.0,20.0,162.0,25.0,,5.0,25.0,15.0,,10.0,3.0,37.0,5.0,10.0,1.0,,1.0,1.0,1.0,3.0,3.0,1.0,4.0,6.0,1.0,1.0,4.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,
29,755589,2015-03-15 16:00:00,"Old Trafford, Manchester",75112,Home,Manchester United,Tottenham Hotspur,3,0,W,3,0,0,0,,1.0,,1.0,65.0,1.0,,2.0,56.0,25.0,4.0,2.0,2.0,,157.0,3.0,11.0,3.0,3.0,7.0,3.0,123.0,138.0,64.0,,11.0,1.0,12.0,,1.0,,,1.0,15.0,18.0,,25.0,3.0,15.0,31.0,218.0,0.0,146.0,12.0,2.0,,2.0,104.0,76.0,4.0,90.0,2.0,,3.0,12.0,17.0,,1.0,138.0,2.0,138.0,711.0,,4.0,13.0,,,20.0,406.0,25.0,16.0,12.0,1.0,2.0,3.0,22.0,488.0,56.0,76359,5.0,206.0,9.0,1.0,220.0,6.0,1.0,17.0,3.0,54.0,5.0,1.0,10.0,3.0,2.0,1.0,87.0,421.0,9.0,12.0,2.0,33.0,92.0,0.0,,,3.0,,,,3.0,0.0,1.0,1.0,,51.6,18.0,,6.0,1.0,3.0,55.0,4.0,508.0,20.0,15.0,20.0,5.0,18.0,2.0,2.0,303.0,6.0,14.0,12.0,104.0,28.0,1.0,,12.0,32.0,,8.0,3.0,16.0,,10.0,4.0,1.0,,,2.0,3.0,,,,6.0,2.0,,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,,,3.0,,1.0,1.0,,,,1.0,2.0,,,1.0,,,,1.0,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
30,755595,2015-03-22 13:30:00,"Anfield, Liverpool",44405,Away,Manchester United,Liverpool,2,1,W,1,0,0,1,,1.0,,1.0,68.0,2.0,,,65.0,28.0,3.0,1.0,,2.0,175.0,2.0,11.0,2.0,3.0,5.0,4.0,144.0,154.0,74.0,,6.0,2.0,20.0,1.0,2.0,,,,14.0,19.0,1.0,28.0,3.0,12.0,46.0,261.0,0.0,162.0,17.0,,1.0,2.0,115.0,88.0,5.0,101.0,1.0,,,11.0,23.0,,1.0,154.0,3.0,149.0,774.0,,3.0,11.0,,,21.0,448.0,21.0,13.0,11.0,2.0,2.0,,27.0,545.0,72.0,76359,1.0,205.0,8.0,,225.0,9.0,1.0,23.0,6.0,62.0,3.0,5.0,15.0,4.0,3.0,,97.0,464.0,14.0,15.0,,29.0,94.0,0.0,,2.0,2.0,,,1.0,4.0,0.0,1.0,,,58.3,23.0,,7.0,5.0,2.0,58.0,3.0,569.0,21.0,6.0,27.0,,16.0,1.0,,358.0,5.0,12.0,21.0,111.0,29.0,,2.0,11.0,28.0,1.0,5.0,3.0,18.0,2.0,7.0,3.0,1.0,,1.0,2.0,,1.0,,1.0,4.0,2.0,,2.0,,,,,3.0,,1.0,,,3.0,1.0,,1.0,2.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,
31,755609,2015-04-04 15:00:00,"Old Trafford, Manchester",75397,Home,Manchester United,Aston Villa,3,1,W,1,0,0,0,,,1.0,,53.0,,1.0,3.0,59.0,19.0,6.0,6.0,1.0,1.0,193.0,9.0,10.0,3.0,4.0,14.0,7.0,216.0,122.0,50.0,1.0,20.0,1.0,12.0,2.0,1.0,,,5.0,41.0,14.0,2.0,19.0,6.0,30.0,49.0,421.0,0.0,259.0,15.0,,1.0,,126.0,176.0,8.0,113.0,,,3.0,35.0,14.0,1.0,9.0,122.0,4.0,214.0,920.0,,11.0,4.0,2.0,,10.0,648.0,22.0,1.0,11.0,0.0,1.0,6.0,16.0,711.0,87.0,76359,9.0,256.0,26.0,2.0,262.0,10.0,2.0,14.0,6.0,49.0,,5.0,5.0,1.0,4.0,1.0,74.0,668.0,11.0,6.0,,10.0,71.0,0.0,,,3.0,,,1.0,,0.0,9.0,3.0,,76.4,15.0,1.0,4.0,5.0,4.0,49.0,10.0,736.0,10.0,12.0,39.0,9.0,29.0,,6.0,515.0,11.0,30.0,15.0,220.0,22.0,1.0,,11.0,16.0,1.0,15.0,2.0,14.0,,5.0,10.0,1.0,,,2.0,3.0,1.0,,2.0,1.0,3.0,1.0,2.0,,1.0,2.0,1.0,1.0,,2.0,1.0,,2.0,,,2.0,3.0,,,,3.0,1.0,,,3.0,1.0,,,1.0,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,
32,755615,2015-04-12 16:00:00,"Old Trafford, Manchester",75313,Home,Manchester United,Manchester City,4,2,W,2,1,0,0,,,1.0,4.0,55.0,,,3.0,47.0,34.0,2.0,4.0,1.0,2.0,195.0,5.0,12.0,4.0,4.0,8.0,7.0,142.0,155.0,53.0,1.0,11.0,,17.0,1.0,1.0,,1.0,,13.0,9.0,2.0,34.0,1.0,17.0,40.0,206.0,0.0,137.0,9.0,,1.0,2.0,123.0,53.0,6.0,86.0,1.0,,1.0,12.0,14.0,1.0,2.0,155.0,8.0,123.0,764.0,,4.0,12.0,,,29.0,422.0,23.0,12.0,10.0,0.0,4.0,1.0,25.0,523.0,67.0,76359,5.0,241.0,8.0,,260.0,6.0,1.0,14.0,4.0,55.0,3.0,4.0,15.0,2.0,2.0,,87.0,442.0,14.0,7.0,,36.0,97.0,0.0,1.0,,4.0,,,2.0,5.0,0.0,5.0,3.0,1.0,58.6,23.0,1.0,5.0,4.0,3.0,55.0,1.0,546.0,29.0,8.0,18.0,1.0,9.0,,1.0,299.0,4.0,17.0,14.0,87.0,23.0,,2.0,10.0,15.0,2.0,7.0,3.0,26.0,2.0,6.0,1.0,1.0,,1.0,3.0,,6.0,,3.0,,3.0,,5.0,1.0,1.0,1.0,,2.0,,,1.0,,2.0,,,,2.0,,,,3.0,,,,3.0,,,2.0,1.0,,,,,2.0,,,,,,,3.0,1.0,1.0,,2.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,
33,755625,2015-04-18 17:30:00,"Stamford Bridge, London",41422,Away,Manchester United,Chelsea,0,1,L,0,1,0,0,,,,,59.0,,1.0,2.0,50.0,24.0,8.0,7.0,1.0,2.0,139.0,3.0,10.0,,2.0,15.0,2.0,188.0,124.0,59.0,,15.0,3.0,14.0,,,1.0,1.0,3.0,24.0,19.0,2.0,24.0,7.0,18.0,36.0,345.0,0.0,164.0,11.0,1.0,1.0,1.0,130.0,83.0,7.0,131.0,5.0,,2.0,17.0,11.0,,6.0,124.0,3.0,206.0,882.0,,13.0,6.0,,1.0,18.0,590.0,16.0,11.0,14.0,1.0,3.0,8.0,23.0,644.0,64.0,59846,6.0,265.0,10.0,,278.0,4.0,,11.0,3.0,63.0,3.0,6.0,6.0,4.0,1.0,2.0,77.0,607.0,13.0,10.0,2.0,25.0,81.0,0.0,,2.0,,,,1.0,2.0,0.0,2.0,1.0,1.0,70.4,18.0,1.0,4.0,6.0,5.0,63.0,7.0,664.0,18.0,15.0,25.0,8.0,12.0,1.0,4.0,410.0,7.0,15.0,17.0,136.0,32.0,,2.0,14.0,21.0,1.0,12.0,3.0,24.0,2.0,8.0,7.0,,,,,3.0,,1.0,,1.0,,1.0,3.0,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,2.0,,,,,,,1.0,1.0,,,,,,2.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,
34,755636,2015-04-26 13:30:00,"Goodison Park, Liverpool",39497,Away,Manchester United,Everton,0,3,L,0,2,0,0,,1.0,,,68.0,,3.0,3.0,43.0,22.0,10.0,3.0,4.0,2.0,154.0,9.0,9.0,,2.0,14.0,4.0,171.0,155.0,38.0,,17.0,7.0,7.0,3.0,,,2.0,,32.0,11.0,1.0,22.0,6.0,12.0,25.0,315.0,0.0,212.0,10.0,1.0,,1.0,90.0,108.0,12.0,90.0,3.0,,1.0,26.0,21.0,,12.0,155.0,4.0,161.0,795.0,,11.0,3.0,2.0,,19.0,483.0,24.0,3.0,13.0,2.0,,2.0,28.0,562.0,74.0,59846,5.0,191.0,13.0,1.0,209.0,5.0,,21.0,2.0,50.0,2.0,4.0,22.0,5.0,2.0,1.0,66.0,497.0,6.0,11.0,3.0,17.0,61.0,0.0,,4.0,,,,3.0,1.0,0.0,4.0,3.0,,65.1,26.0,1.0,4.0,4.0,10.0,41.0,7.0,576.0,19.0,14.0,11.0,3.0,18.0,5.0,1.0,399.0,9.0,12.0,9.0,172.0,35.0,,,13.0,14.0,3.0,13.0,3.0,18.0,,9.0,7.0,,1.0,1.0,,2.0,,,,1.0,,,7.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
35,755648,2015-05-02 17:30:00,"Old Trafford, Manchester",75454,Home,Manchester United,West Bromwich Albion,0,1,L,0,0,0,0,,,7.0,,54.0,,,7.0,45.0,12.0,12.0,15.0,2.0,2.0,149.0,9.0,6.0,,2.0,18.0,9.0,250.0,139.0,47.0,1.0,26.0,5.0,12.0,3.0,,,2.0,3.0,43.0,9.0,6.0,12.0,7.0,5.0,44.0,470.0,0.0,299.0,10.0,,2.0,,113.0,121.0,14.0,77.0,1.0,,1.0,36.0,10.0,1.0,13.0,139.0,3.0,244.0,928.0,1.0,17.0,9.0,,,13.0,629.0,17.0,2.0,4.0,1.0,,4.0,23.0,700.0,73.0,76359,11.0,186.0,23.0,1.0,200.0,7.0,,10.0,5.0,39.0,3.0,7.0,14.0,3.0,4.0,,74.0,647.0,9.0,4.0,1.0,12.0,45.0,0.0,1.0,1.0,,,,1.0,4.0,0.0,6.0,1.0,,79.7,22.0,1.0,4.0,7.0,12.0,31.0,9.0,720.0,13.0,12.0,25.0,5.0,35.0,3.0,3.0,563.0,10.0,5.0,18.0,254.0,24.0,,2.0,4.0,15.0,1.0,20.0,2.0,7.0,2.0,4.0,9.0,,1.0,,,2.0,1.0,,2.0,3.0,,3.0,3.0,2.0,,2.0,,,,1.0,,,,1.0,,1.0,,,,,,1.0,2.0,,,3.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,
36,755656,2015-05-09 17:30:00,"Selhurst Park, London",25009,Away,Manchester United,Crystal Palace,2,1,W,1,0,0,0,1.0,1.0,1.0,2.0,53.0,1.0,,5.0,38.0,48.0,2.0,4.0,3.0,1.0,145.0,7.0,6.0,2.0,1.0,11.0,4.0,124.0,119.0,63.0,,13.0,,21.0,1.0,,,,1.0,20.0,18.0,1.0,48.0,5.0,10.0,29.0,224.0,0.0,126.0,12.0,,,,67.0,67.0,8.0,81.0,,,1.0,15.0,13.0,,3.0,119.0,11.0,127.0,682.0,,10.0,6.0,,1.0,7.0,371.0,19.0,7.0,31.0,1.0,3.0,3.0,17.0,444.0,69.0,76359,6.0,179.0,12.0,,193.0,4.0,,13.0,12.0,51.0,1.0,5.0,7.0,2.0,8.0,1.0,79.0,396.0,12.0,10.0,,29.0,91.0,0.0,,2.0,2.0,,,1.0,2.0,0.0,6.0,1.0,,62.5,11.0,,4.0,5.0,5.0,53.0,6.0,477.0,7.0,5.0,13.0,4.0,10.0,1.0,3.0,304.0,7.0,9.0,20.0,88.0,19.0,,7.0,31.0,26.0,,11.0,3.0,10.0,7.0,5.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,7.0,3.0,,4.0,,,,5.0,,,,1.0,,5.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,
37,755665,2015-05-17 16:00:00,"Old Trafford, Manchester",75323,Home,Manchester United,Arsenal,1,1,D,1,0,0,0,,2.0,2.0,,80.0,,,4.0,47.0,26.0,5.0,6.0,3.0,,172.0,7.0,8.0,1.0,4.0,10.0,4.0,138.0,148.0,71.0,1.0,12.0,1.0,12.0,1.0,,,1.0,,20.0,26.0,2.0,26.0,2.0,8.0,31.0,256.0,0.0,190.0,16.0,,1.0,,94.0,86.0,7.0,103.0,1.0,,1.0,18.0,23.0,1.0,5.0,148.0,6.0,147.0,772.0,,8.0,7.0,1.0,,24.0,442.0,30.0,14.0,14.0,1.0,,3.0,17.0,538.0,76.0,76359,6.0,210.0,13.0,,227.0,10.0,1.0,23.0,7.0,60.0,8.0,3.0,4.0,,4.0,1.0,90.0,459.0,8.0,18.0,1.0,43.0,86.0,0.0,1.0,1.0,1.0,,,1.0,4.0,0.0,6.0,1.0,,57.4,14.0,,8.0,4.0,5.0,47.0,5.0,560.0,24.0,13.0,17.0,3.0,17.0,1.0,1.0,353.0,5.0,7.0,18.0,133.0,34.0,,5.0,14.0,37.0,1.0,9.0,3.0,12.0,5.0,10.0,5.0,,1.0,1.0,1.0,2.0,,,,3.0,1.0,,5.0,3.0,,,,,,,,,,2.0,,,1.0,,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0
38,755678,2015-05-24 15:00:00,"The MKM Stadium, Hull",24745,Away,Manchester United,Hull City,0,0,D,0,0,1,0,,,,,65.0,,2.0,1.0,47.0,39.0,4.0,2.0,6.0,1.0,173.0,,7.0,,4.0,6.0,1.0,131.0,137.0,52.0,1.0,7.0,2.0,17.0,,2.0,1.0,,1.0,8.0,14.0,1.0,39.0,1.0,17.0,30.0,196.0,0.0,124.0,15.0,2.0,,1.0,83.0,73.0,3.0,100.0,6.0,,1.0,7.0,14.0,1.0,2.0,137.0,11.0,121.0,699.0,,6.0,6.0,,1.0,17.0,409.0,24.0,7.0,29.0,2.0,4.0,3.0,17.0,491.0,50.0,76359,,228.0,4.0,,257.0,9.0,,14.0,10.0,54.0,,4.0,5.0,5.0,1.0,,99.0,424.0,12.0,5.0,,34.0,83.0,0.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,,1.0,59.1,13.0,,4.0,4.0,3.0,40.0,1.0,525.0,17.0,12.0,14.0,3.0,12.0,,2.0,276.0,5.0,16.0,16.0,92.0,22.0,,1.0,29.0,17.0,,6.0,3.0,12.0,1.0,4.0,1.0,,,,,,,,,,,1.0,8.0,4.0,,,,,1.0,2.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
