gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attCmissRight,attOboxTarget,attOboxMiss,totalPullBack,ownGoals,attSvLowRight,punches,goalsConceded,attIboxOwnGoal,goalsConcededIbox,errorLeadToGoal,attFreekickTotal,attMissHighRight,freekickTotal,attHdTarget,attCmissLeft,shieldBallOop,attFreekickMiss,goalsConcededObox,attRfTarget,postScoringAtt,attIboxPost,attSvHighLeft,contentiousDecision,attPostLeft,hitWoodwork,attMissHighLeft,handBall,accurateThroughBall,clearanceOffLine,bigChanceScored,attGoalLowCentre,accuratePullBack,shotFastbreak,goalAssistOpenplay,attGoalHighRight,attOboxGoal,ptsGainedLosingPos,totalFastbreak,midfielderGoals,attGoalHighCentre,penaltyConceded,attRfGoal,goalsOpenplay,attFastbreak,penaltyFaced,penGoalsConceded,accurateKeeperSweeper,attOneOnOne,totalKeeperSweeper,sixYardBlock,attCmissHigh,attMissHigh,attSvHighCentre,attCmissHighLeft,attGoalHighLeft,ptsDroppedWinningPos,attSvLowLeft,errorLeadToShot,goalFastbreak,goalAssistDeadball,attSvHighRight,subsGoals,attFreekickTarget,attGoalLowLeft,attObxRight,attFreekickPost,attOboxPost,attPostRight,foulThrowIn
27,2293070,2023-03-11 12:30:00,"Vitality Stadium, Bournemouth",10536,Home,Bournemouth,Liverpool,1,0,W,1,0,0,0,1.0,30.0,69.0,,2.0,,,13.0,34.0,,3.0,5.0,5.0,,140.0,13.0,3.0,18.0,1.0,1.0,3.0,2.0,52.0,154.0,55.0,5.0,,14.0,1.0,,1.0,,11.0,7.0,34.0,2.0,1.0,46.0,75.0,1.0,0.0,67.0,7.0,2.0,,,56.0,36.0,2.0,34.0,3.0,2.0,9.0,17.0,,5.0,154.0,2.0,11.0,52.0,488.0,2.0,1.0,12.0,13.0,172.0,34.0,3.0,23.0,1.0,2.0,1.0,1.0,21.0,252.0,45.0,,88900,1.0,110.0,1.0,4.0,,144.0,4.0,9.0,8.0,49.0,,,2.0,6.0,18.0,4.0,1.0,63.0,182.0,9.0,7.0,,19.0,1.0,65.0,0.0,2.0,8.0,4.0,1.0,,0.0,3.0,1.0,,30.7,15.0,,1.0,3.0,6.0,,24.0,3.0,,278.0,13.0,7.0,13.0,3.0,13.0,,3.0,145.0,2.0,1.0,17.0,34.0,24.0,1.0,4.0,23.0,11.0,,4.0,5.0,33.0,4.0,9.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,2.0,,2.0,,,1.0,,,,,,3.0,,,,,,,,,,,
28,2293081,2023-03-18 15:00:00,"Villa Park, Birmingham",41021,Away,Bournemouth,Aston Villa,0,3,L,0,1,0,0,1.0,16.0,56.0,,1.0,3.0,,25.0,17.0,1.0,4.0,9.0,6.0,,113.0,10.0,5.0,12.0,,1.0,8.0,3.0,78.0,105.0,49.0,10.0,,7.0,2.0,1.0,2.0,2.0,15.0,15.0,17.0,6.0,2.0,40.0,129.0,,0.0,82.0,13.0,2.0,,1.0,52.0,38.0,5.0,64.0,2.0,1.0,9.0,18.0,1.0,1.0,105.0,,16.0,95.0,538.0,7.0,3.0,25.0,12.0,279.0,24.0,,5.0,,4.0,7.0,3.0,13.0,334.0,48.0,,88900,4.0,170.0,1.0,8.0,,189.0,6.0,11.0,5.0,55.0,8.0,,2.0,4.0,17.0,4.0,4.0,45.0,294.0,8.0,19.0,1.0,5.0,3.0,47.0,0.0,2.0,9.0,5.0,,2.0,0.0,3.0,,4.0,44.2,11.0,2.0,4.0,2.0,4.0,3.0,31.0,6.0,1.0,350.0,12.0,6.0,20.0,4.0,22.0,2.0,4.0,176.0,2.0,2.0,9.0,58.0,23.0,,,5.0,20.0,,6.0,5.0,22.0,,11.0,6.0,1.0,1.0,,,,,,3.0,,3.0,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,
29,2293090,2023-04-01 15:00:00,"Vitality Stadium, Bournemouth",10305,Home,Bournemouth,Fulham,2,1,W,0,1,0,0,4.0,12.0,60.0,,1.0,1.0,,33.0,11.0,3.0,6.0,9.0,1.0,1.0,146.0,7.0,2.0,16.0,2.0,3.0,6.0,7.0,75.0,132.0,58.0,12.0,1.0,11.0,5.0,,3.0,,12.0,13.0,11.0,2.0,3.0,49.0,142.0,,0.0,129.0,15.0,,2.0,,62.0,58.0,4.0,61.0,,2.0,10.0,14.0,3.0,4.0,132.0,2.0,7.0,85.0,532.0,5.0,6.0,26.0,8.0,261.0,17.0,2.0,6.0,,1.0,2.0,2.0,13.0,337.0,65.0,1.0,88900,4.0,141.0,4.0,4.0,1.0,155.0,9.0,5.0,9.0,52.0,1.0,,1.0,5.0,14.0,3.0,6.0,64.0,281.0,13.0,8.0,1.0,7.0,3.0,67.0,0.0,1.0,3.0,,1.0,,0.0,2.0,,1.0,42.7,12.0,1.0,5.0,2.0,5.0,2.0,36.0,4.0,,367.0,8.0,7.0,21.0,3.0,24.0,,2.0,224.0,5.0,3.0,12.0,82.0,28.0,1.0,1.0,6.0,17.0,,8.0,4.0,28.0,1.0,5.0,4.0,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,3.0,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,1.0,,,,,
30,2293104,2023-04-08 15:00:00,"King Power Stadium, Leicester",32094,Away,Bournemouth,Leicester City,1,0,W,1,0,0,0,3.0,21.0,64.0,1.0,,7.0,,27.0,25.0,6.0,10.0,13.0,4.0,,163.0,5.0,3.0,7.0,1.0,3.0,9.0,7.0,100.0,146.0,45.0,19.0,3.0,18.0,5.0,1.0,2.0,,16.0,5.0,25.0,4.0,4.0,50.0,167.0,1.0,0.0,131.0,13.0,1.0,2.0,,76.0,47.0,8.0,61.0,3.0,1.0,12.0,20.0,6.0,6.0,146.0,1.0,10.0,93.0,622.0,9.0,11.0,34.0,11.0,313.0,23.0,2.0,16.0,,3.0,2.0,1.0,24.0,392.0,59.0,,88900,4.0,164.0,1.0,4.0,,181.0,10.0,12.0,9.0,58.0,6.0,,2.0,3.0,12.0,4.0,3.0,59.0,328.0,10.0,8.0,,10.0,8.0,73.0,0.0,6.0,6.0,4.0,,3.0,0.0,2.0,,3.0,49.2,19.0,,10.0,3.0,3.0,10.0,38.0,6.0,,417.0,11.0,7.0,26.0,2.0,22.0,1.0,1.0,252.0,6.0,4.0,20.0,91.0,24.0,,1.0,16.0,8.0,,10.0,3.0,19.0,1.0,12.0,6.0,1.0,1.0,,1.0,,2.0,,,,,,1.0,,1.0,2.0,,,,,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,4.0,,,2.0,,,,,,,,,,,,,1.0,1.0,,
31,2293117,2023-04-15 15:15:00,"Tottenham Hotspur Stadium, London",61369,Away,Bournemouth,Tottenham Hotspur,3,2,W,1,1,0,0,1.0,19.0,62.0,3.0,2.0,1.0,,19.0,37.0,3.0,5.0,6.0,6.0,2.0,134.0,9.0,1.0,13.0,3.0,,7.0,6.0,93.0,128.0,47.0,9.0,,21.0,1.0,1.0,,,5.0,12.0,37.0,1.0,2.0,25.0,157.0,,0.0,99.0,9.0,,,,46.0,59.0,5.0,61.0,1.0,,4.0,18.0,3.0,3.0,128.0,2.0,15.0,91.0,584.0,5.0,7.0,19.0,18.0,271.0,20.0,3.0,15.0,2.0,3.0,8.0,2.0,11.0,344.0,47.0,,88900,4.0,133.0,,1.0,,160.0,4.0,11.0,15.0,56.0,2.0,,1.0,4.0,12.0,9.0,7.0,54.0,289.0,7.0,10.0,,15.0,,58.0,0.0,3.0,8.0,4.0,3.0,2.0,0.0,,2.0,,42.6,10.0,,5.0,,4.0,1.0,27.0,1.0,1.0,379.0,18.0,9.0,13.0,2.0,12.0,1.0,1.0,224.0,4.0,2.0,10.0,61.0,25.0,1.0,1.0,15.0,17.0,,9.0,4.0,21.0,1.0,11.0,1.0,,2.0,1.0,,,1.0,1.0,2.0,,2.0,,,1.0,,,,3.0,,,2.0,,,,,,,,,2.0,,3.0,,,1.0,2.0,,,3.0,1.0,1.0,,,1.0,3.0,1.0,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,,,,
32,2293120,2023-04-23 14:00:00,"Vitality Stadium, Bournemouth",10465,Home,Bournemouth,West Ham United,0,4,L,0,3,0,0,1.0,14.0,67.0,,4.0,3.0,,17.0,12.0,7.0,7.0,10.0,6.0,,175.0,8.0,12.0,11.0,,,12.0,5.0,188.0,138.0,45.0,17.0,2.0,16.0,2.0,2.0,1.0,,32.0,7.0,12.0,8.0,4.0,36.0,331.0,,0.0,203.0,7.0,,,2.0,134.0,64.0,6.0,82.0,1.0,4.0,24.0,13.0,7.0,14.0,138.0,1.0,10.0,198.0,848.0,11.0,5.0,31.0,9.0,540.0,26.0,1.0,6.0,,1.0,4.0,6.0,24.0,623.0,70.0,,88900,5.0,241.0,1.0,10.0,,260.0,3.0,6.0,4.0,45.0,1.0,,,10.0,16.0,8.0,4.0,40.0,560.0,8.0,5.0,1.0,11.0,2.0,62.0,0.0,1.0,5.0,2.0,,4.0,0.0,9.0,,3.0,64.6,23.0,2.0,4.0,1.0,10.0,5.0,41.0,8.0,2.0,643.0,9.0,7.0,15.0,7.0,40.0,3.0,4.0,415.0,7.0,4.0,15.0,158.0,27.0,,1.0,6.0,11.0,,15.0,5.0,21.0,1.0,6.0,8.0,1.0,3.0,2.0,1.0,,2.0,,4.0,,4.0,,,,,1.0,,,,,3.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,
33,2293139,2023-04-27 19:45:00,"St. Mary's Stadium, Southampton",30414,Away,Bournemouth,Southampton,1,0,W,0,0,0,0,,14.0,64.0,,,8.0,,21.0,32.0,5.0,10.0,11.0,2.0,1.0,147.0,7.0,3.0,17.0,1.0,3.0,10.0,2.0,101.0,136.0,57.0,16.0,2.0,10.0,,1.0,1.0,,15.0,12.0,32.0,4.0,2.0,46.0,149.0,1.0,0.0,108.0,11.0,1.0,,,33.0,60.0,7.0,57.0,,1.0,11.0,19.0,5.0,3.0,136.0,,5.0,84.0,601.0,8.0,9.0,33.0,6.0,290.0,28.0,3.0,19.0,1.0,3.0,3.0,3.0,19.0,368.0,52.0,,69752,8.0,159.0,,8.0,,176.0,7.0,9.0,6.0,56.0,1.0,,2.0,2.0,18.0,6.0,5.0,52.0,305.0,7.0,17.0,1.0,18.0,3.0,66.0,0.0,,6.0,2.0,1.0,3.0,0.0,1.0,,1.0,43.5,18.0,1.0,3.0,2.0,2.0,10.0,36.0,4.0,,389.0,6.0,10.0,21.0,4.0,27.0,2.0,2.0,228.0,5.0,1.0,12.0,66.0,29.0,,3.0,19.0,21.0,,13.0,4.0,26.0,3.0,9.0,4.0,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,
34,2293140,2023-04-30 14:00:00,"Vitality Stadium, Bournemouth",10434,Home,Bournemouth,Leeds United,4,1,W,2,1,0,0,2.0,25.0,69.0,,3.0,3.0,,25.0,20.0,1.0,4.0,11.0,5.0,1.0,162.0,13.0,2.0,11.0,4.0,,7.0,7.0,77.0,145.0,61.0,12.0,,23.0,2.0,1.0,2.0,,8.0,12.0,20.0,1.0,7.0,46.0,96.0,,0.0,105.0,12.0,5.0,,1.0,25.0,61.0,6.0,63.0,,,7.0,23.0,1.0,4.0,145.0,2.0,10.0,69.0,577.0,6.0,7.0,26.0,6.0,255.0,31.0,3.0,8.0,1.0,1.0,1.0,1.0,21.0,341.0,64.0,,88900,7.0,177.0,2.0,3.0,,197.0,4.0,11.0,9.0,66.0,,,2.0,4.0,14.0,5.0,2.0,70.0,271.0,14.0,13.0,,22.0,2.0,79.0,0.0,,6.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,42.1,17.0,1.0,3.0,,4.0,3.0,39.0,2.0,1.0,371.0,6.0,9.0,20.0,2.0,17.0,,2.0,182.0,6.0,7.0,12.0,51.0,28.0,1.0,2.0,8.0,24.0,,10.0,5.0,21.0,2.0,11.0,2.0,,1.0,,1.0,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,2.0,1.0,1.0,,1.0,1.0,,,,2.0,1.0,,3.0,3.0,,,,,,,,1.0,2.0,1.0,,,,,,,,,1.0,,1.0,,,,,
35,2293150,2023-05-06 15:00:00,"Vitality Stadium, Bournemouth",10357,Home,Bournemouth,Chelsea,1,3,L,1,1,0,0,2.0,27.0,48.0,,1.0,2.0,,14.0,25.0,3.0,4.0,7.0,2.0,,117.0,16.0,4.0,8.0,1.0,,10.0,4.0,76.0,117.0,44.0,10.0,,11.0,1.0,,,2.0,14.0,9.0,25.0,7.0,3.0,38.0,99.0,,0.0,85.0,9.0,1.0,,1.0,33.0,41.0,6.0,38.0,4.0,1.0,7.0,13.0,3.0,,117.0,1.0,6.0,74.0,477.0,9.0,3.0,25.0,8.0,210.0,26.0,,13.0,1.0,1.0,1.0,4.0,24.0,279.0,37.0,,88900,5.0,135.0,1.0,7.0,,162.0,5.0,4.0,10.0,46.0,2.0,1.0,1.0,4.0,11.0,5.0,9.0,35.0,230.0,9.0,15.0,,3.0,2.0,38.0,0.0,5.0,7.0,1.0,1.0,,0.0,2.0,1.0,2.0,34.0,21.0,2.0,2.0,1.0,4.0,2.0,17.0,7.0,1.0,305.0,8.0,6.0,11.0,4.0,22.0,2.0,3.0,157.0,4.0,1.0,11.0,55.0,13.0,,2.0,13.0,16.0,,8.0,4.0,14.0,2.0,4.0,7.0,1.0,2.0,1.0,1.0,,1.0,,3.0,,3.0,,,,,,2.0,4.0,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,
36,2293164,2023-05-13 15:00:00,"Selhurst Park, London",25034,Away,Bournemouth,Crystal Palace,0,2,L,0,1,0,0,,19.0,58.0,,1.0,3.0,,23.0,33.0,2.0,2.0,3.0,3.0,,133.0,10.0,3.0,7.0,,1.0,4.0,,112.0,123.0,47.0,5.0,1.0,11.0,,,,,5.0,10.0,33.0,2.0,5.0,40.0,87.0,,0.0,69.0,12.0,1.0,,2.0,30.0,34.0,4.0,60.0,2.0,,3.0,20.0,2.0,1.0,123.0,,12.0,105.0,606.0,3.0,6.0,17.0,11.0,310.0,22.0,4.0,14.0,,2.0,5.0,,18.0,388.0,35.0,,88900,2.0,246.0,,2.0,,276.0,6.0,13.0,12.0,57.0,,,1.0,6.0,15.0,5.0,11.0,46.0,330.0,5.0,12.0,1.0,8.0,2.0,50.0,0.0,1.0,11.0,2.0,,2.0,0.0,1.0,,2.0,40.2,17.0,,3.0,,7.0,4.0,25.0,2.0,2.0,410.0,11.0,15.0,20.0,1.0,16.0,2.0,,139.0,1.0,5.0,15.0,43.0,24.0,,,14.0,20.0,,2.0,5.0,14.0,,13.0,2.0,,,1.0,,,,2.0,2.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2293170,2023-05-20 15:00:00,"Vitality Stadium, Bournemouth",10240,Home,Bournemouth,Manchester United,0,1,L,0,1,0,0,1.0,18.0,72.0,,2.0,2.0,,17.0,20.0,2.0,4.0,8.0,4.0,,156.0,10.0,3.0,8.0,,2.0,7.0,4.0,110.0,123.0,34.0,10.0,1.0,13.0,4.0,2.0,2.0,1.0,13.0,7.0,20.0,3.0,6.0,46.0,161.0,,0.0,109.0,6.0,2.0,,,48.0,57.0,5.0,71.0,4.0,,10.0,17.0,2.0,3.0,123.0,1.0,10.0,116.0,650.0,7.0,4.0,23.0,18.0,375.0,30.0,1.0,8.0,,1.0,7.0,2.0,11.0,433.0,44.0,,88900,3.0,229.0,1.0,7.0,1.0,249.0,5.0,10.0,9.0,60.0,2.0,,,8.0,15.0,10.0,5.0,46.0,387.0,7.0,15.0,,8.0,,59.0,0.0,2.0,6.0,2.0,,1.0,0.0,3.0,,1.0,41.5,9.0,1.0,6.0,2.0,10.0,3.0,39.0,3.0,1.0,453.0,18.0,15.0,21.0,3.0,26.0,,2.0,217.0,5.0,6.0,7.0,81.0,25.0,,2.0,8.0,12.0,,8.0,3.0,19.0,2.0,10.0,3.0,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,,3.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,
38,2293185,2023-05-28 16:30:00,"Goodison Park, Liverpool",39201,Away,Bournemouth,Everton,0,1,L,0,0,0,0,1.0,21.0,60.0,,2.0,2.0,,26.0,29.0,3.0,2.0,4.0,5.0,,176.0,8.0,2.0,6.0,,,5.0,2.0,140.0,142.0,47.0,7.0,,21.0,1.0,,1.0,1.0,15.0,7.0,29.0,3.0,1.0,43.0,146.0,,0.0,92.0,12.0,5.0,1.0,,70.0,42.0,4.0,77.0,1.0,1.0,13.0,14.0,3.0,3.0,142.0,,8.0,140.0,724.0,4.0,5.0,15.0,6.0,428.0,33.0,4.0,16.0,,3.0,2.0,1.0,20.0,510.0,55.0,,88900,3.0,303.0,,9.0,,331.0,2.0,6.0,10.0,59.0,,,1.0,7.0,20.0,5.0,9.0,65.0,447.0,11.0,8.0,1.0,20.0,2.0,77.0,0.0,2.0,9.0,3.0,,1.0,0.0,2.0,,2.0,62.2,19.0,,3.0,,7.0,2.0,41.0,3.0,,533.0,6.0,5.0,19.0,3.0,27.0,1.0,1.0,217.0,3.0,1.0,18.0,60.0,17.0,,1.0,16.0,12.0,,5.0,3.0,19.0,1.0,6.0,3.0,,1.0,2.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
