gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,penaltySave,attLfTarget,bigChanceScored,attGoalLowLeft,attRfTarget,goals,ontargetScoringAtt,attFreekickTotal,attIboxTarget,attOboxTarget,attMissHighRight,attSvHighRight,cleanSheet,attSvLowLeft,freekickTotal,attOboxMiss,bigChanceCreated,contentiousDecision,attHdTarget,hitWoodwork,attMissHighLeft,accurateThroughBall,bigChanceMissed,attSetpiece,penaltyConceded,attRfGoal,totalThroughBall,totalOffside,attCmissHighLeft,goalsOpenplay,attAssistSetplay,attCorner,attSvLowRight,attCmissLeft,punches,attIboxGoal,accurateFlickOn,attBxLeft,attSvHighCentre,penaltyFaced,attFreekickMiss,accurateCornersIntobox,forwardGoals,attGoalLowRight,attSvLowCentre,errorLeadToShot,totalPullBack,attCmissHigh,ptsDroppedWinningPos,attCmissRight,sixYardBlock,shotFastbreak,totalFastbreak,attFastbreak,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,penaltyWon,midfielderGoals,attGoalHighCentre,goalAssist,attPenGoal,goalAssistIntentional,attHdGoal,postScoringAtt,goalAssistOpenplay,attIboxPost,attPostLeft,subsGoals,attGoalLowCentre,attPenTarget,penGoalsConceded,attPostRight,attOboxGoal,ptsGainedLosingPos,foulThrowIn,accuratePullBack,defenderGoals,attOboxPost,attPostHigh,attLfGoal,attOneOnOne,attCmissHighRight,attGoalHighLeft,attSvHighLeft,attGoalHighRight,goalFastbreak
27,2293078,2023-03-11 15:00:00,"Tottenham Hotspur Stadium, London",61460.0,Away,Nottingham Forest,Tottenham Hotspur,1,3,L,0,2,0,0,,21.0,56.0,,1.0,27.0,18.0,2.0,3.0,7.0,4.0,131.0,10.0,3.0,13.0,2.0,7.0,103.0,113.0,44.0,9.0,1.0,17.0,1.0,,1.0,20.0,7.0,18.0,8.0,5.0,36.0,172.0,0.0,91.0,13.0,2.0,1.0,,37.0,68.0,6.0,60.0,,,12.0,13.0,2.0,5.0,113.0,13.0,97.0,556.0,4.0,5.0,21.0,7.0,304.0,22.0,2.0,8.0,,1.0,5.0,1.0,9.0,368.0,39.0,,89076,4.0,149.0,6.0,163.0,6.0,6.0,3.0,50.0,9.0,10.0,2.0,,,49.0,318.0,12.0,10.0,8.0,49.0,0.0,1.0,2.0,4.0,3.0,0.0,1.0,,3.0,44.8,8.0,,4.0,9.0,2.0,,26.0,10.0,,391.0,7.0,5.0,19.0,2.0,28.0,1.0,248.0,3.0,5.0,11.0,65.0,19.0,,8.0,8.0,3.0,2.0,5.0,18.0,,6.0,10.0,,,1.0,1.0,1.0,2.0,1.0,5.0,,4.0,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,2.0,4.0,,,1.0,1.0,2.0,,,1.0,,2.0,,,2.0,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,
28,2293087,2023-03-17 20:00:00,"The City Ground, Nottingham",29362.0,Home,Nottingham Forest,Newcastle United,1,2,L,1,1,0,0,,18.0,53.0,,,29.0,23.0,3.0,1.0,2.0,2.0,130.0,7.0,1.0,5.0,,1.0,51.0,140.0,39.0,5.0,,25.0,2.0,,2.0,10.0,9.0,23.0,2.0,4.0,37.0,97.0,0.0,89.0,17.0,,,,40.0,53.0,1.0,56.0,,,8.0,14.0,3.0,3.0,140.0,12.0,48.0,458.0,1.0,4.0,6.0,10.0,176.0,25.0,5.0,13.0,,5.0,5.0,,23.0,255.0,46.0,,89076,,96.0,5.0,119.0,11.0,7.0,10.0,64.0,5.0,18.0,3.0,4.0,,79.0,192.0,9.0,9.0,27.0,72.0,0.0,1.0,7.0,2.0,2.0,0.0,1.0,,,38.4,20.0,,2.0,5.0,,,26.0,3.0,,285.0,10.0,7.0,14.0,2.0,18.0,,176.0,4.0,4.0,13.0,48.0,15.0,2.0,13.0,12.0,2.0,3.0,4.0,13.0,2.0,7.0,3.0,1.0,,1.0,1.0,,1.0,1.0,3.0,,1.0,1.0,,,,,,2.0,,,,,,,,,1.0,1.0,,1.0,,1.0,,2.0,1.0,2.0,,1.0,3.0,,1.0,1.0,,,,,,,1.0,,3.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
29,2293098,2023-04-01 15:00:00,"The City Ground, Nottingham",29368.0,Home,Nottingham Forest,Wolverhampton Wanderers,1,1,D,1,0,0,0,,22.0,56.0,,2.0,16.0,13.0,3.0,4.0,14.0,,123.0,16.0,3.0,11.0,1.0,13.0,49.0,123.0,56.0,17.0,1.0,16.0,2.0,,2.0,14.0,8.0,13.0,3.0,3.0,37.0,76.0,0.0,84.0,14.0,,1.0,1.0,26.0,28.0,9.0,26.0,1.0,3.0,11.0,20.0,3.0,1.0,123.0,5.0,37.0,424.0,11.0,4.0,43.0,6.0,149.0,29.0,3.0,7.0,,3.0,4.0,4.0,18.0,212.0,38.0,1.0,89076,7.0,89.0,9.0,111.0,6.0,14.0,5.0,54.0,5.0,16.0,3.0,2.0,1.0,44.0,162.0,13.0,11.0,14.0,46.0,0.0,,3.0,,1.0,0.0,2.0,1.0,2.0,27.6,11.0,1.0,2.0,5.0,3.0,,18.0,4.0,1.0,235.0,6.0,3.0,15.0,7.0,26.0,7.0,138.0,11.0,3.0,17.0,50.0,16.0,2.0,7.0,15.0,1.0,11.0,4.0,22.0,2.0,14.0,4.0,,,1.0,,,4.0,1.0,7.0,,4.0,2.0,1.0,1.0,,,,,,,1.0,,,,,5.0,,1.0,,2.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,4.0,1.0,,,1.0,,1.0,2.0,,,,2.0,,,2.0,2.0,2.0,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,
30,2293100,2023-04-08 15:00:00,"Villa Park, Birmingham",42076.0,Away,Nottingham Forest,Aston Villa,0,2,L,0,0,0,0,,13.0,35.0,,2.0,16.0,11.0,3.0,2.0,3.0,1.0,112.0,3.0,1.0,10.0,,3.0,38.0,127.0,48.0,6.0,1.0,11.0,,,,18.0,11.0,11.0,8.0,2.0,35.0,62.0,0.0,60.0,17.0,1.0,1.0,1.0,25.0,39.0,2.0,24.0,1.0,,10.0,14.0,3.0,5.0,127.0,8.0,53.0,381.0,3.0,16.0,14.0,5.0,133.0,19.0,,4.0,,4.0,1.0,1.0,26.0,203.0,39.0,,89076,3.0,88.0,4.0,109.0,12.0,6.0,14.0,49.0,2.0,4.0,,10.0,,42.0,149.0,7.0,9.0,12.0,48.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,,1.0,34.7,19.0,,1.0,2.0,3.0,,24.0,8.0,1.0,227.0,5.0,3.0,17.0,1.0,27.0,,136.0,3.0,1.0,14.0,24.0,13.0,1.0,4.0,17.0,2.0,5.0,4.0,19.0,1.0,6.0,8.0,,,1.0,,,,,2.0,,1.0,1.0,,,,2.0,,1.0,,,1.0,,1.0,,,,,,1.0,7.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2293115,2023-04-16 16:30:00,"The City Ground, Nottingham",29435.0,Home,Nottingham Forest,Manchester United,0,2,L,0,1,0,0,,23.0,57.0,,1.0,21.0,28.0,2.0,1.0,4.0,5.0,140.0,10.0,3.0,3.0,1.0,4.0,52.0,139.0,44.0,6.0,1.0,15.0,,,2.0,12.0,11.0,28.0,4.0,3.0,41.0,72.0,0.0,80.0,9.0,5.0,1.0,,42.0,27.0,2.0,34.0,1.0,,8.0,38.0,2.0,1.0,139.0,16.0,55.0,467.0,3.0,13.0,14.0,11.0,165.0,31.0,3.0,10.0,,2.0,5.0,2.0,19.0,256.0,48.0,,89076,3.0,114.0,6.0,148.0,4.0,20.0,11.0,47.0,1.0,12.0,6.0,9.0,2.0,57.0,183.0,8.0,12.0,16.0,51.0,0.0,1.0,9.0,6.0,2.0,0.0,1.0,,2.0,31.8,13.0,2.0,2.0,1.0,2.0,1.0,20.0,4.0,,281.0,11.0,5.0,18.0,4.0,23.0,3.0,145.0,3.0,3.0,13.0,36.0,22.0,1.0,10.0,20.0,2.0,3.0,4.0,10.0,1.0,20.0,4.0,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,1.0,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,,2.0,,5.0,,,,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2293127,2023-04-22 15:00:00,"Anfield, Liverpool",,Away,Nottingham Forest,Liverpool,2,3,L,0,0,0,0,,14.0,51.0,,1.0,16.0,27.0,4.0,,7.0,2.0,89.0,4.0,3.0,3.0,3.0,6.0,32.0,114.0,40.0,11.0,,19.0,,,,11.0,11.0,27.0,3.0,1.0,32.0,53.0,0.0,62.0,12.0,,3.0,1.0,35.0,11.0,2.0,15.0,6.0,1.0,8.0,15.0,4.0,3.0,114.0,16.0,12.0,323.0,5.0,9.0,25.0,12.0,64.0,33.0,1.0,16.0,,1.0,6.0,4.0,18.0,123.0,35.0,2.0,89076,6.0,28.0,2.0,46.0,9.0,8.0,10.0,53.0,1.0,11.0,2.0,6.0,1.0,51.0,78.0,8.0,8.0,12.0,49.0,0.0,1.0,9.0,3.0,3.0,0.0,3.0,,1.0,18.9,11.0,,1.0,1.0,1.0,1.0,19.0,3.0,1.0,148.0,12.0,6.0,17.0,5.0,25.0,3.0,113.0,10.0,,14.0,30.0,10.0,2.0,16.0,15.0,3.0,5.0,5.0,11.0,2.0,8.0,3.0,,,,,1.0,2.0,2.0,5.0,,1.0,2.0,2.0,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,2.0,,2.0,,3.0,,1.0,,,,,,1.0,3.0,1.0,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,
33,2293133,2023-04-26 19:30:00,"The City Ground, Nottingham",28808.0,Home,Nottingham Forest,Brighton and Hove Albion,3,1,W,1,1,0,0,,26.0,55.0,4.0,2.0,14.0,20.0,2.0,3.0,10.0,6.0,125.0,16.0,1.0,9.0,2.0,9.0,41.0,116.0,43.0,12.0,,10.0,1.0,,1.0,7.0,11.0,20.0,2.0,4.0,23.0,69.0,0.0,63.0,7.0,4.0,,,38.0,15.0,4.0,34.0,1.0,2.0,5.0,22.0,2.0,,116.0,11.0,32.0,416.0,8.0,4.0,22.0,14.0,142.0,26.0,3.0,10.0,,2.0,4.0,5.0,17.0,207.0,38.0,,89076,7.0,87.0,5.0,113.0,4.0,13.0,10.0,43.0,3.0,10.0,6.0,5.0,1.0,43.0,155.0,7.0,12.0,16.0,47.0,0.0,2.0,7.0,2.0,1.0,0.0,1.0,,1.0,24.8,11.0,,7.0,3.0,2.0,,21.0,2.0,,232.0,14.0,6.0,8.0,5.0,17.0,3.0,126.0,8.0,4.0,9.0,32.0,14.0,1.0,10.0,18.0,1.0,9.0,4.0,17.0,1.0,13.0,2.0,,,1.0,1.0,1.0,1.0,3.0,5.0,,3.0,,1.0,,,1.0,,2.0,1.0,1.0,1.0,,,,2.0,,,2.0,2.0,1.0,,1.0,,1.0,,,1.0,3.0,,1.0,1.0,,,,1.0,1.0,1.0,,2.0,,,2.0,1.0,2.0,3.0,2.0,1.0,,,2.0,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,,,3.0,,1.0,,,,,,1.0,,,,1.0
34,2293142,2023-04-29 15:00:00,"Gtech Community Stadium, Brentford",17080.0,Away,Nottingham Forest,Brentford,1,2,L,1,0,0,0,1.0,24.0,59.0,2.0,,16.0,41.0,2.0,2.0,3.0,6.0,118.0,10.0,2.0,1.0,,3.0,47.0,125.0,51.0,5.0,1.0,22.0,,,,6.0,13.0,41.0,,2.0,28.0,76.0,0.0,49.0,13.0,3.0,,,43.0,23.0,2.0,34.0,2.0,,6.0,9.0,2.0,3.0,125.0,9.0,56.0,426.0,2.0,8.0,7.0,7.0,166.0,37.0,4.0,23.0,,2.0,3.0,1.0,24.0,233.0,36.0,,89076,3.0,100.0,3.0,129.0,9.0,6.0,7.0,51.0,2.0,13.0,5.0,1.0,1.0,51.0,174.0,6.0,7.0,17.0,65.0,0.0,1.0,6.0,4.0,2.0,0.0,2.0,,1.0,31.1,8.0,1.0,3.0,2.0,1.0,,23.0,,,255.0,7.0,7.0,11.0,1.0,9.0,1.0,132.0,2.0,,23.0,26.0,11.0,3.0,23.0,21.0,1.0,2.0,3.0,3.0,3.0,6.0,,,,1.0,1.0,,1.0,1.0,3.0,,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,1.0,2.0,,,,,,,,2.0,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,
35,2293156,2023-05-08 20:00:00,"The City Ground, Nottingham",29154.0,Home,Nottingham Forest,Southampton,4,3,W,3,1,0,0,,21.0,62.0,1.0,2.0,15.0,23.0,1.0,2.0,8.0,2.0,146.0,10.0,1.0,5.0,3.0,5.0,68.0,131.0,46.0,9.0,,8.0,2.0,,3.0,7.0,8.0,23.0,2.0,2.0,41.0,103.0,0.0,102.0,16.0,2.0,2.0,,47.0,39.0,4.0,32.0,,,5.0,19.0,1.0,1.0,131.0,15.0,60.0,470.0,2.0,8.0,26.0,12.0,200.0,33.0,2.0,9.0,,1.0,5.0,1.0,14.0,281.0,42.0,1.0,90585,6.0,111.0,2.0,133.0,9.0,9.0,12.0,41.0,3.0,17.0,4.0,3.0,,47.0,213.0,9.0,11.0,10.0,58.0,0.0,1.0,11.0,1.0,3.0,0.0,1.0,2.0,,35.9,9.0,,5.0,3.0,2.0,,28.0,2.0,1.0,306.0,12.0,5.0,12.0,3.0,21.0,2.0,180.0,7.0,2.0,12.0,56.0,19.0,3.0,9.0,20.0,3.0,7.0,5.0,6.0,3.0,9.0,2.0,,,,2.0,,,4.0,4.0,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,3.0,1.0,3.0,,3.0,,,,,4.0,4.0,3.0,,,1.0,,,3.0,,,,1.0,,,,,2.0,2.0,2.0,,,,1.0,1.0,3.0,3.0,1.0,3.0,,,3.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,
36,2293163,2023-05-13 15:00:00,"Stamford Bridge, London",40030.0,Away,Nottingham Forest,Chelsea,2,2,D,1,0,0,0,,20.0,59.0,3.0,2.0,11.0,25.0,1.0,6.0,10.0,4.0,119.0,12.0,4.0,5.0,3.0,7.0,35.0,124.0,56.0,11.0,,16.0,,,3.0,11.0,15.0,25.0,5.0,1.0,31.0,47.0,0.0,63.0,15.0,1.0,3.0,2.0,24.0,25.0,4.0,25.0,2.0,2.0,6.0,10.0,1.0,2.0,124.0,8.0,38.0,398.0,2.0,12.0,13.0,17.0,126.0,36.0,4.0,8.0,,1.0,4.0,3.0,18.0,186.0,48.0,1.0,90585,5.0,89.0,1.0,113.0,8.0,4.0,5.0,60.0,1.0,7.0,6.0,2.0,2.0,52.0,132.0,11.0,15.0,14.0,49.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,5.0,23.9,10.0,2.0,1.0,1.0,2.0,,14.0,5.0,2.0,217.0,17.0,5.0,8.0,7.0,24.0,6.0,115.0,,1.0,13.0,20.0,9.0,1.0,8.0,28.0,2.0,3.0,3.0,14.0,1.0,4.0,5.0,,,,2.0,,,2.0,2.0,,,,,,,,,1.0,3.0,,,,,,1.0,2.0,,,,2.0,,1.0,3.0,4.0,,1.0,,2.0,2.0,2.0,,,,2.0,2.0,,,,,,2.0,1.0,,,,,,1.0,,,,,2.0,,2.0,2.0,,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,
37,2293176,2023-05-20 17:30:00,"The City Ground, Nottingham",29514.0,Home,Nottingham Forest,Arsenal,1,0,W,1,0,0,0,,20.0,57.0,,1.0,16.0,23.0,1.0,1.0,5.0,3.0,100.0,11.0,,7.0,2.0,4.0,17.0,121.0,44.0,6.0,,27.0,,,1.0,7.0,12.0,23.0,3.0,,23.0,37.0,0.0,65.0,11.0,3.0,1.0,2.0,14.0,32.0,2.0,16.0,2.0,2.0,4.0,17.0,1.0,1.0,121.0,7.0,28.0,321.0,4.0,8.0,13.0,12.0,68.0,32.0,2.0,14.0,,3.0,1.0,2.0,14.0,127.0,44.0,,90585,4.0,43.0,2.0,57.0,1.0,11.0,12.0,48.0,,13.0,4.0,5.0,,60.0,80.0,10.0,5.0,18.0,52.0,0.0,1.0,6.0,3.0,,0.0,,,,18.3,4.0,,5.0,,1.0,,13.0,3.0,2.0,161.0,12.0,4.0,9.0,3.0,20.0,2.0,111.0,5.0,,9.0,25.0,9.0,2.0,14.0,18.0,,4.0,4.0,11.0,2.0,11.0,3.0,2.0,,,1.0,,1.0,1.0,2.0,,1.0,,,,1.0,,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,3.0,,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
38,2293184,2023-05-28 16:30:00,"Selhurst Park, London",25198.0,Away,Nottingham Forest,Crystal Palace,1,1,D,1,0,0,0,,28.0,60.0,1.0,,25.0,19.0,3.0,3.0,4.0,2.0,124.0,17.0,4.0,2.0,,4.0,43.0,126.0,40.0,7.0,1.0,14.0,,,1.0,8.0,10.0,19.0,4.0,1.0,45.0,70.0,0.0,81.0,13.0,,,,32.0,40.0,4.0,52.0,1.0,1.0,4.0,16.0,3.0,,126.0,9.0,57.0,422.0,2.0,6.0,13.0,6.0,185.0,28.0,2.0,5.0,,2.0,3.0,,12.0,253.0,53.0,,90585,3.0,127.0,4.0,143.0,6.0,7.0,10.0,49.0,5.0,12.0,6.0,3.0,,64.0,193.0,9.0,7.0,10.0,64.0,0.0,,5.0,1.0,1.0,0.0,2.0,,1.0,34.0,2.0,,1.0,5.0,1.0,,24.0,4.0,1.0,276.0,6.0,8.0,17.0,2.0,16.0,1.0,141.0,3.0,1.0,10.0,33.0,22.0,4.0,5.0,19.0,1.0,3.0,5.0,9.0,4.0,7.0,4.0,,,1.0,,,1.0,1.0,4.0,,2.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,2.0,,1.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,,,2.0,1.0,,2.0,,,,2.0,,,2.0,3.0,2.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0
