gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,bigChanceScored,attGoalLowLeft,goalAssistSetplay,attLfGoal,accuratePullBack,accurateKeeperSweeper,attMissLeft,contentiousDecision,totalKeeperSweeper,sixYardBlock,totalPullBack,attCmissHigh,totalThroughBall,totalOffside,attSvLowRight,accurateFlickOn,goalAssistIntentional,shieldBallOop,attBxLeft,attHdGoal,ptsDroppedWinningPos,goalAssistDeadball,attGoalLowCentre,shotFastbreak,cleanSheet,totalFastbreak,attFastbreak,attSvHighCentre,forwardGoals,attCmissRight,attCmissLeft,punches,attMissHighRight,attOboxGoal,accurateThroughBall,errorLeadToGoal,goalsConcededObox,attLgCentre,errorLeadToShot,penaltyConceded,penaltyFaced,penGoalsConceded,attSvHighRight,attObxdLeft,postScoringAtt,attFreekickPost,attPostLeft,hitWoodwork,attOboxPost,clearanceOffLine,secondYellow,attObxLeft,attIboxPost,defenderGoals,expectedGoalsOnTarget,attOneOnOne,expectedGoalsOnTargetConceded,penaltyWon,attMissHighLeft,expectedAssists,attPenMiss,attCmissHighLeft,expectedGoals,attSvHighLeft,ownGoals,attPostHigh,attIboxOwnGoal,subsGoals,attLgRight,attFreekickTarget,goalFastbreak,attPenGoal,attGoalHighLeft,foulThrowIn,attGoalHighRight,attGoalHighCentre,attPostRight,attObxRight,attPenTarget
27,2293074,2023-03-11 15:00:00,"Elland Road, Leeds",36471.0,Home,Leeds United,Brighton and Hove Albion,2,2,D,1,1,0,0,,19.0,66.0,,1.0,2.0,16.0,26.0,5.0,5.0,7.0,2.0,2.0,146.0,8.0,1.0,6.0,2.0,,10.0,4.0,96.0,125.0,35.0,,12.0,3.0,12.0,2.0,,1.0,1.0,10.0,10.0,,26.0,1.0,4.0,29.0,143.0,0.0,115.0,12.0,1.0,1.0,1.0,1.0,,,56.0,30.0,7.0,59.0,3.0,,9.0,23.0,5.0,,,1.0,125.0,,11.0,77.0,578.0,8.0,2.0,25.0,,21.0,288.0,26.0,4.0,14.0,2.0,1.0,3.0,3.0,6.0,352.0,34.0,,80954,3.0,168.0,,9.0,,198.0,9.0,2.0,13.0,8.0,62.0,8.0,1.0,20.0,4.0,5.0,1.0,33.0,310.0,9.0,14.0,,11.0,2.0,45.0,0.0,1.0,7.0,,1.0,2.0,0.0,1.0,,38.0,6.0,,6.0,8.0,5.0,29.0,4.0,,378.0,21.0,,17.0,12.0,3.0,21.0,,2.0,190.0,7.0,3.0,5.0,90.0,26.0,2.0,14.0,14.0,2.0,10.0,5.0,13.0,2.0,13.0,4.0,,,,1.0,,,2.0,1.0,,2.0,,,,1.0,3.0,,,,,4.0,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,
28,2293089,2023-03-18 15:00:00,"Molineux Stadium, Wolverhampton",31570.0,Away,Leeds United,Wolverhampton Wanderers,4,2,W,1,0,0,2,,24.0,66.0,1.0,,2.0,14.0,34.0,4.0,7.0,7.0,6.0,,135.0,13.0,4.0,7.0,4.0,3.0,7.0,4.0,51.0,150.0,52.0,2.0,11.0,,16.0,,1.0,2.0,,15.0,14.0,,34.0,2.0,5.0,43.0,98.0,0.0,77.0,9.0,,1.0,1.0,,2.0,3.0,37.0,50.0,5.0,49.0,2.0,,13.0,24.0,4.0,2.0,2.0,4.0,150.0,2.0,16.0,59.0,508.0,4.0,5.0,17.0,,9.0,183.0,33.0,1.0,16.0,3.0,5.0,5.0,2.0,19.0,265.0,44.0,,80954,3.0,105.0,,9.0,,137.0,4.0,1.0,11.0,9.0,55.0,5.0,3.0,17.0,7.0,4.0,3.0,47.0,199.0,13.0,10.0,,11.0,2.0,58.0,0.0,1.0,5.0,6.0,4.0,2.0,0.0,3.0,1.0,34.1,15.0,,2.0,5.0,2.0,27.0,4.0,3.0,294.0,9.0,2.0,8.0,19.0,5.0,14.0,1.0,1.0,172.0,3.0,5.0,11.0,42.0,24.0,3.0,16.0,21.0,1.0,7.0,4.0,20.0,3.0,11.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,3.0,,,3.0,2.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,2.0,,,,,,1.0,,,,,
29,2293091,2023-04-01 15:00:00,"Emirates Stadium, London",60283.0,Away,Leeds United,Arsenal,1,4,L,0,1,0,0,1.0,22.0,51.0,,1.0,1.0,19.0,13.0,1.0,2.0,6.0,1.0,3.0,140.0,16.0,1.0,6.0,1.0,3.0,5.0,5.0,60.0,125.0,50.0,,7.0,,20.0,4.0,1.0,,2.0,10.0,12.0,,13.0,3.0,,46.0,103.0,0.0,100.0,13.0,,,1.0,,4.0,,46.0,51.0,4.0,51.0,2.0,,7.0,22.0,1.0,,1.0,,125.0,,11.0,56.0,474.0,5.0,3.0,16.0,,13.0,206.0,24.0,1.0,5.0,,2.0,6.0,1.0,20.0,282.0,51.0,,80954,2.0,118.0,,2.0,,142.0,8.0,1.0,11.0,5.0,60.0,1.0,1.0,7.0,2.0,2.0,1.0,47.0,220.0,11.0,13.0,,7.0,,54.0,0.0,,4.0,1.0,,4.0,0.0,1.0,,32.9,14.0,,6.0,1.0,1.0,23.0,3.0,,307.0,13.0,,9.0,20.0,1.0,15.0,,1.0,175.0,5.0,,12.0,59.0,15.0,1.0,5.0,21.0,4.0,7.0,5.0,12.0,1.0,11.0,3.0,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
30,2293103,2023-04-09 14:00:00,"Elland Road, Leeds",36427.0,Home,Leeds United,Crystal Palace,1,5,L,1,1,0,0,2.0,23.0,81.0,,1.0,,15.0,23.0,3.0,4.0,8.0,2.0,1.0,169.0,11.0,7.0,7.0,1.0,2.0,8.0,7.0,90.0,161.0,65.0,1.0,11.0,,23.0,4.0,1.0,,3.0,18.0,19.0,2.0,23.0,2.0,9.0,52.0,139.0,0.0,125.0,11.0,,,,3.0,2.0,,36.0,84.0,6.0,60.0,1.0,2.0,16.0,20.0,3.0,1.0,6.0,1.0,161.0,1.0,14.0,84.0,632.0,5.0,5.0,22.0,3.0,13.0,289.0,29.0,1.0,13.0,1.0,3.0,4.0,2.0,24.0,387.0,62.0,2.0,80954,4.0,173.0,1.0,8.0,1.0,198.0,9.0,,10.0,3.0,89.0,4.0,,22.0,2.0,3.0,,44.0,305.0,8.0,33.0,2.0,7.0,2.0,72.0,0.0,,4.0,2.0,1.0,5.0,0.0,5.0,5.0,48.0,18.0,1.0,7.0,4.0,,44.0,2.0,,403.0,13.0,,17.0,16.0,4.0,31.0,2.0,3.0,223.0,2.0,6.0,16.0,76.0,39.0,,13.0,34.0,5.0,7.0,4.0,12.0,,10.0,2.0,,,,1.0,,1.0,,2.0,,,,3.0,,1.0,2.0,,3.0,1.0,,2.0,1.0,3.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,
31,2293113,2023-04-17 20:00:00,"Elland Road, Leeds",36657.0,Home,Leeds United,Liverpool,1,6,L,0,2,0,0,,13.0,61.0,,,3.0,20.0,17.0,6.0,5.0,7.0,1.0,1.0,137.0,7.0,3.0,11.0,1.0,2.0,10.0,3.0,64.0,142.0,45.0,,13.0,,9.0,1.0,1.0,,2.0,14.0,7.0,1.0,17.0,4.0,1.0,44.0,102.0,0.0,88.0,6.0,,,1.0,,2.0,,29.0,68.0,5.0,50.0,,1.0,10.0,17.0,6.0,,2.0,4.0,142.0,1.0,11.0,45.0,470.0,7.0,3.0,14.0,1.0,11.0,185.0,27.0,2.0,6.0,,0.0,2.0,5.0,16.0,271.0,33.0,1.0,80954,4.0,105.0,1.0,6.0,1.0,136.0,2.0,1.0,7.0,6.0,48.0,7.0,1.0,14.0,2.0,2.0,1.0,47.0,204.0,11.0,12.0,3.0,15.0,3.0,54.0,0.0,,2.0,1.0,1.0,6.0,0.0,1.0,3.0,26.4,13.0,,4.0,7.0,3.0,24.0,4.0,,296.0,11.0,,10.0,22.0,7.0,20.0,2.0,2.0,174.0,5.0,1.0,10.0,58.0,22.0,1.0,6.0,13.0,4.0,9.0,4.0,22.0,1.0,7.0,4.0,,1.0,1.0,,,,1.0,3.0,,1.0,2.0,,,,1.0,,,,,1.0,,,,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,2.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,
32,2293125,2023-04-22 12:30:00,"Craven Cottage, London",24356.0,Away,Leeds United,Fulham,1,2,L,0,0,0,0,2.0,29.0,73.0,,3.0,4.0,20.0,28.0,4.0,5.0,6.0,3.0,,171.0,17.0,4.0,5.0,1.0,3.0,6.0,2.0,86.0,162.0,61.0,1.0,10.0,,16.0,,1.0,,,19.0,12.0,2.0,28.0,6.0,10.0,54.0,130.0,0.0,120.0,15.0,,1.0,,,2.0,3.0,81.0,43.0,5.0,58.0,1.0,3.0,13.0,14.0,4.0,1.0,3.0,2.0,162.0,,4.0,77.0,595.0,5.0,6.0,16.0,,14.0,271.0,29.0,5.0,16.0,,4.0,4.0,1.0,12.0,375.0,59.0,,80954,2.0,158.0,1.0,8.0,1.0,187.0,12.0,,8.0,3.0,66.0,7.0,,12.0,8.0,3.0,,56.0,284.0,10.0,16.0,1.0,14.0,5.0,73.0,0.0,2.0,8.0,,1.0,2.0,0.0,2.0,1.0,50.7,8.0,,6.0,7.0,4.0,32.0,6.0,3.0,392.0,14.0,,12.0,19.0,4.0,28.0,2.0,2.0,224.0,4.0,8.0,22.0,70.0,27.0,2.0,16.0,24.0,2.0,3.0,4.0,12.0,2.0,8.0,6.0,,,,,,,,1.0,,,2.0,,,2.0,2.0,,2.0,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,
33,2293132,2023-04-25 20:00:00,"Elland Road, Leeds",36666.0,Home,Leeds United,Leicester City,1,1,D,1,0,0,0,,21.0,66.0,,1.0,2.0,21.0,25.0,3.0,1.0,9.0,2.0,1.0,160.0,9.0,5.0,5.0,1.0,2.0,8.0,3.0,44.0,163.0,58.0,,13.0,2.0,18.0,2.0,2.0,1.0,,16.0,11.0,,25.0,3.0,10.0,50.0,109.0,0.0,112.0,14.0,,2.0,1.0,1.0,2.0,,18.0,88.0,4.0,39.0,2.0,,13.0,20.0,4.0,,4.0,2.0,163.0,3.0,12.0,64.0,531.0,5.0,8.0,13.0,1.0,11.0,177.0,28.0,4.0,13.0,1.0,4.0,6.0,4.0,23.0,277.0,61.0,,80954,4.0,93.0,2.0,7.0,1.0,123.0,11.0,,10.0,5.0,63.0,2.0,1.0,17.0,3.0,4.0,,63.0,197.0,15.0,10.0,2.0,19.0,4.0,74.0,0.0,,6.0,1.0,1.0,1.0,0.0,3.0,4.0,40.8,23.0,2.0,3.0,2.0,4.0,35.0,3.0,,307.0,11.0,,11.0,15.0,6.0,23.0,2.0,4.0,200.0,8.0,9.0,16.0,59.0,29.0,4.0,13.0,22.0,1.0,8.0,2.0,15.0,4.0,10.0,3.0,,1.0,1.0,,,,,4.0,,,1.0,1.0,,3.0,4.0,,4.0,1.0,1.0,,1.0,2.0,,,,,,,1.0,,,1.0,,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
34,2293140,2023-04-30 14:00:00,"Vitality Stadium, Bournemouth",10434.0,Away,Leeds United,Bournemouth,1,4,L,1,2,0,0,3.0,25.0,64.0,,1.0,1.0,26.0,14.0,5.0,6.0,10.0,3.0,1.0,192.0,12.0,6.0,13.0,1.0,4.0,10.0,6.0,110.0,155.0,66.0,1.0,15.0,1.0,12.0,2.0,1.0,1.0,1.0,19.0,8.0,3.0,14.0,5.0,4.0,47.0,198.0,0.0,151.0,14.0,,,,2.0,1.0,1.0,87.0,76.0,5.0,75.0,,3.0,14.0,24.0,5.0,1.0,7.0,1.0,155.0,1.0,11.0,123.0,722.0,7.0,7.0,28.0,1.0,6.0,385.0,24.0,5.0,2.0,1.0,0.0,3.0,5.0,28.0,481.0,70.0,,80954,4.0,210.0,,6.0,1.0,240.0,8.0,,11.0,3.0,61.0,8.0,1.0,16.0,1.0,2.0,1.0,59.0,402.0,11.0,11.0,2.0,18.0,5.0,79.0,0.0,,2.0,2.0,1.0,4.0,0.0,3.0,5.0,57.9,25.0,3.0,4.0,8.0,2.0,49.0,5.0,1.0,500.0,6.0,,16.0,23.0,7.0,27.0,3.0,6.0,279.0,4.0,3.0,23.0,112.0,28.0,1.0,2.0,19.0,4.0,8.0,3.0,21.0,1.0,11.0,6.0,,1.0,1.0,,,,,3.0,,,1.0,,,,1.0,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
35,2293154,2023-05-06 15:00:00,"Etihad Stadium, Manchester",53406.0,Away,Leeds United,Manchester City,1,2,L,0,2,0,0,,17.0,49.0,,2.0,1.0,16.0,27.0,,1.0,4.0,4.0,,104.0,7.0,3.0,1.0,1.0,,3.0,2.0,33.0,113.0,26.0,,4.0,,13.0,1.0,,,,7.0,5.0,,27.0,1.0,1.0,51.0,44.0,0.0,51.0,16.0,,,,,,1.0,13.0,35.0,2.0,28.0,1.0,,6.0,19.0,,,3.0,,113.0,,9.0,36.0,330.0,2.0,3.0,5.0,1.0,4.0,105.0,21.0,2.0,12.0,,3.0,2.0,1.0,10.0,174.0,36.0,,80954,3.0,79.0,,3.0,,99.0,10.0,,10.0,15.0,49.0,5.0,1.0,9.0,9.0,8.0,,51.0,120.0,3.0,14.0,1.0,9.0,1.0,54.0,0.0,2.0,10.0,2.0,1.0,2.0,0.0,2.0,3.0,19.1,3.0,1.0,3.0,5.0,1.0,20.0,1.0,2.0,201.0,4.0,,5.0,19.0,1.0,16.0,1.0,1.0,109.0,,1.0,12.0,17.0,17.0,2.0,12.0,10.0,1.0,3.0,5.0,3.0,2.0,10.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,3.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
36,2293166,2023-05-13 12:30:00,"Elland Road, Leeds",36955.0,Home,Leeds United,Newcastle United,2,2,D,1,1,1,0,1.0,29.0,56.0,1.0,1.0,2.0,17.0,26.0,1.0,4.0,8.0,3.0,,132.0,15.0,3.0,3.0,2.0,4.0,4.0,4.0,41.0,131.0,50.0,,9.0,,18.0,2.0,1.0,,,10.0,12.0,,26.0,1.0,2.0,41.0,94.0,0.0,94.0,16.0,1.0,2.0,,1.0,2.0,,46.0,30.0,1.0,39.0,3.0,,9.0,19.0,1.0,,2.0,1.0,131.0,,12.0,41.0,447.0,3.0,1.0,18.0,1.0,15.0,146.0,26.0,2.0,11.0,,3.0,6.0,3.0,14.0,221.0,54.0,1.0,80954,5.0,72.0,1.0,5.0,1.0,92.0,9.0,1.0,11.0,13.0,71.0,4.0,1.0,7.0,6.0,8.0,3.0,65.0,163.0,13.0,18.0,1.0,21.0,2.0,60.0,0.0,,6.0,2.0,2.0,2.0,1.0,3.0,1.0,36.1,8.0,,,4.0,2.0,19.0,2.0,,253.0,15.0,,13.0,14.0,3.0,22.0,,2.0,171.0,3.0,1.0,11.0,46.0,24.0,1.0,11.0,23.0,2.0,5.0,4.0,11.0,1.0,11.0,2.0,2.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,1.0,,2.0,,1.0,,,,,,,,,3.0,,,,,,,,2.0,2.0,2.0,,,,,,,,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
37,2293178,2023-05-21 13:30:00,"London Stadium, London",62478.0,Away,Leeds United,West Ham United,1,3,L,1,1,0,0,,21.0,71.0,,1.0,3.0,20.0,21.0,3.0,4.0,9.0,6.0,1.0,162.0,8.0,5.0,4.0,1.0,1.0,9.0,3.0,62.0,147.0,45.0,,12.0,,34.0,2.0,,,,29.0,14.0,,21.0,5.0,1.0,45.0,140.0,0.0,143.0,11.0,,4.0,,1.0,1.0,,53.0,62.0,5.0,54.0,,3.0,24.0,23.0,3.0,,12.0,3.0,147.0,,14.0,72.0,551.0,7.0,1.0,26.0,1.0,6.0,246.0,31.0,2.0,8.0,1.0,3.0,6.0,4.0,17.0,335.0,73.0,,80954,6.0,120.0,,11.0,1.0,139.0,4.0,,16.0,3.0,66.0,5.0,,9.0,5.0,1.0,2.0,64.0,255.0,6.0,11.0,1.0,23.0,2.0,63.0,0.0,,9.0,5.0,1.0,3.0,0.0,3.0,3.0,41.2,10.0,2.0,2.0,5.0,3.0,26.0,5.0,,350.0,6.0,,4.0,19.0,6.0,44.0,2.0,3.0,240.0,5.0,1.0,12.0,89.0,30.0,1.0,8.0,23.0,3.0,8.0,5.0,11.0,1.0,16.0,5.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,3.0,,1.0,1.0,,,1.0,,3.0,,3.0,1.0,,,,,,,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,
38,2293186,2023-05-28 16:30:00,"Elland Road, Leeds",36871.0,Home,Leeds United,Tottenham Hotspur,1,4,L,0,1,0,0,,27.0,81.0,,,6.0,24.0,6.0,5.0,4.0,14.0,3.0,,180.0,12.0,15.0,5.0,1.0,1.0,12.0,2.0,109.0,178.0,62.0,,19.0,4.0,25.0,1.0,1.0,1.0,,44.0,12.0,,6.0,10.0,4.0,48.0,230.0,0.0,172.0,8.0,,1.0,1.0,,2.0,,81.0,94.0,7.0,62.0,2.0,3.0,34.0,17.0,5.0,,21.0,1.0,178.0,1.0,10.0,90.0,668.0,9.0,10.0,44.0,1.0,9.0,331.0,24.0,6.0,3.0,1.0,3.0,1.0,5.0,24.0,428.0,81.0,,80954,11.0,126.0,1.0,11.0,,141.0,6.0,1.0,12.0,1.0,71.0,6.0,1.0,17.0,1.0,1.0,2.0,54.0,341.0,5.0,13.0,2.0,17.0,3.0,65.0,0.0,,3.0,3.0,1.0,4.0,0.0,11.0,7.0,52.1,19.0,4.0,7.0,6.0,10.0,34.0,12.0,,441.0,9.0,,19.0,19.0,7.0,59.0,4.0,6.0,344.0,8.0,4.0,30.0,116.0,43.0,2.0,3.0,22.0,4.0,14.0,4.0,12.0,2.0,12.0,12.0,1.0,,1.0,,,,,1.0,,,2.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
