gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,bigChanceScored,fiftyFifty,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,attGoalLowLeft,attGoalLowRight,attIboxBlocked,attFreekickTotal,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,goalFastbreak,attOboxTarget,cleanSheet,totalFastbreak,midfielderGoals,freekickCross,freekickTotal,contentiousDecision,attMissHighLeft,totalKeeperSweeper,accurateFreekickCross,sixYardBlock,attRfGoal,attCmissHigh,defenderGoals,attMissHigh,attAssistSetplay,attCorner,attFastbreak,shieldBallOop,attSvHighCentre,attFreekickMiss,accurateCornersIntobox,effectiveBlockedCross,attHdGoal,blockedCross,goalAssistSetplay,goalAssistDeadball,attSvLowLeft,attHdTarget,errorLeadToShot,punches,attBxLeft,accuratePullBack,postScoringAtt,attIboxPost,attSvHighLeft,attPostLeft,attHdPost,hitWoodwork,totalPullBack,attOboxPost,attPostHigh,attPostRight,attGoalHighCentre,attSetpiece,attCmissRight,attGoalHighRight,attOneOnOne,penaltyWon,attPenGoal,attFreekickGoal,attCmissHighRight,handBall,subsGoals,attLgLeft,attSvHighRight,clearanceOffLine,ownGoals,attIboxOwnGoal,errorLeadToGoal,attLgCentre,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHighLeft,ptsDroppedWinningPos,attObxLeft,foulThrowIn,attObxRight,attFreekickPost,secondYellow,attPenTarget,attObxdLeft,attFreekickTarget
27,2293072,2023-03-11 15:00:00,"Goodison Park, Liverpool",39036.0,Away,Brentford,Everton,0,1,L,0,1,0,0,,,24.0,66.0,1.0,38.0,11.0,3.0,3.0,9.0,5.0,,1.0,213.0,,12.0,9.0,16.0,,2.0,10.0,4.0,113.0,185.0,60.0,12.0,1.0,18.0,2.0,1.0,,5.0,29.0,9.0,11.0,6.0,7.0,67.0,187.0,,,0.0,160.0,12.0,,,,85.0,61.0,4.0,79.0,,1.0,23.0,21.0,3.0,3.0,,185.0,3.0,9.0,118.0,736.0,7.0,10.0,26.0,4.0,388.0,31.0,2.0,5.0,,1.0,1.0,6.0,29.0,502.0,80.0,,61810,5.0,227.0,3.0,19.0,256.0,9.0,9.0,4.0,63.0,,1.0,10.0,,17.0,4.0,2.0,75.0,405.0,10.0,8.0,10.0,78.0,,,,0.0,2.0,5.0,4.0,,1.0,2.0,0.0,6.0,,6.0,66.7,27.0,5.0,2.0,10.0,2.0,46.0,8.0,,523.0,4.0,12.0,33.0,6.0,47.0,6.0,296.0,3.0,4.0,23.0,101.0,19.0,,5.0,11.0,1.0,8.0,5.0,29.0,9.0,8.0,2.0,,,1.0,1.0,,,3.0,,2.0,,,,1.0,1.0,,,,,,,,,,3.0,3.0,,,,,3.0,3.0,,3.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2293082,2023-03-18 15:00:00,"Gtech Community Stadium, Brentford",17006.0,Home,Brentford,Leicester City,1,1,D,1,0,1,0,,,17.0,64.0,,31.0,15.0,5.0,6.0,6.0,,1.0,1.0,177.0,,6.0,8.0,13.0,1.0,2.0,8.0,2.0,104.0,162.0,62.0,11.0,4.0,15.0,,3.0,,1.0,28.0,17.0,15.0,6.0,3.0,71.0,182.0,,,0.0,158.0,10.0,,,,75.0,72.0,6.0,84.0,2.0,1.0,22.0,15.0,5.0,8.0,,162.0,,11.0,119.0,682.0,8.0,4.0,30.0,8.0,358.0,35.0,1.0,9.0,,1.0,6.0,2.0,23.0,464.0,65.0,,61810,1.0,200.0,,11.0,226.0,8.0,15.0,5.0,51.0,4.0,1.0,4.0,,12.0,3.0,3.0,61.0,374.0,11.0,14.0,5.0,69.0,,,1.0,0.0,2.0,4.0,,1.0,1.0,,1.0,7.0,,2.0,52.9,18.0,1.0,4.0,4.0,7.0,33.0,8.0,,484.0,8.0,7.0,32.0,2.0,44.0,2.0,286.0,3.0,2.0,16.0,107.0,21.0,,9.0,22.0,1.0,7.0,4.0,18.0,4.0,8.0,,,1.0,3.0,,,1.0,,,1.0,,,1.0,3.0,,,,1.0,2.0,,,,,,,3.0,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,
29,2293092,2023-04-01 15:00:00,"American Express Stadium, Falmer",31493.0,Away,Brentford,Brighton and Hove Albion,3,3,D,2,2,0,0,1.0,2.0,18.0,46.0,5.0,15.0,38.0,,2.0,6.0,11.0,1.0,2.0,109.0,,8.0,4.0,2.0,3.0,3.0,6.0,5.0,42.0,100.0,43.0,7.0,,16.0,1.0,1.0,2.0,1.0,8.0,7.0,38.0,,1.0,51.0,56.0,,,0.0,64.0,10.0,,5.0,2.0,32.0,17.0,5.0,27.0,3.0,,8.0,20.0,1.0,,,100.0,2.0,19.0,49.0,408.0,2.0,1.0,17.0,9.0,133.0,17.0,1.0,17.0,3.0,1.0,9.0,1.0,6.0,194.0,36.0,,61810,4.0,98.0,1.0,6.0,119.0,4.0,13.0,9.0,49.0,,2.0,3.0,2.0,7.0,14.0,4.0,52.0,150.0,15.0,15.0,6.0,49.0,,1.0,,0.0,,14.0,7.0,3.0,3.0,,0.0,4.0,3.0,1.0,27.8,6.0,,7.0,4.0,1.0,15.0,,3.0,227.0,9.0,7.0,18.0,1.0,16.0,1.0,116.0,4.0,1.0,10.0,30.0,6.0,1.0,17.0,16.0,2.0,5.0,3.0,4.0,13.0,,,,2.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,2.0,1.0,,,1.0,2.0,1.0,1.0,,2.0,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,
30,2293101,2023-04-08 15:00:00,"Gtech Community Stadium, Brentford",17107.0,Home,Brentford,Newcastle United,1,2,L,1,0,0,0,1.0,1.0,15.0,53.0,,24.0,15.0,1.0,3.0,10.0,3.0,,1.0,113.0,,11.0,9.0,9.0,1.0,5.0,9.0,6.0,61.0,126.0,62.0,12.0,1.0,20.0,4.0,,,1.0,25.0,14.0,15.0,4.0,5.0,34.0,106.0,,,0.0,80.0,10.0,,2.0,,31.0,31.0,5.0,41.0,1.0,1.0,21.0,13.0,2.0,8.0,,126.0,,9.0,58.0,467.0,6.0,4.0,27.0,7.0,190.0,23.0,5.0,11.0,,0.0,2.0,4.0,19.0,249.0,37.0,,61810,8.0,109.0,1.0,10.0,134.0,5.0,7.0,6.0,55.0,1.0,2.0,3.0,,17.0,2.0,5.0,51.0,206.0,14.0,6.0,16.0,49.0,,1.0,,0.0,,5.0,3.0,1.0,2.0,1.0,0.0,6.0,,6.0,41.0,14.0,2.0,3.0,3.0,2.0,29.0,6.0,,273.0,7.0,6.0,17.0,4.0,38.0,4.0,164.0,3.0,4.0,23.0,50.0,21.0,1.0,11.0,16.0,1.0,7.0,5.0,22.0,7.0,6.0,1.0,,,1.0,,,,4.0,,1.0,,,,3.0,,2.0,,,1.0,1.0,1.0,2.0,,2.0,3.0,2.0,,,,,3.0,,,,,,,3.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,3.0,,,1.0,,,1.0,,
31,2293119,2023-04-15 15:00:00,"Molineux Stadium, Wolverhampton",30769.0,Away,Brentford,Wolverhampton Wanderers,0,2,L,0,1,0,0,,,17.0,65.0,3.0,29.0,13.0,2.0,3.0,8.0,7.0,,1.0,156.0,,6.0,3.0,7.0,,2.0,7.0,3.0,103.0,141.0,61.0,10.0,,11.0,2.0,,,,16.0,11.0,13.0,2.0,7.0,46.0,155.0,,,0.0,114.0,8.0,,4.0,2.0,81.0,49.0,6.0,77.0,1.0,1.0,14.0,14.0,2.0,5.0,1.0,141.0,,6.0,100.0,634.0,6.0,7.0,22.0,13.0,341.0,19.0,2.0,6.0,,1.0,2.0,1.0,26.0,420.0,63.0,,51927,5.0,200.0,1.0,6.0,225.0,4.0,5.0,2.0,48.0,1.0,1.0,9.0,,14.0,5.0,,54.0,352.0,11.0,9.0,7.0,62.0,,1.0,,0.0,4.0,5.0,4.0,,2.0,2.0,0.0,3.0,,1.0,49.4,22.0,,2.0,9.0,4.0,36.0,2.0,2.0,436.0,13.0,13.0,20.0,3.0,24.0,2.0,227.0,6.0,6.0,20.0,75.0,30.0,,6.0,23.0,2.0,9.0,5.0,15.0,5.0,2.0,1.0,,,4.0,,1.0,1.0,,,1.0,,1.0,,3.0,,,,1.0,1.0,,,2.0,,2.0,1.0,,1.0,,,,,,,,,,,1.0,,,2.0,,,,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,
32,2293122,2023-04-22 15:00:00,"Gtech Community Stadium, Brentford",17098.0,Home,Brentford,Aston Villa,1,1,D,0,0,0,0,,1.0,22.0,57.0,1.0,29.0,16.0,5.0,8.0,10.0,1.0,1.0,1.0,133.0,1.0,8.0,3.0,15.0,1.0,2.0,11.0,5.0,65.0,142.0,57.0,16.0,2.0,13.0,2.0,1.0,1.0,2.0,20.0,6.0,16.0,7.0,2.0,54.0,106.0,,,0.0,123.0,12.0,,1.0,1.0,56.0,45.0,8.0,46.0,1.0,3.0,13.0,12.0,6.0,4.0,2.0,142.0,3.0,8.0,64.0,473.0,9.0,6.0,24.0,11.0,197.0,26.0,3.0,11.0,1.0,3.0,1.0,3.0,19.0,284.0,64.0,2.0,51927,7.0,107.0,3.0,9.0,127.0,3.0,3.0,9.0,39.0,2.0,6.0,1.0,1.0,8.0,6.0,4.0,69.0,210.0,8.0,6.0,10.0,66.0,,1.0,1.0,0.0,,4.0,,1.0,1.0,1.0,0.0,2.0,1.0,3.0,42.5,15.0,,7.0,1.0,5.0,22.0,8.0,1.0,308.0,11.0,3.0,24.0,6.0,35.0,4.0,201.0,5.0,2.0,18.0,68.0,21.0,1.0,11.0,16.0,1.0,10.0,4.0,21.0,3.0,8.0,1.0,,,3.0,1.0,,,,,2.0,,,,,1.0,,,,,1.0,,,,1.0,1.0,3.0,,2.0,2.0,,1.0,2.0,,2.0,,,1.0,2.0,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,1.0,1.0
33,2293137,2023-04-26 19:45:00,"Stamford Bridge, London",39929.0,Away,Brentford,Chelsea,2,0,W,1,0,0,0,,,18.0,58.0,,27.0,23.0,,2.0,7.0,4.0,1.0,,118.0,,8.0,3.0,3.0,2.0,1.0,7.0,1.0,53.0,137.0,36.0,7.0,,19.0,,3.0,1.0,,7.0,6.0,23.0,2.0,6.0,39.0,80.0,,,0.0,77.0,13.0,,1.0,,43.0,44.0,2.0,42.0,2.0,4.0,5.0,18.0,,2.0,,137.0,,10.0,50.0,426.0,5.0,8.0,14.0,9.0,162.0,24.0,4.0,13.0,1.0,2.0,3.0,5.0,28.0,243.0,54.0,,51927,1.0,96.0,,2.0,111.0,7.0,7.0,11.0,61.0,1.0,2.0,,1.0,14.0,5.0,7.0,62.0,173.0,5.0,17.0,20.0,62.0,,,,0.0,4.0,5.0,4.0,2.0,,2.0,0.0,2.0,,3.0,27.1,17.0,3.0,2.0,,1.0,24.0,2.0,,263.0,9.0,9.0,15.0,5.0,23.0,5.0,159.0,2.0,5.0,15.0,28.0,24.0,,13.0,13.0,,6.0,5.0,6.0,7.0,2.0,,,1.0,1.0,,1.0,,,1.0,,1.0,2.0,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,2293142,2023-04-29 15:00:00,"Gtech Community Stadium, Brentford",17080.0,Home,Brentford,Nottingham Forest,2,1,W,0,1,0,0,,,24.0,60.0,1.0,19.0,5.0,5.0,4.0,9.0,2.0,1.0,3.0,167.0,,14.0,8.0,7.0,2.0,2.0,8.0,8.0,162.0,150.0,51.0,14.0,1.0,23.0,4.0,2.0,1.0,1.0,32.0,5.0,5.0,5.0,3.0,44.0,276.0,,1.0,0.0,155.0,6.0,3.0,,,80.0,121.0,6.0,84.0,,1.0,27.0,10.0,5.0,13.0,1.0,150.0,,3.0,137.0,728.0,4.0,2.0,23.0,6.0,450.0,21.0,1.0,2.0,1.0,1.0,1.0,2.0,24.0,530.0,82.0,,51927,5.0,198.0,1.0,12.0,213.0,1.0,2.0,4.0,51.0,1.0,1.0,2.0,1.0,15.0,2.0,4.0,47.0,466.0,13.0,1.0,5.0,78.0,,1.0,,0.0,1.0,,1.0,1.0,1.0,,0.0,6.0,,4.0,68.9,20.0,1.0,4.0,2.0,3.0,44.0,6.0,,550.0,6.0,7.0,16.0,3.0,47.0,2.0,369.0,6.0,3.0,22.0,111.0,30.0,1.0,2.0,9.0,1.0,7.0,5.0,21.0,2.0,6.0,1.0,,2.0,2.0,1.0,,,1.0,,2.0,,,,2.0,1.0,,,,2.0,1.0,1.0,,,1.0,3.0,2.0,,1.0,,,2.0,1.0,,1.0,,,2.0,2.0,,,,,,,1.0,,,,1.0,,,,,2.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
35,2293153,2023-05-06 17:30:00,"Anfield, Liverpool",52838.0,Away,Brentford,Liverpool,0,1,L,0,1,0,0,,,21.0,54.0,3.0,32.0,18.0,2.0,1.0,3.0,4.0,,,136.0,,14.0,1.0,8.0,,4.0,4.0,1.0,64.0,126.0,52.0,5.0,1.0,14.0,1.0,,,,18.0,6.0,18.0,2.0,2.0,43.0,111.0,,,0.0,108.0,10.0,,1.0,1.0,67.0,41.0,2.0,69.0,,3.0,16.0,10.0,2.0,5.0,1.0,126.0,,8.0,57.0,479.0,4.0,4.0,8.0,8.0,230.0,25.0,6.0,11.0,,2.0,4.0,2.0,14.0,298.0,62.0,,51927,1.0,134.0,,8.0,153.0,2.0,5.0,6.0,40.0,,2.0,2.0,,9.0,7.0,2.0,74.0,244.0,19.0,8.0,22.0,62.0,,,,0.0,2.0,7.0,1.0,,1.0,2.0,0.0,1.0,,1.0,46.1,9.0,1.0,6.0,2.0,1.0,33.0,3.0,1.0,326.0,8.0,5.0,21.0,3.0,32.0,2.0,191.0,3.0,2.0,14.0,60.0,18.0,,11.0,11.0,1.0,4.0,5.0,12.0,5.0,3.0,1.0,,,,1.0,,,1.0,,,,,,3.0,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36,2293162,2023-05-14 14:00:00,"Gtech Community Stadium, Brentford",17075.0,Home,Brentford,West Ham United,2,0,W,2,0,0,0,,2.0,20.0,74.0,1.0,28.0,15.0,6.0,7.0,18.0,4.0,1.0,4.0,163.0,,6.0,8.0,12.0,2.0,,17.0,10.0,119.0,142.0,53.0,24.0,3.0,19.0,6.0,1.0,1.0,1.0,22.0,11.0,15.0,4.0,4.0,60.0,176.0,,,0.0,139.0,5.0,,2.0,,65.0,60.0,10.0,108.0,1.0,5.0,18.0,18.0,6.0,5.0,1.0,142.0,5.0,3.0,116.0,695.0,12.0,5.0,46.0,5.0,399.0,32.0,2.0,11.0,2.0,1.0,,7.0,21.0,489.0,55.0,,51927,8.0,243.0,4.0,12.0,268.0,2.0,11.0,4.0,41.0,1.0,3.0,5.0,1.0,17.0,1.0,4.0,64.0,411.0,3.0,6.0,12.0,60.0,,1.0,1.0,0.0,,5.0,3.0,2.0,,3.0,0.0,6.0,2.0,9.0,53.1,19.0,5.0,7.0,5.0,5.0,28.0,7.0,,506.0,5.0,6.0,27.0,9.0,38.0,8.0,260.0,8.0,4.0,18.0,97.0,27.0,2.0,11.0,20.0,,14.0,5.0,17.0,11.0,7.0,2.0,2.0,,2.0,,1.0,,2.0,,2.0,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,,2.0,3.0,4.0,1.0,2.0,3.0,,2.0,2.0,1.0,2.0,1.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,
37,2293177,2023-05-20 12:30:00,"Tottenham Hotspur Stadium, London",61514.0,Away,Brentford,Tottenham Hotspur,3,1,W,0,1,0,0,1.0,2.0,18.0,59.0,,21.0,20.0,3.0,6.0,8.0,6.0,3.0,,147.0,,11.0,4.0,6.0,3.0,1.0,6.0,4.0,71.0,120.0,45.0,11.0,,26.0,1.0,4.0,3.0,,11.0,6.0,20.0,1.0,2.0,45.0,130.0,4.0,,0.0,106.0,9.0,3.0,2.0,4.0,77.0,29.0,4.0,70.0,1.0,,10.0,24.0,3.0,7.0,3.0,120.0,2.0,15.0,76.0,545.0,3.0,8.0,27.0,4.0,269.0,26.0,3.0,7.0,3.0,1.0,9.0,2.0,19.0,337.0,51.0,2.0,591357,4.0,157.0,,3.0,177.0,5.0,17.0,8.0,51.0,2.0,1.0,4.0,3.0,16.0,7.0,5.0,55.0,283.0,10.0,5.0,15.0,59.0,,,,0.0,,8.0,7.0,3.0,1.0,,0.0,4.0,3.0,2.0,38.2,16.0,2.0,6.0,4.0,1.0,31.0,2.0,4.0,364.0,4.0,7.0,19.0,6.0,22.0,3.0,198.0,3.0,2.0,18.0,67.0,17.0,3.0,7.0,11.0,,10.0,5.0,11.0,17.0,2.0,1.0,3.0,,1.0,,,2.0,1.0,,,,,,,,,1.0,2.0,,,,,,1.0,,1.0,,1.0,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
38,2293182,2023-05-28 16:30:00,"Gtech Community Stadium, Brentford",17120.0,Home,Brentford,Manchester City,1,0,W,0,0,0,0,,1.0,15.0,56.0,,26.0,17.0,2.0,6.0,9.0,2.0,1.0,,122.0,,8.0,6.0,7.0,1.0,2.0,8.0,4.0,67.0,104.0,44.0,11.0,1.0,12.0,3.0,,,,15.0,11.0,17.0,3.0,5.0,39.0,121.0,,,0.0,98.0,12.0,,1.0,1.0,44.0,49.0,6.0,74.0,1.0,1.0,12.0,14.0,2.0,5.0,1.0,104.0,2.0,11.0,60.0,482.0,4.0,5.0,39.0,10.0,246.0,23.0,3.0,12.0,1.0,4.0,9.0,2.0,10.0,310.0,41.0,,591357,8.0,141.0,1.0,5.0,152.0,8.0,8.0,5.0,51.0,,3.0,2.0,,10.0,6.0,4.0,50.0,256.0,8.0,13.0,14.0,55.0,,,,0.0,,4.0,3.0,1.0,,2.0,0.0,4.0,1.0,3.0,34.4,9.0,2.0,11.0,2.0,3.0,29.0,3.0,1.0,323.0,10.0,9.0,21.0,4.0,30.0,3.0,186.0,2.0,5.0,12.0,61.0,19.0,,12.0,17.0,,5.0,5.0,12.0,8.0,3.0,3.0,1.0,,2.0,,,,1.0,,,1.0,,,2.0,,,,,,,,,1.0,3.0,3.0,2.0,,1.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
