gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,punches,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,totalRedCard,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attObxCentre,attFreekickTotal,attOboxBlocked,accurateKeeperSweeper,attOboxTarget,attSvLowLeft,goodHighClaim,interceptionsInBox,attemptsObox,freekickTotal,totalKeeperSweeper,accurateFreekickCross,attSvLowRight,goalsConceded,accurateCrossNocorner,shieldBallOop,totalHighClaim,goalsConcededIbox,bigChanceScored,attGoalLowLeft,attLfGoal,goals,attBxRight,goalAssistOpenplay,attMissLeft,goalAssist,offtargetAttAssist,penaltyConceded,attRfGoal,defenderGoals,goalsOpenplay,attCmissLeft,attIboxGoal,goalAssistIntentional,penaltyFaced,shotOffTarget,attIboxMiss,forwardGoals,attGoalLowRight,attCmissRight,goalFastbreak,attMissHighRight,attSvHighRight,attMissRight,attOboxMiss,attHdTarget,attCmissHigh,attMissHigh,attFreekickTarget,attCmissHighRight,attHdTotal,attHdMiss,totalPullBack,ownGoals,attSvHighCentre,attIboxOwnGoal,ptsDroppedWinningPos,errorLeadToGoal,attGoalHighRight,penaltyWon,midfielderGoals,attMissHighLeft,attCmissHighLeft,attPenGoal,goalAssistSetplay,attGoalLowCentre,ptsGainedLosingPos,attSvHighLeft,hitWoodwork,attObxLeft,attHdGoal,attObxdLeft,attFreekickMiss,attGoalHighLeft,attObxdRight,goalAssistDeadball,goalsConcededObox,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,attOboxGoal,winningGoal,attGoalHighCentre,keeperGoals,subsGoals,expectedAssists,attObpGoal,attFreekickGoal,foulThrowIn,expectedGoals,accuratePullBack,postScoringAtt,attIboxPost,attPostRight,attPostLeft,attLgCentre
27,1059965,2020-02-22 15:00:00,"Selhurst Park, London",25486.0,Home,Crystal Palace,Newcastle United,1,0,W,1,0,0,1,1.0,60.0,2.0,1.0,27.0,15.0,4.0,12.0,2.0,4.0,156.0,6.0,14.0,5.0,14.0,9.0,79.0,145.0,68.0,18.0,13.0,6.0,1.0,2.0,16.0,13.0,15.0,5.0,,29.0,,135.0,1.0,0.0,103.0,15.0,1.0,1.0,4.0,63.0,33.0,8.0,53.0,11.0,22.0,2.0,145.0,2.0,,2.0,68.0,585.0,8.0,10.0,31.0,17.0,251.0,26.0,10.0,7.0,2.0,3.0,26.0,338.0,50.0,,,82403,6.0,134.0,2.0,5.0,,3.0,157.0,10.0,22.0,6.0,58.0,1.0,,3.0,22.0,6.0,3.0,57.0,263.0,10.0,15.0,6.0,26.0,4.0,72.0,1.0,,0.0,3.0,5.0,,3.0,0.0,44.2,25.0,4.0,1.0,3.0,2.0,,38.0,7.0,356.0,17.0,12.0,14.0,33.0,3.0,215.0,9.0,,22.0,65.0,26.0,1.0,7.0,22.0,9.0,2.0,18.0,1.0,10.0,7.0,1.0,6.0,2.0,1.0,,2.0,,,1.0,6.0,2.0,,3.0,4.0,,3.0,1.0,,,,,1.0,1.0,2.0,,1.0,,6.0,,,1.0,,1.0,,,,7.0,4.0,,,1.0,,2.0,,2.0,2.0,3.0,,1.0,,,5.0,2.0,1.0,,,,,,,,,,,,,,,2.0,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,
28,1059974,2020-02-29 12:30:00,"American Express Stadium, Falmer",30124.0,Away,Crystal Palace,Brighton and Hove Albion,1,0,W,0,0,0,0,1.0,61.0,4.0,3.0,14.0,32.0,4.0,11.0,8.0,1.0,130.0,5.0,5.0,1.0,9.0,3.0,50.0,159.0,54.0,12.0,31.0,2.0,2.0,1.0,12.0,13.0,32.0,7.0,6.0,23.0,,88.0,1.0,0.0,66.0,9.0,5.0,2.0,1.0,57.0,21.0,4.0,41.0,5.0,13.0,1.0,159.0,4.0,,13.0,52.0,506.0,4.0,4.0,23.0,9.0,178.0,24.0,3.0,19.0,1.0,5.0,32.0,252.0,38.0,1.0,1.0,82403,2.0,104.0,3.0,3.0,1.0,1.0,127.0,2.0,13.0,10.0,77.0,1.0,3.0,6.0,18.0,10.0,1.0,51.0,187.0,8.0,12.0,4.0,23.0,3.0,55.0,2.0,,0.0,3.0,8.0,4.0,,0.0,33.5,16.0,4.0,4.0,6.0,3.0,,20.0,7.0,273.0,9.0,20.0,12.0,21.0,5.0,158.0,5.0,6.0,18.0,36.0,24.0,5.0,19.0,23.0,8.0,2.0,11.0,5.0,4.0,7.0,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,1.0,,,1.0,,1.0,,1.0,5.0,,1.0,,1.0,,1.0,1.0,,6.0,4.0,,1.0,,,1.0,,2.0,1.0,,2.0,2.0,,1.0,2.0,2.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,
29,1059985,2020-03-07 15:00:00,"Selhurst Park, London",25461.0,Home,Crystal Palace,Watford,1,0,W,1,0,0,0,,75.0,1.0,,18.0,33.0,1.0,5.0,3.0,2.0,158.0,5.0,14.0,4.0,10.0,3.0,75.0,164.0,82.0,10.0,34.0,2.0,1.0,2.0,17.0,11.0,33.0,7.0,1.0,30.0,,127.0,1.0,0.0,116.0,12.0,2.0,1.0,2.0,69.0,20.0,7.0,63.0,10.0,8.0,3.0,164.0,1.0,2.0,7.0,75.0,604.0,7.0,8.0,25.0,13.0,251.0,38.0,5.0,17.0,4.0,5.0,15.0,343.0,43.0,1.0,,86417,2.0,144.0,1.0,5.0,,2.0,182.0,5.0,8.0,6.0,69.0,3.0,2.0,5.0,12.0,3.0,2.0,66.0,266.0,16.0,4.0,2.0,31.0,2.0,73.0,1.0,3.0,0.0,4.0,8.0,2.0,3.0,0.0,44.2,8.0,3.0,2.0,5.0,4.0,,33.0,8.0,371.0,13.0,13.0,13.0,34.0,2.0,206.0,7.0,1.0,31.0,77.0,23.0,3.0,17.0,21.0,6.0,1.0,23.0,3.0,4.0,8.0,1.0,5.0,,4.0,1.0,,,,3.0,5.0,,1.0,1.0,,,3.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,,1.0,1.0,,1.0,,3.0,3.0,1.0,,,,,,1.0,,,,1.0,,,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
30,1059992,2020-06-20 19:45:00,"Vitality Stadium, Bournemouth",,Away,Crystal Palace,Bournemouth,2,0,W,2,0,0,0,,50.0,,1.0,26.0,20.0,,5.0,1.0,,151.0,1.0,9.0,4.0,5.0,2.0,68.0,132.0,69.0,7.0,19.0,,1.0,,10.0,10.0,20.0,2.0,9.0,25.0,,156.0,1.0,0.0,105.0,15.0,,1.0,2.0,66.0,33.0,2.0,67.0,8.0,21.0,1.0,132.0,1.0,1.0,6.0,64.0,541.0,4.0,14.0,15.0,13.0,250.0,25.0,6.0,8.0,2.0,4.0,16.0,324.0,46.0,,,82403,4.0,113.0,,5.0,1.0,1.0,142.0,9.0,21.0,10.0,65.0,,3.0,,15.0,6.0,5.0,54.0,268.0,12.0,13.0,,24.0,1.0,60.0,1.0,,0.0,2.0,11.0,1.0,6.0,0.0,41.3,13.0,2.0,1.0,,1.0,,34.0,4.0,350.0,13.0,13.0,16.0,12.0,1.0,218.0,7.0,8.0,23.0,78.0,20.0,1.0,8.0,26.0,4.0,3.0,14.0,1.0,9.0,4.0,,2.0,1.0,,,,,,,2.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,3.0,,2.0,,1.0,,1.0,1.0,,4.0,3.0,1.0,,,,,,,1.0,,,3.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,
31,1060005,2020-06-24 20:15:00,"Anfield, Liverpool",,Away,Crystal Palace,Liverpool,0,4,L,0,2,0,0,,61.0,1.0,,19.0,37.0,1.0,,3.0,,138.0,,10.0,,2.0,,72.0,127.0,48.0,3.0,17.0,,,,,13.0,37.0,,6.0,27.0,,63.0,,0.0,41.0,5.0,1.0,,,50.0,15.0,,53.0,,14.0,,127.0,,,14.0,67.0,509.0,2.0,8.0,,16.0,219.0,42.0,5.0,16.0,0.0,4.0,14.0,301.0,26.0,,1.0,82403,,172.0,,,,,212.0,3.0,14.0,16.0,45.0,,1.0,2.0,12.0,7.0,6.0,62.0,235.0,7.0,7.0,,24.0,,52.0,,1.0,0.0,2.0,6.0,2.0,4.0,0.0,26.7,14.0,2.0,,2.0,,,17.0,,330.0,16.0,13.0,14.0,2.0,,118.0,2.0,6.0,11.0,21.0,11.0,1.0,16.0,20.0,3.0,4.0,14.0,1.0,8.0,,,3.0,,,1.0,,,,4.0,3.0,,1.0,,,4.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,3.0,,,,1.0,,,,1.0,3.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
32,1060016,2020-06-29 20:00:00,"Selhurst Park, London",,Home,Crystal Palace,Burnley,0,1,L,0,0,0,0,,51.0,1.0,4.0,26.0,13.0,2.0,10.0,3.0,3.0,181.0,6.0,7.0,4.0,6.0,4.0,110.0,149.0,45.0,17.0,19.0,2.0,,3.0,30.0,10.0,13.0,7.0,5.0,26.0,,218.0,,0.0,176.0,12.0,,,2.0,84.0,70.0,4.0,71.0,23.0,20.0,7.0,149.0,,1.0,7.0,117.0,678.0,5.0,5.0,34.0,7.0,377.0,23.0,3.0,6.0,1.0,1.0,31.0,461.0,62.0,,1.0,82403,5.0,177.0,1.0,14.0,6.0,1.0,209.0,5.0,20.0,4.0,56.0,,,7.0,19.0,1.0,2.0,56.0,389.0,13.0,9.0,1.0,17.0,6.0,57.0,,,0.0,,1.0,2.0,,0.0,58.4,31.0,6.0,2.0,7.0,7.0,,33.0,9.0,479.0,7.0,10.0,11.0,38.0,1.0,300.0,12.0,5.0,13.0,135.0,14.0,3.0,6.0,13.0,8.0,2.0,13.0,3.0,6.0,9.0,,7.0,2.0,3.0,,2.0,1.0,,,7.0,2.0,,,,1.0,5.0,1.0,,1.0,,,,,1.0,,,,2.0,,,,,,,,,6.0,4.0,,,,,2.0,,,2.0,1.0,2.0,3.0,,,3.0,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
33,1060024,2020-07-04 15:00:00,"King Power Stadium, Leicester",,Away,Crystal Palace,Leicester City,0,3,L,0,0,0,0,,60.0,,1.0,28.0,4.0,,5.0,1.0,,168.0,5.0,14.0,3.0,5.0,1.0,111.0,163.0,74.0,7.0,22.0,1.0,,,20.0,8.0,4.0,7.0,6.0,41.0,,166.0,,0.0,113.0,8.0,,,1.0,72.0,61.0,2.0,67.0,13.0,28.0,5.0,163.0,1.0,,11.0,104.0,656.0,5.0,9.0,13.0,7.0,333.0,30.0,4.0,1.0,1.0,5.0,26.0,420.0,73.0,1.0,1.0,82403,3.0,197.0,1.0,7.0,,1.0,216.0,3.0,28.0,7.0,63.0,1.0,1.0,5.0,20.0,4.0,6.0,58.0,358.0,18.0,6.0,,17.0,2.0,77.0,,,0.0,1.0,3.0,1.0,1.0,0.0,47.8,21.0,3.0,,5.0,1.0,,44.0,7.0,450.0,7.0,20.0,19.0,22.0,2.0,254.0,5.0,5.0,24.0,67.0,20.0,1.0,1.0,18.0,3.0,4.0,23.0,1.0,14.0,7.0,1.0,2.0,1.0,,,,1.0,,1.0,2.0,1.0,,,,3.0,3.0,,,3.0,,,,,1.0,,2.0,,3.0,,,,,1.0,,,,5.0,3.0,,,,,1.0,,1.0,2.0,1.0,,1.0,,,2.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
34,1060036,2020-07-07 18:00:00,"Selhurst Park, London",,Home,Crystal Palace,Chelsea,2,3,L,1,2,0,0,,63.0,,4.0,31.0,19.0,2.0,9.0,3.0,,156.0,7.0,7.0,,8.0,4.0,75.0,151.0,66.0,13.0,18.0,2.0,,1.0,23.0,11.0,19.0,6.0,11.0,36.0,,171.0,,0.0,153.0,11.0,2.0,,,75.0,56.0,6.0,69.0,17.0,24.0,6.0,151.0,2.0,,11.0,81.0,609.0,4.0,10.0,28.0,14.0,283.0,24.0,3.0,11.0,1.0,2.0,25.0,360.0,67.0,,,82403,6.0,132.0,1.0,11.0,,2.0,149.0,8.0,24.0,6.0,63.0,,1.0,6.0,26.0,3.0,1.0,63.0,296.0,9.0,13.0,3.0,17.0,3.0,65.0,,,0.0,1.0,9.0,3.0,3.0,0.0,42.0,24.0,5.0,1.0,6.0,5.0,,40.0,7.0,381.0,14.0,15.0,24.0,32.0,4.0,255.0,7.0,10.0,31.0,106.0,27.0,,11.0,19.0,8.0,4.0,13.0,,11.0,7.0,,3.0,,1.0,,,1.0,1.0,,4.0,,,,,3.0,3.0,,1.0,3.0,1.0,,,2.0,,1.0,2.0,1.0,2.0,,2.0,,2.0,,1.0,1.0,,4.0,2.0,1.0,,,,,,2.0,2.0,2.0,,,,,4.0,2.0,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0
35,1060043,2020-07-12 14:15:00,"Villa Park, Birmingham",,Away,Crystal Palace,Aston Villa,0,2,L,0,1,1,0,2.0,56.0,4.0,1.0,20.0,15.0,2.0,9.0,7.0,3.0,158.0,5.0,18.0,5.0,7.0,5.0,96.0,124.0,72.0,9.0,19.0,5.0,,4.0,19.0,8.0,15.0,1.0,4.0,33.0,,158.0,,0.0,117.0,21.0,3.0,,4.0,61.0,59.0,4.0,48.0,18.0,11.0,5.0,124.0,1.0,2.0,6.0,84.0,590.0,6.0,7.0,25.0,9.0,285.0,17.0,3.0,4.0,4.0,2.0,18.0,358.0,56.0,,,82403,6.0,153.0,1.0,9.0,,2.0,169.0,8.0,11.0,4.0,59.0,,,14.0,13.0,6.0,2.0,42.0,306.0,19.0,8.0,1.0,7.0,,56.0,,1.0,0.0,2.0,5.0,3.0,2.0,1.0,55.1,15.0,2.0,1.0,14.0,1.0,,37.0,1.0,386.0,9.0,9.0,19.0,27.0,,236.0,5.0,3.0,21.0,74.0,20.0,1.0,4.0,15.0,7.0,4.0,21.0,1.0,6.0,1.0,1.0,,,,,,,4.0,4.0,,,,2.0,1.0,2.0,5.0,,4.0,2.0,,,,,1.0,,,,3.0,,,,,,,,,3.0,3.0,,,,,1.0,,,,,,1.0,,,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1060055,2020-07-16 20:15:00,"Selhurst Park, London",,Home,Crystal Palace,Manchester United,0,2,L,0,1,0,0,1.0,50.0,,2.0,21.0,18.0,5.0,8.0,3.0,4.0,162.0,3.0,14.0,2.0,8.0,5.0,112.0,131.0,60.0,13.0,15.0,3.0,1.0,1.0,9.0,11.0,18.0,1.0,2.0,30.0,,194.0,,0.0,139.0,10.0,2.0,1.0,1.0,84.0,50.0,4.0,60.0,8.0,22.0,1.0,131.0,,2.0,12.0,94.0,626.0,8.0,4.0,25.0,16.0,319.0,21.0,2.0,9.0,1.0,3.0,21.0,400.0,44.0,,,86417,3.0,145.0,,6.0,,,162.0,8.0,22.0,11.0,56.0,,1.0,4.0,16.0,5.0,3.0,54.0,336.0,15.0,17.0,,15.0,2.0,74.0,1.0,,0.0,,7.0,3.0,3.0,0.0,40.6,19.0,1.0,4.0,4.0,4.0,,35.0,2.0,428.0,16.0,8.0,14.0,21.0,,275.0,7.0,1.0,5.0,95.0,24.0,1.0,9.0,26.0,10.0,3.0,20.0,1.0,11.0,2.0,,5.0,1.0,2.0,,2.0,1.0,,5.0,5.0,1.0,,,1.0,2.0,3.0,,,2.0,,,,,1.0,,,,4.0,,,,,,,,,4.0,3.0,,,1.0,,,,3.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1060071,2020-07-20 20:15:00,"Molineux Stadium, Wolverhampton",,Away,Crystal Palace,Wolverhampton Wanderers,0,2,L,0,1,0,0,1.0,53.0,1.0,2.0,19.0,18.0,4.0,4.0,3.0,2.0,160.0,4.0,8.0,6.0,5.0,3.0,72.0,137.0,49.0,7.0,22.0,1.0,,,14.0,5.0,18.0,2.0,7.0,30.0,,134.0,,0.0,91.0,15.0,,,4.0,75.0,52.0,4.0,77.0,12.0,16.0,3.0,137.0,,,9.0,95.0,594.0,5.0,4.0,14.0,12.0,306.0,24.0,8.0,8.0,1.0,3.0,29.0,387.0,43.0,,,86417,2.0,184.0,,5.0,,,208.0,9.0,16.0,8.0,68.0,,1.0,5.0,16.0,2.0,2.0,60.0,314.0,11.0,16.0,,26.0,,71.0,,,0.0,1.0,5.0,2.0,1.0,0.0,46.6,28.0,,2.0,5.0,3.0,,36.0,2.0,404.0,12.0,12.0,9.0,22.0,,210.0,3.0,6.0,18.0,55.0,23.0,2.0,8.0,13.0,6.0,2.0,14.0,2.0,7.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,,,3.0,1.0,1.0,,1.0,2.0,4.0,,,2.0,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1060075,2020-07-26 16:00:00,"Selhurst Park, London",,Home,Crystal Palace,Tottenham Hotspur,1,1,D,0,1,0,0,1.0,60.0,,1.0,26.0,11.0,4.0,10.0,1.0,,161.0,9.0,8.0,4.0,12.0,2.0,100.0,147.0,60.0,13.0,13.0,,,1.0,24.0,12.0,11.0,7.0,4.0,18.0,,191.0,,0.0,125.0,11.0,,,3.0,71.0,58.0,4.0,54.0,17.0,16.0,2.0,147.0,1.0,,5.0,107.0,637.0,6.0,2.0,27.0,10.0,325.0,25.0,5.0,7.0,3.0,2.0,31.0,405.0,65.0,,,86417,7.0,155.0,,12.0,1.0,2.0,181.0,3.0,16.0,4.0,59.0,,1.0,4.0,12.0,2.0,2.0,55.0,337.0,13.0,9.0,5.0,21.0,6.0,67.0,,,0.0,2.0,2.0,1.0,1.0,0.0,47.2,25.0,4.0,2.0,4.0,2.0,,35.0,7.0,422.0,10.0,18.0,9.0,37.0,4.0,265.0,2.0,4.0,17.0,83.0,25.0,1.0,7.0,22.0,5.0,2.0,16.0,1.0,6.0,7.0,,3.0,,1.0,,1.0,,,,3.0,,,1.0,,1.0,5.0,,,1.0,1.0,,,1.0,,,5.0,1.0,8.0,,1.0,,,1.0,1.0,,,9.0,8.0,,,1.0,,,,2.0,1.0,,,,,,6.0,6.0,,,,,,,,,1.0,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
