gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attFreekickGoal,goalsConcededObox,redCard,attIboxGoal,goalsConceded,attOboxGoal,yellowCard,attGoalLowLeft,attGoalLowRight,totalRedCard,winningGoal,midfielderGoals,fastestPlayer,attLfGoal,attGoalLowCentre,attRfGoal,goals,attGoalHighCentre,keeperGoals,ownGoals,defenderGoals,goalsOpenplay,subsGoals,attPenGoal,attHdGoal,goalsConcededIbox,attGoalHighLeft,attGoalHighRight,attObpGoal,totalYelCard,ballRecovery,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attemptsIbox,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalChippedPass,accurateFwdZonePass,totalFinalThirdPasses,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,possLostCtrl,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,outfielderBlock,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,totalDistance,totalPullBack,goalKicks,duelLost,unsuccessfulTouch,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,totalLaunches,longPassOwnToOpp,accurateCrossNocorner,possessionPercentage,accurateThrows,attBxLeft,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,totalFwdZonePass,attRfTotal,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,totalContest,expectedGoals,wonCorners,bigChanceScored,attObxCentre,attLfTotal,saves,fouledFinalThird,accuratePullBack,attFreekickTotal,attOboxBlocked,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCornersIntobox,totalLayoffs,expectedGoalsOnTargetConceded,attMissHighRight,cleanSheet,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,interceptionsInBox,attMissRight,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,bigChanceCreated,attemptsConcededIbox,totalFlickOn,goalAssist,totalKeeperSweeper,offtargetAttAssist,expectedGoalsFreekick,accurateThroughBall,errorLeadToShot,attBxCentre,bigChanceMissed,attSetpiece,attemptedTackleFoul,blockedPass,totalThroughBall,accurateKeeperThrows,attemptsConcededObox,attMissHigh,challengeLost,attAssistSetplay,attCorner,attFastbreak,punches,overrun,lostCorners,savedIbox,accurateFlickOn,goalAssistIntentional,shieldBallOop,attHdTotal,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,totalHighClaim,shotOffTarget,accurateCornersIntobox,attIboxMiss,accurateLayoffs,forwardGoals,effectiveBlockedCross,subsMade,blockedCross,successfulPutThrough,attLfTarget,attIboxBlocked,attOboxTarget,attOneOnOne,attSvHighLeft,attSvLowLeft,attHdTarget,attCmissHigh,attSvHighCentre,errorLeadToGoal,handBall,savedObox,attCmissRight,attMissHighLeft,penaltyConceded,attCmissLeft,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attBxRight,postScoringAtt,attIboxPost,hitWoodwork,totalOffside,attPostRight,attSvLowRight,attHdPost,sixYardBlock,attFreekickTarget,goalAssistSetplay,attPenTarget,penaltyWon,contentiousDecision,penaltySave,clearanceOffLine,attPostLeft,goalAssistDeadball,accurateFreekickCross,attSvHighRight,attCmissHighRight,attLgCentre,attPostHigh,attIboxOwnGoal,ptsGainedLosingPos,attFreekickMiss,foulThrowIn,attFreekickPost,attOboxPost,attObxdLeft
25,2562141,2026-02-08 16:30:00,"Anfield, Liverpool",60336.0,Away,Manchester City,Liverpool,2,1,W,0.0,0.0,0,1,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,45.0,1.9936,20.0,31.0,9.0,2.0,140.0,3.0,3.0,15.0,7.0,129.0,130.0,51.0,17.0,8.0,4.0,3.0,11.0,8.0,31.0,37.0,230.0,137.0,78.0,50.0,10.0,82.0,8.0,15.0,130.0,114.0,664.0,13.0,25.0,10.0,370.0,14.0,4.0,16.0,3.0,1.26084,16.0,433.0,50.0,34.36,223094,166.0,4.0,185.0,116806.63,2.0,10.0,49.0,27.0,7.0,53.0,393.0,13.0,17.0,65.0,2.0,53.5,12.0,,37.0,4.0,465.0,10.0,8.0,20.0,24.0,291.0,7.0,20.0,109.0,23.0,16.0,15.0,12.0,12.0,2.7483,4.0,2.0,7.0,8.0,3.0,5.0,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,3.0,14.0,0.4984,1.0,,16.0,1.0,3.0,1.0,1.0,2.0,1.0,8.0,1.0,3.0,5.0,2.0,9.0,7.0,1.0,,5.0,0.0553,2.0,2.0,7.0,1.0,1.0,9.0,9.0,6.0,2.0,6.0,1.0,8.0,1.0,1.0,2.0,4.0,,5.0,1.0,4.0,1.0,,2.0,1.0,3.0,2.0,4.0,1.0,6.0,1.0,1.0,12.0,1.0,1.0,3.0,1.0,9.0,2.0,2.0,1.0,,,2.0,1.0,,,,,2.0,,1.0,,,,,,1.0,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,1.0,,,3.0,1.0,,,,
26,2562150,2026-02-11 19:30:00,"Etihad Stadium, Manchester",50717.0,Home,Manchester City,Fulham,3,0,W,3.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,49.0,1.6209,27.0,16.0,5.0,1.0,145.0,1.0,5.0,8.0,5.0,187.0,107.0,44.0,13.0,7.0,1.0,1.0,9.0,11.0,16.0,29.0,295.0,126.0,71.0,102.0,6.0,115.0,6.0,16.0,107.0,187.0,812.0,6.0,18.0,7.0,558.0,15.0,3.0,5.0,3.0,0.417045,11.0,611.0,59.0,32.99,209244,283.0,5.0,303.0,120373.06,1.0,9.0,41.0,12.0,6.0,41.0,577.0,10.0,7.0,55.0,1.0,56.0,9.0,1.0,43.0,4.0,634.0,7.0,8.0,21.0,13.0,340.0,3.0,8.0,103.0,22.0,5.0,22.0,10.0,20.0,1.3679,4.0,2.0,8.0,10.0,3.0,2.0,,,3.0,1.0,,2.0,1.0,1.0,3.0,10.0,0.4596,,1.0,8.0,3.0,2.0,,1.0,1.0,,8.0,,1.0,3.0,1.0,12.0,2.0,2.0,,2.0,,1.0,2.0,2.0,,,6.0,11.0,2.0,2.0,2.0,1.0,3.0,,3.0,1.0,1.0,1.0,4.0,3.0,,2.0,1.0,,,7.0,3.0,5.0,1.0,3.0,1.0,,10.0,2.0,1.0,5.0,1.0,11.0,1.0,2.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
27,2562160,2026-02-21 20:00:00,"Etihad Stadium, Manchester",52187.0,Home,Manchester City,Newcastle United,2,1,W,2.0,1.0,0,0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,47.0,1.8598,19.0,23.0,10.0,3.0,134.0,6.0,14.0,12.0,7.0,119.0,116.0,61.0,15.0,16.0,5.0,4.0,11.0,13.0,23.0,53.0,228.0,140.0,50.0,60.0,7.0,88.0,10.0,10.0,116.0,126.0,652.0,9.0,31.0,5.0,366.0,23.0,3.0,12.0,3.0,0.978991,14.0,438.0,39.0,35.08,437730,171.0,7.0,194.0,113509.6,2.0,5.0,49.0,14.0,4.0,49.0,393.0,13.0,12.0,53.0,6.0,54.8,12.0,3.0,28.0,5.0,467.0,5.0,7.0,25.0,20.0,284.0,6.0,13.0,113.0,14.0,12.0,21.0,14.0,25.0,1.3541,5.0,1.0,5.0,8.0,6.0,1.0,,1.0,2.0,4.0,,2.0,1.0,3.0,1.0,11.0,1.1039,,,12.0,3.0,5.0,1.0,1.0,,1.0,5.0,1.0,2.0,3.0,2.0,8.0,6.0,2.0,,5.0,,2.0,,7.0,4.0,1.0,4.0,5.0,5.0,5.0,5.0,2.0,3.0,1.0,,4.0,1.0,1.0,5.0,5.0,1.0,2.0,3.0,1.0,,4.0,5.0,2.0,1.0,6.0,,3.0,10.0,,2.0,3.0,2.0,5.0,2.0,,,2.0,,1.0,,,,,,1.0,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,
28,2562170,2026-02-28 17:30:00,"Elland Road, Leeds",36838.0,Away,Manchester City,Leeds United,1,0,W,1.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,2.6259,23.0,39.0,11.0,,189.0,5.0,16.0,10.0,5.0,171.0,123.0,59.0,14.0,9.0,4.0,1.0,21.0,8.0,39.0,27.0,348.0,210.0,78.0,111.0,7.0,115.0,18.0,19.0,123.0,180.0,863.0,9.0,25.0,,566.0,10.0,3.0,22.0,4.0,1.36256,13.0,631.0,70.0,33.86,437730,244.0,11.0,262.0,115742.44,,12.0,32.0,16.0,12.0,46.0,587.0,10.0,17.0,55.0,5.0,67.0,10.0,2.0,34.0,3.0,655.0,,8.0,16.0,26.0,414.0,7.0,16.0,179.0,19.0,22.0,17.0,10.0,22.0,1.9954,3.0,1.0,3.0,4.0,2.0,3.0,,,1.0,,,1.0,,2.0,3.0,15.0,0.4695,1.0,1.0,8.0,1.0,,2.0,1.0,,2.0,3.0,,5.0,2.0,3.0,7.0,5.0,1.0,,3.0,,1.0,1.0,5.0,3.0,,6.0,11.0,3.0,3.0,7.0,,1.0,1.0,4.0,,1.0,2.0,5.0,1.0,2.0,1.0,,3.0,1.0,1.0,3.0,4.0,1.0,5.0,1.0,3.0,15.0,1.0,1.0,3.0,1.0,11.0,2.0,3.0,,1.0,1.0,,2.0,,1.0,,,1.0,,,,1.0,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,
29,2562181,2026-03-04 19:30:00,"Etihad Stadium, Manchester",51965.0,Home,Manchester City,Nottingham Forest,2,2,D,1.0,0.0,0,0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,49.0,1.522,24.0,6.0,16.0,,197.0,4.0,14.0,17.0,7.0,222.0,114.0,46.0,21.0,7.0,4.0,1.0,24.0,6.0,6.0,32.0,503.0,272.0,86.0,130.0,10.0,127.0,19.0,14.0,114.0,228.0,937.0,12.0,46.0,6.0,700.0,16.0,2.0,4.0,3.0,1.93632,17.0,760.0,83.0,34.15,223094,215.0,16.0,226.0,120896.1,2.0,2.0,42.0,9.0,2.0,36.0,714.0,6.0,6.0,46.0,1.0,69.9,14.0,1.0,34.0,6.0,774.0,6.0,7.0,22.0,43.0,572.0,4.0,16.0,240.0,28.0,4.0,10.0,16.0,27.0,2.1228,6.0,2.0,5.0,14.0,2.0,3.0,,1.0,1.0,,,1.0,,3.0,5.0,13.0,1.1605,1.0,,10.0,2.0,,,,1.0,,5.0,1.0,3.0,2.0,4.0,6.0,3.0,2.0,,6.0,0.0596,2.0,,9.0,3.0,,7.0,5.0,6.0,2.0,3.0,1.0,6.0,2.0,4.0,,,1.0,1.0,2.0,2.0,2.0,,3.0,1.0,3.0,2.0,6.0,,8.0,3.0,5.0,13.0,1.0,2.0,3.0,2.0,5.0,5.0,5.0,1.0,,,2.0,,,,,1.0,,,2.0,,2.0,,,2.0,3.0,1.0,,1.0,1.0,,2.0,,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,
30,2562194,2026-03-14 20:00:00,"London Stadium, London",62459.0,Away,Manchester City,West Ham United,1,1,D,1.0,1.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,50.0,1.8585,21.0,16.0,19.0,3.0,198.0,10.0,12.0,18.0,6.0,211.0,129.0,51.0,24.0,7.0,4.0,1.0,33.0,7.0,16.0,31.0,427.0,234.0,124.0,85.0,10.0,131.0,18.0,27.0,129.0,215.0,966.0,13.0,40.0,13.0,665.0,21.0,1.0,7.0,,1.82601,16.0,736.0,86.0,35.98,578153,267.0,12.0,281.0,117463.54,2.0,2.0,41.0,8.0,2.0,39.0,684.0,13.0,8.0,60.0,5.0,71.5,16.0,1.0,44.0,15.0,755.0,13.0,12.0,20.0,44.0,507.0,10.0,18.0,191.0,22.0,7.0,8.0,11.0,25.0,2.0296,15.0,,4.0,8.0,,3.0,1.0,2.0,1.0,,1.0,1.0,,4.0,15.0,13.0,0.9905,2.0,,5.0,,,,,1.0,3.0,5.0,2.0,6.0,3.0,,1.0,2.0,1.0,1.0,8.0,0.0723,1.0,,9.0,1.0,1.0,3.0,12.0,1.0,3.0,,1.0,5.0,4.0,10.0,,,,1.0,,,,1.0,6.0,4.0,3.0,3.0,7.0,,11.0,5.0,8.0,13.0,,,4.0,,12.0,1.0,6.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,,1.0,,,2.0,4.0,,,1.0,2.0,,2.0,,2.0,1.0,,,,,,,,,,2.0,,,,,,1.0,,,,1.0
32,2562208,2026-04-12 16:30:00,"Stamford Bridge, London",39552.0,Away,Manchester City,Chelsea,3,0,W,0.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,46.0,3.4995,20.0,10.0,14.0,2.0,169.0,6.0,11.0,14.0,8.0,200.0,108.0,50.0,18.0,3.0,4.0,1.0,22.0,8.0,10.0,29.0,379.0,243.0,135.0,87.0,11.0,131.0,15.0,20.0,108.0,185.0,882.0,11.0,47.0,8.0,602.0,15.0,2.0,2.0,5.0,1.63568,13.0,658.0,70.0,33.99,578153,254.0,11.0,271.0,113793.74,3.0,6.0,45.0,12.0,5.0,29.0,627.0,10.0,6.0,48.0,4.0,62.7,13.0,1.0,39.0,12.0,685.0,8.0,7.0,21.0,32.0,436.0,9.0,9.0,210.0,18.0,2.0,20.0,16.0,25.0,2.2904,12.0,3.0,4.0,6.0,3.0,2.0,1.0,,1.0,,1.0,1.0,,1.0,7.0,13.0,1.1422,1.0,1.0,15.0,3.0,,,1.0,,2.0,4.0,,4.0,2.0,2.0,7.0,1.0,2.0,1.0,3.0,,1.0,,9.0,,,6.0,12.0,2.0,3.0,5.0,,7.0,1.0,2.0,,1.0,1.0,4.0,2.0,1.0,2.0,,3.0,1.0,8.0,3.0,6.0,1.0,4.0,2.0,2.0,12.0,,1.0,4.0,1.0,12.0,2.0,5.0,1.0,,,2.0,1.0,,,,,1.0,,,,,,,,2.0,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,
33,2562221,2026-04-19 16:30:00,"Etihad Stadium, Manchester",52523.0,Home,Manchester City,Arsenal,2,1,W,1.0,1.0,0,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,52.0,1.3648,24.0,27.0,13.0,2.0,145.0,3.0,9.0,9.0,5.0,131.0,131.0,51.0,15.0,13.0,3.0,1.0,16.0,10.0,27.0,27.0,241.0,161.0,89.0,54.0,6.0,77.0,8.0,16.0,131.0,145.0,692.0,7.0,40.0,9.0,398.0,22.0,4.0,16.0,4.0,1.05271,17.0,470.0,44.0,36.2,223094,186.0,6.0,211.0,113185.01,3.0,9.0,43.0,15.0,9.0,51.0,424.0,11.0,16.0,45.0,2.0,58.6,13.0,2.0,28.0,8.0,498.0,9.0,11.0,14.0,29.0,303.0,6.0,19.0,128.0,18.0,16.0,12.0,9.0,20.0,1.3633,8.0,2.0,2.0,7.0,1.0,,1.0,,1.0,,,1.0,,3.0,8.0,10.0,1.3167,,,5.0,,,,,2.0,1.0,2.0,,2.0,1.0,2.0,8.0,4.0,1.0,,3.0,,1.0,,7.0,3.0,,2.0,4.0,1.0,5.0,1.0,,3.0,1.0,5.0,,1.0,3.0,5.0,2.0,,,1.0,2.0,1.0,6.0,5.0,5.0,1.0,5.0,1.0,3.0,10.0,1.0,1.0,4.0,1.0,4.0,,4.0,,,,,1.0,,1.0,1.0,,,,,,,,,,2.0,1.0,1.0,2.0,,1.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,
35,2562240,2026-05-04 20:00:00,"Hill Dickinson Stadium, Liverpool",52257.0,Away,Manchester City,Everton,3,3,D,1.0,0.0,0,0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,45.0,2.2117,16.0,20.0,13.0,1.0,145.0,5.0,16.0,17.0,4.0,183.0,121.0,64.0,21.0,18.0,1.0,1.0,23.0,12.0,20.0,22.0,352.0,251.0,114.0,73.0,11.0,99.0,18.0,18.0,121.0,202.0,844.0,13.0,48.0,2.0,543.0,19.0,4.0,11.0,6.0,1.61049,19.0,604.0,69.0,36.09,223094,221.0,11.0,247.0,109904.32,4.0,2.0,52.0,15.0,2.0,36.0,568.0,15.0,15.0,40.0,4.0,75.5,18.0,,30.0,9.0,629.0,2.0,9.0,14.0,35.0,405.0,11.0,15.0,223.0,20.0,11.0,18.0,12.0,33.0,1.5373,9.0,1.0,8.0,8.0,3.0,7.0,2.0,1.0,2.0,,,3.0,,1.0,5.0,10.0,3.72,1.0,,5.0,2.0,,3.0,,,1.0,8.0,1.0,4.0,5.0,1.0,10.0,5.0,3.0,,6.0,0.0635,1.0,3.0,8.0,,2.0,2.0,5.0,1.0,6.0,4.0,4.0,3.0,1.0,6.0,,1.0,,5.0,2.0,2.0,2.0,,2.0,,1.0,6.0,9.0,,8.0,1.0,3.0,10.0,1.0,,3.0,,5.0,,7.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,2.0,3.0,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,
36,2562250,2026-05-09 17:30:00,"Etihad Stadium, Manchester",,Home,Manchester City,Brentford,0,0,D,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0458,4.0,2.0,1.0,1.0,21.0,1.0,3.0,1.0,1.0,29.0,20.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,21.0,16.0,7.0,7.0,1.0,14.0,2.0,1.0,20.0,24.0,119.0,1.0,8.0,5.0,72.0,4.0,1.0,1.0,1.0,0.0221231,4.0,84.0,6.0,32.02,209036,56.0,2.0,60.0,16191.09,1.0,2.0,6.0,3.0,2.0,7.0,76.0,1.0,3.0,6.0,1.0,62.5,3.0,1.0,4.0,1.0,88.0,5.0,1.0,3.0,3.0,30.0,1.0,1.0,10.0,3.0,1.0,1.0,1.0,5.0,0.0206,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2562201,2026-05-13 20:00:00,"Etihad Stadium, Manchester",,Home,Manchester City,Crystal Palace,0,0,D,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2562255,2026-05-19 19:30:00,"Vitality Stadium, Bournemouth",,Away,Manchester City,Bournemouth,0,0,D,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2562270,2026-05-24 16:00:00,"Etihad Stadium, Manchester",,Home,Manchester City,Aston Villa,0,0,D,,,0,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,33.0,1.513,19.0,15.0,10.0,1.0,134.0,1.0,5.0,10.0,3.0,145.0,107.0,26.0,16.0,3.0,2.0,,14.0,6.0,15.0,23.0,280.0,201.0,56.0,76.0,5.0,62.0,7.0,9.0,107.0,140.0,635.0,8.0,46.0,7.0,412.0,10.0,1.0,8.0,2.0,0.872237,20.0,466.0,55.0,34.0,510281,147.0,6.0,157.0,109406.28,5.0,6.0,42.0,8.0,6.0,30.0,426.0,4.0,3.0,32.0,,52.5,20.0,3.0,27.0,9.0,481.0,7.0,12.0,15.0,34.0,338.0,9.0,7.0,163.0,15.0,8.0,10.0,10.0,21.0,1.3432,9.0,1.0,6.0,6.0,3.0,2.0,1.0,1.0,2.0,,,1.0,,3.0,7.0,4.0,2.6451,1.0,,8.0,1.0,,1.0,,,2.0,6.0,1.0,,4.0,1.0,9.0,,1.0,,5.0,0.0369,2.0,,3.0,1.0,1.0,3.0,5.0,4.0,2.0,3.0,1.0,3.0,2.0,4.0,,,2.0,4.0,1.0,,1.0,,1.0,,6.0,2.0,6.0,,7.0,1.0,3.0,4.0,1.0,1.0,5.0,1.0,5.0,1.0,4.0,,,,1.0,,,1.0,1.0,,2.0,1.0,,,1.0,,,3.0,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,
