gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowRight,attLfGoal,goals,attBxRight,goalAssistOpenplay,attMissLeft,attOboxGoal,attSvLowLeft,goodHighClaim,crosses18yardplus,attOboxMiss,bigChanceCreated,subsGoals,attHdTarget,attMissHighLeft,accurateLaunches,goalAssist,attSetpiece,attRfGoal,attCmissHigh,totalThroughBall,totalOffside,goalsOpenplay,attMissHigh,attGoalHighLeft,overrun,attIboxGoal,goalAssistIntentional,shieldBallOop,attSvHighCentre,clearanceOffLine,totalHighClaim,forwardGoals,effectiveBlockedCross,blockedCross,goalsConcededObox,accurateThroughBall,errorLeadToShot,bigChanceMissed,punches,foulThrowIn,attRfTarget,attGoalLowCentre,attFreekickTotal,shotFastbreak,totalFastbreak,attSvHighLeft,freekickTotal,attFastbreak,attCmissHighRight,ptsDroppedWinningPos,errorLeadToGoal,handBall,attGoalLowLeft,attOboxTarget,midfielderGoals,attCmissLeft,postScoringAtt,attIboxPost,attSvHighRight,hitWoodwork,sixYardBlock,attSvLowRight,attPostRight,penaltyConceded,penaltyFaced,penGoalsConceded,ownGoals,attIboxOwnGoal,secondYellow,goalAssistSetplay,defenderGoals,penaltyWon,attPenGoal,attOneOnOne,cleanSheet,attPostLeft,attHdGoal,attFreekickMiss,attGoalHighRight,attCmissHighLeft,goalFastbreak,ptsGainedLosingPos,goalAssistDeadball,attFreekickTarget,attLgCentre,attHdPost,attPostHigh,penaltySave
28,2367816,2024-03-10 14:00:00,"London Stadium, London",62441,Away,Burnley,West Ham United,2,2,D,2,0,0,0,,63.0,1.0,2.0,26.0,30.0,7.0,2.0,3.0,2.0,171.0,,10.0,1.0,8.0,,,4.0,90.0,171.0,54.0,11.0,4.0,32.0,1.0,1.0,2.0,8.0,10.0,30.0,2.0,3.0,40.0,144.0,,0.0,116.0,18.0,1.0,,83.0,35.0,7.0,68.0,,,6.0,14.0,8.0,171.0,,16.0,99.0,614.0,8.0,2.0,22.0,9.0,287.0,24.0,12.0,1.0,4.0,5.0,1.0,19.0,393.0,63.0,,60586,3.0,155.0,5.0,186.0,18.0,1.0,9.0,13.0,76.0,4.0,12.0,6.0,3.0,92.0,299.0,11.0,11.0,,43.0,,88.0,0.0,4.0,1.0,2.0,,0.0,,,48.4,15.0,,1.0,,4.0,6.0,26.0,3.0,428.0,9.0,5.0,24.0,1.0,20.0,,,250.0,9.0,2.0,16.0,67.0,29.0,12.0,17.0,2.0,9.0,3.0,21.0,9.0,4.0,,,,2.0,,,,1.0,,,1.0,1.0,1.0,,,,2.0,,1.0,1.0,,,2.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,3.0,,1.0,1.0,1.0,,1.0,1.0,,2.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,
29,2367820,2024-03-16 15:00:00,"Turf Moor, Burnley",20431,Home,Burnley,Brentford,2,1,W,1,0,0,1,1.0,60.0,,3.0,22.0,17.0,7.0,6.0,10.0,5.0,173.0,4.0,5.0,2.0,13.0,,,6.0,89.0,158.0,55.0,17.0,3.0,24.0,3.0,2.0,3.0,20.0,7.0,17.0,2.0,3.0,27.0,259.0,1.0,0.0,218.0,14.0,3.0,1.0,101.0,39.0,8.0,88.0,,,18.0,18.0,7.0,158.0,1.0,8.0,107.0,648.0,11.0,5.0,49.0,8.0,348.0,16.0,10.0,2.0,2.0,3.0,5.0,15.0,432.0,54.0,,60586,8.0,111.0,12.0,143.0,14.0,1.0,10.0,2.0,69.0,3.0,11.0,1.0,1.0,50.0,366.0,17.0,4.0,1.0,24.0,,56.0,0.0,4.0,4.0,1.0,1.0,0.0,4.0,1.0,60.5,8.0,,11.0,1.0,3.0,6.0,29.0,5.0,457.0,8.0,11.0,16.0,5.0,37.0,,2.0,334.0,10.0,2.0,24.0,175.0,26.0,10.0,10.0,1.0,16.0,3.0,21.0,10.0,5.0,2.0,,,2.0,,1.0,2.0,,,1.0,5.0,3.0,3.0,,1.0,,6.0,1.0,,2.0,,4.0,5.0,1.0,2.0,,1.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,2.0,,2.0,,,,,,,,1.0,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
30,2367831,2024-03-30 15:00:00,"Stamford Bridge, London",39535,Away,Burnley,Chelsea,2,2,D,0,1,1,0,1.0,45.0,3.0,4.0,29.0,26.0,4.0,3.0,14.0,11.0,123.0,8.0,6.0,5.0,13.0,,,7.0,49.0,101.0,43.0,18.0,1.0,8.0,3.0,2.0,1.0,10.0,8.0,26.0,4.0,2.0,32.0,121.0,,0.0,98.0,7.0,4.0,2.0,71.0,16.0,8.0,43.0,2.0,1.0,7.0,9.0,4.0,101.0,,22.0,56.0,456.0,7.0,4.0,32.0,11.0,183.0,22.0,11.0,3.0,2.0,10.0,5.0,10.0,243.0,49.0,2.0,60586,9.0,91.0,2.0,107.0,7.0,1.0,5.0,13.0,39.0,10.0,15.0,11.0,9.0,54.0,204.0,11.0,16.0,4.0,20.0,4.0,52.0,0.0,12.0,8.0,2.0,,1.0,5.0,7.0,30.9,5.0,3.0,1.0,3.0,12.0,5.0,26.0,4.0,271.0,11.0,3.0,26.0,6.0,20.0,4.0,5.0,174.0,8.0,2.0,17.0,67.0,6.0,11.0,10.0,2.0,8.0,4.0,11.0,5.0,4.0,,1.0,,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,,2.0,,1.0,1.0,5.0,2.0,3.0,1.0,,2.0,,1.0,,,2.0,1.0,1.0,,1.0,,3.0,,,,,,1.0,4.0,,,3.0,,2.0,,,,2.0,,,,,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,
31,2367841,2024-04-02 19:45:00,"Turf Moor, Burnley",21528,Home,Burnley,Wolverhampton Wanderers,1,1,D,1,1,0,0,2.0,47.0,,1.0,27.0,13.0,5.0,6.0,8.0,1.0,152.0,7.0,8.0,2.0,10.0,1.0,,6.0,105.0,147.0,49.0,13.0,2.0,13.0,3.0,3.0,1.0,34.0,8.0,13.0,5.0,7.0,35.0,238.0,1.0,0.0,172.0,10.0,,2.0,63.0,63.0,7.0,87.0,,1.0,29.0,16.0,5.0,147.0,,7.0,124.0,662.0,8.0,2.0,36.0,6.0,374.0,11.0,7.0,3.0,0.0,2.0,3.0,23.0,444.0,59.0,1.0,60586,6.0,161.0,20.0,173.0,9.0,1.0,7.0,6.0,52.0,,16.0,1.0,4.0,44.0,392.0,11.0,12.0,1.0,9.0,1.0,54.0,0.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,50.9,19.0,1.0,14.0,,2.0,3.0,32.0,7.0,468.0,6.0,9.0,23.0,4.0,45.0,2.0,3.0,329.0,6.0,7.0,14.0,129.0,18.0,7.0,16.0,1.0,11.0,2.0,17.0,7.0,7.0,1.0,1.0,,1.0,2.0,1.0,2.0,,2.0,3.0,7.0,1.0,2.0,,,,1.0,1.0,,1.0,,2.0,2.0,1.0,,,2.0,1.0,1.0,,,,3.0,,,,,,,1.0,,,3.0,,,,,,,,,2.0,,,,2.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2367851,2024-04-06 15:00:00,"Goodison Park, Liverpool",39125,Away,Burnley,Everton,0,1,L,0,1,1,0,,51.0,,2.0,29.0,17.0,1.0,1.0,5.0,2.0,189.0,5.0,10.0,3.0,3.0,,,1.0,144.0,176.0,50.0,6.0,,19.0,1.0,1.0,,16.0,10.0,17.0,5.0,10.0,43.0,137.0,1.0,0.0,111.0,13.0,1.0,2.0,71.0,37.0,2.0,67.0,1.0,,11.0,14.0,1.0,176.0,,6.0,123.0,706.0,2.0,3.0,27.0,7.0,378.0,29.0,8.0,1.0,1.0,2.0,1.0,21.0,489.0,54.0,1.0,60586,1.0,275.0,9.0,316.0,11.0,,3.0,14.0,64.0,5.0,14.0,6.0,14.0,72.0,407.0,11.0,8.0,1.0,25.0,1.0,73.0,0.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,63.0,19.0,,,1.0,5.0,2.0,38.0,5.0,523.0,7.0,14.0,18.0,3.0,28.0,1.0,2.0,223.0,4.0,8.0,15.0,63.0,15.0,8.0,14.0,,4.0,5.0,22.0,3.0,5.0,,,,,2.0,,1.0,,,1.0,,1.0,,,1.0,,6.0,,,,1.0,1.0,1.0,,1.0,,5.0,,,3.0,1.0,,1.0,,4.0,4.0,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
33,2367861,2024-04-13 15:00:00,"Turf Moor, Burnley",20687,Home,Burnley,Brighton and Hove Albion,1,1,D,0,0,0,0,,66.0,6.0,2.0,20.0,18.0,5.0,5.0,6.0,8.0,137.0,4.0,7.0,,9.0,,1.0,3.0,126.0,140.0,45.0,11.0,,13.0,,4.0,1.0,13.0,6.0,18.0,3.0,2.0,38.0,157.0,1.0,0.0,123.0,18.0,1.0,,33.0,68.0,3.0,74.0,,1.0,10.0,19.0,5.0,140.0,,11.0,116.0,638.0,8.0,,32.0,5.0,349.0,20.0,6.0,4.0,1.0,6.0,6.0,9.0,432.0,50.0,,60586,2.0,212.0,9.0,238.0,13.0,1.0,9.0,6.0,55.0,7.0,23.0,10.0,6.0,58.0,365.0,7.0,8.0,1.0,32.0,1.0,58.0,0.0,5.0,2.0,1.0,,0.0,3.0,1.0,44.5,9.0,1.0,4.0,,7.0,2.0,25.0,4.0,453.0,5.0,5.0,19.0,6.0,21.0,1.0,3.0,228.0,5.0,1.0,9.0,83.0,32.0,6.0,22.0,1.0,10.0,4.0,18.0,9.0,4.0,1.0,,1.0,1.0,1.0,,3.0,,,3.0,1.0,3.0,2.0,1.0,,1.0,4.0,,,,,,1.0,1.0,,,3.0,1.0,,,,,3.0,,,,,,,2.0,,,2.0,,,,,,,,,2.0,1.0,,1.0,2.0,,2.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
34,2367875,2024-04-20 15:00:00,"Bramall Lane, Sheffield",28964,Away,Burnley,Sheffield United,4,1,W,2,0,0,0,1.0,58.0,2.0,1.0,21.0,32.0,1.0,5.0,14.0,10.0,161.0,6.0,4.0,,12.0,,,9.0,134.0,137.0,44.0,16.0,1.0,16.0,5.0,1.0,1.0,12.0,8.0,32.0,1.0,8.0,34.0,191.0,,0.0,132.0,9.0,3.0,,57.0,45.0,8.0,85.0,,2.0,11.0,24.0,2.0,137.0,,14.0,123.0,722.0,9.0,3.0,28.0,4.0,403.0,25.0,15.0,1.0,0.0,3.0,4.0,18.0,484.0,65.0,,60586,11.0,231.0,11.0,258.0,2.0,1.0,14.0,4.0,50.0,5.0,20.0,4.0,4.0,54.0,416.0,10.0,8.0,,18.0,3.0,62.0,0.0,11.0,8.0,1.0,1.0,0.0,6.0,3.0,51.4,16.0,1.0,3.0,1.0,5.0,2.0,27.0,2.0,503.0,4.0,8.0,17.0,5.0,26.0,,3.0,257.0,8.0,7.0,13.0,93.0,22.0,15.0,18.0,1.0,13.0,4.0,14.0,14.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,,,4.0,,1.0,2.0,1.0,2.0,,2.0,3.0,,3.0,,3.0,1.0,4.0,1.0,,3.0,4.0,1.0,,1.0,,4.0,1.0,2.0,2.0,,1.0,1.0,2.0,,,2.0,,,1.0,1.0,1.0,,1.0,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,
35,2367882,2024-04-27 15:00:00,"Old Trafford, Manchester",73571,Away,Burnley,Manchester United,1,1,D,0,0,0,0,1.0,60.0,5.0,2.0,31.0,23.0,6.0,5.0,10.0,9.0,147.0,3.0,6.0,3.0,11.0,,,7.0,118.0,144.0,40.0,16.0,2.0,13.0,4.0,,1.0,14.0,8.0,23.0,5.0,2.0,42.0,177.0,1.0,0.0,132.0,11.0,5.0,1.0,53.0,37.0,8.0,69.0,3.0,,9.0,20.0,6.0,144.0,1.0,16.0,118.0,641.0,11.0,3.0,35.0,13.0,338.0,22.0,7.0,,3.0,8.0,3.0,10.0,431.0,58.0,,60586,5.0,181.0,7.0,208.0,5.0,,11.0,14.0,43.0,6.0,17.0,11.0,13.0,68.0,355.0,8.0,6.0,,33.0,1.0,61.0,0.0,6.0,4.0,1.0,1.0,0.0,2.0,1.0,52.3,7.0,,2.0,4.0,6.0,4.0,34.0,5.0,452.0,13.0,7.0,27.0,5.0,26.0,1.0,3.0,258.0,10.0,2.0,14.0,84.0,24.0,7.0,14.0,1.0,11.0,2.0,13.0,11.0,5.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,3.0,8.0,,2.0,1.0,,4.0,2.0,,,,,1.0,,,2.0,,,,,,,1.0,,1.0,,,4.0,,1.0,2.0,2.0,,1.0,2.0,,,1.0,1.0,,2.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,,,
36,2367891,2024-05-04 15:00:00,"Turf Moor, Burnley",21781,Home,Burnley,Newcastle United,1,4,L,0,3,0,0,1.0,63.0,2.0,3.0,27.0,25.0,8.0,6.0,9.0,7.0,157.0,5.0,6.0,1.0,13.0,,,5.0,93.0,151.0,46.0,17.0,2.0,9.0,2.0,,2.0,16.0,9.0,25.0,3.0,16.0,33.0,192.0,,0.0,133.0,8.0,4.0,1.0,50.0,54.0,9.0,85.0,2.0,1.0,13.0,19.0,8.0,151.0,,15.0,90.0,631.0,10.0,3.0,26.0,12.0,314.0,27.0,13.0,,2.0,6.0,4.0,16.0,405.0,58.0,1.0,60586,4.0,141.0,8.0,167.0,1.0,,5.0,6.0,52.0,,13.0,8.0,4.0,63.0,328.0,6.0,6.0,2.0,25.0,2.0,59.0,0.0,11.0,5.0,4.0,,0.0,2.0,3.0,46.6,15.0,1.0,3.0,2.0,,5.0,28.0,4.0,425.0,12.0,14.0,17.0,7.0,20.0,3.0,3.0,274.0,8.0,15.0,15.0,90.0,27.0,13.0,19.0,4.0,15.0,4.0,21.0,5.0,4.0,,,,1.0,2.0,,2.0,,1.0,1.0,4.0,4.0,2.0,,1.0,1.0,6.0,1.0,,,,1.0,,,3.0,1.0,,1.0,1.0,,,,2.0,,2.0,2.0,,,,2.0,,,2.0,,,,,,,,,,,,,2.0,,2.0,,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,1.0
37,2367905,2024-05-11 15:00:00,"Tottenham Hotspur Stadium, London",61148,Away,Burnley,Tottenham Hotspur,1,2,L,1,1,0,0,,57.0,1.0,2.0,26.0,20.0,1.0,,6.0,7.0,122.0,4.0,5.0,3.0,7.0,,,3.0,72.0,120.0,44.0,7.0,,9.0,1.0,3.0,1.0,10.0,12.0,20.0,3.0,3.0,37.0,81.0,,0.0,56.0,14.0,5.0,3.0,22.0,33.0,5.0,40.0,4.0,,7.0,13.0,1.0,120.0,,16.0,84.0,487.0,5.0,2.0,12.0,8.0,217.0,32.0,7.0,3.0,5.0,6.0,2.0,14.0,294.0,35.0,,60586,4.0,158.0,4.0,198.0,3.0,,6.0,13.0,42.0,10.0,15.0,5.0,13.0,66.0,235.0,9.0,7.0,1.0,32.0,2.0,48.0,0.0,9.0,6.0,2.0,1.0,0.0,3.0,3.0,36.9,14.0,1.0,3.0,1.0,11.0,2.0,20.0,3.0,318.0,8.0,7.0,23.0,2.0,18.0,1.0,2.0,130.0,4.0,3.0,10.0,36.0,10.0,7.0,20.0,2.0,5.0,4.0,10.0,6.0,3.0,1.0,,,1.0,,1.0,1.0,,,2.0,,,2.0,,1.0,,2.0,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2367911,2024-05-19 16:00:00,"Turf Moor, Burnley",21109,Home,Burnley,Nottingham Forest,1,2,L,0,2,0,0,1.0,48.0,2.0,3.0,22.0,10.0,10.0,8.0,10.0,4.0,147.0,2.0,8.0,3.0,16.0,2.0,,3.0,205.0,112.0,31.0,20.0,4.0,17.0,2.0,,1.0,18.0,7.0,10.0,3.0,9.0,32.0,434.0,1.0,0.0,266.0,11.0,2.0,,90.0,78.0,9.0,93.0,,3.0,15.0,9.0,10.0,112.0,,8.0,213.0,809.0,15.0,2.0,32.0,9.0,577.0,14.0,6.0,,1.0,1.0,7.0,17.0,643.0,80.0,,60586,5.0,159.0,9.0,168.0,3.0,3.0,5.0,5.0,42.0,3.0,12.0,4.0,5.0,33.0,591.0,4.0,2.0,,6.0,1.0,51.0,0.0,3.0,2.0,2.0,1.0,0.0,1.0,,72.6,17.0,,4.0,3.0,3.0,7.0,40.0,4.0,658.0,9.0,2.0,18.0,10.0,30.0,1.0,5.0,508.0,12.0,9.0,11.0,223.0,27.0,6.0,8.0,2.0,18.0,5.0,20.0,5.0,4.0,,,1.0,1.0,2.0,1.0,3.0,1.0,,1.0,6.0,5.0,1.0,,,1.0,,1.0,,,,,,1.0,2.0,,3.0,,,,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
