gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,handBall,attBxRight,goalAssistOpenplay,attSvLowLeft,subsGoals,goalAssist,goalsOpenplay,attCmissLeft,accurateFlickOn,goalAssistIntentional,attLfTarget,attFreekickTotal,accurateKeeperSweeper,attMissHighRight,freekickCross,freekickTotal,totalKeeperSweeper,attSetpiece,attCmissHigh,attFreekickMiss,goodHighClaim,sixYardBlock,defenderGoals,totalHighClaim,attHdGoal,postScoringAtt,attIboxPost,attHdPost,hitWoodwork,attSvLowRight,attPostRight,attOboxTarget,attSvHighRight,ptsGainedLosingPos,attSvHighLeft,accurateFreekickCross,attOboxPost,goalAssistSetplay,goalAssistDeadball,attLfGoal,attGoalHighRight,attPostHigh,clearanceOffLine,attOneOnOne,midfielderGoals,accurateThroughBall,ownGoals,totalThroughBall,attIboxOwnGoal,attGoalLowCentre,goalFastbreak,ptsDroppedWinningPos,attOboxGoal,attGoalHighLeft,attGoalLowRight,cleanSheet,attCmissHighRight,attGoalHighCentre,attFreekickTarget,attPostLeft,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,attLgCentre,attFreekickGoal,attObxRight
27,2367802,2024-03-02 17:30:00,"Kenilworth Road, Luton",11594,Home,Luton Town,Aston Villa,2,3,L,0,2,0,0,2.0,55.0,1.0,,3.0,14.0,17.0,3.0,5.0,11.0,5.0,1.0,122.0,5.0,6.0,2.0,7.0,10.0,,,5.0,96.0,112.0,50.0,14.0,2.0,13.0,3.0,,3.0,1.0,31.0,7.0,17.0,8.0,2.0,25.0,128.0,,0.0,92.0,8.0,4.0,,35.0,55.0,6.0,54.0,1.0,,23.0,7.0,3.0,6.0,1.0,112.0,3.0,,12.0,93.0,542.0,5.0,,25.0,2.0,8.0,287.0,25.0,,2.0,12.0,1.0,,4.0,12.0,343.0,44.0,1.0,96784,5.0,184.0,2.0,12.0,,199.0,7.0,1.0,,3.0,5.0,44.0,3.0,5.0,5.0,,4.0,3.0,,46.0,307.0,18.0,9.0,3.0,16.0,4.0,55.0,,,0.0,3.0,6.0,5.0,2.0,3.0,0.0,4.0,1.0,5.0,46.5,10.0,3.0,7.0,1.0,,5.0,5.0,28.0,8.0,,365.0,,8.0,6.0,9.0,4.0,33.0,1.0,3.0,197.0,4.0,2.0,15.0,64.0,18.0,2.0,2.0,12.0,12.0,3.0,6.0,3.0,15.0,,2.0,3.0,8.0,,,1.0,1.0,,,2.0,,,,1.0,,1.0,,,5.0,1.0,,3.0,2.0,,1.0,,,1.0,,,,,,,,,,,,3.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
28,2367813,2024-03-09 15:00:00,"Selhurst Park, London",25103,Away,Luton Town,Crystal Palace,1,1,D,0,1,0,0,,46.0,1.0,2.0,1.0,28.0,19.0,,2.0,8.0,3.0,,169.0,8.0,11.0,1.0,1.0,4.0,,,2.0,94.0,166.0,60.0,8.0,,18.0,1.0,,,1.0,32.0,7.0,19.0,6.0,6.0,36.0,158.0,,0.0,96.0,11.0,3.0,,57.0,83.0,2.0,63.0,1.0,,26.0,22.0,,4.0,,166.0,,,13.0,105.0,645.0,2.0,7.0,20.0,,7.0,311.0,19.0,,5.0,7.0,3.0,8.0,2.0,23.0,397.0,42.0,1.0,96784,6.0,189.0,1.0,21.0,,219.0,8.0,,,1.0,12.0,54.0,1.0,6.0,27.0,8.0,10.0,4.0,,63.0,339.0,20.0,6.0,1.0,23.0,3.0,70.0,,,0.0,1.0,8.0,1.0,1.0,1.0,0.0,6.0,,4.0,50.5,21.0,3.0,1.0,1.0,1.0,6.0,1.0,39.0,6.0,,431.0,,7.0,11.0,21.0,5.0,26.0,2.0,5.0,244.0,2.0,6.0,15.0,63.0,15.0,,2.0,7.0,14.0,1.0,4.0,5.0,19.0,1.0,2.0,1.0,6.0,,,,1.0,,1.0,1.0,1.0,,3.0,1.0,1.0,,,,1.0,,,1.0,2.0,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2367824,2024-03-16 15:00:00,"Kenilworth Road, Luton",11630,Home,Luton Town,Nottingham Forest,1,1,D,0,1,0,0,1.0,47.0,,1.0,2.0,28.0,13.0,5.0,8.0,5.0,2.0,1.0,150.0,5.0,14.0,1.0,2.0,4.0,,,4.0,104.0,142.0,51.0,10.0,2.0,20.0,1.0,,2.0,,26.0,5.0,13.0,6.0,9.0,21.0,177.0,,0.0,120.0,10.0,,,42.0,87.0,4.0,79.0,,,20.0,21.0,5.0,5.0,,142.0,1.0,,9.0,107.0,631.0,3.0,3.0,22.0,,5.0,337.0,23.0,,6.0,8.0,1.0,7.0,,20.0,415.0,46.0,,96784,3.0,185.0,,11.0,,210.0,7.0,,,8.0,8.0,60.0,1.0,3.0,9.0,7.0,6.0,1.0,,63.0,357.0,16.0,7.0,,31.0,2.0,69.0,,,0.0,1.0,7.0,4.0,1.0,1.0,0.0,4.0,,1.0,59.7,18.0,,3.0,,1.0,3.0,4.0,41.0,6.0,,440.0,,5.0,12.0,11.0,2.0,31.0,1.0,1.0,256.0,1.0,8.0,13.0,84.0,17.0,,1.0,8.0,8.0,1.0,6.0,3.0,27.0,,1.0,8.0,6.0,,2.0,1.0,,,1.0,1.0,,,,1.0,2.0,,,,4.0,,,2.0,,,,1.0,,,,1.0,,,1.0,,1.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
30,2367837,2024-03-30 15:00:00,"Tottenham Hotspur Stadium, London",61534,Away,Luton Town,Tottenham Hotspur,1,2,L,1,0,0,0,,50.0,,,2.0,22.0,22.0,3.0,4.0,4.0,2.0,1.0,101.0,7.0,6.0,1.0,3.0,6.0,,,3.0,63.0,122.0,43.0,7.0,1.0,15.0,,,,,16.0,8.0,22.0,6.0,3.0,22.0,71.0,,0.0,62.0,14.0,,,34.0,29.0,5.0,47.0,2.0,,10.0,21.0,3.0,1.0,,122.0,,,15.0,44.0,435.0,4.0,4.0,11.0,,6.0,160.0,23.0,1.0,6.0,7.0,4.0,8.0,1.0,14.0,227.0,32.0,,96784,3.0,113.0,,6.0,,136.0,14.0,,1.0,10.0,10.0,53.0,1.0,3.0,13.0,3.0,6.0,,,59.0,177.0,16.0,8.0,1.0,29.0,2.0,52.0,,,0.0,,3.0,3.0,1.0,2.0,0.0,6.0,,1.0,30.4,9.0,1.0,,1.0,,3.0,3.0,18.0,6.0,,255.0,,6.0,9.0,13.0,1.0,16.0,1.0,1.0,135.0,2.0,3.0,10.0,34.0,18.0,1.0,4.0,7.0,12.0,2.0,5.0,4.0,13.0,,4.0,10.0,6.0,,,,1.0,1.0,,1.0,1.0,,2.0,1.0,1.0,,,,3.0,,,,,,,1.0,,,,,,,,1.0,,2.0,,,,2.0,,,,1.0,,,2.0,,,,1.0,,1.0,,,3.0,,,1.0,,,,,,,,,,,,
31,2367839,2024-04-03 19:30:00,"Emirates Stadium, London",60262,Away,Luton Town,Arsenal,0,2,L,0,2,0,0,,52.0,,1.0,,27.0,12.0,2.0,,3.0,4.0,1.0,141.0,5.0,3.0,,2.0,3.0,,,1.0,110.0,122.0,52.0,5.0,1.0,12.0,,,,1.0,22.0,13.0,12.0,1.0,5.0,33.0,155.0,,0.0,94.0,8.0,4.0,,48.0,69.0,,81.0,2.0,,21.0,13.0,2.0,4.0,,122.0,,,10.0,98.0,584.0,3.0,1.0,14.0,,9.0,337.0,27.0,,8.0,4.0,1.0,8.0,3.0,18.0,407.0,47.0,,96784,3.0,203.0,,17.0,,228.0,8.0,,,4.0,7.0,37.0,1.0,2.0,12.0,4.0,3.0,1.0,,61.0,353.0,11.0,7.0,,22.0,,69.0,,,0.0,,3.0,2.0,,2.0,0.0,5.0,2.0,3.0,42.0,13.0,3.0,1.0,,,2.0,1.0,35.0,1.0,,430.0,,9.0,9.0,15.0,3.0,25.0,,3.0,224.0,2.0,5.0,21.0,66.0,18.0,,,4.0,17.0,2.0,4.0,3.0,4.0,1.0,,4.0,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,
32,2367853,2024-04-06 15:00:00,"Kenilworth Road, Luton",11797,Home,Luton Town,Bournemouth,2,1,W,0,0,0,0,1.0,58.0,,,3.0,26.0,18.0,6.0,5.0,13.0,1.0,3.0,175.0,6.0,7.0,2.0,,15.0,,,9.0,77.0,170.0,60.0,19.0,1.0,10.0,5.0,1.0,3.0,2.0,31.0,12.0,18.0,6.0,4.0,32.0,207.0,,0.0,164.0,7.0,1.0,1.0,53.0,108.0,10.0,72.0,2.0,,25.0,26.0,6.0,10.0,3.0,170.0,1.0,,5.0,77.0,627.0,13.0,6.0,28.0,2.0,10.0,280.0,14.0,,3.0,2.0,0.0,1.0,5.0,26.0,373.0,84.0,,96784,6.0,99.0,,15.0,,115.0,4.0,2.0,1.0,10.0,8.0,50.0,,2.0,14.0,3.0,6.0,3.0,,66.0,300.0,12.0,11.0,,24.0,1.0,86.0,1.0,,0.0,,2.0,,2.0,1.0,0.0,6.0,,3.0,55.8,19.0,1.0,6.0,3.0,1.0,2.0,4.0,51.0,7.0,,401.0,,10.0,12.0,17.0,6.0,40.0,,2.0,317.0,11.0,4.0,18.0,103.0,30.0,1.0,2.0,2.0,24.0,,18.0,3.0,18.0,,2.0,10.0,7.0,1.0,1.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,1.0,2.0,,1.0,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,2.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,1.0,,,,,,,
33,2367864,2024-04-13 15:00:00,"Etihad Stadium, Manchester",53449,Away,Luton Town,Manchester City,1,5,L,0,1,0,0,1.0,44.0,,5.0,,22.0,28.0,,2.0,4.0,9.0,,104.0,,7.0,1.0,1.0,2.0,1.0,1.0,2.0,55.0,112.0,41.0,4.0,,9.0,1.0,,,,4.0,7.0,28.0,1.0,3.0,22.0,54.0,,0.0,30.0,6.0,3.0,,30.0,21.0,1.0,57.0,3.0,1.0,3.0,17.0,,2.0,,112.0,1.0,,27.0,60.0,450.0,2.0,4.0,9.0,,8.0,191.0,27.0,,7.0,16.0,0.0,10.0,1.0,12.0,247.0,22.0,,96784,2.0,160.0,1.0,1.0,1.0,189.0,1.0,,1.0,8.0,16.0,44.0,1.0,3.0,21.0,11.0,11.0,,,51.0,214.0,7.0,10.0,,23.0,,45.0,,,0.0,,12.0,4.0,1.0,5.0,0.0,,1.0,,26.4,8.0,,1.0,,,3.0,,24.0,1.0,1.0,276.0,1.0,8.0,16.0,10.0,2.0,4.0,,1.0,91.0,2.0,2.0,14.0,15.0,6.0,,2.0,16.0,13.0,5.0,3.0,4.0,11.0,,2.0,8.0,1.0,,1.0,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,
34,2367873,2024-04-20 15:00:00,"Kenilworth Road, Luton",11877,Home,Luton Town,Brentford,1,5,L,0,2,0,0,1.0,45.0,,1.0,1.0,23.0,34.0,1.0,5.0,5.0,4.0,,155.0,2.0,13.0,1.0,2.0,3.0,,,3.0,83.0,163.0,56.0,6.0,1.0,18.0,2.0,,,,19.0,9.0,34.0,4.0,6.0,32.0,141.0,,0.0,117.0,13.0,4.0,,57.0,44.0,2.0,61.0,2.0,,15.0,17.0,1.0,3.0,,163.0,,,13.0,92.0,595.0,3.0,8.0,15.0,,7.0,276.0,18.0,,3.0,16.0,1.0,2.0,1.0,24.0,362.0,52.0,1.0,96784,2.0,159.0,,10.0,,189.0,6.0,1.0,1.0,7.0,14.0,64.0,,3.0,22.0,8.0,10.0,1.0,,56.0,298.0,8.0,8.0,,21.0,1.0,56.0,,,0.0,1.0,9.0,3.0,1.0,5.0,0.0,2.0,1.0,,52.6,20.0,,2.0,2.0,,4.0,2.0,27.0,4.0,,391.0,,7.0,16.0,16.0,1.0,28.0,,1.0,221.0,1.0,6.0,16.0,68.0,18.0,,,16.0,19.0,4.0,5.0,5.0,22.0,1.0,,7.0,4.0,1.0,,1.0,,2.0,1.0,,1.0,,3.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
35,2367887,2024-04-27 15:00:00,"Molineux Stadium, Wolverhampton",31531,Away,Luton Town,Wolverhampton Wanderers,1,2,L,0,1,0,0,,56.0,,1.0,,16.0,13.0,3.0,1.0,6.0,3.0,2.0,139.0,6.0,10.0,1.0,1.0,6.0,,,6.0,120.0,135.0,63.0,9.0,1.0,10.0,4.0,1.0,2.0,1.0,20.0,15.0,13.0,4.0,7.0,24.0,190.0,,0.0,110.0,14.0,1.0,1.0,39.0,86.0,5.0,65.0,1.0,1.0,16.0,17.0,3.0,2.0,1.0,135.0,1.0,,6.0,109.0,641.0,4.0,2.0,18.0,2.0,7.0,344.0,22.0,,5.0,5.0,1.0,4.0,1.0,22.0,412.0,50.0,1.0,96784,5.0,178.0,1.0,11.0,,198.0,6.0,1.0,,6.0,5.0,56.0,,4.0,25.0,7.0,4.0,,,35.0,362.0,14.0,10.0,1.0,20.0,3.0,61.0,1.0,,0.0,1.0,4.0,2.0,1.0,2.0,0.0,5.0,2.0,2.0,42.2,20.0,,5.0,,2.0,4.0,1.0,37.0,4.0,,433.0,,7.0,18.0,15.0,2.0,26.0,1.0,1.0,255.0,6.0,7.0,11.0,84.0,24.0,1.0,,5.0,28.0,2.0,5.0,4.0,14.0,,,6.0,4.0,,,1.0,,,,1.0,,,1.0,1.0,1.0,,5.0,,3.0,,5.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,0.9636,0.8557,0.533556,0.5933,,,
36,2367895,2024-05-03 20:00:00,"Kenilworth Road, Luton",11873,Home,Luton Town,Everton,1,1,D,1,1,0,0,1.0,53.0,1.0,1.0,3.0,28.0,26.0,6.0,4.0,11.0,3.0,2.0,153.0,11.0,12.0,1.0,3.0,14.0,,1.0,5.0,93.0,140.0,60.0,18.0,2.0,21.0,2.0,,,3.0,29.0,7.0,26.0,7.0,2.0,42.0,158.0,,0.0,117.0,14.0,2.0,,58.0,50.0,6.0,70.0,,2.0,22.0,17.0,7.0,6.0,3.0,140.0,1.0,,5.0,95.0,637.0,10.0,6.0,24.0,1.0,6.0,325.0,23.0,,3.0,15.0,1.0,4.0,8.0,24.0,397.0,62.0,,96784,8.0,189.0,,13.0,1.0,207.0,5.0,,,8.0,3.0,60.0,,4.0,16.0,5.0,3.0,3.0,,64.0,336.0,12.0,2.0,3.0,19.0,5.0,66.0,,,0.0,3.0,7.0,1.0,1.0,1.0,0.0,8.0,2.0,5.0,50.1,20.0,4.0,1.0,2.0,1.0,4.0,5.0,38.0,7.0,1.0,411.0,1.0,6.0,10.0,20.0,8.0,35.0,3.0,5.0,233.0,9.0,2.0,19.0,74.0,25.0,1.0,,15.0,18.0,1.0,11.0,3.0,26.0,,,8.0,8.0,,,,1.0,1.0,,1.0,1.0,,2.0,1.0,1.0,,,,3.0,,,2.0,,,1.0,2.0,,1.0,,,,,,2.0,,2.0,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,
37,2367906,2024-05-11 15:00:00,"London Stadium, London",62475,Away,Luton Town,West Ham United,1,3,L,1,0,0,0,1.0,44.0,1.0,1.0,2.0,21.0,33.0,,,4.0,5.0,,117.0,2.0,9.0,1.0,2.0,2.0,,,1.0,63.0,124.0,56.0,4.0,,26.0,,,,,23.0,14.0,33.0,6.0,1.0,30.0,121.0,,0.0,90.0,15.0,2.0,,49.0,53.0,2.0,60.0,2.0,,17.0,18.0,,2.0,,124.0,1.0,,14.0,80.0,519.0,1.0,3.0,23.0,,9.0,236.0,14.0,,4.0,17.0,3.0,7.0,,17.0,296.0,49.0,2.0,96784,1.0,129.0,,13.0,,145.0,7.0,,1.0,9.0,9.0,67.0,,6.0,10.0,10.0,3.0,1.0,,57.0,248.0,9.0,8.0,,23.0,,51.0,,,0.0,,7.0,4.0,1.0,3.0,0.0,2.0,1.0,1.0,42.1,14.0,,4.0,1.0,,6.0,2.0,25.0,6.0,,320.0,,9.0,11.0,17.0,1.0,21.0,,1.0,198.0,3.0,,19.0,49.0,16.0,,2.0,17.0,19.0,2.0,4.0,4.0,16.0,,2.0,9.0,6.0,1.0,,2.0,1.0,,,1.0,1.0,,,1.0,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,
38,2367915,2024-05-19 16:00:00,"Kenilworth Road, Luton",12027,Home,Luton Town,Fulham,2,4,L,1,2,0,0,1.0,39.0,1.0,4.0,3.0,22.0,8.0,5.0,6.0,9.0,4.0,2.0,118.0,5.0,5.0,2.0,7.0,9.0,,,6.0,72.0,112.0,45.0,15.0,2.0,6.0,3.0,,2.0,,17.0,4.0,8.0,4.0,2.0,21.0,99.0,1.0,0.0,78.0,15.0,,,35.0,46.0,6.0,50.0,1.0,3.0,13.0,15.0,6.0,2.0,2.0,112.0,2.0,,8.0,64.0,468.0,9.0,6.0,22.0,,5.0,223.0,15.0,,7.0,3.0,5.0,2.0,3.0,12.0,278.0,47.0,,96784,5.0,152.0,2.0,6.0,,162.0,7.0,1.0,,10.0,8.0,45.0,8.0,5.0,11.0,8.0,6.0,1.0,1.0,44.0,246.0,20.0,5.0,,15.0,,41.0,,,0.0,,4.0,,1.0,4.0,0.0,3.0,1.0,1.0,40.4,9.0,1.0,4.0,1.0,,5.0,5.0,20.0,4.0,,304.0,,5.0,9.0,10.0,4.0,24.0,2.0,2.0,159.0,8.0,1.0,11.0,45.0,13.0,1.0,,3.0,9.0,2.0,9.0,5.0,16.0,,,10.0,4.0,2.0,1.0,3.0,,1.0,,,,,1.0,,2.0,2.0,2.0,,5.0,2.0,2.0,3.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,1.0
