gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,penaltySave,attGoalLowLeft,savedObox,accuratePullBack,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,divingSave,midfielderGoals,bigChanceCreated,goalAssist,totalKeeperSweeper,bigChanceMissed,penaltyConceded,totalPullBack,totalOffside,attMissHigh,punches,shieldBallOop,penaltyFaced,totalHighClaim,attFreekickMiss,accurateCornersIntobox,goalsConcededIbox,ptsDroppedWinningPos,handBall,attSvHighRight,attHdTarget,accurateFreekickCross,attCmissLeft,attBxLeft,attLfGoal,attGoalLowCentre,attCmissRight,shotFastbreak,goalFastbreak,totalFastbreak,goodHighClaim,attMissRight,subsGoals,attFastbreak,goalAssistIntentional,errorLeadToGoal,cleanSheet,attSvLowLeft,attOboxGoal,attCmissHigh,ownGoals,attCmissHighLeft,attIboxOwnGoal,penGoalsConceded,attLgCentre,attFreekickTarget,attIboxPost,attSvHighLeft,attPostLeft,attHdPost,attGoalHighLeft,attOneOnOne,attObxdLeft,goalAssistSetplay,defenderGoals,attHdGoal,goalAssistDeadball,attGoalHighCentre,contentiousDecision,attObpGoal,attGoalHighRight,penaltyWon,attPenGoal,attPenMiss,attFreekickPost
27,2367799,2024-03-03 13:00:00,"Turf Moor, Burnley",19713.0,Away,Bournemouth,Burnley,2,0,W,1,0,0,0,,,1.0,45.0,,1.0,22.0,35.0,2.0,5.0,8.0,5.0,1.0,123.0,2.0,6.0,2.0,1.0,8.0,3.0,31.0,142.0,57.0,1.0,10.0,,26.0,1.0,,1.0,3.0,9.0,9.0,,35.0,2.0,2.0,13.0,73.0,,0.0,64.0,13.0,,1.0,20.0,44.0,4.0,23.0,3.0,7.0,24.0,2.0,1.0,2.0,2.0,142.0,11.0,29.0,422.0,6.0,11.0,17.0,,9.0,107.0,19.0,1.0,8.0,10.0,4.0,6.0,4.0,18.0,183.0,37.0,1.0,,69752,3.0,45.0,4.0,1.0,,78.0,13.0,1.0,14.0,13.0,68.0,1.0,,2.0,18.0,9.0,4.0,63.0,116.0,8.0,10.0,,30.0,1.0,62.0,,0.0,,7.0,4.0,2.0,,,,6.0,0.0,2.0,,25.3,14.0,,4.0,,,1.0,1.0,22.0,2.0,206.0,9.0,15.0,7.0,6.0,14.0,4.0,137.0,5.0,1.0,24.0,36.0,17.0,,2.0,10.0,20.0,8.0,5.0,10.0,2.0,14.0,2.0,,,2.0,,2.0,,2.0,3.0,2.0,2.0,2.0,,1.0,,,4.0,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,,1.0,,3.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
28,2367808,2024-03-09 15:00:00,"Vitality Stadium, Bournemouth",11074.0,Home,Bournemouth,Sheffield United,2,2,D,0,1,0,0,,4.0,2.0,70.0,,5.0,30.0,16.0,11.0,14.0,21.0,7.0,3.0,190.0,15.0,8.0,2.0,2.0,29.0,12.0,160.0,169.0,63.0,,32.0,5.0,24.0,6.0,,4.0,1.0,55.0,8.0,4.0,16.0,10.0,5.0,38.0,416.0,,0.0,287.0,12.0,1.0,1.0,138.0,109.0,20.0,85.0,,45.0,17.0,11.0,,17.0,2.0,169.0,10.0,179.0,846.0,23.0,7.0,75.0,,4.0,499.0,20.0,2.0,1.0,10.0,3.0,2.0,9.0,15.0,598.0,100.0,2.0,,69752,10.0,113.0,27.0,,,132.0,12.0,1.0,7.0,2.0,57.0,3.0,8.0,,11.0,3.0,2.0,52.0,514.0,11.0,6.0,4.0,12.0,7.0,77.0,,0.0,1.0,3.0,7.0,2.0,,,2.0,2.0,0.0,9.0,7.0,69.9,15.0,2.0,,3.0,8.0,10.0,,51.0,10.0,614.0,4.0,9.0,18.0,10.0,73.0,8.0,537.0,11.0,4.0,32.0,232.0,41.0,,3.0,10.0,13.0,24.0,5.0,15.0,3.0,7.0,10.0,,1.0,,,1.0,1.0,,2.0,,5.0,2.0,1.0,4.0,,1.0,1.0,6.0,1.0,,,1.0,,6.0,2.0,,1.0,,3.0,,1.0,5.0,,,,2.0,,2.0,1.0,1.0,2.0,2.0,2.0,,,3.0,,,,,,,,,,,,,,1.0,,2.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,
29,2367827,2024-04-24 19:45:00,"Molineux Stadium, Wolverhampton",25541.0,Away,Bournemouth,Wolverhampton Wanderers,1,0,W,1,0,1,0,,2.0,1.0,56.0,,3.0,18.0,25.0,8.0,8.0,13.0,4.0,3.0,121.0,4.0,13.0,1.0,3.0,15.0,6.0,61.0,141.0,65.0,,21.0,5.0,23.0,3.0,1.0,4.0,1.0,18.0,15.0,2.0,25.0,10.0,3.0,24.0,145.0,3.0,0.0,120.0,17.0,,1.0,29.0,67.0,11.0,42.0,1.0,8.0,21.0,8.0,,2.0,1.0,141.0,6.0,80.0,541.0,12.0,3.0,43.0,1.0,11.0,211.0,16.0,,2.0,16.0,1.0,7.0,4.0,15.0,281.0,48.0,,,69752,8.0,83.0,5.0,,,92.0,13.0,,11.0,5.0,67.0,,7.0,1.0,24.0,9.0,2.0,57.0,224.0,9.0,10.0,3.0,28.0,5.0,59.0,1.0,0.0,2.0,8.0,2.0,1.0,,1.0,,1.0,1.0,1.0,3.0,37.2,12.0,2.0,4.0,,7.0,8.0,,23.0,12.0,304.0,11.0,11.0,16.0,7.0,31.0,5.0,230.0,10.0,3.0,22.0,78.0,24.0,,2.0,16.0,22.0,16.0,4.0,19.0,2.0,11.0,12.0,,,2.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,2.0,,,1.0,1.0,,2.0,,2.0,,3.0,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,2.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,
30,2367828,2024-03-30 15:00:00,"Vitality Stadium, Bournemouth",11207.0,Home,Bournemouth,Everton,2,1,W,0,0,0,0,,1.0,1.0,55.0,,2.0,27.0,30.0,3.0,2.0,8.0,2.0,2.0,159.0,6.0,7.0,2.0,2.0,8.0,4.0,69.0,169.0,52.0,1.0,11.0,2.0,24.0,2.0,1.0,,,26.0,11.0,1.0,30.0,8.0,,31.0,141.0,,0.0,122.0,14.0,,2.0,50.0,58.0,6.0,56.0,,18.0,13.0,3.0,1.0,4.0,,169.0,4.0,76.0,570.0,6.0,7.0,30.0,1.0,6.0,244.0,17.0,,6.0,21.0,1.0,1.0,2.0,19.0,333.0,57.0,,,69752,3.0,125.0,12.0,,,164.0,14.0,,6.0,8.0,72.0,,8.0,1.0,18.0,3.0,3.0,72.0,260.0,11.0,10.0,1.0,30.0,1.0,65.0,2.0,0.0,,8.0,2.0,2.0,,,1.0,4.0,0.0,3.0,1.0,48.6,12.0,,2.0,,8.0,4.0,,32.0,9.0,360.0,6.0,6.0,14.0,3.0,33.0,2.0,222.0,8.0,,20.0,83.0,23.0,1.0,1.0,21.0,14.0,9.0,4.0,25.0,1.0,6.0,9.0,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,,3.0,1.0,,,,,,,2.0,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,
31,2367838,2024-04-02 19:45:00,"Vitality Stadium, Bournemouth",11207.0,Home,Bournemouth,Crystal Palace,1,0,W,0,0,0,0,,3.0,1.0,55.0,,,25.0,23.0,5.0,7.0,6.0,2.0,1.0,152.0,4.0,13.0,1.0,3.0,8.0,6.0,105.0,173.0,61.0,2.0,11.0,2.0,15.0,2.0,,1.0,1.0,21.0,12.0,3.0,23.0,9.0,8.0,35.0,167.0,,0.0,116.0,13.0,,1.0,65.0,49.0,6.0,67.0,,12.0,19.0,5.0,2.0,3.0,,173.0,3.0,118.0,677.0,6.0,6.0,20.0,1.0,12.0,335.0,29.0,,10.0,13.0,3.0,,2.0,26.0,425.0,62.0,,1.0,69752,3.0,186.0,8.0,,,212.0,10.0,,8.0,1.0,66.0,,4.0,1.0,25.0,,1.0,68.0,349.0,13.0,10.0,1.0,41.0,1.0,67.0,2.0,0.0,2.0,2.0,2.0,1.0,,,,2.0,0.0,2.0,2.0,50.2,20.0,1.0,3.0,1.0,5.0,2.0,,29.0,9.0,442.0,12.0,13.0,19.0,3.0,23.0,3.0,251.0,2.0,7.0,15.0,75.0,18.0,,1.0,13.0,20.0,8.0,5.0,29.0,1.0,8.0,9.0,,,,1.0,,,1.0,1.0,,3.0,1.0,,2.0,,2.0,,,,2.0,,1.0,,2.0,,,1.0,,1.0,,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,
32,2367853,2024-04-06 15:00:00,"Kenilworth Road, Luton",11797.0,Away,Bournemouth,Luton Town,1,2,L,0,0,0,0,,,,69.0,,1.0,24.0,30.0,3.0,4.0,5.0,7.0,,137.0,2.0,11.0,1.0,1.0,7.0,1.0,70.0,160.0,50.0,1.0,8.0,,18.0,,2.0,,1.0,11.0,13.0,,30.0,2.0,4.0,33.0,98.0,1.0,0.0,98.0,14.0,,1.0,39.0,43.0,2.0,51.0,,9.0,25.0,3.0,1.0,4.0,1.0,160.0,13.0,69.0,559.0,6.0,4.0,24.0,2.0,12.0,209.0,32.0,,3.0,11.0,0.0,4.0,5.0,26.0,307.0,48.0,2.0,1.0,69752,2.0,126.0,4.0,1.0,,158.0,13.0,,13.0,8.0,60.0,2.0,6.0,1.0,13.0,6.0,5.0,78.0,222.0,6.0,7.0,,37.0,,74.0,,0.0,2.0,7.0,5.0,,1.0,,2.0,2.0,0.0,2.0,1.0,44.2,19.0,1.0,2.0,,6.0,1.0,,26.0,2.0,327.0,12.0,15.0,19.0,6.0,20.0,3.0,180.0,3.0,3.0,10.0,57.0,24.0,,4.0,11.0,23.0,7.0,5.0,20.0,4.0,13.0,2.0,,1.0,2.0,,1.0,,1.0,3.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,2.0,2.0,,1.0,,,2.0,3.0,2.0,,,,1.0,1.0,1.0,,,3.0,,3.0,1.0,1.0,,3.0,1.0,,,,1.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0
33,2367858,2024-04-13 17:30:00,"Vitality Stadium, Bournemouth",11229.0,Home,Bournemouth,Manchester United,2,2,D,2,1,0,0,,2.0,,66.0,,3.0,29.0,17.0,8.0,8.0,12.0,,1.0,165.0,6.0,9.0,2.0,4.0,17.0,5.0,74.0,154.0,53.0,1.0,20.0,3.0,16.0,3.0,1.0,1.0,2.0,25.0,10.0,,17.0,6.0,6.0,27.0,168.0,1.0,0.0,139.0,13.0,,1.0,75.0,44.0,10.0,73.0,4.0,19.0,19.0,8.0,1.0,7.0,4.0,154.0,5.0,70.0,575.0,14.0,10.0,32.0,1.0,11.0,272.0,37.0,,13.0,6.0,4.0,2.0,7.0,21.0,356.0,65.0,1.0,,69752,7.0,125.0,11.0,,2.0,146.0,8.0,2.0,6.0,7.0,46.0,2.0,2.0,2.0,20.0,3.0,4.0,73.0,287.0,14.0,6.0,1.0,45.0,2.0,75.0,,0.0,,2.0,,1.0,,1.0,2.0,4.0,0.0,6.0,3.0,43.0,15.0,1.0,6.0,,2.0,6.0,,34.0,7.0,382.0,11.0,7.0,14.0,9.0,37.0,4.0,261.0,9.0,5.0,12.0,93.0,20.0,1.0,1.0,6.0,18.0,15.0,4.0,15.0,1.0,6.0,7.0,,2.0,,,1.0,,2.0,,1.0,2.0,2.0,,3.0,1.0,,1.0,2.0,1.0,,1.0,,,,2.0,2.0,1.0,,,,,2.0,,,2.0,1.0,,1.0,,3.0,,1.0,,,,2.0,1.0,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,
34,2367868,2024-04-21 15:00:00,"Villa Park, Birmingham",42189.0,Away,Bournemouth,Aston Villa,1,3,L,1,1,0,0,,2.0,1.0,53.0,,2.0,28.0,23.0,4.0,5.0,10.0,2.0,2.0,111.0,4.0,8.0,1.0,1.0,11.0,6.0,81.0,104.0,33.0,,14.0,1.0,6.0,4.0,,2.0,,12.0,8.0,1.0,23.0,4.0,3.0,41.0,145.0,1.0,0.0,101.0,14.0,,,69.0,38.0,6.0,67.0,5.0,8.0,12.0,4.0,,4.0,2.0,104.0,10.0,109.0,527.0,11.0,5.0,22.0,,10.0,286.0,21.0,,5.0,10.0,3.0,4.0,5.0,9.0,347.0,50.0,,,69752,1.0,164.0,4.0,,,181.0,6.0,1.0,8.0,8.0,38.0,,4.0,,13.0,5.0,8.0,58.0,305.0,7.0,6.0,,18.0,,54.0,1.0,0.0,2.0,8.0,1.0,1.0,,,3.0,4.0,0.0,3.0,1.0,43.6,6.0,,9.0,2.0,4.0,3.0,,30.0,4.0,368.0,10.0,5.0,22.0,5.0,18.0,3.0,199.0,8.0,3.0,6.0,68.0,19.0,1.0,1.0,10.0,12.0,13.0,5.0,15.0,1.0,8.0,4.0,,,1.0,,1.0,2.0,,,,2.0,,2.0,3.0,,,3.0,2.0,3.0,1.0,,,,1.0,3.0,3.0,,,1.0,,,4.0,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,
35,2367878,2024-04-28 14:00:00,"Vitality Stadium, Bournemouth",11188.0,Home,Bournemouth,Brighton and Hove Albion,3,0,W,1,0,0,0,,,1.0,58.0,1.0,5.0,26.0,23.0,3.0,3.0,12.0,1.0,3.0,122.0,3.0,7.0,3.0,2.0,12.0,6.0,50.0,128.0,39.0,1.0,15.0,,11.0,1.0,,3.0,2.0,21.0,4.0,2.0,23.0,8.0,2.0,17.0,84.0,1.0,0.0,80.0,14.0,,1.0,33.0,37.0,8.0,27.0,2.0,14.0,18.0,3.0,1.0,3.0,1.0,128.0,9.0,51.0,442.0,8.0,9.0,24.0,,14.0,169.0,22.0,,6.0,10.0,2.0,6.0,4.0,17.0,226.0,47.0,3.0,,69752,6.0,104.0,10.0,2.0,,116.0,9.0,,8.0,13.0,60.0,3.0,3.0,2.0,12.0,4.0,7.0,56.0,185.0,9.0,9.0,1.0,25.0,2.0,57.0,,0.0,,2.0,1.0,3.0,,,,3.0,0.0,2.0,2.0,30.0,11.0,,8.0,,3.0,5.0,,29.0,8.0,250.0,14.0,7.0,11.0,4.0,27.0,3.0,155.0,9.0,2.0,14.0,44.0,22.0,1.0,,10.0,9.0,12.0,4.0,26.0,,8.0,8.0,,,,,3.0,1.0,3.0,,1.0,3.0,3.0,1.0,2.0,,,1.0,1.0,,,,,,2.0,,,,,,,1.0,1.0,1.0,,,2.0,1.0,3.0,,,,2.0,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,,,1.0,2.0,,1.0,,,,,,,
36,2367888,2024-05-04 12:30:00,"Emirates Stadium, London",60348.0,Away,Bournemouth,Arsenal,0,3,L,0,1,0,0,,1.0,,42.0,,,21.0,23.0,5.0,2.0,2.0,6.0,1.0,132.0,,7.0,,3.0,3.0,2.0,91.0,118.0,55.0,1.0,7.0,2.0,15.0,1.0,,1.0,2.0,13.0,9.0,1.0,23.0,1.0,6.0,32.0,118.0,,0.0,84.0,12.0,,2.0,43.0,56.0,2.0,50.0,5.0,12.0,17.0,5.0,1.0,6.0,2.0,118.0,21.0,95.0,555.0,3.0,5.0,11.0,,10.0,275.0,25.0,1.0,4.0,12.0,3.0,8.0,1.0,14.0,337.0,46.0,,1.0,69752,1.0,183.0,4.0,,1.0,205.0,6.0,,12.0,9.0,57.0,,2.0,,16.0,4.0,7.0,49.0,301.0,15.0,13.0,,16.0,,56.0,,0.0,1.0,6.0,5.0,,,,3.0,2.0,0.0,,1.0,44.7,11.0,1.0,5.0,,2.0,2.0,,32.0,1.0,368.0,10.0,7.0,16.0,3.0,16.0,1.0,176.0,4.0,4.0,20.0,57.0,10.0,,,12.0,14.0,5.0,4.0,18.0,,12.0,1.0,,,1.0,,,,,4.0,,1.0,,,1.0,1.0,,,,1.0,2.0,1.0,,1.0,,3.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
37,2367898,2024-05-11 15:00:00,"Vitality Stadium, Bournemouth",11154.0,Home,Bournemouth,Brentford,1,2,L,0,0,0,0,,2.0,,62.0,,1.0,19.0,18.0,5.0,5.0,8.0,2.0,1.0,135.0,3.0,9.0,1.0,,11.0,4.0,90.0,144.0,52.0,,13.0,1.0,20.0,1.0,,1.0,,11.0,9.0,2.0,18.0,2.0,1.0,40.0,190.0,1.0,0.0,174.0,16.0,,,60.0,55.0,5.0,52.0,2.0,9.0,22.0,5.0,,4.0,2.0,144.0,8.0,90.0,547.0,9.0,6.0,30.0,,7.0,259.0,26.0,1.0,5.0,7.0,2.0,5.0,6.0,23.0,343.0,63.0,,,69752,4.0,83.0,5.0,,,106.0,5.0,,12.0,5.0,60.0,1.0,1.0,1.0,13.0,3.0,1.0,64.0,270.0,12.0,9.0,1.0,19.0,1.0,55.0,1.0,0.0,,8.0,2.0,1.0,,,2.0,1.0,0.0,2.0,3.0,47.9,15.0,2.0,6.0,1.0,1.0,2.0,1.0,18.0,3.0,367.0,7.0,11.0,15.0,7.0,31.0,5.0,272.0,4.0,1.0,18.0,118.0,24.0,1.0,,7.0,14.0,12.0,4.0,15.0,,12.0,3.0,,,1.0,,2.0,,1.0,2.0,,,1.0,,,,2.0,1.0,1.0,1.0,2.0,,1.0,,1.0,2.0,,2.0,,,,,1.0,,,,1.0,,1.0,1.0,4.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,
38,2367912,2024-05-19 16:00:00,"Stamford Bridge, London",39724.0,Away,Bournemouth,Chelsea,1,2,L,0,1,0,0,1.0,3.0,,56.0,,3.0,25.0,17.0,8.0,11.0,14.0,4.0,1.0,109.0,6.0,8.0,1.0,2.0,17.0,5.0,73.0,122.0,49.0,,22.0,1.0,12.0,3.0,1.0,2.0,4.0,20.0,16.0,2.0,17.0,4.0,1.0,29.0,163.0,1.0,0.0,118.0,9.0,,2.0,46.0,65.0,7.0,46.0,2.0,16.0,18.0,8.0,,4.0,5.0,122.0,11.0,92.0,538.0,16.0,4.0,37.0,1.0,12.0,250.0,27.0,1.0,6.0,8.0,3.0,5.0,10.0,19.0,308.0,43.0,2.0,1.0,69752,12.0,104.0,10.0,,1.0,114.0,5.0,,8.0,5.0,63.0,2.0,5.0,,17.0,5.0,5.0,46.0,261.0,5.0,18.0,1.0,20.0,3.0,46.0,,0.0,3.0,6.0,4.0,1.0,,,2.0,1.0,0.0,4.0,3.0,38.6,17.0,2.0,7.0,,6.0,4.0,,28.0,5.0,320.0,12.0,10.0,18.0,13.0,30.0,7.0,226.0,8.0,1.0,15.0,88.0,15.0,,2.0,8.0,22.0,18.0,5.0,23.0,2.0,8.0,5.0,,,,1.0,1.0,2.0,,4.0,,1.0,,2.0,2.0,,2.0,1.0,5.0,,,,,,2.0,1.0,,,,1.0,1.0,2.0,1.0,,,,3.0,,3.0,,1.0,,3.0,,1.0,,2.0,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
