gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,attFreekickTotal,postScoringAtt,attIboxPost,attOboxTarget,attOneOnOne,attSvLowLeft,goodHighClaim,freekickTotal,attPostLeft,attHdTarget,hitWoodwork,accurateThroughBall,accurateFreekickCross,attSetpiece,ownGoals,goalsConceded,attSvHighCentre,attFreekickMiss,attIboxOwnGoal,goalsConcededIbox,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,penaltyWon,ptsGainedLosingPos,midfielderGoals,attRfGoal,attPenGoal,attCmissLeft,shieldBallOop,shotFastbreak,goalFastbreak,attMissHighRight,totalFastbreak,contentiousDecision,attFastbreak,punches,ptsDroppedWinningPos,attOboxGoal,subsGoals,attFreekickTarget,attSvHighLeft,errorLeadToShot,attCmissHighRight,attCmissRight,attGoalHighRight,attFreekickPost,penaltyConceded,attOboxPost,attPostHigh,penaltyFaced,penGoalsConceded,clearanceOffLine,attGoalHighCentre,attGoalHighLeft,forwardGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,attLfGoal,attPenTarget,attCmissHighLeft,secondYellow,errorLeadToGoal,goalsConcededObox,attObxdLeft,goalAssistDeadball,attObxRight,attSvHighRight,attLgCentre,attObpGoal
27,2367803,2024-03-03 15:30:00,"Etihad Stadium, Manchester",55097.0,Away,Manchester United,Manchester City,1,3,L,1,0,0,0,,,,51.0,1.0,,14.0,41.0,1.0,,2.0,5.0,,117.0,,,6.0,1.0,1.0,3.0,1.0,64.0,94.0,40.0,3.0,,9.0,,1.0,,1.0,,,4.0,12.0,41.0,2.0,1.0,29.0,79.0,,0.0,58.0,10.0,1.0,,21.0,35.0,1.0,56.0,2.0,2.0,2.0,15.0,1.0,1.0,,94.0,1.0,17.0,68.0,478.0,1.0,,9.0,10.0,225.0,30.0,,1.0,21.0,1.0,,1.0,11.0,2.0,4.0,281.0,26.0,90152,1.0,161.0,1.0,1.0,,191.0,9.0,1.0,10.0,10.0,34.0,,3.0,,1.0,4.0,1.0,17.0,10.0,5.0,,33.0,240.0,5.0,10.0,1.0,9.0,,39.0,,0.0,1.0,15.0,4.0,,,0.0,,1.0,1.0,27.1,3.0,1.0,1.0,,4.0,,19.0,2.0,8.0,305.0,10.0,3.0,18.0,2.0,9.0,,2.0,118.0,2.0,1.0,10.0,40.0,6.0,1.0,21.0,19.0,,2.0,4.0,8.0,1.0,10.0,2.0,,,,,,,,8.0,,,,,,,1.0,,3.0,,,,2.0,,,,,,1.0,1.0,,,,1.0,,,1.0,,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,
28,2367815,2024-03-09 12:30:00,"Old Trafford, Manchester",73601.0,Home,Manchester United,Everton,2,0,W,2,0,0,0,,,2.0,55.0,2.0,3.0,27.0,19.0,4.0,1.0,11.0,6.0,5.0,180.0,,3.0,5.0,2.0,4.0,11.0,8.0,111.0,123.0,38.0,15.0,1.0,16.0,3.0,2.0,,,2.0,,6.0,11.0,19.0,2.0,7.0,33.0,124.0,1.0,0.0,90.0,13.0,3.0,,45.0,29.0,8.0,92.0,2.0,1.0,4.0,15.0,4.0,,,123.0,,16.0,105.0,658.0,10.0,3.0,37.0,5.0,374.0,33.0,,2.0,9.0,,,1.0,10.0,3.0,12.0,458.0,37.0,90152,5.0,277.0,,4.0,,312.0,11.0,1.0,8.0,17.0,44.0,1.0,2.0,,6.0,6.0,,11.0,7.0,14.0,2.0,63.0,398.0,10.0,4.0,1.0,19.0,3.0,62.0,1.0,0.0,,8.0,4.0,2.0,2.0,0.0,1.0,,1.0,51.1,12.0,,3.0,2.0,6.0,4.0,30.0,5.0,2.0,488.0,5.0,8.0,17.0,3.0,17.0,2.0,3.0,182.0,13.0,7.0,8.0,61.0,11.0,5.0,9.0,15.0,,9.0,3.0,10.0,5.0,8.0,5.0,,1.0,,,3.0,,1.0,2.0,1.0,,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,2.0,,2.0,2.0,2.0,,,1.0,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2367825,2024-04-24 20:00:00,"Old Trafford, Manchester",73549.0,Home,Manchester United,Sheffield United,4,2,W,1,1,0,0,,3.0,2.0,41.0,,6.0,30.0,5.0,7.0,8.0,18.0,2.0,6.0,202.0,2.0,6.0,8.0,4.0,4.0,20.0,13.0,170.0,133.0,46.0,25.0,,11.0,7.0,1.0,1.0,2.0,4.0,2.0,23.0,9.0,5.0,8.0,7.0,45.0,377.0,,0.0,226.0,7.0,1.0,1.0,121.0,108.0,15.0,144.0,,,15.0,8.0,7.0,4.0,4.0,133.0,4.0,6.0,214.0,914.0,13.0,1.0,52.0,4.0,637.0,15.0,1.0,2.0,4.0,3.0,1.0,0.0,3.0,5.0,20.0,712.0,58.0,95658,9.0,283.0,3.0,10.0,2.0,300.0,6.0,1.0,3.0,6.0,48.0,,2.0,1.0,3.0,4.0,2.0,15.0,4.0,5.0,1.0,55.0,654.0,8.0,8.0,4.0,15.0,5.0,80.0,1.0,0.0,,4.0,2.0,3.0,1.0,0.0,3.0,2.0,4.0,71.5,20.0,2.0,1.0,4.0,4.0,6.0,54.0,8.0,,730.0,4.0,15.0,28.0,6.0,37.0,3.0,2.0,453.0,13.0,7.0,13.0,188.0,20.0,,4.0,17.0,1.0,16.0,4.0,15.0,,3.0,9.0,,,,,2.0,,3.0,,,,,,2.0,,3.0,,2.0,,,,2.0,,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,1.0,,,,,1.0,,
30,2367830,2024-03-30 20:00:00,"Gtech Community Stadium, Brentford",17138.0,Away,Manchester United,Brentford,1,1,D,0,0,0,0,,2.0,1.0,49.0,1.0,1.0,19.0,44.0,8.0,4.0,3.0,4.0,2.0,171.0,,3.0,5.0,1.0,1.0,11.0,5.0,109.0,138.0,43.0,11.0,1.0,28.0,1.0,,,1.0,,3.0,10.0,7.0,44.0,3.0,9.0,27.0,221.0,,0.0,129.0,14.0,2.0,,73.0,36.0,7.0,72.0,3.0,,7.0,28.0,8.0,5.0,4.0,138.0,2.0,24.0,98.0,673.0,9.0,5.0,15.0,13.0,339.0,16.0,,5.0,19.0,1.0,,2.0,9.0,4.0,15.0,421.0,44.0,95658,3.0,141.0,1.0,2.0,1.0,174.0,14.0,,16.0,17.0,66.0,,2.0,,2.0,4.0,1.0,19.0,7.0,12.0,,53.0,359.0,7.0,8.0,1.0,29.0,1.0,60.0,3.0,0.0,3.0,14.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,52.7,15.0,,1.0,,4.0,2.0,29.0,4.0,3.0,450.0,13.0,7.0,16.0,4.0,15.0,2.0,,286.0,6.0,9.0,17.0,102.0,26.0,3.0,19.0,14.0,,10.0,5.0,14.0,3.0,16.0,4.0,,,,,3.0,,1.0,2.0,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,3.0,,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
31,2367844,2024-04-04 20:15:00,"Stamford Bridge, London",39694.0,Away,Manchester United,Chelsea,3,4,L,2,2,0,0,3.0,1.0,3.0,62.0,1.0,4.0,28.0,16.0,6.0,7.0,13.0,6.0,1.0,158.0,,6.0,9.0,3.0,1.0,14.0,5.0,88.0,113.0,41.0,19.0,3.0,9.0,,1.0,,2.0,,,11.0,10.0,16.0,2.0,11.0,44.0,168.0,,0.0,122.0,15.0,2.0,2.0,73.0,37.0,8.0,86.0,2.0,2.0,9.0,23.0,6.0,3.0,1.0,113.0,2.0,19.0,94.0,610.0,9.0,7.0,32.0,18.0,323.0,23.0,,4.0,8.0,2.0,,1.0,9.0,6.0,13.0,404.0,46.0,95658,5.0,179.0,,4.0,,205.0,14.0,1.0,11.0,7.0,39.0,1.0,1.0,,,4.0,3.0,9.0,9.0,7.0,4.0,58.0,341.0,7.0,6.0,3.0,20.0,1.0,56.0,,0.0,,12.0,5.0,3.0,5.0,0.0,5.0,2.0,4.0,43.4,11.0,2.0,9.0,5.0,4.0,7.0,29.0,3.0,1.0,426.0,18.0,6.0,27.0,7.0,22.0,1.0,6.0,232.0,8.0,10.0,7.0,86.0,23.0,1.0,8.0,18.0,2.0,15.0,5.0,15.0,1.0,11.0,3.0,,,,,2.0,,,1.0,,,,,,1.0,3.0,,4.0,1.0,,,4.0,2.0,1.0,,,,3.0,,,,,1.0,,1.0,1.0,,1.0,1.0,3.0,,,,1.0,,,1.0,,,2.0,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,,
32,2367854,2024-04-07 15:30:00,"Old Trafford, Manchester",73522.0,Home,Manchester United,Liverpool,2,2,D,0,1,0,0,,2.0,,52.0,2.0,1.0,16.0,30.0,1.0,3.0,7.0,6.0,1.0,134.0,,2.0,7.0,2.0,,7.0,5.0,101.0,125.0,60.0,9.0,1.0,12.0,3.0,1.0,,1.0,2.0,1.0,10.0,19.0,30.0,5.0,1.0,29.0,109.0,,0.0,80.0,9.0,3.0,,50.0,23.0,6.0,35.0,5.0,1.0,5.0,18.0,2.0,1.0,,125.0,1.0,18.0,92.0,560.0,5.0,,16.0,11.0,257.0,25.0,,3.0,16.0,1.0,,5.0,9.0,1.0,11.0,335.0,26.0,95658,2.0,171.0,1.0,4.0,,206.0,9.0,,9.0,11.0,48.0,,2.0,,3.0,2.0,2.0,15.0,10.0,8.0,,52.0,278.0,10.0,12.0,1.0,26.0,2.0,49.0,1.0,0.0,,11.0,3.0,1.0,,0.0,1.0,,2.0,38.0,11.0,2.0,2.0,3.0,2.0,2.0,19.0,6.0,,362.0,11.0,5.0,16.0,2.0,23.0,1.0,2.0,166.0,4.0,,11.0,59.0,19.0,,16.0,32.0,,7.0,3.0,17.0,,9.0,6.0,,,,,,,,,,,,,1.0,,,,2.0,,,,2.0,,2.0,,,1.0,2.0,2.0,,,,2.0,,,2.0,,2.0,,2.0,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,
33,2367858,2024-04-13 17:30:00,"Vitality Stadium, Bournemouth",11229.0,Away,Manchester United,Bournemouth,2,2,D,1,2,0,0,,,2.0,56.0,,1.0,33.0,16.0,3.0,2.0,5.0,3.0,,207.0,,1.0,6.0,2.0,2.0,5.0,2.0,125.0,147.0,46.0,8.0,1.0,12.0,,2.0,,,,1.0,10.0,9.0,16.0,1.0,20.0,37.0,204.0,,0.0,155.0,14.0,1.0,,80.0,29.0,2.0,76.0,1.0,,9.0,17.0,3.0,5.0,1.0,147.0,,12.0,120.0,709.0,5.0,8.0,33.0,5.0,407.0,29.0,,17.0,11.0,,,0.0,6.0,3.0,16.0,498.0,77.0,95658,2.0,229.0,,4.0,,252.0,6.0,1.0,10.0,13.0,53.0,,1.0,,2.0,4.0,1.0,19.0,8.0,13.0,1.0,70.0,432.0,11.0,9.0,,45.0,,83.0,,0.0,2.0,7.0,3.0,2.0,4.0,0.0,1.0,,,57.0,15.0,,4.0,,4.0,2.0,44.0,2.0,2.0,528.0,5.0,5.0,22.0,4.0,27.0,,2.0,286.0,6.0,19.0,16.0,107.0,18.0,3.0,11.0,13.0,,7.0,2.0,19.0,3.0,10.0,2.0,,,1.0,,,,,2.0,,,,1.0,,,,,2.0,,,,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,
34,2367874,2024-05-15 20:00:00,"Old Trafford, Manchester",73582.0,Home,Manchester United,Newcastle United,3,2,W,1,0,0,0,2.0,1.0,1.0,47.0,1.0,4.0,25.0,30.0,3.0,6.0,14.0,5.0,3.0,136.0,1.0,4.0,5.0,3.0,2.0,13.0,8.0,87.0,112.0,43.0,17.0,,14.0,3.0,2.0,,2.0,3.0,2.0,10.0,8.0,30.0,6.0,4.0,44.0,168.0,,0.0,122.0,16.0,2.0,1.0,37.0,53.0,10.0,62.0,3.0,,4.0,14.0,3.0,2.0,1.0,112.0,2.0,16.0,76.0,544.0,8.0,7.0,34.0,14.0,265.0,21.0,,3.0,19.0,2.0,,3.0,6.0,3.0,14.0,336.0,48.0,80607,9.0,119.0,1.0,1.0,,133.0,11.0,2.0,7.0,9.0,52.0,2.0,2.0,,1.0,4.0,2.0,10.0,5.0,6.0,3.0,52.0,283.0,6.0,11.0,3.0,13.0,8.0,54.0,,0.0,1.0,9.0,5.0,3.0,1.0,0.0,1.0,1.0,2.0,44.4,11.0,1.0,7.0,2.0,4.0,4.0,26.0,9.0,4.0,361.0,14.0,6.0,23.0,5.0,28.0,3.0,4.0,238.0,9.0,3.0,15.0,80.0,9.0,2.0,19.0,17.0,,8.0,4.0,12.0,2.0,7.0,9.0,,,,,2.0,1.0,1.0,3.0,,,1.0,,1.0,,1.0,,2.0,1.0,,,1.0,2.0,,,,,2.0,2.0,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,
35,2367882,2024-04-27 15:00:00,"Old Trafford, Manchester",73571.0,Home,Manchester United,Burnley,1,1,D,0,0,0,0,,5.0,1.0,58.0,2.0,4.0,18.0,24.0,11.0,13.0,16.0,6.0,3.0,158.0,,3.0,6.0,1.0,,24.0,10.0,88.0,138.0,43.0,27.0,5.0,14.0,4.0,1.0,,,3.0,2.0,13.0,7.0,24.0,5.0,11.0,51.0,170.0,,0.0,162.0,8.0,1.0,1.0,41.0,56.0,17.0,71.0,3.0,3.0,9.0,21.0,11.0,1.0,1.0,138.0,6.0,10.0,97.0,621.0,23.0,3.0,51.0,10.0,300.0,22.0,,,12.0,,,1.0,4.0,7.0,19.0,389.0,58.0,95658,9.0,156.0,6.0,7.0,,179.0,3.0,3.0,9.0,9.0,40.0,,7.0,,,4.0,1.0,21.0,6.0,9.0,1.0,49.0,323.0,10.0,6.0,1.0,12.0,5.0,54.0,1.0,0.0,,5.0,4.0,1.0,,0.0,2.0,,1.0,47.7,17.0,,4.0,5.0,4.0,9.0,22.0,6.0,1.0,414.0,10.0,9.0,28.0,8.0,39.0,2.0,6.0,248.0,13.0,8.0,13.0,115.0,23.0,,12.0,14.0,,20.0,4.0,11.0,,9.0,6.0,1.0,,1.0,1.0,5.0,2.0,3.0,1.0,,1.0,1.0,1.0,4.0,1.0,2.0,,1.0,2.0,,,1.0,,1.0,,,,1.0,,,1.0,1.0,3.0,,1.0,3.0,,3.0,1.0,2.0,,,,,1.0,1.0,2.0,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,
36,2367893,2024-05-06 20:00:00,"Selhurst Park, London",25190.0,Away,Manchester United,Crystal Palace,0,4,L,0,2,0,0,,1.0,,62.0,2.0,2.0,15.0,18.0,2.0,3.0,5.0,6.0,,158.0,,5.0,4.0,,4.0,5.0,2.0,190.0,133.0,49.0,7.0,1.0,7.0,1.0,,1.0,,,1.0,10.0,18.0,18.0,2.0,9.0,37.0,176.0,,0.0,109.0,8.0,3.0,1.0,64.0,46.0,3.0,89.0,2.0,,8.0,17.0,2.0,1.0,,133.0,,14.0,173.0,793.0,3.0,3.0,16.0,8.0,498.0,26.0,,3.0,10.0,,1.0,1.0,4.0,2.0,17.0,589.0,52.0,80607,4.0,345.0,,6.0,,376.0,4.0,,7.0,4.0,48.0,1.0,2.0,,1.0,5.0,,11.0,4.0,4.0,1.0,46.0,516.0,12.0,14.0,2.0,15.0,2.0,67.0,,0.0,1.0,6.0,4.0,,1.0,0.0,3.0,,2.0,57.4,16.0,1.0,3.0,,5.0,3.0,36.0,2.0,1.0,610.0,8.0,10.0,13.0,2.0,21.0,2.0,2.0,244.0,2.0,6.0,8.0,67.0,24.0,1.0,10.0,25.0,,3.0,3.0,14.0,1.0,7.0,2.0,,1.0,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,4.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
37,2367902,2024-05-12 16:30:00,"Old Trafford, Manchester",73600.0,Home,Manchester United,Arsenal,0,1,L,0,1,0,0,,1.0,,49.0,2.0,3.0,13.0,17.0,10.0,4.0,4.0,5.0,1.0,167.0,,1.0,18.0,,1.0,12.0,2.0,123.0,129.0,54.0,14.0,3.0,11.0,,,,,1.0,2.0,16.0,12.0,17.0,4.0,7.0,35.0,252.0,,0.0,146.0,5.0,4.0,,96.0,58.0,6.0,97.0,,1.0,12.0,16.0,10.0,4.0,5.0,129.0,,7.0,128.0,706.0,12.0,,25.0,5.0,427.0,22.0,2.0,2.0,5.0,,,0.0,3.0,6.0,16.0,500.0,61.0,80607,2.0,191.0,,8.0,,215.0,1.0,3.0,8.0,7.0,48.0,,1.0,,2.0,1.0,,11.0,4.0,7.0,,40.0,442.0,6.0,7.0,,13.0,,49.0,,0.0,,7.0,2.0,,,0.0,1.0,,,54.2,14.0,,4.0,2.0,1.0,6.0,26.0,4.0,,515.0,5.0,18.0,12.0,6.0,24.0,,1.0,316.0,10.0,7.0,13.0,115.0,19.0,2.0,5.0,17.0,,14.0,5.0,26.0,2.0,8.0,4.0,,,,,2.0,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2367910,2024-05-19 16:00:00,"American Express Stadium, Falmer",31662.0,Away,Manchester United,Brighton and Hove Albion,2,0,W,0,0,0,0,,1.0,1.0,49.0,,4.0,23.0,14.0,3.0,3.0,8.0,2.0,1.0,131.0,,,14.0,2.0,,10.0,4.0,129.0,99.0,50.0,11.0,1.0,5.0,1.0,1.0,,1.0,1.0,,7.0,14.0,14.0,4.0,3.0,35.0,172.0,1.0,0.0,91.0,9.0,1.0,,25.0,56.0,8.0,84.0,1.0,,3.0,18.0,3.0,,1.0,99.0,,13.0,118.0,632.0,9.0,1.0,19.0,7.0,379.0,20.0,,1.0,7.0,1.0,,3.0,9.0,2.0,9.0,438.0,46.0,90152,5.0,227.0,,3.0,,249.0,5.0,1.0,7.0,10.0,39.0,,1.0,1.0,1.0,5.0,2.0,6.0,4.0,9.0,2.0,49.0,399.0,10.0,3.0,,14.0,,40.0,,0.0,,7.0,3.0,2.0,,0.0,,,,45.2,9.0,,2.0,1.0,5.0,5.0,26.0,5.0,1.0,462.0,7.0,16.0,22.0,2.0,19.0,,1.0,220.0,8.0,3.0,5.0,67.0,15.0,2.0,7.0,21.0,,11.0,5.0,20.0,2.0,7.0,5.0,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,2.0,,,,,2.0,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
