gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,lostCorners,savedIbox,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,goals,attSvHighLeft,attMissHighLeft,goalAssist,accurateFreekickCross,errorLeadToShot,defenderGoals,attSvLowRight,attFreekickTarget,overrun,attIboxGoal,goalsConceded,goalAssistIntentional,attBxLeft,attHdGoal,goalsConcededIbox,errorLeadToGoal,bigChanceScored,attGoalLowRight,attLfGoal,attCmissRight,attBxRight,accurateKeeperSweeper,goodHighClaim,totalKeeperSweeper,sixYardBlock,goalsOpenplay,attGoalHighLeft,attCmissLeft,totalHighClaim,forwardGoals,penaltySave,penaltyConceded,punches,penaltyFaced,clearanceOffLine,goalAssistOpenplay,goalFastbreak,midfielderGoals,attGoalHighCentre,hitWoodwork,attRfGoal,attCorner,attSvHighCentre,ptsDroppedWinningPos,contentiousDecision,accuratePullBack,postScoringAtt,attIboxPost,attHdPost,accurateThroughBall,totalPullBack,attPostHigh,ownGoals,attIboxOwnGoal,foulThrowIn,attSvHighRight,attObpGoal,penGoalsConceded,ptsGainedLosingPos,attCmissHighLeft,attGoalLowCentre,attPostLeft,penaltyWon,attPenGoal,attOboxGoal,attObxdLeft,attCmissHighRight,attOboxPost,attPostRight
27,987854,2019-02-23 12:30:00,"Turf Moor, Burnley",21338,Home,Burnley,Tottenham Hotspur,2,1,W,0,0,0,0,,1.0,52.0,1.0,33.0,42.0,2.0,2.0,8.0,5.0,,120.0,3.0,6.0,2.0,7.0,4.0,30.0,145.0,55.0,1.0,10.0,2.0,22.0,2.0,,1.0,1.0,23.0,7.0,,42.0,6.0,5.0,36.0,,93.0,,,0.0,101.0,9.0,3.0,,,2.0,43.0,34.0,4.0,30.0,1.0,1.0,17.0,19.0,2.0,1.0,2.0,,145.0,1.0,7.0,34.0,442.0,4.0,7.0,16.0,1.0,11.0,116.0,12.0,9.0,12.0,1.0,6.0,3.0,28.0,188.0,57.0,90517,2.0,43.0,,13.0,1.0,54.0,8.0,19.0,8.0,62.0,1.0,,4.0,,18.0,10.0,6.0,1.0,72.0,133.0,11.0,15.0,1.0,31.0,69.0,,0.0,6.0,3.0,1.0,0.0,1.0,,2.0,30.5,22.0,,8.0,,3.0,31.0,7.0,214.0,11.0,,12.0,18.0,3.0,34.0,2.0,3.0,183.0,6.0,5.0,26.0,56.0,22.0,4.0,12.0,12.0,6.0,2.0,10.0,4.0,10.0,7.0,,,2.0,1.0,1.0,2.0,,,2.0,1.0,,,,,,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,,,2.0,2.0,,2.0,,1.0,1.0,1.0,,2.0,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
28,987870,2019-02-26 20:00:00,"St. James' Park, Newcastle",48323,Away,Burnley,Newcastle United,0,2,L,0,2,0,0,1.0,1.0,68.0,4.0,28.0,19.0,1.0,4.0,11.0,2.0,1.0,151.0,5.0,5.0,1.0,7.0,2.0,80.0,184.0,80.0,,12.0,,35.0,2.0,,,1.0,18.0,14.0,,19.0,7.0,4.0,46.0,,109.0,1.0,,0.0,95.0,8.0,1.0,,,1.0,65.0,42.0,3.0,49.0,1.0,1.0,11.0,21.0,1.0,,5.0,1.0,184.0,1.0,9.0,87.0,572.0,4.0,12.0,29.0,,8.0,233.0,30.0,9.0,7.0,3.0,1.0,4.0,33.0,349.0,54.0,90517,7.0,140.0,2.0,5.0,1.0,177.0,3.0,21.0,8.0,65.0,,,2.0,5.0,18.0,4.0,4.0,2.0,78.0,244.0,8.0,5.0,3.0,35.0,87.0,,0.0,4.0,1.0,4.0,0.0,1.0,,2.0,45.7,26.0,2.0,3.0,5.0,4.0,37.0,7.0,367.0,8.0,,14.0,16.0,6.0,34.0,4.0,5.0,208.0,4.0,3.0,43.0,50.0,25.0,1.0,7.0,25.0,5.0,3.0,10.0,1.0,8.0,7.0,1.0,,,,,,1.0,1.0,,,,,1.0,,2.0,,2.0,,,,1.0,,,,,1.0,1.0,2.0,,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,987874,2019-03-02 15:00:00,"Turf Moor, Burnley",19223,Home,Burnley,Crystal Palace,1,3,L,0,1,0,0,,2.0,53.0,3.0,41.0,13.0,5.0,7.0,13.0,2.0,1.0,155.0,10.0,3.0,3.0,15.0,4.0,95.0,181.0,55.0,1.0,18.0,1.0,27.0,2.0,,2.0,4.0,40.0,8.0,1.0,13.0,7.0,2.0,57.0,,190.0,2.0,,0.0,158.0,9.0,2.0,,,1.0,55.0,71.0,7.0,62.0,2.0,2.0,33.0,15.0,5.0,1.0,16.0,3.0,181.0,3.0,6.0,110.0,643.0,12.0,7.0,28.0,,7.0,304.0,21.0,11.0,3.0,1.0,2.0,8.0,39.0,401.0,78.0,90517,10.0,138.0,2.0,16.0,1.0,157.0,5.0,15.0,9.0,64.0,,,2.0,1.0,26.0,5.0,5.0,1.0,87.0,318.0,8.0,12.0,2.0,27.0,80.0,,0.0,5.0,1.0,3.0,0.0,7.0,,6.0,56.3,37.0,5.0,6.0,1.0,4.0,39.0,8.0,422.0,7.0,1.0,11.0,27.0,10.0,55.0,3.0,7.0,305.0,5.0,,29.0,101.0,22.0,2.0,3.0,16.0,13.0,3.0,9.0,2.0,9.0,8.0,,,1.0,,,1.0,,1.0,1.0,,,,1.0,,,1.0,3.0,1.0,,1.0,3.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,
30,987888,2019-03-10 12:00:00,"Anfield, Liverpool",53310,Away,Burnley,Liverpool,2,4,L,1,2,0,0,,,68.0,,18.0,30.0,1.0,1.0,1.0,1.0,,152.0,2.0,10.0,,2.0,2.0,48.0,179.0,67.0,,3.0,1.0,20.0,,,,,13.0,12.0,,30.0,1.0,2.0,26.0,,98.0,,,0.0,98.0,7.0,1.0,,,,51.0,29.0,2.0,32.0,3.0,,12.0,18.0,2.0,,2.0,,179.0,1.0,13.0,58.0,506.0,1.0,8.0,10.0,,6.0,165.0,30.0,6.0,16.0,0.0,10.0,,29.0,266.0,63.0,90517,1.0,83.0,,10.0,,110.0,3.0,18.0,13.0,55.0,,,7.0,1.0,18.0,10.0,5.0,,68.0,179.0,4.0,7.0,,29.0,81.0,,0.0,7.0,1.0,1.0,0.0,2.0,,,31.4,19.0,,3.0,1.0,1.0,35.0,3.0,290.0,6.0,,12.0,6.0,,21.0,,,193.0,2.0,1.0,27.0,44.0,29.0,2.0,16.0,27.0,2.0,3.0,19.0,2.0,9.0,3.0,,,,,,2.0,,,1.0,,,,,,1.0,1.0,4.0,1.0,,,4.0,1.0,1.0,2.0,1.0,,,1.0,2.0,1.0,,1.0,,,2.0,,,,,,,1.0,,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
31,987894,2019-03-16 15:00:00,"Turf Moor, Burnley",20719,Home,Burnley,Leicester City,1,2,L,1,1,0,1,,,66.0,2.0,29.0,12.0,4.0,7.0,9.0,2.0,1.0,172.0,6.0,3.0,3.0,8.0,2.0,113.0,162.0,52.0,1.0,13.0,2.0,18.0,1.0,,1.0,2.0,38.0,8.0,,12.0,8.0,3.0,47.0,,237.0,,,0.0,168.0,9.0,,,,2.0,99.0,72.0,3.0,49.0,,2.0,30.0,18.0,4.0,1.0,14.0,2.0,162.0,1.0,5.0,138.0,661.0,5.0,7.0,31.0,,4.0,362.0,21.0,6.0,5.0,1.0,5.0,5.0,30.0,454.0,71.0,90517,7.0,148.0,1.0,14.0,,163.0,4.0,18.0,5.0,43.0,1.0,1.0,4.0,3.0,16.0,4.0,5.0,2.0,65.0,379.0,10.0,4.0,2.0,21.0,88.0,,0.0,3.0,1.0,3.0,0.0,3.0,,2.0,62.2,27.0,2.0,5.0,3.0,4.0,54.0,9.0,472.0,4.0,,7.0,19.0,7.0,49.0,3.0,5.0,347.0,4.0,3.0,27.0,116.0,36.0,,5.0,12.0,9.0,3.0,8.0,,5.0,9.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,2.0,1.0,2.0,1.0,2.0,,1.0,,,1.0,1.0,,,,,,,1.0,,2.0,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,
32,987904,2019-03-30 15:00:00,"Turf Moor, Burnley",20990,Home,Burnley,Wolverhampton Wanderers,2,0,W,1,0,0,0,1.0,,52.0,2.0,30.0,28.0,1.0,4.0,5.0,1.0,,156.0,2.0,6.0,4.0,3.0,1.0,54.0,160.0,67.0,,6.0,,27.0,,,,1.0,7.0,10.0,,28.0,1.0,3.0,35.0,,96.0,,1.0,0.0,93.0,12.0,1.0,,,3.0,78.0,22.0,2.0,49.0,,,6.0,25.0,1.0,,2.0,1.0,160.0,1.0,6.0,63.0,497.0,1.0,5.0,12.0,,6.0,195.0,23.0,13.0,17.0,1.0,4.0,1.0,27.0,303.0,56.0,90517,3.0,112.0,1.0,1.0,4.0,144.0,4.0,25.0,9.0,69.0,,,1.0,2.0,9.0,2.0,4.0,1.0,76.0,206.0,10.0,16.0,1.0,35.0,70.0,,0.0,5.0,1.0,2.0,0.0,2.0,1.0,,37.2,15.0,,4.0,2.0,2.0,27.0,1.0,322.0,6.0,,11.0,11.0,3.0,14.0,,1.0,185.0,2.0,1.0,36.0,47.0,19.0,1.0,17.0,15.0,2.0,1.0,11.0,1.0,9.0,1.0,,,,,,2.0,,,1.0,2.0,,,,,,2.0,,,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,
33,987912,2019-04-06 15:00:00,"Vitality Stadium, Bournemouth",10446,Away,Burnley,Bournemouth,3,1,W,2,1,0,0,1.0,,59.0,1.0,37.0,20.0,3.0,2.0,7.0,2.0,,140.0,7.0,6.0,5.0,7.0,3.0,41.0,146.0,53.0,1.0,10.0,2.0,35.0,,,,1.0,28.0,7.0,,20.0,6.0,2.0,38.0,,122.0,,,0.0,108.0,16.0,1.0,,,2.0,61.0,35.0,3.0,54.0,,1.0,22.0,14.0,3.0,1.0,5.0,1.0,146.0,2.0,7.0,49.0,462.0,3.0,7.0,20.0,,4.0,181.0,23.0,11.0,8.0,3.0,2.0,4.0,23.0,254.0,72.0,90517,4.0,80.0,,15.0,1.0,93.0,7.0,14.0,14.0,64.0,1.0,,5.0,2.0,19.0,4.0,7.0,1.0,89.0,195.0,11.0,8.0,2.0,34.0,83.0,,0.0,3.0,1.0,3.0,0.0,3.0,3.0,4.0,40.1,18.0,3.0,9.0,2.0,3.0,37.0,6.0,284.0,4.0,,5.0,17.0,4.0,37.0,4.0,3.0,219.0,4.0,2.0,28.0,57.0,21.0,2.0,8.0,12.0,5.0,1.0,7.0,2.0,7.0,6.0,,,1.0,1.0,1.0,3.0,,1.0,2.0,,,,,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,,2.0,2.0,,1.0,,,,,,2.0,,1.0,,2.0,,,,,,1.0,,1.0,1.0,,2.0,,,,,,,,,,,,1.0,1.0,,,,,3.0,1.0,,,,,,,,,
34,987923,2019-04-13 15:00:00,"Turf Moor, Burnley",21480,Home,Burnley,Cardiff City,2,0,W,1,0,0,0,,,57.0,1.0,18.0,23.0,3.0,2.0,11.0,2.0,3.0,155.0,8.0,11.0,5.0,10.0,7.0,35.0,170.0,69.0,,14.0,,38.0,4.0,,2.0,2.0,27.0,11.0,1.0,23.0,8.0,5.0,35.0,,112.0,,1.0,0.0,105.0,7.0,1.0,,1.0,5.0,52.0,50.0,6.0,37.0,,1.0,19.0,25.0,3.0,,3.0,2.0,170.0,4.0,3.0,53.0,496.0,4.0,8.0,22.0,2.0,4.0,168.0,25.0,4.0,16.0,2.0,5.0,3.0,33.0,265.0,48.0,90517,4.0,69.0,4.0,11.0,2.0,97.0,1.0,25.0,8.0,57.0,,3.0,3.0,3.0,22.0,11.0,4.0,1.0,59.0,173.0,10.0,5.0,4.0,29.0,74.0,,0.0,4.0,,1.0,0.0,4.0,,7.0,46.0,24.0,2.0,6.0,3.0,1.0,28.0,8.0,280.0,4.0,,3.0,18.0,6.0,34.0,4.0,3.0,210.0,4.0,4.0,34.0,60.0,20.0,1.0,16.0,15.0,6.0,,17.0,1.0,12.0,8.0,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,2.0,,1.0,,2.0,,,2.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,1.0,,,,,,,
35,987935,2019-04-22 20:00:00,"Stamford Bridge, London",40642,Away,Burnley,Chelsea,2,2,D,2,2,0,0,,1.0,68.0,1.0,31.0,48.0,2.0,1.0,4.0,6.0,,121.0,1.0,5.0,2.0,4.0,3.0,34.0,122.0,45.0,,6.0,,25.0,1.0,,,1.0,5.0,6.0,,48.0,1.0,4.0,29.0,,65.0,,,0.0,70.0,4.0,3.0,,,,43.0,24.0,3.0,33.0,5.0,1.0,4.0,21.0,2.0,,,1.0,122.0,1.0,12.0,31.0,425.0,3.0,11.0,7.0,,15.0,116.0,36.0,10.0,25.0,1.0,6.0,1.0,19.0,189.0,51.0,90517,2.0,67.0,,4.0,2.0,89.0,3.0,21.0,14.0,56.0,,1.0,2.0,1.0,12.0,10.0,7.0,,86.0,131.0,8.0,12.0,,39.0,65.0,,0.0,10.0,5.0,1.0,0.0,1.0,1.0,1.0,23.6,18.0,1.0,5.0,1.0,1.0,25.0,1.0,219.0,15.0,,11.0,11.0,2.0,15.0,,1.0,135.0,3.0,3.0,18.0,26.0,15.0,5.0,25.0,15.0,3.0,,9.0,5.0,9.0,1.0,,,2.0,1.0,,2.0,,,1.0,,1.0,,1.0,,,1.0,2.0,,1.0,,2.0,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,2.0,,,2.0,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,
36,987943,2019-04-28 14:05:00,"Turf Moor, Burnley",21605,Home,Burnley,Manchester City,0,1,L,0,0,0,0,,,48.0,,25.0,31.0,,1.0,2.0,5.0,,141.0,1.0,6.0,2.0,2.0,,35.0,145.0,43.0,,2.0,,26.0,,,,,11.0,7.0,,31.0,,1.0,44.0,,80.0,1.0,,0.0,94.0,5.0,2.0,,,1.0,33.0,50.0,,52.0,3.0,,11.0,12.0,,,3.0,,145.0,,17.0,35.0,442.0,1.0,6.0,8.0,,13.0,146.0,20.0,13.0,11.0,1.0,15.0,2.0,26.0,235.0,53.0,83314,,79.0,1.0,7.0,1.0,101.0,3.0,12.0,11.0,55.0,,,2.0,2.0,6.0,8.0,4.0,1.0,77.0,158.0,6.0,11.0,1.0,34.0,75.0,,0.0,6.0,5.0,3.0,0.0,1.0,1.0,,30.1,17.0,,,2.0,,26.0,,263.0,13.0,,11.0,16.0,2.0,23.0,,2.0,173.0,1.0,1.0,16.0,41.0,16.0,4.0,11.0,16.0,1.0,2.0,8.0,4.0,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
37,987956,2019-05-03 20:00:00,"Goodison Park, Liverpool",39303,Away,Burnley,Everton,0,2,L,0,2,0,0,1.0,1.0,68.0,,38.0,34.0,2.0,3.0,3.0,5.0,,153.0,3.0,7.0,2.0,5.0,1.0,79.0,153.0,58.0,,5.0,,21.0,1.0,,,2.0,12.0,5.0,,34.0,1.0,4.0,40.0,1.0,152.0,,,0.0,135.0,9.0,1.0,,,,51.0,55.0,1.0,69.0,5.0,,11.0,13.0,2.0,,5.0,2.0,153.0,2.0,11.0,68.0,565.0,3.0,4.0,16.0,,11.0,257.0,31.0,8.0,15.0,2.0,5.0,3.0,26.0,345.0,65.0,90517,3.0,120.0,2.0,6.0,3.0,138.0,4.0,13.0,9.0,59.0,1.0,3.0,2.0,4.0,14.0,10.0,2.0,1.0,80.0,269.0,7.0,10.0,1.0,29.0,83.0,,0.0,8.0,3.0,2.0,0.0,3.0,,1.0,39.9,19.0,1.0,7.0,4.0,,43.0,1.0,369.0,11.0,,16.0,21.0,4.0,32.0,,2.0,243.0,1.0,3.0,29.0,79.0,21.0,2.0,15.0,17.0,2.0,3.0,11.0,2.0,3.0,1.0,,,2.0,,,,,1.0,,,1.0,,1.0,,1.0,,2.0,,,,2.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
38,987963,2019-05-12 15:00:00,"Turf Moor, Burnley",21461,Home,Burnley,Arsenal,1,3,L,0,0,0,0,1.0,2.0,62.0,3.0,33.0,21.0,2.0,4.0,12.0,3.0,1.0,111.0,8.0,6.0,,12.0,5.0,85.0,120.0,44.0,,14.0,,17.0,3.0,,1.0,3.0,22.0,8.0,1.0,21.0,4.0,5.0,39.0,,162.0,,,0.0,112.0,11.0,,,,1.0,64.0,46.0,7.0,60.0,5.0,2.0,18.0,13.0,2.0,,7.0,,120.0,1.0,12.0,85.0,527.0,8.0,3.0,31.0,1.0,13.0,252.0,22.0,8.0,10.0,5.0,7.0,5.0,16.0,326.0,62.0,90517,8.0,110.0,2.0,10.0,1.0,121.0,5.0,13.0,9.0,43.0,,2.0,4.0,8.0,13.0,5.0,6.0,,70.0,264.0,3.0,5.0,3.0,23.0,68.0,,0.0,5.0,2.0,,0.0,4.0,,7.0,39.7,15.0,5.0,7.0,8.0,3.0,36.0,4.0,341.0,13.0,,8.0,18.0,6.0,36.0,4.0,5.0,242.0,2.0,3.0,20.0,62.0,23.0,3.0,10.0,15.0,10.0,3.0,9.0,3.0,9.0,4.0,,,1.0,,,1.0,2.0,,1.0,1.0,,,1.0,,,1.0,3.0,1.0,,1.0,3.0,1.0,,1.0,,,,1.0,,1.0,2.0,1.0,,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0
