gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,totalCrossNocorner,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,totalPullBack,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,attFreekickTarget,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,penaltySave,savedObox,goals,attCmissRight,attBxRight,attSvLowCentre,attGoalHighRight,attMissHighRight,cleanSheet,attMissRight,penaltyConceded,attRfGoal,goalsOpenplay,attIboxGoal,penaltyFaced,forwardGoals,attGoalLowLeft,attLfGoal,postScoringAtt,goalAssistOpenplay,attMissLeft,attIboxPost,midfielderGoals,attHdPost,hitWoodwork,goalAssist,errorLeadToShot,totalOffside,attPostHigh,attSvHighCentre,attCmissLeft,shieldBallOop,handBall,attSvHighRight,attHdTarget,attGoalLowCentre,penaltyWon,defenderGoals,attPenGoal,attGoalHighLeft,goalAssistIntentional,attHdGoal,errorLeadToGoal,goalsConcededObox,attSvLowLeft,attPostLeft,penGoalsConceded,goalFastbreak,attPostRight,attGoalLowRight,accuratePullBack,attOboxGoal,ptsDroppedWinningPos,attGoalHighCentre,attLgCentre,ptsGainedLosingPos,goalAssistSetplay,goalAssistDeadball,attCmissHighLeft,attFreekickPost,attOboxPost,fwdPass,attObxLeft,attCmissHighRight,secondYellow,attObxdRight,attFreekickGoal,attObxRight,attObxdLeft,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,winningGoal,keeperGoals,subsGoals,expectedAssists,expectedGoalsFreekick,attObpGoal,expectedGoals
28,284272,2010-02-27 15:00:00,"Turf Moor, Burnley",19714.0,Home,Burnley,Portsmouth,1,2,L,1,1,0,1,2.0,64.0,1.0,28.0,32.0,8.0,5.0,,,2.0,4.0,8.0,,10.0,6.0,160.0,60.0,4.0,16.0,3.0,19.0,2.0,,2.0,25.0,13.0,3.0,24.0,2.0,13.0,28.0,184.0,0.0,158.0,13.0,2.0,,,,1.0,52.0,53.0,7.0,1.0,23.0,,4.0,2.0,3.0,152.0,7.0,629.0,8.0,15.0,,19.0,,13.0,2.0,15.0,13.0,2.0,1.0,2.0,3.0,22.0,,105.0,,,5666,,65.0,20.0,,1.0,84.0,,10.0,49.0,,,1.0,1.0,8.0,5.0,2.0,59.0,245.0,13.0,3.0,1.0,35.0,,101.0,,2.0,,0.0,1.0,3.0,1.0,2.0,4.0,0.0,3.0,3.0,,47.6,20.0,2.0,3.0,,1.0,4.0,,59.0,3.0,1.0,353.0,19.0,2.0,6.0,17.0,6.0,20.0,1.0,3.0,294.0,8.0,12.0,19.0,95.0,37.0,4.0,,10.0,20.0,2.0,,3.0,16.0,4.0,4.0,1.0,3.0,1.0,,,2.0,,,,2.0,2.0,1.0,,1.0,2.0,1.0,,,,1.0,,,,,,1.0,,2.0,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
29,284280,2010-03-06 15:00:00,"Emirates Stadium, London",60043.0,Away,Burnley,Arsenal,1,3,L,0,1,0,0,2.0,57.0,,15.0,40.0,5.0,5.0,,,1.0,2.0,6.0,,7.0,6.0,153.0,41.0,1.0,9.0,,8.0,2.0,,2.0,13.0,11.0,3.0,26.0,2.0,10.0,20.0,125.0,0.0,119.0,12.0,5.0,,,,2.0,12.0,98.0,6.0,3.0,11.0,,1.0,5.0,2.0,139.0,23.0,548.0,5.0,9.0,,26.0,,25.0,1.0,6.0,16.0,2.0,4.0,8.0,1.0,18.0,,82.0,,,5666,,73.0,4.0,,,88.0,,15.0,67.0,,,6.0,1.0,5.0,8.0,2.0,48.0,196.0,7.0,25.0,1.0,24.0,,80.0,,1.0,,0.0,,8.0,4.0,3.0,,0.0,1.0,2.0,,35.2,14.0,,1.0,,2.0,,1.0,36.0,2.0,2.0,290.0,25.0,1.0,13.0,11.0,3.0,17.0,1.0,1.0,215.0,2.0,9.0,9.0,60.0,19.0,1.0,,10.0,19.0,3.0,,3.0,15.0,1.0,2.0,,3.0,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,1.0,,,,,2.0,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,284292,2010-03-13 15:00:00,"Turf Moor, Burnley",21217.0,Home,Burnley,Wolverhampton Wanderers,1,2,L,0,1,0,0,2.0,39.0,1.0,19.0,31.0,9.0,3.0,,,4.0,7.0,1.0,8.0,14.0,8.0,179.0,54.0,3.0,20.0,1.0,15.0,3.0,,1.0,35.0,9.0,4.0,24.0,8.0,13.0,23.0,170.0,0.0,166.0,10.0,1.0,,1.0,4.0,,54.0,58.0,5.0,,27.0,,3.0,7.0,4.0,172.0,4.0,544.0,9.0,12.0,,13.0,,7.0,,9.0,16.0,2.0,1.0,,9.0,33.0,,88.0,,,5666,6.0,61.0,16.0,,1.0,79.0,,7.0,44.0,,1.0,,4.0,4.0,2.0,2.0,55.0,224.0,21.0,3.0,4.0,43.0,,90.0,,2.0,1.0,0.0,2.0,6.0,1.0,2.0,9.0,0.0,3.0,4.0,,53.9,23.0,2.0,1.0,1.0,4.0,2.0,,31.0,11.0,,335.0,12.0,1.0,11.0,11.0,10.0,34.0,4.0,5.0,291.0,13.0,9.0,18.0,102.0,19.0,,1.0,11.0,14.0,2.0,12.0,3.0,6.0,,11.0,,1.0,1.0,1.0,4.0,,,,,3.0,,,1.0,1.0,,1.0,,,1.0,1.0,4.0,1.0,,,2.0,1.0,,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,284309,2010-03-20 15:00:00,"The Brick Community Stadium, Wigan",18498.0,Away,Burnley,Wigan Athletic,0,1,L,0,0,0,0,2.0,49.0,1.0,17.0,53.0,8.0,3.0,,,1.0,3.0,7.0,,8.0,3.0,175.0,53.0,,13.0,3.0,12.0,1.0,1.0,,18.0,17.0,2.0,30.0,3.0,11.0,20.0,112.0,0.0,132.0,14.0,1.0,,,,3.0,28.0,48.0,4.0,1.0,15.0,,,5.0,4.0,152.0,14.0,539.0,8.0,13.0,,19.0,,16.0,,6.0,24.0,,3.0,7.0,4.0,22.0,,82.0,2.0,,5666,,62.0,9.0,,1.0,84.0,,12.0,62.0,,,4.0,1.0,7.0,1.0,1.0,51.0,171.0,11.0,11.0,,29.0,,76.0,1.0,,1.0,0.0,,5.0,2.0,1.0,5.0,0.0,1.0,1.0,,44.9,17.0,1.0,1.0,,1.0,4.0,2.0,24.0,3.0,3.0,267.0,19.0,,12.0,7.0,6.0,17.0,2.0,1.0,201.0,9.0,10.0,17.0,73.0,18.0,6.0,,14.0,18.0,1.0,,2.0,20.0,6.0,3.0,,2.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,3.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,
32,284312,2010-03-28 12:00:00,"Turf Moor, Burnley",21546.0,Home,Burnley,Blackburn Rovers,0,1,L,0,1,0,0,,45.0,1.0,18.0,41.0,4.0,,,,1.0,3.0,2.0,,3.0,1.0,205.0,40.0,,5.0,,15.0,,,1.0,30.0,11.0,1.0,29.0,6.0,10.0,61.0,170.0,0.0,155.0,15.0,1.0,,,,,44.0,106.0,1.0,,24.0,,,9.0,3.0,193.0,10.0,609.0,3.0,8.0,,4.0,,9.0,,7.0,17.0,1.0,3.0,2.0,2.0,35.0,,103.0,,,5666,,84.0,12.0,,,110.0,1.0,9.0,50.0,,,,4.0,3.0,3.0,2.0,59.0,251.0,11.0,3.0,,27.0,,100.0,,,,0.0,,2.0,2.0,1.0,4.0,0.0,1.0,,1.0,59.7,24.0,,,,4.0,1.0,,43.0,8.0,,381.0,4.0,,8.0,25.0,3.0,33.0,2.0,,301.0,5.0,9.0,13.0,81.0,20.0,2.0,,8.0,14.0,1.0,,3.0,11.0,2.0,7.0,,1.0,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,284323,2010-04-03 17:30:00,"Turf Moor, Burnley",21330.0,Home,Burnley,Manchester City,1,6,L,0,5,0,0,,51.0,1.0,21.0,27.0,10.0,7.0,,,2.0,6.0,2.0,,11.0,4.0,157.0,37.0,1.0,17.0,4.0,15.0,1.0,,1.0,22.0,10.0,2.0,16.0,5.0,8.0,29.0,174.0,0.0,131.0,8.0,1.0,,,,,39.0,60.0,5.0,1.0,17.0,,1.0,8.0,4.0,146.0,17.0,667.0,7.0,9.0,,29.0,,14.0,1.0,8.0,13.0,1.0,0.0,5.0,6.0,28.0,,79.0,1.0,,5666,,133.0,8.0,,1.0,155.0,,11.0,47.0,,,2.0,3.0,3.0,3.0,1.0,46.0,301.0,10.0,7.0,3.0,21.0,,91.0,,,,0.0,,7.0,2.0,6.0,1.0,0.0,4.0,1.0,,46.4,27.0,,1.0,,3.0,5.0,,47.0,6.0,,403.0,29.0,,10.0,14.0,8.0,24.0,2.0,4.0,270.0,9.0,8.0,10.0,80.0,22.0,3.0,,7.0,15.0,6.0,,3.0,9.0,3.0,6.0,,1.0,1.0,,,2.0,,1.0,,4.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,,2.0,,,,,,,1.0,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,284333,2010-04-10 15:00:00,"The MKM Stadium, Hull",24369.0,Away,Burnley,Hull City,4,1,W,1,1,0,0,,31.0,,26.0,65.0,3.0,1.0,,,2.0,3.0,4.0,,5.0,7.0,165.0,68.0,2.0,10.0,1.0,20.0,2.0,,,13.0,17.0,1.0,46.0,1.0,15.0,38.0,133.0,0.0,144.0,14.0,1.0,,1.0,,3.0,33.0,75.0,4.0,3.0,12.0,,2.0,2.0,1.0,146.0,7.0,539.0,4.0,7.0,,11.0,,7.0,1.0,9.0,37.0,,1.0,2.0,1.0,27.0,,109.0,,,7545,,51.0,10.0,,,61.0,,10.0,55.0,,,,1.0,7.0,2.0,1.0,62.0,181.0,19.0,2.0,,30.0,,90.0,,,,0.0,,6.0,2.0,1.0,3.0,0.0,3.0,1.0,,49.4,24.0,,,,1.0,1.0,,36.0,1.0,3.0,284.0,11.0,,15.0,15.0,2.0,18.0,,1.0,236.0,8.0,13.0,24.0,71.0,13.0,2.0,,23.0,21.0,1.0,,3.0,8.0,2.0,1.0,,1.0,4.0,,,1.0,2.0,,,,,4.0,,3.0,,1.0,,,,1.0,,,3.0,,,1.0,,3.0,,,,,,,1.0,1.0,2.0,,2.0,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
35,284347,2010-04-17 15:00:00,"Stadium of Light, Sunderland",41341.0,Away,Burnley,Sunderland,1,2,L,0,2,0,0,1.0,50.0,,21.0,45.0,7.0,5.0,,,,2.0,2.0,,8.0,2.0,185.0,55.0,1.0,10.0,2.0,22.0,,,1.0,13.0,18.0,1.0,23.0,3.0,13.0,24.0,143.0,0.0,142.0,18.0,4.0,,,,1.0,36.0,92.0,3.0,,10.0,,1.0,1.0,4.0,163.0,12.0,587.0,6.0,10.0,,13.0,,15.0,,7.0,28.0,1.0,2.0,2.0,5.0,31.0,,83.0,,,7545,,68.0,7.0,,1.0,88.0,,7.0,63.0,,,2.0,2.0,5.0,3.0,1.0,55.0,209.0,14.0,7.0,1.0,45.0,,88.0,,,2.0,0.0,,3.0,4.0,2.0,2.0,0.0,1.0,2.0,,50.8,24.0,2.0,3.0,,2.0,2.0,,40.0,3.0,1.0,332.0,12.0,1.0,14.0,14.0,6.0,20.0,1.0,2.0,257.0,3.0,10.0,16.0,74.0,17.0,2.0,,14.0,23.0,2.0,,2.0,5.0,2.0,3.0,,3.0,1.0,,,1.0,,2.0,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,2.0,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,284353,2010-04-25 15:00:00,"Turf Moor, Burnley",21553.0,Home,Burnley,Liverpool,0,4,L,0,0,0,0,,72.0,1.0,32.0,38.0,6.0,8.0,10.0,3.0,3.0,4.0,9.0,5.0,10.0,4.0,169.0,67.0,2.0,16.0,2.0,12.0,3.0,,,26.0,17.0,1.0,20.0,3.0,15.0,35.0,193.0,0.0,167.0,14.0,2.0,,,1.0,2.0,46.0,84.0,4.0,1.0,23.0,6.0,2.0,13.0,3.0,169.0,6.0,639.0,9.0,11.0,23.0,24.0,261.0,21.0,1.0,18.0,19.0,,2.0,3.0,6.0,30.0,363.0,103.0,1.0,,7545,6.0,85.0,9.0,,2.0,96.0,,6.0,64.0,,0.0,2.0,3.0,9.0,5.0,1.0,67.0,274.0,12.0,6.0,1.0,35.0,,89.0,,3.0,,0.0,1.0,5.0,2.0,4.0,4.0,0.0,3.0,4.0,,45.8,29.0,3.0,4.0,2.0,3.0,3.0,,49.0,4.0,2.0,385.0,24.0,1.0,18.0,18.0,9.0,46.0,1.0,5.0,315.0,4.0,14.0,22.0,92.0,37.0,2.0,,7.0,24.0,2.0,12.0,3.0,25.0,2.0,4.0,,1.0,0.0,,2.0,,0.0,2.0,,2.0,,0.0,0.0,0.0,,,0.0,0.0,1.0,,2.0,1.0,0.0,,1.0,,,1.0,,,,,2.0,,1.0,0.0,,0.0,0.0,0.0,,0.0,,2.0,1.0,,,,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.9608,1.6146,0.0,0.0,0.0,0.7761,0.1194,0.0,1.04053
37,284360,2010-05-01 12:45:00,"St. Andrew's @ Knighthead Park, Birmingham",24578.0,Away,Burnley,Birmingham City,1,2,L,0,2,0,0,2.0,56.0,3.0,31.0,29.0,6.0,5.0,,,1.0,7.0,6.0,,11.0,4.0,163.0,50.0,1.0,13.0,1.0,15.0,,,1.0,28.0,13.0,3.0,16.0,6.0,20.0,25.0,181.0,0.0,134.0,12.0,1.0,,,,2.0,71.0,69.0,7.0,2.0,22.0,,1.0,6.0,2.0,150.0,10.0,619.0,8.0,7.0,,20.0,,17.0,1.0,6.0,17.0,1.0,1.0,3.0,4.0,22.0,,93.0,1.0,,7545,,109.0,15.0,,1.0,129.0,,11.0,55.0,,,5.0,5.0,4.0,2.0,3.0,66.0,283.0,12.0,9.0,2.0,32.0,,95.0,,1.0,,0.0,,6.0,1.0,2.0,1.0,0.0,4.0,2.0,,47.1,18.0,2.0,3.0,,5.0,4.0,,43.0,8.0,2.0,379.0,20.0,1.0,12.0,14.0,5.0,25.0,3.0,3.0,278.0,6.0,19.0,17.0,78.0,22.0,4.0,,9.0,15.0,2.0,,3.0,14.0,4.0,8.0,,,1.0,,,2.0,,,,,,1.0,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,284373,2010-05-09 16:00:00,"Turf Moor, Burnley",21161.0,Home,Burnley,Tottenham Hotspur,4,2,W,1,2,0,0,2.0,55.0,1.0,33.0,42.0,7.0,8.0,,,1.0,5.0,7.0,,12.0,7.0,161.0,49.0,,16.0,2.0,20.0,3.0,,,21.0,16.0,,30.0,2.0,17.0,34.0,163.0,0.0,138.0,12.0,1.0,,,,,42.0,82.0,9.0,1.0,19.0,,,10.0,5.0,149.0,9.0,653.0,8.0,10.0,,15.0,,21.0,,8.0,29.0,,0.0,7.0,3.0,20.0,,79.0,1.0,,7545,,131.0,9.0,,3.0,150.0,,7.0,58.0,,,1.0,3.0,7.0,3.0,1.0,74.0,289.0,9.0,7.0,,32.0,,88.0,,1.0,,0.0,,6.0,3.0,2.0,3.0,0.0,5.0,1.0,,50.2,18.0,,1.0,,3.0,3.0,,39.0,5.0,,394.0,15.0,,10.0,17.0,6.0,23.0,,1.0,265.0,7.0,16.0,15.0,82.0,21.0,6.0,,18.0,18.0,2.0,,3.0,18.0,6.0,5.0,,1.0,4.0,,,2.0,,1.0,,2.0,,1.0,,4.0,,2.0,1.0,2.0,,4.0,2.0,,1.0,,,4.0,,1.0,,,,,2.0,,,,,1.0,,,4.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
