gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,totalFastbreak,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalAssistDeadball,attOneOnOne,attOboxGoal,attSvLowLeft,freekickCross,interceptionsInBox,contentiousDecision,attHdTarget,bigChanceMissed,attSetpiece,attRfGoal,accurateFlickOn,attSvHighCentre,savedObox,accuratePullBack,postScoringAtt,accurateKeeperSweeper,attIboxPost,cleanSheet,attSvHighLeft,goodHighClaim,attHdPost,hitWoodwork,attMissHighLeft,totalKeeperSweeper,totalPullBack,overrun,attPostHigh,totalHighClaim,attPostRight,handBall,attCmissRight,attPenTarget,penaltyWon,attMissRight,attCmissHigh,punches,attObxLeft,errorLeadToShot,ptsDroppedWinningPos,attFreekickTotal,freekickTotal,attPostLeft,foulThrowIn,errorLeadToGoal,goalFastbreak,attGoalHighRight,attSvHighRight,subsGoals,accurateFreekickCross,penaltyConceded,attGoalHighLeft,penaltyFaced,penGoalsConceded,goalsConcededObox,attPenGoal,attCmissHighRight,attObpGoal,attFreekickTarget,attGoalHighCentre,attObxdLeft,ownGoals,attIboxOwnGoal,secondYellow,clearanceOffLine,attFreekickPost,attOboxPost,penaltySave,attCmissHighLeft,attFreekickMiss,attLgRight,attFreekickGoal
27,2293078,2023-03-11 15:00:00,"Tottenham Hotspur Stadium, London",61460,Home,Tottenham Hotspur,Nottingham Forest,3,1,W,2,0,0,0,1.0,1.0,21.0,50.0,,2.0,3.0,,32.0,28.0,2.0,5.0,13.0,4.0,1.0,1.0,127.0,,11.0,8.0,10.0,3.0,4.0,12.0,7.0,146.0,100.0,50.0,15.0,2.0,11.0,4.0,,,2.0,1.0,,23.0,6.0,,28.0,2.0,3.0,53.0,195.0,,0.0,112.0,13.0,,3.0,,,52.0,74.0,9.0,77.0,21.0,12.0,2.0,8.0,,100.0,,7.0,140.0,657.0,,7.0,1.0,32.0,8.0,406.0,24.0,,17.0,2.0,3.0,1.0,3.0,14.0,469.0,51.0,1.0,95715,12.0,240.0,11.0,,260.0,10.0,6.0,8.0,44.0,3.0,,1.0,4.0,2.0,11.0,2.0,8.0,2.0,49.0,427.0,13.0,13.0,3.0,2.0,1.0,63.0,,2.0,,0.0,10.0,4.0,3.0,1.0,0.0,7.0,2.0,,6.0,55.2,13.0,3.0,3.0,,4.0,5.0,45.0,2.0,490.0,8.0,3.0,32.0,3.0,28.0,1.0,3.0,253.0,4.0,3.0,17.0,83.0,19.0,3.0,1.0,17.0,10.0,1.0,1.0,11.0,3.0,15.0,1.0,6.0,2.0,,,,,2.0,,1.0,2.0,,2.0,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,2.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,
28,2293088,2023-03-18 15:00:00,"St. Mary's Stadium, Southampton",30157,Away,Tottenham Hotspur,Southampton,3,3,D,1,0,0,0,,2.0,23.0,55.0,,1.0,2.0,,28.0,20.0,6.0,8.0,11.0,4.0,1.0,,142.0,,12.0,7.0,10.0,3.0,,15.0,3.0,121.0,115.0,55.0,17.0,3.0,10.0,,2.0,2.0,2.0,,2.0,16.0,13.0,,20.0,2.0,7.0,46.0,152.0,,0.0,107.0,8.0,,2.0,2.0,1.0,37.0,52.0,7.0,70.0,14.0,9.0,6.0,4.0,3.0,115.0,2.0,11.0,117.0,633.0,,13.0,2.0,17.0,9.0,353.0,26.0,1.0,9.0,2.0,1.0,5.0,8.0,11.0,422.0,41.0,2.0,95715,8.0,232.0,10.0,,251.0,2.0,2.0,8.0,48.0,3.0,,1.0,6.0,2.0,16.0,8.0,6.0,4.0,51.0,377.0,12.0,18.0,,7.0,2.0,56.0,2.0,,1.0,0.0,10.0,1.0,3.0,3.0,0.0,6.0,2.0,1.0,3.0,49.6,10.0,2.0,3.0,,6.0,5.0,30.0,3.0,450.0,9.0,9.0,27.0,9.0,28.0,1.0,6.0,215.0,6.0,5.0,14.0,76.0,19.0,1.0,2.0,9.0,19.0,1.0,3.0,14.0,4.0,14.0,2.0,2.0,3.0,,,,,,,1.0,,,1.0,1.0,2.0,,3.0,,,1.0,,,,1.0,,,1.0,1.0,,1.0,,2.0,,1.0,1.0,,,2.0,1.0,1.0,,,2.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,
29,2293095,2023-04-03 20:00:00,"Goodison Park, Liverpool",39294,Away,Tottenham Hotspur,Everton,1,1,D,0,0,1,1,,1.0,19.0,78.0,1.0,,1.0,,36.0,21.0,2.0,1.0,6.0,5.0,,1.0,179.0,,14.0,2.0,12.0,1.0,1.0,6.0,2.0,164.0,148.0,50.0,8.0,,13.0,1.0,1.0,1.0,,,1.0,15.0,8.0,,21.0,3.0,3.0,57.0,223.0,1.0,0.0,126.0,14.0,,3.0,1.0,,55.0,67.0,1.0,71.0,12.0,17.0,2.0,4.0,2.0,148.0,1.0,10.0,182.0,788.0,,6.0,3.0,20.0,5.0,481.0,36.0,1.0,13.0,,3.0,4.0,5.0,16.0,573.0,52.0,,95715,3.0,281.0,8.0,,320.0,7.0,5.0,10.0,56.0,,,3.0,11.0,,12.0,5.0,10.0,1.0,68.0,502.0,10.0,6.0,,15.0,1.0,75.0,1.0,,1.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,,,1.0,60.7,14.0,1.0,5.0,1.0,11.0,1.0,48.0,3.0,596.0,5.0,11.0,34.0,5.0,26.0,,3.0,291.0,6.0,1.0,15.0,91.0,24.0,1.0,3.0,13.0,14.0,,,6.0,2.0,24.0,3.0,5.0,3.0,,,,1.0,,,,,1.0,,1.0,2.0,,3.0,,,,,,,1.0,,,,,,1.0,,2.0,,,2.0,,1.0,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
30,2293108,2023-04-08 15:00:00,"Tottenham Hotspur Stadium, London",61405,Home,Tottenham Hotspur,Brighton and Hove Albion,2,1,W,1,1,0,0,1.0,,19.0,53.0,1.0,,1.0,,12.0,23.0,2.0,3.0,7.0,3.0,,,127.0,,9.0,3.0,8.0,2.0,2.0,8.0,3.0,69.0,113.0,46.0,9.0,1.0,18.0,1.0,,2.0,2.0,,1.0,15.0,10.0,,23.0,3.0,3.0,34.0,83.0,1.0,0.0,64.0,15.0,,1.0,,,21.0,29.0,5.0,27.0,12.0,21.0,2.0,2.0,,113.0,,12.0,76.0,483.0,,6.0,5.0,21.0,7.0,216.0,25.0,,11.0,2.0,3.0,7.0,3.0,10.0,275.0,32.0,1.0,93264,3.0,151.0,7.0,,175.0,10.0,16.0,8.0,59.0,1.0,,2.0,2.0,2.0,13.0,5.0,4.0,2.0,52.0,231.0,12.0,8.0,,11.0,,54.0,,,,0.0,7.0,,1.0,1.0,0.0,3.0,1.0,1.0,1.0,35.2,10.0,1.0,4.0,1.0,2.0,2.0,21.0,3.0,299.0,7.0,7.0,10.0,4.0,23.0,,4.0,139.0,5.0,3.0,9.0,45.0,21.0,2.0,3.0,11.0,17.0,,1.0,8.0,3.0,19.0,3.0,16.0,3.0,,,1.0,1.0,3.0,2.0,,,,1.0,2.0,,,3.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,2293117,2023-04-15 15:15:00,"Tottenham Hotspur Stadium, London",61369,Home,Tottenham Hotspur,Bournemouth,2,3,L,1,1,0,0,1.0,1.0,19.0,63.0,1.0,1.0,5.0,,24.0,6.0,9.0,8.0,15.0,3.0,2.0,5.0,159.0,,10.0,11.0,10.0,2.0,3.0,16.0,8.0,122.0,148.0,56.0,24.0,3.0,10.0,4.0,1.0,2.0,1.0,4.0,2.0,37.0,11.0,2.0,6.0,8.0,3.0,35.0,222.0,1.0,0.0,159.0,8.0,,3.0,1.0,,58.0,69.0,9.0,71.0,29.0,18.0,9.0,8.0,4.0,148.0,3.0,6.0,133.0,673.0,,13.0,4.0,40.0,11.0,382.0,31.0,1.0,2.0,1.0,1.0,1.0,7.0,19.0,469.0,59.0,2.0,93264,11.0,184.0,19.0,,208.0,6.0,6.0,3.0,47.0,2.0,,1.0,1.0,1.0,7.0,3.0,3.0,2.0,46.0,395.0,8.0,13.0,2.0,2.0,4.0,54.0,1.0,,,0.0,1.0,1.0,2.0,3.0,0.0,7.0,1.0,,5.0,57.4,14.0,3.0,5.0,2.0,1.0,8.0,28.0,8.0,485.0,11.0,7.0,13.0,8.0,39.0,4.0,4.0,314.0,11.0,3.0,21.0,117.0,23.0,1.0,1.0,2.0,17.0,,3.0,16.0,3.0,20.0,1.0,6.0,8.0,,,,,2.0,,,,2.0,2.0,,2.0,1.0,2.0,1.0,,,,,1.0,,,,,,2.0,2.0,,,,1.0,3.0,,,3.0,,,,,3.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,
32,2293129,2023-04-23 14:00:00,"St. James' Park, Newcastle",52252,Away,Tottenham Hotspur,Newcastle United,1,6,L,0,5,0,0,1.0,1.0,13.0,60.0,,1.0,2.0,,21.0,16.0,3.0,4.0,8.0,2.0,1.0,1.0,137.0,,7.0,3.0,12.0,1.0,,10.0,3.0,91.0,117.0,40.0,11.0,1.0,10.0,2.0,2.0,3.0,1.0,1.0,2.0,8.0,11.0,,16.0,2.0,5.0,42.0,110.0,1.0,0.0,72.0,13.0,,1.0,2.0,,34.0,44.0,6.0,75.0,6.0,27.0,3.0,2.0,2.0,117.0,1.0,19.0,98.0,575.0,,9.0,2.0,12.0,7.0,303.0,30.0,,9.0,1.0,3.0,10.0,4.0,22.0,378.0,45.0,,93264,4.0,210.0,3.0,,244.0,9.0,11.0,5.0,52.0,1.0,,,1.0,1.0,10.0,6.0,2.0,1.0,58.0,317.0,7.0,16.0,,9.0,1.0,59.0,2.0,,1.0,0.0,9.0,2.0,1.0,6.0,0.0,2.0,,,,43.0,19.0,,2.0,1.0,1.0,3.0,26.0,3.0,401.0,7.0,9.0,16.0,5.0,13.0,1.0,3.0,165.0,7.0,5.0,4.0,45.0,25.0,1.0,1.0,9.0,17.0,,5.0,10.0,4.0,16.0,1.0,11.0,3.0,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,1.0,,,2.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
33,2293134,2023-04-27 20:15:00,"Tottenham Hotspur Stadium, London",61586,Home,Tottenham Hotspur,Manchester United,2,2,D,0,2,0,0,1.0,1.0,21.0,63.0,,1.0,3.0,,24.0,25.0,6.0,5.0,12.0,5.0,,3.0,141.0,,14.0,4.0,9.0,2.0,2.0,12.0,7.0,90.0,121.0,47.0,18.0,1.0,11.0,3.0,1.0,3.0,1.0,2.0,2.0,23.0,13.0,2.0,25.0,6.0,4.0,46.0,157.0,,0.0,106.0,8.0,1.0,3.0,1.0,1.0,42.0,50.0,6.0,58.0,17.0,14.0,6.0,5.0,3.0,121.0,4.0,11.0,98.0,581.0,,10.0,4.0,34.0,13.0,298.0,21.0,,10.0,1.0,1.0,5.0,6.0,12.0,368.0,49.0,2.0,95715,4.0,162.0,12.0,1.0,181.0,4.0,7.0,6.0,42.0,4.0,,2.0,3.0,2.0,9.0,6.0,5.0,1.0,43.0,315.0,7.0,7.0,1.0,2.0,4.0,64.0,1.0,1.0,1.0,0.0,8.0,4.0,2.0,2.0,0.0,2.0,1.0,,2.0,39.9,11.0,1.0,12.0,1.0,3.0,4.0,40.0,6.0,387.0,13.0,9.0,25.0,7.0,23.0,2.0,4.0,229.0,11.0,3.0,12.0,72.0,26.0,1.0,2.0,10.0,19.0,,2.0,14.0,4.0,16.0,2.0,7.0,6.0,,,,,,1.0,,1.0,3.0,,2.0,1.0,2.0,2.0,,,,,,,,,,,,,2.0,,,,,1.0,,,4.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
34,2293147,2023-04-30 16:30:00,"Anfield, Liverpool",53275,Away,Tottenham Hotspur,Liverpool,3,4,L,1,3,0,0,1.0,3.0,14.0,57.0,,,,1.0,18.0,18.0,2.0,1.0,7.0,,,3.0,138.0,2.0,9.0,4.0,9.0,3.0,1.0,8.0,7.0,85.0,132.0,52.0,10.0,,20.0,2.0,,,2.0,1.0,1.0,10.0,15.0,2.0,18.0,2.0,5.0,59.0,73.0,,0.0,64.0,6.0,,,,,45.0,19.0,5.0,56.0,8.0,15.0,3.0,3.0,,132.0,4.0,10.0,60.0,513.0,,5.0,2.0,15.0,8.0,240.0,29.0,1.0,9.0,3.0,2.0,4.0,3.0,16.0,316.0,36.0,3.0,95715,7.0,181.0,3.0,,211.0,4.0,6.0,7.0,53.0,4.0,,5.0,7.0,2.0,11.0,2.0,,,54.0,250.0,12.0,11.0,,12.0,,60.0,,1.0,,0.0,5.0,,3.0,4.0,0.0,4.0,3.0,,2.0,32.4,11.0,1.0,6.0,,7.0,,22.0,2.0,339.0,8.0,9.0,26.0,3.0,16.0,,1.0,138.0,7.0,5.0,7.0,34.0,14.0,2.0,,9.0,24.0,1.0,4.0,9.0,4.0,16.0,,6.0,2.0,1.0,1.0,,,2.0,2.0,,,1.0,1.0,2.0,,2.0,,,2.0,,1.0,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,
35,2293157,2023-05-06 15:00:00,"Tottenham Hotspur Stadium, London",61093,Home,Tottenham Hotspur,Crystal Palace,1,0,W,1,0,0,0,,1.0,19.0,48.0,1.0,,2.0,,31.0,21.0,1.0,1.0,7.0,2.0,,2.0,143.0,,9.0,5.0,9.0,1.0,4.0,8.0,3.0,149.0,122.0,54.0,8.0,,11.0,2.0,,2.0,1.0,1.0,,19.0,6.0,,21.0,8.0,4.0,47.0,155.0,,0.0,112.0,15.0,,2.0,,,62.0,47.0,5.0,67.0,11.0,20.0,1.0,2.0,1.0,122.0,3.0,6.0,155.0,683.0,,4.0,3.0,13.0,14.0,413.0,19.0,2.0,8.0,1.0,3.0,2.0,3.0,12.0,492.0,60.0,2.0,95715,4.0,282.0,7.0,,300.0,4.0,11.0,8.0,56.0,7.0,,1.0,4.0,1.0,6.0,1.0,8.0,1.0,57.0,432.0,13.0,16.0,3.0,8.0,2.0,61.0,,,,0.0,4.0,2.0,1.0,,0.0,3.0,1.0,1.0,4.0,57.5,9.0,,2.0,,4.0,2.0,32.0,8.0,514.0,14.0,9.0,21.0,3.0,21.0,2.0,1.0,233.0,3.0,4.0,19.0,72.0,22.0,1.0,3.0,8.0,13.0,1.0,,5.0,3.0,15.0,3.0,11.0,8.0,,1.0,,,2.0,1.0,,,2.0,1.0,,,1.0,,,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
36,2293161,2023-05-13 15:00:00,"Villa Park, Birmingham",42164,Away,Tottenham Hotspur,Aston Villa,1,2,L,0,1,0,0,,1.0,13.0,51.0,,1.0,1.0,,20.0,14.0,1.0,2.0,4.0,2.0,,1.0,111.0,,6.0,2.0,8.0,1.0,2.0,3.0,2.0,132.0,108.0,41.0,5.0,,6.0,1.0,,,,,1.0,14.0,7.0,,14.0,3.0,6.0,34.0,140.0,,0.0,85.0,14.0,,2.0,,,36.0,43.0,1.0,49.0,11.0,13.0,1.0,5.0,1.0,108.0,1.0,6.0,143.0,588.0,,3.0,5.0,16.0,12.0,354.0,24.0,1.0,8.0,,3.0,,2.0,14.0,414.0,43.0,2.0,95715,2.0,233.0,5.0,,257.0,6.0,5.0,8.0,38.0,12.0,,9.0,8.0,,9.0,2.0,5.0,,44.0,371.0,9.0,8.0,,10.0,,46.0,,,1.0,0.0,8.0,2.0,1.0,2.0,0.0,1.0,,,,51.3,13.0,,4.0,1.0,8.0,1.0,27.0,3.0,435.0,12.0,4.0,14.0,2.0,20.0,1.0,1.0,192.0,3.0,6.0,8.0,61.0,13.0,1.0,1.0,8.0,16.0,,1.0,4.0,4.0,15.0,1.0,5.0,3.0,,,,1.0,1.0,3.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,,2.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
37,2293177,2023-05-20 12:30:00,"Tottenham Hotspur Stadium, London",61514,Home,Tottenham Hotspur,Brentford,1,3,L,1,0,0,0,2.0,,18.0,51.0,,,5.0,1.0,18.0,14.0,7.0,5.0,15.0,1.0,,1.0,168.0,,7.0,9.0,5.0,1.0,1.0,15.0,8.0,150.0,130.0,51.0,22.0,3.0,18.0,7.0,1.0,1.0,,2.0,1.0,28.0,6.0,,14.0,7.0,6.0,49.0,281.0,1.0,0.0,142.0,11.0,,,1.0,,53.0,89.0,11.0,95.0,21.0,27.0,7.0,13.0,3.0,130.0,2.0,8.0,168.0,752.0,,11.0,3.0,28.0,1.0,483.0,25.0,1.0,11.0,1.0,1.0,1.0,4.0,23.0,557.0,59.0,1.0,95715,11.0,229.0,8.0,2.0,259.0,6.0,7.0,8.0,45.0,2.0,,1.0,2.0,,14.0,3.0,5.0,,42.0,501.0,8.0,6.0,3.0,4.0,7.0,64.0,1.0,1.0,1.0,0.0,2.0,1.0,,3.0,0.0,7.0,1.0,,8.0,61.8,19.0,2.0,3.0,2.0,3.0,8.0,43.0,8.0,581.0,1.0,6.0,20.0,6.0,31.0,2.0,3.0,350.0,9.0,6.0,26.0,107.0,19.0,1.0,,11.0,12.0,,3.0,13.0,4.0,10.0,,7.0,8.0,1.0,,1.0,1.0,,,,4.0,2.0,,1.0,2.0,1.0,,,,,,,2.0,1.0,,1.0,2.0,,,,,1.0,,1.0,,,,2.0,,,,1.0,3.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
38,2293186,2023-05-28 16:30:00,"Elland Road, Leeds",36871,Away,Tottenham Hotspur,Leeds United,4,1,W,1,0,0,0,2.0,3.0,27.0,79.0,1.0,2.0,1.0,,10.0,46.0,1.0,2.0,10.0,1.0,,1.0,172.0,,15.0,1.0,13.0,4.0,1.0,10.0,7.0,101.0,150.0,71.0,11.0,,30.0,3.0,2.0,2.0,3.0,2.0,2.0,6.0,12.0,,46.0,3.0,2.0,54.0,151.0,,0.0,81.0,5.0,,,3.0,1.0,44.0,52.0,7.0,70.0,3.0,18.0,1.0,,1.0,150.0,3.0,14.0,94.0,674.0,,6.0,3.0,17.0,12.0,331.0,47.0,3.0,29.0,3.0,0.0,10.0,3.0,19.0,411.0,47.0,1.0,95715,7.0,191.0,3.0,,231.0,3.0,5.0,12.0,62.0,1.0,,1.0,8.0,4.0,16.0,5.0,4.0,1.0,56.0,341.0,7.0,5.0,1.0,21.0,,78.0,2.0,,,0.0,12.0,1.0,4.0,1.0,0.0,1.0,2.0,,,47.9,10.0,,1.0,1.0,8.0,1.0,36.0,3.0,437.0,12.0,9.0,21.0,3.0,15.0,,2.0,212.0,9.0,2.0,25.0,53.0,19.0,2.0,1.0,29.0,26.0,,1.0,10.0,5.0,26.0,1.0,5.0,3.0,,1.0,,,,2.0,,,,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
