gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attLfGoal,attGoalLowCentre,goals,fouledFinalThird,attFreekickTotal,attBxRight,postScoringAtt,goalAssistOpenplay,goalFastbreak,attMissLeft,attIboxPost,attOboxGoal,midfielderGoals,freekickCross,freekickTotal,subsGoals,hitWoodwork,goalAssist,accurateThroughBall,attRfGoal,goalsOpenplay,attGoalHighLeft,attSvLowRight,attIboxGoal,goalAssistIntentional,attPostRight,forwardGoals,effectiveBlockedCross,attHdGoal,blockedCross,attSvHighRight,attSvHighLeft,attHdTarget,accurateFreekickCross,fastestPlayer_topSpeed,attSetpiece,totalDistance,attAssistSetplay,attCmissLeft,attFreekickTarget,ptsDroppedWinningPos,penaltySave,attGoalLowRight,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,attMissHighRight,cleanSheet,expectedAssists,penaltyConceded,punches,attCmissHighRight,penaltyFaced,expectedGoals,attOneOnOne,attGoalHighRight,penaltyWon,ptsGainedLosingPos,attCmissHigh,attPenGoal,attFreekickGoal,foulThrowIn,errorLeadToGoal,handBall,accuratePullBack,attMissHighLeft,attCmissHighLeft,contentiousDecision,penGoalsConceded,attPostLeft,attHdPost,clearanceOffLine,attFreekickMiss,sixYardBlock,goalAssistSetplay,goalAssistDeadball,defenderGoals,attPostHigh,attGoalHighCentre,attObxLeft,secondYellow,attObxdLeft,attOboxPost,expectedGoalsFreekick,attPenTarget
26,2444722,2025-02-22 17:30:00,"Villa Park, Birmingham",42423,Away,Chelsea,Aston Villa,1,2,L,1,0,0,0,,3.0,51.0,,3.0,22.0,25.0,6.0,7.0,9.0,4.0,3.0,128.0,3.0,7.0,12.0,,7.0,115.0,101.0,45.0,15.0,,7.0,2.0,3.0,1.0,,12.0,7.0,4.0,25.0,3.0,7.0,28.0,175.0,0.0,98.0,16.0,1.0,4.0,4.0,,47.0,63.0,8.0,75.0,1.0,,9.0,12.0,6.0,5.0,2.0,101.0,3.0,10.0,128.0,626.0,10.0,2.0,26.0,10.0,372.0,27.0,2.0,13.0,1.0,3.0,3.0,4.0,13.0,423.0,50.0,3.0,482609,5.0,221.0,2.0,2.0,236.0,9.0,1.0,7.0,6.0,50.0,6.0,1.0,3.0,17.0,2.0,6.0,1.0,49.0,393.0,15.0,11.0,21.0,3.0,53.0,3.0,0.0,1.0,2.0,4.0,2.0,2.0,0.0,2.0,,2.0,47.8,10.0,1.0,4.0,2.0,,3.0,3.0,30.0,3.0,,446.0,10.0,8.0,17.0,5.0,18.0,1.0,3.0,222.0,6.0,7.0,8.0,76.0,17.0,13.0,16.0,2.0,12.0,2.0,16.0,7.0,3.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,4.0,,,1.0,2.0,,,,1.0,4.0,,1.0,,2.0,1.0,1.0,,,1.0,,1.0,,,,,34.15,,110581.62,1.0,,,3.0,,,1.9703,2.1245,,,1.62094,,,,,2.303,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
27,2444737,2025-02-25 20:15:00,"Stamford Bridge, London",39485,Home,Chelsea,Southampton,4,0,W,3,0,0,0,,3.0,45.0,,1.0,23.0,13.0,6.0,9.0,13.0,2.0,1.0,171.0,5.0,5.0,17.0,,10.0,171.0,92.0,42.0,19.0,1.0,8.0,3.0,,,1.0,10.0,9.0,3.0,13.0,3.0,20.0,26.0,321.0,0.0,211.0,6.0,1.0,,1.0,,84.0,73.0,10.0,113.0,1.0,,7.0,8.0,6.0,2.0,2.0,92.0,6.0,5.0,165.0,773.0,11.0,,39.0,7.0,548.0,18.0,2.0,9.0,,1.0,3.0,7.0,15.0,603.0,67.0,,247632,8.0,248.0,3.0,4.0,263.0,5.0,1.0,2.0,8.0,33.0,2.0,2.0,1.0,12.0,2.0,7.0,2.0,43.0,564.0,9.0,4.0,8.0,4.0,55.0,,0.0,1.0,2.0,2.0,,,0.0,3.0,,5.0,59.6,15.0,1.0,6.0,3.0,1.0,1.0,2.0,38.0,4.0,,620.0,7.0,11.0,12.0,7.0,27.0,2.0,5.0,367.0,5.0,18.0,12.0,183.0,20.0,9.0,17.0,,13.0,5.0,10.0,2.0,4.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,,2.0,,4.0,,,1.0,1.0,1.0,,,4.0,1.0,,2.0,,,4.0,4.0,,1.0,,2.0,,,3.0,2.0,1.0,32.45,1.0,107875.42,2.0,1.0,1.0,,,1.0,3.0921,0.6621,1.0,1.0,1.73833,,,,,2.5646,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,2.0,1.0,2.0,,1.0,,,,,0.0477,
28,2444742,2025-03-09 14:00:00,"Stamford Bridge, London",39750,Home,Chelsea,Leicester City,1,0,W,0,0,0,0,,2.0,49.0,2.0,3.0,23.0,21.0,9.0,10.0,11.0,3.0,3.0,159.0,6.0,13.0,18.0,,7.0,159.0,128.0,58.0,20.0,5.0,13.0,5.0,2.0,,3.0,26.0,9.0,1.0,21.0,9.0,11.0,33.0,281.0,0.0,188.0,12.0,,2.0,,1.0,54.0,92.0,14.0,83.0,,1.0,17.0,12.0,9.0,6.0,2.0,128.0,,1.0,140.0,731.0,14.0,1.0,54.0,10.0,450.0,14.0,3.0,14.0,,1.0,,4.0,11.0,521.0,75.0,,247632,6.0,192.0,1.0,10.0,203.0,3.0,3.0,6.0,1.0,44.0,1.0,,6.0,13.0,2.0,1.0,,48.0,467.0,13.0,2.0,15.0,5.0,69.0,2.0,0.0,1.0,2.0,1.0,,1.0,0.0,3.0,,5.0,56.6,9.0,3.0,8.0,3.0,1.0,6.0,8.0,36.0,12.0,1.0,541.0,10.0,9.0,16.0,5.0,39.0,3.0,3.0,364.0,5.0,10.0,21.0,150.0,18.0,14.0,11.0,,14.0,3.0,22.0,6.0,12.0,,,1.0,,1.0,2.0,,1.0,,1.0,,3.0,,1.0,,1.0,,,,1.0,1.0,,1.0,,2.0,,,,,1.0,,1.0,,,1.0,,32.45,,104561.9,3.0,1.0,,,,1.0,1.5244,0.1508,,1.0,1.26767,,,,,1.778,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0
29,2444751,2025-03-16 13:30:00,"Emirates Stadium, London",60311,Away,Chelsea,Arsenal,0,1,L,0,1,0,0,,1.0,32.0,,1.0,20.0,24.0,5.0,5.0,3.0,4.0,,152.0,4.0,4.0,5.0,,2.0,155.0,101.0,34.0,8.0,2.0,13.0,2.0,1.0,,1.0,13.0,8.0,,24.0,4.0,11.0,29.0,272.0,0.0,140.0,13.0,2.0,1.0,,,104.0,41.0,3.0,85.0,1.0,,9.0,18.0,5.0,3.0,3.0,101.0,,9.0,123.0,663.0,5.0,4.0,10.0,5.0,427.0,20.0,2.0,9.0,,3.0,2.0,2.0,15.0,493.0,78.0,2.0,247632,2.0,178.0,,5.0,195.0,7.0,,9.0,9.0,44.0,2.0,1.0,4.0,7.0,3.0,8.0,,49.0,446.0,9.0,6.0,17.0,,55.0,1.0,0.0,,5.0,3.0,1.0,1.0,0.0,4.0,1.0,1.0,59.1,12.0,,1.0,1.0,1.0,4.0,3.0,26.0,4.0,,515.0,5.0,7.0,13.0,3.0,15.0,,,333.0,2.0,10.0,8.0,105.0,7.0,9.0,13.0,1.0,8.0,5.0,9.0,9.0,4.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,3.0,,3.0,,,1.0,1.0,34.39,,98810.72,,,,,,,0.1957,0.6746,,,0.36686,,,,,0.3589,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
30,2444765,2025-04-03 20:00:00,"Stamford Bridge, London",39852,Home,Chelsea,Tottenham Hotspur,1,0,W,0,0,0,0,,2.0,45.0,,1.0,30.0,25.0,3.0,4.0,8.0,2.0,2.0,135.0,5.0,6.0,9.0,1.0,5.0,121.0,120.0,43.0,11.0,1.0,14.0,3.0,2.0,,1.0,22.0,15.0,1.0,25.0,3.0,10.0,28.0,221.0,0.0,154.0,7.0,1.0,2.0,1.0,,60.0,74.0,5.0,87.0,,1.0,19.0,13.0,3.0,7.0,1.0,120.0,4.0,5.0,94.0,621.0,6.0,2.0,34.0,2.0,356.0,17.0,4.0,12.0,,5.0,3.0,2.0,21.0,407.0,71.0,2.0,179268,4.0,158.0,3.0,10.0,174.0,3.0,,6.0,6.0,44.0,,5.0,1.0,13.0,3.0,3.0,1.0,60.0,374.0,16.0,7.0,20.0,,53.0,2.0,0.0,1.0,6.0,2.0,,2.0,0.0,5.0,1.0,1.0,50.0,16.0,,7.0,3.0,1.0,1.0,2.0,25.0,4.0,,437.0,2.0,8.0,19.0,4.0,32.0,,3.0,285.0,6.0,10.0,5.0,118.0,16.0,12.0,16.0,,11.0,4.0,14.0,6.0,4.0,1.0,,,,1.0,5.0,,,,1.0,,2.0,,,1.0,2.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,3.0,1.0,3.0,1.0,,,1.0,33.56,,109358.31,,,,,,,1.7742,1.6978,,1.0,0.682797,,1.0,,,1.0992,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
31,2444771,2025-04-06 14:00:00,"Gtech Community Stadium, Brentford",17183,Away,Chelsea,Brentford,0,0,D,0,0,0,0,,3.0,56.0,,3.0,27.0,25.0,9.0,10.0,12.0,2.0,1.0,158.0,5.0,5.0,18.0,,5.0,155.0,129.0,43.0,21.0,4.0,8.0,3.0,1.0,3.0,1.0,18.0,8.0,2.0,25.0,6.0,6.0,35.0,231.0,0.0,144.0,12.0,2.0,1.0,,,45.0,61.0,11.0,66.0,1.0,1.0,12.0,13.0,9.0,3.0,3.0,129.0,2.0,7.0,109.0,667.0,14.0,2.0,31.0,11.0,392.0,21.0,9.0,12.0,3.0,3.0,1.0,7.0,7.0,465.0,66.0,1.0,179268,7.0,183.0,3.0,7.0,203.0,4.0,,6.0,9.0,49.0,3.0,1.0,5.0,11.0,2.0,7.0,2.0,59.0,409.0,12.0,6.0,30.0,4.0,66.0,1.0,0.0,1.0,3.0,2.0,,1.0,0.0,3.0,1.0,4.0,59.1,6.0,3.0,5.0,1.0,,5.0,7.0,37.0,6.0,,488.0,11.0,12.0,16.0,9.0,30.0,2.0,6.0,303.0,7.0,6.0,15.0,104.0,23.0,12.0,11.0,,15.0,4.0,16.0,6.0,6.0,,,,,,1.0,,3.0,,,,3.0,,,,2.0,,,,,,,,,2.0,,,,,1.0,,1.0,,2.0,1.0,2.0,32.46,2.0,104242.93,4.0,,,,,,1.0881,0.4758,1.0,1.0,0.69095,,,1.0,,1.2319,,,,,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
32,2444783,2025-04-13 14:00:00,"Stamford Bridge, London",39805,Home,Chelsea,Ipswich Town,2,2,D,0,2,0,0,,2.0,44.0,1.0,5.0,12.0,6.0,15.0,13.0,19.0,2.0,4.0,179.0,17.0,4.0,30.0,1.0,9.0,181.0,127.0,39.0,34.0,5.0,24.0,3.0,,1.0,1.0,47.0,7.0,5.0,6.0,8.0,7.0,27.0,337.0,0.0,263.0,11.0,,,3.0,1.0,69.0,96.0,18.0,65.0,,2.0,39.0,16.0,15.0,15.0,5.0,127.0,4.0,6.0,156.0,767.0,28.0,2.0,56.0,5.0,483.0,13.0,,4.0,1.0,2.0,1.0,12.0,20.0,555.0,70.0,1.0,247632,9.0,187.0,4.0,23.0,209.0,5.0,3.0,4.0,7.0,54.0,1.0,1.0,7.0,9.0,7.0,6.0,3.0,37.0,507.0,7.0,8.0,11.0,8.0,55.0,,0.0,1.0,4.0,1.0,2.0,1.0,0.0,16.0,,7.0,73.5,19.0,5.0,4.0,4.0,,7.0,10.0,37.0,15.0,1.0,581.0,5.0,5.0,8.0,15.0,56.0,1.0,9.0,419.0,14.0,7.0,15.0,220.0,18.0,4.0,13.0,2.0,25.0,3.0,10.0,4.0,15.0,,,,,2.0,2.0,,4.0,1.0,,,3.0,1.0,,,1.0,,1.0,2.0,1.0,1.0,1.0,,,4.0,2.0,1.0,1.0,,2.0,,2.0,,,2.0,1.0,34.91,1.0,107120.74,1.0,1.0,,,,,3.2416,1.3355,3.0,,2.09527,,,1.0,,2.2724,,1.0,,1.0,,,,,,,2.0,3.0,,,,,,,,,1.0,,,,,,,,,,
33,2444794,2025-04-20 14:00:00,"Craven Cottage, London",27712,Away,Chelsea,Fulham,2,1,W,0,1,0,0,,3.0,62.0,,2.0,20.0,22.0,4.0,6.0,9.0,,3.0,162.0,6.0,7.0,9.0,1.0,8.0,149.0,116.0,38.0,13.0,,7.0,3.0,,,2.0,26.0,5.0,3.0,22.0,2.0,9.0,37.0,234.0,0.0,162.0,9.0,,,2.0,2.0,76.0,74.0,5.0,71.0,1.0,1.0,24.0,16.0,4.0,7.0,,116.0,1.0,3.0,146.0,705.0,5.0,3.0,31.0,6.0,444.0,14.0,2.0,13.0,,3.0,3.0,3.0,16.0,506.0,70.0,1.0,247632,3.0,237.0,1.0,15.0,243.0,5.0,3.0,6.0,7.0,33.0,1.0,,7.0,15.0,3.0,7.0,,42.0,465.0,12.0,4.0,8.0,,76.0,,0.0,1.0,6.0,,1.0,1.0,0.0,6.0,,1.0,59.3,14.0,1.0,9.0,4.0,,8.0,2.0,49.0,4.0,2.0,528.0,6.0,10.0,18.0,3.0,40.0,,3.0,311.0,6.0,9.0,10.0,116.0,30.0,13.0,9.0,1.0,9.0,4.0,11.0,6.0,4.0,,1.0,1.0,,2.0,3.0,1.0,1.0,,1.0,,,,1.0,1.0,2.0,1.0,1.0,,1.0,,1.0,2.0,,2.0,1.0,1.0,,,1.0,,1.0,,,,1.0,33.12,3.0,107138.59,2.0,,1.0,,,,1.1034,0.3582,,,1.03476,,,,,0.9041,,,,3.0,,,,,1.0,1.0,,2.0,,,,,,,,2.0,,,,,1.0,,,,,0.0312,
34,2444803,2025-04-26 12:30:00,"Stamford Bridge, London",39894,Home,Chelsea,Everton,1,0,W,1,0,0,0,,2.0,49.0,2.0,,24.0,20.0,5.0,3.0,5.0,3.0,2.0,159.0,4.0,17.0,8.0,1.0,7.0,136.0,123.0,62.0,10.0,1.0,8.0,4.0,,2.0,3.0,20.0,14.0,2.0,20.0,8.0,7.0,26.0,211.0,0.0,126.0,11.0,2.0,,,5.0,67.0,61.0,7.0,67.0,,1.0,13.0,10.0,5.0,4.0,1.0,123.0,,4.0,144.0,703.0,6.0,1.0,19.0,7.0,419.0,20.0,5.0,7.0,2.0,0.0,2.0,1.0,21.0,484.0,63.0,,247632,3.0,226.0,1.0,8.0,241.0,6.0,,2.0,5.0,41.0,1.0,1.0,6.0,16.0,2.0,3.0,,56.0,433.0,11.0,5.0,20.0,2.0,73.0,,0.0,,2.0,1.0,,1.0,0.0,2.0,1.0,2.0,54.7,21.0,,4.0,,,6.0,1.0,46.0,10.0,6.0,506.0,7.0,8.0,12.0,2.0,24.0,2.0,1.0,285.0,5.0,7.0,13.0,84.0,16.0,7.0,23.0,,7.0,4.0,26.0,2.0,10.0,,1.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,,2.0,,,,1.0,1.0,,1.0,1.0,,2.0,,32.5,1.0,105863.79,1.0,,,,,,1.7349,0.9855,,1.0,0.268882,,1.0,,,0.8812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2444814,2025-05-04 16:30:00,"Stamford Bridge, London",39829,Home,Chelsea,Liverpool,3,1,W,1,0,0,0,,2.0,57.0,,4.0,16.0,32.0,3.0,10.0,14.0,1.0,3.0,124.0,1.0,9.0,14.0,3.0,7.0,90.0,88.0,47.0,17.0,1.0,4.0,4.0,5.0,1.0,2.0,6.0,13.0,1.0,32.0,2.0,7.0,29.0,114.0,0.0,94.0,10.0,1.0,5.0,2.0,1.0,34.0,32.0,8.0,64.0,1.0,3.0,4.0,19.0,3.0,1.0,2.0,88.0,4.0,9.0,78.0,541.0,13.0,1.0,37.0,14.0,281.0,23.0,1.0,13.0,1.0,2.0,4.0,6.0,12.0,334.0,53.0,,517052,7.0,187.0,3.0,3.0,201.0,3.0,4.0,13.0,8.0,32.0,1.0,6.0,6.0,10.0,2.0,8.0,2.0,48.0,300.0,11.0,9.0,14.0,1.0,60.0,5.0,0.0,2.0,6.0,1.0,1.0,,0.0,1.0,2.0,1.0,35.2,12.0,1.0,5.0,3.0,,6.0,4.0,32.0,3.0,1.0,356.0,14.0,4.0,10.0,6.0,9.0,,3.0,161.0,6.0,6.0,8.0,62.0,22.0,13.0,19.0,1.0,15.0,3.0,14.0,13.0,3.0,2.0,1.0,1.0,,3.0,1.0,,1.0,1.0,1.0,,,1.0,,2.0,,,,2.0,1.0,,1.0,1.0,,1.0,3.0,1.0,1.0,,1.0,,1.0,,,,,34.16,,107535.64,,,,,,1.0,2.8971,0.2312,,,1.33622,,1.0,,,3.1339,,,1.0,,1.0,1.0,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,
36,2444825,2025-05-11 12:00:00,"St. James' Park, Newcastle",52231,Away,Chelsea,Newcastle United,0,2,L,0,1,1,0,1.0,3.0,41.0,,2.0,28.0,16.0,4.0,6.0,6.0,4.0,,141.0,3.0,13.0,8.0,,3.0,161.0,110.0,49.0,10.0,2.0,8.0,2.0,1.0,3.0,,23.0,7.0,1.0,16.0,6.0,7.0,33.0,292.0,0.0,162.0,13.0,,1.0,,,75.0,61.0,6.0,59.0,,,17.0,14.0,4.0,5.0,1.0,110.0,1.0,14.0,140.0,663.0,7.0,,23.0,5.0,415.0,17.0,6.0,5.0,3.0,2.0,3.0,2.0,9.0,473.0,60.0,,517052,3.0,147.0,1.0,12.0,160.0,5.0,1.0,7.0,12.0,35.0,2.0,,7.0,13.0,1.0,7.0,1.0,66.0,436.0,9.0,5.0,26.0,2.0,62.0,1.0,0.0,2.0,2.0,4.0,2.0,,1.0,2.0,,2.0,55.3,9.0,2.0,3.0,2.0,,7.0,4.0,34.0,8.0,,501.0,5.0,1.0,18.0,3.0,25.0,1.0,2.0,364.0,2.0,7.0,12.0,128.0,11.0,5.0,15.0,1.0,8.0,3.0,22.0,7.0,8.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,33.76,,98675.35,1.0,1.0,,,,,0.4766,1.8001,,,0.603229,,,,,0.6895,,,,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,
37,2444834,2025-05-16 20:15:00,"Stamford Bridge, London",39849,Home,Chelsea,Manchester United,1,0,W,0,0,0,0,,2.0,57.0,,1.0,17.0,15.0,5.0,5.0,6.0,1.0,,138.0,1.0,7.0,6.0,,3.0,108.0,134.0,46.0,11.0,3.0,14.0,1.0,,,1.0,13.0,15.0,1.0,15.0,3.0,10.0,27.0,170.0,0.0,125.0,10.0,1.0,,,2.0,60.0,63.0,3.0,57.0,,,10.0,22.0,5.0,1.0,,134.0,3.0,4.0,100.0,583.0,4.0,2.0,16.0,5.0,308.0,17.0,3.0,8.0,,1.0,,3.0,15.0,382.0,55.0,,109646,5.0,156.0,2.0,9.0,175.0,3.0,,10.0,2.0,49.0,1.0,3.0,7.0,14.0,,2.0,1.0,53.0,325.0,12.0,4.0,29.0,3.0,57.0,,0.0,2.0,2.0,1.0,1.0,1.0,0.0,,,2.0,46.6,13.0,1.0,4.0,,,7.0,4.0,25.0,7.0,2.0,403.0,5.0,10.0,12.0,4.0,15.0,1.0,3.0,241.0,4.0,10.0,9.0,87.0,29.0,8.0,18.0,1.0,7.0,2.0,20.0,10.0,7.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,,,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,,,,34.3,,107193.08,1.0,1.0,,,,1.0,0.8248,0.1654,,1.0,0.681599,,,,,0.8158,,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,1.0,0.0385,
38,2444846,2025-05-25 16:00:00,"The City Ground, Nottingham",30263,Away,Chelsea,Nottingham Forest,1,0,W,0,0,0,0,,1.0,48.0,1.0,,13.0,36.0,2.0,5.0,4.0,2.0,,141.0,1.0,4.0,5.0,,2.0,100.0,124.0,38.0,6.0,2.0,10.0,1.0,,,,11.0,10.0,,36.0,,11.0,20.0,163.0,0.0,131.0,11.0,,,1.0,5.0,64.0,55.0,4.0,71.0,,1.0,11.0,11.0,2.0,2.0,,124.0,2.0,8.0,97.0,577.0,4.0,3.0,11.0,4.0,304.0,19.0,2.0,21.0,,2.0,3.0,1.0,17.0,377.0,57.0,1.0,248857,1.0,165.0,2.0,8.0,180.0,6.0,,4.0,9.0,37.0,,1.0,5.0,12.0,2.0,6.0,1.0,51.0,327.0,10.0,2.0,26.0,2.0,72.0,,0.0,2.0,7.0,1.0,,,0.0,1.0,,,48.2,14.0,,5.0,2.0,,5.0,2.0,36.0,4.0,5.0,409.0,4.0,5.0,9.0,2.0,18.0,,2.0,240.0,1.0,11.0,9.0,83.0,14.0,21.0,15.0,,3.0,3.0,13.0,4.0,4.0,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,2.0,,2.0,,1.0,,,33.87,,101305.96,,,,,,1.0,1.1095,0.1179,,1.0,0.529987,,,,,1.0857,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,
