gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,attCmissRight,attPenTarget,freekickCross,goodHighClaim,contentiousDecision,attHdTarget,totalKeeperSweeper,bigChanceMissed,attCmissHigh,attMissHigh,punches,overrun,savedIbox,attBxLeft,clearanceOffLine,totalHighClaim,effectiveBlockedCross,goalsConcededIbox,blockedCross,attGoalLowRight,attLfGoal,attGoalLowCentre,attFreekickTotal,attOboxBlocked,postScoringAtt,attSvLowCentre,attIboxPost,ptsGainedLosingPos,attSvHighLeft,freekickTotal,bigChanceCreated,hitWoodwork,attMissHighLeft,totalPullBack,attCmissHighLeft,attPostHigh,forwardGoals,cleanSheet,accurateFreekickCross,attSetpiece,attAssistSetplay,attCmissLeft,attHdGoal,attGoalHighCentre,sixYardBlock,ptsDroppedWinningPos,attMissHighRight,errorLeadToShot,accuratePullBack,accurateKeeperSweeper,attSvHighRight,attFreekickTarget,attSvHighCentre,attOneOnOne,attGoalHighLeft,attOboxPost,attPostRight,goalFastbreak,winningGoal,attFreekickPost,keeperGoals,subsGoals,penaltyConceded,ownGoals,attObpGoal,attFreekickGoal,foulThrowIn,penaltyFaced,penGoalsConceded,attHdPost,attFreekickMiss,attIboxOwnGoal,attObxRight,attObxLeft,secondYellow,penaltySave
27,2128549,2021-03-08 18:00:00,"Stamford Bridge, London",,Home,Chelsea,Everton,2,0,W,1,0,0,0,,1.0,4.0,1.0,33.0,56.0,1.0,1.0,2.0,,,20.0,11.0,7.0,5.0,11.0,1.0,3.0,221.0,19.0,3.0,16.0,2.0,3.0,14.0,9.0,184.0,112.0,61.0,19.0,12.0,6.0,,1.0,,4.0,11.0,9.0,,2.0,11.0,5.0,14.0,28.0,262.0,,1.0,0.0,130.0,11.0,1.0,,1.0,3.0,85.0,86.0,10.0,127.0,,1.0,6.0,15.0,8.0,,4.0,112.0,2.0,181.0,882.0,12.0,3.0,22.0,8.0,619.0,25.0,3.0,5.0,,0.0,2.0,4.0,20.0,695.0,53.0,3.0,91651,8.0,376.0,5.0,401.0,3.0,1.0,15.0,6.0,38.0,4.0,,1.0,6.0,,14.0,5.0,5.0,1.0,44.0,635.0,12.0,6.0,12.0,3.0,68.0,,1.0,0.0,3.0,2.0,,1.0,0.0,1.0,,2.0,2.0,65.5,20.0,1.0,4.0,6.0,4.0,51.0,7.0,713.0,8.0,5.0,9.0,6.0,23.0,2.0,2.0,323.0,12.0,14.0,15.0,96.0,19.0,5.0,18.0,13.0,3.0,21.0,,5.0,7.0,,,1.0,,1.0,1.0,1.0,4.0,,,,1.0,,2.0,,,,,,,,,1.0,2.0,,2.0,,,,1.0,3.0,,,1.0,,,,1.0,,1.0,2.0,2.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,
28,2128560,2021-03-13 12:30:00,"Elland Road, Leeds",,Away,Chelsea,Leeds United,0,0,D,0,0,0,0,,,,,45.0,70.0,,2.0,1.0,,,25.0,20.0,6.0,4.0,9.0,4.0,7.0,213.0,28.0,5.0,11.0,,1.0,14.0,8.0,135.0,144.0,54.0,15.0,7.0,6.0,,3.0,,1.0,15.0,12.0,,2.0,20.0,5.0,25.0,42.0,276.0,,,0.0,188.0,6.0,2.0,,,,96.0,80.0,12.0,113.0,,1.0,10.0,20.0,6.0,1.0,,144.0,4.0,127.0,797.0,14.0,2.0,27.0,14.0,470.0,28.0,2.0,11.0,,0.0,3.0,2.0,20.0,563.0,64.0,,91651,5.0,221.0,8.0,244.0,2.0,,20.0,4.0,37.0,1.0,,3.0,4.0,,20.0,3.0,4.0,,49.0,492.0,16.0,11.0,7.0,,54.0,,3.0,0.0,8.0,,,,0.0,3.0,,1.0,2.0,62.3,19.0,1.0,4.0,4.0,5.0,37.0,5.0,588.0,14.0,4.0,19.0,2.0,29.0,2.0,2.0,359.0,9.0,22.0,10.0,141.0,34.0,11.0,17.0,15.0,3.0,20.0,,9.0,5.0,,,1.0,,,1.0,,,,,,1.0,2.0,,,,4.0,,4.0,,,,,4.0,,4.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
29,2128570,2021-03-04 20:15:00,"Anfield, Liverpool",,Away,Chelsea,Liverpool,1,0,W,1,0,0,0,,,3.0,,27.0,71.0,,,1.0,,,25.0,30.0,4.0,4.0,7.0,1.0,1.0,200.0,14.0,,8.0,1.0,1.0,10.0,5.0,130.0,126.0,45.0,11.0,10.0,4.0,,,1.0,,12.0,14.0,,,30.0,2.0,11.0,44.0,142.0,,,0.0,87.0,8.0,,,,2.0,55.0,35.0,5.0,93.0,3.0,2.0,10.0,13.0,4.0,3.0,4.0,126.0,4.0,126.0,738.0,9.0,3.0,17.0,11.0,453.0,29.0,6.0,11.0,1.0,0.0,2.0,5.0,16.0,532.0,37.0,1.0,91651,4.0,327.0,6.0,367.0,4.0,1.0,13.0,8.0,51.0,2.0,,4.0,12.0,1.0,13.0,3.0,8.0,,57.0,469.0,9.0,19.0,20.0,,52.0,,1.0,0.0,5.0,1.0,,1.0,0.0,,,,,45.8,15.0,,5.0,12.0,1.0,31.0,2.0,549.0,11.0,10.0,27.0,5.0,20.0,,1.0,194.0,7.0,10.0,9.0,68.0,24.0,11.0,19.0,11.0,3.0,12.0,,4.0,2.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
30,2128578,2021-04-03 12:30:00,"Stamford Bridge, London",,Home,Chelsea,West Bromwich Albion,2,5,L,1,2,1,0,1.0,,2.0,2.0,37.0,58.0,,1.0,1.0,,,18.0,11.0,6.0,4.0,11.0,2.0,4.0,169.0,19.0,6.0,9.0,2.0,2.0,14.0,8.0,159.0,137.0,44.0,18.0,12.0,4.0,1.0,2.0,1.0,2.0,18.0,7.0,,2.0,11.0,10.0,3.0,37.0,246.0,,,0.0,171.0,11.0,1.0,1.0,,2.0,54.0,74.0,9.0,87.0,2.0,1.0,8.0,17.0,7.0,2.0,2.0,137.0,7.0,166.0,756.0,9.0,3.0,33.0,10.0,477.0,20.0,1.0,5.0,1.0,1.0,3.0,5.0,22.0,562.0,45.0,1.0,91651,8.0,254.0,6.0,277.0,8.0,1.0,17.0,5.0,52.0,2.0,,1.0,5.0,1.0,15.0,7.0,3.0,,42.0,494.0,6.0,10.0,11.0,5.0,58.0,1.0,2.0,0.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,,2.0,66.2,20.0,2.0,7.0,5.0,4.0,39.0,10.0,581.0,10.0,12.0,20.0,6.0,43.0,5.0,4.0,322.0,11.0,3.0,12.0,125.0,26.0,5.0,17.0,10.0,3.0,16.0,,10.0,10.0,,,,,,,,2.0,,3.0,,1.0,1.0,1.0,,,,4.0,,1.0,1.0,1.0,2.0,3.0,,1.0,,,,2.0,2.0,2.0,,1.0,,,1.0,,,1.0,4.0,1.0,,,,3.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,
31,2128588,2021-04-10 17:30:00,"Selhurst Park, London",,Away,Chelsea,Crystal Palace,4,1,W,3,0,0,0,,1.0,1.0,2.0,29.0,65.0,2.0,,5.0,1.0,1.0,30.0,9.0,4.0,8.0,19.0,,4.0,195.0,15.0,11.0,9.0,4.0,3.0,22.0,10.0,219.0,127.0,52.0,23.0,27.0,5.0,1.0,6.0,2.0,,25.0,14.0,1.0,1.0,9.0,8.0,8.0,33.0,383.0,,,0.0,219.0,12.0,,1.0,,1.0,93.0,136.0,16.0,133.0,1.0,2.0,17.0,22.0,4.0,2.0,1.0,127.0,1.0,235.0,962.0,16.0,2.0,38.0,9.0,689.0,25.0,2.0,3.0,3.0,0.0,,6.0,17.0,770.0,62.0,1.0,91651,8.0,327.0,13.0,356.0,5.0,,22.0,4.0,59.0,1.0,1.0,2.0,1.0,3.0,9.0,,3.0,,51.0,699.0,6.0,8.0,14.0,4.0,70.0,1.0,2.0,0.0,,4.0,1.0,,0.0,5.0,3.0,1.0,4.0,64.3,14.0,1.0,6.0,1.0,7.0,54.0,8.0,782.0,9.0,9.0,23.0,6.0,33.0,6.0,5.0,451.0,11.0,4.0,17.0,183.0,32.0,3.0,20.0,18.0,3.0,14.0,,16.0,8.0,,,2.0,,,1.0,,4.0,,2.0,,2.0,,3.0,,,3.0,1.0,3.0,,3.0,,,2.0,,3.0,,,,,5.0,,,1.0,,,3.0,,1.0,1.0,3.0,,1.0,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
32,2128598,2021-04-20 20:15:00,"Stamford Bridge, London",,Home,Chelsea,Brighton and Hove Albion,0,0,D,0,0,0,1,,,1.0,,44.0,63.0,,1.0,1.0,,,13.0,9.0,1.0,3.0,6.0,2.0,2.0,186.0,25.0,3.0,15.0,,2.0,6.0,4.0,223.0,143.0,41.0,7.0,14.0,3.0,,1.0,,2.0,11.0,2.0,,1.0,9.0,,11.0,32.0,265.0,,,0.0,148.0,8.0,1.0,,,,90.0,61.0,4.0,113.0,1.0,,11.0,15.0,1.0,1.0,,143.0,5.0,218.0,924.0,5.0,5.0,18.0,10.0,640.0,24.0,1.0,5.0,,2.0,5.0,2.0,19.0,725.0,45.0,,85955,4.0,392.0,8.0,426.0,4.0,,15.0,7.0,53.0,2.0,,3.0,12.0,,19.0,6.0,7.0,,37.0,654.0,8.0,6.0,11.0,,67.0,,,0.0,3.0,,,,0.0,3.0,,2.0,1.0,64.4,18.0,,3.0,12.0,1.0,51.0,,740.0,10.0,13.0,11.0,2.0,17.0,,2.0,325.0,3.0,9.0,10.0,115.0,24.0,5.0,8.0,6.0,3.0,27.0,,5.0,,,,2.0,,,1.0,,1.0,,,,1.0,1.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
33,2128614,2021-04-24 17:30:00,"London Stadium, London",,Away,Chelsea,West Ham United,1,0,W,1,0,0,1,,,2.0,1.0,29.0,62.0,,2.0,2.0,,,21.0,23.0,7.0,6.0,10.0,2.0,3.0,181.0,12.0,2.0,8.0,1.0,3.0,14.0,6.0,135.0,143.0,62.0,17.0,17.0,3.0,,3.0,1.0,,9.0,14.0,,2.0,23.0,1.0,6.0,38.0,260.0,,,0.0,156.0,11.0,1.0,,,2.0,64.0,75.0,10.0,111.0,,3.0,8.0,22.0,7.0,1.0,2.0,143.0,3.0,139.0,776.0,13.0,2.0,32.0,9.0,464.0,24.0,1.0,16.0,1.0,4.0,3.0,4.0,21.0,548.0,58.0,,85955,5.0,218.0,6.0,254.0,7.0,1.0,22.0,5.0,53.0,,,3.0,4.0,1.0,18.0,6.0,3.0,,48.0,476.0,9.0,7.0,10.0,,73.0,,1.0,0.0,4.0,1.0,,,0.0,2.0,1.0,1.0,1.0,55.5,15.0,1.0,7.0,4.0,5.0,46.0,2.0,566.0,9.0,11.0,16.0,6.0,21.0,,4.0,321.0,10.0,5.0,23.0,123.0,25.0,16.0,22.0,14.0,3.0,15.0,,13.0,2.0,,,1.0,2.0,,,1.0,2.0,,1.0,,1.0,,,,2.0,2.0,,2.0,,,1.0,1.0,3.0,,1.0,,,,1.0,2.0,,2.0,,,,1.0,1.0,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,2128618,2021-05-01 17:30:00,"Stamford Bridge, London",,Home,Chelsea,Fulham,2,0,W,1,0,0,0,,1.0,2.0,2.0,37.0,58.0,,2.0,1.0,,,29.0,25.0,2.0,6.0,7.0,3.0,1.0,173.0,17.0,,9.0,2.0,2.0,7.0,5.0,133.0,126.0,51.0,9.0,12.0,3.0,1.0,,2.0,1.0,3.0,11.0,,,25.0,1.0,6.0,35.0,205.0,,,0.0,132.0,15.0,3.0,1.0,,1.0,68.0,51.0,6.0,88.0,,,2.0,24.0,2.0,,,126.0,5.0,117.0,699.0,5.0,2.0,26.0,4.0,419.0,25.0,3.0,17.0,2.0,1.0,3.0,1.0,16.0,493.0,45.0,,85955,5.0,230.0,2.0,257.0,9.0,,24.0,8.0,58.0,3.0,,7.0,5.0,2.0,15.0,5.0,7.0,,49.0,435.0,7.0,11.0,8.0,,57.0,1.0,,0.0,8.0,2.0,,,0.0,,2.0,1.0,1.0,48.7,14.0,1.0,10.0,5.0,3.0,38.0,1.0,511.0,4.0,7.0,21.0,1.0,11.0,,1.0,257.0,2.0,6.0,11.0,98.0,15.0,17.0,24.0,5.0,3.0,23.0,,13.0,1.0,,,,,1.0,,,1.0,,,,2.0,1.0,1.0,,,,,,2.0,2.0,,1.0,2.0,,2.0,,,,1.0,3.0,,,,,,2.0,1.0,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
35,2128632,2021-05-08 17:30:00,"Etihad Stadium, Manchester",,Away,Chelsea,Manchester City,2,1,W,0,1,0,0,,,3.0,,23.0,53.0,,2.0,,,,19.0,11.0,7.0,4.0,5.0,3.0,,151.0,12.0,2.0,10.0,2.0,2.0,10.0,5.0,159.0,103.0,47.0,12.0,5.0,1.0,1.0,,2.0,1.0,12.0,9.0,,2.0,11.0,2.0,3.0,33.0,193.0,,,0.0,113.0,10.0,1.0,1.0,1.0,1.0,59.0,48.0,6.0,97.0,,1.0,10.0,15.0,7.0,4.0,2.0,103.0,8.0,173.0,738.0,7.0,1.0,17.0,3.0,502.0,26.0,1.0,5.0,2.0,0.0,4.0,3.0,15.0,558.0,37.0,,85955,3.0,332.0,5.0,360.0,5.0,1.0,15.0,9.0,42.0,,,5.0,7.0,2.0,10.0,8.0,9.0,,31.0,523.0,12.0,9.0,7.0,,41.0,1.0,,0.0,6.0,2.0,1.0,,0.0,1.0,2.0,1.0,,51.7,13.0,,2.0,7.0,3.0,32.0,2.0,580.0,3.0,7.0,19.0,4.0,19.0,1.0,2.0,232.0,8.0,2.0,10.0,93.0,16.0,5.0,15.0,11.0,3.0,21.0,1.0,5.0,2.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,3.0,1.0,3.0,1.0,1.0,,1.0,3.0,,,,3.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0
36,2128641,2021-05-12 20:15:00,"Stamford Bridge, London",,Home,Chelsea,Arsenal,0,1,L,0,1,0,0,,2.0,1.0,,,51.0,,,3.0,,,18.0,5.0,5.0,4.0,14.0,2.0,3.0,188.0,,10.0,12.0,,,16.0,5.0,215.0,136.0,38.0,19.0,8.0,5.0,1.0,1.0,,2.0,32.0,4.0,,,5.0,9.0,3.0,42.0,432.0,,,0.0,287.0,7.0,1.0,1.0,,,98.0,144.0,10.0,121.0,1.0,2.0,23.0,18.0,5.0,8.0,3.0,136.0,3.0,241.0,938.0,13.0,2.0,53.0,6.0,672.0,16.0,,2.0,,0.0,2.0,6.0,20.0,751.0,67.0,,85955,9.0,264.0,15.0,280.0,2.0,,18.0,4.0,31.0,1.0,,4.0,7.0,,15.0,2.0,4.0,,39.0,686.0,5.0,4.0,6.0,5.0,53.0,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,5.0,,,7.0,67.7,19.0,4.0,5.0,7.0,5.0,31.0,9.0,765.0,6.0,4.0,18.0,9.0,56.0,5.0,5.0,517.0,8.0,1.0,17.0,244.0,23.0,2.0,4.0,14.0,3.0,22.0,1.0,9.0,9.0,1.0,,,,1.0,1.0,,2.0,1.0,3.0,,1.0,1.0,2.0,,,,1.0,,,,,,2.0,1.0,3.0,1.0,,,,,2.0,,1.0,,1.0,,,,,3.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
37,2128648,2021-05-18 20:15:00,"Stamford Bridge, London",7195.0,Home,Chelsea,Leicester City,2,1,W,0,0,0,0,,1.0,1.0,2.0,28.0,56.0,1.0,2.0,5.0,,,20.0,18.0,2.0,3.0,15.0,2.0,3.0,178.0,12.0,4.0,10.0,2.0,3.0,12.0,6.0,150.0,134.0,61.0,17.0,15.0,4.0,1.0,3.0,,2.0,17.0,13.0,,,18.0,6.0,5.0,31.0,224.0,,1.0,0.0,137.0,15.0,,1.0,1.0,1.0,56.0,74.0,8.0,64.0,,1.0,11.0,16.0,2.0,2.0,1.0,134.0,4.0,157.0,760.0,10.0,5.0,30.0,12.0,445.0,27.0,1.0,10.0,,2.0,1.0,4.0,25.0,526.0,59.0,1.0,91651,4.0,246.0,7.0,271.0,8.0,1.0,16.0,7.0,58.0,1.0,1.0,1.0,5.0,,9.0,3.0,6.0,1.0,44.0,466.0,15.0,6.0,12.0,4.0,59.0,1.0,1.0,0.0,5.0,2.0,1.0,2.0,0.0,1.0,,,3.0,58.6,23.0,1.0,3.0,5.0,6.0,39.0,6.0,549.0,12.0,12.0,17.0,5.0,34.0,3.0,4.0,295.0,11.0,4.0,17.0,97.0,20.0,10.0,19.0,10.0,3.0,21.0,,10.0,6.0,,,2.0,2.0,2.0,,,1.0,1.0,2.0,,3.0,,4.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,2.0,,,,,,2.0,2.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
38,2128657,2021-05-23 16:00:00,"Villa Park, Birmingham",10000.0,Away,Chelsea,Aston Villa,1,2,L,0,1,1,0,,,4.0,1.0,26.0,64.0,,,2.0,,,21.0,6.0,8.0,9.0,15.0,1.0,2.0,174.0,12.0,8.0,3.0,1.0,2.0,19.0,7.0,185.0,140.0,44.0,23.0,20.0,4.0,,2.0,1.0,3.0,40.0,8.0,,2.0,6.0,9.0,6.0,33.0,340.0,,,0.0,228.0,12.0,1.0,,1.0,2.0,84.0,101.0,10.0,79.0,1.0,3.0,31.0,24.0,8.0,7.0,3.0,140.0,4.0,160.0,797.0,18.0,4.0,48.0,9.0,518.0,23.0,3.0,3.0,1.0,4.0,,9.0,27.0,582.0,63.0,,91651,9.0,200.0,22.0,211.0,8.0,,24.0,4.0,54.0,,,2.0,4.0,1.0,19.0,2.0,3.0,,34.0,532.0,11.0,8.0,6.0,2.0,71.0,,1.0,0.0,2.0,1.0,2.0,2.0,1.0,8.0,1.0,,2.0,71.2,22.0,2.0,7.0,4.0,5.0,54.0,9.0,598.0,9.0,8.0,18.0,11.0,51.0,,8.0,427.0,12.0,6.0,12.0,195.0,29.0,3.0,18.0,19.0,3.0,9.0,,12.0,9.0,,,2.0,,1.0,,,6.0,,2.0,,2.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,1.0,,3.0,,,,,,,6.0,,3.0,1.0,1.0,,,,,2.0,,1.0,,,1.0,,,1.0,1.0,,2.0,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,
