gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,attGoalLowCentre,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,attMissRight,totalCrossNocorner,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,punches,redCard,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,subsMade,totalContest,wonCorners,attIboxBlocked,attFreekickTotal,freekickTotal,attSetpiece,attObxdLeft,attGoalHighLeft,attFreekickGoal,accurateFlickOn,shieldBallOop,effectiveBlockedCross,blockedCross,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attLfGoal,postScoringAtt,attMissHighRight,hitWoodwork,sixYardBlock,defenderGoals,attOboxPost,attPostHigh,goalsConceded,goalsConcededIbox,errorLeadToGoal,goalsConcededObox,goalFastbreak,attIboxPost,attHdPost,attSvLowRight,attHdTarget,interceptionsInBox,attFreekickMiss,attObxLeft,attMissHighLeft,attFreekickTarget,attObxRight,attBxRight,totalFastbreak,freekickCross,attLgCentre,accurateFreekickCross,attBxCentre,attCmissHigh,attCmissHighLeft,goalsOpenplay,attCmissLeft,attBxLeft,attOpenplay,fouledFinalThird,attSvHighRight,ownGoals,attIboxOwnGoal,attemptsIbox,saves,rightsidePass,attSvHighLeft,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attObpGoal,attCmissRight,ptsDroppedWinningPos,attObxdRight,clearanceOffLine,attPostRight,penaltySave,penaltyConceded,penaltyFaced
29,266527,2009-03-15 13:30:00,"Stamford Bridge, London",41810.0,Home,Chelsea,Manchester City,1,0,W,1,0,0,0,1.0,1.0,60.0,,1.0,33.0,32.0,8.0,7.0,1.0,,6.0,8.0,1.0,18.0,3.0,155.0,64.0,24.0,4.0,11.0,2.0,5.0,,,4.0,15.0,21.0,1.0,,12.0,4.0,22.0,22.0,255.0,1.0,,,0.0,180.0,8.0,,1.0,,,51.0,55.0,8.0,3.0,11.0,,3.0,4.0,135.0,1.0,771.0,15.0,15.0,8.0,15.0,5.0,17.0,1.0,0.0,2.0,10.0,32.0,82.0,3.0,,8442,148.0,8.0,159.0,1.0,12.0,49.0,7.0,6.0,4.0,6.0,8.0,2.0,,52.0,397.0,7.0,5.0,2.0,21.0,91.0,5.0,,0.0,2.0,,1.0,0.0,4.0,1.0,3.0,54.3,28.0,3.0,9.0,,4.0,10.0,57.0,5.0,,483.0,8.0,17.0,15.0,11.0,28.0,2.0,6.0,339.0,12.0,19.0,20.0,123.0,30.0,,6.0,29.0,,2.0,17.0,5.0,6.0,1.0,1.0,1.0,,,,3.0,,2.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,2.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
30,266541,2009-03-21 15:00:00,"White Hart Lane, London",36034.0,Away,Chelsea,Tottenham Hotspur,0,1,L,0,0,0,0,,2.0,67.0,,2.0,37.0,31.0,8.0,6.0,4.0,,9.0,5.0,,17.0,7.0,158.0,57.0,20.0,4.0,9.0,5.0,,,,2.0,27.0,16.0,,2.0,17.0,7.0,26.0,42.0,238.0,,,,0.0,171.0,8.0,1.0,,3.0,3.0,27.0,63.0,11.0,1.0,20.0,,7.0,2.0,144.0,6.0,749.0,14.0,9.0,11.0,20.0,4.0,18.0,,2.0,1.0,6.0,27.0,88.0,1.0,,8442,159.0,10.0,177.0,,8.0,44.0,3.0,3.0,7.0,6.0,4.0,3.0,,64.0,388.0,13.0,8.0,3.0,26.0,85.0,,,0.0,8.0,2.0,,0.0,6.0,,5.0,59.7,25.0,3.0,15.0,1.0,7.0,6.0,47.0,7.0,3.0,486.0,11.0,11.0,26.0,7.0,34.0,3.0,4.0,336.0,8.0,25.0,20.0,109.0,20.0,,9.0,19.0,,2.0,13.0,8.0,2.0,3.0,3.0,1.0,,,,5.0,,1.0,1.0,,,,,1.0,,1.0,2.0,,,1.0,1.0,1.0,,,,1.0,1.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,266551,2009-04-04 15:00:00,"St. James' Park, Newcastle",52112.0,Away,Chelsea,Newcastle United,2,0,W,0,0,0,0,1.0,1.0,63.0,,,31.0,41.0,5.0,3.0,4.0,1.0,3.0,10.0,2.0,13.0,10.0,167.0,52.0,16.0,1.0,7.0,6.0,,1.0,3.0,,19.0,21.0,,2.0,20.0,6.0,22.0,22.0,209.0,1.0,,,0.0,134.0,20.0,,2.0,2.0,6.0,55.0,52.0,12.0,1.0,13.0,,3.0,2.0,146.0,5.0,774.0,10.0,9.0,20.0,13.0,12.0,20.0,1.0,2.0,3.0,1.0,20.0,80.0,4.0,,8442,198.0,9.0,217.0,,9.0,56.0,6.0,4.0,8.0,2.0,1.0,,,58.0,404.0,7.0,5.0,2.0,38.0,99.0,,1.0,0.0,4.0,2.0,2.0,0.0,1.0,1.0,4.0,58.5,17.0,,5.0,,8.0,3.0,51.0,6.0,6.0,493.0,20.0,15.0,13.0,3.0,22.0,2.0,1.0,295.0,9.0,22.0,13.0,88.0,30.0,,8.0,22.0,1.0,2.0,21.0,6.0,2.0,,,,,,,2.0,,4.0,4.0,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
32,266555,2009-04-11 15:00:00,"Stamford Bridge, London",41096.0,Home,Chelsea,Bolton Wanderers,4,3,W,1,0,0,0,,1.0,65.0,,2.0,34.0,27.0,13.0,7.0,5.0,,3.0,8.0,4.0,18.0,10.0,144.0,55.0,26.0,1.0,13.0,3.0,,2.0,2.0,2.0,19.0,10.0,1.0,3.0,17.0,5.0,34.0,38.0,313.0,,,1.0,0.0,206.0,11.0,1.0,2.0,2.0,3.0,68.0,46.0,10.0,2.0,14.0,1.0,5.0,9.0,134.0,10.0,828.0,15.0,7.0,11.0,9.0,6.0,18.0,3.0,0.0,2.0,8.0,17.0,87.0,1.0,1.0,41135,183.0,9.0,192.0,3.0,11.0,47.0,1.0,3.0,3.0,9.0,3.0,4.0,1.0,60.0,493.0,17.0,3.0,,21.0,94.0,,3.0,0.0,5.0,,4.0,0.0,2.0,3.0,1.0,69.8,14.0,1.0,21.0,,4.0,4.0,57.0,8.0,4.0,576.0,11.0,12.0,15.0,12.0,25.0,1.0,3.0,403.0,18.0,34.0,17.0,151.0,25.0,2.0,12.0,13.0,,2.0,16.0,8.0,3.0,1.0,1.0,1.0,,,,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,,3.0,,,,,,3.0,3.0,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
33,266565,2009-04-22 20:00:00,"Stamford Bridge, London",41556.0,Home,Chelsea,Everton,0,0,D,0,0,0,0,,1.0,87.0,,,39.0,29.0,10.0,3.0,2.0,,11.0,9.0,,20.0,4.0,156.0,49.0,24.0,3.0,8.0,1.0,,,1.0,3.0,33.0,13.0,,3.0,14.0,4.0,38.0,43.0,291.0,1.0,,,0.0,179.0,10.0,3.0,,,,53.0,60.0,9.0,2.0,29.0,,12.0,6.0,141.0,9.0,802.0,16.0,16.0,24.0,17.0,13.0,20.0,,0.0,3.0,11.0,22.0,101.0,,,8442,123.0,16.0,133.0,,9.0,40.0,4.0,6.0,1.0,6.0,3.0,5.0,,70.0,403.0,11.0,3.0,4.0,35.0,93.0,,1.0,0.0,6.0,4.0,,0.0,8.0,,4.0,59.0,20.0,3.0,17.0,1.0,2.0,7.0,63.0,4.0,,488.0,24.0,9.0,29.0,13.0,34.0,3.0,6.0,388.0,15.0,30.0,13.0,125.0,46.0,,8.0,16.0,,3.0,19.0,4.0,4.0,2.0,2.0,2.0,1.0,,,9.0,,,,,,,,1.0,2.0,1.0,1.0,,,1.0,,,,,,1.0,,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,266583,2009-04-25 15:00:00,"Boleyn Ground, London",34749.0,Away,Chelsea,West Ham United,1,0,W,0,0,0,0,1.0,,72.0,,2.0,30.0,28.0,14.0,9.0,4.0,,3.0,8.0,1.0,15.0,5.0,144.0,45.0,23.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,26.0,17.0,1.0,2.0,16.0,4.0,22.0,24.0,336.0,1.0,,,0.0,226.0,13.0,3.0,,1.0,,89.0,85.0,6.0,4.0,22.0,,5.0,8.0,132.0,7.0,871.0,14.0,6.0,19.0,12.0,4.0,13.0,1.0,0.0,3.0,9.0,27.0,103.0,1.0,,8442,169.0,16.0,186.0,1.0,7.0,40.0,3.0,,3.0,5.0,4.0,2.0,,57.0,502.0,9.0,7.0,,27.0,88.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,1.0,1.0,63.7,24.0,1.0,22.0,,3.0,5.0,60.0,5.0,,586.0,19.0,10.0,20.0,13.0,32.0,,4.0,426.0,13.0,21.0,8.0,170.0,31.0,1.0,5.0,20.0,,3.0,17.0,5.0,1.0,2.0,2.0,1.0,,,,1.0,,2.0,2.0,,,,,1.0,2.0,1.0,,,,1.0,,,,,,1.0,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0
35,266585,2009-05-02 15:00:00,"Stamford Bridge, London",41801.0,Home,Chelsea,Fulham,3,1,W,2,1,0,0,1.0,,69.0,1.0,1.0,44.0,24.0,7.0,5.0,1.0,2.0,5.0,11.0,3.0,12.0,4.0,127.0,52.0,15.0,1.0,9.0,,1.0,3.0,,1.0,21.0,15.0,,1.0,11.0,4.0,28.0,28.0,314.0,,,,0.0,196.0,7.0,,1.0,,2.0,63.0,68.0,6.0,5.0,17.0,,5.0,5.0,114.0,4.0,882.0,9.0,10.0,16.0,26.0,12.0,15.0,3.0,0.0,3.0,6.0,14.0,86.0,2.0,,8442,250.0,11.0,266.0,1.0,8.0,26.0,5.0,1.0,8.0,7.0,4.0,2.0,,57.0,559.0,7.0,2.0,,24.0,92.0,1.0,1.0,0.0,4.0,,3.0,0.0,4.0,3.0,2.0,59.3,12.0,2.0,8.0,,8.0,3.0,69.0,5.0,2.0,641.0,16.0,5.0,18.0,8.0,22.0,1.0,3.0,396.0,8.0,24.0,15.0,146.0,25.0,2.0,6.0,18.0,,3.0,15.0,5.0,2.0,2.0,2.0,,,,,3.0,,1.0,1.0,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
36,266594,2009-05-10 16:00:00,"Emirates Stadium, London",60075.0,Away,Chelsea,Arsenal,4,1,W,2,0,0,0,,2.0,51.0,1.0,,29.0,25.0,7.0,8.0,,1.0,3.0,8.0,4.0,12.0,5.0,124.0,71.0,18.0,2.0,9.0,2.0,,1.0,2.0,1.0,8.0,17.0,,,12.0,2.0,19.0,30.0,159.0,,1.0,,0.0,123.0,14.0,4.0,1.0,,6.0,38.0,20.0,7.0,1.0,6.0,,1.0,5.0,111.0,17.0,655.0,10.0,12.0,22.0,16.0,15.0,13.0,2.0,0.0,3.0,5.0,12.0,69.0,2.0,,8442,221.0,3.0,234.0,1.0,13.0,45.0,7.0,3.0,9.0,3.0,11.0,2.0,,56.0,377.0,19.0,6.0,,35.0,92.0,,1.0,0.0,6.0,5.0,3.0,0.0,3.0,1.0,1.0,49.5,11.0,,5.0,,9.0,5.0,56.0,2.0,6.0,461.0,22.0,11.0,16.0,8.0,18.0,,2.0,235.0,9.0,19.0,17.0,71.0,16.0,1.0,4.0,27.0,1.0,2.0,13.0,2.0,3.0,1.0,1.0,1.0,,1.0,,4.0,,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,2.0,1.0,,1.0,,,1.0,,2.0,1.0,1.0,5.0,2.0,,2.0,,2.0,14.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,
37,266605,2009-05-17 16:00:00,"Stamford Bridge, London",,Home,Chelsea,Blackburn Rovers,2,0,W,1,0,0,0,,2.0,74.0,1.0,2.0,32.0,36.0,10.0,7.0,4.0,,9.0,8.0,2.0,19.0,8.0,145.0,44.0,23.0,5.0,5.0,4.0,,2.0,4.0,3.0,27.0,20.0,,2.0,15.0,2.0,27.0,38.0,272.0,1.0,,,0.0,177.0,7.0,2.0,1.0,2.0,3.0,64.0,35.0,11.0,1.0,25.0,,3.0,3.0,124.0,4.0,818.0,16.0,8.0,11.0,22.0,2.0,17.0,2.0,1.0,3.0,8.0,12.0,75.0,1.0,,8442,212.0,21.0,227.0,1.0,8.0,38.0,3.0,2.0,12.0,6.0,4.0,3.0,,43.0,475.0,6.0,4.0,1.0,7.0,72.0,,2.0,0.0,4.0,1.0,2.0,0.0,8.0,2.0,2.0,58.5,9.0,1.0,23.0,,13.0,6.0,51.0,2.0,3.0,548.0,11.0,12.0,23.0,9.0,23.0,1.0,5.0,348.0,14.0,26.0,5.0,132.0,15.0,1.0,4.0,24.0,1.0,,19.0,2.0,1.0,1.0,1.0,,,,,3.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,266621,2009-05-24 16:00:00,"Stadium of Light, Sunderland",42468.0,Away,Chelsea,Sunderland,3,2,W,0,0,0,0,,1.0,59.0,,1.0,36.0,34.0,9.0,5.0,6.0,,8.0,7.0,3.0,13.0,10.0,141.0,36.0,19.0,2.0,3.0,4.0,,1.0,2.0,1.0,26.0,9.0,1.0,3.0,15.0,5.0,28.0,39.0,281.0,,2.0,,0.0,157.0,7.0,2.0,,,5.0,89.0,35.0,9.0,2.0,21.0,,8.0,3.0,122.0,6.0,830.0,9.0,4.0,12.0,19.0,3.0,16.0,1.0,1.0,6.0,4.0,18.0,76.0,,,8442,227.0,11.0,238.0,3.0,6.0,47.0,1.0,,10.0,6.0,6.0,,,48.0,500.0,8.0,8.0,3.0,7.0,85.0,,1.0,0.0,6.0,1.0,1.0,0.0,4.0,,2.0,62.9,17.0,2.0,7.0,1.0,10.0,3.0,69.0,7.0,7.0,574.0,12.0,14.0,23.0,6.0,24.0,4.0,2.0,362.0,12.0,25.0,6.0,108.0,21.0,2.0,8.0,15.0,,3.0,22.0,7.0,1.0,,,,,1.0,,2.0,1.0,5.0,5.0,1.0,,,,1.0,2.0,1.0,,1.0,,1.0,2.0,2.0,1.0,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,
