gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowRight,savedObox,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,attCmissRight,postScoringAtt,attGoalHighRight,attMissHighRight,bigChanceCreated,attHdTarget,hitWoodwork,attMissHighLeft,attMissHigh,attSvLowRight,attFreekickGoal,attOboxPost,goalsConceded,accurateFlickOn,accurateCrossNocorner,attPostRight,forwardGoals,goalsConcededIbox,attIboxPost,attSvHighRight,ptsGainedLosingPos,freekickCross,attFreekickPost,contentiousDecision,accurateThroughBall,accurateFreekickCross,defenderGoals,attPostHigh,foulThrowIn,attHdGoal,attObxdLeft,shieldBallOop,attGoalHighCentre,attGoalLowCentre,accurateKeeperSweeper,attPostLeft,attHdPost,totalKeeperSweeper,goalFastbreak,sixYardBlock,attCmissHigh,penaltyWon,attPenMiss,punches,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,attCmissHighRight,attObpGoal,clearanceOffLine,attLgCentre,goalsConcededObox,attObxRight,ptsDroppedWinningPos,errorLeadToGoal,attPenGoal,attCmissHighLeft,attObxLeft
27,987857,2019-02-06 19:45:00,"Goodison Park, Liverpool",39322,Away,Manchester City,Everton,2,0,W,1,0,0,0,,,62.0,1.0,1.0,,39.0,25.0,2.0,7.0,13.0,1.0,,1.0,159.0,3.0,11.0,2.0,2.0,8.0,1.0,4.0,137.0,140.0,71.0,,15.0,1.0,17.0,2.0,,2.0,,2.0,,10.0,9.0,,25.0,3.0,6.0,34.0,1.0,,239.0,1.0,,0.0,156.0,6.0,,,,,,2.0,74.0,69.0,7.0,97.0,1.0,3.0,7.0,24.0,2.0,,1.0,1.0,140.0,1.0,153.0,768.0,6.0,1.0,43.0,9.0,447.0,25.0,5.0,16.0,1.0,1.0,3.0,1.0,,23.0,521.0,,69.0,,97299,6.0,231.0,3.0,5.0,1.0,256.0,3.0,,2.0,24.0,6.0,61.0,3.0,5.0,5.0,1.0,15.0,3.0,5.0,64.0,467.0,12.0,13.0,1.0,20.0,,59.0,,1.0,,0.0,,1.0,5.0,,2.0,0.0,1.0,4.0,61.2,17.0,1.0,5.0,2.0,,5.0,7.0,39.0,6.0,2.0,546.0,9.0,19.0,21.0,4.0,30.0,1.0,2.0,300.0,4.0,5.0,29.0,117.0,22.0,2.0,16.0,20.0,12.0,3.0,19.0,,2.0,12.0,6.0,2.0,,6.0,1.0,1.0,3.0,1.0,,,3.0,1.0,1.0,,,,,,,,2.0,,,,1.0,,,1.0,,1.0,2.0,1.0,1.0,1.0,,2.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
28,987869,2019-02-27 20:00:00,"Etihad Stadium, Manchester",53528,Home,Manchester City,West Ham United,1,0,W,0,0,0,0,,2.0,55.0,1.0,,,23.0,9.0,5.0,7.0,15.0,1.0,,4.0,193.0,6.0,11.0,1.0,1.0,15.0,1.0,7.0,223.0,152.0,44.0,,20.0,,18.0,4.0,,1.0,,3.0,2.0,30.0,10.0,2.0,9.0,8.0,10.0,37.0,,,433.0,1.0,,0.0,300.0,2.0,1.0,,,,,,158.0,102.0,8.0,138.0,,1.0,22.0,35.0,5.0,,6.0,3.0,152.0,2.0,226.0,968.0,13.0,,63.0,8.0,670.0,23.0,1.0,5.0,,0.0,,7.0,,27.0,764.0,,75.0,,61366,11.0,256.0,5.0,16.0,,276.0,1.0,1.0,4.0,35.0,3.0,41.0,,7.0,2.0,,7.0,,1.0,43.0,683.0,6.0,8.0,2.0,9.0,,59.0,,,2.0,0.0,,1.0,2.0,1.0,1.0,0.0,,2.0,75.6,25.0,2.0,7.0,1.0,1.0,2.0,3.0,46.0,13.0,,780.0,8.0,9.0,21.0,10.0,52.0,2.0,6.0,534.0,10.0,8.0,14.0,239.0,23.0,,5.0,14.0,15.0,3.0,16.0,,,13.0,13.0,1.0,,3.0,,,1.0,1.0,,1.0,4.0,,1.0,,5.0,2.0,,,,,4.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,
29,987872,2019-03-02 15:00:00,"Vitality Stadium, Bournemouth",10699,Away,Manchester City,Bournemouth,1,0,W,0,0,0,0,1.0,,53.0,1.0,,,25.0,11.0,9.0,7.0,13.0,,,4.0,178.0,5.0,6.0,1.0,1.0,17.0,1.0,7.0,272.0,128.0,34.0,,23.0,4.0,9.0,4.0,1.0,3.0,1.0,1.0,5.0,28.0,4.0,2.0,11.0,10.0,9.0,29.0,,,547.0,1.0,,0.0,306.0,7.0,,1.0,,,1.0,,164.0,139.0,10.0,113.0,,2.0,18.0,19.0,10.0,,10.0,4.0,128.0,,246.0,974.0,12.0,3.0,43.0,6.0,721.0,21.0,4.0,4.0,1.0,2.0,,7.0,,22.0,794.0,,99.0,,97299,8.0,191.0,1.0,8.0,1.0,203.0,3.0,1.0,1.0,19.0,2.0,33.0,4.0,2.0,3.0,1.0,10.0,,2.0,38.0,733.0,6.0,4.0,4.0,12.0,,71.0,1.0,,,0.0,,2.0,,,1.0,0.0,1.0,3.0,82.0,21.0,1.0,4.0,,2.0,3.0,6.0,57.0,14.0,,809.0,6.0,5.0,16.0,10.0,50.0,5.0,6.0,634.0,13.0,9.0,13.0,254.0,25.0,,4.0,9.0,13.0,3.0,15.0,,,6.0,14.0,,,2.0,,,1.0,,,,,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,2.0,,,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0
30,987889,2019-03-09 17:30:00,"Etihad Stadium, Manchester",54104,Home,Manchester City,Watford,3,1,W,0,0,0,0,,4.0,56.0,1.0,,,12.0,9.0,5.0,8.0,14.0,,1.0,2.0,168.0,4.0,10.0,3.0,2.0,14.0,,9.0,226.0,116.0,40.0,1.0,19.0,2.0,12.0,5.0,2.0,1.0,2.0,1.0,3.0,22.0,4.0,1.0,9.0,6.0,5.0,29.0,2.0,,529.0,,,0.0,300.0,11.0,,2.0,,,2.0,,144.0,112.0,10.0,99.0,1.0,2.0,16.0,7.0,5.0,1.0,5.0,2.0,116.0,1.0,234.0,885.0,11.0,3.0,44.0,11.0,649.0,19.0,5.0,5.0,2.0,1.0,1.0,4.0,,14.0,712.0,,79.0,,59859,7.0,137.0,5.0,10.0,,146.0,5.0,2.0,1.0,7.0,2.0,49.0,10.0,4.0,3.0,3.0,11.0,1.0,2.0,23.0,662.0,7.0,9.0,1.0,8.0,,54.0,2.0,,3.0,0.0,,,1.0,,3.0,0.0,2.0,2.0,71.1,14.0,2.0,2.0,3.0,3.0,3.0,3.0,46.0,9.0,,727.0,11.0,6.0,17.0,7.0,52.0,2.0,5.0,603.0,8.0,4.0,17.0,251.0,30.0,1.0,5.0,7.0,14.0,3.0,22.0,,1.0,6.0,9.0,1.0,1.0,1.0,,,1.0,,,1.0,6.0,,,1.0,,,,,1.0,1.0,2.0,,3.0,1.0,,,,1.0,,,6.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
31,987897,2019-04-24 20:00:00,"Old Trafford, Manchester",74431,Away,Manchester City,Manchester United,2,0,W,0,0,0,0,1.0,1.0,74.0,1.0,1.0,,28.0,11.0,3.0,4.0,5.0,1.0,2.0,2.0,196.0,1.0,17.0,2.0,2.0,7.0,,5.0,197.0,127.0,54.0,,8.0,,8.0,1.0,1.0,2.0,2.0,2.0,2.0,8.0,8.0,2.0,11.0,,6.0,41.0,,,302.0,1.0,,0.0,176.0,10.0,,2.0,,,1.0,,129.0,66.0,5.0,114.0,2.0,,8.0,15.0,3.0,,2.0,,127.0,3.0,195.0,874.0,5.0,1.0,33.0,16.0,598.0,25.0,5.0,4.0,2.0,2.0,5.0,2.0,,10.0,680.0,,53.0,,59859,2.0,308.0,,5.0,,334.0,7.0,,,15.0,10.0,42.0,4.0,2.0,11.0,2.0,12.0,9.0,3.0,54.0,609.0,10.0,12.0,,11.0,,76.0,1.0,,,0.0,,,1.0,,2.0,0.0,1.0,,63.2,10.0,,7.0,1.0,,11.0,,56.0,1.0,1.0,702.0,16.0,5.0,25.0,3.0,28.0,,2.0,376.0,4.0,5.0,12.0,130.0,30.0,,4.0,14.0,8.0,3.0,25.0,,,7.0,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
32,987907,2019-03-30 12:30:00,"Craven Cottage, London",25001,Away,Manchester City,Fulham,2,0,W,2,0,0,0,,1.0,51.0,,,,32.0,12.0,10.0,6.0,14.0,,1.0,3.0,181.0,3.0,9.0,2.0,2.0,22.0,,7.0,192.0,124.0,35.0,1.0,24.0,5.0,12.0,4.0,,1.0,2.0,5.0,2.0,20.0,8.0,1.0,12.0,8.0,7.0,21.0,,,372.0,1.0,1.0,0.0,209.0,12.0,,,,,,,124.0,71.0,14.0,102.0,,,12.0,18.0,10.0,1.0,3.0,3.0,124.0,3.0,204.0,866.0,17.0,3.0,40.0,7.0,599.0,15.0,,6.0,2.0,0.0,2.0,8.0,,24.0,660.0,,61.0,,97299,10.0,244.0,2.0,8.0,1.0,260.0,7.0,1.0,,18.0,6.0,53.0,1.0,1.0,2.0,2.0,17.0,2.0,2.0,51.0,613.0,4.0,9.0,3.0,6.0,,56.0,,1.0,1.0,0.0,,1.0,,,1.0,0.0,1.0,3.0,65.4,22.0,2.0,9.0,1.0,,2.0,9.0,43.0,11.0,,679.0,7.0,10.0,13.0,8.0,37.0,3.0,4.0,439.0,15.0,7.0,6.0,176.0,23.0,,6.0,16.0,18.0,3.0,19.0,,,4.0,11.0,,1.0,4.0,,,,1.0,,2.0,2.0,1.0,1.0,2.0,1.0,,,,,2.0,,1.0,2.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
33,987916,2019-04-03 19:45:00,"Etihad Stadium, Manchester",53559,Home,Manchester City,Cardiff City,2,0,W,2,0,0,0,2.0,8.0,48.0,1.0,1.0,,19.0,8.0,12.0,15.0,15.0,1.0,2.0,,178.0,10.0,14.0,2.0,5.0,22.0,1.0,11.0,214.0,106.0,45.0,2.0,27.0,1.0,14.0,4.0,2.0,2.0,1.0,5.0,5.0,30.0,9.0,5.0,8.0,13.0,17.0,21.0,1.0,,415.0,1.0,,0.0,243.0,3.0,,2.0,,1.0,4.0,,87.0,94.0,11.0,115.0,,1.0,17.0,12.0,12.0,2.0,4.0,6.0,106.0,2.0,169.0,846.0,16.0,4.0,48.0,8.0,605.0,23.0,1.0,7.0,2.0,0.0,1.0,11.0,,16.0,663.0,,74.0,,97299,9.0,213.0,5.0,10.0,1.0,222.0,,,2.0,12.0,5.0,39.0,3.0,1.0,5.0,1.0,11.0,2.0,5.0,28.0,618.0,7.0,10.0,4.0,3.0,,53.0,2.0,,2.0,0.0,1.0,1.0,4.0,,2.0,0.0,2.0,5.0,78.8,15.0,4.0,3.0,2.0,,5.0,2.0,45.0,17.0,,676.0,8.0,5.0,12.0,14.0,48.0,6.0,7.0,484.0,7.0,15.0,13.0,206.0,17.0,1.0,7.0,11.0,14.0,1.0,23.0,,1.0,5.0,17.0,,,1.0,1.0,,1.0,1.0,,,5.0,1.0,2.0,2.0,5.0,,,,,2.0,4.0,,1.0,,1.0,,,3.0,,,1.0,1.0,,,,,,2.0,1.0,,,1.0,,,,,3.0,,,,,,,1.0,,,,,,,,,,1.0,
34,987924,2019-04-14 14:05:00,"Selhurst Park, London",25721,Away,Manchester City,Crystal Palace,3,1,W,1,0,0,0,,1.0,60.0,,,,44.0,17.0,8.0,8.0,11.0,2.0,1.0,2.0,180.0,4.0,16.0,3.0,,15.0,1.0,6.0,220.0,134.0,55.0,,20.0,4.0,17.0,2.0,2.0,3.0,3.0,2.0,1.0,27.0,8.0,1.0,17.0,8.0,3.0,37.0,1.0,,428.0,,,0.0,248.0,11.0,1.0,4.0,1.0,2.0,,,149.0,87.0,10.0,113.0,1.0,3.0,19.0,13.0,9.0,,7.0,4.0,134.0,3.0,208.0,934.0,12.0,1.0,42.0,8.0,639.0,15.0,3.0,8.0,3.0,0.0,2.0,5.0,,25.0,710.0,,80.0,,97299,6.0,226.0,1.0,11.0,,240.0,8.0,2.0,2.0,13.0,3.0,60.0,5.0,2.0,7.0,3.0,9.0,4.0,3.0,58.0,650.0,5.0,10.0,,11.0,,63.0,2.0,,,0.0,,2.0,2.0,2.0,3.0,0.0,3.0,,72.4,20.0,,6.0,1.0,,7.0,7.0,53.0,9.0,,721.0,8.0,13.0,27.0,7.0,43.0,2.0,3.0,508.0,12.0,2.0,14.0,201.0,32.0,,8.0,22.0,19.0,3.0,25.0,,,5.0,9.0,3.0,2.0,3.0,,,2.0,,,,4.0,,,2.0,1.0,,,,1.0,,2.0,,,,,,,1.0,,,2.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,
35,987938,2019-04-20 12:30:00,"Etihad Stadium, Manchester",54489,Home,Manchester City,Tottenham Hotspur,1,0,W,1,0,0,0,,2.0,56.0,1.0,,,33.0,11.0,5.0,7.0,10.0,4.0,,1.0,157.0,3.0,15.0,1.0,3.0,12.0,1.0,4.0,174.0,136.0,57.0,,15.0,2.0,14.0,3.0,,2.0,1.0,2.0,2.0,18.0,10.0,,11.0,1.0,6.0,30.0,,,271.0,1.0,,0.0,170.0,11.0,4.0,,,1.0,,,112.0,77.0,7.0,111.0,1.0,1.0,17.0,14.0,5.0,,5.0,3.0,136.0,7.0,140.0,794.0,10.0,,35.0,10.0,495.0,11.0,,6.0,1.0,1.0,3.0,5.0,,33.0,563.0,,65.0,1.0,97299,6.0,241.0,1.0,9.0,1.0,259.0,8.0,,1.0,14.0,4.0,61.0,3.0,2.0,7.0,1.0,14.0,3.0,2.0,57.0,509.0,11.0,10.0,1.0,10.0,,68.0,,,1.0,0.0,,1.0,4.0,4.0,1.0,0.0,1.0,2.0,60.7,28.0,1.0,9.0,1.0,,7.0,5.0,46.0,4.0,,582.0,10.0,17.0,17.0,6.0,32.0,,3.0,341.0,6.0,5.0,16.0,135.0,28.0,,6.0,15.0,13.0,3.0,24.0,,,4.0,4.0,1.0,,3.0,,,,,,2.0,2.0,,,,1.0,1.0,,,,,3.0,,,,,,,3.0,,,,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
36,987943,2019-04-28 14:05:00,"Turf Moor, Burnley",21605,Away,Manchester City,Burnley,1,0,W,0,0,0,0,1.0,2.0,61.0,,,,26.0,21.0,8.0,11.0,17.0,,1.0,3.0,150.0,5.0,11.0,1.0,1.0,19.0,,7.0,194.0,141.0,55.0,,25.0,5.0,16.0,5.0,2.0,2.0,,3.0,2.0,24.0,7.0,1.0,21.0,3.0,2.0,42.0,,,339.0,1.0,,0.0,204.0,7.0,,2.0,,,1.0,1.0,119.0,78.0,15.0,80.0,1.0,2.0,22.0,13.0,8.0,,9.0,2.0,141.0,2.0,184.0,814.0,19.0,,45.0,12.0,512.0,21.0,3.0,11.0,,1.0,,4.0,,18.0,592.0,,60.0,,97299,12.0,190.0,2.0,12.0,,213.0,4.0,,,13.0,5.0,43.0,1.0,3.0,10.0,1.0,12.0,,3.0,55.0,524.0,5.0,6.0,,14.0,,63.0,2.0,,,0.0,,4.0,,,1.0,0.0,,2.0,69.9,15.0,1.0,1.0,2.0,,10.0,14.0,40.0,6.0,1.0,608.0,12.0,7.0,17.0,4.0,42.0,2.0,2.0,419.0,12.0,1.0,26.0,162.0,28.0,3.0,11.0,13.0,23.0,3.0,20.0,,3.0,7.0,6.0,,,9.0,,,1.0,,,,1.0,1.0,,,,1.0,,,,,4.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,
37,987958,2019-05-06 20:00:00,"Etihad Stadium, Manchester",54506,Home,Manchester City,Leicester City,1,0,W,0,0,0,0,1.0,2.0,62.0,,2.0,,33.0,10.0,12.0,11.0,7.0,2.0,,1.0,161.0,3.0,7.0,1.0,2.0,10.0,,5.0,181.0,149.0,37.0,,19.0,4.0,20.0,3.0,,2.0,1.0,2.0,1.0,25.0,6.0,1.0,10.0,10.0,9.0,41.0,,,397.0,1.0,1.0,0.0,262.0,12.0,,,,,,,147.0,73.0,4.0,90.0,,4.0,15.0,17.0,12.0,,4.0,6.0,149.0,3.0,204.0,817.0,8.0,,44.0,13.0,544.0,17.0,1.0,7.0,1.0,3.0,3.0,6.0,,20.0,625.0,,91.0,,97299,2.0,158.0,1.0,9.0,1.0,166.0,7.0,1.0,,17.0,5.0,64.0,1.0,2.0,5.0,1.0,14.0,4.0,3.0,48.0,552.0,5.0,11.0,1.0,5.0,,48.0,,,,0.0,,2.0,,,,0.0,,2.0,61.0,17.0,1.0,5.0,1.0,1.0,5.0,4.0,37.0,11.0,,636.0,13.0,12.0,23.0,10.0,50.0,2.0,4.0,495.0,6.0,9.0,11.0,200.0,34.0,1.0,7.0,14.0,10.0,3.0,17.0,,1.0,4.0,11.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,1.0,,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,987962,2019-05-12 15:00:00,"American Express Stadium, Falmer",30662,Away,Manchester City,Brighton and Hove Albion,4,1,W,2,1,0,0,,2.0,56.0,1.0,1.0,,20.0,5.0,11.0,7.0,9.0,1.0,1.0,2.0,190.0,2.0,10.0,4.0,3.0,15.0,2.0,9.0,264.0,107.0,47.0,2.0,20.0,5.0,14.0,3.0,,2.0,2.0,3.0,1.0,20.0,10.0,2.0,5.0,5.0,5.0,36.0,1.0,,497.0,,2.0,0.0,281.0,8.0,,,,2.0,1.0,1.0,82.0,85.0,13.0,101.0,,2.0,15.0,6.0,11.0,2.0,2.0,2.0,107.0,3.0,241.0,955.0,12.0,2.0,52.0,10.0,719.0,20.0,2.0,3.0,3.0,0.0,1.0,2.0,,12.0,777.0,,60.0,,97299,3.0,242.0,,13.0,,249.0,3.0,2.0,3.0,6.0,5.0,42.0,8.0,1.0,5.0,2.0,12.0,3.0,5.0,31.0,737.0,12.0,4.0,,6.0,,54.0,,1.0,,0.0,1.0,,3.0,,2.0,0.0,2.0,3.0,76.3,11.0,1.0,9.0,1.0,,5.0,8.0,48.0,6.0,1.0,796.0,10.0,9.0,19.0,3.0,46.0,1.0,1.0,567.0,10.0,5.0,10.0,238.0,22.0,,3.0,15.0,17.0,3.0,17.0,,,2.0,6.0,2.0,,3.0,1.0,1.0,1.0,,1.0,,2.0,1.0,,,,1.0,1.0,,1.0,2.0,1.0,,1.0,1.0,,,3.0,,,,2.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
