gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attLfTarget,bigChanceScored,attIboxBlocked,goals,attBxRight,postScoringAtt,goalAssistOpenplay,attMissLeft,attOneOnOne,goodHighClaim,bigChanceCreated,attPostLeft,hitWoodwork,goalAssist,errorLeadToShot,bigChanceMissed,sixYardBlock,goalsOpenplay,attGoalHighLeft,attCmissLeft,overrun,attIboxGoal,attOboxPost,accurateFlickOn,goalAssistIntentional,foulThrowIn,totalHighClaim,forwardGoals,attHdGoal,handBall,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,attGoalHighRight,attMissHighRight,attOboxGoal,midfielderGoals,attGoalHighCentre,attMissHighLeft,attRfGoal,totalPullBack,punches,attPostHigh,attBxLeft,penaltySave,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,ptsDroppedWinningPos,accuratePullBack,attCmissRight,attSvHighRight,attSvHighCentre,attGoalLowCentre,shotFastbreak,attIboxPost,ptsGainedLosingPos,totalFastbreak,freekickCross,attHdPost,attFastbreak,shieldBallOop,attObxLeft,attObxRight,attLfGoal,secondYellow,ownGoals,attIboxOwnGoal,attLgRight,accurateFreekickCross,attObxdLeft,attFreekickTarget,penaltyWon,attPenGoal,attCorner,attCmissHighLeft,cleanSheet,attSvHighLeft,attPenTarget,goalFastbreak,clearanceOffLine,attLgCentre,attPostRight,attCmissHighRight,attLgLeft
28,987871,2019-02-27 19:45:00,"St. Mary's Stadium, Southampton",27597,Away,Fulham,Southampton,0,2,L,0,2,0,0,60.0,1.0,32.0,19.0,7.0,6.0,7.0,2.0,3.0,190.0,1.0,5.0,,8.0,4.0,138.0,169.0,63.0,,14.0,4.0,26.0,2.0,,1.0,11.0,10.0,2.0,19.0,2.0,9.0,49.0,205.0,0.0,105.0,13.0,1.0,1.0,68.0,40.0,5.0,87.0,,,9.0,20.0,7.0,,4.0,1.0,169.0,,7.0,151.0,746.0,8.0,12.0,11.0,1.0,9.0,427.0,34.0,5.0,8.0,,1.0,2.0,3.0,24.0,533.0,58.0,1.0,99323,5.0,246.0,4.0,,294.0,6.0,20.0,11.0,66.0,,1.0,2.0,3.0,13.0,7.0,4.0,1.0,79.0,450.0,14.0,6.0,,27.0,82.0,,0.0,7.0,1.0,2.0,0.0,1.0,1.0,59.1,22.0,,1.0,3.0,6.0,43.0,4.0,566.0,9.0,13.0,21.0,4.0,22.0,,3.0,283.0,7.0,8.0,29.0,71.0,20.0,3.0,8.0,15.0,1.0,13.0,2.0,14.0,1.0,3.0,3.0,4.0,1.0,,,2.0,,,,,2.0,,,1.0,,1.0,,,1.0,,,,,4.0,,,3.0,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
29,987876,2019-03-03 14:05:00,"Craven Cottage, London",24900,Home,Fulham,Chelsea,1,2,L,1,2,0,0,62.0,,26.0,17.0,7.0,5.0,5.0,5.0,1.0,140.0,4.0,10.0,,6.0,5.0,92.0,121.0,36.0,,12.0,2.0,9.0,2.0,,1.0,16.0,10.0,2.0,17.0,3.0,1.0,39.0,123.0,0.0,98.0,11.0,4.0,,54.0,35.0,4.0,53.0,2.0,1.0,13.0,17.0,7.0,,3.0,3.0,121.0,,15.0,99.0,566.0,5.0,4.0,19.0,1.0,18.0,292.0,30.0,6.0,5.0,,2.0,8.0,2.0,18.0,362.0,45.0,1.0,94248,5.0,190.0,9.0,,205.0,6.0,17.0,8.0,41.0,1.0,2.0,2.0,1.0,16.0,5.0,6.0,1.0,53.0,309.0,9.0,6.0,,14.0,67.0,1.0,0.0,4.0,5.0,2.0,0.0,4.0,2.0,36.0,18.0,1.0,3.0,1.0,3.0,35.0,5.0,384.0,18.0,11.0,19.0,4.0,31.0,,1.0,195.0,5.0,1.0,3.0,62.0,28.0,1.0,5.0,14.0,1.0,7.0,3.0,14.0,,1.0,6.0,5.0,1.0,2.0,1.0,1.0,1.0,,,,2.0,1.0,,2.0,,,1.0,1.0,2.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,
30,987887,2019-03-09 15:00:00,"King Power Stadium, Leicester",32017,Away,Fulham,Leicester City,1,3,L,0,1,0,0,59.0,3.0,30.0,17.0,3.0,3.0,3.0,5.0,,151.0,1.0,9.0,,6.0,3.0,110.0,145.0,51.0,,6.0,2.0,16.0,2.0,,,14.0,18.0,,17.0,5.0,8.0,43.0,162.0,0.0,76.0,13.0,3.0,1.0,65.0,46.0,5.0,82.0,4.0,,9.0,15.0,3.0,,6.0,1.0,145.0,,9.0,121.0,671.0,5.0,6.0,7.0,1.0,19.0,360.0,21.0,4.0,10.0,,2.0,2.0,1.0,23.0,433.0,43.0,,94248,2.0,217.0,3.0,,247.0,7.0,15.0,12.0,58.0,,,1.0,3.0,18.0,9.0,6.0,,60.0,378.0,9.0,6.0,,14.0,77.0,1.0,0.0,6.0,2.0,3.0,0.0,1.0,1.0,47.2,20.0,,1.0,3.0,2.0,44.0,5.0,464.0,19.0,21.0,19.0,1.0,20.0,,,231.0,2.0,8.0,7.0,53.0,29.0,2.0,10.0,26.0,3.0,6.0,3.0,12.0,2.0,2.0,7.0,5.0,,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
31,987896,2019-03-17 14:15:00,"Craven Cottage, London",25043,Home,Fulham,Liverpool,1,2,L,0,1,0,0,60.0,1.0,24.0,20.0,5.0,2.0,2.0,4.0,1.0,139.0,1.0,11.0,,5.0,2.0,95.0,137.0,55.0,,7.0,2.0,19.0,,,,5.0,9.0,1.0,20.0,,10.0,21.0,127.0,0.0,81.0,11.0,1.0,1.0,73.0,23.0,3.0,63.0,3.0,,5.0,18.0,5.0,,3.0,2.0,137.0,,11.0,68.0,540.0,5.0,10.0,11.0,,13.0,257.0,27.0,7.0,8.0,,2.0,3.0,2.0,18.0,331.0,44.0,,94248,1.0,148.0,2.0,,171.0,5.0,18.0,18.0,58.0,,1.0,4.0,3.0,10.0,5.0,8.0,,72.0,274.0,7.0,10.0,,31.0,73.0,,0.0,10.0,3.0,2.0,0.0,1.0,,37.2,12.0,,1.0,3.0,3.0,30.0,1.0,365.0,13.0,14.0,9.0,2.0,12.0,,,199.0,5.0,6.0,16.0,53.0,22.0,3.0,8.0,21.0,2.0,7.0,3.0,16.0,,3.0,13.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,2.0,1.0,,3.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
32,987907,2019-03-30 12:30:00,"Craven Cottage, London",25001,Home,Fulham,Manchester City,0,2,L,0,2,0,0,52.0,1.0,19.0,20.0,1.0,2.0,3.0,5.0,,121.0,4.0,9.0,3.0,4.0,,81.0,120.0,53.0,1.0,5.0,2.0,6.0,,,,8.0,10.0,,20.0,,2.0,27.0,114.0,0.0,69.0,4.0,1.0,,45.0,34.0,1.0,65.0,3.0,2.0,8.0,14.0,2.0,1.0,1.0,,120.0,,14.0,92.0,544.0,3.0,3.0,7.0,,12.0,271.0,28.0,2.0,7.0,,2.0,8.0,3.0,15.0,335.0,37.0,,94248,1.0,173.0,6.0,1.0,203.0,3.0,14.0,11.0,35.0,,,4.0,4.0,17.0,10.0,2.0,,55.0,283.0,12.0,9.0,1.0,15.0,59.0,,0.0,11.0,4.0,2.0,0.0,4.0,2.0,34.6,12.0,2.0,1.0,4.0,2.0,30.0,,359.0,12.0,9.0,11.0,3.0,13.0,,3.0,164.0,1.0,2.0,12.0,44.0,18.0,4.0,7.0,20.0,1.0,3.0,3.0,16.0,2.0,4.0,10.0,,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
33,987920,2019-04-02 19:45:00,"Vicarage Road, Watford",17301,Away,Fulham,Watford,1,4,L,1,1,0,0,63.0,,38.0,24.0,2.0,3.0,15.0,3.0,3.0,162.0,6.0,14.0,2.0,15.0,7.0,149.0,126.0,65.0,,17.0,1.0,14.0,5.0,,2.0,22.0,8.0,1.0,24.0,4.0,6.0,45.0,224.0,0.0,124.0,5.0,2.0,,67.0,62.0,12.0,95.0,1.0,3.0,18.0,18.0,2.0,,8.0,,126.0,,12.0,125.0,756.0,11.0,8.0,31.0,2.0,8.0,441.0,32.0,5.0,13.0,,2.0,7.0,3.0,18.0,511.0,52.0,2.0,94248,7.0,242.0,9.0,1.0,267.0,2.0,18.0,2.0,51.0,,3.0,,5.0,14.0,3.0,2.0,,60.0,460.0,12.0,11.0,3.0,17.0,73.0,3.0,0.0,6.0,3.0,4.0,0.0,4.0,3.0,53.4,16.0,1.0,6.0,5.0,7.0,54.0,4.0,531.0,8.0,13.0,29.0,3.0,30.0,2.0,3.0,286.0,8.0,6.0,21.0,94.0,19.0,1.0,13.0,18.0,4.0,14.0,3.0,23.0,,1.0,10.0,4.0,,1.0,1.0,6.0,1.0,4.0,,1.0,,,,2.0,,,1.0,,2.0,3.0,1.0,,,1.0,1.0,,3.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
34,987925,2019-04-13 15:00:00,"Craven Cottage, London",24971,Home,Fulham,Everton,2,0,W,0,0,0,0,69.0,,31.0,25.0,3.0,3.0,9.0,1.0,2.0,164.0,5.0,12.0,1.0,11.0,5.0,67.0,170.0,71.0,,12.0,,29.0,2.0,,1.0,12.0,11.0,1.0,25.0,5.0,2.0,31.0,111.0,0.0,84.0,8.0,,,61.0,23.0,5.0,43.0,,4.0,7.0,14.0,3.0,,2.0,2.0,170.0,,7.0,69.0,566.0,6.0,10.0,19.0,1.0,8.0,233.0,28.0,7.0,9.0,,2.0,2.0,6.0,22.0,316.0,53.0,,94248,8.0,144.0,4.0,1.0,173.0,3.0,14.0,8.0,74.0,,1.0,1.0,1.0,27.0,2.0,5.0,,69.0,250.0,9.0,9.0,3.0,29.0,79.0,1.0,0.0,3.0,1.0,,0.0,2.0,3.0,40.6,10.0,2.0,6.0,1.0,,40.0,7.0,343.0,8.0,23.0,16.0,7.0,23.0,3.0,4.0,182.0,6.0,2.0,30.0,48.0,27.0,2.0,9.0,20.0,,8.0,3.0,17.0,,2.0,9.0,7.0,,,2.0,,2.0,,1.0,2.0,,1.0,,3.0,,1.0,2.0,,1.0,,2.0,,,2.0,2.0,,3.0,2.0,,1.0,,,,2.0,,,,2.0,,2.0,,,1.0,,2.0,1.0,1.0,,,,,,,,,,1.0,,1.0,1.0,,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,
35,987932,2019-04-20 15:00:00,"Vitality Stadium, Bournemouth",10511,Away,Fulham,Bournemouth,1,0,W,0,0,0,0,56.0,,31.0,12.0,7.0,7.0,10.0,5.0,1.0,175.0,7.0,9.0,2.0,13.0,5.0,99.0,131.0,53.0,,17.0,4.0,20.0,3.0,,2.0,17.0,10.0,1.0,12.0,5.0,5.0,33.0,218.0,0.0,120.0,18.0,3.0,,91.0,49.0,8.0,87.0,3.0,1.0,12.0,14.0,7.0,,4.0,2.0,131.0,,13.0,96.0,642.0,10.0,8.0,32.0,1.0,14.0,362.0,21.0,8.0,7.0,,3.0,3.0,5.0,23.0,431.0,47.0,,94248,5.0,167.0,7.0,,182.0,9.0,14.0,11.0,65.0,,2.0,,5.0,14.0,2.0,8.0,2.0,60.0,378.0,10.0,7.0,3.0,22.0,90.0,,0.0,3.0,5.0,,0.0,3.0,3.0,51.0,17.0,2.0,1.0,5.0,6.0,54.0,7.0,457.0,14.0,12.0,17.0,6.0,22.0,4.0,4.0,292.0,6.0,4.0,21.0,86.0,25.0,,7.0,14.0,,9.0,3.0,18.0,,,5.0,7.0,,2.0,1.0,2.0,1.0,,,,,,,3.0,,,,,4.0,1.0,,,,1.0,1.0,,4.0,,,,1.0,,,1.0,,,,2.0,,,,1.0,1.0,2.0,1.0,,2.0,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,
36,987945,2019-04-27 15:00:00,"Craven Cottage, London",23822,Home,Fulham,Cardiff City,1,0,W,0,0,0,0,59.0,,23.0,25.0,5.0,3.0,2.0,8.0,1.0,193.0,3.0,13.0,1.0,7.0,2.0,174.0,148.0,61.0,,8.0,1.0,19.0,,,,18.0,10.0,1.0,25.0,9.0,8.0,30.0,208.0,0.0,131.0,10.0,5.0,,57.0,51.0,3.0,98.0,1.0,,9.0,11.0,6.0,,3.0,3.0,148.0,,10.0,158.0,833.0,6.0,4.0,21.0,,6.0,527.0,21.0,3.0,10.0,,0.0,3.0,4.0,20.0,601.0,56.0,,94248,2.0,338.0,6.0,,356.0,5.0,11.0,7.0,69.0,,,1.0,5.0,19.0,3.0,6.0,,47.0,543.0,8.0,13.0,,15.0,70.0,,0.0,3.0,8.0,,0.0,1.0,,73.0,17.0,,3.0,5.0,1.0,46.0,10.0,623.0,6.0,24.0,14.0,5.0,29.0,2.0,2.0,285.0,5.0,8.0,18.0,92.0,24.0,2.0,10.0,22.0,,8.0,3.0,17.0,,2.0,4.0,10.0,,,,,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,1.0,1.0,,2.0,,,2.0,1.0,,,,,1.0,,,,,2.0,1.0,1.0,,2.0,1.0,2.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0
37,987961,2019-05-04 15:00:00,"Molineux Stadium, Wolverhampton",30456,Away,Fulham,Wolverhampton Wanderers,0,1,L,0,0,0,0,52.0,1.0,34.0,36.0,3.0,3.0,3.0,5.0,1.0,156.0,1.0,16.0,1.0,4.0,2.0,176.0,126.0,62.0,,6.0,1.0,17.0,1.0,,1.0,9.0,6.0,1.0,36.0,1.0,2.0,30.0,194.0,0.0,83.0,15.0,2.0,,70.0,52.0,1.0,104.0,,,8.0,8.0,3.0,,4.0,1.0,126.0,,12.0,165.0,782.0,3.0,11.0,9.0,,12.0,506.0,22.0,11.0,24.0,,3.0,2.0,3.0,17.0,580.0,50.0,,94248,2.0,325.0,3.0,1.0,347.0,4.0,8.0,8.0,54.0,1.0,1.0,,1.0,14.0,7.0,5.0,1.0,67.0,518.0,9.0,5.0,1.0,29.0,90.0,,0.0,7.0,4.0,1.0,0.0,1.0,1.0,60.8,16.0,1.0,1.0,1.0,1.0,62.0,1.0,601.0,12.0,17.0,14.0,3.0,14.0,,2.0,263.0,2.0,1.0,24.0,50.0,26.0,,24.0,13.0,1.0,5.0,2.0,18.0,,,2.0,1.0,,1.0,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,1.0,,,5.0,,,,,,2.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
38,987965,2019-05-12 15:00:00,"Craven Cottage, London",24979,Home,Fulham,Newcastle United,0,4,L,0,2,0,0,58.0,,29.0,7.0,8.0,6.0,8.0,2.0,1.0,206.0,5.0,11.0,1.0,9.0,2.0,222.0,133.0,48.0,,16.0,3.0,12.0,2.0,,,28.0,9.0,,7.0,5.0,2.0,35.0,351.0,0.0,197.0,6.0,,,124.0,57.0,3.0,113.0,5.0,3.0,23.0,14.0,8.0,,9.0,5.0,133.0,1.0,8.0,224.0,940.0,7.0,3.0,36.0,,13.0,671.0,22.0,5.0,1.0,,1.0,1.0,6.0,15.0,745.0,84.0,,94248,5.0,344.0,14.0,,355.0,2.0,14.0,6.0,36.0,1.0,2.0,1.0,3.0,16.0,5.0,6.0,2.0,51.0,690.0,8.0,4.0,2.0,11.0,81.0,2.0,0.0,5.0,2.0,4.0,0.0,3.0,2.0,68.1,13.0,1.0,6.0,3.0,6.0,68.0,5.0,765.0,13.0,9.0,18.0,8.0,44.0,2.0,2.0,438.0,7.0,2.0,17.0,152.0,27.0,1.0,1.0,12.0,4.0,13.0,3.0,17.0,1.0,1.0,7.0,5.0,,1.0,,3.0,,1.0,1.0,,2.0,,,,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
