gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowLeft,attObxCentre,goals,fouledFinalThird,attOboxBlocked,attBxRight,attMissLeft,attMissHighRight,penaltyWon,attSvLowLeft,attRfGoal,totalPullBack,attPenGoal,attSvLowRight,attIboxGoal,accurateCrossNocorner,attHdMiss,forwardGoals,ptsDroppedWinningPos,attCmissRight,goalAssistOpenplay,attOboxGoal,attOboxMiss,bigChanceCreated,goalAssist,bigChanceMissed,attSetpiece,ownGoals,goalsOpenplay,goalAssistIntentional,attIboxOwnGoal,errorLeadToGoal,attFreekickTotal,freekickTotal,sixYardBlock,attCmissLeft,attSvHighCentre,attLfGoal,attGoalLowCentre,shotFastbreak,goalFastbreak,attGoalHighRight,totalFastbreak,midfielderGoals,attMissHighLeft,errorLeadToShot,attFastbreak,attGoalHighLeft,cleanSheet,attCmissHigh,attGoalLowRight,attOneOnOne,freekickCross,attCorner,accuratePullBack,attFreekickMiss,attSvHighRight,goalsConcededObox,postScoringAtt,attIboxPost,attPostLeft,attHdPost,hitWoodwork,accurateFreekickCross,defenderGoals,accurateKeeperSweeper,totalKeeperSweeper,attPostRight,ptsGainedLosingPos,penaltySave,goalAssistSetplay,goalAssistDeadball,penaltyConceded,clearanceOffLine,penaltyFaced,attHdGoal,attFreekickTarget,attSvHighLeft,attPostHigh,penGoalsConceded,attGoalHighCentre,foulThrowIn,attObpGoal,attOboxPost,attObxRight,attCmissHighRight
27,987861,2019-02-22 19:45:00,"London Stadium, London",59950,Home,West Ham United,Fulham,3,1,W,2,1,0,0,,73.0,2.0,5.0,39.0,10.0,2.0,20.0,4.0,1.0,196.0,10.0,7.0,16.0,7.0,132.0,157.0,61.0,21.0,19.0,4.0,,34.0,11.0,,10.0,12.0,4.0,53.0,277.0,0.0,187.0,11.0,2.0,1.0,109.0,107.0,9.0,70.0,,5.0,22.0,19.0,1.0,3.0,157.0,1.0,4.0,155.0,758.0,,8.0,12.0,55.0,3.0,11.0,434.0,20.0,6.0,3.0,1.0,1.0,7.0,21.0,527.0,65.0,,86934,10.0,188.0,17.0,206.0,8.0,19.0,6.0,60.0,2.0,3.0,3.0,10.0,4.0,4.0,1.0,61.0,455.0,10.0,12.0,5.0,15.0,78.0,,0.0,2.0,,2.0,1.0,5.0,0.0,,9.0,55.1,19.0,3.0,4.0,3.0,5.0,53.0,12.0,1.0,553.0,11.0,11.0,33.0,9.0,48.0,6.0,8.0,381.0,7.0,4.0,21.0,140.0,42.0,,3.0,23.0,1.0,11.0,3.0,14.0,,7.0,12.0,,2.0,1.0,1.0,3.0,4.0,,2.0,1.0,1.0,,,,2.0,,1.0,3.0,4.0,4.0,1.0,,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,,1.0,2.0,,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,2.0,,1.0,,2.0,,,,,,1.0,1.0,1.0,,,,3.0,,2.0,1.0,,,,2.0,,,,,,,1.0,,,
28,987869,2019-02-27 20:00:00,"Etihad Stadium, Manchester",53528,Away,West Ham United,Manchester City,0,1,L,0,0,0,0,,45.0,2.0,,29.0,31.0,,2.0,5.0,1.0,126.0,2.0,8.0,2.0,1.0,38.0,122.0,41.0,2.0,14.0,1.0,,7.0,4.0,,31.0,2.0,5.0,25.0,96.0,0.0,52.0,6.0,4.0,3.0,35.0,63.0,1.0,40.0,7.0,,5.0,28.0,,1.0,122.0,,15.0,51.0,444.0,,2.0,4.0,7.0,,18.0,159.0,26.0,9.0,15.0,2.0,4.0,1.0,20.0,225.0,31.0,,86934,1.0,83.0,4.0,105.0,2.0,28.0,13.0,44.0,,2.0,,15.0,5.0,8.0,,57.0,177.0,2.0,11.0,,25.0,60.0,1.0,0.0,4.0,13.0,4.0,1.0,,0.0,,1.0,24.4,16.0,2.0,,,,29.0,2.0,3.0,255.0,18.0,7.0,11.0,1.0,7.0,,1.0,157.0,1.0,5.0,18.0,32.0,10.0,7.0,15.0,14.0,1.0,2.0,3.0,15.0,7.0,15.0,2.0,,,,,,,,,1.0,,,,,,,,,2.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,
29,987880,2019-03-02 17:30:00,"London Stadium, London",59910,Home,West Ham United,Newcastle United,2,0,W,2,0,0,0,1.0,61.0,1.0,2.0,41.0,14.0,3.0,7.0,2.0,1.0,168.0,4.0,15.0,6.0,4.0,157.0,139.0,71.0,10.0,5.0,1.0,,13.0,11.0,1.0,14.0,1.0,8.0,43.0,249.0,0.0,125.0,8.0,2.0,,87.0,101.0,4.0,71.0,1.0,1.0,12.0,21.0,3.0,5.0,139.0,,9.0,142.0,742.0,,5.0,8.0,22.0,1.0,8.0,430.0,23.0,8.0,6.0,3.0,9.0,2.0,20.0,517.0,33.0,1.0,86934,3.0,202.0,6.0,232.0,4.0,21.0,6.0,40.0,2.0,1.0,5.0,15.0,8.0,4.0,1.0,66.0,447.0,14.0,7.0,,22.0,75.0,,0.0,1.0,6.0,1.0,,5.0,0.0,,2.0,55.8,19.0,3.0,1.0,5.0,3.0,54.0,1.0,,538.0,8.0,17.0,28.0,3.0,21.0,1.0,2.0,319.0,5.0,8.0,17.0,95.0,28.0,2.0,6.0,26.0,,6.0,3.0,19.0,2.0,8.0,1.0,,1.0,1.0,3.0,2.0,6.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,2.0,3.0,,,,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,2.0,2.0,1.0,,,,,2.0,,,2.0,2.0,1.0,,2.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,
30,987883,2019-03-09 15:00:00,"Cardiff City Stadium, Cardiff",32458,Away,West Ham United,Cardiff City,0,2,L,0,1,0,0,,66.0,1.0,1.0,19.0,22.0,1.0,5.0,5.0,1.0,176.0,1.0,8.0,6.0,2.0,156.0,149.0,53.0,9.0,17.0,2.0,,13.0,14.0,,22.0,5.0,9.0,33.0,247.0,0.0,146.0,12.0,4.0,,83.0,48.0,3.0,70.0,1.0,1.0,8.0,16.0,4.0,4.0,149.0,,11.0,163.0,743.0,1.0,6.0,4.0,13.0,1.0,7.0,443.0,30.0,4.0,13.0,1.0,3.0,3.0,22.0,544.0,45.0,,86934,2.0,210.0,4.0,240.0,5.0,16.0,9.0,47.0,1.0,1.0,5.0,12.0,5.0,3.0,3.0,45.0,456.0,7.0,7.0,,14.0,75.0,,0.0,,7.0,4.0,2.0,2.0,0.0,1.0,2.0,70.7,20.0,,2.0,5.0,2.0,45.0,5.0,,565.0,7.0,8.0,14.0,5.0,22.0,,2.0,338.0,6.0,8.0,17.0,108.0,30.0,2.0,13.0,21.0,2.0,9.0,3.0,13.0,2.0,5.0,5.0,,,,3.0,,,1.0,1.0,,,,,,2.0,,1.0,,1.0,1.0,,,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,
31,987900,2019-03-16 15:00:00,"London Stadium, London",59931,Home,West Ham United,Huddersfield Town,4,3,W,1,2,0,0,,57.0,1.0,3.0,23.0,13.0,6.0,10.0,2.0,,199.0,7.0,7.0,10.0,5.0,151.0,138.0,53.0,16.0,13.0,1.0,1.0,16.0,9.0,,13.0,4.0,5.0,34.0,349.0,0.0,202.0,7.0,3.0,,118.0,66.0,7.0,79.0,1.0,,12.0,21.0,6.0,2.0,138.0,,9.0,176.0,790.0,1.0,6.0,4.0,33.0,,11.0,490.0,19.0,2.0,7.0,0.0,4.0,3.0,16.0,581.0,62.0,,86934,8.0,170.0,9.0,194.0,3.0,21.0,7.0,46.0,2.0,1.0,3.0,14.0,6.0,6.0,1.0,44.0,512.0,14.0,8.0,1.0,17.0,75.0,,0.0,1.0,8.0,1.0,3.0,1.0,0.0,,4.0,64.1,14.0,2.0,1.0,3.0,6.0,56.0,5.0,,605.0,11.0,12.0,21.0,5.0,35.0,3.0,1.0,427.0,5.0,4.0,17.0,155.0,33.0,4.0,7.0,16.0,2.0,6.0,3.0,13.0,4.0,10.0,5.0,1.0,2.0,1.0,5.0,4.0,3.0,3.0,,2.0,1.0,1.0,,1.0,,1.0,,4.0,4.0,,,,,,,3.0,1.0,3.0,,2.0,,,3.0,,,2.0,2.0,,1.0,,,1.0,,,,,1.0,,,,,,,2.0,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,3.0,,3.0,1.0,,,,3.0,,,1.0,,,,,,,
32,987911,2019-03-30 17:30:00,"London Stadium, London",59988,Home,West Ham United,Everton,0,2,L,0,2,0,0,1.0,65.0,1.0,,27.0,23.0,2.0,,7.0,,158.0,5.0,7.0,2.0,1.0,104.0,158.0,63.0,3.0,20.0,,,17.0,16.0,1.0,23.0,4.0,10.0,35.0,146.0,0.0,103.0,7.0,5.0,,58.0,80.0,1.0,60.0,3.0,2.0,13.0,18.0,3.0,6.0,158.0,,14.0,98.0,632.0,,2.0,6.0,7.0,,14.0,309.0,33.0,4.0,10.0,1.0,4.0,1.0,28.0,394.0,53.0,,86934,,188.0,7.0,213.0,3.0,18.0,5.0,62.0,,2.0,6.0,17.0,3.0,3.0,,56.0,329.0,12.0,12.0,,18.0,66.0,,0.0,,9.0,6.0,2.0,1.0,0.0,,,49.3,16.0,7.0,,6.0,,44.0,4.0,,420.0,14.0,11.0,15.0,2.0,21.0,1.0,,224.0,1.0,8.0,21.0,55.0,18.0,3.0,10.0,23.0,2.0,3.0,3.0,20.0,3.0,7.0,4.0,1.0,,,3.0,,1.0,,,,,,1.0,,,,,,4.0,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,987913,2019-04-08 20:00:00,"Stamford Bridge, London",40537,Away,West Ham United,Chelsea,0,2,L,0,1,0,0,,57.0,,3.0,35.0,16.0,2.0,6.0,5.0,2.0,128.0,3.0,7.0,6.0,2.0,102.0,134.0,50.0,9.0,11.0,1.0,1.0,14.0,11.0,1.0,16.0,3.0,4.0,41.0,150.0,0.0,99.0,7.0,1.0,1.0,64.0,56.0,5.0,62.0,1.0,2.0,11.0,24.0,3.0,4.0,134.0,1.0,12.0,114.0,591.0,,5.0,5.0,13.0,,12.0,292.0,24.0,7.0,6.0,1.0,3.0,1.0,27.0,377.0,41.0,,86934,5.0,164.0,7.0,192.0,5.0,24.0,13.0,48.0,,1.0,8.0,13.0,4.0,4.0,1.0,70.0,311.0,8.0,18.0,1.0,18.0,65.0,1.0,0.0,2.0,7.0,5.0,2.0,2.0,0.0,,,46.0,27.0,3.0,1.0,8.0,4.0,33.0,4.0,1.0,406.0,12.0,6.0,20.0,3.0,22.0,1.0,2.0,228.0,5.0,1.0,11.0,64.0,20.0,1.0,6.0,24.0,2.0,5.0,2.0,13.0,1.0,10.0,4.0,,,,3.0,,,1.0,,,,,,,1.0,,1.0,,2.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,987928,2019-04-13 17:30:00,"Old Trafford, Manchester",74478,Away,West Ham United,Manchester United,1,2,L,0,1,0,0,,77.0,1.0,3.0,17.0,19.0,7.0,11.0,2.0,1.0,168.0,9.0,11.0,13.0,4.0,133.0,157.0,61.0,18.0,20.0,2.0,1.0,26.0,10.0,1.0,19.0,10.0,7.0,33.0,249.0,0.0,142.0,5.0,1.0,,93.0,93.0,8.0,78.0,1.0,2.0,16.0,23.0,7.0,3.0,157.0,1.0,9.0,140.0,726.0,,8.0,8.0,43.0,1.0,12.0,392.0,22.0,2.0,6.0,1.0,5.0,5.0,19.0,486.0,51.0,,86934,5.0,176.0,13.0,197.0,5.0,23.0,7.0,53.0,1.0,3.0,,10.0,5.0,3.0,1.0,48.0,416.0,12.0,7.0,4.0,16.0,88.0,,0.0,,3.0,1.0,2.0,2.0,0.0,,4.0,57.7,17.0,5.0,3.0,1.0,8.0,54.0,11.0,,519.0,12.0,10.0,11.0,6.0,33.0,5.0,4.0,348.0,5.0,7.0,22.0,96.0,44.0,1.0,6.0,17.0,2.0,9.0,3.0,22.0,1.0,6.0,11.0,1.0,1.0,,7.0,1.0,2.0,5.0,,1.0,,,1.0,1.0,2.0,,,1.0,4.0,3.0,,,,1.0,,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,2.0,,2.0,,,1.0,1.0,2.0,,,,,,
35,987940,2019-04-20 15:00:00,"London Stadium, London",59960,Home,West Ham United,Leicester City,2,2,D,1,0,0,0,1.0,63.0,3.0,2.0,17.0,20.0,2.0,7.0,3.0,1.0,144.0,7.0,14.0,10.0,3.0,91.0,139.0,51.0,11.0,15.0,1.0,,21.0,10.0,,20.0,6.0,7.0,51.0,216.0,0.0,157.0,8.0,1.0,1.0,70.0,88.0,5.0,59.0,2.0,,15.0,17.0,4.0,7.0,139.0,,8.0,116.0,617.0,,8.0,5.0,24.0,,10.0,311.0,21.0,2.0,10.0,2.0,1.0,5.0,23.0,385.0,45.0,,81012,4.0,119.0,8.0,130.0,6.0,17.0,6.0,65.0,2.0,1.0,7.0,12.0,3.0,2.0,,44.0,328.0,9.0,16.0,1.0,12.0,60.0,,0.0,1.0,8.0,,2.0,3.0,0.0,1.0,2.0,49.3,21.0,6.0,1.0,7.0,3.0,35.0,6.0,1.0,410.0,10.0,16.0,26.0,5.0,36.0,4.0,2.0,301.0,6.0,7.0,9.0,109.0,27.0,4.0,10.0,19.0,2.0,10.0,3.0,25.0,4.0,5.0,6.0,,1.0,,4.0,2.0,1.0,1.0,1.0,4.0,,,,1.0,2.0,,,2.0,3.0,1.0,,2.0,,1.0,,2.0,,1.0,,,,2.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,2.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,
36,987950,2019-04-27 12:30:00,"Tottenham Hotspur Stadium, London",60043,Away,West Ham United,Tottenham Hotspur,1,0,W,0,0,0,0,,69.0,,3.0,28.0,21.0,3.0,8.0,4.0,5.0,156.0,2.0,9.0,12.0,7.0,82.0,164.0,39.0,16.0,19.0,3.0,3.0,19.0,13.0,3.0,21.0,7.0,4.0,33.0,157.0,0.0,101.0,8.0,5.0,,73.0,79.0,9.0,50.0,2.0,2.0,12.0,26.0,8.0,2.0,164.0,,9.0,63.0,579.0,,10.0,3.0,17.0,,15.0,247.0,33.0,7.0,15.0,2.0,6.0,3.0,25.0,329.0,61.0,1.0,81012,3.0,99.0,8.0,117.0,5.0,26.0,9.0,67.0,6.0,3.0,4.0,18.0,5.0,2.0,2.0,70.0,254.0,3.0,20.0,1.0,27.0,76.0,,0.0,4.0,2.0,4.0,,2.0,0.0,1.0,1.0,37.0,20.0,1.0,2.0,4.0,4.0,35.0,7.0,1.0,351.0,15.0,6.0,21.0,5.0,30.0,1.0,1.0,253.0,12.0,4.0,6.0,62.0,22.0,3.0,15.0,21.0,,14.0,3.0,23.0,3.0,14.0,7.0,1.0,1.0,,7.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,2.0,1.0,,4.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,4.0,,,4.0,1.0,,1.0,4.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
37,987960,2019-05-04 15:00:00,"London Stadium, London",59961,Home,West Ham United,Southampton,3,0,W,1,0,0,0,,76.0,,1.0,31.0,26.0,6.0,8.0,1.0,3.0,188.0,1.0,24.0,11.0,6.0,123.0,146.0,78.0,17.0,13.0,2.0,1.0,7.0,12.0,1.0,26.0,2.0,4.0,34.0,230.0,0.0,150.0,2.0,,1.0,108.0,50.0,7.0,95.0,1.0,1.0,5.0,19.0,9.0,1.0,146.0,,7.0,114.0,728.0,,10.0,4.0,25.0,,15.0,408.0,37.0,7.0,12.0,1.0,7.0,4.0,21.0,498.0,51.0,1.0,86934,3.0,192.0,4.0,224.0,2.0,19.0,7.0,37.0,3.0,3.0,1.0,15.0,4.0,2.0,3.0,62.0,421.0,10.0,8.0,,24.0,72.0,1.0,0.0,2.0,7.0,1.0,,,0.0,,1.0,56.3,14.0,3.0,3.0,1.0,5.0,37.0,2.0,1.0,520.0,15.0,10.0,16.0,6.0,18.0,1.0,2.0,303.0,10.0,4.0,27.0,115.0,30.0,2.0,12.0,18.0,,16.0,3.0,28.0,2.0,8.0,2.0,,2.0,1.0,9.0,3.0,1.0,4.0,1.0,2.0,,,,1.0,1.0,,1.0,3.0,,,2.0,,1.0,1.0,,4.0,1.0,1.0,,,,3.0,1.0,,,1.0,1.0,,2.0,1.0,1.0,2.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
38,987971,2019-05-12 15:00:00,"Vicarage Road, Watford",20067,Away,West Ham United,Watford,4,1,W,2,0,0,1,,63.0,1.0,,29.0,34.0,4.0,8.0,7.0,4.0,142.0,2.0,23.0,9.0,9.0,127.0,100.0,59.0,16.0,12.0,3.0,,9.0,6.0,2.0,34.0,2.0,4.0,30.0,224.0,0.0,110.0,10.0,4.0,,69.0,61.0,6.0,62.0,2.0,1.0,7.0,4.0,8.0,2.0,100.0,,14.0,129.0,674.0,,7.0,5.0,20.0,1.0,15.0,387.0,21.0,3.0,13.0,0.0,5.0,3.0,12.0,442.0,38.0,3.0,86934,5.0,180.0,3.0,198.0,5.0,4.0,7.0,44.0,6.0,1.0,10.0,14.0,3.0,6.0,1.0,48.0,402.0,10.0,5.0,1.0,13.0,65.0,,0.0,3.0,7.0,6.0,1.0,2.0,0.0,1.0,2.0,51.7,12.0,1.0,,10.0,2.0,47.0,2.0,,460.0,15.0,12.0,19.0,5.0,25.0,1.0,1.0,271.0,10.0,3.0,11.0,88.0,26.0,3.0,13.0,15.0,1.0,11.0,3.0,28.0,3.0,2.0,2.0,,3.0,3.0,8.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,2.0,4.0,1.0,,1.0,,1.0,1.0,,4.0,2.0,1.0,2.0,1.0,,3.0,,,1.0,2.0,2.0,,1.0,1.0,2.0,1.0,,,,,3.0,1.0,1.0,,,,,,1.0,2.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,,1.0,,2.0,,,,,,,,1.0
