gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,shotFastbreak,attBxRight,goalFastbreak,attOneOnOne,attMissHighRight,penaltyWon,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,goodHighClaim,totalFlickOn,attPenGoal,attFastbreak,accurateFlickOn,shieldBallOop,attSvHighCentre,totalHighClaim,handBall,attCmissRight,postScoringAtt,accurateKeeperSweeper,attFreekickPost,hitWoodwork,totalKeeperSweeper,attCmissHigh,attOboxPost,attPostHigh,goalAssistSetplay,goalAssistDeadball,goalsConceded,attHdGoal,goalsConcededIbox,errorLeadToGoal,interceptionsInBox,attCmissHighLeft,sixYardBlock,defenderGoals,attGoalHighLeft,attOboxGoal,ptsGainedLosingPos,accuratePullBack,errorLeadToShot,penaltyConceded,penaltyFaced,attIboxPost,attHdPost,attLgCentre,attObxRight,attPostRight,contentiousDecision,attPostLeft,ptsDroppedWinningPos,attSvHighRight,secondYellow,attFreekickGoal,foulThrowIn,attGoalHighCentre,attCmissHighRight,attCorner,attFreekickMiss,attObxdLeft,goalsConcededObox,clearanceOffLine
27,987859,2019-02-24 14:05:00,"Old Trafford, Manchester",74519,Away,Liverpool,Manchester United,0,0,D,0,0,0,0,1.0,,60.0,,1.0,2.0,29.0,9.0,3.0,2.0,4.0,3.0,,,162.0,,3.0,13.0,,5.0,6.0,1.0,176.0,138.0,71.0,1.0,7.0,,18.0,,,,1.0,26.0,12.0,,1.0,9.0,5.0,4.0,49.0,259.0,1.0,0.0,187.0,17.0,,3.0,43.0,103.0,3.0,81.0,,21.0,21.0,3.0,1.0,8.0,2.0,138.0,,4.0,146.0,746.0,3.0,30.0,,5.0,458.0,19.0,,2.0,6.0,,3.0,2.0,3.0,20.0,544.0,63.0,,,97032,2.0,222.0,,10.0,1.0,238.0,13.0,,1.0,21.0,2.0,59.0,,1.0,9.0,,5.0,2.0,2.0,2.0,49.0,478.0,14.0,6.0,3.0,4.0,56.0,,,,0.0,,2.0,3.0,2.0,,0.0,,,2.0,64.6,19.0,2.0,6.0,1.0,10.0,2.0,34.0,7.0,565.0,5.0,11.0,22.0,4.0,44.0,3.0,2.0,353.0,2.0,4.0,25.0,128.0,23.0,,,6.0,19.0,2.0,3.0,20.0,,9.0,7.0,,,,,,1.0,,,,,1.0,,4.0,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
28,987868,2019-02-27 20:00:00,"Anfield, Liverpool",53316,Home,Liverpool,Watford,5,0,W,2,0,0,0,3.0,4.0,55.0,1.0,,2.0,41.0,18.0,7.0,6.0,11.0,3.0,,2.0,192.0,1.0,6.0,17.0,5.0,4.0,9.0,10.0,168.0,155.0,50.0,,19.0,3.0,8.0,2.0,3.0,3.0,2.0,21.0,12.0,,3.0,18.0,3.0,3.0,60.0,283.0,1.0,0.0,186.0,5.0,,4.0,63.0,124.0,6.0,94.0,1.0,18.0,17.0,8.0,,11.0,2.0,155.0,4.0,4.0,173.0,846.0,3.0,41.0,,10.0,521.0,17.0,1.0,2.0,13.0,5.0,0.0,1.0,3.0,22.0,610.0,56.0,1.0,1.0,97032,6.0,257.0,,3.0,3.0,277.0,3.0,2.0,1.0,17.0,8.0,50.0,3.0,1.0,6.0,3.0,14.0,1.0,4.0,,62.0,534.0,7.0,10.0,1.0,9.0,83.0,1.0,1.0,,0.0,,3.0,4.0,3.0,5.0,0.0,5.0,4.0,3.0,61.6,20.0,,7.0,1.0,6.0,5.0,60.0,6.0,627.0,10.0,9.0,38.0,4.0,43.0,1.0,2.0,371.0,10.0,2.0,10.0,141.0,25.0,3.0,,13.0,16.0,15.0,3.0,35.0,,8.0,7.0,2.0,2.0,2.0,,,,,1.0,2.0,,,1.0,8.0,,2.0,6.0,3.0,1.0,1.0,,,,,,1.0,,,,,2.0,1.0,,3.0,,,1.0,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,
29,987875,2019-03-03 16:15:00,"Goodison Park, Liverpool",39335,Away,Liverpool,Everton,0,0,D,0,0,0,0,2.0,,70.0,,,2.0,30.0,34.0,3.0,3.0,7.0,3.0,,1.0,167.0,,5.0,10.0,,2.0,9.0,3.0,130.0,181.0,73.0,1.0,10.0,2.0,29.0,2.0,,1.0,2.0,21.0,13.0,,1.0,34.0,5.0,5.0,42.0,145.0,1.0,0.0,127.0,10.0,,,47.0,60.0,5.0,60.0,1.0,16.0,7.0,3.0,1.0,9.0,,181.0,2.0,6.0,117.0,697.0,6.0,31.0,,13.0,341.0,32.0,,8.0,19.0,,2.0,1.0,3.0,33.0,453.0,61.0,1.0,,97032,3.0,218.0,3.0,7.0,2.0,248.0,7.0,,1.0,7.0,4.0,68.0,4.0,4.0,10.0,,17.0,1.0,2.0,,72.0,358.0,12.0,10.0,2.0,32.0,79.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,,0.0,4.0,,2.0,57.8,26.0,2.0,1.0,1.0,10.0,4.0,37.0,7.0,474.0,13.0,17.0,17.0,3.0,31.0,1.0,3.0,247.0,5.0,4.0,34.0,73.0,26.0,,1.0,19.0,18.0,5.0,3.0,12.0,1.0,2.0,7.0,,2.0,2.0,,1.0,,,1.0,2.0,,,1.0,7.0,,2.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
30,987888,2019-03-10 12:00:00,"Anfield, Liverpool",53310,Home,Liverpool,Burnley,4,2,W,2,1,0,0,1.0,4.0,63.0,,,4.0,29.0,14.0,10.0,10.0,13.0,,2.0,,212.0,2.0,4.0,7.0,4.0,1.0,18.0,5.0,163.0,184.0,55.0,1.0,23.0,6.0,27.0,1.0,1.0,,2.0,15.0,14.0,1.0,,14.0,1.0,5.0,55.0,285.0,,0.0,212.0,4.0,1.0,,96.0,96.0,11.0,105.0,2.0,14.0,20.0,10.0,1.0,7.0,4.0,184.0,3.0,1.0,167.0,851.0,17.0,42.0,,7.0,499.0,24.0,2.0,2.0,5.0,1.0,2.0,,7.0,29.0,616.0,65.0,1.0,,97032,7.0,243.0,2.0,7.0,,275.0,3.0,2.0,,20.0,7.0,67.0,5.0,2.0,3.0,4.0,19.0,2.0,3.0,,76.0,524.0,7.0,10.0,,22.0,97.0,,,1.0,0.0,,,3.0,,4.0,0.0,3.0,1.0,2.0,68.6,27.0,2.0,8.0,3.0,3.0,10.0,57.0,7.0,647.0,7.0,14.0,20.0,8.0,41.0,1.0,3.0,387.0,11.0,3.0,20.0,155.0,26.0,4.0,,5.0,21.0,19.0,3.0,20.0,,9.0,7.0,1.0,,,,,1.0,,,,,,3.0,4.0,,,2.0,1.0,,3.0,,1.0,1.0,,,1.0,,,,1.0,,,2.0,,1.0,,,1.0,,,,,3.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,1.0,
31,987896,2019-03-17 14:15:00,"Craven Cottage, London",25043,Away,Liverpool,Fulham,2,1,W,1,0,0,0,4.0,2.0,68.0,,1.0,1.0,38.0,4.0,5.0,6.0,11.0,1.0,,,168.0,1.0,7.0,10.0,2.0,3.0,11.0,6.0,177.0,158.0,58.0,,16.0,2.0,16.0,3.0,1.0,1.0,3.0,30.0,11.0,,1.0,4.0,8.0,7.0,43.0,324.0,,0.0,220.0,7.0,,1.0,121.0,93.0,7.0,97.0,1.0,23.0,20.0,5.0,,9.0,2.0,158.0,2.0,2.0,153.0,784.0,8.0,46.0,,9.0,480.0,27.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,21.0,573.0,78.0,,,97032,5.0,184.0,1.0,13.0,,204.0,4.0,2.0,1.0,20.0,3.0,55.0,2.0,1.0,4.0,1.0,14.0,5.0,3.0,,63.0,501.0,11.0,11.0,2.0,16.0,77.0,,1.0,,0.0,,2.0,1.0,,2.0,0.0,4.0,1.0,3.0,62.8,19.0,2.0,6.0,,4.0,3.0,48.0,10.0,595.0,9.0,11.0,27.0,7.0,48.0,4.0,4.0,421.0,7.0,6.0,19.0,172.0,30.0,1.0,1.0,1.0,19.0,13.0,3.0,20.0,1.0,4.0,10.0,,1.0,3.0,,,1.0,1.0,1.0,1.0,,,,4.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,2.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,
32,987909,2019-03-31 16:30:00,"Anfield, Liverpool",53322,Home,Liverpool,Tottenham Hotspur,2,1,W,1,0,0,0,1.0,1.0,63.0,,,1.0,42.0,19.0,7.0,4.0,7.0,1.0,,,147.0,1.0,7.0,4.0,2.0,1.0,12.0,3.0,118.0,142.0,42.0,1.0,14.0,2.0,10.0,2.0,1.0,1.0,1.0,23.0,11.0,,,19.0,9.0,4.0,56.0,181.0,,0.0,129.0,5.0,,,71.0,57.0,5.0,54.0,3.0,14.0,21.0,7.0,1.0,6.0,5.0,142.0,1.0,6.0,126.0,634.0,11.0,27.0,1.0,8.0,337.0,21.0,1.0,3.0,10.0,1.0,0.0,2.0,7.0,25.0,420.0,63.0,,,97032,4.0,184.0,,8.0,,204.0,3.0,,,21.0,11.0,40.0,4.0,2.0,5.0,1.0,12.0,5.0,10.0,3.0,69.0,358.0,7.0,9.0,,15.0,66.0,,1.0,,0.0,,5.0,3.0,1.0,2.0,0.0,4.0,1.0,5.0,48.7,21.0,3.0,4.0,,5.0,3.0,41.0,10.0,445.0,8.0,4.0,37.0,8.0,38.0,3.0,3.0,264.0,5.0,4.0,13.0,83.0,30.0,1.0,1.0,10.0,18.0,11.0,3.0,16.0,1.0,9.0,10.0,,1.0,1.0,,,,,1.0,1.0,,,1.0,4.0,,1.0,1.0,,1.0,2.0,,1.0,,1.0,,1.0,1.0,3.0,,,,,1.0,1.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
33,987918,2019-04-05 20:00:00,"St. Mary's Stadium, Southampton",31797,Away,Liverpool,Southampton,3,1,W,1,1,0,0,,1.0,57.0,1.0,,4.0,37.0,17.0,4.0,5.0,13.0,,2.0,1.0,174.0,1.0,8.0,6.0,3.0,,12.0,5.0,163.0,158.0,46.0,,17.0,1.0,30.0,1.0,3.0,1.0,3.0,25.0,7.0,,1.0,17.0,3.0,9.0,52.0,271.0,,0.0,164.0,7.0,,,92.0,94.0,8.0,69.0,3.0,22.0,18.0,4.0,,10.0,2.0,158.0,2.0,6.0,159.0,757.0,9.0,37.0,1.0,9.0,441.0,21.0,,3.0,12.0,3.0,4.0,4.0,4.0,29.0,535.0,59.0,1.0,,97032,8.0,202.0,1.0,12.0,,221.0,3.0,,2.0,18.0,12.0,58.0,5.0,3.0,4.0,3.0,15.0,5.0,9.0,1.0,65.0,465.0,7.0,5.0,,16.0,83.0,,,,0.0,,4.0,7.0,,3.0,0.0,8.0,2.0,4.0,67.0,26.0,2.0,1.0,1.0,4.0,5.0,52.0,5.0,565.0,9.0,9.0,27.0,7.0,47.0,,5.0,369.0,8.0,7.0,22.0,108.0,26.0,1.0,1.0,12.0,11.0,13.0,3.0,13.0,1.0,6.0,5.0,1.0,1.0,2.0,1.0,,,,,2.0,1.0,,,4.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,3.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
34,987927,2019-04-14 16:30:00,"Anfield, Liverpool",53279,Home,Liverpool,Chelsea,2,0,W,0,0,0,0,4.0,1.0,69.0,,,3.0,30.0,14.0,4.0,7.0,11.0,3.0,1.0,1.0,192.0,,3.0,8.0,2.0,3.0,14.0,7.0,180.0,164.0,49.0,,15.0,2.0,7.0,5.0,2.0,2.0,1.0,24.0,11.0,,,14.0,5.0,7.0,59.0,339.0,1.0,0.0,223.0,5.0,,,112.0,112.0,12.0,106.0,1.0,19.0,18.0,4.0,,9.0,1.0,164.0,1.0,4.0,168.0,863.0,12.0,37.0,,13.0,539.0,24.0,,5.0,8.0,2.0,0.0,,2.0,27.0,626.0,82.0,,,97032,5.0,221.0,,10.0,,240.0,2.0,,,18.0,4.0,59.0,1.0,2.0,6.0,2.0,15.0,2.0,3.0,,57.0,557.0,9.0,17.0,,12.0,71.0,1.0,1.0,1.0,0.0,,5.0,2.0,3.0,1.0,0.0,3.0,1.0,1.0,61.8,25.0,,6.0,2.0,6.0,5.0,48.0,9.0,646.0,13.0,15.0,29.0,3.0,42.0,,2.0,430.0,7.0,6.0,14.0,173.0,31.0,2.0,,8.0,19.0,11.0,3.0,23.0,,6.0,9.0,,1.0,3.0,,,1.0,,1.0,1.0,,1.0,,3.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
35,987934,2019-04-21 16:00:00,"Cardiff City Stadium, Cardiff",33082,Away,Liverpool,Cardiff City,2,0,W,0,0,0,0,3.0,1.0,61.0,,1.0,1.0,21.0,17.0,5.0,7.0,12.0,2.0,,,190.0,,8.0,12.0,2.0,3.0,14.0,6.0,172.0,134.0,58.0,1.0,17.0,2.0,17.0,3.0,,1.0,1.0,20.0,10.0,1.0,1.0,17.0,8.0,7.0,27.0,300.0,1.0,0.0,187.0,5.0,,1.0,92.0,66.0,6.0,79.0,1.0,12.0,15.0,5.0,1.0,3.0,2.0,134.0,3.0,5.0,178.0,798.0,11.0,35.0,1.0,8.0,522.0,23.0,,2.0,12.0,1.0,1.0,2.0,8.0,20.0,604.0,60.0,1.0,,97032,7.0,243.0,3.0,8.0,1.0,260.0,4.0,2.0,3.0,15.0,5.0,45.0,5.0,2.0,4.0,,16.0,2.0,4.0,5.0,43.0,535.0,6.0,8.0,2.0,12.0,76.0,1.0,,,0.0,,1.0,5.0,1.0,2.0,0.0,3.0,1.0,2.0,76.1,16.0,1.0,5.0,1.0,4.0,3.0,51.0,10.0,619.0,8.0,10.0,13.0,8.0,44.0,5.0,6.0,379.0,8.0,7.0,26.0,142.0,29.0,,1.0,12.0,15.0,11.0,3.0,17.0,1.0,8.0,10.0,1.0,,2.0,,2.0,1.0,1.0,,,1.0,2.0,,3.0,1.0,,1.0,1.0,,,,,,,,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,987947,2019-04-26 20:00:00,"Anfield, Liverpool",53249,Home,Liverpool,Huddersfield Town,5,0,W,3,0,0,0,2.0,3.0,58.0,1.0,1.0,,19.0,11.0,7.0,10.0,14.0,1.0,1.0,,223.0,2.0,3.0,11.0,5.0,1.0,18.0,7.0,198.0,141.0,54.0,,21.0,2.0,9.0,2.0,5.0,,2.0,14.0,12.0,,,11.0,3.0,3.0,47.0,263.0,1.0,0.0,129.0,5.0,,1.0,76.0,73.0,8.0,105.0,3.0,11.0,18.0,7.0,,5.0,5.0,141.0,6.0,3.0,200.0,927.0,12.0,27.0,,11.0,619.0,26.0,2.0,4.0,3.0,5.0,0.0,2.0,10.0,25.0,706.0,57.0,4.0,,97032,8.0,378.0,3.0,5.0,1.0,406.0,4.0,2.0,,18.0,1.0,41.0,4.0,2.0,5.0,5.0,12.0,2.0,1.0,4.0,42.0,638.0,13.0,4.0,1.0,11.0,94.0,1.0,1.0,,0.0,,1.0,4.0,,5.0,0.0,2.0,5.0,4.0,70.3,21.0,1.0,3.0,1.0,5.0,2.0,70.0,4.0,726.0,11.0,14.0,24.0,12.0,31.0,1.0,6.0,334.0,7.0,3.0,12.0,93.0,24.0,4.0,1.0,3.0,19.0,19.0,3.0,20.0,1.0,9.0,4.0,2.0,,3.0,,,,,1.0,,1.0,,,9.0,,,7.0,,1.0,,,,1.0,,,1.0,,2.0,,,,,,2.0,,,2.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,
37,987959,2019-05-04 19:45:00,"St. James' Park, Newcastle",52206,Away,Liverpool,Newcastle United,3,2,W,2,1,0,0,,1.0,69.0,1.0,2.0,1.0,35.0,22.0,1.0,4.0,10.0,4.0,,1.0,173.0,1.0,5.0,5.0,3.0,1.0,11.0,4.0,209.0,152.0,54.0,,11.0,,20.0,1.0,1.0,1.0,,14.0,5.0,,,22.0,3.0,14.0,47.0,291.0,,0.0,131.0,4.0,,2.0,89.0,102.0,5.0,110.0,3.0,11.0,11.0,1.0,,4.0,1.0,152.0,2.0,10.0,185.0,851.0,8.0,25.0,,4.0,554.0,23.0,1.0,6.0,13.0,3.0,1.0,5.0,6.0,25.0,660.0,60.0,1.0,1.0,97032,6.0,281.0,1.0,5.0,1.0,308.0,3.0,1.0,1.0,11.0,2.0,41.0,2.0,2.0,12.0,1.0,13.0,4.0,1.0,1.0,72.0,567.0,10.0,5.0,,23.0,99.0,,,2.0,0.0,,2.0,2.0,3.0,3.0,0.0,4.0,3.0,2.0,69.1,21.0,,4.0,1.0,12.0,1.0,65.0,3.0,677.0,4.0,8.0,20.0,6.0,33.0,1.0,5.0,383.0,5.0,13.0,26.0,80.0,29.0,1.0,2.0,13.0,13.0,9.0,3.0,9.0,2.0,4.0,3.0,,,1.0,,,1.0,,3.0,,,,,5.0,,,1.0,1.0,,,,2.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0
38,987967,2019-05-12 15:00:00,"Anfield, Liverpool",53331,Home,Liverpool,Wolverhampton Wanderers,2,0,W,1,0,0,0,2.0,2.0,74.0,1.0,,2.0,31.0,15.0,4.0,6.0,9.0,2.0,,1.0,173.0,,3.0,6.0,2.0,4.0,7.0,5.0,185.0,153.0,45.0,1.0,13.0,1.0,17.0,1.0,1.0,1.0,,18.0,9.0,,2.0,15.0,2.0,4.0,41.0,241.0,1.0,0.0,138.0,3.0,,2.0,91.0,94.0,5.0,89.0,1.0,16.0,16.0,4.0,1.0,9.0,1.0,153.0,2.0,7.0,156.0,784.0,6.0,20.0,,9.0,495.0,21.0,1.0,5.0,5.0,1.0,0.0,1.0,2.0,21.0,583.0,68.0,,1.0,97032,7.0,271.0,1.0,5.0,,284.0,2.0,1.0,,16.0,6.0,38.0,,3.0,9.0,2.0,17.0,,2.0,2.0,66.0,509.0,11.0,4.0,,15.0,98.0,2.0,,,0.0,,6.0,1.0,2.0,2.0,0.0,3.0,1.0,2.0,59.0,17.0,,5.0,,9.0,3.0,65.0,4.0,603.0,9.0,12.0,18.0,5.0,32.0,,3.0,337.0,5.0,4.0,12.0,80.0,37.0,2.0,1.0,5.0,16.0,10.0,3.0,8.0,1.0,7.0,4.0,1.0,,1.0,,,,,1.0,,,,,5.0,,,2.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,
