gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,goalAssistSetplay,attOboxBlocked,attMissLeft,attOneOnOne,attMissHighRight,goodHighClaim,attOboxMiss,accurateThroughBall,accurateFreekickCross,errorLeadToShot,bigChanceMissed,totalThroughBall,goalAssistIntentional,shieldBallOop,attSvHighCentre,blockedScoringAtt,totalHighClaim,attHdGoal,attFreekickTotal,interceptionsInBox,freekickTotal,attMissHighLeft,penaltyConceded,totalPullBack,defenderGoals,attMissHigh,attFreekickTarget,penaltyFaced,penGoalsConceded,shotFastbreak,ptsGainedLosingPos,totalFastbreak,attFastbreak,attCmissLeft,punches,accuratePullBack,postScoringAtt,attIboxPost,attGoalHighRight,hitWoodwork,attPostHigh,errorLeadToGoal,attSvHighRight,contentiousDecision,attGoalLowLeft,attLfGoal,attPenPost,cleanSheet,attOboxGoal,penaltyWon,sixYardBlock,attGoalHighLeft,forwardGoals,penaltySave,goalFastbreak,attCmissHigh,attPenGoal,attGoalHighCentre,attOboxPost,attCmissHighRight,attPostRight,attSvHighLeft,attFreekickMiss,handBall,attPenTarget,attLgCentre,ownGoals,attFreekickGoal,attIboxOwnGoal,clearanceOffLine,attHdPost,attOboxOwnGoal,attFreekickPost,secondYellow,attObxdRight,foulThrowIn,goalAssistDeadball,attCorner
27,987857,2019-02-06 19:45:00,"Goodison Park, Liverpool",39322,Home,Everton,Manchester City,0,2,L,0,1,0,0,,,,55.0,,,31.0,23.0,3.0,1.0,1.0,2.0,1.0,129.0,,1.0,13.0,,2.0,1.0,,1.0,68.0,143.0,61.0,4.0,29.0,,,,,,18.0,19.0,1.0,23.0,4.0,4.0,29.0,146.0,0.0,120.0,12.0,1.0,,,1.0,47.0,76.0,1.0,59.0,,14.0,25.0,3.0,4.0,143.0,,13.0,80.0,543.0,1.0,9.0,17.0,,11.0,240.0,29.0,9.0,13.0,,,1.0,6.0,,26.0,313.0,64.0,80801,1.0,106.0,9.0,,125.0,6.0,,25.0,8.0,71.0,,2.0,,18.0,2.0,3.0,71.0,251.0,6.0,11.0,,27.0,59.0,,0.0,1.0,6.0,2.0,,2.0,2.0,0.0,1.0,,38.8,24.0,,5.0,,2.0,28.0,5.0,336.0,11.0,16.0,16.0,,25.0,,,229.0,2.0,4.0,17.0,74.0,16.0,1.0,13.0,27.0,2.0,1.0,3.0,17.0,,1.0,11.0,5.0,1.0,,2.0,,,,,,,,1.0,,,,1.0,1.0,3.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,987863,2019-02-26 19:45:00,"Cardiff City Stadium, Cardiff",31849,Away,Everton,Cardiff City,3,0,W,1,0,0,0,,,1.0,59.0,1.0,,22.0,33.0,4.0,4.0,8.0,,1.0,190.0,,2.0,8.0,3.0,2.0,10.0,,4.0,143.0,175.0,66.0,12.0,41.0,1.0,2.0,,2.0,1.0,16.0,7.0,,33.0,4.0,9.0,35.0,233.0,0.0,163.0,12.0,,2.0,,3.0,68.0,115.0,6.0,86.0,2.0,12.0,16.0,4.0,4.0,175.0,1.0,4.0,115.0,740.0,8.0,6.0,28.0,,6.0,413.0,21.0,8.0,20.0,2.0,,1.0,1.0,4.0,37.0,515.0,67.0,80801,6.0,194.0,5.0,,227.0,7.0,2.0,16.0,5.0,82.0,1.0,2.0,3.0,11.0,2.0,3.0,58.0,425.0,11.0,7.0,,26.0,79.0,,0.0,3.0,3.0,,2.0,,3.0,0.0,1.0,,67.2,24.0,,3.0,,2.0,38.0,4.0,534.0,6.0,13.0,12.0,5.0,31.0,1.0,4.0,323.0,8.0,9.0,37.0,114.0,30.0,2.0,20.0,10.0,,10.0,3.0,18.0,,2.0,4.0,4.0,1.0,,2.0,2.0,,,,1.0,1.0,,,,3.0,2.0,,,3.0,1.0,,,,,,,1.0,,1.0,,,,,,,,2.0,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,
29,987875,2019-03-03 16:15:00,"Goodison Park, Liverpool",39335,Home,Everton,Liverpool,0,0,D,0,0,0,0,,,,66.0,,1.0,23.0,27.0,1.0,1.0,6.0,3.0,1.0,164.0,,7.0,10.0,,2.0,7.0,,3.0,60.0,185.0,68.0,7.0,34.0,3.0,1.0,,,2.0,20.0,14.0,,27.0,3.0,9.0,28.0,109.0,0.0,131.0,12.0,,,1.0,2.0,47.0,81.0,4.0,53.0,1.0,17.0,6.0,1.0,4.0,185.0,,7.0,66.0,555.0,4.0,9.0,18.0,2.0,14.0,208.0,17.0,6.0,12.0,,,1.0,4.0,3.0,33.0,314.0,72.0,80801,5.0,114.0,11.0,1.0,136.0,8.0,,6.0,9.0,73.0,2.0,6.0,,14.0,3.0,3.0,80.0,216.0,10.0,10.0,3.0,32.0,83.0,,0.0,3.0,7.0,2.0,,,2.0,0.0,5.0,4.0,42.2,25.0,2.0,3.0,,6.0,26.0,3.0,343.0,14.0,9.0,9.0,3.0,33.0,2.0,3.0,227.0,2.0,8.0,29.0,60.0,31.0,2.0,12.0,19.0,,4.0,3.0,19.0,,2.0,3.0,3.0,,,1.0,1.0,,,,,,1.0,,,1.0,,2.0,,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,987890,2019-03-09 15:00:00,"St. James' Park, Newcastle",52242,Away,Everton,Newcastle United,2,3,L,2,0,0,0,,,1.0,56.0,1.0,1.0,24.0,26.0,,1.0,7.0,4.0,1.0,180.0,1.0,2.0,6.0,2.0,4.0,5.0,1.0,3.0,102.0,183.0,66.0,7.0,18.0,1.0,1.0,,1.0,,20.0,14.0,,26.0,2.0,2.0,26.0,177.0,0.0,143.0,10.0,3.0,1.0,,4.0,80.0,86.0,3.0,46.0,1.0,18.0,24.0,,3.0,183.0,,12.0,115.0,671.0,4.0,7.0,24.0,,13.0,315.0,19.0,4.0,10.0,1.0,,1.0,3.0,2.0,40.0,419.0,51.0,80801,4.0,157.0,11.0,,181.0,7.0,1.0,24.0,9.0,56.0,,3.0,2.0,23.0,7.0,4.0,56.0,332.0,12.0,7.0,,18.0,85.0,1.0,0.0,2.0,8.0,3.0,2.0,3.0,3.0,0.0,2.0,1.0,54.5,33.0,,2.0,1.0,3.0,50.0,2.0,443.0,13.0,14.0,13.0,2.0,32.0,,2.0,282.0,5.0,2.0,29.0,93.0,32.0,3.0,10.0,20.0,3.0,7.0,3.0,14.0,3.0,3.0,9.0,2.0,2.0,,,,,1.0,,,,,3.0,,2.0,1.0,2.0,,2.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
31,987895,2019-03-17 16:30:00,"Goodison Park, Liverpool",39356,Home,Everton,Chelsea,2,0,W,0,0,0,0,,3.0,2.0,67.0,,4.0,31.0,25.0,3.0,6.0,12.0,5.0,2.0,138.0,1.0,5.0,6.0,2.0,3.0,9.0,,8.0,64.0,140.0,39.0,15.0,18.0,4.0,3.0,,,2.0,13.0,4.0,2.0,25.0,3.0,3.0,17.0,97.0,0.0,80.0,17.0,2.0,2.0,1.0,2.0,50.0,49.0,6.0,43.0,,10.0,20.0,3.0,2.0,140.0,,10.0,69.0,526.0,5.0,6.0,23.0,1.0,18.0,214.0,31.0,6.0,8.0,,,1.0,6.0,3.0,25.0,293.0,33.0,80801,6.0,136.0,6.0,2.0,157.0,10.0,1.0,20.0,8.0,67.0,1.0,4.0,,18.0,7.0,5.0,64.0,228.0,8.0,12.0,4.0,28.0,73.0,1.0,0.0,1.0,4.0,1.0,2.0,,3.0,0.0,2.0,4.0,32.7,20.0,2.0,2.0,1.0,4.0,33.0,3.0,314.0,18.0,17.0,11.0,4.0,16.0,3.0,3.0,170.0,4.0,3.0,13.0,49.0,25.0,1.0,8.0,13.0,,8.0,3.0,10.0,,1.0,12.0,3.0,3.0,,,,,,1.0,1.0,1.0,1.0,,2.0,2.0,,1.0,,3.0,1.0,1.0,,5.0,,1.0,,2.0,,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,
32,987911,2019-03-30 17:30:00,"London Stadium, London",59988,Away,Everton,West Ham United,2,0,W,2,0,0,0,,1.0,1.0,68.0,,1.0,29.0,21.0,3.0,3.0,14.0,1.0,5.0,157.0,1.0,5.0,12.0,2.0,,15.0,,9.0,96.0,152.0,62.0,17.0,21.0,6.0,2.0,,1.0,1.0,21.0,21.0,1.0,21.0,9.0,5.0,39.0,181.0,0.0,148.0,14.0,1.0,1.0,1.0,,58.0,75.0,11.0,68.0,,12.0,19.0,3.0,3.0,152.0,4.0,,110.0,654.0,12.0,6.0,36.0,1.0,19.0,330.0,24.0,7.0,10.0,2.0,,1.0,,4.0,25.0,417.0,54.0,80801,6.0,164.0,9.0,,184.0,8.0,1.0,19.0,4.0,63.0,3.0,4.0,1.0,15.0,3.0,2.0,58.0,340.0,6.0,7.0,1.0,20.0,68.0,2.0,0.0,,4.0,,2.0,,1.0,0.0,,3.0,50.7,21.0,,4.0,2.0,4.0,43.0,9.0,431.0,19.0,14.0,21.0,4.0,37.0,5.0,3.0,268.0,11.0,5.0,20.0,98.0,33.0,2.0,10.0,24.0,,13.0,3.0,21.0,,2.0,9.0,9.0,2.0,1.0,2.0,1.0,,2.0,,,,,,3.0,,2.0,,1.0,4.0,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,1.0,,,,,,1.0,
33,987914,2019-04-07 14:05:00,"Goodison Park, Liverpool",39400,Home,Everton,Arsenal,1,0,W,1,0,0,0,,1.0,1.0,70.0,,,27.0,21.0,8.0,5.0,15.0,2.0,3.0,143.0,1.0,8.0,8.0,1.0,,14.0,1.0,6.0,97.0,145.0,58.0,23.0,17.0,4.0,3.0,,,4.0,21.0,11.0,1.0,21.0,7.0,4.0,35.0,193.0,0.0,145.0,8.0,,,,,80.0,58.0,10.0,59.0,3.0,14.0,19.0,8.0,2.0,145.0,1.0,6.0,82.0,594.0,10.0,8.0,34.0,1.0,14.0,284.0,25.0,8.0,9.0,,,1.0,2.0,4.0,17.0,357.0,67.0,80801,7.0,114.0,12.0,,132.0,5.0,1.0,19.0,7.0,60.0,3.0,3.0,,18.0,1.0,3.0,60.0,299.0,9.0,14.0,4.0,22.0,64.0,,0.0,2.0,6.0,2.0,1.0,,3.0,0.0,3.0,3.0,42.9,11.0,2.0,10.0,4.0,3.0,33.0,9.0,381.0,14.0,13.0,21.0,9.0,35.0,5.0,4.0,270.0,13.0,3.0,22.0,97.0,29.0,4.0,9.0,19.0,,16.0,3.0,16.0,,4.0,9.0,9.0,6.0,,2.0,2.0,1.0,,,5.0,,,1.0,3.0,1.0,,1.0,1.0,8.0,,,,,,2.0,,,1.0,2.0,,,,2.0,,2.0,2.0,,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,987925,2019-04-13 15:00:00,"Craven Cottage, London",24971,Away,Everton,Fulham,0,2,L,0,0,0,0,,1.0,,69.0,,1.0,33.0,13.0,2.0,3.0,7.0,3.0,,196.0,,6.0,9.0,,2.0,8.0,,1.0,113.0,183.0,74.0,9.0,30.0,1.0,1.0,1.0,,1.0,21.0,19.0,,13.0,3.0,5.0,39.0,207.0,0.0,157.0,10.0,1.0,,,2.0,104.0,71.0,2.0,60.0,,18.0,16.0,2.0,5.0,183.0,2.0,9.0,127.0,709.0,7.0,12.0,26.0,,8.0,361.0,25.0,7.0,6.0,,1.0,1.0,,6.0,32.0,477.0,77.0,80801,5.0,175.0,11.0,1.0,200.0,4.0,,16.0,6.0,71.0,1.0,4.0,,21.0,3.0,6.0,79.0,376.0,8.0,12.0,1.0,36.0,92.0,,0.0,,7.0,2.0,,2.0,4.0,0.0,5.0,2.0,59.4,26.0,2.0,2.0,1.0,4.0,51.0,3.0,496.0,8.0,11.0,16.0,6.0,40.0,1.0,3.0,317.0,4.0,4.0,29.0,97.0,32.0,,6.0,28.0,2.0,8.0,3.0,18.0,,,5.0,3.0,2.0,,,1.0,,1.0,1.0,2.0,2.0,1.0,,2.0,4.0,,,,2.0,1.0,,,,,,,,,3.0,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
35,987936,2019-04-21 13:30:00,"Goodison Park, Liverpool",39395,Home,Everton,Manchester United,4,0,W,2,0,0,0,,1.0,1.0,64.0,1.0,1.0,16.0,24.0,5.0,7.0,10.0,1.0,3.0,164.0,,7.0,3.0,4.0,3.0,11.0,,8.0,90.0,133.0,48.0,15.0,25.0,4.0,2.0,2.0,2.0,,26.0,11.0,,24.0,9.0,4.0,25.0,163.0,0.0,112.0,11.0,1.0,2.0,1.0,2.0,72.0,70.0,9.0,53.0,1.0,17.0,19.0,5.0,3.0,133.0,1.0,3.0,76.0,583.0,6.0,8.0,17.0,,13.0,293.0,33.0,2.0,10.0,3.0,2.0,1.0,1.0,2.0,24.0,367.0,61.0,80801,5.0,148.0,12.0,,168.0,9.0,2.0,19.0,6.0,55.0,1.0,2.0,2.0,13.0,4.0,4.0,57.0,304.0,7.0,7.0,2.0,25.0,72.0,3.0,0.0,2.0,2.0,,2.0,,4.0,0.0,5.0,1.0,48.3,17.0,1.0,2.0,1.0,2.0,35.0,10.0,383.0,13.0,7.0,9.0,3.0,34.0,2.0,2.0,241.0,5.0,4.0,21.0,78.0,20.0,2.0,10.0,17.0,,7.0,3.0,8.0,,2.0,8.0,10.0,2.0,1.0,2.0,2.0,1.0,,,1.0,1.0,,,1.0,2.0,1.0,1.0,,4.0,,,,2.0,,,,,1.0,,,,,1.0,,2.0,1.0,,,,,,,,,,,,2.0,2.0,,1.0,2.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
36,987944,2019-04-27 15:00:00,"Selhurst Park, London",25789,Away,Everton,Crystal Palace,0,0,D,0,0,0,0,,1.0,,74.0,,,30.0,19.0,6.0,6.0,16.0,,2.0,215.0,,8.0,4.0,,2.0,13.0,,3.0,121.0,185.0,50.0,22.0,25.0,2.0,2.0,,,2.0,33.0,10.0,1.0,19.0,10.0,7.0,25.0,258.0,0.0,182.0,15.0,,,1.0,2.0,95.0,102.0,9.0,73.0,2.0,23.0,30.0,6.0,4.0,185.0,1.0,4.0,134.0,777.0,9.0,7.0,45.0,,12.0,417.0,25.0,4.0,13.0,,,0.0,3.0,4.0,22.0,524.0,66.0,80801,12.0,182.0,17.0,,208.0,8.0,,30.0,6.0,75.0,,4.0,,16.0,4.0,4.0,51.0,432.0,9.0,15.0,4.0,16.0,80.0,,0.0,6.0,5.0,,,,2.0,0.0,4.0,3.0,63.9,16.0,3.0,5.0,2.0,4.0,55.0,10.0,543.0,12.0,11.0,13.0,8.0,45.0,4.0,5.0,368.0,11.0,5.0,17.0,128.0,38.0,,13.0,20.0,,16.0,3.0,14.0,,,11.0,10.0,9.0,,2.0,4.0,,,,3.0,,,,1.0,,,,,11.0,,,,2.0,,,,1.0,,2.0,,,,1.0,,1.0,1.0,,,1.0,,,,2.0,,,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
37,987956,2019-05-03 20:00:00,"Goodison Park, Liverpool",39303,Home,Everton,Burnley,2,0,W,2,0,0,0,,2.0,1.0,66.0,,,27.0,22.0,10.0,10.0,10.0,1.0,3.0,185.0,,4.0,10.0,2.0,,11.0,1.0,6.0,141.0,154.0,59.0,20.0,29.0,3.0,2.0,1.0,,2.0,23.0,15.0,2.0,22.0,5.0,1.0,35.0,240.0,0.0,169.0,8.0,1.0,,,,85.0,84.0,4.0,85.0,3.0,18.0,14.0,10.0,4.0,154.0,,3.0,144.0,764.0,10.0,5.0,30.0,,14.0,447.0,35.0,3.0,11.0,,1.0,0.0,,7.0,19.0,531.0,61.0,80801,4.0,228.0,14.0,,251.0,4.0,,14.0,8.0,58.0,1.0,1.0,1.0,20.0,2.0,3.0,62.0,464.0,8.0,7.0,1.0,20.0,80.0,2.0,0.0,2.0,1.0,1.0,2.0,,1.0,0.0,3.0,3.0,60.1,15.0,2.0,3.0,,1.0,45.0,8.0,555.0,14.0,4.0,17.0,9.0,38.0,1.0,4.0,327.0,7.0,1.0,21.0,124.0,24.0,1.0,11.0,20.0,,16.0,3.0,23.0,,1.0,9.0,8.0,2.0,,3.0,1.0,1.0,1.0,,4.0,,,,1.0,2.0,,1.0,1.0,5.0,,1.0,,1.0,,,,1.0,1.0,3.0,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
38,987970,2019-05-12 15:00:00,"Tottenham Hotspur Stadium, London",60124,Away,Everton,Tottenham Hotspur,2,2,D,0,1,0,0,1.0,1.0,1.0,62.0,,,24.0,17.0,2.0,6.0,14.0,1.0,3.0,151.0,,6.0,4.0,2.0,2.0,11.0,,9.0,108.0,146.0,48.0,16.0,17.0,6.0,3.0,,1.0,4.0,18.0,9.0,1.0,17.0,3.0,4.0,37.0,154.0,0.0,106.0,13.0,,1.0,3.0,3.0,81.0,42.0,8.0,73.0,,15.0,18.0,2.0,3.0,146.0,2.0,4.0,104.0,638.0,7.0,3.0,26.0,3.0,11.0,337.0,26.0,3.0,13.0,1.0,,2.0,3.0,3.0,17.0,415.0,40.0,80801,7.0,207.0,9.0,2.0,227.0,7.0,,18.0,8.0,59.0,1.0,5.0,1.0,27.0,7.0,7.0,51.0,355.0,10.0,7.0,3.0,16.0,48.0,,0.0,1.0,7.0,1.0,2.0,2.0,2.0,0.0,5.0,4.0,45.0,16.0,1.0,7.0,1.0,6.0,31.0,4.0,436.0,11.0,13.0,25.0,3.0,33.0,1.0,3.0,227.0,6.0,4.0,18.0,69.0,22.0,3.0,13.0,16.0,1.0,9.0,2.0,13.0,2.0,3.0,12.0,4.0,3.0,,1.0,2.0,,,,,,2.0,,3.0,,1.0,1.0,,4.0,,,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
