gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowCentre,attCmissRight,attSvLowLeft,goodHighClaim,attMissRight,attGoalHighCentre,attMissHighLeft,penaltyConceded,attAssistSetplay,attHdTotal,attHdMiss,penaltyFaced,totalHighClaim,penGoalsConceded,attIboxMiss,forwardGoals,attHdGoal,handBall,accuratePullBack,attFreekickTotal,attOboxBlocked,attBxRight,accurateKeeperSweeper,attMissHighRight,freekickCross,freekickTotal,totalKeeperSweeper,accurateThroughBall,accurateFreekickCross,errorLeadToShot,attSetpiece,totalPullBack,attMissHigh,attCorner,attCmissLeft,attFreekickTarget,accurateCrossNocorner,attSvHighCentre,attPenTarget,shotFastbreak,cleanSheet,totalFastbreak,contentiousDecision,sixYardBlock,attFastbreak,goalAssistSetplay,attSvHighRight,secondYellow,attObpGoal,goalsConcededObox,attGoalLowLeft,attSvHighLeft,attHdTarget,hitWoodwork,attCmissHigh,ptsDroppedWinningPos,goalAssistDeadball,postScoringAtt,attIboxPost,attHdPost,ownGoals,attPostRight,attIboxOwnGoal,attOboxGoal,ptsGainedLosingPos,attFreekickGoal,attCmissHighRight,foulThrowIn,attFreekickPost,attOboxPost,attPostHigh,errorLeadToGoal,attObxdLeft,clearanceOffLine,attObxLeft,goalFastbreak,attFreekickMiss,attGoalHighLeft,attLgCentre,attCmissHighLeft
27,987859,2019-02-24 14:05:00,"Old Trafford, Manchester",74519,Home,Manchester United,Liverpool,0,0,D,0,0,0,0,,,54.0,,1.0,1.0,32.0,28.0,2.0,1.0,4.0,1.0,,1.0,128.0,2.0,6.0,,2.0,6.0,3.0,86.0,120.0,59.0,6.0,25.0,2.0,,2.0,1.0,7.0,9.0,,1.0,28.0,3.0,7.0,31.0,,91.0,,0.0,63.0,15.0,,,34.0,39.0,5.0,31.0,2.0,4.0,16.0,2.0,3.0,,120.0,1.0,4.0,72.0,487.0,5.0,8.0,10.0,11.0,212.0,32.0,3.0,15.0,,1.0,2.0,1.0,13.0,284.0,40.0,74208,2.0,144.0,1.0,1.0,171.0,9.0,,16.0,12.0,71.0,2.0,,3.0,6.0,,6.0,3.0,5.0,,62.0,233.0,17.0,13.0,17.0,55.0,,,0.0,,7.0,,,,1.0,0.0,,1.0,35.4,10.0,,1.0,6.0,2.0,29.0,3.0,317.0,11.0,11.0,15.0,1.0,19.0,1.0,153.0,2.0,6.0,18.0,31.0,14.0,5.0,15.0,18.0,,4.0,3.0,14.0,5.0,7.0,3.0,,,1.0,,,,,,1.0,2.0,,,,,1.0,,,,,,1.0,,,,,,,2.0,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,987864,2019-02-27 20:00:00,"Selhurst Park, London",25754,Away,Manchester United,Crystal Palace,3,1,W,1,0,0,0,,1.0,48.0,1.0,1.0,,33.0,19.0,6.0,5.0,7.0,2.0,1.0,1.0,147.0,5.0,8.0,3.0,2.0,9.0,4.0,135.0,133.0,61.0,13.0,16.0,,2.0,,3.0,12.0,12.0,,1.0,19.0,6.0,2.0,38.0,,196.0,,0.0,135.0,9.0,2.0,,47.0,64.0,5.0,57.0,,6.0,14.0,6.0,1.0,1.0,133.0,2.0,10.0,129.0,634.0,5.0,7.0,21.0,7.0,361.0,22.0,1.0,8.0,3.0,3.0,4.0,4.0,20.0,439.0,59.0,74208,4.0,187.0,1.0,5.0,207.0,3.0,2.0,14.0,17.0,56.0,,1.0,,1.0,2.0,14.0,7.0,10.0,,60.0,378.0,8.0,14.0,10.0,74.0,1.0,,0.0,,5.0,,3.0,1.0,5.0,0.0,3.0,,54.5,16.0,1.0,,1.0,4.0,48.0,6.0,468.0,7.0,11.0,24.0,5.0,25.0,3.0,273.0,6.0,2.0,24.0,92.0,20.0,1.0,8.0,21.0,1.0,8.0,3.0,15.0,1.0,4.0,6.0,,,,,,1.0,,,1.0,2.0,2.0,,,,4.0,2.0,,1.0,,2.0,4.0,1.0,,,,2.0,,,,,,,2.0,,1.0,1.0,2.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,987877,2019-03-02 15:00:00,"Old Trafford, Manchester",74459,Home,Manchester United,Southampton,3,2,W,0,1,0,0,1.0,,46.0,2.0,1.0,,28.0,16.0,7.0,1.0,9.0,1.0,,2.0,166.0,7.0,9.0,3.0,2.0,7.0,6.0,143.0,170.0,54.0,16.0,13.0,3.0,2.0,3.0,5.0,23.0,5.0,1.0,,16.0,5.0,5.0,38.0,,204.0,1.0,0.0,127.0,7.0,,1.0,69.0,75.0,2.0,68.0,1.0,18.0,20.0,7.0,8.0,4.0,170.0,2.0,4.0,134.0,717.0,4.0,7.0,28.0,7.0,390.0,26.0,2.0,10.0,2.0,2.0,2.0,5.0,34.0,486.0,51.0,74208,6.0,212.0,4.0,10.0,241.0,4.0,3.0,20.0,9.0,46.0,1.0,,2.0,5.0,3.0,25.0,5.0,3.0,,63.0,409.0,9.0,6.0,12.0,83.0,,,0.0,1.0,7.0,,1.0,2.0,4.0,0.0,,1.0,64.2,30.0,1.0,1.0,5.0,1.0,51.0,9.0,511.0,7.0,15.0,14.0,9.0,34.0,2.0,293.0,11.0,5.0,28.0,83.0,13.0,3.0,10.0,9.0,,10.0,3.0,14.0,3.0,7.0,9.0,,,,,2.0,,,,1.0,4.0,4.0,,,,5.0,2.0,,,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,5.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,
30,987882,2019-03-10 16:30:00,"Emirates Stadium, London",60000,Away,Manchester United,Arsenal,0,2,L,0,1,0,0,2.0,,50.0,,,1.0,28.0,12.0,7.0,5.0,7.0,,,1.0,157.0,3.0,8.0,,2.0,11.0,4.0,125.0,130.0,65.0,14.0,9.0,3.0,,3.0,,13.0,11.0,,1.0,12.0,2.0,13.0,34.0,,178.0,,0.0,110.0,18.0,,,63.0,51.0,7.0,57.0,1.0,11.0,22.0,7.0,5.0,3.0,130.0,4.0,9.0,126.0,655.0,11.0,6.0,26.0,13.0,352.0,20.0,4.0,3.0,,2.0,5.0,4.0,19.0,434.0,50.0,74208,3.0,202.0,5.0,5.0,222.0,8.0,,22.0,14.0,48.0,4.0,,1.0,4.0,,12.0,5.0,8.0,,50.0,377.0,12.0,4.0,10.0,69.0,,,0.0,,5.0,1.0,,2.0,2.0,0.0,,,53.9,17.0,3.0,1.0,4.0,3.0,40.0,2.0,465.0,13.0,11.0,19.0,7.0,25.0,,256.0,7.0,9.0,25.0,75.0,23.0,2.0,3.0,20.0,1.0,12.0,2.0,14.0,2.0,13.0,2.0,,1.0,,1.0,3.0,,,1.0,,1.0,,1.0,1.0,1.0,2.0,,,,,1.0,2.0,,,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,3.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,1.0,2.0,,,,2.0,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,
31,987897,2019-04-24 20:00:00,"Old Trafford, Manchester",74431,Home,Manchester United,Manchester City,0,2,L,0,0,0,0,,,64.0,,2.0,1.0,32.0,12.0,8.0,3.0,3.0,3.0,,1.0,139.0,1.0,12.0,,3.0,10.0,1.0,98.0,129.0,42.0,12.0,12.0,,,,2.0,8.0,10.0,,1.0,12.0,1.0,3.0,40.0,,135.0,,0.0,116.0,10.0,3.0,,47.0,37.0,5.0,56.0,,7.0,14.0,9.0,2.0,4.0,129.0,,5.0,113.0,565.0,10.0,6.0,13.0,10.0,300.0,31.0,3.0,6.0,,2.0,,5.0,18.0,381.0,52.0,74208,2.0,184.0,,4.0,208.0,4.0,,14.0,9.0,54.0,2.0,,,5.0,,14.0,3.0,7.0,,63.0,318.0,9.0,17.0,17.0,58.0,1.0,,0.0,2.0,1.0,1.0,,2.0,1.0,0.0,,,36.8,15.0,5.0,,5.0,5.0,27.0,1.0,406.0,10.0,12.0,21.0,6.0,23.0,1.0,206.0,9.0,3.0,8.0,69.0,20.0,1.0,6.0,13.0,2.0,10.0,3.0,15.0,1.0,7.0,1.0,,,,,2.0,,,,,,,,,,2.0,,,,,1.0,4.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,
32,987910,2019-03-30 15:00:00,"Old Trafford, Manchester",74543,Home,Manchester United,Watford,2,1,W,1,0,0,0,1.0,2.0,59.0,,4.0,,30.0,35.0,2.0,2.0,5.0,7.0,1.0,2.0,159.0,1.0,9.0,2.0,2.0,6.0,5.0,107.0,132.0,49.0,8.0,24.0,3.0,1.0,3.0,,8.0,8.0,,,35.0,2.0,11.0,31.0,2.0,204.0,,0.0,147.0,14.0,4.0,,79.0,56.0,5.0,63.0,3.0,6.0,16.0,3.0,2.0,,132.0,2.0,11.0,102.0,623.0,4.0,4.0,30.0,10.0,322.0,39.0,3.0,17.0,1.0,1.0,6.0,1.0,22.0,409.0,37.0,76359,1.0,137.0,3.0,3.0,171.0,6.0,1.0,16.0,9.0,57.0,3.0,,4.0,5.0,2.0,11.0,9.0,6.0,,54.0,340.0,9.0,9.0,17.0,54.0,,1.0,0.0,3.0,5.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,51.5,19.0,3.0,1.0,5.0,2.0,33.0,3.0,431.0,10.0,8.0,13.0,1.0,24.0,1.0,268.0,5.0,10.0,15.0,110.0,10.0,2.0,17.0,16.0,1.0,6.0,3.0,14.0,2.0,3.0,3.0,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,2.0,,2.0,,,2.0,1.0,,,1.0,,,1.0,,3.0,,1.0,,,,,,,,1.0,,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,
33,987921,2019-04-02 19:45:00,"Molineux Stadium, Wolverhampton",31302,Away,Manchester United,Wolverhampton Wanderers,1,2,L,1,1,1,0,,,53.0,,1.0,2.0,30.0,11.0,10.0,2.0,7.0,2.0,,,146.0,4.0,8.0,1.0,2.0,13.0,4.0,163.0,144.0,49.0,18.0,21.0,3.0,1.0,3.0,3.0,12.0,9.0,,,11.0,3.0,4.0,40.0,,274.0,,0.0,156.0,11.0,1.0,1.0,82.0,83.0,10.0,63.0,1.0,9.0,23.0,11.0,2.0,5.0,144.0,3.0,8.0,143.0,680.0,11.0,7.0,22.0,6.0,403.0,17.0,2.0,6.0,1.0,2.0,2.0,3.0,20.0,493.0,72.0,76359,3.0,147.0,3.0,5.0,158.0,7.0,1.0,23.0,9.0,58.0,,,5.0,1.0,1.0,12.0,2.0,5.0,,57.0,417.0,5.0,9.0,10.0,81.0,,,0.0,2.0,3.0,,,2.0,1.0,1.0,,,50.2,18.0,,1.0,1.0,7.0,48.0,5.0,515.0,6.0,8.0,19.0,7.0,27.0,1.0,369.0,12.0,3.0,23.0,100.0,33.0,,6.0,14.0,2.0,13.0,3.0,17.0,,11.0,5.0,,1.0,,,2.0,,1.0,,1.0,4.0,1.0,,,,2.0,,,,,,5.0,1.0,,,2.0,,,,,1.0,2.0,,1.0,,1.0,,3.0,,,,,,,,,,,1.0,,,1.0,,3.0,,,3.0,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,1.0
34,987928,2019-04-13 17:30:00,"Old Trafford, Manchester",74478,Home,Manchester United,West Ham United,2,1,W,1,0,0,0,1.0,2.0,75.0,,1.0,2.0,23.0,25.0,4.0,6.0,9.0,3.0,,1.0,148.0,3.0,7.0,2.0,2.0,8.0,4.0,89.0,137.0,53.0,14.0,22.0,1.0,,2.0,,20.0,14.0,,1.0,25.0,3.0,7.0,20.0,,157.0,2.0,0.0,105.0,14.0,2.0,2.0,51.0,46.0,3.0,46.0,2.0,17.0,20.0,5.0,8.0,1.0,137.0,1.0,11.0,90.0,578.0,7.0,6.0,29.0,11.0,281.0,31.0,2.0,11.0,,1.0,8.0,5.0,17.0,359.0,55.0,76359,5.0,134.0,1.0,9.0,159.0,8.0,2.0,20.0,4.0,61.0,2.0,,3.0,6.0,,13.0,7.0,,2.0,51.0,288.0,5.0,11.0,21.0,67.0,,1.0,0.0,,11.0,2.0,2.0,1.0,1.0,0.0,,,42.3,16.0,1.0,,7.0,5.0,32.0,3.0,373.0,11.0,8.0,13.0,5.0,28.0,1.0,234.0,6.0,6.0,20.0,74.0,34.0,4.0,11.0,21.0,1.0,8.0,3.0,16.0,4.0,13.0,3.0,1.0,,,,,,3.0,,1.0,2.0,2.0,,,,4.0,,,2.0,,,3.0,2.0,1.0,,,,1.0,2.0,,1.0,,,2.0,,,,2.0,,,2.0,,2.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
35,987936,2019-04-21 13:30:00,"Goodison Park, Liverpool",39395,Away,Manchester United,Everton,0,4,L,0,2,0,0,,,53.0,,,,24.0,21.0,4.0,1.0,3.0,4.0,,1.0,153.0,,7.0,,3.0,4.0,1.0,107.0,142.0,55.0,7.0,21.0,,,,,14.0,10.0,,1.0,21.0,2.0,10.0,34.0,,144.0,,0.0,120.0,7.0,2.0,,68.0,53.0,1.0,57.0,1.0,12.0,17.0,4.0,3.0,2.0,142.0,,10.0,100.0,607.0,4.0,9.0,12.0,8.0,310.0,24.0,6.0,11.0,,1.0,4.0,3.0,30.0,394.0,49.0,76359,2.0,185.0,,8.0,205.0,4.0,,17.0,8.0,48.0,1.0,,1.0,9.0,,14.0,5.0,5.0,,52.0,329.0,11.0,3.0,17.0,63.0,,1.0,0.0,1.0,10.0,4.0,,4.0,2.0,0.0,,1.0,51.7,23.0,3.0,1.0,9.0,1.0,36.0,2.0,417.0,8.0,13.0,14.0,5.0,24.0,,226.0,6.0,7.0,25.0,68.0,16.0,4.0,11.0,12.0,2.0,6.0,3.0,11.0,4.0,7.0,2.0,,2.0,1.0,,2.0,,,,,,,,,,3.0,,,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,3.0,,,,,,,,,,1.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,
36,987948,2019-04-28 16:30:00,"Old Trafford, Manchester",74526,Home,Manchester United,Chelsea,1,1,D,1,1,0,0,2.0,1.0,47.0,,1.0,,26.0,12.0,1.0,2.0,6.0,2.0,,1.0,148.0,3.0,9.0,1.0,6.0,4.0,5.0,124.0,125.0,50.0,7.0,11.0,3.0,1.0,2.0,1.0,15.0,8.0,,1.0,12.0,6.0,5.0,32.0,,220.0,,0.0,144.0,9.0,1.0,1.0,63.0,58.0,3.0,53.0,1.0,9.0,24.0,1.0,,,125.0,2.0,8.0,142.0,653.0,1.0,4.0,29.0,6.0,371.0,23.0,4.0,5.0,1.0,3.0,6.0,1.0,26.0,439.0,46.0,74208,4.0,173.0,1.0,7.0,190.0,8.0,1.0,24.0,10.0,44.0,4.0,,5.0,2.0,1.0,14.0,8.0,3.0,,50.0,390.0,14.0,9.0,12.0,57.0,,,0.0,2.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,,51.7,26.0,3.0,2.0,2.0,,38.0,6.0,467.0,6.0,10.0,18.0,2.0,29.0,3.0,292.0,3.0,5.0,12.0,104.0,19.0,2.0,5.0,15.0,1.0,2.0,3.0,14.0,2.0,10.0,6.0,1.0,1.0,2.0,,1.0,,,,2.0,2.0,1.0,,,,2.0,,,,1.0,1.0,,,,,2.0,1.0,,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
37,987957,2019-05-05 14:00:00,"Accu Stadium, Huddersfield",24263,Away,Manchester United,Huddersfield Town,1,1,D,1,0,0,0,1.0,,60.0,1.0,,4.0,26.0,20.0,10.0,8.0,12.0,2.0,1.0,4.0,189.0,6.0,10.0,1.0,3.0,17.0,7.0,167.0,137.0,47.0,23.0,12.0,3.0,,2.0,1.0,18.0,14.0,,3.0,20.0,7.0,4.0,43.0,,290.0,,0.0,176.0,10.0,,1.0,83.0,52.0,9.0,68.0,2.0,12.0,21.0,11.0,6.0,4.0,137.0,3.0,5.0,176.0,805.0,14.0,8.0,34.0,8.0,493.0,21.0,,6.0,,1.0,2.0,8.0,28.0,583.0,67.0,76359,5.0,226.0,3.0,5.0,251.0,4.0,,21.0,4.0,45.0,4.0,,1.0,3.0,1.0,14.0,2.0,4.0,,43.0,510.0,10.0,5.0,5.0,63.0,2.0,,0.0,,4.0,2.0,1.0,1.0,2.0,0.0,,1.0,64.2,26.0,2.0,3.0,3.0,7.0,43.0,7.0,600.0,8.0,16.0,22.0,9.0,41.0,4.0,367.0,11.0,3.0,12.0,132.0,33.0,1.0,6.0,15.0,1.0,16.0,3.0,12.0,1.0,8.0,7.0,,,1.0,,3.0,,,,3.0,2.0,,,,,3.0,,,,,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,,2.0,,1.0,1.0,3.0,1.0,,2.0,,2.0,,2.0,2.0,,,,,,,,1.0,2.0,1.0,2.0,,2.0,1.0,1.0,,,,,,,1.0,,,1.0,2.0,1.0,,,1.0,,,,,
38,987968,2019-05-12 15:00:00,"Old Trafford, Manchester",74457,Home,Manchester United,Cardiff City,0,2,L,0,1,0,0,2.0,,66.0,,2.0,2.0,22.0,13.0,13.0,6.0,13.0,2.0,,6.0,220.0,2.0,13.0,,2.0,22.0,10.0,163.0,142.0,52.0,26.0,14.0,5.0,,5.0,2.0,17.0,10.0,,5.0,13.0,9.0,7.0,34.0,,358.0,,0.0,247.0,9.0,2.0,,67.0,102.0,14.0,66.0,1.0,8.0,15.0,13.0,3.0,4.0,142.0,3.0,6.0,171.0,811.0,21.0,4.0,42.0,15.0,510.0,26.0,2.0,6.0,,3.0,3.0,8.0,23.0,601.0,78.0,76359,6.0,170.0,3.0,5.0,192.0,4.0,,15.0,9.0,46.0,2.0,,3.0,1.0,,13.0,7.0,8.0,,42.0,526.0,5.0,8.0,9.0,67.0,1.0,1.0,0.0,1.0,2.0,,,2.0,1.0,0.0,,,73.6,23.0,2.0,2.0,1.0,6.0,50.0,11.0,620.0,15.0,7.0,16.0,10.0,41.0,1.0,445.0,16.0,6.0,19.0,195.0,37.0,,6.0,15.0,2.0,22.0,3.0,22.0,,6.0,11.0,,1.0,2.0,,2.0,,1.0,1.0,1.0,4.0,2.0,1.0,,1.0,6.0,,,1.0,,1.0,4.0,5.0,2.0,2.0,,1.0,2.0,,,,1.0,,3.0,,,,1.0,,,1.0,,1.0,1.0,,1.0,,2.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
