gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,attGoalLowRight,goalAssistOpenplay,attMissLeft,cleanSheet,attOboxGoal,midfielderGoals,goodHighClaim,interceptionsInBox,goalAssist,errorLeadToShot,attSetpiece,attRfGoal,shieldBallOop,attBxLeft,clearanceOffLine,totalHighClaim,effectiveBlockedCross,blockedCross,goalsConcededObox,attBxRight,ptsGainedLosingPos,defenderGoals,punches,foulThrowIn,attIboxBlocked,attLfGoal,attMissHighRight,accurateFreekickCross,attSvLowRight,goalAssistIntentional,shotFastbreak,goalFastbreak,attOneOnOne,penaltyWon,totalFastbreak,attSvHighLeft,secondYellow,contentiousDecision,attHdTarget,attMissHighLeft,attPenGoal,attFastbreak,attGoalLowCentre,attCmissRight,attGoalHighLeft,attCmissLeft,attFreekickGoal,attFreekickMiss,forwardGoals,goalAssistSetplay,goalAssistDeadball,attSvHighRight,postScoringAtt,attIboxPost,attHdPost,attPostHigh,ptsDroppedWinningPos,attCmissHigh,attSvHighCentre,sixYardBlock,attObxRight,attGoalHighRight,attCmissHighRight,attPostRight,errorLeadToGoal,attPenTarget,attFreekickTarget,accuratePullBack,attGoalHighCentre,attLgCentre
27,987858,2019-02-23 17:30:00,"King Power Stadium, Leicester",31778,Home,Leicester City,Crystal Palace,1,4,L,0,1,0,0,,,62.0,,,32.0,14.0,17.0,3.0,10.0,1.0,3.0,165.0,9.0,14.0,1.0,3.0,21.0,5.0,141.0,134.0,71.0,2.0,27.0,9.0,21.0,2.0,,1.0,29.0,16.0,2.0,14.0,7.0,3.0,40.0,289.0,0.0,220.0,7.0,1.0,2.0,2.0,86.0,80.0,12.0,74.0,4.0,22.0,18.0,17.0,2.0,6.0,6.0,134.0,,5.0,161.0,742.0,17.0,5.0,30.0,,9.0,441.0,24.0,,5.0,,2.0,,9.0,18.0,522.0,82.0,,95658,5.0,179.0,,14.0,1.0,195.0,6.0,,18.0,2.0,50.0,2.0,,,,14.0,2.0,2.0,,52.0,459.0,14.0,7.0,3.0,7.0,,62.0,0.0,1.0,3.0,1.0,1.0,4.0,,0.0,6.0,3.0,65.4,16.0,3.0,3.0,,12.0,45.0,8.0,1.0,541.0,1.0,9.0,10.0,27.0,10.0,37.0,3.0,4.0,375.0,20.0,2.0,24.0,168.0,35.0,5.0,19.0,,3.0,20.0,3.0,19.0,6.0,8.0,1.0,1.0,,4.0,,,,,,1.0,,1.0,1.0,1.0,4.0,,,1.0,1.0,1.0,1.0,,1.0,,,3.0,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,2.0,,,,,
28,987866,2019-02-26 19:45:00,"King Power Stadium, Leicester",30558,Home,Leicester City,Brighton and Hove Albion,2,1,W,1,0,0,0,1.0,2.0,53.0,,1.0,28.0,33.0,6.0,2.0,13.0,2.0,1.0,148.0,3.0,11.0,2.0,2.0,15.0,3.0,113.0,119.0,55.0,,19.0,3.0,19.0,1.0,,,12.0,10.0,,33.0,4.0,7.0,29.0,186.0,0.0,122.0,6.0,1.0,1.0,1.0,77.0,57.0,9.0,74.0,3.0,8.0,11.0,6.0,,2.0,3.0,119.0,2.0,8.0,111.0,624.0,12.0,9.0,32.0,,8.0,355.0,27.0,5.0,15.0,,1.0,2.0,6.0,19.0,425.0,43.0,,95658,7.0,186.0,,5.0,,204.0,2.0,1.0,11.0,11.0,36.0,1.0,2.0,2.0,2.0,19.0,7.0,5.0,2.0,56.0,369.0,3.0,7.0,1.0,19.0,,62.0,0.0,2.0,8.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,49.1,15.0,3.0,2.0,2.0,7.0,35.0,4.0,,446.0,,8.0,4.0,18.0,9.0,20.0,2.0,6.0,254.0,14.0,6.0,27.0,93.0,19.0,15.0,14.0,,1.0,17.0,3.0,13.0,4.0,4.0,,1.0,2.0,2.0,,,,,2.0,2.0,1.0,,2.0,,4.0,,,5.0,5.0,,1.0,,,,,4.0,,2.0,,,2.0,2.0,1.0,1.0,,3.0,,,,,,,2.0,,1.0,,,,,2.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,
29,987879,2019-03-03 12:00:00,"Vicarage Road, Watford",20062,Away,Leicester City,Watford,1,2,L,0,1,0,0,,1.0,49.0,1.0,1.0,32.0,19.0,9.0,5.0,5.0,3.0,1.0,152.0,7.0,9.0,1.0,3.0,10.0,2.0,174.0,143.0,58.0,,14.0,4.0,19.0,,2.0,1.0,22.0,9.0,1.0,19.0,5.0,8.0,38.0,261.0,0.0,158.0,12.0,2.0,,1.0,84.0,82.0,6.0,90.0,3.0,17.0,20.0,9.0,,2.0,3.0,143.0,1.0,5.0,160.0,760.0,7.0,3.0,24.0,1.0,9.0,460.0,21.0,2.0,10.0,2.0,1.0,1.0,4.0,22.0,549.0,56.0,1.0,95658,4.0,227.0,,14.0,,251.0,5.0,2.0,20.0,5.0,49.0,3.0,1.0,2.0,1.0,11.0,1.0,3.0,,57.0,481.0,15.0,5.0,2.0,13.0,,56.0,0.0,2.0,1.0,2.0,,2.0,1.0,0.0,4.0,1.0,61.0,18.0,1.0,4.0,2.0,6.0,37.0,5.0,,576.0,,9.0,11.0,22.0,6.0,25.0,3.0,3.0,347.0,7.0,8.0,21.0,114.0,21.0,10.0,13.0,,2.0,8.0,3.0,13.0,9.0,5.0,,,1.0,1.0,,1.0,,,,1.0,,2.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,,2.0,,1.0,1.0,,1.0,,,,,,,,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
30,987887,2019-03-09 15:00:00,"King Power Stadium, Leicester",32017,Home,Leicester City,Fulham,3,1,W,1,0,0,0,,3.0,59.0,1.0,,30.0,19.0,9.0,6.0,9.0,2.0,4.0,150.0,3.0,6.0,3.0,3.0,16.0,8.0,134.0,140.0,58.0,,18.0,1.0,7.0,2.0,,,16.0,15.0,3.0,19.0,6.0,6.0,30.0,235.0,0.0,149.0,9.0,1.0,2.0,4.0,75.0,85.0,9.0,87.0,1.0,11.0,15.0,9.0,,3.0,5.0,140.0,4.0,3.0,150.0,724.0,12.0,5.0,28.0,,12.0,427.0,20.0,4.0,9.0,,0.0,1.0,7.0,19.0,502.0,55.0,2.0,95658,5.0,212.0,1.0,4.0,,231.0,7.0,2.0,15.0,6.0,51.0,4.0,1.0,1.0,3.0,18.0,3.0,5.0,4.0,51.0,444.0,13.0,9.0,1.0,15.0,,71.0,0.0,2.0,5.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,52.8,16.0,1.0,3.0,1.0,2.0,48.0,6.0,,521.0,,12.0,16.0,13.0,8.0,25.0,2.0,3.0,306.0,11.0,6.0,16.0,113.0,35.0,9.0,24.0,,1.0,16.0,3.0,16.0,6.0,6.0,1.0,1.0,3.0,1.0,,,1.0,,1.0,3.0,,,1.0,,2.0,,,2.0,2.0,,2.0,,,1.0,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,,,2.0,,,,,1.0,,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,2.0,,,,,,,,,1.0,,
31,987894,2019-03-16 15:00:00,"Turf Moor, Burnley",20719,Away,Leicester City,Burnley,2,1,W,1,1,1,0,,,57.0,,,16.0,40.0,3.0,1.0,5.0,1.0,2.0,131.0,3.0,4.0,2.0,2.0,6.0,4.0,52.0,145.0,43.0,1.0,9.0,2.0,27.0,1.0,,,16.0,7.0,1.0,40.0,3.0,4.0,17.0,97.0,0.0,79.0,10.0,1.0,,2.0,58.0,34.0,6.0,50.0,,13.0,12.0,4.0,1.0,4.0,,145.0,,9.0,61.0,488.0,5.0,6.0,15.0,,5.0,182.0,31.0,9.0,23.0,,1.0,4.0,,22.0,260.0,39.0,,95658,3.0,100.0,,7.0,,127.0,7.0,,12.0,18.0,52.0,2.0,1.0,2.0,,13.0,4.0,4.0,,69.0,194.0,9.0,3.0,1.0,35.0,,71.0,0.0,,9.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,37.8,16.0,,2.0,2.0,5.0,21.0,3.0,,294.0,,5.0,7.0,6.0,,18.0,1.0,,183.0,6.0,4.0,18.0,48.0,17.0,23.0,12.0,1.0,1.0,6.0,3.0,9.0,7.0,3.0,,,,,,1.0,1.0,1.0,,,,,1.0,2.0,,,2.0,6.0,6.0,,,,,2.0,,3.0,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0
32,987908,2019-03-30 15:00:00,"King Power Stadium, Leicester",31530,Home,Leicester City,Bournemouth,2,0,W,1,0,0,0,,1.0,66.0,,1.0,41.0,19.0,8.0,7.0,10.0,2.0,,194.0,3.0,14.0,2.0,,14.0,4.0,145.0,148.0,64.0,,18.0,2.0,18.0,2.0,,1.0,19.0,11.0,,19.0,6.0,11.0,44.0,253.0,0.0,187.0,6.0,1.0,,1.0,92.0,93.0,6.0,106.0,3.0,14.0,21.0,8.0,,3.0,6.0,148.0,2.0,2.0,160.0,809.0,11.0,6.0,27.0,,10.0,493.0,17.0,8.0,7.0,,0.0,2.0,8.0,17.0,582.0,73.0,1.0,95463,6.0,260.0,1.0,10.0,,277.0,5.0,,21.0,8.0,48.0,4.0,3.0,6.0,1.0,16.0,6.0,4.0,1.0,74.0,510.0,12.0,9.0,1.0,21.0,,73.0,0.0,,1.0,1.0,2.0,,2.0,0.0,3.0,1.0,58.8,14.0,,3.0,6.0,5.0,39.0,6.0,,605.0,,10.0,5.0,25.0,9.0,30.0,1.0,3.0,347.0,10.0,11.0,23.0,138.0,38.0,7.0,15.0,1.0,,14.0,3.0,24.0,11.0,6.0,2.0,,1.0,5.0,1.0,,,,1.0,2.0,,,,,1.0,,,1.0,1.0,,3.0,,1.0,,,3.0,1.0,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,
33,987915,2019-04-06 15:00:00,"Accu Stadium, Huddersfield",24126,Away,Leicester City,Huddersfield Town,4,1,W,1,0,0,0,1.0,2.0,53.0,1.0,,22.0,19.0,8.0,5.0,10.0,3.0,3.0,149.0,5.0,15.0,4.0,4.0,12.0,9.0,121.0,133.0,60.0,2.0,18.0,,16.0,3.0,,1.0,16.0,8.0,2.0,19.0,5.0,7.0,44.0,160.0,0.0,102.0,11.0,1.0,3.0,,62.0,45.0,6.0,78.0,1.0,11.0,21.0,8.0,2.0,2.0,4.0,133.0,4.0,8.0,119.0,676.0,9.0,8.0,29.0,,12.0,368.0,16.0,,12.0,,0.0,3.0,6.0,22.0,446.0,48.0,,95463,8.0,228.0,4.0,9.0,1.0,254.0,7.0,2.0,21.0,6.0,47.0,3.0,3.0,1.0,1.0,16.0,2.0,4.0,2.0,45.0,383.0,13.0,5.0,2.0,5.0,,58.0,0.0,1.0,8.0,3.0,2.0,1.0,1.0,0.0,2.0,,55.2,21.0,,4.0,1.0,2.0,40.0,5.0,1.0,467.0,1.0,12.0,13.0,26.0,7.0,20.0,3.0,3.0,229.0,13.0,7.0,16.0,66.0,30.0,12.0,16.0,,1.0,11.0,3.0,19.0,10.0,5.0,2.0,,1.0,3.0,,2.0,2.0,,1.0,1.0,1.0,,3.0,,,,,2.0,2.0,,,,,,,2.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,2.0,,,1.0,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,2.0,,,,,1.0,,,
34,987926,2019-04-12 20:00:00,"King Power Stadium, Leicester",32108,Home,Leicester City,Newcastle United,0,1,L,0,1,0,0,,,79.0,,,30.0,12.0,3.0,3.0,9.0,4.0,2.0,217.0,8.0,8.0,,4.0,11.0,5.0,209.0,182.0,59.0,1.0,12.0,1.0,20.0,5.0,,2.0,24.0,8.0,,12.0,1.0,7.0,16.0,376.0,0.0,182.0,6.0,3.0,3.0,2.0,159.0,83.0,6.0,110.0,1.0,23.0,23.0,3.0,1.0,8.0,2.0,182.0,1.0,8.0,237.0,973.0,11.0,5.0,24.0,,12.0,637.0,27.0,3.0,6.0,,2.0,1.0,5.0,26.0,758.0,91.0,1.0,95658,6.0,282.0,1.0,13.0,,320.0,4.0,1.0,23.0,2.0,54.0,4.0,3.0,8.0,,14.0,3.0,1.0,2.0,44.0,650.0,10.0,8.0,,10.0,,87.0,0.0,3.0,3.0,4.0,,1.0,,0.0,7.0,3.0,71.7,24.0,1.0,2.0,8.0,1.0,70.0,2.0,,773.0,,12.0,11.0,6.0,6.0,33.0,1.0,4.0,477.0,5.0,7.0,29.0,129.0,42.0,6.0,13.0,,1.0,10.0,3.0,18.0,7.0,2.0,1.0,,,1.0,,,,,1.0,,1.0,,,1.0,3.0,,,1.0,1.0,,,,,,,,,2.0,,,,,,1.0,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,
35,987940,2019-04-20 15:00:00,"London Stadium, London",59960,Away,Leicester City,West Ham United,2,2,D,0,1,0,0,,1.0,57.0,2.0,,27.0,24.0,3.0,4.0,8.0,1.0,,154.0,4.0,16.0,2.0,,10.0,5.0,109.0,130.0,65.0,,11.0,,9.0,,,2.0,20.0,12.0,3.0,24.0,6.0,3.0,44.0,198.0,0.0,127.0,9.0,,,,52.0,91.0,5.0,59.0,3.0,14.0,18.0,3.0,,3.0,,130.0,1.0,7.0,103.0,633.0,7.0,2.0,26.0,,8.0,328.0,32.0,1.0,13.0,,0.0,3.0,5.0,22.0,401.0,65.0,1.0,95658,3.0,154.0,,11.0,,172.0,6.0,,18.0,7.0,51.0,5.0,2.0,6.0,2.0,11.0,4.0,6.0,,53.0,348.0,7.0,14.0,1.0,7.0,,57.0,0.0,4.0,6.0,1.0,2.0,2.0,,0.0,2.0,2.0,50.7,21.0,2.0,1.0,6.0,1.0,36.0,8.0,,425.0,,8.0,8.0,25.0,5.0,30.0,2.0,5.0,273.0,5.0,3.0,15.0,92.0,15.0,13.0,27.0,,2.0,9.0,3.0,27.0,9.0,8.0,3.0,,2.0,2.0,,,,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,,1.0,3.0,3.0,,2.0,1.0,,,,1.0,,,,1.0,2.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36,987946,2019-04-28 12:00:00,"King Power Stadium, Leicester",32037,Home,Leicester City,Arsenal,3,0,W,0,0,0,1,1.0,3.0,72.0,,,31.0,25.0,9.0,2.0,15.0,1.0,4.0,196.0,5.0,13.0,3.0,2.0,19.0,12.0,152.0,146.0,65.0,1.0,24.0,4.0,15.0,7.0,,4.0,24.0,10.0,2.0,25.0,8.0,3.0,39.0,254.0,0.0,195.0,13.0,1.0,2.0,,87.0,86.0,13.0,81.0,2.0,16.0,22.0,9.0,1.0,4.0,3.0,146.0,6.0,5.0,181.0,816.0,14.0,3.0,45.0,1.0,8.0,496.0,28.0,,15.0,,3.0,2.0,6.0,14.0,589.0,76.0,3.0,95658,10.0,266.0,4.0,12.0,,286.0,6.0,,22.0,5.0,49.0,4.0,2.0,6.0,3.0,10.0,1.0,4.0,1.0,55.0,515.0,13.0,7.0,3.0,13.0,,84.0,0.0,2.0,6.0,1.0,3.0,,2.0,0.0,3.0,5.0,67.2,12.0,1.0,4.0,6.0,6.0,57.0,8.0,,610.0,,8.0,8.0,26.0,6.0,41.0,2.0,2.0,348.0,16.0,3.0,21.0,141.0,33.0,15.0,19.0,2.0,,20.0,3.0,21.0,10.0,8.0,2.0,1.0,2.0,2.0,1.0,,1.0,,1.0,2.0,,1.0,1.0,,2.0,,,3.0,3.0,,1.0,,,,,2.0,,,,1.0,2.0,2.0,,2.0,,2.0,1.0,,,2.0,,,2.0,2.0,1.0,,1.0,,,2.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,
37,987958,2019-05-06 20:00:00,"Etihad Stadium, Manchester",54506,Away,Leicester City,Manchester City,0,1,L,0,0,0,0,,,50.0,,1.0,41.0,44.0,4.0,3.0,3.0,4.0,2.0,146.0,,11.0,,2.0,4.0,2.0,97.0,113.0,64.0,,7.0,,11.0,,,2.0,7.0,7.0,2.0,44.0,,7.0,60.0,85.0,0.0,55.0,5.0,3.0,,,22.0,34.0,2.0,69.0,1.0,7.0,14.0,4.0,,2.0,2.0,113.0,1.0,7.0,104.0,608.0,4.0,8.0,6.0,,12.0,308.0,31.0,2.0,27.0,,2.0,3.0,2.0,10.0,382.0,23.0,,95658,2.0,251.0,1.0,5.0,,292.0,3.0,,14.0,19.0,37.0,,,2.0,,10.0,12.0,14.0,,74.0,336.0,11.0,7.0,,17.0,,50.0,0.0,1.0,11.0,3.0,,1.0,2.0,0.0,,,39.0,9.0,,2.0,2.0,3.0,25.0,,,416.0,,12.0,4.0,38.0,2.0,12.0,,,131.0,4.0,7.0,20.0,32.0,13.0,27.0,22.0,,,7.0,3.0,21.0,9.0,,,,,1.0,,,,,1.0,,,,,,,,,4.0,4.0,1.0,1.0,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,987966,2019-05-12 15:00:00,"King Power Stadium, Leicester",32140,Home,Leicester City,Chelsea,0,0,D,0,0,0,0,,,60.0,,2.0,26.0,17.0,6.0,3.0,3.0,4.0,1.0,126.0,2.0,17.0,,2.0,6.0,3.0,119.0,109.0,44.0,,9.0,1.0,9.0,1.0,,1.0,15.0,12.0,2.0,17.0,4.0,8.0,33.0,143.0,0.0,95.0,9.0,1.0,,1.0,44.0,58.0,4.0,84.0,,12.0,22.0,6.0,,5.0,3.0,109.0,,6.0,141.0,644.0,3.0,1.0,16.0,,19.0,393.0,29.0,3.0,8.0,,0.0,3.0,2.0,11.0,449.0,30.0,,95658,2.0,268.0,,6.0,,295.0,8.0,2.0,22.0,8.0,42.0,,1.0,2.0,,20.0,8.0,7.0,1.0,44.0,409.0,7.0,12.0,3.0,8.0,,41.0,0.0,,5.0,2.0,,,,0.0,1.0,2.0,46.9,10.0,1.0,7.0,2.0,2.0,31.0,4.0,,470.0,,19.0,5.0,19.0,4.0,23.0,2.0,1.0,190.0,4.0,8.0,5.0,75.0,19.0,8.0,16.0,,,5.0,3.0,24.0,11.0,4.0,1.0,,,2.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
