gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,goalAssistSetplay,attGoalLowCentre,goals,fouledFinalThird,accuratePullBack,attCmissRight,attFreekickTotal,attSvLowCentre,attMissLeft,attOboxTarget,attSvHighLeft,interceptionsInBox,attMissRight,freekickTotal,hitWoodwork,goalAssist,sixYardBlock,attSetpiece,attObxdLeft,attRfGoal,totalPullBack,attCmissLeft,attFreekickTarget,attIboxGoal,goalsConceded,shieldBallOop,forwardGoals,goalsConcededIbox,goalsConcededObox,handBall,attLfGoal,attOboxGoal,freekickCross,secondYellow,accurateFreekickCross,defenderGoals,goalsOpenplay,attGoalHighLeft,foulThrowIn,ptsDroppedWinningPos,errorLeadToGoal,attLfTarget,attPenTarget,shotFastbreak,postScoringAtt,goalAssistOpenplay,goalFastbreak,attIboxPost,penaltyWon,totalFastbreak,midfielderGoals,goodHighClaim,attFastbreak,attPostHigh,goalAssistIntentional,totalHighClaim,attGoalLowLeft,attSvHighRight,attLgCentre,accurateThroughBall,penaltyConceded,attPenGoal,penaltyFaced,penGoalsConceded,ownGoals,clearanceOffLine,attIboxOwnGoal,accurateKeeperSweeper,totalKeeperSweeper,attCmissHighLeft,attOneOnOne,attFreekickMiss,attPostLeft,attCorner,attGoalLowRight,contentiousDecision,attGoalHighRight,attFreekickGoal,attHdPost,attObxLeft,attCmissHighRight,attHdGoal,attObpGoal,attPostRight,ptsGainedLosingPos,penaltySave
27,987853,2019-02-24 14:05:00,"Emirates Stadium, London",59877,Away,Southampton,Arsenal,0,2,L,0,2,0,0,50.0,,3.0,17.0,27.0,4.0,3.0,6.0,3.0,,133.0,5.0,5.0,7.0,4.0,86.0,159.0,39.0,10.0,,18.0,3.0,,21.0,11.0,27.0,4.0,6.0,34.0,160.0,,,0.0,127.0,14.0,3.0,,78.0,43.0,6.0,63.0,17.0,32.0,4.0,6.0,3.0,159.0,1.0,10.0,64.0,566.0,7.0,3.0,18.0,1.0,19.0,232.0,11.0,,2.0,6.0,0.0,4.0,1.0,32.0,326.0,61.0,,96787,4.0,89.0,1.0,10.0,114.0,10.0,32.0,8.0,59.0,,1.0,1.0,3.0,15.0,2.0,3.0,,53.0,244.0,7.0,14.0,,21.0,61.0,,,0.0,3.0,6.0,2.0,2.0,0.0,5.0,1.0,37.9,24.0,,7.0,1.0,,3.0,3.0,30.0,4.0,346.0,19.0,7.0,14.0,3.0,26.0,,,253.0,4.0,5.0,11.0,75.0,28.0,4.0,6.0,16.0,6.0,3.0,12.0,4.0,17.0,4.0,,,,,1.0,,1.0,,2.0,2.0,1.0,2.0,6.0,1.0,,,,1.0,2.0,,,2.0,,,,2.0,,,2.0,,,,,1.0,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
28,987871,2019-02-27 19:45:00,"St. Mary's Stadium, Southampton",27597,Home,Southampton,Fulham,2,0,W,2,0,0,0,66.0,2.0,2.0,24.0,25.0,7.0,4.0,7.0,4.0,2.0,153.0,3.0,6.0,11.0,4.0,87.0,141.0,66.0,14.0,1.0,29.0,1.0,3.0,19.0,15.0,25.0,7.0,9.0,36.0,195.0,,1.0,0.0,147.0,15.0,2.0,,105.0,57.0,5.0,54.0,12.0,22.0,7.0,3.0,4.0,141.0,,7.0,86.0,593.0,9.0,5.0,21.0,,10.0,283.0,23.0,,4.0,13.0,0.0,6.0,6.0,14.0,357.0,74.0,,96787,3.0,103.0,,7.0,114.0,4.0,22.0,7.0,63.0,,,2.0,3.0,16.0,7.0,4.0,4.0,59.0,295.0,13.0,5.0,2.0,20.0,72.0,1.0,,0.0,2.0,4.0,2.0,,0.0,3.0,,40.9,9.0,,7.0,,,3.0,3.0,35.0,7.0,380.0,10.0,10.0,16.0,7.0,25.0,,3.0,285.0,10.0,8.0,26.0,102.0,30.0,1.0,13.0,22.0,9.0,1.0,11.0,1.0,16.0,7.0,1.0,,,2.0,4.0,,,1.0,1.0,3.0,1.0,,,,1.0,,,,2.0,,1.0,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,
29,987877,2019-03-02 15:00:00,"Old Trafford, Manchester",74459,Away,Southampton,Manchester United,2,3,L,1,0,0,0,49.0,,2.0,17.0,33.0,5.0,1.0,4.0,3.0,,135.0,4.0,6.0,7.0,3.0,57.0,142.0,46.0,9.0,,28.0,,,19.0,11.0,33.0,7.0,5.0,27.0,104.0,,,0.0,118.0,10.0,3.0,,51.0,55.0,3.0,38.0,12.0,21.0,5.0,1.0,2.0,142.0,1.0,9.0,52.0,473.0,5.0,7.0,15.0,,13.0,171.0,23.0,1.0,2.0,11.0,1.0,1.0,4.0,22.0,260.0,58.0,,96787,4.0,84.0,1.0,10.0,103.0,6.0,21.0,8.0,54.0,,,,,11.0,7.0,3.0,1.0,60.0,184.0,7.0,9.0,1.0,22.0,55.0,,1.0,0.0,4.0,9.0,3.0,1.0,0.0,3.0,1.0,35.8,17.0,1.0,3.0,,1.0,,2.0,21.0,7.0,282.0,13.0,7.0,10.0,4.0,26.0,1.0,2.0,198.0,6.0,4.0,13.0,65.0,20.0,2.0,11.0,20.0,4.0,2.0,8.0,2.0,11.0,7.0,,,,2.0,2.0,,,1.0,,1.0,1.0,,2.0,1.0,1.0,,1.0,,,,2.0,1.0,,,,3.0,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,,1.0,,1.0,1.0,,3.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,1.0
30,987891,2019-03-09 15:00:00,"St. Mary's Stadium, Southampton",31890,Home,Southampton,Tottenham Hotspur,2,1,W,0,1,0,0,64.0,3.0,3.0,29.0,46.0,5.0,4.0,7.0,4.0,2.0,119.0,2.0,8.0,6.0,4.0,65.0,141.0,47.0,12.0,1.0,17.0,,,18.0,8.0,46.0,1.0,4.0,34.0,121.0,1.0,,0.0,102.0,16.0,1.0,1.0,44.0,54.0,5.0,49.0,17.0,20.0,5.0,6.0,1.0,141.0,2.0,7.0,58.0,515.0,5.0,4.0,15.0,,21.0,194.0,22.0,,7.0,26.0,4.0,2.0,1.0,20.0,270.0,52.0,,93100,5.0,85.0,2.0,8.0,103.0,6.0,20.0,11.0,63.0,1.0,,2.0,1.0,14.0,9.0,3.0,1.0,69.0,204.0,9.0,16.0,,22.0,64.0,,,0.0,2.0,10.0,1.0,1.0,0.0,2.0,,36.8,17.0,,7.0,,,1.0,4.0,25.0,1.0,291.0,21.0,12.0,15.0,4.0,17.0,,3.0,206.0,7.0,3.0,15.0,70.0,29.0,1.0,26.0,15.0,11.0,3.0,13.0,1.0,10.0,1.0,1.0,,,2.0,5.0,,1.0,1.0,1.0,1.0,2.0,,6.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,3.0,,,,1.0,,,,,,,2.0,,1.0,,,,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,3.0,
31,987899,2019-04-23 19:45:00,"Vicarage Road, Watford",19170,Away,Southampton,Watford,1,1,D,1,0,0,0,76.0,,1.0,30.0,27.0,,2.0,7.0,3.0,2.0,161.0,4.0,9.0,4.0,4.0,85.0,170.0,56.0,8.0,,15.0,2.0,,12.0,11.0,27.0,4.0,3.0,23.0,142.0,,,0.0,122.0,14.0,1.0,2.0,77.0,42.0,1.0,46.0,8.0,12.0,1.0,3.0,,170.0,2.0,11.0,67.0,567.0,4.0,7.0,15.0,,23.0,230.0,30.0,,10.0,4.0,2.0,7.0,3.0,18.0,334.0,65.0,,91047,2.0,105.0,3.0,5.0,134.0,9.0,12.0,4.0,54.0,,1.0,5.0,,17.0,4.0,1.0,1.0,81.0,243.0,10.0,12.0,,38.0,96.0,,,0.0,4.0,3.0,3.0,4.0,0.0,3.0,2.0,37.8,12.0,2.0,8.0,1.0,,,1.0,45.0,4.0,359.0,23.0,11.0,11.0,3.0,21.0,1.0,2.0,237.0,4.0,3.0,17.0,70.0,28.0,,4.0,21.0,7.0,3.0,12.0,,6.0,4.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,4.0,,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,2.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,
32,987903,2019-03-30 15:00:00,"American Express Stadium, Falmer",30636,Away,Southampton,Brighton and Hove Albion,1,0,W,0,0,0,0,58.0,1.0,2.0,14.0,27.0,1.0,3.0,7.0,1.0,1.0,166.0,2.0,7.0,7.0,2.0,68.0,177.0,45.0,8.0,,36.0,1.0,,14.0,3.0,27.0,5.0,7.0,25.0,139.0,,1.0,0.0,130.0,10.0,1.0,1.0,58.0,57.0,4.0,41.0,9.0,22.0,1.0,2.0,1.0,177.0,1.0,6.0,71.0,543.0,6.0,9.0,20.0,,17.0,207.0,9.0,,3.0,12.0,2.0,4.0,3.0,23.0,317.0,69.0,,96787,5.0,80.0,,7.0,103.0,6.0,22.0,10.0,79.0,,,,2.0,9.0,8.0,3.0,1.0,63.0,217.0,8.0,13.0,,31.0,76.0,,,0.0,1.0,6.0,,,0.0,2.0,,39.8,17.0,,4.0,,,2.0,2.0,29.0,5.0,346.0,17.0,12.0,7.0,4.0,24.0,,3.0,257.0,5.0,7.0,21.0,66.0,37.0,6.0,12.0,9.0,7.0,3.0,15.0,6.0,11.0,5.0,1.0,,,1.0,1.0,,2.0,,,,,,1.0,3.0,,,1.0,,,,1.0,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,
33,987918,2019-04-05 20:00:00,"St. Mary's Stadium, Southampton",31797,Home,Southampton,Liverpool,1,3,L,1,1,0,0,62.0,1.0,1.0,26.0,37.0,5.0,1.0,6.0,2.0,,140.0,7.0,5.0,8.0,1.0,58.0,149.0,58.0,11.0,3.0,22.0,,,20.0,8.0,37.0,7.0,4.0,33.0,116.0,2.0,,0.0,90.0,8.0,,,60.0,34.0,3.0,38.0,13.0,18.0,5.0,,2.0,149.0,2.0,13.0,36.0,465.0,2.0,10.0,15.0,,12.0,165.0,31.0,,7.0,19.0,2.0,3.0,4.0,18.0,246.0,48.0,,93100,6.0,66.0,1.0,12.0,88.0,4.0,18.0,9.0,46.0,,,3.0,,14.0,4.0,4.0,,72.0,175.0,7.0,6.0,4.0,29.0,70.0,,1.0,0.0,2.0,5.0,1.0,2.0,0.0,3.0,3.0,33.0,9.0,3.0,3.0,,,,4.0,25.0,7.0,272.0,12.0,8.0,15.0,6.0,32.0,4.0,4.0,204.0,6.0,2.0,30.0,50.0,22.0,1.0,19.0,16.0,4.0,3.0,8.0,1.0,11.0,7.0,1.0,,,1.0,2.0,,,,,3.0,,,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,3.0,,1.0,3.0,,1.0,,,1.0,,,,1.0,,,3.0,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,987929,2019-04-13 15:00:00,"St. Mary's Stadium, Southampton",31708,Home,Southampton,Wolverhampton Wanderers,3,1,W,2,1,0,0,63.0,1.0,2.0,21.0,35.0,3.0,2.0,9.0,1.0,2.0,137.0,,11.0,6.0,6.0,56.0,145.0,63.0,12.0,,27.0,2.0,2.0,5.0,13.0,35.0,4.0,8.0,30.0,81.0,,,0.0,85.0,13.0,1.0,,47.0,44.0,4.0,43.0,1.0,18.0,3.0,,2.0,145.0,4.0,8.0,45.0,487.0,2.0,7.0,20.0,,14.0,174.0,17.0,,10.0,20.0,1.0,7.0,2.0,19.0,260.0,58.0,,93100,2.0,99.0,3.0,,116.0,9.0,18.0,7.0,69.0,,2.0,,1.0,11.0,9.0,1.0,,65.0,180.0,8.0,13.0,1.0,29.0,66.0,2.0,,0.0,2.0,9.0,,2.0,0.0,,,30.7,10.0,,4.0,1.0,,1.0,2.0,23.0,4.0,281.0,14.0,14.0,10.0,4.0,17.0,,2.0,170.0,10.0,8.0,21.0,40.0,36.0,3.0,20.0,23.0,7.0,3.0,14.0,3.0,13.0,4.0,3.0,1.0,1.0,3.0,1.0,,,,1.0,2.0,1.0,,,2.0,,,3.0,,,,3.0,1.0,,,3.0,1.0,,2.0,1.0,,,,,1.0,,,,2.0,,,,,1.0,,1.0,,2.0,,,,1.0,,,1.0,,3.0,,,,,2.0,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,
35,987939,2019-04-20 17:30:00,"St. James' Park, Newcastle",52191,Away,Southampton,Newcastle United,1,3,L,0,2,0,0,63.0,2.0,4.0,20.0,18.0,7.0,3.0,8.0,2.0,1.0,155.0,6.0,10.0,12.0,3.0,105.0,174.0,48.0,15.0,1.0,36.0,1.0,1.0,22.0,9.0,18.0,11.0,6.0,31.0,204.0,3.0,,0.0,114.0,11.0,1.0,2.0,95.0,48.0,5.0,54.0,11.0,20.0,7.0,5.0,4.0,174.0,2.0,9.0,103.0,632.0,8.0,8.0,27.0,1.0,14.0,309.0,16.0,,5.0,10.0,2.0,5.0,7.0,26.0,398.0,62.0,,91047,6.0,119.0,2.0,6.0,146.0,4.0,20.0,6.0,79.0,1.0,1.0,2.0,3.0,26.0,6.0,2.0,1.0,52.0,317.0,5.0,11.0,3.0,19.0,67.0,,,0.0,2.0,4.0,1.0,3.0,0.0,2.0,2.0,56.6,20.0,1.0,2.0,1.0,,3.0,5.0,32.0,11.0,417.0,14.0,18.0,15.0,7.0,32.0,4.0,3.0,293.0,9.0,5.0,19.0,70.0,36.0,1.0,10.0,14.0,9.0,3.0,14.0,1.0,9.0,11.0,,,,1.0,,,2.0,1.0,,,1.0,,2.0,3.0,1.0,,1.0,,,,1.0,2.0,,1.0,,3.0,,,3.0,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,
36,987949,2019-04-27 15:00:00,"St. Mary's Stadium, Southampton",31310,Home,Southampton,Bournemouth,3,3,D,1,2,0,0,64.0,1.0,4.0,19.0,20.0,9.0,5.0,12.0,2.0,4.0,132.0,6.0,10.0,13.0,7.0,74.0,158.0,65.0,22.0,2.0,13.0,3.0,,27.0,16.0,20.0,9.0,3.0,33.0,158.0,4.0,,0.0,132.0,8.0,2.0,,38.0,74.0,8.0,71.0,18.0,16.0,10.0,8.0,6.0,158.0,2.0,5.0,74.0,586.0,9.0,7.0,33.0,,20.0,243.0,15.0,,5.0,6.0,2.0,,5.0,20.0,333.0,68.0,1.0,91047,9.0,106.0,4.0,9.0,120.0,6.0,16.0,7.0,44.0,,1.0,,,18.0,4.0,5.0,,57.0,258.0,9.0,5.0,1.0,28.0,64.0,1.0,,0.0,3.0,3.0,1.0,1.0,0.0,4.0,1.0,44.4,16.0,,10.0,1.0,,,6.0,29.0,9.0,351.0,20.0,14.0,17.0,9.0,38.0,2.0,2.0,258.0,16.0,3.0,21.0,79.0,39.0,1.0,6.0,25.0,14.0,3.0,15.0,1.0,8.0,9.0,1.0,,,3.0,1.0,,2.0,1.0,3.0,2.0,1.0,,2.0,2.0,1.0,1.0,3.0,1.0,1.0,,1.0,,1.0,,2.0,3.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,,1.0,,3.0,,,2.0,1.0,,,,1.0,3.0,,1.0,,,1.0,,,,2.0,,,,1.0,1.0,,,,,,,,,,,2.0,1.0,1.0,,3.0,,,,,,1.0,1.0,,,1.0,
37,987960,2019-05-04 15:00:00,"London Stadium, London",59961,Away,Southampton,West Ham United,0,3,L,0,1,0,0,60.0,1.0,3.0,18.0,13.0,4.0,1.0,7.0,3.0,1.0,154.0,3.0,8.0,9.0,1.0,86.0,154.0,37.0,11.0,4.0,27.0,1.0,3.0,22.0,12.0,13.0,7.0,11.0,26.0,190.0,,,0.0,118.0,11.0,4.0,,48.0,54.0,6.0,60.0,15.0,21.0,4.0,5.0,,154.0,,8.0,84.0,572.0,8.0,7.0,24.0,,18.0,285.0,20.0,,5.0,3.0,1.0,5.0,3.0,24.0,368.0,55.0,,96787,1.0,106.0,,9.0,122.0,5.0,21.0,7.0,78.0,,2.0,1.0,4.0,14.0,9.0,3.0,1.0,47.0,293.0,2.0,24.0,1.0,22.0,73.0,,,0.0,5.0,2.0,2.0,4.0,0.0,1.0,1.0,43.7,18.0,1.0,3.0,3.0,1.0,4.0,7.0,42.0,7.0,384.0,18.0,9.0,15.0,3.0,38.0,2.0,3.0,284.0,9.0,11.0,13.0,76.0,32.0,,3.0,14.0,8.0,3.0,17.0,,11.0,7.0,,,,,1.0,,,,,,,,2.0,2.0,,,,1.0,,,,,,,,3.0,,,3.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,987969,2019-05-12 15:00:00,"St. Mary's Stadium, Southampton",30367,Home,Southampton,Huddersfield Town,1,1,D,1,0,0,0,60.0,2.0,3.0,24.0,16.0,6.0,1.0,4.0,2.0,1.0,186.0,2.0,13.0,8.0,3.0,93.0,192.0,71.0,10.0,1.0,24.0,1.0,,15.0,8.0,16.0,4.0,7.0,30.0,202.0,,,0.0,138.0,8.0,,,91.0,47.0,7.0,76.0,11.0,22.0,6.0,5.0,3.0,192.0,1.0,3.0,92.0,659.0,7.0,13.0,23.0,1.0,9.0,315.0,20.0,,11.0,9.0,0.0,3.0,1.0,31.0,429.0,62.0,,91047,2.0,125.0,1.0,6.0,153.0,6.0,22.0,7.0,64.0,,2.0,1.0,4.0,21.0,7.0,2.0,,62.0,325.0,6.0,5.0,,37.0,95.0,,1.0,0.0,3.0,3.0,,5.0,0.0,2.0,1.0,53.7,26.0,,6.0,,1.0,4.0,4.0,45.0,4.0,447.0,9.0,17.0,17.0,3.0,25.0,,,309.0,7.0,7.0,40.0,90.0,29.0,2.0,9.0,12.0,10.0,3.0,23.0,2.0,12.0,4.0,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,2.0,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
