gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,attLfGoal,attCmissRight,attMissLeft,divingSave,accurateFreekickCross,attSetpiece,totalOffside,attAssistSetplay,attSvLowRight,attCmissLeft,attHdMiss,forwardGoals,bigChanceScored,attGoalLowCentre,postScoringAtt,accurateKeeperSweeper,attIboxPost,attPostLeft,hitWoodwork,attMissHighLeft,totalKeeperSweeper,attSvHighCentre,attMissHighRight,attLgCentre,attSvHighRight,attGoalHighCentre,attHdTarget,errorLeadToShot,sixYardBlock,goalsConcededObox,attSvHighLeft,goalsConceded,foulThrowIn,goalsConcededIbox,handBall,shotFastbreak,goalFastbreak,totalFastbreak,attFastbreak,errorLeadToGoal,penaltyWon,attPenMiss,attPenGoal,attHdPost,attObxdRight,attPostHigh,ownGoals,attIboxOwnGoal,attGoalHighLeft,attObpGoal,shieldBallOop,attCmissHigh,attPostRight,clearanceOffLine,penaltyConceded,penaltyFaced,penGoalsConceded,attPenPost,touchesInOppBox,attOboxPost,attCmissHighRight,attObxdLeft
27,803428,2016-04-19 19:45:00,"St. James' Park, Newcastle",46424,Away,Manchester City,Newcastle United,1,1,D,1,1,0,0,,76.0,,1.0,1.0,1.0,1.0,28.0,30.0,3.0,1.0,2.0,3.0,187.0,4.0,7.0,1.0,2.0,5.0,,5.0,133.0,198.0,69.0,,9.0,,14.0,3.0,2.0,,2.0,19.0,21.0,1.0,1.0,23.0,3.0,17.0,32.0,,239.0,,,0.0,173.0,8.0,,,2.0,3.0,87.0,91.0,4.0,77.0,,1.0,16.0,27.0,,2.0,2.0,191.0,,,4.0,125.0,739.0,2.0,5.0,17.0,375.0,30.0,6.0,20.0,1.0,2.0,,1.0,33.0,498.0,76.0,1.0,61366,4.0,155.0,,12.0,183.0,3.0,,3.0,27.0,5.0,55.0,3.0,,3.0,,6.0,1.0,2.0,,73.0,390.0,13.0,14.0,26.0,101.0,1.0,0.0,,5.0,5.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,56.8,22.0,5.0,,3.0,1.0,47.0,3.0,3.0,522.0,17.0,,15.0,9.0,3.0,22.0,2.0,1.0,358.0,5.0,16.0,22.0,115.0,34.0,3.0,16.0,27.0,1.0,4.0,3.0,11.0,3.0,11.0,3.0,,,,1.0,2.0,1.0,3.0,3.0,2.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,803435,2016-03-02 20:00:00,"Anfield, Liverpool",43597,Away,Manchester City,Liverpool,0,3,L,0,2,0,0,,73.0,,3.0,1.0,,,24.0,27.0,2.0,,4.0,1.0,193.0,2.0,19.0,,2.0,4.0,,1.0,116.0,187.0,71.0,,4.0,,11.0,,,,,13.0,21.0,,1.0,26.0,1.0,7.0,19.0,,201.0,,,0.0,154.0,14.0,,1.0,2.0,,71.0,82.0,2.0,56.0,,1.0,12.0,22.0,,,1.0,186.0,,,4.0,105.0,693.0,2.0,8.0,19.0,335.0,32.0,8.0,8.0,,1.0,1.0,2.0,24.0,436.0,71.0,,57410,2.0,157.0,,10.0,184.0,6.0,,,22.0,11.0,72.0,3.0,,5.0,,15.0,7.0,5.0,,59.0,356.0,14.0,13.0,26.0,81.0,2.0,0.0,,2.0,3.0,1.0,,2.0,0.0,2.0,,1.0,50.4,15.0,5.0,,5.0,1.0,40.0,2.0,,470.0,19.0,,28.0,7.0,2.0,22.0,,1.0,299.0,2.0,6.0,11.0,101.0,27.0,2.0,8.0,27.0,,2.0,3.0,25.0,2.0,5.0,2.0,,,,1.0,2.0,2.0,2.0,1.0,2.0,,,1.0,,,,,3.0,,,,,3.0,,,,,,,,1.0,1.0,,3.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
29,803443,2016-03-05 15:00:00,"Etihad Stadium, Manchester",53892,Home,Manchester City,Aston Villa,4,0,W,0,0,0,0,2.0,72.0,3.0,,,,,40.0,4.0,6.0,5.0,1.0,2.0,226.0,8.0,9.0,4.0,7.0,20.0,,9.0,234.0,126.0,45.0,,22.0,3.0,15.0,5.0,,3.0,1.0,25.0,11.0,,,3.0,7.0,38.0,27.0,,513.0,1.0,,0.0,303.0,10.0,1.0,,1.0,1.0,132.0,168.0,11.0,133.0,1.0,3.0,18.0,20.0,,5.0,3.0,125.0,3.0,,2.0,218.0,994.0,13.0,2.0,22.0,725.0,23.0,1.0,,3.0,0.0,1.0,9.0,16.0,797.0,84.0,,57410,13.0,234.0,3.0,12.0,241.0,5.0,4.0,,20.0,2.0,54.0,2.0,,6.0,4.0,9.0,,2.0,1.0,53.0,739.0,10.0,6.0,6.0,82.0,,0.0,,2.0,1.0,1.0,4.0,,0.0,4.0,3.0,4.0,71.2,16.0,11.0,2.0,6.0,3.0,70.0,9.0,1.0,811.0,22.0,,16.0,18.0,10.0,40.0,4.0,6.0,595.0,13.0,36.0,9.0,252.0,32.0,,,17.0,,14.0,3.0,16.0,,6.0,9.0,,,1.0,3.0,1.0,,2.0,2.0,4.0,,1.0,3.0,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,3.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,
30,803455,2016-03-12 12:45:00,"Carrow Road, Norwich",26323,Away,Manchester City,Norwich City,0,0,D,0,0,0,0,,63.0,,,2.0,,,38.0,36.0,9.0,4.0,,2.0,226.0,5.0,11.0,,5.0,9.0,,3.0,147.0,178.0,75.0,2.0,15.0,5.0,23.0,2.0,1.0,,2.0,32.0,18.0,,1.0,32.0,8.0,24.0,27.0,,373.0,1.0,,0.0,258.0,10.0,,,2.0,,103.0,109.0,4.0,100.0,1.0,1.0,24.0,15.0,2.0,2.0,3.0,174.0,,,2.0,152.0,846.0,7.0,14.0,14.0,512.0,29.0,9.0,23.0,,1.0,1.0,5.0,21.0,605.0,88.0,,57410,3.0,160.0,,20.0,183.0,4.0,,,15.0,6.0,60.0,1.0,,1.0,,10.0,3.0,5.0,2.0,67.0,528.0,13.0,3.0,24.0,62.0,2.0,0.0,1.0,4.0,4.0,,,8.0,0.0,1.0,,3.0,66.1,13.0,6.0,1.0,1.0,7.0,42.0,8.0,,625.0,14.0,,15.0,14.0,5.0,35.0,4.0,2.0,474.0,7.0,23.0,32.0,205.0,27.0,4.0,21.0,21.0,,9.0,3.0,23.0,4.0,7.0,8.0,,,,2.0,,,1.0,1.0,2.0,,,2.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
31,803467,2016-03-20 16:00:00,"Etihad Stadium, Manchester",54557,Home,Manchester City,Manchester United,0,1,L,0,1,0,0,,57.0,,2.0,6.0,,,18.0,29.0,5.0,3.0,3.0,1.0,173.0,16.0,20.0,,4.0,22.0,1.0,3.0,96.0,142.0,76.0,,26.0,1.0,10.0,3.0,4.0,,,32.0,17.0,,,22.0,10.0,13.0,23.0,,256.0,,,0.0,176.0,9.0,,,3.0,,53.0,93.0,8.0,81.0,,2.0,22.0,24.0,,5.0,4.0,135.0,2.0,,3.0,104.0,711.0,16.0,6.0,24.0,355.0,23.0,4.0,16.0,,1.0,1.0,14.0,28.0,435.0,65.0,,57112,14.0,132.0,2.0,14.0,152.0,6.0,,2.0,24.0,6.0,58.0,,,7.0,,6.0,2.0,6.0,2.0,41.0,372.0,11.0,14.0,17.0,65.0,1.0,0.0,,,5.0,1.0,,3.0,0.0,11.0,,8.0,54.5,25.0,2.0,,7.0,7.0,40.0,11.0,,454.0,24.0,,14.0,8.0,16.0,36.0,5.0,11.0,334.0,13.0,13.0,24.0,135.0,25.0,1.0,12.0,21.0,,16.0,3.0,32.0,1.0,12.0,11.0,,,,7.0,3.0,3.0,3.0,2.0,6.0,1.0,4.0,5.0,,,,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,3.0,,1.0,,2.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,46.0,,,
32,803475,2016-04-02 15:00:00,"Vitality Stadium, Bournemouth",11192,Away,Manchester City,Bournemouth,4,0,W,3,0,0,0,1.0,63.0,1.0,1.0,,1.0,1.0,30.0,17.0,5.0,5.0,2.0,2.0,198.0,3.0,13.0,4.0,1.0,13.0,1.0,7.0,119.0,134.0,55.0,,15.0,,11.0,2.0,1.0,2.0,,15.0,22.0,1.0,1.0,12.0,3.0,19.0,30.0,,284.0,1.0,,0.0,192.0,8.0,2.0,2.0,1.0,1.0,90.0,97.0,6.0,97.0,,,12.0,21.0,,1.0,3.0,129.0,,,6.0,143.0,735.0,10.0,8.0,17.0,460.0,29.0,2.0,4.0,3.0,1.0,3.0,7.0,18.0,537.0,74.0,,61366,3.0,189.0,,10.0,213.0,6.0,2.0,1.0,21.0,9.0,47.0,2.0,,1.0,2.0,6.0,5.0,3.0,2.0,62.0,470.0,8.0,12.0,13.0,71.0,,0.0,,,4.0,1.0,4.0,3.0,0.0,2.0,2.0,1.0,54.4,15.0,10.0,5.0,1.0,,45.0,4.0,1.0,557.0,17.0,,12.0,16.0,8.0,26.0,1.0,4.0,359.0,9.0,18.0,7.0,147.0,22.0,1.0,4.0,27.0,1.0,12.0,3.0,18.0,1.0,9.0,4.0,1.0,1.0,,3.0,1.0,,,4.0,,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,
33,803491,2016-04-09 17:30:00,"Etihad Stadium, Manchester",53920,Home,Manchester City,West Bromwich Albion,2,1,W,1,1,0,0,,57.0,1.0,1.0,1.0,,,23.0,27.0,5.0,3.0,1.0,2.0,171.0,4.0,9.0,2.0,2.0,11.0,,4.0,165.0,155.0,39.0,,13.0,4.0,18.0,1.0,1.0,,1.0,21.0,9.0,,1.0,21.0,8.0,11.0,22.0,,307.0,,,0.0,208.0,10.0,1.0,1.0,,2.0,104.0,94.0,7.0,80.0,1.0,,13.0,16.0,,3.0,,149.0,,,7.0,132.0,737.0,9.0,3.0,8.0,448.0,30.0,4.0,15.0,,0.0,4.0,4.0,20.0,529.0,60.0,1.0,61366,3.0,155.0,,10.0,178.0,2.0,2.0,1.0,16.0,8.0,59.0,3.0,,2.0,1.0,10.0,6.0,2.0,,53.0,458.0,7.0,12.0,18.0,77.0,2.0,0.0,,3.0,8.0,,2.0,1.0,0.0,2.0,,2.0,62.1,16.0,3.0,1.0,2.0,5.0,39.0,8.0,2.0,548.0,8.0,,12.0,6.0,4.0,31.0,2.0,3.0,391.0,8.0,10.0,12.0,169.0,19.0,9.0,13.0,11.0,,10.0,3.0,18.0,9.0,9.0,8.0,1.0,,,1.0,,,1.0,3.0,2.0,,,2.0,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,
34,803495,2016-04-16 17:30:00,"Stamford Bridge, London",41212,Away,Manchester City,Chelsea,3,0,W,1,0,0,1,1.0,63.0,2.0,3.0,1.0,,,17.0,33.0,3.0,1.0,3.0,4.0,181.0,3.0,22.0,3.0,2.0,9.0,2.0,8.0,106.0,137.0,58.0,1.0,11.0,1.0,6.0,5.0,2.0,1.0,2.0,10.0,12.0,,,26.0,3.0,21.0,21.0,1.0,252.0,1.0,1.0,0.0,136.0,15.0,,2.0,,1.0,65.0,78.0,7.0,86.0,5.0,,7.0,29.0,1.0,1.0,1.0,130.0,6.0,,4.0,136.0,733.0,7.0,10.0,25.0,412.0,37.0,3.0,16.0,1.0,3.0,5.0,1.0,18.0,487.0,57.0,4.0,61366,4.0,177.0,5.0,6.0,200.0,10.0,3.0,3.0,29.0,6.0,54.0,5.0,,5.0,2.0,13.0,7.0,2.0,1.0,42.0,426.0,11.0,14.0,18.0,72.0,3.0,0.0,,2.0,11.0,1.0,2.0,,0.0,3.0,1.0,,48.2,14.0,6.0,2.0,5.0,2.0,49.0,3.0,1.0,509.0,25.0,,13.0,11.0,1.0,16.0,,,319.0,10.0,20.0,12.0,100.0,14.0,3.0,15.0,13.0,,9.0,3.0,29.0,3.0,18.0,3.0,1.0,,,,1.0,,,1.0,,1.0,,,3.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,2.0,3.0,2.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,
35,803508,2016-04-23 12:45:00,"Etihad Stadium, Manchester",53974,Home,Manchester City,Stoke City,4,0,W,2,0,0,0,1.0,57.0,3.0,1.0,1.0,1.0,1.0,21.0,12.0,4.0,6.0,2.0,1.0,179.0,6.0,12.0,4.0,3.0,9.0,2.0,6.0,121.0,140.0,46.0,,11.0,1.0,24.0,1.0,,2.0,1.0,13.0,11.0,,1.0,8.0,6.0,13.0,21.0,1.0,215.0,1.0,,0.0,142.0,8.0,1.0,,1.0,,64.0,74.0,7.0,76.0,1.0,2.0,7.0,16.0,,1.0,2.0,136.0,2.0,,7.0,125.0,654.0,5.0,5.0,13.0,395.0,21.0,1.0,7.0,3.0,0.0,1.0,2.0,11.0,475.0,54.0,,61366,6.0,203.0,,5.0,224.0,6.0,1.0,2.0,16.0,14.0,73.0,1.0,,7.0,2.0,14.0,7.0,6.0,,56.0,412.0,8.0,24.0,18.0,75.0,1.0,0.0,,3.0,4.0,1.0,4.0,2.0,0.0,2.0,2.0,1.0,53.2,7.0,4.0,,7.0,2.0,44.0,9.0,,501.0,13.0,,12.0,10.0,3.0,18.0,4.0,1.0,290.0,3.0,13.0,10.0,103.0,24.0,2.0,6.0,16.0,1.0,7.0,3.0,18.0,2.0,5.0,9.0,,2.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,3.0,3.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,
36,803517,2016-05-01 16:30:00,"St. Mary's Stadium, Southampton",31472,Away,Manchester City,Southampton,2,4,L,1,2,0,0,1.0,66.0,,1.0,,,,26.0,26.0,2.0,2.0,3.0,2.0,191.0,2.0,13.0,2.0,1.0,4.0,1.0,5.0,141.0,161.0,63.0,,6.0,,16.0,2.0,1.0,1.0,2.0,14.0,19.0,,1.0,20.0,2.0,29.0,27.0,,286.0,,1.0,0.0,145.0,9.0,,,1.0,1.0,91.0,96.0,4.0,94.0,4.0,,12.0,18.0,,1.0,,155.0,1.0,,9.0,150.0,804.0,3.0,3.0,20.0,467.0,28.0,2.0,14.0,1.0,1.0,2.0,,20.0,549.0,67.0,,57410,3.0,202.0,1.0,10.0,223.0,5.0,,1.0,18.0,7.0,78.0,1.0,,12.0,2.0,11.0,5.0,5.0,,57.0,486.0,12.0,16.0,17.0,87.0,3.0,0.0,,1.0,9.0,2.0,1.0,1.0,0.0,,,1.0,59.8,17.0,2.0,,12.0,,54.0,2.0,1.0,576.0,20.0,,30.0,12.0,1.0,15.0,2.0,1.0,367.0,3.0,27.0,15.0,110.0,23.0,2.0,11.0,24.0,1.0,6.0,2.0,21.0,2.0,11.0,2.0,1.0,1.0,,,1.0,,,,,1.0,,,2.0,1.0,,,2.0,,,,,2.0,,1.0,,,,,,,,,4.0,,4.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
37,803522,2016-05-08 16:00:00,"Etihad Stadium, Manchester",54425,Home,Manchester City,Arsenal,2,2,D,1,1,0,0,,67.0,1.0,,1.0,,,20.0,28.0,4.0,6.0,,1.0,190.0,13.0,23.0,2.0,2.0,10.0,,3.0,127.0,181.0,82.0,1.0,14.0,1.0,24.0,,1.0,1.0,,25.0,17.0,,1.0,26.0,5.0,14.0,29.0,,289.0,,1.0,0.0,200.0,16.0,1.0,,,1.0,69.0,124.0,2.0,67.0,1.0,2.0,20.0,24.0,1.0,5.0,2.0,179.0,,,3.0,121.0,747.0,8.0,8.0,17.0,373.0,23.0,4.0,19.0,1.0,2.0,1.0,8.0,31.0,484.0,72.0,2.0,61366,5.0,112.0,,15.0,137.0,11.0,1.0,1.0,24.0,3.0,85.0,4.0,,4.0,2.0,15.0,2.0,,2.0,62.0,388.0,9.0,20.0,23.0,71.0,1.0,0.0,1.0,1.0,2.0,,1.0,3.0,0.0,8.0,1.0,2.0,57.2,26.0,8.0,1.0,4.0,2.0,36.0,7.0,1.0,505.0,17.0,,19.0,15.0,9.0,38.0,5.0,6.0,393.0,6.0,10.0,28.0,130.0,31.0,2.0,19.0,22.0,,11.0,3.0,30.0,2.0,11.0,7.0,1.0,1.0,1.0,3.0,,,,3.0,1.0,,,2.0,1.0,,,1.0,,1.0,,2.0,1.0,,1.0,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
38,803537,2016-05-15 15:00:00,"Swansea.com Stadium, Swansea",20934,Away,Manchester City,Swansea City,1,1,D,1,1,0,0,3.0,63.0,,,1.0,,,17.0,16.0,7.0,7.0,,1.0,177.0,3.0,10.0,1.0,,14.0,1.0,5.0,118.0,145.0,39.0,,18.0,2.0,18.0,4.0,,,3.0,16.0,13.0,,,13.0,4.0,11.0,25.0,,242.0,,,0.0,172.0,19.0,,1.0,,1.0,64.0,94.0,7.0,88.0,1.0,2.0,12.0,25.0,,2.0,5.0,142.0,1.0,,1.0,113.0,672.0,14.0,7.0,22.0,392.0,32.0,4.0,6.0,,3.0,1.0,7.0,24.0,481.0,66.0,1.0,61366,4.0,161.0,2.0,10.0,188.0,9.0,1.0,2.0,25.0,4.0,55.0,1.0,,1.0,1.0,10.0,3.0,3.0,3.0,52.0,400.0,4.0,6.0,24.0,77.0,1.0,0.0,,2.0,4.0,,1.0,1.0,0.0,3.0,,1.0,50.0,18.0,6.0,3.0,1.0,3.0,43.0,4.0,1.0,496.0,22.0,,5.0,14.0,10.0,26.0,,5.0,324.0,10.0,8.0,8.0,131.0,20.0,2.0,5.0,17.0,,17.0,2.0,18.0,2.0,14.0,4.0,,,1.0,4.0,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
