gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attOboxBlocked,divingSave,attMissHighLeft,attBxLeft,attGoalLowRight,attPenPost,attFreekickTotal,postScoringAtt,attMissLeft,attIboxPost,attMissHighRight,penaltyWon,freekickTotal,hitWoodwork,punches,attFreekickTarget,goalsConceded,accurateFlickOn,attHdMiss,clearanceOffLine,attFreekickMiss,attPostRight,attHdGoal,goalsConcededIbox,handBall,goalAssistDeadball,attOneOnOne,interceptionsInBox,contentiousDecision,defenderGoals,attPenGoal,attSvHighRight,ptsGainedLosingPos,attSvHighLeft,attFreekickPost,attSvLowRight,attCmissLeft,attOboxPost,foulThrowIn,attGoalHighCentre,attOboxGoal,ownGoals,attFreekickGoal,attIboxOwnGoal,goalsConcededObox,attObxLeft,secondYellow,attCmissHighRight,attObxdLeft,attGoalLowCentre,subsGoals,attObpGoal,penaltyConceded,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,errorLeadToGoal,attPostLeft,attCmissHighLeft,goalFastbreak,attObxRight,attObxdRight,attLgCentre,attGoalHighRight
26,2367788,2024-02-24 17:30:00,"Vitality Stadium, Bournemouth",11184.0,Away,Manchester City,Bournemouth,1,0,W,1,0,0,0,3.0,1.0,60.0,,4.0,,21.0,14.0,5.0,7.0,10.0,4.0,1.0,1.0,213.0,3.0,14.0,1.0,4.0,10.0,1.0,1.0,6.0,115.0,141.0,53.0,15.0,12.0,4.0,,2.0,2.0,,2.0,16.0,7.0,1.0,14.0,8.0,9.0,31.0,293.0,1.0,0.0,180.0,6.0,,1.0,,1.0,1.0,76.0,75.0,9.0,112.0,1.0,8.0,18.0,5.0,3.0,2.0,141.0,2.0,8.0,142.0,776.0,9.0,4.0,39.0,1.0,6.0,475.0,24.0,2.0,5.0,,2.0,2.0,4.0,1.0,18.0,561.0,68.0,2.0,,,97299,4.0,203.0,3.0,4.0,1.0,,229.0,5.0,,2.0,7.0,6.0,47.0,,2.0,,6.0,1.0,10.0,5.0,3.0,,44.0,493.0,14.0,6.0,1.0,17.0,1.0,80.0,,,0.0,2.0,3.0,1.0,1.0,0.0,2.0,,,2.0,62.1,15.0,10.0,1.0,7.0,6.0,52.0,8.0,2.0,582.0,6.0,9.0,16.0,3.0,32.0,1.0,1.0,369.0,6.0,8.0,13.0,143.0,18.0,,2.0,5.0,12.0,13.0,3.0,28.0,2.0,7.0,8.0,3.0,2.0,2.0,1.0,2.0,1.0,,1.0,,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,3.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2367803,2024-03-03 15:30:00,"Etihad Stadium, Manchester",55097.0,Home,Manchester City,Manchester United,3,1,W,0,1,0,0,,1.0,49.0,1.0,5.0,,37.0,4.0,10.0,12.0,17.0,,3.0,5.0,178.0,6.0,10.0,3.0,3.0,23.0,,1.0,8.0,248.0,125.0,34.0,27.0,10.0,4.0,1.0,4.0,3.0,3.0,,37.0,3.0,1.0,4.0,11.0,6.0,38.0,532.0,,0.0,401.0,5.0,1.0,,,,,129.0,133.0,17.0,149.0,3.0,26.0,15.0,10.0,6.0,2.0,125.0,3.0,2.0,226.0,981.0,19.0,,69.0,,9.0,717.0,11.0,,1.0,3.0,3.0,0.0,,6.0,19.0,782.0,87.0,1.0,,,97299,8.0,210.0,3.0,20.0,,,216.0,5.0,,,5.0,3.0,40.0,1.0,2.0,,5.0,3.0,8.0,1.0,3.0,2.0,46.0,736.0,10.0,6.0,1.0,5.0,3.0,49.0,1.0,1.0,0.0,1.0,2.0,,2.0,0.0,6.0,2.0,2.0,2.0,72.9,18.0,15.0,1.0,5.0,11.0,41.0,15.0,,801.0,9.0,9.0,27.0,8.0,56.0,,6.0,622.0,13.0,6.0,9.0,348.0,18.0,3.0,,1.0,5.0,23.0,2.0,20.0,,5.0,15.0,,6.0,,1.0,3.0,1.0,,1.0,,,,2.0,,1.0,,1.0,,1.0,,2.0,,,,,,,,1.0,1.0,,,,,3.0,,,4.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
28,2367814,2024-03-10 15:45:00,"Anfield, Liverpool",59947.0,Away,Manchester City,Liverpool,1,1,D,1,0,0,0,3.0,1.0,69.0,,,1.0,25.0,18.0,5.0,6.0,5.0,5.0,,2.0,189.0,2.0,13.0,1.0,,9.0,1.0,,6.0,120.0,147.0,42.0,10.0,10.0,3.0,1.0,,3.0,,1.0,11.0,13.0,2.0,18.0,4.0,7.0,44.0,205.0,,0.0,125.0,10.0,1.0,1.0,1.0,,1.0,71.0,55.0,7.0,100.0,,7.0,25.0,5.0,1.0,1.0,147.0,2.0,11.0,121.0,728.0,8.0,2.0,18.0,,12.0,414.0,26.0,1.0,12.0,1.0,3.0,3.0,4.0,2.0,19.0,505.0,60.0,,,1.0,97299,1.0,232.0,1.0,6.0,,,266.0,9.0,1.0,1.0,12.0,11.0,49.0,,,1.0,5.0,,17.0,8.0,9.0,,55.0,435.0,6.0,7.0,,19.0,1.0,70.0,1.0,,0.0,,7.0,2.0,1.0,0.0,1.0,1.0,,,47.2,17.0,9.0,2.0,5.0,2.0,43.0,4.0,1.0,530.0,12.0,14.0,29.0,2.0,19.0,1.0,,275.0,4.0,5.0,8.0,85.0,25.0,,3.0,12.0,15.0,9.0,3.0,22.0,3.0,12.0,4.0,3.0,2.0,4.0,,3.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,1.0,1.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,
29,2367819,2024-04-25 20:00:00,"American Express Stadium, Falmer",31596.0,Away,Manchester City,Brighton and Hove Albion,4,0,W,3,0,0,0,,2.0,40.0,2.0,3.0,,23.0,7.0,4.0,3.0,10.0,3.0,2.0,2.0,182.0,3.0,4.0,4.0,3.0,8.0,,,6.0,237.0,87.0,27.0,14.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,9.0,8.0,1.0,7.0,3.0,21.0,24.0,298.0,1.0,0.0,141.0,3.0,1.0,3.0,,2.0,1.0,60.0,84.0,6.0,159.0,1.0,6.0,14.0,4.0,1.0,1.0,87.0,2.0,5.0,208.0,926.0,4.0,3.0,23.0,,5.0,714.0,13.0,,5.0,3.0,2.0,0.0,1.0,2.0,14.0,765.0,59.0,,1.0,,97299,5.0,439.0,1.0,3.0,,1.0,455.0,3.0,1.0,,8.0,6.0,27.0,,1.0,1.0,5.0,3.0,9.0,2.0,6.0,1.0,38.0,734.0,10.0,7.0,1.0,5.0,2.0,58.0,1.0,,0.0,3.0,4.0,2.0,3.0,0.0,3.0,1.0,,1.0,64.7,13.0,7.0,,5.0,4.0,44.0,4.0,1.0,786.0,5.0,9.0,17.0,4.0,11.0,,3.0,340.0,10.0,19.0,2.0,113.0,13.0,1.0,3.0,5.0,11.0,10.0,5.0,10.0,3.0,8.0,4.0,1.0,1.0,1.0,,2.0,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0
30,2367833,2024-03-31 16:30:00,"Etihad Stadium, Manchester",53422.0,Home,Manchester City,Arsenal,0,0,D,0,0,0,0,,,50.0,,2.0,,28.0,7.0,3.0,4.0,9.0,2.0,,,172.0,6.0,20.0,,5.0,11.0,,1.0,1.0,179.0,140.0,68.0,12.0,10.0,1.0,,2.0,,,1.0,32.0,9.0,,7.0,6.0,10.0,47.0,355.0,1.0,0.0,226.0,9.0,,,,4.0,1.0,80.0,83.0,5.0,120.0,4.0,26.0,18.0,3.0,4.0,1.0,140.0,1.0,5.0,229.0,895.0,8.0,2.0,40.0,,4.0,597.0,18.0,2.0,5.0,,,0.0,2.0,6.0,14.0,678.0,68.0,,,,97299,6.0,269.0,2.0,18.0,,,296.0,6.0,,,4.0,3.0,48.0,,,2.0,7.0,,8.0,1.0,2.0,,49.0,618.0,19.0,9.0,3.0,9.0,3.0,43.0,,,0.0,1.0,4.0,2.0,,0.0,3.0,,2.0,5.0,72.5,13.0,7.0,,7.0,4.0,26.0,7.0,1.0,700.0,4.0,14.0,31.0,7.0,42.0,3.0,6.0,436.0,2.0,9.0,16.0,192.0,17.0,,1.0,5.0,13.0,9.0,3.0,26.0,1.0,4.0,7.0,,2.0,,1.0,,,,,,2.0,,,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2367846,2024-04-03 20:15:00,"Etihad Stadium, Manchester",53422.0,Home,Manchester City,Aston Villa,4,1,W,2,1,0,0,4.0,1.0,61.0,1.0,7.0,,27.0,6.0,5.0,13.0,20.0,2.0,3.0,2.0,159.0,1.0,15.0,4.0,4.0,21.0,,,11.0,205.0,102.0,56.0,25.0,2.0,6.0,,6.0,,2.0,4.0,9.0,15.0,1.0,6.0,2.0,12.0,42.0,425.0,,0.0,289.0,6.0,,4.0,1.0,1.0,2.0,73.0,90.0,15.0,116.0,2.0,7.0,14.0,5.0,,2.0,102.0,4.0,7.0,221.0,884.0,19.0,1.0,63.0,1.0,5.0,632.0,21.0,2.0,2.0,2.0,,1.0,4.0,6.0,11.0,686.0,60.0,3.0,,,97299,9.0,223.0,3.0,6.0,1.0,,238.0,4.0,1.0,,6.0,2.0,36.0,,3.0,1.0,2.0,3.0,16.0,1.0,2.0,,30.0,647.0,13.0,7.0,,3.0,,42.0,,,0.0,2.0,3.0,2.0,2.0,0.0,1.0,2.0,,1.0,67.0,11.0,12.0,2.0,2.0,7.0,39.0,2.0,2.0,701.0,5.0,12.0,32.0,7.0,37.0,,4.0,472.0,11.0,12.0,3.0,254.0,25.0,,3.0,2.0,26.0,23.0,4.0,24.0,3.0,6.0,2.0,,,2.0,1.0,3.0,1.0,,2.0,1.0,2.0,1.0,1.0,,2.0,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0
32,2367850,2024-04-06 12:30:00,"Selhurst Park, London",25132.0,Away,Manchester City,Crystal Palace,4,2,W,1,1,0,0,2.0,1.0,44.0,2.0,2.0,,19.0,10.0,5.0,6.0,13.0,2.0,2.0,2.0,195.0,2.0,4.0,4.0,4.0,15.0,,,8.0,247.0,116.0,33.0,18.0,7.0,4.0,,2.0,,2.0,1.0,17.0,6.0,,10.0,4.0,6.0,21.0,515.0,,0.0,301.0,3.0,,3.0,1.0,1.0,,190.0,107.0,9.0,142.0,,14.0,19.0,5.0,3.0,3.0,116.0,5.0,5.0,261.0,993.0,12.0,1.0,40.0,,3.0,743.0,9.0,6.0,4.0,2.0,,1.0,1.0,6.0,21.0,814.0,74.0,1.0,,2.0,97299,5.0,259.0,4.0,10.0,,1.0,270.0,3.0,2.0,1.0,5.0,7.0,31.0,,2.0,1.0,5.0,4.0,9.0,2.0,7.0,2.0,35.0,772.0,13.0,5.0,1.0,16.0,3.0,56.0,,,0.0,,2.0,1.0,4.0,0.0,2.0,2.0,1.0,1.0,75.5,20.0,6.0,1.0,5.0,4.0,46.0,9.0,,845.0,3.0,9.0,11.0,6.0,39.0,1.0,3.0,592.0,11.0,5.0,7.0,255.0,23.0,1.0,,4.0,9.0,14.0,4.0,12.0,,5.0,9.0,1.0,2.0,,,3.0,,,,,1.0,,3.0,,,,1.0,,2.0,,1.0,,,,,2.0,1.0,,1.0,1.0,,,,,3.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0
33,2367864,2024-04-13 15:00:00,"Etihad Stadium, Manchester",53449.0,Home,Manchester City,Luton Town,5,1,W,1,0,0,0,2.0,1.0,52.0,1.0,7.0,1.0,12.0,3.0,11.0,12.0,26.0,1.0,1.0,7.0,169.0,7.0,10.0,5.0,2.0,29.0,1.0,1.0,13.0,236.0,108.0,44.0,37.0,14.0,4.0,,1.0,,2.0,4.0,27.0,13.0,5.0,3.0,9.0,6.0,36.0,505.0,,0.0,393.0,7.0,,2.0,2.0,1.0,1.0,89.0,98.0,17.0,115.0,3.0,19.0,17.0,11.0,5.0,3.0,108.0,3.0,4.0,243.0,939.0,24.0,2.0,104.0,,5.0,692.0,10.0,1.0,3.0,3.0,,1.0,,12.0,14.0,751.0,52.0,2.0,1.0,1.0,91651,20.0,206.0,4.0,13.0,,,214.0,5.0,3.0,2.0,7.0,1.0,41.0,,3.0,,1.0,2.0,14.0,,1.0,2.0,23.0,704.0,5.0,7.0,2.0,8.0,7.0,42.0,,1.0,0.0,1.0,1.0,1.0,5.0,0.0,5.0,1.0,,1.0,73.6,13.0,13.0,1.0,1.0,10.0,33.0,12.0,1.0,763.0,5.0,5.0,23.0,14.0,57.0,3.0,10.0,576.0,23.0,6.0,9.0,354.0,27.0,1.0,2.0,3.0,20.0,29.0,2.0,18.0,2.0,7.0,12.0,,3.0,,1.0,3.0,1.0,,,1.0,6.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,1.0
34,2367876,2024-05-14 20:00:00,"Tottenham Hotspur Stadium, London",61065.0,Away,Manchester City,Tottenham Hotspur,2,0,W,0,0,0,0,2.0,2.0,43.0,1.0,,,37.0,12.0,2.0,5.0,6.0,6.0,2.0,1.0,149.0,2.0,7.0,2.0,3.0,5.0,,,5.0,124.0,99.0,45.0,8.0,5.0,3.0,,,,1.0,,10.0,12.0,,12.0,3.0,7.0,47.0,232.0,1.0,0.0,114.0,11.0,,,,2.0,,55.0,76.0,4.0,105.0,1.0,7.0,28.0,2.0,1.0,1.0,99.0,2.0,8.0,155.0,722.0,4.0,3.0,23.0,,11.0,461.0,15.0,1.0,8.0,1.0,,3.0,2.0,1.0,16.0,514.0,47.0,,,1.0,97299,3.0,246.0,2.0,4.0,,1.0,262.0,7.0,,2.0,22.0,3.0,47.0,,,2.0,4.0,1.0,8.0,2.0,3.0,1.0,55.0,476.0,14.0,8.0,,12.0,1.0,56.0,,1.0,0.0,,7.0,5.0,2.0,0.0,2.0,1.0,1.0,,46.6,15.0,8.0,2.0,4.0,1.0,39.0,4.0,,533.0,11.0,14.0,35.0,2.0,12.0,,1.0,281.0,3.0,6.0,4.0,92.0,14.0,2.0,2.0,8.0,20.0,5.0,3.0,16.0,2.0,22.0,4.0,,1.0,3.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2367884,2024-04-28 16:30:00,"The City Ground, Nottingham",29677.0,Away,Manchester City,Nottingham Forest,2,0,W,1,0,0,0,1.0,1.0,59.0,1.0,1.0,1.0,16.0,12.0,5.0,4.0,6.0,2.0,,2.0,172.0,2.0,4.0,2.0,3.0,9.0,,1.0,5.0,222.0,113.0,40.0,11.0,7.0,2.0,1.0,,3.0,1.0,,10.0,13.0,1.0,12.0,5.0,11.0,24.0,372.0,1.0,0.0,180.0,6.0,1.0,,2.0,1.0,1.0,75.0,68.0,7.0,124.0,1.0,6.0,18.0,5.0,,1.0,113.0,1.0,9.0,215.0,886.0,7.0,1.0,18.0,,6.0,645.0,27.0,3.0,5.0,2.0,3.0,0.0,3.0,2.0,16.0,711.0,57.0,1.0,,,97299,2.0,295.0,,5.0,1.0,,321.0,2.0,1.0,,7.0,9.0,41.0,,1.0,1.0,3.0,1.0,10.0,5.0,9.0,1.0,32.0,665.0,8.0,8.0,,12.0,2.0,63.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,66.7,12.0,5.0,,3.0,4.0,50.0,5.0,2.0,733.0,6.0,10.0,17.0,2.0,23.0,2.0,1.0,422.0,6.0,9.0,9.0,153.0,21.0,,,5.0,20.0,8.0,5.0,15.0,,7.0,5.0,1.0,3.0,2.0,,2.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
36,2367896,2024-05-04 17:30:00,"Etihad Stadium, Manchester",52439.0,Home,Manchester City,Wolverhampton Wanderers,5,1,W,3,0,0,0,1.0,3.0,47.0,3.0,3.0,,17.0,4.0,3.0,9.0,17.0,,4.0,4.0,155.0,6.0,13.0,5.0,7.0,14.0,1.0,1.0,12.0,174.0,108.0,52.0,20.0,2.0,6.0,,2.0,1.0,3.0,3.0,21.0,6.0,1.0,4.0,4.0,16.0,19.0,329.0,,0.0,176.0,4.0,,,2.0,3.0,2.0,63.0,70.0,10.0,117.0,2.0,17.0,21.0,3.0,1.0,2.0,108.0,4.0,2.0,170.0,788.0,11.0,,57.0,2.0,5.0,538.0,11.0,1.0,2.0,3.0,1.0,0.0,1.0,4.0,14.0,596.0,58.0,1.0,,,97299,12.0,235.0,3.0,13.0,,,251.0,2.0,,1.0,8.0,2.0,36.0,,1.0,2.0,4.0,3.0,11.0,,2.0,2.0,26.0,558.0,17.0,11.0,,5.0,3.0,59.0,,,0.0,1.0,,,5.0,0.0,5.0,2.0,,3.0,57.9,13.0,9.0,1.0,4.0,3.0,45.0,6.0,2.0,616.0,5.0,15.0,16.0,5.0,36.0,1.0,3.0,386.0,8.0,16.0,9.0,150.0,21.0,4.0,,2.0,13.0,15.0,5.0,18.0,,8.0,6.0,,,,,,2.0,,,,1.0,,,2.0,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
37,2367901,2024-05-11 12:30:00,"Craven Cottage, London",24418.0,Away,Manchester City,Fulham,4,0,W,1,0,0,1,2.0,3.0,46.0,2.0,3.0,1.0,30.0,10.0,4.0,5.0,12.0,1.0,,3.0,164.0,4.0,4.0,4.0,1.0,15.0,,,9.0,221.0,105.0,27.0,16.0,5.0,2.0,3.0,2.0,,2.0,,9.0,5.0,3.0,10.0,3.0,11.0,35.0,365.0,1.0,0.0,188.0,6.0,3.0,1.0,2.0,,,91.0,63.0,11.0,140.0,,6.0,23.0,4.0,1.0,1.0,105.0,4.0,1.0,244.0,921.0,12.0,,38.0,,7.0,691.0,17.0,1.0,6.0,3.0,,0.0,,4.0,10.0,753.0,57.0,1.0,,,97299,6.0,346.0,2.0,5.0,,,362.0,3.0,4.0,1.0,12.0,3.0,40.0,1.0,2.0,,7.0,2.0,13.0,,3.0,2.0,44.0,707.0,8.0,7.0,,6.0,2.0,66.0,3.0,,0.0,,1.0,1.0,4.0,0.0,2.0,2.0,,,64.2,8.0,6.0,1.0,7.0,3.0,56.0,7.0,,769.0,7.0,12.0,24.0,4.0,25.0,2.0,3.0,416.0,11.0,11.0,8.0,156.0,16.0,,,6.0,7.0,13.0,5.0,15.0,,12.0,7.0,,,1.0,1.0,2.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,2.0,,2.0,1.0,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,
38,2367916,2024-05-19 16:00:00,"Etihad Stadium, Manchester",55097.0,Home,Manchester City,West Ham United,3,1,W,2,1,0,0,3.0,,42.0,,6.0,,20.0,4.0,10.0,14.0,17.0,1.0,2.0,6.0,148.0,4.0,8.0,3.0,5.0,20.0,1.0,3.0,12.0,238.0,86.0,45.0,28.0,6.0,4.0,,4.0,1.0,3.0,2.0,14.0,5.0,5.0,4.0,10.0,3.0,26.0,521.0,,0.0,340.0,3.0,,3.0,1.0,1.0,,93.0,133.0,15.0,132.0,4.0,4.0,9.0,11.0,1.0,3.0,86.0,1.0,3.0,264.0,930.0,14.0,1.0,54.0,,6.0,719.0,10.0,2.0,,3.0,1.0,0.0,,5.0,15.0,769.0,67.0,,1.0,,97299,5.0,213.0,1.0,2.0,,1.0,220.0,3.0,1.0,2.0,6.0,,30.0,1.0,2.0,3.0,1.0,3.0,6.0,,,1.0,34.0,730.0,10.0,7.0,3.0,12.0,6.0,50.0,,1.0,0.0,,2.0,1.0,1.0,0.0,2.0,2.0,,2.0,71.4,14.0,11.0,2.0,1.0,7.0,36.0,11.0,,782.0,6.0,7.0,19.0,9.0,34.0,2.0,6.0,576.0,11.0,2.0,8.0,309.0,19.0,,1.0,,19.0,19.0,2.0,15.0,1.0,6.0,11.0,,1.0,1.0,1.0,5.0,2.0,,2.0,,3.0,,,,2.0,,,1.0,1.0,1.0,2.0,,1.0,,,1.0,,,,,,,,1.0,,,,3.0,3.0,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,
