gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attIboxBlocked,fouledFinalThird,accuratePullBack,attFreekickTotal,attOboxBlocked,attIboxTarget,attObxLeft,attBxRight,attOboxTarget,cleanSheet,attSvLowLeft,freekickCross,goodHighClaim,freekickTotal,accurateFreekickCross,bigChanceMissed,sixYardBlock,attSetpiece,totalPullBack,defenderGoals,accurateKeeperThrows,attAssistSetplay,attGoalHighLeft,keeperThrows,blockedScoringAtt,totalHighClaim,penaltySave,attRfTarget,attSvLowCentre,penaltyConceded,attSvLowRight,punches,penaltyFaced,goalsConcededObox,attGoalLowCentre,shotFastbreak,penaltyWon,totalFastbreak,attPenGoal,attFastbreak,ptsGainedLosingPos,attMissHighLeft,attBxLeft,attPenTarget,attHdTarget,attObxRight,attSvHighCentre,attMissHighRight,midfielderGoals,goalFastbreak,attOneOnOne,attSvHighLeft,attGoalHighRight,attOboxGoal,attObxdLeft,attLfGoal,hitWoodwork,attCmissHighLeft,foulThrowIn,attGoalLowRight,clearanceOffLine,postScoringAtt,attIboxPost,attPostLeft,errorLeadToShot,attObpGoal,attFreekickTarget,secondYellow,attFreekickMiss,ownGoals,attIboxOwnGoal,attHdPost,attPostHigh,attCmissHighRight,errorLeadToGoal,attObxdRight,attSvHighRight,attPostRight,attFreekickGoal,penGoalsConceded,attLgCentre
27,919156,2018-02-10 17:30:00,"Etihad Stadium, Manchester",54416,Away,Leicester City,Manchester City,1,5,L,1,1,0,0,,77.0,1.0,2.0,,,21.0,29.0,,,2.0,5.0,121.0,1.0,11.0,1.0,1.0,,2.0,65.0,142.0,56.0,2.0,11.0,,,,8.0,11.0,29.0,2.0,6.0,40.0,67.0,0.0,71.0,12.0,3.0,46.0,25.0,1.0,37.0,2.0,,6.0,21.0,,,4.0,,142.0,,,14.0,65.0,461.0,1.0,12.0,7.0,14.0,174.0,45.0,2.0,17.0,,,3.0,3.0,,11.0,254.0,40.0,1.0,95658,2.0,127.0,2.0,158.0,10.0,1.0,21.0,10.0,52.0,,2.0,2.0,1.0,17.0,5.0,3.0,,63.0,193.0,10.0,18.0,20.0,60.0,,0.0,4.0,8.0,4.0,1.0,5.0,3.0,0.0,1.0,,,1.0,29.5,6.0,,5.0,21.0,2.0,288.0,14.0,8.0,20.0,,12.0,,,138.0,1.0,5.0,17.0,30.0,13.0,1.0,2.0,17.0,18.0,,4.0,2.0,3.0,15.0,,2.0,12.0,2.0,,,,3.0,,,,1.0,,,,,,,,,,,,,1.0,,7.0,,,7.0,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,
28,919168,2018-02-24 12:30:00,"King Power Stadium, Leicester",31769,Home,Leicester City,Stoke City,1,1,D,0,1,0,0,,80.0,,1.0,,,40.0,10.0,10.0,11.0,9.0,1.0,202.0,1.0,11.0,1.0,10.0,,9.0,108.0,205.0,75.0,19.0,35.0,1.0,,2.0,38.0,13.0,10.0,8.0,11.0,51.0,199.0,0.0,155.0,10.0,1.0,93.0,79.0,5.0,64.0,,2.0,30.0,26.0,10.0,,7.0,4.0,205.0,,1.0,,109.0,713.0,10.0,13.0,26.0,8.0,334.0,35.0,5.0,4.0,,1.0,1.0,2.0,5.0,25.0,448.0,55.0,,95658,5.0,160.0,20.0,196.0,6.0,,26.0,8.0,72.0,,2.0,,,18.0,6.0,5.0,1.0,89.0,358.0,16.0,8.0,32.0,85.0,1.0,0.0,2.0,1.0,,1.0,1.0,4.0,0.0,1.0,,,2.0,66.2,22.0,,3.0,38.0,13.0,483.0,8.0,11.0,23.0,8.0,52.0,,3.0,325.0,6.0,10.0,30.0,107.0,32.0,,2.0,4.0,19.0,,,10.0,2.0,19.0,,2.0,9.0,13.0,,5.0,,2.0,,,2.0,5.0,,,4.0,,4.0,3.0,,,,1.0,,1.0,,,3.0,,,4.0,2.0,,,3.0,3.0,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,2.0,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,1.0,1.0,,,
29,919176,2018-03-03 15:00:00,"King Power Stadium, Leicester",31384,Home,Leicester City,Bournemouth,1,1,D,0,1,0,0,,69.0,1.0,1.0,,,31.0,13.0,6.0,7.0,17.0,2.0,186.0,11.0,9.0,1.0,14.0,,4.0,87.0,215.0,67.0,23.0,35.0,,,2.0,36.0,14.0,13.0,13.0,14.0,52.0,178.0,0.0,168.0,11.0,1.0,73.0,56.0,8.0,62.0,,4.0,23.0,31.0,6.0,,7.0,2.0,215.0,2.0,1.0,5.0,103.0,658.0,11.0,11.0,36.0,15.0,283.0,32.0,5.0,5.0,,,2.0,1.0,6.0,26.0,415.0,72.0,,95658,11.0,128.0,14.0,163.0,6.0,,31.0,11.0,66.0,,3.0,3.0,,19.0,3.0,7.0,1.0,75.0,295.0,6.0,9.0,29.0,77.0,,0.0,3.0,1.0,1.0,,1.0,2.0,0.0,6.0,,3.0,4.0,55.4,16.0,3.0,4.0,32.0,13.0,438.0,15.0,4.0,24.0,9.0,55.0,5.0,7.0,311.0,7.0,12.0,31.0,103.0,23.0,1.0,3.0,5.0,21.0,,1.0,12.0,3.0,17.0,,3.0,14.0,13.0,1.0,2.0,8.0,2.0,,1.0,2.0,2.0,,1.0,1.0,,,2.0,,1.0,,3.0,3.0,3.0,,,5.0,3.0,,5.0,10.0,,,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,1.0,,2.0,1.0,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,
30,919191,2018-03-10 15:00:00,"The Hawthorns, West Bromwich",23558,Away,Leicester City,West Bromwich Albion,4,1,W,1,1,0,0,3.0,67.0,,1.0,1.0,1.0,35.0,24.0,5.0,5.0,9.0,1.0,179.0,6.0,12.0,4.0,13.0,,6.0,108.0,159.0,64.0,14.0,18.0,1.0,3.0,4.0,19.0,8.0,24.0,5.0,19.0,48.0,241.0,0.0,166.0,7.0,1.0,108.0,65.0,9.0,66.0,,,14.0,19.0,5.0,1.0,4.0,3.0,159.0,4.0,,2.0,121.0,663.0,8.0,10.0,22.0,11.0,353.0,34.0,3.0,15.0,4.0,1.0,3.0,1.0,4.0,32.0,454.0,79.0,3.0,95658,6.0,128.0,10.0,158.0,1.0,,19.0,8.0,50.0,,6.0,2.0,3.0,11.0,4.0,1.0,,82.0,363.0,5.0,8.0,23.0,79.0,1.0,0.0,1.0,7.0,,4.0,1.0,2.0,0.0,3.0,4.0,,4.0,56.2,28.0,1.0,3.0,37.0,6.0,474.0,11.0,7.0,31.0,5.0,24.0,3.0,2.0,335.0,5.0,18.0,30.0,114.0,25.0,1.0,2.0,15.0,17.0,2.0,1.0,12.0,3.0,22.0,,2.0,4.0,6.0,,1.0,1.0,,1.0,,2.0,2.0,,,,,,,1.0,,,1.0,,,2.0,,3.0,1.0,,3.0,3.0,2.0,,,1.0,,,,,,1.0,,,,,,3.0,1.0,1.0,,1.0,,1.0,,2.0,,1.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
31,919196,2018-05-09 19:45:00,"King Power Stadium, Leicester",32095,Home,Leicester City,Arsenal,3,1,W,1,0,0,1,2.0,71.0,1.0,,1.0,,27.0,20.0,9.0,13.0,9.0,6.0,118.0,3.0,10.0,3.0,15.0,,10.0,72.0,126.0,52.0,19.0,12.0,1.0,1.0,,22.0,13.0,20.0,5.0,8.0,25.0,163.0,0.0,124.0,7.0,5.0,63.0,28.0,10.0,41.0,1.0,2.0,18.0,22.0,10.0,,6.0,5.0,126.0,3.0,,12.0,79.0,525.0,12.0,5.0,28.0,18.0,227.0,30.0,8.0,10.0,2.0,1.0,2.0,3.0,5.0,18.0,289.0,52.0,,95658,4.0,81.0,11.0,93.0,6.0,1.0,22.0,5.0,50.0,,5.0,6.0,1.0,8.0,2.0,3.0,2.0,44.0,241.0,12.0,14.0,17.0,61.0,,0.0,3.0,6.0,6.0,3.0,1.0,2.0,0.0,2.0,2.0,,,40.4,15.0,,8.0,35.0,6.0,310.0,18.0,13.0,17.0,6.0,33.0,2.0,1.0,239.0,6.0,6.0,14.0,91.0,19.0,2.0,1.0,10.0,16.0,,1.0,11.0,3.0,15.0,,1.0,13.0,6.0,1.0,5.0,1.0,4.0,,2.0,2.0,4.0,,,3.0,,1.0,1.0,,2.0,,2.0,,1.0,,,8.0,1.0,1.0,8.0,3.0,,,2.0,1.0,,2.0,1.0,,,,2.0,1.0,2.0,1.0,2.0,,1.0,5.0,,,,1.0,1.0,1.0,,,2.0,,,,2.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,1.0
32,919204,2018-03-31 15:00:00,"Amex Stadium, Falmer",30629,Away,Leicester City,Brighton and Hove Albion,2,0,W,0,0,1,0,1.0,61.0,1.0,2.0,1.0,,22.0,29.0,1.0,3.0,5.0,3.0,164.0,2.0,7.0,2.0,5.0,,4.0,112.0,147.0,53.0,6.0,15.0,,1.0,,14.0,10.0,29.0,1.0,7.0,38.0,197.0,0.0,140.0,13.0,2.0,63.0,51.0,4.0,47.0,,1.0,13.0,18.0,1.0,,1.0,1.0,147.0,1.0,1.0,9.0,125.0,620.0,3.0,11.0,19.0,11.0,323.0,29.0,4.0,20.0,2.0,,4.0,5.0,1.0,18.0,417.0,60.0,,95658,3.0,145.0,11.0,168.0,10.0,,18.0,14.0,51.0,,1.0,1.0,1.0,12.0,6.0,3.0,,66.0,340.0,11.0,12.0,23.0,71.0,,0.0,1.0,6.0,1.0,2.0,,2.0,1.0,2.0,2.0,,2.0,53.6,16.0,,6.0,30.0,1.0,448.0,11.0,6.0,18.0,2.0,29.0,,1.0,294.0,1.0,6.0,21.0,88.0,23.0,1.0,6.0,20.0,14.0,1.0,,3.0,3.0,12.0,,6.0,13.0,1.0,,1.0,,3.0,,,,2.0,,1.0,,1.0,,1.0,,,,,,2.0,1.0,,2.0,,,2.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,,2.0,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,
33,919218,2018-04-07 15:00:00,"King Power Stadium, Leicester",32066,Home,Leicester City,Newcastle United,1,2,L,0,1,0,0,1.0,64.0,1.0,,,,47.0,14.0,2.0,3.0,6.0,2.0,170.0,7.0,10.0,1.0,8.0,,1.0,134.0,167.0,63.0,8.0,24.0,1.0,1.0,1.0,33.0,7.0,14.0,7.0,8.0,37.0,230.0,0.0,161.0,7.0,1.0,106.0,77.0,3.0,76.0,1.0,4.0,26.0,20.0,2.0,,10.0,1.0,167.0,1.0,1.0,2.0,138.0,719.0,5.0,8.0,22.0,10.0,399.0,19.0,6.0,11.0,1.0,2.0,1.0,1.0,5.0,24.0,493.0,80.0,,95658,5.0,190.0,14.0,216.0,3.0,,20.0,6.0,48.0,,2.0,3.0,1.0,17.0,6.0,1.0,,86.0,413.0,14.0,4.0,25.0,77.0,,0.0,3.0,5.0,2.0,1.0,2.0,3.0,0.0,4.0,1.0,1.0,3.0,66.3,24.0,3.0,4.0,47.0,7.0,518.0,10.0,7.0,20.0,5.0,38.0,3.0,4.0,335.0,1.0,8.0,31.0,106.0,31.0,1.0,1.0,11.0,9.0,,,5.0,3.0,16.0,,1.0,11.0,7.0,,,1.0,2.0,,,1.0,,,,,,,2.0,,,,,,,,,6.0,2.0,,6.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
34,919223,2018-04-14 15:00:00,"Turf Moor, Burnley",21727,Away,Leicester City,Burnley,1,2,L,0,2,0,0,1.0,64.0,,,,,29.0,18.0,6.0,5.0,9.0,1.0,177.0,9.0,9.0,1.0,10.0,1.0,6.0,85.0,179.0,56.0,15.0,28.0,1.0,1.0,,34.0,6.0,18.0,6.0,4.0,38.0,175.0,0.0,148.0,10.0,1.0,78.0,50.0,7.0,55.0,1.0,3.0,29.0,17.0,6.0,1.0,14.0,2.0,179.0,4.0,,5.0,132.0,635.0,8.0,13.0,28.0,8.0,314.0,28.0,6.0,12.0,1.0,1.0,1.0,3.0,3.0,31.0,426.0,68.0,2.0,95658,8.0,159.0,13.0,199.0,4.0,1.0,17.0,7.0,58.0,1.0,2.0,1.0,1.0,11.0,3.0,2.0,1.0,84.0,325.0,9.0,8.0,36.0,77.0,,0.0,,4.0,1.0,1.0,2.0,6.0,0.0,7.0,1.0,,4.0,61.3,27.0,2.0,2.0,37.0,8.0,449.0,8.0,7.0,23.0,4.0,40.0,3.0,2.0,284.0,6.0,4.0,27.0,89.0,27.0,1.0,1.0,12.0,11.0,,2.0,11.0,3.0,16.0,,1.0,5.0,8.0,1.0,2.0,1.0,2.0,,1.0,4.0,5.0,,,,,1.0,2.0,,1.0,,3.0,,,,,1.0,1.0,,1.0,5.0,,,1.0,2.0,,,,,,,2.0,,3.0,,2.0,,,1.0,,2.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
35,919238,2018-04-19 19:45:00,"King Power Stadium, Leicester",31160,Home,Leicester City,Southampton,0,0,D,0,0,0,0,,54.0,,1.0,,,40.0,29.0,5.0,6.0,5.0,2.0,139.0,2.0,16.0,,9.0,,3.0,120.0,157.0,69.0,11.0,13.0,1.0,,2.0,28.0,12.0,29.0,10.0,10.0,36.0,223.0,0.0,136.0,10.0,1.0,75.0,58.0,7.0,60.0,1.0,2.0,18.0,26.0,6.0,,5.0,1.0,157.0,,,4.0,133.0,678.0,8.0,6.0,17.0,14.0,344.0,22.0,3.0,17.0,,1.0,0.0,,2.0,25.0,430.0,56.0,1.0,95658,4.0,139.0,13.0,163.0,6.0,,26.0,6.0,54.0,,3.0,3.0,,13.0,2.0,3.0,,72.0,360.0,10.0,14.0,21.0,63.0,2.0,0.0,1.0,3.0,1.0,,,2.0,0.0,1.0,,,1.0,54.4,20.0,1.0,1.0,37.0,11.0,452.0,14.0,10.0,20.0,4.0,32.0,1.0,3.0,317.0,4.0,9.0,26.0,93.0,24.0,,2.0,17.0,17.0,,,10.0,3.0,23.0,,2.0,13.0,11.0,,1.0,1.0,1.0,,,3.0,1.0,,,2.0,1.0,,,,,,,,,,,5.0,1.0,,5.0,4.0,,,2.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
36,919244,2018-04-28 15:00:00,"Selhurst Park, London",25750,Away,Leicester City,Crystal Palace,0,5,L,0,2,1,0,,49.0,,,,,38.0,19.0,2.0,2.0,3.0,3.0,136.0,4.0,14.0,,4.0,,1.0,96.0,122.0,57.0,6.0,8.0,1.0,,,24.0,15.0,19.0,2.0,7.0,28.0,147.0,0.0,112.0,9.0,1.0,70.0,56.0,3.0,63.0,2.0,,22.0,22.0,3.0,,5.0,1.0,122.0,1.0,,13.0,98.0,577.0,3.0,3.0,15.0,12.0,302.0,25.0,1.0,10.0,,1.0,1.0,3.0,1.0,22.0,373.0,52.0,1.0,95658,2.0,172.0,13.0,191.0,7.0,,22.0,6.0,42.0,,1.0,,,11.0,2.0,2.0,1.0,65.0,315.0,11.0,13.0,13.0,70.0,,0.0,1.0,8.0,4.0,,5.0,1.0,1.0,3.0,,2.0,1.0,49.5,22.0,1.0,2.0,42.0,2.0,393.0,12.0,3.0,15.0,2.0,27.0,1.0,1.0,226.0,3.0,6.0,11.0,73.0,16.0,,,10.0,21.0,,4.0,5.0,3.0,23.0,,,9.0,2.0,,,1.0,6.0,,,2.0,1.0,,1.0,,,1.0,4.0,,,2.0,1.0,,1.0,,,4.0,1.0,,4.0,3.0,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,1.0
37,919258,2018-05-05 15:00:00,"King Power Stadium, Leicester",32013,Home,Leicester City,West Ham United,0,2,L,0,1,0,0,,63.0,,,,,35.0,26.0,7.0,4.0,6.0,1.0,163.0,3.0,8.0,,9.0,1.0,2.0,102.0,145.0,56.0,13.0,22.0,,,2.0,27.0,14.0,26.0,6.0,4.0,30.0,199.0,0.0,117.0,8.0,,89.0,37.0,6.0,46.0,,1.0,21.0,15.0,7.0,,6.0,3.0,145.0,,1.0,11.0,106.0,620.0,7.0,7.0,12.0,10.0,309.0,35.0,6.0,11.0,,,1.0,6.0,3.0,21.0,392.0,56.0,,95658,3.0,132.0,14.0,155.0,4.0,,15.0,8.0,61.0,,1.0,2.0,,5.0,2.0,5.0,1.0,66.0,328.0,8.0,12.0,18.0,71.0,,0.0,,3.0,1.0,,2.0,2.0,0.0,2.0,,1.0,2.0,54.0,16.0,1.0,1.0,43.0,8.0,417.0,10.0,13.0,14.0,4.0,35.0,1.0,1.0,289.0,7.0,4.0,17.0,77.0,18.0,,,11.0,23.0,,1.0,9.0,3.0,15.0,,,8.0,8.0,1.0,,4.0,3.0,,1.0,3.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,6.0,2.0,,6.0,7.0,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
38,919271,2018-05-13 15:00:00,"Wembley Stadium, London",77841,Away,Leicester City,Tottenham Hotspur,4,5,L,2,1,0,0,,61.0,1.0,1.0,1.0,1.0,30.0,19.0,3.0,11.0,14.0,2.0,123.0,4.0,9.0,4.0,12.0,2.0,9.0,51.0,132.0,56.0,17.0,10.0,2.0,1.0,2.0,9.0,13.0,19.0,3.0,1.0,34.0,118.0,0.0,98.0,13.0,,61.0,22.0,6.0,40.0,1.0,3.0,6.0,12.0,3.0,,,1.0,132.0,2.0,,9.0,51.0,453.0,8.0,11.0,34.0,16.0,171.0,25.0,8.0,9.0,2.0,2.0,2.0,3.0,6.0,17.0,236.0,58.0,1.0,95658,8.0,79.0,5.0,98.0,9.0,,12.0,9.0,53.0,,2.0,4.0,3.0,18.0,6.0,5.0,,61.0,193.0,9.0,10.0,22.0,56.0,1.0,0.0,5.0,4.0,1.0,3.0,5.0,6.0,0.0,1.0,2.0,1.0,3.0,36.0,9.0,1.0,1.0,28.0,4.0,265.0,16.0,14.0,20.0,7.0,24.0,3.0,6.0,176.0,3.0,1.0,15.0,58.0,28.0,2.0,,9.0,23.0,1.0,5.0,10.0,3.0,15.0,3.0,,6.0,4.0,,3.0,,2.0,,,1.0,5.0,,1.0,,,,1.0,,,1.0,2.0,,2.0,,,4.0,2.0,1.0,4.0,1.0,,,1.0,5.0,,,,,,,,,,,,,1.0,3.0,,1.0,,,1.0,2.0,,,,1.0,1.0,,3.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,
