gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,savedObox,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,attOboxTarget,totalFastbreak,totalKeeperSweeper,totalOffside,attFastbreak,punches,shieldBallOop,possWonAtt3rd,attGoalLowLeft,attCmissRight,attBxRight,goalAssistOpenplay,attSvHighLeft,attSvLowLeft,goalAssist,attCmissLeft,goalAssistIntentional,attHdGoal,attLfGoal,cleanSheet,goodHighClaim,accurateFreekickCross,attSetpiece,attAssistSetplay,totalHighClaim,goalFastbreak,attGoalHighRight,penaltyWon,midfielderGoals,attGoalHighCentre,sixYardBlock,attPenGoal,accuratePullBack,totalPullBack,foulThrowIn,goalsConcededObox,attGoalLowCentre,attHdTarget,defenderGoals,hitWoodwork,postScoringAtt,attIboxPost,attSvHighRight,attPostLeft,attMissHighRight,attMissHighLeft,ownGoals,attIboxOwnGoal,attOboxGoal,attHdPost,attCmissHigh,attPostHigh,clearanceOffLine,attSvHighCentre,attFreekickMiss,attPostRight,errorLeadToGoal,attFreekickPost,attOboxPost,secondYellow,penaltyConceded,attCmissHighLeft,attObxRight,penaltyFaced,penGoalsConceded,attFreekickTarget,goalAssistSetplay,goalAssistDeadball,attPenTarget,attCmissHighRight,attGoalHighLeft,attObpGoal
28,755579,2015-03-04 19:45:00,"Etihad Stadium, Manchester",45000,Away,Leicester City,Manchester City,0,2,L,0,1,0,0,,,65.0,,1.0,17.0,32.0,4.0,1.0,7.0,1.0,170.0,1.0,8.0,,3.0,4.0,2.0,48.0,146.0,55.0,1.0,6.0,2.0,28.0,1.0,1.0,8.0,11.0,32.0,3.0,12.0,31.0,,118.0,0.0,99.0,3.0,5.0,1.0,42.0,37.0,3.0,52.0,9.0,,5.0,19.0,1.0,,1.0,146.0,,2.0,16.0,41.0,513.0,4.0,12.0,30.0,202.0,38.0,6.0,11.0,1.0,6.0,1.0,19.0,282.0,63.0,1.0,1.0,86417,,95.0,,4.0,120.0,1.0,,19.0,10.0,63.0,3.0,2.0,,11.0,6.0,3.0,,63.0,212.0,9.0,13.0,27.0,69.0,1.0,0.0,1.0,10.0,4.0,,2.0,5.0,0.0,,1.0,30.5,13.0,,1.0,2.0,3.0,26.0,3.0,311.0,30.0,10.0,15.0,1.0,11.0,1.0,,199.0,4.0,11.0,20.0,57.0,18.0,,2.0,11.0,18.0,2.0,4.0,3.0,17.0,2.0,12.0,3.0,,3.0,,2.0,1.0,1.0,1.0,2.0,3.0,,3.0,,3.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,755588,2015-03-14 15:00:00,"King Power Stadium, Leicester",31456,Home,Leicester City,Hull City,0,0,D,0,0,0,1,2.0,,53.0,,2.0,24.0,33.0,7.0,6.0,5.0,,173.0,4.0,10.0,,4.0,11.0,3.0,86.0,169.0,75.0,1.0,14.0,2.0,34.0,2.0,1.0,27.0,20.0,33.0,7.0,15.0,34.0,,180.0,0.0,159.0,10.0,3.0,3.0,40.0,60.0,5.0,51.0,1.0,1.0,20.0,17.0,1.0,4.0,4.0,169.0,,,8.0,85.0,611.0,8.0,15.0,12.0,271.0,21.0,8.0,22.0,0.0,2.0,6.0,28.0,368.0,79.0,,,86417,3.0,104.0,,13.0,123.0,3.0,,17.0,11.0,63.0,1.0,5.0,,7.0,4.0,4.0,1.0,81.0,280.0,14.0,5.0,34.0,87.0,,0.0,1.0,5.0,4.0,,,8.0,0.0,2.0,2.0,51.3,22.0,1.0,1.0,5.0,4.0,30.0,7.0,395.0,12.0,8.0,11.0,7.0,25.0,2.0,3.0,299.0,5.0,15.0,30.0,98.0,17.0,,4.0,22.0,22.0,,7.0,3.0,19.0,4.0,11.0,7.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,,1.0,1.0,1.0,4.0,,1.0,2.0,,,,,1.0,,,,1.0,1.0,,2.0,3.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,3.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,
30,755601,2015-03-21 15:00:00,"White Hart Lane, London",35950,Away,Leicester City,Tottenham Hotspur,3,4,L,1,2,0,0,,2.0,58.0,,3.0,25.0,32.0,4.0,2.0,1.0,1.0,134.0,7.0,10.0,3.0,3.0,13.0,5.0,60.0,171.0,67.0,,14.0,,23.0,1.0,2.0,27.0,24.0,32.0,4.0,8.0,37.0,,122.0,0.0,138.0,9.0,,4.0,45.0,45.0,7.0,43.0,2.0,2.0,23.0,25.0,,8.0,2.0,171.0,5.0,,10.0,47.0,536.0,7.0,11.0,28.0,166.0,22.0,7.0,9.0,1.0,1.0,6.0,37.0,264.0,89.0,,,86417,5.0,60.0,3.0,11.0,77.0,4.0,1.0,25.0,6.0,65.0,,1.0,2.0,7.0,1.0,2.0,2.0,75.0,175.0,7.0,9.0,34.0,80.0,,0.0,1.0,5.0,1.0,2.0,4.0,1.0,0.0,5.0,5.0,34.2,30.0,3.0,,1.0,3.0,39.0,4.0,284.0,28.0,17.0,12.0,6.0,28.0,2.0,4.0,234.0,5.0,7.0,18.0,69.0,28.0,,6.0,9.0,32.0,4.0,9.0,3.0,17.0,6.0,10.0,4.0,,,2.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,,3.0,3.0,,2.0,2.0,,,3.0,,2.0,1.0,1.0,,,2.0,3.0,3.0,,1.0,,,2.0,,3.0,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,
31,755608,2015-04-04 15:00:00,"King Power Stadium, Leicester",31863,Home,Leicester City,West Ham United,2,1,W,1,1,0,0,1.0,1.0,74.0,1.0,1.0,30.0,36.0,6.0,6.0,6.0,3.0,185.0,9.0,7.0,2.0,3.0,18.0,7.0,66.0,179.0,61.0,,20.0,3.0,39.0,5.0,3.0,33.0,11.0,36.0,6.0,7.0,32.0,1.0,162.0,0.0,152.0,12.0,2.0,2.0,41.0,68.0,9.0,48.0,4.0,3.0,27.0,14.0,,8.0,2.0,179.0,4.0,,10.0,59.0,574.0,14.0,18.0,22.0,230.0,36.0,12.0,20.0,0.0,,9.0,18.0,337.0,77.0,2.0,,86417,10.0,88.0,4.0,17.0,112.0,6.0,1.0,14.0,9.0,73.0,2.0,3.0,2.0,9.0,4.0,3.0,2.0,73.0,241.0,9.0,9.0,40.0,95.0,1.0,0.0,1.0,6.0,4.0,1.0,1.0,7.0,0.0,7.0,5.0,49.6,9.0,4.0,1.0,3.0,4.0,44.0,7.0,358.0,22.0,11.0,19.0,9.0,23.0,2.0,7.0,279.0,8.0,7.0,32.0,90.0,25.0,,6.0,20.0,14.0,1.0,15.0,3.0,12.0,6.0,6.0,7.0,1.0,2.0,,,1.0,,,,3.0,,,,4.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,2.0,2.0,3.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,2.0,,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,
32,755621,2015-04-11 15:00:00,"The Hawthorns, West Bromwich",26768,Away,Leicester City,West Bromwich Albion,3,2,W,1,2,0,0,,2.0,67.0,1.0,1.0,29.0,26.0,3.0,6.0,3.0,,157.0,9.0,12.0,3.0,5.0,11.0,4.0,88.0,179.0,79.0,1.0,12.0,1.0,26.0,1.0,2.0,39.0,19.0,26.0,5.0,11.0,33.0,,151.0,0.0,137.0,14.0,,3.0,48.0,61.0,6.0,37.0,1.0,1.0,34.0,16.0,1.0,11.0,2.0,179.0,3.0,2.0,4.0,73.0,577.0,5.0,16.0,15.0,234.0,27.0,7.0,17.0,2.0,1.0,5.0,23.0,329.0,90.0,,,86417,6.0,105.0,1.0,20.0,131.0,4.0,,16.0,5.0,56.0,,3.0,1.0,11.0,4.0,3.0,2.0,79.0,247.0,15.0,3.0,34.0,86.0,,0.0,1.0,4.0,,3.0,2.0,11.0,0.0,7.0,3.0,54.1,14.0,1.0,2.0,3.0,2.0,35.0,6.0,355.0,15.0,8.0,11.0,6.0,23.0,2.0,4.0,263.0,2.0,10.0,31.0,74.0,29.0,1.0,1.0,17.0,23.0,2.0,6.0,3.0,20.0,1.0,7.0,6.0,,3.0,1.0,3.0,,,1.0,3.0,3.0,1.0,2.0,,1.0,2.0,,,1.0,,,3.0,1.0,2.0,1.0,2.0,,1.0,1.0,2.0,3.0,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,2.0,,,,,
33,755629,2015-04-18 15:00:00,"King Power Stadium, Leicester",31121,Home,Leicester City,Swansea City,2,0,W,1,0,0,0,,2.0,66.0,,1.0,26.0,18.0,6.0,6.0,6.0,,169.0,11.0,13.0,2.0,3.0,15.0,6.0,76.0,166.0,69.0,1.0,18.0,1.0,11.0,1.0,2.0,32.0,26.0,18.0,6.0,8.0,39.0,,169.0,0.0,162.0,6.0,2.0,1.0,69.0,61.0,5.0,49.0,2.0,3.0,26.0,12.0,1.0,7.0,2.0,166.0,3.0,,3.0,61.0,572.0,9.0,11.0,21.0,240.0,23.0,6.0,9.0,0.0,2.0,10.0,25.0,334.0,90.0,,,86417,10.0,89.0,2.0,18.0,102.0,3.0,2.0,12.0,9.0,44.0,,1.0,1.0,13.0,7.0,3.0,3.0,72.0,247.0,5.0,13.0,30.0,78.0,4.0,0.0,1.0,3.0,1.0,2.0,,8.0,0.0,6.0,5.0,41.1,17.0,5.0,,2.0,2.0,30.0,6.0,355.0,21.0,6.0,21.0,10.0,19.0,5.0,8.0,285.0,6.0,7.0,19.0,93.0,28.0,1.0,2.0,9.0,32.0,,10.0,3.0,21.0,2.0,6.0,6.0,4.0,5.0,2.0,,,3.0,3.0,,,2.0,,1.0,6.0,2.0,2.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,2.0,5.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,
34,755634,2015-04-25 15:00:00,"Turf Moor, Burnley",19582,Away,Leicester City,Burnley,1,0,W,0,0,0,0,2.0,1.0,65.0,1.0,,21.0,45.0,3.0,3.0,5.0,3.0,152.0,1.0,4.0,1.0,5.0,4.0,4.0,37.0,182.0,76.0,1.0,8.0,,54.0,2.0,2.0,20.0,16.0,45.0,4.0,2.0,32.0,,91.0,0.0,105.0,16.0,2.0,3.0,56.0,34.0,2.0,37.0,3.0,1.0,16.0,11.0,1.0,6.0,2.0,182.0,,1.0,11.0,47.0,486.0,3.0,18.0,21.0,140.0,29.0,10.0,26.0,0.0,6.0,2.0,26.0,242.0,76.0,,1.0,68582,2.0,57.0,,7.0,94.0,8.0,1.0,11.0,9.0,82.0,,1.0,1.0,12.0,1.0,2.0,1.0,83.0,147.0,16.0,7.0,47.0,83.0,1.0,0.0,1.0,6.0,4.0,1.0,,3.0,0.0,,1.0,40.1,13.0,1.0,2.0,1.0,,28.0,4.0,273.0,21.0,4.0,16.0,4.0,23.0,1.0,2.0,199.0,4.0,2.0,37.0,50.0,22.0,1.0,5.0,26.0,19.0,,4.0,3.0,9.0,5.0,5.0,4.0,,,1.0,,1.0,1.0,1.0,,2.0,1.0,,1.0,2.0,,,,,,1.0,,,,,,1.0,3.0,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,
35,755646,2015-05-02 12:45:00,"King Power Stadium, Leicester",31576,Home,Leicester City,Newcastle United,3,0,W,2,0,0,2,1.0,2.0,58.0,,3.0,37.0,29.0,3.0,4.0,3.0,2.0,151.0,12.0,9.0,3.0,10.0,12.0,7.0,52.0,153.0,89.0,,19.0,1.0,14.0,4.0,5.0,33.0,21.0,29.0,9.0,7.0,31.0,,150.0,0.0,125.0,10.0,2.0,4.0,51.0,60.0,7.0,43.0,1.0,1.0,24.0,19.0,,4.0,2.0,153.0,5.0,,5.0,55.0,538.0,7.0,25.0,18.0,198.0,28.0,10.0,17.0,1.0,1.0,5.0,21.0,276.0,65.0,1.0,,86417,7.0,74.0,4.0,16.0,101.0,5.0,1.0,19.0,13.0,52.0,1.0,4.0,,12.0,7.0,6.0,1.0,67.0,212.0,13.0,10.0,23.0,65.0,,0.0,4.0,7.0,1.0,3.0,,12.0,0.0,8.0,5.0,47.9,16.0,2.0,1.0,4.0,4.0,36.0,10.0,301.0,18.0,7.0,19.0,8.0,19.0,4.0,6.0,233.0,9.0,6.0,38.0,87.0,20.0,2.0,6.0,17.0,29.0,,9.0,3.0,21.0,6.0,5.0,10.0,,2.0,,,,,,,3.0,,,1.0,5.0,,,4.0,,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,,1.0,4.0,3.0,,,,1.0,,,,1.0,1.0,2.0,,,1.0,2.0,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,1.0,2.0,
36,755659,2015-05-09 15:00:00,"King Power Stadium, Leicester",31939,Home,Leicester City,Southampton,2,0,W,2,0,0,0,,1.0,65.0,1.0,1.0,20.0,36.0,1.0,5.0,3.0,1.0,135.0,3.0,9.0,2.0,1.0,8.0,3.0,40.0,171.0,60.0,,10.0,,23.0,1.0,,19.0,18.0,36.0,4.0,5.0,24.0,1.0,103.0,0.0,105.0,12.0,1.0,3.0,37.0,54.0,4.0,37.0,4.0,3.0,15.0,16.0,,4.0,,171.0,2.0,,4.0,43.0,487.0,3.0,13.0,28.0,140.0,38.0,6.0,20.0,1.0,4.0,4.0,28.0,233.0,85.0,1.0,,86417,4.0,48.0,1.0,8.0,66.0,6.0,,16.0,7.0,66.0,1.0,1.0,2.0,13.0,6.0,4.0,3.0,72.0,148.0,9.0,14.0,39.0,82.0,,0.0,3.0,8.0,,1.0,,5.0,0.0,1.0,3.0,30.8,14.0,3.0,2.0,1.0,1.0,24.0,4.0,255.0,28.0,11.0,10.0,6.0,15.0,2.0,6.0,208.0,2.0,2.0,21.0,48.0,18.0,2.0,3.0,20.0,21.0,,7.0,3.0,16.0,3.0,13.0,4.0,,3.0,,4.0,1.0,,,4.0,,,3.0,,2.0,,1.0,2.0,2.0,,,2.0,,1.0,,2.0,1.0,3.0,1.0,1.0,3.0,3.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
37,755668,2015-05-16 15:00:00,"Stadium of Light, Sunderland",46705,Away,Leicester City,Sunderland,0,0,D,0,0,0,0,,,72.0,,5.0,18.0,33.0,5.0,7.0,3.0,,164.0,7.0,8.0,,5.0,6.0,,55.0,184.0,64.0,2.0,11.0,2.0,34.0,,,31.0,14.0,33.0,9.0,7.0,35.0,,135.0,0.0,156.0,15.0,2.0,2.0,49.0,78.0,5.0,27.0,4.0,1.0,22.0,21.0,2.0,10.0,3.0,184.0,,,5.0,44.0,524.0,4.0,10.0,25.0,164.0,23.0,11.0,17.0,1.0,5.0,1.0,21.0,268.0,99.0,,,86417,4.0,44.0,,10.0,61.0,3.0,,21.0,4.0,77.0,,1.0,,11.0,8.0,,1.0,62.0,172.0,14.0,7.0,37.0,84.0,,0.0,1.0,8.0,2.0,,,4.0,0.0,4.0,1.0,49.4,15.0,1.0,,1.0,7.0,31.0,9.0,290.0,25.0,11.0,16.0,4.0,22.0,3.0,1.0,260.0,3.0,7.0,21.0,84.0,37.0,,3.0,17.0,21.0,,6.0,2.0,21.0,3.0,9.0,9.0,,1.0,1.0,,,,1.0,,,1.0,,,5.0,,1.0,1.0,,,,,,,,,1.0,2.0,,,2.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
38,755679,2015-05-24 15:00:00,"King Power Stadium, Leicester",31467,Home,Leicester City,Queens Park Rangers,5,1,W,2,0,0,0,1.0,2.0,66.0,2.0,,25.0,25.0,4.0,6.0,1.0,,162.0,10.0,13.0,5.0,2.0,16.0,7.0,64.0,161.0,64.0,,22.0,2.0,22.0,1.0,6.0,29.0,14.0,25.0,5.0,7.0,21.0,,128.0,0.0,110.0,7.0,,2.0,55.0,40.0,6.0,47.0,1.0,5.0,24.0,13.0,,5.0,1.0,161.0,,,5.0,77.0,565.0,12.0,7.0,25.0,239.0,32.0,9.0,16.0,0.0,7.0,10.0,20.0,329.0,77.0,,,86417,10.0,131.0,,17.0,156.0,3.0,3.0,13.0,9.0,52.0,,1.0,3.0,8.0,13.0,3.0,2.0,68.0,249.0,5.0,6.0,36.0,85.0,,0.0,5.0,6.0,,5.0,1.0,2.0,0.0,8.0,4.0,45.7,13.0,3.0,5.0,1.0,2.0,36.0,5.0,350.0,25.0,10.0,13.0,13.0,30.0,2.0,12.0,223.0,11.0,7.0,30.0,65.0,24.0,2.0,1.0,16.0,16.0,1.0,15.0,3.0,21.0,1.0,10.0,5.0,1.0,1.0,,1.0,1.0,1.0,,1.0,3.0,,2.0,1.0,2.0,2.0,3.0,3.0,,1.0,,2.0,2.0,1.0,,1.0,,1.0,,1.0,2.0,1.0,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0
