gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attObxRight,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attRfTarget,attCmissRight,attIboxTarget,postScoringAtt,attSvLowCentre,attOboxTarget,cleanSheet,totalFastbreak,attSvHighLeft,interceptionsInBox,attHdTarget,bigChanceMissed,attSetpiece,attCmissHigh,attAssistSetplay,attOboxPost,attSvHighCentre,attPostRight,attLfTarget,attGoalLowRight,shotFastbreak,attOneOnOne,attOboxGoal,attSvLowLeft,totalPullBack,attFastbreak,attSvLowRight,savedIbox,goalsConcededObox,attemptsIbox,ptsGainedLosingPos,freekickCross,attemptsObox,attGoalHighCentre,touchesInOppBox,accurateFreekickCross,sixYardBlock,ownGoals,attCorner,attIboxOwnGoal,attHdGoal,accurateKeeperSweeper,goalFastbreak,attIboxPost,totalKeeperSweeper,ptsDroppedWinningPos,accuratePullBack,attMissHighLeft,attCmissLeft,attCmissHighRight,attGoalHighRight,penaltyWon,attPenGoal,attGoalHighLeft,attFreekickGoal,punches,handBall,attSvHighRight,secondYellow,attFreekickTarget,attPostLeft,errorLeadToGoal,penaltyConceded,penaltyFaced,penGoalsConceded,clearanceOffLine,attPostHigh,attCmissHighLeft,foulThrowIn,attPenTarget
27,755565,2015-04-29 19:45:00,"King Power Stadium, Leicester",32021,Away,Chelsea,Leicester City,3,1,W,0,1,0,0,1.0,52.0,1.0,,,,,27.0,35.0,5.0,2.0,1.0,1.0,216.0,,8.0,14.0,3.0,2.0,10.0,4.0,141.0,174.0,59.0,,11.0,2.0,20.0,1.0,2.0,2.0,19.0,6.0,35.0,5.0,22.0,39.0,295.0,,0.0,232.0,1.0,1.0,1.0,,54.0,94.0,5.0,110.0,1.0,14.0,24.0,,4.0,2.0,174.0,,,4.0,142.0,836.0,7.0,14.0,,18.0,478.0,28.0,5.0,25.0,2.0,0.0,2.0,5.0,40.0,583.0,70.0,,,66733,3.0,209.0,9.0,244.0,,2.0,24.0,10.0,47.0,1.0,1.0,3.0,3.0,2.0,15.0,4.0,6.0,2.0,60.0,496.0,9.0,3.0,23.0,79.0,0.0,1.0,2.0,2.0,1.0,5.0,0.0,3.0,2.0,1.0,1.0,62.9,32.0,,,1.0,,3.0,2.0,46.0,6.0,,609.0,18.0,,16.0,19.0,5.0,22.0,5.0,3.0,384.0,8.0,20.0,29.0,177.0,19.0,1.0,2.0,25.0,8.0,1.0,9.0,3.0,21.0,2.0,8.0,6.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,1.0,,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,
28,755578,2015-03-04 19:45:00,"Boleyn Ground, London",34927,Away,Chelsea,West Ham United,1,0,W,1,0,0,0,1.0,54.0,,1.0,2.0,,,27.0,68.0,3.0,3.0,5.0,,203.0,1.0,4.0,12.0,1.0,3.0,12.0,3.0,75.0,159.0,65.0,,12.0,3.0,17.0,,1.0,,15.0,15.0,68.0,4.0,12.0,37.0,163.0,,0.0,136.0,10.0,3.0,1.0,5.0,40.0,57.0,7.0,76.0,2.0,11.0,16.0,,,,159.0,4.0,,12.0,75.0,649.0,9.0,9.0,1.0,4.0,296.0,20.0,6.0,39.0,1.0,4.0,5.0,4.0,20.0,398.0,58.0,1.0,2.0,66733,6.0,156.0,10.0,187.0,4.0,,16.0,13.0,50.0,1.0,,1.0,6.0,1.0,10.0,6.0,7.0,1.0,73.0,315.0,9.0,8.0,31.0,91.0,0.0,,5.0,1.0,,1.0,0.0,3.0,1.0,,2.0,55.1,12.0,,,2.0,1.0,6.0,5.0,47.0,4.0,5.0,429.0,4.0,,12.0,14.0,4.0,22.0,1.0,3.0,257.0,6.0,11.0,28.0,92.0,19.0,,1.0,39.0,16.0,,11.0,3.0,15.0,1.0,8.0,4.0,1.0,,2.0,1.0,2.0,,1.0,3.0,,,1.0,3.0,,,1.0,,,,,,2.0,,,,1.0,2.0,,4.0,,,,1.0,,,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
29,755585,2015-03-15 13:30:00,"Stamford Bridge, London",41624,Home,Chelsea,Southampton,1,1,D,1,1,0,0,1.0,72.0,,2.0,5.0,,,35.0,21.0,4.0,7.0,4.0,,240.0,1.0,8.0,15.0,1.0,3.0,14.0,7.0,123.0,190.0,69.0,1.0,22.0,2.0,17.0,3.0,1.0,3.0,23.0,13.0,21.0,9.0,19.0,40.0,319.0,,0.0,262.0,10.0,3.0,,2.0,102.0,70.0,9.0,96.0,2.0,14.0,27.0,1.0,3.0,,190.0,3.0,1.0,9.0,146.0,825.0,13.0,9.0,1.0,7.0,466.0,32.0,5.0,12.0,1.0,3.0,4.0,5.0,23.0,581.0,93.0,1.0,1.0,66733,10.0,171.0,10.0,193.0,5.0,,27.0,9.0,72.0,2.0,,2.0,8.0,1.0,9.0,3.0,4.0,2.0,64.0,482.0,11.0,14.0,18.0,83.0,0.0,3.0,2.0,1.0,1.0,3.0,0.0,6.0,1.0,,4.0,60.9,17.0,2.0,,5.0,2.0,8.0,7.0,54.0,9.0,2.0,605.0,7.0,,25.0,25.0,8.0,23.0,2.0,7.0,435.0,10.0,16.0,29.0,190.0,26.0,1.0,2.0,12.0,14.0,1.0,14.0,3.0,22.0,2.0,10.0,9.0,4.0,1.0,4.0,1.0,2.0,2.0,,,,1.0,1.0,5.0,1.0,,,,,,1.0,,,,,1.0,2.0,,3.0,2.0,,,,1.0,,,,1.0,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,
30,755594,2015-03-22 16:00:00,"The MKM Stadium, Hull",24598,Away,Chelsea,Hull City,3,2,W,2,2,0,0,1.0,49.0,,2.0,2.0,,,30.0,36.0,2.0,2.0,6.0,2.0,220.0,1.0,3.0,5.0,3.0,1.0,8.0,3.0,119.0,175.0,66.0,,8.0,1.0,30.0,1.0,3.0,1.0,15.0,14.0,36.0,5.0,15.0,32.0,284.0,,0.0,203.0,11.0,4.0,1.0,4.0,59.0,91.0,6.0,80.0,,10.0,12.0,,2.0,,175.0,1.0,,11.0,123.0,751.0,5.0,10.0,,5.0,406.0,15.0,3.0,27.0,3.0,2.0,2.0,2.0,30.0,505.0,88.0,,,66733,4.0,146.0,7.0,170.0,5.0,1.0,12.0,9.0,73.0,,,1.0,6.0,3.0,14.0,8.0,4.0,1.0,70.0,427.0,14.0,8.0,26.0,98.0,0.0,2.0,6.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,57.1,25.0,1.0,,2.0,1.0,6.0,3.0,50.0,6.0,4.0,542.0,5.0,,16.0,16.0,2.0,15.0,1.0,2.0,387.0,4.0,14.0,27.0,147.0,17.0,1.0,,27.0,21.0,2.0,8.0,3.0,15.0,,6.0,6.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,2.0,,,4.0,,,,1.0,,,,,1.0,,,,,3.0,,,3.0,,1.0,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,
31,755605,2015-04-04 17:30:00,"Stamford Bridge, London",41098,Home,Chelsea,Stoke City,2,1,W,1,1,0,0,2.0,65.0,,,2.0,,,35.0,21.0,6.0,6.0,1.0,,208.0,2.0,2.0,13.0,2.0,6.0,15.0,10.0,181.0,141.0,60.0,1.0,19.0,1.0,18.0,1.0,1.0,2.0,22.0,7.0,21.0,6.0,12.0,30.0,372.0,1.0,0.0,286.0,5.0,,1.0,,136.0,77.0,10.0,93.0,2.0,16.0,13.0,1.0,1.0,3.0,141.0,3.0,,3.0,153.0,829.0,14.0,11.0,,8.0,525.0,23.0,6.0,16.0,1.0,1.0,2.0,5.0,28.0,607.0,95.0,,1.0,66733,9.0,176.0,11.0,186.0,1.0,2.0,13.0,4.0,45.0,1.0,,2.0,5.0,1.0,7.0,4.0,1.0,1.0,55.0,546.0,21.0,5.0,15.0,77.0,0.0,2.0,,2.0,1.0,4.0,0.0,2.0,1.0,,1.0,60.5,25.0,1.0,,7.0,2.0,5.0,3.0,55.0,9.0,,635.0,8.0,1.0,14.0,16.0,6.0,24.0,,3.0,471.0,12.0,11.0,17.0,224.0,28.0,1.0,,16.0,10.0,,14.0,3.0,17.0,,5.0,9.0,4.0,2.0,6.0,,5.0,2.0,,1.0,1.0,,,3.0,1.0,,,,1.0,,4.0,,,,,,,,,1.0,1.0,,,4.0,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,
32,755616,2015-04-12 13:30:00,"MATRADE Loftus Road, London",17939,Away,Chelsea,Queens Park Rangers,1,0,W,0,0,0,0,,69.0,1.0,1.0,1.0,,,34.0,50.0,4.0,2.0,4.0,,212.0,,8.0,11.0,1.0,1.0,6.0,1.0,100.0,208.0,73.0,,9.0,1.0,21.0,,1.0,2.0,22.0,15.0,50.0,6.0,6.0,45.0,203.0,1.0,0.0,174.0,6.0,3.0,1.0,3.0,81.0,51.0,2.0,59.0,,16.0,21.0,,5.0,3.0,208.0,1.0,,6.0,99.0,706.0,4.0,14.0,1.0,7.0,315.0,27.0,10.0,36.0,1.0,1.0,6.0,4.0,27.0,442.0,83.0,,,66733,4.0,134.0,10.0,163.0,1.0,1.0,21.0,8.0,56.0,,,3.0,3.0,1.0,18.0,9.0,4.0,2.0,83.0,329.0,12.0,5.0,35.0,103.0,0.0,,5.0,1.0,,5.0,0.0,6.0,1.0,1.0,2.0,60.1,21.0,2.0,,2.0,,3.0,2.0,49.0,6.0,3.0,470.0,7.0,,17.0,19.0,6.0,26.0,2.0,3.0,329.0,5.0,6.0,34.0,101.0,30.0,,2.0,36.0,17.0,,7.0,3.0,19.0,2.0,9.0,6.0,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,3.0,,,,1.0,,,,1.0,,,,,,2.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,
33,755625,2015-04-18 17:30:00,"Stamford Bridge, London",41422,Home,Chelsea,Manchester United,1,0,W,1,0,0,0,1.0,61.0,1.0,2.0,1.0,,,24.0,31.0,4.0,2.0,2.0,1.0,131.0,,1.0,10.0,1.0,2.0,4.0,2.0,52.0,130.0,63.0,1.0,7.0,2.0,17.0,1.0,1.0,1.0,8.0,24.0,31.0,3.0,5.0,21.0,87.0,,0.0,76.0,13.0,1.0,1.0,2.0,20.0,20.0,3.0,46.0,,5.0,11.0,1.0,1.0,1.0,130.0,1.0,1.0,7.0,54.0,456.0,3.0,12.0,1.0,9.0,189.0,27.0,13.0,15.0,1.0,3.0,5.0,1.0,9.0,259.0,38.0,2.0,,66733,,116.0,3.0,137.0,8.0,,11.0,7.0,59.0,2.0,,2.0,1.0,1.0,14.0,8.0,3.0,,54.0,202.0,10.0,10.0,29.0,57.0,0.0,,7.0,1.0,,4.0,0.0,,1.0,,,29.6,5.0,,,4.0,,1.0,3.0,27.0,3.0,2.0,283.0,9.0,,12.0,8.0,2.0,9.0,1.0,,154.0,5.0,5.0,14.0,42.0,24.0,,6.0,15.0,29.0,,5.0,3.0,19.0,6.0,3.0,3.0,,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0,,1.0,,,1.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
34,755633,2015-04-26 16:00:00,"Emirates Stadium, London",60066,Away,Chelsea,Arsenal,0,0,D,0,0,0,0,,66.0,,,1.0,,,30.0,40.0,3.0,1.0,1.0,,179.0,,1.0,7.0,,2.0,6.0,3.0,93.0,144.0,68.0,,7.0,1.0,26.0,,,,5.0,20.0,40.0,2.0,11.0,27.0,180.0,2.0,0.0,132.0,11.0,,,3.0,68.0,38.0,4.0,85.0,,3.0,14.0,,1.0,1.0,144.0,2.0,2.0,9.0,90.0,627.0,5.0,15.0,,18.0,317.0,33.0,9.0,25.0,,3.0,3.0,2.0,16.0,416.0,65.0,2.0,1.0,66733,4.0,156.0,1.0,182.0,9.0,,14.0,9.0,64.0,2.0,,,3.0,,8.0,2.0,3.0,,78.0,335.0,15.0,12.0,36.0,79.0,0.0,,6.0,,,6.0,0.0,,,2.0,1.0,43.0,12.0,1.0,,4.0,,3.0,2.0,39.0,2.0,3.0,447.0,18.0,,5.0,13.0,2.0,17.0,1.0,1.0,270.0,5.0,10.0,24.0,78.0,18.0,,2.0,25.0,24.0,,6.0,3.0,18.0,2.0,4.0,2.0,3.0,,2.0,,2.0,1.0,1.0,,,2.0,,2.0,,,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
35,755644,2015-05-03 13:30:00,"Stamford Bridge, London",41566,Home,Chelsea,Crystal Palace,1,0,W,1,0,0,0,1.0,56.0,,,1.0,,,22.0,38.0,8.0,7.0,1.0,,211.0,,1.0,14.0,1.0,7.0,11.0,7.0,131.0,145.0,82.0,1.0,17.0,1.0,17.0,1.0,,2.0,11.0,17.0,38.0,3.0,22.0,21.0,306.0,1.0,0.0,198.0,12.0,1.0,1.0,,54.0,82.0,4.0,77.0,3.0,8.0,18.0,1.0,1.0,5.0,145.0,,,5.0,137.0,767.0,10.0,9.0,,9.0,447.0,23.0,7.0,26.0,,2.0,3.0,7.0,21.0,528.0,72.0,,1.0,66733,6.0,161.0,5.0,183.0,8.0,,18.0,13.0,69.0,3.0,,1.0,1.0,,10.0,3.0,6.0,2.0,57.0,466.0,13.0,14.0,27.0,69.0,0.0,1.0,6.0,1.0,,3.0,0.0,,,1.0,2.0,61.7,14.0,,,6.0,1.0,1.0,2.0,45.0,3.0,,556.0,9.0,,16.0,14.0,8.0,23.0,1.0,3.0,384.0,8.0,21.0,31.0,152.0,22.0,,5.0,26.0,24.0,,9.0,3.0,24.0,5.0,7.0,3.0,3.0,2.0,4.0,,4.0,2.0,1.0,,,1.0,1.0,1.0,5.0,,1.0,,2.0,,2.0,1.0,,,,,2.0,,,1.0,,,,2.0,,,,,,,,,1.0,,,,,,2.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0
36,755655,2015-05-10 16:00:00,"Stamford Bridge, London",41547,Home,Chelsea,Liverpool,1,1,D,1,1,0,0,,63.0,,2.0,3.0,1.0,1.0,30.0,13.0,1.0,3.0,3.0,,167.0,,3.0,11.0,1.0,2.0,8.0,3.0,92.0,138.0,55.0,,8.0,1.0,10.0,2.0,,1.0,15.0,20.0,13.0,6.0,18.0,26.0,183.0,,0.0,133.0,13.0,2.0,,2.0,65.0,47.0,7.0,81.0,,9.0,15.0,,1.0,,138.0,,,9.0,93.0,606.0,7.0,8.0,,12.0,326.0,27.0,6.0,8.0,1.0,4.0,3.0,1.0,20.0,402.0,59.0,1.0,,66733,2.0,162.0,6.0,177.0,6.0,,15.0,13.0,57.0,1.0,1.0,1.0,3.0,,11.0,6.0,6.0,,69.0,342.0,11.0,15.0,23.0,77.0,0.0,1.0,4.0,1.0,1.0,4.0,0.0,,1.0,,1.0,47.8,17.0,,,2.0,2.0,3.0,4.0,37.0,6.0,2.0,433.0,12.0,,8.0,17.0,1.0,12.0,3.0,1.0,271.0,4.0,16.0,9.0,98.0,22.0,,1.0,8.0,24.0,1.0,6.0,3.0,22.0,1.0,9.0,6.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,2.0,,,,,1.0,,,,1.0,2.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
37,755671,2015-05-18 20:00:00,"The Hawthorns, West Bromwich",24750,Away,Chelsea,West Bromwich Albion,0,3,L,0,1,1,0,,47.0,,,2.0,,,19.0,13.0,7.0,7.0,2.0,,184.0,,2.0,12.0,,6.0,8.0,3.0,171.0,108.0,44.0,2.0,12.0,3.0,3.0,2.0,,1.0,14.0,15.0,13.0,4.0,11.0,30.0,382.0,,0.0,268.0,11.0,2.0,,1.0,114.0,52.0,5.0,78.0,,10.0,16.0,2.0,2.0,2.0,108.0,1.0,1.0,5.0,190.0,779.0,8.0,8.0,1.0,7.0,547.0,20.0,2.0,9.0,,2.0,1.0,3.0,18.0,608.0,71.0,,,66733,,179.0,6.0,191.0,10.0,,16.0,2.0,39.0,1.0,,1.0,7.0,,11.0,4.0,1.0,2.0,35.0,559.0,11.0,6.0,10.0,58.0,0.0,1.0,3.0,,3.0,4.0,1.0,1.0,,,,59.5,18.0,,,1.0,1.0,7.0,5.0,48.0,4.0,1.0,623.0,7.0,1.0,9.0,18.0,4.0,17.0,1.0,1.0,446.0,5.0,11.0,5.0,229.0,19.0,,,9.0,16.0,2.0,9.0,3.0,22.0,,4.0,4.0,,,2.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,1.0,,3.0,,,,,,2.0,,1.0,2.0,1.0,,,2.0,,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,,
38,755675,2015-05-24 15:00:00,"Stamford Bridge, London",41620,Home,Chelsea,Sunderland,3,1,W,1,1,0,0,2.0,47.0,3.0,5.0,6.0,,,25.0,9.0,11.0,5.0,7.0,,167.0,,10.0,21.0,3.0,4.0,22.0,8.0,177.0,97.0,46.0,,24.0,3.0,8.0,,2.0,5.0,33.0,6.0,9.0,9.0,17.0,28.0,390.0,1.0,0.0,274.0,12.0,5.0,,,92.0,80.0,16.0,100.0,1.0,24.0,13.0,,4.0,4.0,97.0,1.0,,7.0,173.0,803.0,16.0,1.0,,5.0,556.0,14.0,,7.0,2.0,2.0,2.0,6.0,21.0,599.0,62.0,,,66733,10.0,192.0,18.0,199.0,9.0,3.0,13.0,8.0,45.0,,,1.0,4.0,2.0,10.0,10.0,7.0,,32.0,572.0,8.0,10.0,1.0,55.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,5.0,1.0,,4.0,64.6,21.0,3.0,,3.0,2.0,4.0,9.0,48.0,11.0,,617.0,5.0,,6.0,21.0,7.0,43.0,5.0,3.0,451.0,14.0,17.0,8.0,244.0,26.0,,,7.0,9.0,1.0,17.0,3.0,31.0,,5.0,11.0,3.0,1.0,2.0,,2.0,3.0,,,,,1.0,,,,4.0,,,,1.0,,,,1.0,2.0,1.0,,,3.0,,,,2.0,,,,,1.0,,,,,,,,,,,,2.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,
