gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,accuratePullBack,attCmissRight,goalAssistOpenplay,goodHighClaim,accurateFreekickCross,totalPullBack,goalsOpenplay,attMissHigh,attCmissLeft,totalHighClaim,forwardGoals,attIboxBlocked,attFreekickTotal,attOneOnOne,divingSave,freekickTotal,attHdTarget,accurateThroughBall,totalOffside,savedIbox,attSvHighCentre,attBxRight,postScoringAtt,attIboxPost,attGoalHighRight,attPostLeft,hitWoodwork,attCmissHighRight,attFreekickMiss,attLfGoal,cleanSheet,attGoalHighCentre,shotFastbreak,attCmissHigh,attFastbreak,errorLeadToGoal,sixYardBlock,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalLowRight,attSvHighRight,attFreekickTarget,goalsConcededObox,goalFastbreak,foulThrowIn,attOboxGoal,ownGoals,attGoalHighLeft,punches,attIboxOwnGoal,attLgCentre,attObxdLeft,penaltyWon,attSvHighLeft,secondYellow,attPenGoal,attPostRight,attHdPost,attPostHigh,attPenTarget,clearanceOffLine,attFreekickGoal,attOboxPost
27,755563,2015-03-01 14:05:00,"Emirates Stadium, London",59925,Home,Arsenal,Everton,2,0,W,1,0,0,0,1.0,,66.0,1.0,,1.0,1.0,16.0,45.0,7.0,8.0,2.0,1.0,163.0,1.0,10.0,15.0,2.0,,15.0,4.0,91.0,123.0,64.0,17.0,2.0,15.0,1.0,1.0,,3.0,26.0,24.0,1.0,45.0,8.0,12.0,24.0,201.0,2.0,0.0,170.0,12.0,,,,,56.0,59.0,9.0,62.0,5.0,,18.0,17.0,4.0,3.0,123.0,2.0,1.0,4.0,82.0,633.0,12.0,15.0,22.0,311.0,35.0,2.0,3.0,25.0,2.0,2.0,2.0,2.0,6.0,20.0,381.0,36.0,,98745,5.0,130.0,2.0,14.0,,159.0,8.0,2.0,17.0,6.0,56.0,6.0,,1.0,8.0,4.0,3.0,34.0,321.0,5.0,17.0,1.0,12.0,44.0,1.0,0.0,4.0,9.0,1.0,,8.0,0.0,5.0,2.0,,4.0,47.2,18.0,4.0,5.0,2.0,1.0,6.0,27.0,8.0,398.0,22.0,10.0,14.0,7.0,15.0,5.0,4.0,265.0,5.0,12.0,17.0,136.0,20.0,4.0,25.0,27.0,,,15.0,3.0,19.0,4.0,7.0,8.0,1.0,,,1.0,3.0,,,1.0,,2.0,3.0,1.0,4.0,,,2.0,,,,2.0,2.0,1.0,3.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,
28,755576,2015-03-04 19:45:00,"MATRADE Loftus Road, London",17977,Away,Arsenal,Queens Park Rangers,2,1,W,0,0,0,0,2.0,1.0,80.0,2.0,2.0,,,37.0,69.0,5.0,8.0,2.0,5.0,192.0,,7.0,28.0,2.0,1.0,17.0,9.0,132.0,169.0,100.0,20.0,2.0,20.0,5.0,,,2.0,22.0,14.0,2.0,69.0,6.0,15.0,52.0,254.0,,0.0,184.0,8.0,,,4.0,1.0,60.0,102.0,13.0,73.0,1.0,2.0,16.0,18.0,1.0,1.0,169.0,1.0,1.0,2.0,123.0,811.0,14.0,20.0,20.0,387.0,38.0,,7.0,42.0,1.0,,1.0,3.0,4.0,22.0,489.0,65.0,,98980,6.0,160.0,1.0,14.0,1.0,191.0,3.0,1.0,18.0,7.0,57.0,8.0,,,12.0,8.0,4.0,70.0,407.0,8.0,11.0,2.0,21.0,90.0,3.0,0.0,4.0,1.0,2.0,1.0,10.0,0.0,4.0,,1.0,,56.8,18.0,,2.0,2.0,,7.0,53.0,6.0,520.0,20.0,11.0,25.0,4.0,22.0,3.0,3.0,351.0,10.0,12.0,44.0,133.0,31.0,3.0,42.0,20.0,,,16.0,3.0,35.0,3.0,9.0,6.0,,1.0,,1.0,4.0,1.0,2.0,2.0,,,4.0,2.0,5.0,,,,,,,2.0,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,
29,755583,2015-03-14 15:00:00,"Emirates Stadium, London",60002,Home,Arsenal,West Ham United,3,0,W,1,0,0,0,1.0,2.0,66.0,,,1.0,,29.0,16.0,,5.0,1.0,3.0,224.0,1.0,7.0,13.0,3.0,2.0,16.0,9.0,136.0,155.0,57.0,19.0,,14.0,6.0,,1.0,2.0,23.0,13.0,,16.0,6.0,22.0,47.0,295.0,1.0,0.0,204.0,10.0,2.0,1.0,1.0,1.0,72.0,57.0,13.0,81.0,2.0,1.0,17.0,23.0,5.0,,155.0,4.0,2.0,6.0,149.0,797.0,13.0,16.0,24.0,468.0,33.0,,5.0,10.0,3.0,,1.0,2.0,3.0,19.0,566.0,56.0,1.0,98745,9.0,201.0,3.0,11.0,,226.0,5.0,1.0,23.0,11.0,56.0,10.0,,2.0,14.0,1.0,10.0,44.0,489.0,9.0,16.0,,16.0,80.0,3.0,0.0,2.0,5.0,3.0,,8.0,0.0,5.0,2.0,,3.0,67.9,18.0,1.0,3.0,4.0,2.0,5.0,58.0,7.0,590.0,24.0,7.0,26.0,5.0,35.0,2.0,5.0,387.0,11.0,21.0,20.0,158.0,28.0,1.0,10.0,16.0,,,15.0,3.0,24.0,1.0,12.0,8.0,1.0,1.0,,2.0,1.0,,1.0,2.0,1.0,1.0,3.0,1.0,5.0,,,1.0,,2.0,2.0,3.0,1.0,1.0,3.0,,,1.0,,,,,2.0,1.0,,2.0,,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
30,755597,2015-03-21 15:00:00,"St. James' Park, Newcastle",50544,Away,Arsenal,Newcastle United,2,1,W,2,0,0,0,,,79.0,1.0,,2.0,1.0,23.0,36.0,,2.0,3.0,1.0,184.0,,4.0,18.0,2.0,4.0,8.0,3.0,89.0,168.0,86.0,7.0,,10.0,1.0,1.0,,,18.0,28.0,,36.0,4.0,14.0,37.0,202.0,,0.0,138.0,7.0,,,1.0,5.0,55.0,72.0,5.0,63.0,2.0,1.0,14.0,31.0,4.0,,168.0,3.0,,13.0,105.0,706.0,3.0,16.0,31.0,326.0,27.0,,6.0,25.0,2.0,1.0,0.0,8.0,1.0,24.0,417.0,70.0,,98745,4.0,142.0,3.0,5.0,3.0,163.0,2.0,,31.0,6.0,64.0,6.0,,1.0,12.0,3.0,4.0,50.0,340.0,11.0,22.0,1.0,18.0,85.0,,0.0,3.0,9.0,2.0,1.0,7.0,0.0,3.0,1.0,,1.0,49.1,16.0,,4.0,1.0,1.0,3.0,51.0,4.0,441.0,31.0,19.0,24.0,1.0,22.0,1.0,1.0,296.0,3.0,13.0,25.0,90.0,40.0,3.0,25.0,32.0,1.0,1.0,3.0,3.0,25.0,3.0,12.0,4.0,1.0,2.0,,,4.0,1.0,6.0,,,,4.0,2.0,3.0,,2.0,1.0,,,3.0,4.0,3.0,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
31,755603,2015-04-04 12:45:00,"Emirates Stadium, London",60081,Home,Arsenal,Liverpool,4,1,W,3,0,0,1,3.0,,72.0,2.0,,,,27.0,19.0,6.0,8.0,1.0,1.0,180.0,,6.0,15.0,4.0,3.0,13.0,10.0,112.0,136.0,57.0,16.0,1.0,8.0,5.0,1.0,3.0,2.0,21.0,17.0,1.0,19.0,6.0,15.0,31.0,241.0,,0.0,189.0,7.0,,2.0,1.0,1.0,80.0,48.0,9.0,62.0,1.0,1.0,15.0,17.0,2.0,1.0,136.0,1.0,,6.0,125.0,694.0,8.0,10.0,26.0,385.0,24.0,,5.0,7.0,3.0,1.0,1.0,2.0,4.0,15.0,449.0,63.0,1.0,98745,6.0,165.0,1.0,12.0,,180.0,3.0,1.0,17.0,11.0,55.0,2.0,1.0,,9.0,7.0,4.0,60.0,400.0,9.0,15.0,2.0,18.0,62.0,1.0,0.0,4.0,5.0,1.0,1.0,7.0,0.0,4.0,1.0,,3.0,48.6,15.0,1.0,7.0,1.0,,2.0,36.0,6.0,479.0,26.0,13.0,18.0,4.0,30.0,2.0,2.0,320.0,5.0,12.0,9.0,141.0,34.0,5.0,7.0,24.0,,1.0,12.0,3.0,27.0,5.0,11.0,6.0,,,,3.0,3.0,,,3.0,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,4.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,3.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,3.0,,2.0,,,,,,,,,,,,,,1.0,
32,755613,2015-04-11 17:30:00,"Turf Moor, Burnley",20615,Away,Arsenal,Burnley,1,0,W,1,0,0,0,1.0,1.0,80.0,,1.0,,,35.0,36.0,10.0,7.0,4.0,2.0,227.0,,1.0,16.0,1.0,5.0,9.0,5.0,178.0,177.0,75.0,17.0,3.0,31.0,2.0,1.0,,1.0,19.0,10.0,2.0,36.0,4.0,13.0,40.0,323.0,,0.0,226.0,7.0,,1.0,2.0,1.0,107.0,93.0,7.0,121.0,2.0,,15.0,18.0,3.0,5.0,177.0,,,3.0,162.0,917.0,9.0,15.0,25.0,552.0,34.0,3.0,9.0,18.0,,1.0,0.0,3.0,2.0,29.0,657.0,59.0,,98745,4.0,249.0,,11.0,,280.0,,1.0,18.0,6.0,57.0,1.0,,,15.0,5.0,4.0,77.0,571.0,13.0,9.0,,34.0,107.0,,0.0,3.0,1.0,1.0,,7.0,0.0,1.0,,1.0,1.0,68.2,22.0,,3.0,,,6.0,57.0,6.0,688.0,25.0,13.0,22.0,6.0,25.0,,1.0,427.0,9.0,12.0,32.0,181.0,34.0,2.0,18.0,15.0,,,12.0,2.0,18.0,2.0,5.0,6.0,1.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,1.0,,3.0,2.0,,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
33,755623,2015-05-20 19:45:00,"Emirates Stadium, London",59987,Home,Arsenal,Sunderland,0,0,D,0,0,0,0,2.0,,86.0,,,,,16.0,8.0,11.0,10.0,3.0,5.0,230.0,,4.0,22.0,,2.0,23.0,8.0,248.0,143.0,56.0,28.0,5.0,15.0,5.0,2.0,3.0,4.0,35.0,9.0,3.0,8.0,4.0,23.0,31.0,536.0,,0.0,431.0,6.0,,,4.0,,90.0,98.0,12.0,78.0,,4.0,31.0,23.0,10.0,3.0,143.0,1.0,,6.0,242.0,1008.0,23.0,10.0,16.0,702.0,39.0,3.0,1.0,7.0,,2.0,1.0,1.0,11.0,22.0,783.0,77.0,,98745,7.0,185.0,1.0,21.0,,193.0,3.0,,23.0,4.0,43.0,7.0,,4.0,8.0,1.0,4.0,24.0,717.0,8.0,2.0,,4.0,64.0,1.0,0.0,3.0,2.0,,,3.0,0.0,4.0,,1.0,3.0,75.1,22.0,2.0,8.0,3.0,4.0,7.0,53.0,5.0,798.0,16.0,10.0,18.0,13.0,70.0,,10.0,640.0,15.0,21.0,14.0,369.0,35.0,1.0,7.0,12.0,,,28.0,2.0,32.0,1.0,9.0,5.0,,,,,,,4.0,,2.0,,,,2.0,,1.0,1.0,,1.0,4.0,,3.0,,6.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,755633,2015-04-26 16:00:00,"Emirates Stadium, London",60066,Home,Arsenal,Chelsea,0,0,D,0,0,0,0,,,77.0,,1.0,,,20.0,20.0,2.0,4.0,2.0,1.0,209.0,,2.0,12.0,,5.0,9.0,1.0,131.0,145.0,64.0,11.0,2.0,24.0,1.0,1.0,1.0,3.0,31.0,10.0,,20.0,6.0,19.0,35.0,310.0,,0.0,224.0,17.0,,,,4.0,96.0,71.0,4.0,81.0,1.0,2.0,25.0,14.0,5.0,,145.0,1.0,1.0,4.0,147.0,772.0,8.0,12.0,18.0,479.0,30.0,1.0,7.0,13.0,,2.0,4.0,3.0,5.0,19.0,552.0,61.0,,98745,6.0,183.0,1.0,16.0,1.0,200.0,7.0,,14.0,7.0,68.0,6.0,,3.0,14.0,3.0,3.0,38.0,491.0,10.0,7.0,1.0,13.0,66.0,,0.0,1.0,2.0,,,8.0,0.0,1.0,,2.0,1.0,57.0,19.0,1.0,4.0,2.0,3.0,4.0,51.0,6.0,568.0,18.0,13.0,22.0,6.0,27.0,1.0,6.0,399.0,6.0,17.0,26.0,178.0,35.0,,13.0,16.0,,,9.0,2.0,23.0,,10.0,6.0,2.0,2.0,,,,,2.0,,,,,,2.0,,,1.0,,,,,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
35,755645,2015-05-04 20:00:00,"The MKM Stadium, Hull",23628,Away,Arsenal,Hull City,3,1,W,3,0,0,0,2.0,1.0,65.0,2.0,,,,31.0,27.0,6.0,7.0,,4.0,216.0,,4.0,15.0,3.0,2.0,17.0,9.0,176.0,119.0,58.0,22.0,3.0,22.0,4.0,2.0,4.0,3.0,15.0,12.0,2.0,27.0,4.0,28.0,29.0,288.0,1.0,0.0,154.0,11.0,2.0,3.0,1.0,,62.0,64.0,12.0,110.0,,2.0,11.0,8.0,,,119.0,2.0,2.0,5.0,183.0,863.0,15.0,12.0,14.0,593.0,36.0,,7.0,16.0,2.0,2.0,0.0,1.0,5.0,18.0,665.0,60.0,1.0,98745,10.0,321.0,2.0,11.0,,334.0,8.0,3.0,8.0,6.0,51.0,7.0,,1.0,12.0,3.0,2.0,56.0,605.0,8.0,7.0,,22.0,108.0,1.0,0.0,1.0,,2.0,1.0,7.0,0.0,3.0,1.0,,,67.7,17.0,,2.0,3.0,1.0,7.0,81.0,5.0,685.0,14.0,10.0,21.0,6.0,19.0,1.0,6.0,366.0,14.0,25.0,18.0,113.0,25.0,1.0,16.0,17.0,,1.0,20.0,2.0,18.0,1.0,4.0,5.0,1.0,,1.0,2.0,1.0,,1.0,2.0,,1.0,1.0,,4.0,2.0,2.0,,2.0,,3.0,1.0,,,2.0,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,
36,755653,2015-05-11 20:00:00,"Emirates Stadium, London",59989,Home,Arsenal,Swansea City,0,1,L,0,0,0,0,4.0,,73.0,,1.0,,,16.0,9.0,9.0,9.0,2.0,5.0,226.0,,5.0,10.0,,5.0,16.0,9.0,221.0,127.0,47.0,23.0,5.0,6.0,7.0,1.0,5.0,1.0,31.0,11.0,2.0,9.0,6.0,20.0,28.0,436.0,1.0,0.0,280.0,7.0,,,1.0,2.0,121.0,86.0,11.0,93.0,2.0,3.0,25.0,17.0,3.0,2.0,127.0,1.0,,2.0,222.0,962.0,16.0,8.0,18.0,679.0,26.0,,,8.0,,1.0,0.0,3.0,5.0,19.0,749.0,74.0,1.0,98745,9.0,260.0,2.0,20.0,,272.0,4.0,,17.0,2.0,51.0,9.0,,5.0,4.0,6.0,2.0,26.0,691.0,10.0,14.0,,1.0,76.0,3.0,0.0,,1.0,,1.0,,0.0,5.0,,1.0,2.0,67.9,19.0,2.0,8.0,1.0,6.0,8.0,67.0,6.0,762.0,18.0,16.0,17.0,6.0,31.0,,4.0,521.0,12.0,18.0,11.0,237.0,32.0,1.0,8.0,16.0,,1.0,22.0,2.0,18.0,1.0,7.0,6.0,,,2.0,,1.0,,,,1.0,,1.0,,3.0,1.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,755665,2015-05-17 16:00:00,"Old Trafford, Manchester",75323,Away,Arsenal,Manchester United,1,1,D,0,1,0,0,,,76.0,,2.0,,,24.0,22.0,,2.0,3.0,3.0,178.0,,2.0,18.0,1.0,2.0,5.0,3.0,92.0,165.0,60.0,5.0,,18.0,3.0,,2.0,1.0,17.0,11.0,,22.0,5.0,15.0,43.0,155.0,,0.0,113.0,8.0,,,,2.0,48.0,50.0,3.0,43.0,,,12.0,23.0,2.0,,165.0,2.0,1.0,7.0,101.0,639.0,5.0,8.0,21.0,301.0,43.0,1.0,8.0,12.0,,,0.0,4.0,2.0,24.0,386.0,54.0,1.0,98745,,171.0,2.0,8.0,,192.0,5.0,,23.0,3.0,71.0,11.0,,2.0,13.0,5.0,2.0,48.0,324.0,14.0,8.0,,22.0,72.0,,0.0,3.0,5.0,1.0,1.0,2.0,0.0,2.0,,,,42.6,19.0,,1.0,2.0,2.0,,44.0,5.0,414.0,21.0,21.0,18.0,2.0,22.0,,2.0,239.0,3.0,14.0,12.0,71.0,26.0,,12.0,17.0,,1.0,5.0,3.0,34.0,,13.0,5.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,755673,2015-05-24 15:00:00,"Emirates Stadium, London",59971,Home,Arsenal,West Bromwich Albion,4,1,W,4,0,0,0,2.0,1.0,65.0,,3.0,1.0,,17.0,13.0,6.0,8.0,4.0,7.0,199.0,,5.0,7.0,4.0,3.0,18.0,13.0,192.0,105.0,36.0,24.0,2.0,14.0,7.0,,2.0,,17.0,11.0,2.0,13.0,3.0,19.0,27.0,343.0,,0.0,252.0,6.0,,1.0,2.0,2.0,38.0,76.0,16.0,76.0,1.0,1.0,14.0,23.0,,1.0,105.0,1.0,,8.0,170.0,808.0,14.0,7.0,22.0,557.0,28.0,,1.0,7.0,3.0,,1.0,3.0,2.0,4.0,614.0,58.0,,98745,10.0,238.0,1.0,12.0,1.0,249.0,3.0,3.0,23.0,10.0,49.0,10.0,,3.0,8.0,6.0,6.0,33.0,576.0,5.0,10.0,1.0,5.0,55.0,4.0,0.0,3.0,3.0,3.0,1.0,2.0,0.0,5.0,3.0,1.0,,63.7,4.0,,4.0,4.0,3.0,7.0,40.0,7.0,637.0,22.0,15.0,15.0,4.0,44.0,,2.0,405.0,16.0,18.0,9.0,212.0,30.0,,7.0,15.0,,1.0,18.0,3.0,12.0,,12.0,7.0,,1.0,,2.0,,1.0,1.0,3.0,2.0,,,3.0,5.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,,,,,1.0,,,,,2.0,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,
