gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attRfTarget,ontargetScoringAtt,attIboxTarget,attBxRight,attOboxTarget,attMissHighRight,attSvHighRight,cleanSheet,interceptionsInBox,secondYellow,attHdTarget,accurateThroughBall,attCmissHighLeft,attSvLowRight,punches,attFreekickMiss,bigChanceScored,attGoalLowRight,attLfGoal,attGoalLowCentre,goals,attCmissRight,shotFastbreak,postScoringAtt,goalAssistOpenplay,attIboxPost,totalFastbreak,midfielderGoals,hitWoodwork,goalAssist,defenderGoals,goalsOpenplay,attFastbreak,attIboxGoal,shieldBallOop,attPostRight,attHdGoal,attSvLowCentre,attSvHighCentre,errorLeadToGoal,goalsConcededObox,goalAssistSetplay,attSvHighLeft,attRfGoal,totalOffside,goalAssistIntentional,forwardGoals,attSvLowLeft,attPostHigh,attCmissHighRight,attGoalLowLeft,goalFastbreak,attOboxGoal,contentiousDecision,attObxdRight,attFreekickTarget,attLgCentre,attOboxPost,attOneOnOne,foulThrowIn,goalAssistDeadball,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalHighRight,penaltyWon,attPenGoal,attPostLeft,attCmissHigh,ownGoals,attIboxOwnGoal,clearanceOffLine,attGoalHighLeft,attHdPost,attObxRight
29,755587,2015-03-15 16:00:00,"Goodison Park, Liverpool",38806,Away,Newcastle United,Everton,0,3,L,0,1,1,0,,62.0,5.0,3.0,31.0,27.0,3.0,3.0,5.0,170.0,5.0,8.0,4.0,6.0,,86.0,155.0,57.0,1.0,12.0,1.0,26.0,1.0,,25.0,19.0,27.0,4.0,10.0,42.0,164.0,0.0,114.0,10.0,2.0,3.0,1.0,45.0,89.0,5.0,70.0,2.0,21.0,13.0,1.0,3.0,1.0,155.0,,4.0,74.0,622.0,5.0,8.0,15.0,294.0,25.0,,9.0,11.0,3.0,2.0,3.0,1.0,28.0,377.0,60.0,,,97612,3.0,148.0,,15.0,,,165.0,7.0,,13.0,9.0,69.0,1.0,3.0,14.0,11.0,4.0,1.0,75.0,307.0,10.0,12.0,1.0,29.0,88.0,,0.0,2.0,3.0,1.0,3.0,2.0,1.0,4.0,2.0,45.9,24.0,1.0,1.0,2.0,3.0,4.0,47.0,4.0,2.0,400.0,15.0,4.0,22.0,4.0,23.0,1.0,3.0,260.0,7.0,10.0,13.0,69.0,23.0,1.0,11.0,25.0,2.0,8.0,3.0,26.0,1.0,8.0,4.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,2.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,
30,755597,2015-03-21 15:00:00,"St. James' Park, Newcastle",50544,Home,Newcastle United,Arsenal,1,2,L,0,2,0,0,,80.0,,7.0,26.0,21.0,3.0,3.0,1.0,173.0,4.0,22.0,2.0,12.0,2.0,103.0,178.0,64.0,1.0,16.0,1.0,25.0,2.0,,24.0,22.0,21.0,8.0,3.0,25.0,167.0,0.0,122.0,11.0,,1.0,1.0,81.0,64.0,8.0,74.0,3.0,16.0,31.0,1.0,5.0,2.0,178.0,2.0,7.0,100.0,690.0,10.0,5.0,12.0,335.0,34.0,,3.0,14.0,3.0,0.0,2.0,4.0,32.0,434.0,57.0,,,97612,5.0,180.0,1.0,10.0,2.0,,205.0,6.0,3.0,31.0,3.0,86.0,,3.0,7.0,,,,67.0,343.0,6.0,18.0,1.0,30.0,70.0,,0.0,2.0,4.0,1.0,2.0,2.0,0.0,1.0,2.0,50.9,25.0,1.0,4.0,4.0,3.0,8.0,30.0,9.0,1.0,450.0,12.0,24.0,8.0,4.0,15.0,3.0,2.0,269.0,10.0,3.0,10.0,71.0,37.0,1.0,14.0,26.0,2.0,11.0,2.0,30.0,1.0,19.0,9.0,,2.0,4.0,3.0,,,1.0,,,3.0,,1.0,,,,,,1.0,1.0,,,1.0,1.0,2.0,,1.0,,2.0,1.0,,1.0,,1.0,2.0,1.0,,,,2.0,,,,,,1.0,3.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,755610,2015-04-05 16:00:00,"Stadium of Light, Sunderland",47563,Away,Newcastle United,Sunderland,0,1,L,0,1,0,0,,62.0,1.0,1.0,20.0,34.0,6.0,3.0,3.0,149.0,3.0,12.0,1.0,6.0,,65.0,146.0,66.0,,10.0,3.0,31.0,2.0,,15.0,16.0,34.0,4.0,12.0,22.0,133.0,0.0,108.0,18.0,,2.0,2.0,52.0,42.0,4.0,28.0,3.0,11.0,19.0,,1.0,3.0,146.0,,9.0,67.0,549.0,6.0,13.0,26.0,205.0,24.0,,11.0,15.0,2.0,2.0,7.0,2.0,22.0,282.0,55.0,,1.0,98746,2.0,90.0,1.0,8.0,,2.0,101.0,12.0,,19.0,8.0,85.0,2.0,4.0,11.0,7.0,5.0,2.0,53.0,220.0,13.0,12.0,,33.0,68.0,,0.0,2.0,8.0,2.0,1.0,4.0,0.0,2.0,,46.8,18.0,,2.0,2.0,4.0,4.0,28.0,4.0,2.0,309.0,26.0,15.0,10.0,5.0,16.0,1.0,2.0,223.0,7.0,8.0,21.0,59.0,27.0,6.0,15.0,20.0,,7.0,2.0,24.0,6.0,13.0,4.0,,1.0,1.0,1.0,,,,,,2.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,755614,2015-04-13 20:00:00,"Anfield, Liverpool",44611,Away,Newcastle United,Liverpool,0,2,L,0,1,1,0,1.0,63.0,2.0,1.0,20.0,26.0,4.0,1.0,4.0,151.0,1.0,13.0,1.0,8.0,,63.0,143.0,54.0,1.0,10.0,1.0,13.0,,,19.0,15.0,26.0,6.0,9.0,21.0,141.0,0.0,98.0,17.0,1.0,,2.0,54.0,56.0,4.0,53.0,3.0,13.0,12.0,1.0,5.0,3.0,143.0,,11.0,62.0,549.0,8.0,13.0,28.0,240.0,21.0,,5.0,13.0,,0.0,3.0,4.0,19.0,304.0,42.0,,1.0,98746,4.0,112.0,,8.0,,,130.0,12.0,,12.0,9.0,68.0,2.0,4.0,18.0,3.0,5.0,2.0,48.0,252.0,8.0,16.0,,25.0,70.0,,0.0,3.0,6.0,2.0,2.0,5.0,1.0,1.0,2.0,38.2,18.0,1.0,5.0,1.0,5.0,2.0,38.0,6.0,2.0,329.0,28.0,14.0,14.0,5.0,19.0,,2.0,218.0,7.0,8.0,13.0,69.0,27.0,1.0,13.0,21.0,2.0,6.0,3.0,22.0,1.0,6.0,6.0,1.0,1.0,3.0,2.0,,1.0,,,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
33,755631,2015-04-19 16:00:00,"St. James' Park, Newcastle",47427,Home,Newcastle United,Tottenham Hotspur,1,3,L,0,1,0,0,2.0,67.0,2.0,2.0,17.0,14.0,4.0,2.0,5.0,160.0,5.0,13.0,4.0,7.0,,61.0,167.0,83.0,,11.0,1.0,11.0,,,23.0,30.0,14.0,4.0,3.0,23.0,111.0,0.0,103.0,11.0,4.0,3.0,,49.0,42.0,5.0,42.0,1.0,19.0,25.0,,3.0,2.0,167.0,,7.0,64.0,563.0,6.0,10.0,18.0,201.0,33.0,,7.0,4.0,,2.0,3.0,2.0,21.0,301.0,49.0,2.0,,98746,6.0,112.0,,13.0,,3.0,143.0,6.0,,25.0,7.0,54.0,1.0,6.0,15.0,7.0,3.0,1.0,57.0,218.0,13.0,13.0,1.0,34.0,72.0,,0.0,,3.0,3.0,3.0,2.0,0.0,4.0,1.0,38.9,18.0,1.0,5.0,1.0,6.0,3.0,29.0,4.0,1.0,327.0,18.0,15.0,10.0,3.0,18.0,1.0,1.0,207.0,8.0,3.0,12.0,58.0,22.0,1.0,4.0,44.0,1.0,8.0,3.0,19.0,1.0,17.0,4.0,1.0,3.0,5.0,3.0,,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,,1.0,1.0,,,,1.0,,2.0,,,,1.0,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
34,755638,2015-04-25 15:00:00,"St. James' Park, Newcastle",46884,Home,Newcastle United,Swansea City,2,3,L,1,1,0,0,,71.0,2.0,2.0,20.0,24.0,3.0,2.0,3.0,173.0,7.0,6.0,2.0,9.0,,85.0,165.0,62.0,1.0,12.0,,24.0,2.0,2.0,34.0,27.0,24.0,9.0,13.0,39.0,196.0,0.0,157.0,14.0,,2.0,1.0,58.0,76.0,5.0,70.0,2.0,25.0,20.0,1.0,8.0,3.0,165.0,2.0,8.0,82.0,635.0,7.0,21.0,18.0,303.0,18.0,,9.0,13.0,2.0,1.0,2.0,4.0,25.0,387.0,74.0,1.0,1.0,98746,6.0,127.0,1.0,15.0,,1.0,139.0,6.0,,20.0,6.0,64.0,,,16.0,3.0,2.0,2.0,62.0,316.0,9.0,6.0,1.0,35.0,80.0,2.0,0.0,2.0,6.0,1.0,3.0,12.0,0.0,7.0,3.0,48.2,19.0,2.0,6.0,1.0,,2.0,43.0,9.0,1.0,410.0,18.0,11.0,18.0,6.0,27.0,,3.0,305.0,7.0,12.0,16.0,100.0,40.0,1.0,13.0,31.0,3.0,9.0,3.0,15.0,1.0,12.0,9.0,,1.0,4.0,2.0,1.0,,,,,,,1.0,,,1.0,,1.0,2.0,,1.0,1.0,2.0,,,,1.0,,,,,1.0,,2.0,,2.0,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
35,755646,2015-05-02 12:45:00,"King Power Stadium, Leicester",31576,Away,Newcastle United,Leicester City,0,3,L,0,2,2,0,,55.0,,,23.0,36.0,7.0,1.0,4.0,136.0,2.0,10.0,2.0,9.0,,73.0,152.0,52.0,1.0,12.0,2.0,38.0,3.0,4.0,21.0,16.0,36.0,7.0,13.0,34.0,153.0,0.0,140.0,13.0,2.0,1.0,,72.0,43.0,3.0,53.0,2.0,14.0,19.0,1.0,7.0,3.0,152.0,,16.0,79.0,571.0,8.0,5.0,16.0,245.0,25.0,,5.0,26.0,3.0,2.0,4.0,6.0,28.0,316.0,57.0,1.0,1.0,98746,1.0,105.0,,6.0,,1.0,122.0,7.0,1.0,19.0,8.0,89.0,3.0,6.0,7.0,3.0,1.0,,58.0,256.0,9.0,9.0,1.0,23.0,60.0,1.0,0.0,4.0,10.0,4.0,3.0,2.0,2.0,1.0,1.0,52.1,21.0,1.0,2.0,1.0,6.0,2.0,28.0,7.0,,341.0,16.0,17.0,10.0,7.0,18.0,1.0,4.0,240.0,10.0,11.0,14.0,89.0,20.0,3.0,26.0,19.0,3.0,8.0,3.0,22.0,3.0,14.0,7.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,,3.0,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,
36,755661,2015-05-09 15:00:00,"St. James' Park, Newcastle",47894,Home,Newcastle United,West Bromwich Albion,1,1,D,1,1,0,0,,58.0,,1.0,13.0,15.0,7.0,3.0,2.0,160.0,10.0,19.0,8.0,12.0,,103.0,151.0,73.0,1.0,15.0,2.0,26.0,,1.0,36.0,18.0,15.0,7.0,16.0,29.0,233.0,0.0,165.0,11.0,2.0,8.0,,67.0,68.0,7.0,56.0,,29.0,14.0,1.0,4.0,4.0,151.0,,8.0,121.0,672.0,8.0,6.0,15.0,347.0,17.0,,4.0,11.0,1.0,2.0,2.0,5.0,30.0,419.0,69.0,4.0,,98746,8.0,134.0,1.0,17.0,,6.0,141.0,7.0,,14.0,7.0,71.0,1.0,4.0,6.0,,2.0,4.0,48.0,357.0,17.0,7.0,3.0,19.0,73.0,1.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,8.0,2.0,60.7,25.0,1.0,3.0,,4.0,3.0,36.0,7.0,,440.0,15.0,14.0,11.0,7.0,18.0,2.0,3.0,335.0,10.0,14.0,13.0,111.0,32.0,2.0,11.0,24.0,1.0,7.0,3.0,33.0,2.0,7.0,7.0,,3.0,5.0,3.0,,1.0,2.0,,,,,1.0,,,2.0,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,1.0,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
37,755666,2015-05-16 15:00:00,"MATRADE Loftus Road, London",17608,Away,Newcastle United,Queens Park Rangers,1,2,L,1,0,0,0,,84.0,2.0,6.0,22.0,40.0,8.0,9.0,2.0,169.0,7.0,24.0,2.0,13.0,1.0,58.0,192.0,91.0,2.0,22.0,3.0,23.0,1.0,2.0,25.0,24.0,40.0,12.0,15.0,21.0,155.0,0.0,159.0,8.0,1.0,,3.0,82.0,33.0,12.0,52.0,1.0,13.0,18.0,2.0,2.0,2.0,192.0,2.0,4.0,59.0,622.0,10.0,15.0,23.0,204.0,36.0,1.0,6.0,23.0,1.0,0.0,1.0,1.0,29.0,310.0,76.0,,,98746,7.0,71.0,2.0,11.0,2.0,1.0,99.0,5.0,2.0,18.0,5.0,71.0,3.0,3.0,12.0,4.0,2.0,1.0,72.0,219.0,12.0,6.0,2.0,43.0,75.0,2.0,0.0,,3.0,,2.0,5.0,0.0,3.0,2.0,52.5,22.0,1.0,7.0,3.0,3.0,9.0,24.0,12.0,3.0,338.0,23.0,20.0,6.0,5.0,21.0,4.0,3.0,264.0,10.0,13.0,26.0,89.0,24.0,3.0,23.0,30.0,1.0,14.0,3.0,38.0,3.0,11.0,12.0,3.0,3.0,8.0,4.0,2.0,3.0,,,,2.0,,1.0,,,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,,,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,
38,755681,2015-05-24 15:00:00,"St. James' Park, Newcastle",52094,Home,Newcastle United,West Ham United,2,0,W,0,0,0,0,,64.0,,3.0,22.0,15.0,6.0,3.0,1.0,153.0,7.0,15.0,2.0,14.0,,55.0,146.0,68.0,,17.0,1.0,24.0,2.0,3.0,27.0,20.0,15.0,1.0,12.0,37.0,160.0,0.0,117.0,9.0,1.0,1.0,,39.0,78.0,6.0,57.0,2.0,26.0,23.0,,7.0,4.0,146.0,2.0,2.0,58.0,538.0,10.0,6.0,8.0,230.0,19.0,1.0,7.0,13.0,2.0,2.0,1.0,7.0,25.0,302.0,54.0,,,97612,6.0,88.0,3.0,18.0,1.0,,109.0,7.0,,23.0,8.0,55.0,,4.0,19.0,2.0,5.0,,56.0,241.0,9.0,6.0,1.0,23.0,65.0,1.0,0.0,2.0,3.0,1.0,,4.0,0.0,6.0,3.0,40.8,20.0,2.0,4.0,,4.0,4.0,36.0,2.0,,323.0,8.0,9.0,15.0,9.0,35.0,1.0,5.0,241.0,10.0,11.0,19.0,82.0,36.0,4.0,13.0,25.0,,15.0,1.0,23.0,4.0,16.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0,,1.0,1.0,,,,,,1.0,,1.0,2.0,,,2.0,,,,2.0,,1.0,2.0,,2.0,,2.0,,1.0,,,1.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,1.0
