gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,goalAssistOpenplay,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attMissLeft,attOboxTarget,totalFastbreak,attOboxMiss,attMissHighLeft,totalKeeperSweeper,outfielderBlock,errorLeadToShot,attFastbreak,attSvLowRight,attCmissLeft,savedIbox,possWonAtt3rd,attBxLeft,attFreekickMiss,attHdGoal,attRfTarget,attSvLowCentre,attSvHighRight,attSvHighLeft,attHdTarget,accurateThroughBall,totalPullBack,attMissHigh,clearanceOffLine,accuratePullBack,attMissHighRight,errorLeadToGoal,cleanSheet,hitWoodwork,attSvLowLeft,attObxdRight,handBall,attGoalLowLeft,attLfGoal,goalFastbreak,forwardGoals,goalsConcededObox,attOneOnOne,ownGoals,attFreekickTarget,attIboxOwnGoal,attObxLeft,sixYardBlock,attSvHighCentre,attCmissHigh,attFreekickGoal,postScoringAtt,attIboxPost,attPostHigh,penaltyWon,attPenGoal,attOboxPost,attPostRight,attemptsIbox,attemptsObox,secondYellow,touchesInOppBox,attGoalHighLeft,attObxdLeft,attObxRight,attCmissHighLeft
28,755574,2015-03-03 19:45:00,"The MKM Stadium, Hull",23017,Away,Sunderland,Hull City,1,1,D,0,1,0,0,1.0,65.0,,2.0,39.0,29.0,4.0,2.0,5.0,180.0,,7.0,10.0,1.0,,9.0,,3.0,127.0,155.0,49.0,,9.0,,14.0,,1.0,13.0,14.0,1.0,29.0,3.0,15.0,49.0,227.0,,0.0,156.0,15.0,3.0,1.0,,4.0,56.0,84.0,5.0,59.0,1.0,1.0,10.0,9.0,,3.0,155.0,1.0,,11.0,109.0,665.0,8.0,13.0,14.0,336.0,27.0,10.0,18.0,1.0,6.0,4.0,25.0,441.0,75.0,,88372,3.0,139.0,,7.0,,,165.0,7.0,,9.0,14.0,53.0,1.0,1.0,11.0,1.0,11.0,3.0,7.0,89.0,359.0,8.0,8.0,,34.0,97.0,,0.0,2.0,6.0,1.0,1.0,4.0,0.0,4.0,1.0,,2.0,,58.5,23.0,1.0,11.0,2.0,53.0,4.0,,4.0,475.0,,14.0,6.0,22.0,4.0,20.0,3.0,2.0,323.0,4.0,14.0,18.0,104.0,20.0,5.0,18.0,14.0,1.0,8.0,3.0,21.0,5.0,5.0,4.0,1.0,,,,,,,1.0,2.0,,2.0,,,1.0,,,,,4.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
29,755590,2015-03-14 15:00:00,"Stadium of Light, Sunderland",45746,Home,Sunderland,Aston Villa,0,4,L,0,4,0,0,,67.0,4.0,1.0,22.0,11.0,7.0,3.0,4.0,149.0,,5.0,15.0,,1.0,10.0,1.0,2.0,86.0,146.0,68.0,1.0,12.0,2.0,16.0,,,17.0,23.0,,11.0,2.0,4.0,39.0,147.0,,0.0,108.0,10.0,2.0,,1.0,1.0,69.0,38.0,4.0,45.0,3.0,3.0,15.0,14.0,1.0,4.0,146.0,,,6.0,88.0,553.0,10.0,14.0,18.0,255.0,29.0,3.0,8.0,,1.0,6.0,19.0,347.0,57.0,,88372,2.0,126.0,,10.0,,,153.0,7.0,,14.0,6.0,56.0,3.0,2.0,2.0,,13.0,8.0,2.0,56.0,268.0,9.0,14.0,,18.0,72.0,,0.0,1.0,5.0,,4.0,5.0,0.0,4.0,,1.0,2.0,,40.4,18.0,2.0,2.0,3.0,34.0,2.0,,1.0,368.0,,18.0,7.0,14.0,7.0,15.0,1.0,3.0,232.0,7.0,3.0,14.0,66.0,27.0,1.0,8.0,30.0,4.0,11.0,2.0,25.0,1.0,6.0,2.0,2.0,,,,,,1.0,,2.0,,3.0,1.0,2.0,2.0,,,1.0,,,4.0,2.0,1.0,,,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,
30,755602,2015-03-21 17:30:00,"Boleyn Ground, London",34914,Away,Sunderland,West Ham United,0,1,L,0,0,0,0,,70.0,2.0,1.0,30.0,46.0,3.0,2.0,3.0,160.0,,2.0,5.0,,1.0,6.0,,3.0,52.0,164.0,59.0,,7.0,,29.0,,,18.0,18.0,,46.0,4.0,8.0,29.0,116.0,,0.0,91.0,11.0,1.0,,,1.0,50.0,45.0,4.0,50.0,2.0,,14.0,18.0,,7.0,164.0,1.0,1.0,11.0,68.0,542.0,6.0,16.0,13.0,197.0,34.0,12.0,28.0,,1.0,2.0,18.0,300.0,44.0,,88372,1.0,98.0,1.0,7.0,,,127.0,4.0,,18.0,9.0,51.0,,1.0,3.0,,14.0,4.0,3.0,89.0,212.0,14.0,1.0,,50.0,84.0,,0.0,1.0,6.0,,1.0,4.0,0.0,,,1.0,,,46.1,14.0,,3.0,1.0,34.0,4.0,,1.0,330.0,,13.0,5.0,17.0,3.0,19.0,2.0,1.0,221.0,5.0,6.0,19.0,47.0,24.0,9.0,28.0,22.0,1.0,6.0,3.0,10.0,9.0,11.0,4.0,2.0,,,,2.0,,1.0,,1.0,,2.0,,1.0,6.0,,,,,1.0,1.0,2.0,,,1.0,1.0,,1.0,,,,,,,3.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
31,755610,2015-04-05 16:00:00,"Stadium of Light, Sunderland",47563,Home,Sunderland,Newcastle United,1,0,W,1,0,0,0,,58.0,,3.0,36.0,22.0,6.0,8.0,1.0,142.0,,7.0,12.0,1.0,6.0,11.0,1.0,4.0,71.0,164.0,85.0,2.0,16.0,4.0,21.0,2.0,,25.0,22.0,1.0,22.0,8.0,17.0,39.0,138.0,1.0,0.0,120.0,14.0,1.0,,4.0,5.0,79.0,33.0,8.0,51.0,2.0,1.0,17.0,19.0,2.0,6.0,164.0,,,4.0,82.0,579.0,8.0,28.0,14.0,225.0,23.0,8.0,14.0,1.0,5.0,3.0,37.0,319.0,61.0,1.0,88372,4.0,114.0,,7.0,2.0,,135.0,7.0,,19.0,7.0,66.0,,2.0,2.0,,9.0,6.0,6.0,61.0,245.0,18.0,12.0,2.0,22.0,78.0,,0.0,2.0,4.0,,,8.0,0.0,3.0,,,1.0,,53.2,25.0,,2.0,7.0,47.0,8.0,,5.0,346.0,,14.0,8.0,23.0,5.0,19.0,4.0,4.0,236.0,5.0,17.0,31.0,69.0,22.0,4.0,14.0,27.0,,8.0,1.0,24.0,4.0,6.0,8.0,1.0,,1.0,,2.0,,,3.0,1.0,,1.0,1.0,,3.0,,,2.0,2.0,1.0,4.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,
32,755618,2015-04-11 15:00:00,"Stadium of Light, Sunderland",42073,Home,Sunderland,Crystal Palace,1,4,L,0,0,0,0,,66.0,,2.0,23.0,18.0,5.0,5.0,1.0,159.0,,4.0,10.0,1.0,,9.0,,3.0,101.0,156.0,70.0,,12.0,2.0,12.0,1.0,1.0,19.0,19.0,,18.0,8.0,5.0,34.0,150.0,,0.0,101.0,15.0,2.0,,,2.0,52.0,51.0,4.0,43.0,4.0,2.0,11.0,16.0,,3.0,156.0,,2.0,10.0,102.0,615.0,6.0,11.0,19.0,285.0,28.0,7.0,4.0,1.0,2.0,5.0,26.0,372.0,50.0,,88372,4.0,158.0,,8.0,1.0,,184.0,8.0,1.0,16.0,7.0,64.0,1.0,,3.0,1.0,11.0,4.0,2.0,55.0,304.0,16.0,21.0,2.0,23.0,73.0,,0.0,2.0,5.0,1.0,4.0,4.0,0.0,1.0,1.0,3.0,1.0,,53.7,16.0,1.0,3.0,4.0,29.0,8.0,,3.0,405.0,,19.0,15.0,18.0,5.0,15.0,3.0,2.0,240.0,6.0,3.0,16.0,62.0,28.0,1.0,4.0,28.0,4.0,10.0,2.0,12.0,1.0,9.0,8.0,2.0,1.0,,,2.0,,2.0,1.0,,,3.0,,3.0,6.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
33,755623,2015-05-20 19:45:00,"Emirates Stadium, London",59987,Away,Sunderland,Arsenal,0,0,D,0,0,0,0,,81.0,3.0,1.0,36.0,41.0,1.0,4.0,8.0,132.0,,3.0,2.0,,1.0,7.0,,3.0,47.0,117.0,43.0,,7.0,,14.0,,,4.0,14.0,,41.0,2.0,5.0,24.0,86.0,,0.0,66.0,8.0,7.0,,1.0,1.0,30.0,26.0,4.0,40.0,12.0,1.0,2.0,24.0,,,117.0,3.0,,17.0,54.0,466.0,6.0,19.0,26.0,168.0,51.0,9.0,15.0,,0.0,3.0,9.0,242.0,41.0,1.0,88372,3.0,102.0,3.0,1.0,,,123.0,5.0,,24.0,17.0,56.0,3.0,1.0,1.0,,10.0,11.0,12.0,77.0,185.0,6.0,22.0,1.0,26.0,76.0,,0.0,3.0,5.0,,,6.0,0.0,1.0,,,1.0,,24.9,7.0,1.0,1.0,1.0,35.0,2.0,,1.0,273.0,,26.0,8.0,9.0,3.0,11.0,2.0,2.0,154.0,2.0,3.0,15.0,35.0,16.0,6.0,15.0,20.0,,6.0,3.0,6.0,6.0,15.0,2.0,1.0,,,,3.0,1.0,,,,1.0,1.0,1.0,1.0,7.0,,1.0,,,5.0,1.0,3.0,,,2.0,1.0,,1.0,,2.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
34,755641,2015-04-25 15:00:00,"bet365 Stadium, Stoke",26706,Away,Sunderland,Stoke City,1,1,D,1,1,0,0,1.0,58.0,4.0,2.0,23.0,35.0,5.0,7.0,7.0,135.0,,3.0,7.0,1.0,1.0,9.0,1.0,5.0,61.0,141.0,47.0,1.0,15.0,,29.0,2.0,,22.0,11.0,,35.0,5.0,5.0,17.0,120.0,,0.0,102.0,15.0,4.0,,2.0,1.0,19.0,48.0,4.0,37.0,7.0,2.0,17.0,12.0,1.0,1.0,141.0,,,10.0,41.0,504.0,8.0,8.0,18.0,177.0,23.0,6.0,17.0,,3.0,5.0,27.0,239.0,44.0,,88372,6.0,78.0,1.0,14.0,1.0,,101.0,8.0,1.0,12.0,10.0,70.0,,1.0,6.0,1.0,14.0,13.0,5.0,61.0,195.0,14.0,8.0,1.0,22.0,64.0,,0.0,1.0,9.0,1.0,1.0,2.0,0.0,3.0,,,,,39.5,19.0,,6.0,2.0,31.0,8.0,,1.0,274.0,,18.0,8.0,8.0,8.0,16.0,,4.0,195.0,7.0,5.0,8.0,70.0,17.0,6.0,17.0,18.0,1.0,9.0,1.0,18.0,6.0,5.0,8.0,3.0,1.0,,,3.0,,,3.0,1.0,,4.0,3.0,,7.0,,,1.0,,3.0,4.0,,1.0,,1.0,1.0,1.0,,,,2.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
35,755649,2015-05-02 15:00:00,"Stadium of Light, Sunderland",39613,Home,Sunderland,Southampton,2,1,W,1,1,0,1,2.0,76.0,,2.0,39.0,26.0,3.0,3.0,1.0,165.0,,2.0,10.0,2.0,5.0,6.0,,6.0,71.0,150.0,55.0,1.0,12.0,,12.0,2.0,,11.0,16.0,,26.0,,7.0,30.0,150.0,,0.0,93.0,12.0,1.0,2.0,2.0,,60.0,50.0,3.0,66.0,4.0,,11.0,25.0,1.0,6.0,150.0,,,6.0,72.0,578.0,5.0,16.0,26.0,257.0,37.0,9.0,20.0,,2.0,3.0,14.0,343.0,51.0,1.0,88372,5.0,130.0,,3.0,1.0,,156.0,9.0,,25.0,9.0,57.0,1.0,3.0,4.0,,17.0,5.0,7.0,75.0,278.0,13.0,14.0,1.0,29.0,85.0,,0.0,1.0,1.0,2.0,1.0,6.0,0.0,2.0,,1.0,2.0,,43.7,10.0,,4.0,2.0,53.0,1.0,,1.0,374.0,,26.0,13.0,17.0,4.0,13.0,,2.0,229.0,6.0,6.0,14.0,57.0,24.0,,20.0,19.0,1.0,8.0,3.0,17.0,,16.0,1.0,,1.0,,,3.0,,2.0,2.0,1.0,1.0,2.0,,2.0,3.0,1.0,,1.0,,1.0,2.0,,,,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,1.0,1.0,,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,2.0,2.0,,,,,,,,,,
36,755657,2015-05-09 12:45:00,"Goodison Park, Liverpool",38246,Away,Sunderland,Everton,2,0,W,0,0,0,0,1.0,57.0,1.0,1.0,22.0,41.0,4.0,6.0,4.0,130.0,1.0,1.0,8.0,2.0,3.0,6.0,,3.0,47.0,125.0,56.0,,10.0,2.0,8.0,,1.0,8.0,18.0,,41.0,1.0,9.0,22.0,104.0,,0.0,103.0,9.0,,,,,44.0,42.0,4.0,25.0,5.0,2.0,7.0,12.0,,4.0,125.0,,,16.0,28.0,428.0,4.0,20.0,16.0,129.0,27.0,9.0,19.0,1.0,3.0,2.0,16.0,200.0,56.0,,88372,2.0,43.0,,3.0,,,56.0,7.0,1.0,12.0,11.0,47.0,2.0,1.0,,2.0,12.0,6.0,5.0,65.0,146.0,10.0,15.0,1.0,30.0,73.0,1.0,0.0,1.0,16.0,2.0,,8.0,0.0,1.0,,,,,27.0,11.0,,,3.0,34.0,1.0,,,230.0,,16.0,8.0,7.0,4.0,22.0,,2.0,182.0,4.0,5.0,13.0,59.0,16.0,9.0,19.0,25.0,,9.0,3.0,15.0,9.0,10.0,1.0,,1.0,,,1.0,,1.0,1.0,,,2.0,,1.0,8.0,,,,,3.0,4.0,2.0,,,1.0,1.0,,,,1.0,2.0,,,,1.0,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,755668,2015-05-16 15:00:00,"Stadium of Light, Sunderland",46705,Home,Sunderland,Leicester City,0,0,D,0,0,0,0,,66.0,,1.0,27.0,37.0,7.0,4.0,,158.0,,7.0,7.0,,6.0,10.0,1.0,3.0,65.0,173.0,77.0,4.0,13.0,4.0,21.0,1.0,,24.0,18.0,,37.0,8.0,9.0,23.0,115.0,,0.0,95.0,14.0,,,1.0,5.0,48.0,39.0,5.0,34.0,3.0,1.0,16.0,21.0,4.0,3.0,173.0,1.0,1.0,6.0,47.0,542.0,10.0,13.0,22.0,173.0,32.0,5.0,25.0,,4.0,5.0,25.0,275.0,55.0,1.0,88372,2.0,82.0,1.0,12.0,1.0,,108.0,9.0,,21.0,9.0,64.0,1.0,2.0,2.0,,12.0,5.0,5.0,78.0,190.0,15.0,8.0,,37.0,83.0,1.0,0.0,1.0,9.0,,,2.0,0.0,5.0,,,2.0,,50.6,19.0,2.0,2.0,5.0,32.0,8.0,,5.0,304.0,,22.0,9.0,13.0,5.0,16.0,2.0,2.0,220.0,7.0,7.0,34.0,52.0,21.0,3.0,25.0,23.0,,7.0,3.0,19.0,3.0,12.0,8.0,1.0,,,,2.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,7.0,,1.0,1.0,1.0,,2.0,1.0,,,2.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
38,755675,2015-05-24 15:00:00,"Stamford Bridge, London",41620,Away,Sunderland,Chelsea,1,3,L,1,1,0,0,1.0,52.0,3.0,,12.0,23.0,10.0,6.0,5.0,105.0,,3.0,10.0,1.0,4.0,13.0,1.0,9.0,87.0,78.0,45.0,3.0,17.0,1.0,8.0,,,10.0,12.0,,23.0,3.0,11.0,14.0,156.0,,0.0,81.0,8.0,1.0,,,1.0,41.0,39.0,7.0,50.0,9.0,3.0,7.0,13.0,3.0,1.0,78.0,2.0,1.0,13.0,100.0,508.0,12.0,6.0,17.0,276.0,32.0,4.0,10.0,1.0,1.0,6.0,11.0,321.0,33.0,,88372,2.0,137.0,1.0,6.0,,1.0,151.0,6.0,,13.0,6.0,46.0,1.0,1.0,5.0,,5.0,11.0,2.0,40.0,290.0,11.0,21.0,,15.0,50.0,2.0,0.0,1.0,11.0,1.0,3.0,2.0,0.0,2.0,1.0,,3.0,,35.4,9.0,2.0,6.0,1.0,29.0,3.0,1.0,1.0,342.0,1.0,17.0,6.0,7.0,7.0,11.0,1.0,3.0,201.0,8.0,11.0,8.0,66.0,11.0,6.0,10.0,16.0,2.0,13.0,1.0,13.0,6.0,7.0,3.0,4.0,,1.0,1.0,3.0,1.0,,,5.0,1.0,4.0,1.0,,7.0,,1.0,3.0,,2.0,,3.0,1.0,1.0,4.0,4.0,,1.0,,,,2.0,,,1.0,,,,,,,1.0,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
