gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attObxLeft,shotFastbreak,goalAssistOpenplay,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,accurateCross,accuratePullBack,attBxRight,postScoringAtt,accurateKeeperSweeper,attGoalHighRight,midfielderGoals,attFreekickPost,hitWoodwork,attMissHighLeft,totalKeeperSweeper,errorLeadToShot,attSetpiece,attRfGoal,totalOffside,attOboxPost,attPostHigh,accurateCrossNocorner,attHdTotal,attHdMiss,accurateCornersIntobox,attIboxMiss,forwardGoals,attHdGoal,attIboxTarget,attMissLeft,attMissHighRight,freekickCross,accurateFreekickCross,bigChanceMissed,attCmissHigh,attAssistSetplay,goalsConceded,penGoalsConceded,goalsConcededIbox,errorLeadToGoal,attSvLowCentre,attMissRight,attPostLeft,sixYardBlock,ownGoals,attIboxOwnGoal,attSvHighLeft,attHdTarget,attCmissRight,attIboxPost,attOboxGoal,attPostRight,penaltySave,attPenTarget,penaltyWon,attCmissHighLeft,attGoalHighLeft,attCmissLeft,attSvHighCentre,attLgCentre,attGoalHighCentre,attFreekickGoal,goalsConcededObox,attHdPost,attObxdRight,attObxdLeft,attCmissHighRight,foulThrowIn,attPenGoal,attObpGoal,attLgLeft,goalFastbreak,secondYellow,clearanceOffLine
27,755569,2015-03-07 15:00:00,"MATRADE Loftus Road, London",17992,Away,Tottenham Hotspur,Queens Park Rangers,2,1,W,1,0,0,0,2.0,1.0,2.0,64.0,,1.0,30.0,47.0,4.0,4.0,5.0,1.0,2.0,177.0,1.0,9.0,2.0,1.0,9.0,6.0,112.0,195.0,71.0,1.0,13.0,,21.0,,,1.0,22.0,18.0,,47.0,3.0,12.0,32.0,1.0,217.0,,,0.0,190.0,12.0,1.0,,1.0,2.0,93.0,105.0,6.0,64.0,2.0,19.0,22.0,1.0,8.0,4.0,195.0,3.0,,12.0,101.0,714.0,7.0,10.0,7.0,321.0,19.0,5.0,32.0,2.0,2.0,5.0,3.0,38.0,424.0,87.0,1.0,93264,5.0,123.0,10.0,,151.0,3.0,,22.0,7.0,62.0,3.0,,6.0,1.0,10.0,5.0,1.0,,73.0,337.0,15.0,5.0,26.0,96.0,,,1.0,0.0,,4.0,3.0,5.0,2.0,5.0,0.0,2.0,,62.5,23.0,4.0,2.0,6.0,1.0,46.0,5.0,,2.0,454.0,7.0,1.0,17.0,18.0,6.0,24.0,325.0,7.0,12.0,24.0,131.0,31.0,,32.0,24.0,10.0,3.0,19.0,,12.0,5.0,1.0,,1.0,1.0,3.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,,3.0,2.0,,,1.0,2.0,1.0,4.0,2.0,,1.0,1.0,3.0,,,1.0,,,,3.0,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,
28,755582,2015-03-04 19:45:00,"White Hart Lane, London",34008,Home,Tottenham Hotspur,Swansea City,3,2,W,1,1,0,0,,2.0,3.0,58.0,1.0,,40.0,21.0,13.0,5.0,3.0,,2.0,183.0,,8.0,3.0,3.0,20.0,7.0,176.0,133.0,52.0,,20.0,9.0,16.0,,1.0,3.0,32.0,15.0,3.0,21.0,4.0,25.0,34.0,,301.0,,,0.0,187.0,14.0,2.0,1.0,1.0,2.0,82.0,96.0,16.0,96.0,1.0,28.0,9.0,,8.0,1.0,133.0,3.0,,6.0,176.0,839.0,15.0,3.0,18.0,539.0,19.0,,9.0,3.0,1.0,3.0,4.0,19.0,611.0,58.0,,93264,7.0,261.0,18.0,,273.0,5.0,,9.0,3.0,51.0,,,6.0,3.0,11.0,4.0,1.0,,57.0,554.0,7.0,6.0,5.0,81.0,1.0,1.0,,0.0,,1.0,4.0,2.0,3.0,,0.0,1.0,1.0,61.0,17.0,3.0,,6.0,9.0,57.0,6.0,,2.0,631.0,18.0,,9.0,19.0,4.0,21.0,390.0,12.0,25.0,17.0,150.0,29.0,3.0,9.0,20.0,18.0,3.0,15.0,3.0,4.0,6.0,1.0,,,,8.0,,,,1.0,1.0,3.0,,,,1.0,,,3.0,2.0,,,8.0,3.0,3.0,,3.0,,,1.0,2.0,1.0,2.0,,,,2.0,2.0,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,1.0,,
29,755589,2015-03-15 16:00:00,"Old Trafford, Manchester",75112,Away,Tottenham Hotspur,Manchester United,0,3,L,0,3,0,0,1.0,,,49.0,,1.0,29.0,21.0,3.0,1.0,,,1.0,155.0,,12.0,,2.0,2.0,1.0,125.0,154.0,54.0,,5.0,1.0,12.0,,,,11.0,18.0,,21.0,2.0,22.0,29.0,,187.0,,,0.0,90.0,10.0,,,,,58.0,69.0,1.0,67.0,,9.0,18.0,,3.0,2.0,154.0,,,7.0,129.0,681.0,2.0,7.0,15.0,365.0,13.0,7.0,13.0,,1.0,3.0,1.0,29.0,445.0,45.0,1.0,93264,1.0,208.0,5.0,,224.0,3.0,,18.0,10.0,64.0,1.0,,4.0,,15.0,4.0,9.0,,49.0,393.0,11.0,11.0,15.0,88.0,,1.0,,0.0,,1.0,4.0,,,4.0,0.0,,1.0,48.4,19.0,3.0,,4.0,2.0,54.0,2.0,,,476.0,15.0,,23.0,13.0,2.0,12.0,263.0,4.0,20.0,12.0,56.0,28.0,3.0,13.0,20.0,3.0,3.0,21.0,3.0,7.0,2.0,,,,,2.0,,1.0,,,,,,,1.0,,,1.0,,4.0,,,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,3.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,755601,2015-03-21 15:00:00,"White Hart Lane, London",35950,Home,Tottenham Hotspur,Leicester City,4,3,W,2,1,0,0,,,2.0,64.0,1.0,1.0,25.0,36.0,1.0,2.0,2.0,2.0,1.0,196.0,1.0,9.0,4.0,1.0,4.0,4.0,165.0,183.0,65.0,,10.0,,18.0,,,,18.0,21.0,,36.0,3.0,28.0,22.0,,235.0,,,0.0,124.0,8.0,,,,2.0,93.0,50.0,2.0,63.0,8.0,15.0,26.0,,4.0,1.0,183.0,2.0,,10.0,149.0,826.0,4.0,12.0,26.0,443.0,34.0,5.0,22.0,,2.0,3.0,2.0,31.0,550.0,64.0,1.0,93264,5.0,227.0,11.0,,256.0,3.0,,26.0,7.0,67.0,5.0,,8.0,1.0,15.0,4.0,2.0,3.0,68.0,460.0,9.0,10.0,31.0,98.0,,,,0.0,,2.0,4.0,1.0,4.0,1.0,0.0,,,65.8,27.0,2.0,1.0,8.0,1.0,52.0,4.0,,2.0,573.0,26.0,,22.0,8.0,5.0,13.0,335.0,8.0,24.0,23.0,81.0,18.0,4.0,22.0,24.0,8.0,3.0,19.0,4.0,16.0,5.0,2.0,,,,2.0,,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,,1.0,,,1.0,3.0,3.0,,1.0,,,,,3.0,,,3.0,,2.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,
31,755604,2015-04-05 13:30:00,"Turf Moor, Burnley",18829,Away,Tottenham Hotspur,Burnley,0,0,D,0,0,0,0,,,,62.0,2.0,1.0,36.0,32.0,10.0,3.0,4.0,,2.0,185.0,,10.0,,1.0,11.0,2.0,126.0,168.0,63.0,,12.0,1.0,33.0,,1.0,,8.0,14.0,2.0,32.0,1.0,14.0,36.0,,198.0,,1.0,0.0,106.0,5.0,2.0,3.0,,1.0,79.0,50.0,4.0,76.0,6.0,7.0,18.0,,2.0,7.0,168.0,,,10.0,150.0,750.0,11.0,13.0,20.0,404.0,26.0,9.0,21.0,,0.0,5.0,7.0,30.0,508.0,45.0,,93264,,224.0,4.0,,268.0,3.0,1.0,18.0,13.0,62.0,,,4.0,,10.0,5.0,2.0,2.0,84.0,421.0,9.0,5.0,37.0,87.0,1.0,2.0,,0.0,,3.0,5.0,2.0,,7.0,0.0,,1.0,60.0,21.0,1.0,,4.0,2.0,46.0,3.0,,1.0,537.0,20.0,,14.0,18.0,8.0,10.0,277.0,9.0,13.0,26.0,76.0,24.0,5.0,21.0,18.0,10.0,3.0,16.0,5.0,10.0,3.0,,,,,1.0,1.0,2.0,,1.0,,,,,,1.0,2.0,,,3.0,,,1.0,,,,1.0,,,,4.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
32,755620,2015-04-11 15:00:00,"White Hart Lane, London",35687,Home,Tottenham Hotspur,Aston Villa,0,1,L,0,1,0,1,,1.0,,68.0,,2.0,26.0,17.0,5.0,3.0,2.0,,2.0,171.0,,19.0,,1.0,13.0,3.0,122.0,173.0,64.0,,14.0,,21.0,,,,23.0,14.0,2.0,17.0,9.0,16.0,30.0,,203.0,1.0,,0.0,119.0,11.0,2.0,,,1.0,59.0,72.0,5.0,59.0,,14.0,11.0,,2.0,3.0,173.0,,,8.0,116.0,695.0,9.0,5.0,18.0,354.0,30.0,6.0,11.0,,3.0,2.0,8.0,24.0,445.0,54.0,,93264,4.0,169.0,11.0,,194.0,9.0,1.0,11.0,7.0,71.0,1.0,,9.0,,11.0,3.0,1.0,5.0,67.0,368.0,10.0,7.0,29.0,90.0,,2.0,1.0,0.0,,3.0,6.0,2.0,,1.0,0.0,,,57.0,21.0,,2.0,9.0,2.0,55.0,9.0,,1.0,468.0,18.0,,18.0,22.0,9.0,13.0,297.0,7.0,14.0,16.0,85.0,28.0,5.0,11.0,19.0,10.0,3.0,33.0,5.0,6.0,9.0,,,,,4.0,,3.0,,2.0,,,,,,2.0,,1.0,,5.0,,,1.0,3.0,3.0,3.0,6.0,,,1.0,,3.0,1.0,,,1.0,4.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,755631,2015-04-19 16:00:00,"St. James' Park, Newcastle",47427,Away,Tottenham Hotspur,Newcastle United,3,1,W,1,0,0,0,,2.0,1.0,68.0,1.0,2.0,28.0,20.0,6.0,7.0,4.0,1.0,3.0,204.0,,13.0,3.0,2.0,9.0,8.0,137.0,180.0,54.0,2.0,14.0,1.0,12.0,1.0,1.0,2.0,10.0,16.0,2.0,20.0,3.0,16.0,34.0,2.0,226.0,,,0.0,114.0,13.0,,2.0,1.0,2.0,47.0,78.0,7.0,75.0,,7.0,25.0,2.0,,2.0,180.0,4.0,1.0,7.0,128.0,780.0,6.0,5.0,14.0,430.0,21.0,3.0,13.0,2.0,4.0,3.0,2.0,27.0,520.0,57.0,2.0,93264,4.0,224.0,7.0,,251.0,8.0,,25.0,9.0,83.0,3.0,,5.0,2.0,15.0,4.0,6.0,2.0,59.0,447.0,9.0,13.0,21.0,82.0,1.0,,,0.0,1.0,3.0,4.0,3.0,1.0,2.0,0.0,1.0,2.0,61.1,19.0,1.0,1.0,5.0,3.0,48.0,3.0,,2.0,544.0,14.0,,34.0,21.0,3.0,12.0,303.0,6.0,15.0,11.0,73.0,37.0,6.0,13.0,21.0,11.0,3.0,24.0,6.0,8.0,3.0,1.0,2.0,,,3.0,,,,,,2.0,,,1.0,,,,2.0,5.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,3.0,,,,,3.0,1.0,1.0,1.0,,1.0,,4.0,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,
34,755640,2015-04-25 12:45:00,"St. Mary's Stadium, Southampton",31622,Away,Tottenham Hotspur,Southampton,2,2,D,1,1,0,0,,,,50.0,,2.0,38.0,32.0,3.0,1.0,2.0,,,171.0,,6.0,2.0,2.0,7.0,2.0,187.0,150.0,52.0,,7.0,1.0,15.0,,,2.0,16.0,15.0,,32.0,3.0,26.0,33.0,,257.0,,,0.0,139.0,10.0,1.0,1.0,,3.0,81.0,80.0,5.0,82.0,1.0,13.0,19.0,,7.0,2.0,150.0,,,10.0,163.0,789.0,4.0,13.0,16.0,476.0,19.0,5.0,18.0,2.0,3.0,2.0,2.0,23.0,575.0,57.0,,93264,3.0,244.0,5.0,,274.0,8.0,1.0,19.0,9.0,44.0,1.0,,6.0,2.0,7.0,3.0,7.0,,70.0,497.0,9.0,4.0,20.0,80.0,,,1.0,0.0,,4.0,8.0,2.0,2.0,4.0,0.0,2.0,,63.8,19.0,2.0,,6.0,3.0,48.0,3.0,,4.0,603.0,16.0,,11.0,16.0,2.0,18.0,345.0,4.0,23.0,17.0,93.0,20.0,2.0,18.0,20.0,6.0,3.0,10.0,2.0,7.0,3.0,1.0,1.0,,,4.0,,,,1.0,,2.0,,,1.0,1.0,,,1.0,2.0,,,3.0,,,1.0,,,,,,1.0,1.0,,,,1.0,2.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
35,755651,2015-05-03 16:00:00,"White Hart Lane, London",35784,Home,Tottenham Hotspur,Manchester City,0,1,L,0,1,0,0,,2.0,,61.0,2.0,3.0,36.0,33.0,8.0,5.0,3.0,,3.0,161.0,,13.0,,3.0,19.0,5.0,160.0,165.0,58.0,1.0,21.0,2.0,13.0,,,,23.0,18.0,1.0,33.0,8.0,18.0,43.0,,215.0,,,0.0,136.0,6.0,3.0,,,,69.0,73.0,9.0,58.0,1.0,15.0,21.0,1.0,7.0,5.0,165.0,3.0,,10.0,109.0,728.0,12.0,7.0,18.0,360.0,27.0,4.0,21.0,,3.0,5.0,10.0,31.0,463.0,64.0,,93264,9.0,178.0,7.0,,198.0,4.0,,21.0,12.0,48.0,,,5.0,,17.0,5.0,11.0,1.0,69.0,383.0,11.0,14.0,17.0,87.0,,,2.0,0.0,,4.0,7.0,1.0,,4.0,0.0,,,55.0,23.0,3.0,1.0,5.0,5.0,53.0,8.0,,,488.0,18.0,,10.0,16.0,11.0,23.0,313.0,11.0,16.0,15.0,84.0,24.0,3.0,21.0,20.0,13.0,3.0,19.0,3.0,11.0,8.0,,,,,10.0,,2.0,,1.0,,,,,,2.0,,1.0,,2.0,,,6.0,5.0,5.0,4.0,6.0,,,4.0,6.0,1.0,1.0,1.0,3.0,,7.0,1.0,,1.0,,4.0,3.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
36,755662,2015-05-09 15:00:00,"bet365 Stadium, Stoke",27104,Away,Tottenham Hotspur,Stoke City,0,3,L,0,2,1,0,2.0,,,47.0,3.0,2.0,19.0,36.0,5.0,1.0,6.0,,2.0,157.0,,10.0,,4.0,6.0,3.0,121.0,145.0,44.0,1.0,9.0,1.0,10.0,,,,20.0,9.0,2.0,36.0,6.0,19.0,28.0,,238.0,,,0.0,131.0,12.0,4.0,,,1.0,54.0,62.0,5.0,54.0,4.0,14.0,9.0,1.0,3.0,2.0,145.0,,,11.0,99.0,646.0,5.0,2.0,22.0,322.0,12.0,7.0,20.0,,0.0,4.0,1.0,29.0,398.0,64.0,,93264,2.0,107.0,9.0,,128.0,4.0,,9.0,7.0,40.0,,,8.0,,12.0,6.0,4.0,1.0,48.0,343.0,13.0,5.0,20.0,71.0,,1.0,1.0,0.0,,3.0,6.0,3.0,,1.0,1.0,,1.0,55.0,21.0,1.0,1.0,8.0,3.0,43.0,8.0,,1.0,431.0,22.0,1.0,11.0,12.0,3.0,31.0,323.0,6.0,16.0,13.0,87.0,20.0,3.0,20.0,11.0,6.0,2.0,14.0,3.0,2.0,8.0,,,,,2.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,2.0,1.0,,,1.0,1.0,,2.0,,,,1.0,3.0,,3.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,
37,755670,2015-05-16 15:00:00,"White Hart Lane, London",35857,Home,Tottenham Hotspur,Hull City,2,0,W,0,0,0,0,,,2.0,60.0,,1.0,37.0,34.0,4.0,3.0,1.0,,1.0,174.0,1.0,7.0,2.0,2.0,9.0,3.0,133.0,143.0,47.0,,10.0,3.0,18.0,,,2.0,17.0,14.0,,34.0,4.0,18.0,30.0,1.0,234.0,,1.0,0.0,142.0,10.0,,,1.0,1.0,63.0,81.0,6.0,68.0,4.0,13.0,8.0,,5.0,1.0,143.0,2.0,,12.0,149.0,706.0,6.0,6.0,20.0,416.0,20.0,9.0,19.0,2.0,3.0,4.0,3.0,19.0,496.0,64.0,2.0,93264,3.0,196.0,6.0,,215.0,8.0,1.0,8.0,13.0,50.0,2.0,1.0,7.0,2.0,7.0,2.0,3.0,,73.0,429.0,6.0,4.0,22.0,91.0,,,3.0,0.0,,2.0,8.0,2.0,2.0,1.0,0.0,2.0,,55.7,15.0,1.0,,7.0,4.0,60.0,6.0,,1.0,524.0,20.0,,13.0,15.0,3.0,26.0,326.0,6.0,16.0,16.0,96.0,27.0,3.0,19.0,18.0,9.0,3.0,13.0,3.0,5.0,6.0,,,,,1.0,1.0,2.0,,3.0,1.0,1.0,,,,3.0,2.0,,2.0,,,,,1.0,1.0,1.0,2.0,,,1.0,2.0,,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
38,755677,2015-05-24 15:00:00,"Goodison Park, Liverpool",39365,Away,Tottenham Hotspur,Everton,1,0,W,1,0,0,0,1.0,,1.0,65.0,,4.0,28.0,21.0,7.0,4.0,1.0,,2.0,198.0,,12.0,1.0,1.0,14.0,3.0,173.0,156.0,58.0,,16.0,5.0,15.0,,,1.0,18.0,10.0,,21.0,5.0,36.0,31.0,,305.0,,1.0,0.0,179.0,8.0,1.0,,,3.0,97.0,59.0,10.0,89.0,1.0,13.0,25.0,,8.0,2.0,156.0,2.0,,8.0,164.0,826.0,12.0,7.0,22.0,507.0,24.0,8.0,14.0,1.0,2.0,2.0,4.0,21.0,597.0,75.0,,93264,7.0,221.0,5.0,,244.0,3.0,,25.0,8.0,48.0,2.0,,5.0,1.0,9.0,1.0,3.0,,77.0,521.0,11.0,11.0,35.0,100.0,,,1.0,0.0,,4.0,3.0,1.0,1.0,5.0,0.0,1.0,2.0,59.6,14.0,6.0,2.0,5.0,9.0,56.0,5.0,,3.0,624.0,22.0,,10.0,14.0,4.0,34.0,398.0,9.0,35.0,20.0,133.0,25.0,2.0,14.0,15.0,14.0,3.0,17.0,2.0,15.0,5.0,1.0,,,,5.0,,,,3.0,,,,,,3.0,,,,4.0,,,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,
