gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attFreekickTotal,postScoringAtt,cleanSheet,divingSave,attFreekickPost,freekickTotal,attPostLeft,totalPullBack,attMissHigh,attAssistSetplay,attOboxPost,shieldBallOop,accurateCornersIntobox,goalsConcededObox,handBall,attGoalLowLeft,goalAssistSetplay,attLfGoal,midfielderGoals,attHdTarget,accurateFreekickCross,sixYardBlock,attSetpiece,attGoalHighLeft,attSvLowRight,punches,forwardGoals,attGoalLowRight,attGoalLowCentre,attMissLeft,attOneOnOne,contentiousDecision,attCmissHighRight,attObxRight,attHdGoal,accurateThroughBall,attCmissHigh,attCmissHighLeft,attFreekickTarget,clearanceOffLine,attIboxPost,attSvHighRight,attCmissLeft,attFreekickMiss,accuratePullBack,attObxLeft,attOboxGoal,attGoalHighCentre,attHdPost,attPostHigh,attLgCentre,totalFastbreak,attObxdRight,errorLeadToGoal,shotFastbreak,errorLeadToShot,attFastbreak,attPenTarget,penaltyWon,attObpGoal,goalAssistDeadball,foulThrowIn,secondYellow,attPostRight,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,attObxdLeft,attPenGoal,penaltyConceded,penaltyFaced,penGoalsConceded
28,755577,2015-03-03 19:45:00,"St. Mary's Stadium, Southampton",28351,Home,Southampton,Crystal Palace,1,0,W,0,0,0,0,1.0,1.0,76.0,1.0,3.0,37.0,29.0,11.0,6.0,3.0,1.0,189.0,5.0,15.0,1.0,2.0,14.0,,3.0,101.0,182.0,77.0,23.0,5.0,26.0,1.0,,,,,33.0,22.0,,1.0,29.0,9.0,14.0,33.0,243.0,2.0,0.0,198.0,11.0,1.0,2.0,2.0,65.0,76.0,6.0,79.0,,1.0,24.0,28.0,10.0,5.0,182.0,1.0,6.0,122.0,752.0,12.0,16.0,,14.0,373.0,26.0,2.0,19.0,11.0,,,0.0,1.0,8.0,37.0,478.0,74.0,84395,7.0,143.0,1.0,12.0,167.0,4.0,1.0,28.0,4.0,69.0,,,,4.0,1.0,11.0,3.0,1.0,67.0,381.0,10.0,10.0,33.0,79.0,0.0,4.0,2.0,2.0,1.0,,3.0,0.0,4.0,,2.0,62.2,31.0,2.0,8.0,2.0,,4.0,8.0,49.0,10.0,3.0,491.0,14.0,10.0,16.0,12.0,23.0,7.0,357.0,15.0,13.0,27.0,137.0,35.0,4.0,11.0,25.0,,15.0,3.0,28.0,4.0,15.0,10.0,1.0,,1.0,2.0,,1.0,,,3.0,2.0,,,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,1.0,4.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,755585,2015-03-15 13:30:00,"Stamford Bridge, London",41624,Away,Southampton,Chelsea,1,1,D,1,1,0,0,2.0,1.0,76.0,2.0,3.0,29.0,47.0,3.0,8.0,6.0,2.0,162.0,1.0,14.0,1.0,4.0,12.0,,5.0,75.0,150.0,72.0,12.0,1.0,29.0,2.0,,,,,13.0,28.0,,2.0,47.0,2.0,13.0,43.0,155.0,,0.0,116.0,11.0,1.0,2.0,,43.0,57.0,8.0,68.0,3.0,1.0,11.0,27.0,1.0,,150.0,2.0,18.0,88.0,656.0,10.0,13.0,,34.0,279.0,35.0,2.0,4.0,18.0,,,3.0,6.0,3.0,18.0,371.0,56.0,84395,7.0,139.0,2.0,8.0,156.0,9.0,,27.0,8.0,69.0,6.0,,4.0,3.0,,15.0,4.0,4.0,72.0,293.0,10.0,15.0,31.0,86.0,0.0,3.0,9.0,4.0,1.0,1.0,6.0,0.0,,,,39.1,16.0,,3.0,2.0,,3.0,4.0,40.0,2.0,,393.0,34.0,7.0,26.0,3.0,14.0,3.0,250.0,4.0,10.0,17.0,73.0,31.0,5.0,18.0,32.0,1.0,8.0,3.0,21.0,5.0,17.0,2.0,1.0,,,4.0,,1.0,,2.0,,1.0,,,1.0,,,,,1.0,1.0,,,,1.0,,2.0,1.0,,,1.0,,,1.0,,,,2.0,,,1.0,,,1.0,,,2.0,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,
30,755599,2015-03-21 15:00:00,"St. Mary's Stadium, Southampton",30864,Home,Southampton,Burnley,2,0,W,1,0,0,0,,,52.0,,4.0,45.0,16.0,7.0,3.0,3.0,,207.0,11.0,11.0,2.0,2.0,13.0,,3.0,132.0,150.0,45.0,20.0,4.0,17.0,2.0,2.0,,,,29.0,8.0,,,16.0,8.0,9.0,31.0,223.0,1.0,0.0,151.0,10.0,,,1.0,74.0,49.0,9.0,85.0,3.0,,22.0,17.0,4.0,3.0,150.0,,9.0,130.0,725.0,11.0,17.0,2.0,9.0,429.0,22.0,,12.0,9.0,,,0.0,3.0,4.0,22.0,528.0,51.0,84395,7.0,237.0,1.0,18.0,269.0,7.0,,17.0,14.0,42.0,,,1.0,2.0,1.0,11.0,6.0,9.0,83.0,449.0,7.0,3.0,34.0,91.0,0.0,,5.0,3.0,2.0,,6.0,0.0,9.0,,5.0,60.2,19.0,3.0,5.0,,2.0,2.0,8.0,58.0,10.0,2.0,554.0,9.0,6.0,17.0,9.0,17.0,5.0,314.0,11.0,8.0,17.0,108.0,19.0,3.0,9.0,10.0,,13.0,2.0,17.0,3.0,6.0,10.0,1.0,1.0,1.0,2.0,,1.0,,3.0,2.0,2.0,,1.0,3.0,,,,,1.0,1.0,2.0,,2.0,1.0,,,,,,,5.0,,,,,,,1.0,,,,1.0,,2.0,1.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
31,755607,2015-04-04 15:00:00,"Goodison Park, Liverpool",39390,Away,Southampton,Everton,0,1,L,0,1,0,0,,,59.0,,,35.0,25.0,6.0,3.0,,2.0,187.0,7.0,9.0,,1.0,9.0,1.0,2.0,100.0,155.0,64.0,11.0,2.0,18.0,1.0,,,,1.0,31.0,21.0,,1.0,25.0,9.0,20.0,31.0,236.0,,0.0,165.0,17.0,,,,53.0,56.0,4.0,70.0,,4.0,22.0,22.0,6.0,3.0,155.0,,6.0,98.0,681.0,7.0,20.0,,23.0,345.0,21.0,1.0,14.0,11.0,,,1.0,4.0,5.0,30.0,434.0,74.0,80447,5.0,133.0,,16.0,151.0,5.0,,22.0,7.0,55.0,1.0,,2.0,1.0,,19.0,4.0,4.0,68.0,362.0,11.0,9.0,37.0,82.0,0.0,,5.0,,,1.0,10.0,0.0,4.0,,1.0,54.9,28.0,1.0,3.0,,,1.0,2.0,51.0,10.0,,455.0,23.0,13.0,19.0,7.0,23.0,4.0,335.0,6.0,18.0,21.0,121.0,31.0,1.0,11.0,23.0,1.0,6.0,3.0,11.0,1.0,10.0,10.0,1.0,,,,,1.0,,1.0,1.0,2.0,,,3.0,,2.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,755617,2015-04-11 15:00:00,"St. Mary's Stadium, Southampton",30359,Home,Southampton,Hull City,2,0,W,0,0,0,0,1.0,2.0,76.0,1.0,1.0,57.0,27.0,2.0,5.0,3.0,1.0,212.0,2.0,4.0,2.0,2.0,4.0,,4.0,128.0,155.0,53.0,9.0,1.0,20.0,1.0,,1.0,1.0,2.0,18.0,16.0,1.0,1.0,27.0,2.0,21.0,46.0,192.0,,0.0,137.0,7.0,,,1.0,50.0,48.0,2.0,96.0,1.0,2.0,16.0,12.0,5.0,,155.0,2.0,8.0,114.0,742.0,3.0,12.0,,21.0,433.0,40.0,,26.0,16.0,1.0,1.0,2.0,6.0,2.0,13.0,526.0,80.0,80447,6.0,256.0,2.0,11.0,280.0,3.0,1.0,12.0,13.0,53.0,,,2.0,7.0,1.0,13.0,7.0,5.0,102.0,446.0,11.0,6.0,44.0,97.0,0.0,,5.0,3.0,2.0,,7.0,0.0,2.0,1.0,,54.0,13.0,,5.0,1.0,,7.0,2.0,54.0,2.0,1.0,550.0,21.0,15.0,23.0,3.0,18.0,3.0,288.0,4.0,17.0,19.0,90.0,23.0,2.0,16.0,19.0,,7.0,3.0,9.0,2.0,8.0,2.0,1.0,,1.0,2.0,,1.0,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,
33,755632,2015-04-18 15:00:00,"bet365 Stadium, Stoke",26467,Away,Southampton,Stoke City,1,2,L,1,0,0,0,1.0,1.0,60.0,,,33.0,29.0,5.0,2.0,,2.0,194.0,2.0,4.0,1.0,,11.0,1.0,6.0,90.0,172.0,65.0,12.0,3.0,19.0,4.0,2.0,,,3.0,16.0,23.0,,1.0,29.0,4.0,13.0,54.0,162.0,1.0,0.0,123.0,17.0,2.0,1.0,,50.0,71.0,9.0,73.0,1.0,1.0,12.0,15.0,3.0,1.0,172.0,1.0,9.0,90.0,653.0,8.0,10.0,,7.0,310.0,19.0,,6.0,13.0,1.0,,4.0,4.0,2.0,32.0,414.0,78.0,84395,4.0,171.0,,8.0,195.0,8.0,1.0,15.0,10.0,53.0,,,2.0,4.0,,21.0,6.0,2.0,85.0,331.0,16.0,7.0,25.0,100.0,0.0,2.0,2.0,,1.0,2.0,4.0,0.0,,,2.0,51.7,29.0,,2.0,,,4.0,3.0,42.0,5.0,,447.0,7.0,13.0,19.0,3.0,17.0,2.0,268.0,8.0,10.0,20.0,66.0,35.0,3.0,13.0,25.0,2.0,9.0,3.0,5.0,3.0,9.0,5.0,,,,,,,,,,2.0,,1.0,2.0,,2.0,1.0,1.0,,1.0,2.0,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
34,755640,2015-04-25 12:45:00,"St. Mary's Stadium, Southampton",31622,Home,Southampton,Tottenham Hotspur,2,2,D,1,1,0,0,,1.0,51.0,,1.0,22.0,24.0,2.0,1.0,,1.0,146.0,7.0,4.0,2.0,2.0,11.0,,4.0,73.0,139.0,44.0,13.0,1.0,17.0,2.0,,1.0,1.0,1.0,27.0,13.0,,,24.0,7.0,6.0,35.0,124.0,2.0,0.0,98.0,9.0,,2.0,1.0,38.0,43.0,5.0,43.0,,2.0,20.0,19.0,6.0,2.0,139.0,1.0,4.0,63.0,532.0,5.0,10.0,1.0,24.0,232.0,22.0,,4.0,11.0,1.0,1.0,1.0,3.0,6.0,26.0,307.0,60.0,84395,8.0,126.0,1.0,12.0,146.0,7.0,,19.0,4.0,52.0,,,5.0,3.0,2.0,7.0,3.0,2.0,61.0,243.0,10.0,6.0,28.0,68.0,0.0,2.0,3.0,,2.0,2.0,4.0,0.0,4.0,1.0,4.0,36.2,23.0,1.0,5.0,1.0,,3.0,2.0,35.0,8.0,1.0,325.0,24.0,13.0,18.0,7.0,15.0,4.0,206.0,7.0,4.0,15.0,60.0,20.0,2.0,11.0,15.0,2.0,8.0,3.0,11.0,2.0,12.0,8.0,,1.0,,,,,,,,5.0,,,3.0,,,,,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,,1.0,2.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
35,755649,2015-05-02 15:00:00,"Stadium of Light, Sunderland",39613,Away,Southampton,Sunderland,1,2,L,1,1,1,0,,1.0,76.0,1.0,3.0,34.0,12.0,5.0,2.0,4.0,1.0,190.0,3.0,14.0,1.0,2.0,4.0,,2.0,102.0,162.0,57.0,11.0,,14.0,1.0,,,,,16.0,16.0,,,12.0,1.0,10.0,37.0,206.0,1.0,0.0,144.0,13.0,,5.0,2.0,83.0,45.0,2.0,76.0,2.0,4.0,15.0,26.0,3.0,5.0,162.0,,9.0,113.0,673.0,4.0,10.0,,14.0,358.0,23.0,,8.0,9.0,,,2.0,2.0,2.0,18.0,460.0,66.0,84395,6.0,168.0,,7.0,192.0,8.0,1.0,26.0,7.0,55.0,2.0,,3.0,5.0,1.0,13.0,3.0,3.0,77.0,371.0,12.0,10.0,29.0,85.0,0.0,,1.0,3.0,1.0,2.0,3.0,1.0,3.0,,1.0,56.3,14.0,1.0,3.0,,,5.0,3.0,55.0,1.0,2.0,481.0,14.0,15.0,16.0,6.0,26.0,1.0,305.0,8.0,8.0,12.0,91.0,42.0,2.0,9.0,20.0,2.0,8.0,3.0,18.0,2.0,10.0,1.0,,,,2.0,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0
36,755659,2015-05-09 15:00:00,"King Power Stadium, Leicester",31939,Away,Southampton,Leicester City,0,2,L,0,2,0,0,,,65.0,,2.0,36.0,15.0,6.0,1.0,1.0,3.0,206.0,2.0,14.0,,4.0,8.0,,3.0,163.0,188.0,66.0,10.0,2.0,21.0,,3.0,,,,30.0,15.0,,3.0,15.0,8.0,5.0,28.0,253.0,,0.0,185.0,10.0,,2.0,1.0,56.0,86.0,5.0,72.0,2.0,1.0,22.0,16.0,8.0,1.0,188.0,,9.0,144.0,789.0,8.0,13.0,,14.0,442.0,30.0,,12.0,9.0,,,0.0,1.0,3.0,34.0,560.0,79.0,84395,,211.0,,12.0,252.0,3.0,,16.0,12.0,60.0,2.0,,1.0,4.0,,11.0,1.0,10.0,83.0,462.0,12.0,9.0,43.0,84.0,0.0,1.0,4.0,1.0,,2.0,3.0,0.0,2.0,,1.0,69.2,31.0,1.0,3.0,,3.0,4.0,4.0,55.0,8.0,1.0,585.0,14.0,14.0,13.0,3.0,33.0,2.0,363.0,8.0,4.0,23.0,129.0,27.0,3.0,9.0,18.0,1.0,8.0,2.0,21.0,3.0,3.0,8.0,1.0,,,1.0,,1.0,,1.0,1.0,,,2.0,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
37,755667,2015-05-16 12:45:00,"St. Mary's Stadium, Southampton",31636,Home,Southampton,Aston Villa,6,1,W,5,1,0,0,1.0,4.0,48.0,1.0,2.0,28.0,29.0,2.0,3.0,3.0,3.0,128.0,5.0,6.0,6.0,2.0,13.0,1.0,11.0,61.0,106.0,37.0,18.0,1.0,15.0,5.0,1.0,,3.0,3.0,21.0,8.0,2.0,,29.0,4.0,6.0,27.0,123.0,1.0,0.0,111.0,19.0,1.0,2.0,2.0,33.0,51.0,11.0,51.0,3.0,3.0,17.0,11.0,4.0,,106.0,6.0,6.0,55.0,460.0,9.0,10.0,,19.0,208.0,19.0,,11.0,20.0,3.0,,1.0,1.0,2.0,16.0,275.0,63.0,84395,11.0,104.0,4.0,11.0,113.0,12.0,5.0,11.0,9.0,50.0,4.0,,3.0,5.0,6.0,3.0,3.0,4.0,65.0,222.0,7.0,10.0,31.0,66.0,0.0,1.0,3.0,2.0,5.0,1.0,6.0,0.0,3.0,2.0,1.0,35.6,13.0,,3.0,1.0,1.0,5.0,3.0,33.0,6.0,2.0,295.0,19.0,4.0,14.0,4.0,17.0,4.0,203.0,14.0,4.0,14.0,68.0,17.0,2.0,20.0,10.0,1.0,16.0,3.0,9.0,2.0,7.0,6.0,,,,2.0,,,,1.0,,1.0,,1.0,2.0,,1.0,,,1.0,5.0,1.0,,,,,,1.0,1.0,,2.0,,2.0,1.0,,,,4.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,755680,2015-05-24 15:00:00,"Etihad Stadium, Manchester",45919,Away,Southampton,Manchester City,0,2,L,0,1,0,0,1.0,,56.0,1.0,,31.0,16.0,5.0,5.0,5.0,2.0,162.0,6.0,19.0,,4.0,8.0,,4.0,86.0,145.0,60.0,13.0,3.0,18.0,3.0,,,,1.0,23.0,17.0,,1.0,16.0,4.0,15.0,30.0,184.0,,0.0,121.0,8.0,1.0,4.0,,54.0,49.0,4.0,53.0,3.0,2.0,19.0,11.0,6.0,1.0,145.0,1.0,10.0,92.0,602.0,7.0,8.0,,19.0,287.0,26.0,,10.0,5.0,,,1.0,2.0,4.0,18.0,371.0,58.0,84395,6.0,128.0,1.0,9.0,141.0,1.0,,11.0,10.0,53.0,,,7.0,1.0,,13.0,5.0,8.0,63.0,306.0,12.0,12.0,27.0,88.0,0.0,3.0,8.0,3.0,,2.0,6.0,0.0,6.0,,2.0,45.5,16.0,1.0,3.0,2.0,1.0,1.0,3.0,56.0,4.0,,393.0,19.0,11.0,15.0,6.0,34.0,5.0,275.0,5.0,10.0,10.0,73.0,25.0,6.0,5.0,21.0,2.0,12.0,2.0,24.0,6.0,7.0,4.0,,,,3.0,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
