gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,penaltySave,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowCentre,attBxRight,attOboxMiss,attSetpiece,attRfGoal,goalsOpenplay,attMissHigh,goalsConceded,forwardGoals,goalsConcededIbox,attRfTarget,accurateFreekickCross,errorLeadToShot,attCmissHigh,attSvHighCentre,goalsConcededObox,attGoalLowRight,postScoringAtt,goalAssistOpenplay,attMissLeft,attGoalHighRight,midfielderGoals,attSvLowLeft,hitWoodwork,attOboxPost,attPostHigh,attLfGoal,accuratePullBack,attOboxGoal,attLgCentre,totalPullBack,attGoalHighLeft,attCmissLeft,shieldBallOop,penaltyWon,attHdTarget,attPenGoal,attCmissRight,goalFastbreak,attMissHighLeft,errorLeadToGoal,accurateThroughBall,totalThroughBall,attSvHighLeft,attCmissHighLeft,attIboxPost,attCmissHighRight,foulThrowIn,attFreekickMiss,attSvHighRight,sixYardBlock,attHdPost,attPostRight,attGoalHighCentre,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,secondYellow,penGoalsConceded,attLgRight,attFreekickPost,attObxdLeft
28,755574,2015-03-03 19:45:00,"The MKM Stadium, Hull",23017,Home,Hull City,Sunderland,1,1,D,1,0,0,0,1.0,,,60.0,1.0,2.0,1.0,1.0,1.0,35.0,29.0,3.0,1.0,2.0,144.0,12.0,8.0,1.0,3.0,13.0,5.0,59.0,151.0,53.0,,14.0,,18.0,4.0,1.0,,1.0,34.0,11.0,,29.0,5.0,12.0,39.0,,149.0,2.0,,0.0,135.0,9.0,1.0,1.0,3.0,1.0,57.0,56.0,6.0,49.0,1.0,1.0,29.0,9.0,,8.0,151.0,1.0,2.0,5.0,65.0,518.0,,12.0,7.0,13.0,214.0,25.0,11.0,13.0,1.0,,2.0,2.0,7.0,23.0,296.0,69.0,78091,7.0,86.0,1.0,18.0,,101.0,5.0,9.0,3.0,49.0,,2.0,3.0,12.0,4.0,1.0,78.0,223.0,14.0,10.0,,35.0,83.0,1.0,,,0.0,,2.0,4.0,,1.0,5.0,0.0,8.0,1.0,4.0,41.5,18.0,2.0,1.0,2.0,3.0,1.0,,32.0,6.0,,1.0,317.0,13.0,8.0,17.0,8.0,20.0,4.0,5.0,250.0,9.0,10.0,14.0,82.0,26.0,2.0,13.0,17.0,,8.0,1.0,14.0,2.0,4.0,6.0,,,1.0,3.0,3.0,1.0,,3.0,1.0,1.0,1.0,2.0,2.0,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,2.0,,,,,2.0,,1.0,,1.0,,,,,,,1.0,,,2.0,,,,,,,,,,,,,
29,755588,2015-03-14 15:00:00,"King Power Stadium, Leicester",31456,Away,Hull City,Leicester City,0,0,D,0,0,1,0,1.0,,,45.0,,1.0,1.0,,,27.0,35.0,4.0,2.0,3.0,180.0,6.0,5.0,,3.0,12.0,5.0,66.0,171.0,63.0,,12.0,1.0,30.0,4.0,,,3.0,21.0,13.0,1.0,35.0,5.0,10.0,26.0,,143.0,,1.0,0.0,121.0,15.0,,,1.0,1.0,49.0,55.0,7.0,65.0,2.0,1.0,16.0,17.0,,3.0,171.0,2.0,,7.0,74.0,580.0,,9.0,7.0,15.0,252.0,18.0,5.0,19.0,,,4.0,3.0,5.0,24.0,357.0,74.0,78091,4.0,128.0,2.0,12.0,,151.0,9.0,17.0,13.0,75.0,,,,9.0,7.0,4.0,88.0,265.0,8.0,10.0,3.0,35.0,99.0,,1.0,2.0,0.0,,1.0,7.0,2.0,,2.0,1.0,4.0,,3.0,48.7,20.0,2.0,3.0,2.0,,2.0,,40.0,5.0,,1.0,385.0,15.0,19.0,8.0,5.0,22.0,2.0,3.0,255.0,7.0,10.0,34.0,62.0,17.0,2.0,19.0,17.0,,8.0,3.0,8.0,2.0,6.0,5.0,,,2.0,2.0,2.0,,,2.0,,,,4.0,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,,
30,755594,2015-03-22 16:00:00,"The MKM Stadium, Hull",24598,Home,Hull City,Chelsea,2,3,L,2,2,0,0,,,2.0,51.0,,,1.0,,,32.0,25.0,8.0,9.0,,176.0,5.0,8.0,2.0,4.0,11.0,8.0,98.0,170.0,73.0,2.0,19.0,1.0,27.0,4.0,,,2.0,16.0,20.0,2.0,25.0,6.0,9.0,49.0,1.0,154.0,2.0,,0.0,114.0,14.0,,,1.0,,46.0,59.0,4.0,45.0,2.0,4.0,10.0,13.0,2.0,1.0,170.0,1.0,,6.0,88.0,597.0,,8.0,9.0,8.0,284.0,23.0,7.0,16.0,1.0,,0.0,3.0,7.0,19.0,391.0,76.0,90517,8.0,141.0,1.0,8.0,,164.0,7.0,13.0,3.0,66.0,,5.0,,9.0,2.0,,80.0,290.0,10.0,5.0,2.0,35.0,92.0,,1.0,,0.0,1.0,3.0,6.0,,2.0,1.0,0.0,3.0,1.0,2.0,42.9,15.0,1.0,1.0,1.0,,2.0,,42.0,6.0,,,407.0,8.0,17.0,23.0,9.0,19.0,2.0,4.0,259.0,8.0,8.0,30.0,59.0,25.0,3.0,16.0,26.0,,11.0,3.0,12.0,3.0,7.0,6.0,1.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,,,,1.0,1.0,,,1.0,,,1.0,2.0,,,,1.0,,,,,,,1.0,,1.0,,,,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,
31,755611,2015-04-04 15:00:00,"Swansea.com Stadium, Swansea",20333,Away,Hull City,Swansea City,1,3,L,0,2,1,0,,,,48.0,,1.0,3.0,1.0,,32.0,17.0,5.0,4.0,1.0,158.0,5.0,11.0,1.0,1.0,8.0,1.0,111.0,142.0,50.0,,10.0,2.0,17.0,,,,,25.0,11.0,,17.0,7.0,4.0,35.0,,171.0,,,0.0,108.0,14.0,1.0,,,1.0,56.0,61.0,5.0,50.0,1.0,,18.0,13.0,,9.0,142.0,1.0,,4.0,114.0,611.0,,6.0,11.0,14.0,332.0,23.0,5.0,9.0,1.0,,5.0,1.0,3.0,19.0,410.0,56.0,90517,2.0,180.0,,9.0,,197.0,10.0,13.0,5.0,50.0,1.0,1.0,3.0,12.0,5.0,2.0,62.0,346.0,11.0,4.0,1.0,18.0,83.0,,,,0.0,,1.0,4.0,,1.0,5.0,1.0,1.0,,,41.6,15.0,,1.0,,3.0,5.0,,45.0,7.0,,1.0,433.0,14.0,16.0,16.0,4.0,14.0,4.0,1.0,261.0,5.0,4.0,12.0,68.0,20.0,3.0,9.0,16.0,,6.0,3.0,12.0,3.0,7.0,7.0,1.0,1.0,1.0,3.0,2.0,,,,3.0,,3.0,,,,,,,,,,2.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,2.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,
32,755617,2015-04-11 15:00:00,"St. Mary's Stadium, Southampton",30359,Away,Hull City,Southampton,0,2,L,0,0,0,0,,,1.0,71.0,,1.0,2.0,,,34.0,24.0,6.0,5.0,2.0,177.0,5.0,6.0,,2.0,12.0,4.0,114.0,161.0,53.0,1.0,15.0,3.0,19.0,3.0,,,2.0,23.0,15.0,1.0,24.0,5.0,21.0,44.0,,181.0,2.0,,0.0,125.0,11.0,2.0,,,3.0,54.0,87.0,7.0,70.0,1.0,1.0,18.0,13.0,1.0,8.0,161.0,,,7.0,102.0,648.0,,10.0,9.0,18.0,342.0,30.0,5.0,13.0,,,0.0,2.0,5.0,19.0,445.0,77.0,90517,5.0,178.0,,10.0,1.0,199.0,5.0,13.0,4.0,53.0,,,4.0,8.0,2.0,3.0,75.0,354.0,7.0,4.0,2.0,29.0,89.0,,,,0.0,,3.0,2.0,1.0,,3.0,0.0,1.0,,2.0,46.0,15.0,1.0,1.0,2.0,4.0,5.0,,47.0,5.0,1.0,3.0,463.0,18.0,13.0,22.0,6.0,18.0,4.0,3.0,287.0,8.0,20.0,20.0,70.0,31.0,4.0,13.0,20.0,,11.0,3.0,12.0,4.0,5.0,5.0,,,1.0,3.0,,,,1.0,2.0,,2.0,2.0,,,,1.0,,,,,1.0,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,3.0,,,,,,1.0,,,,,,,,,,,1.0,,,
33,755628,2015-04-28 19:45:00,"The MKM Stadium, Hull",24843,Home,Hull City,Liverpool,1,0,W,1,0,0,0,,,,64.0,1.0,4.0,,1.0,,19.0,22.0,3.0,1.0,9.0,123.0,7.0,4.0,1.0,3.0,6.0,4.0,35.0,153.0,57.0,,7.0,1.0,15.0,3.0,,,1.0,19.0,17.0,,22.0,5.0,6.0,31.0,,112.0,,1.0,0.0,93.0,10.0,2.0,,2.0,3.0,62.0,59.0,4.0,39.0,3.0,1.0,14.0,15.0,,6.0,153.0,2.0,,6.0,63.0,467.0,,4.0,10.0,19.0,157.0,31.0,3.0,10.0,1.0,,2.0,1.0,2.0,23.0,232.0,52.0,90517,4.0,63.0,1.0,6.0,,80.0,7.0,15.0,6.0,66.0,1.0,1.0,1.0,11.0,6.0,3.0,60.0,168.0,9.0,13.0,1.0,19.0,59.0,,,,0.0,,5.0,7.0,5.0,1.0,3.0,0.0,4.0,1.0,4.0,31.2,19.0,,5.0,,1.0,1.0,,20.0,7.0,,3.0,260.0,19.0,18.0,10.0,2.0,11.0,3.0,,199.0,2.0,6.0,14.0,52.0,14.0,2.0,10.0,30.0,1.0,3.0,3.0,14.0,2.0,6.0,7.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
34,755635,2015-04-25 15:00:00,"Selhurst Park, London",23876,Away,Hull City,Crystal Palace,2,0,W,0,0,0,0,,,1.0,57.0,1.0,,1.0,,,41.0,33.0,11.0,2.0,3.0,164.0,7.0,8.0,2.0,1.0,17.0,7.0,84.0,153.0,64.0,1.0,21.0,3.0,30.0,3.0,1.0,,1.0,33.0,9.0,2.0,33.0,8.0,6.0,18.0,,212.0,1.0,1.0,0.0,151.0,10.0,2.0,2.0,2.0,4.0,59.0,76.0,8.0,63.0,,1.0,25.0,13.0,1.0,6.0,153.0,2.0,1.0,5.0,90.0,616.0,,13.0,13.0,11.0,300.0,23.0,20.0,17.0,2.0,,0.0,1.0,9.0,14.0,373.0,68.0,90517,3.0,112.0,1.0,17.0,,128.0,5.0,13.0,6.0,67.0,,,1.0,19.0,2.0,1.0,72.0,317.0,14.0,10.0,2.0,40.0,95.0,1.0,,2.0,0.0,,3.0,,3.0,2.0,5.0,0.0,4.0,,2.0,53.5,11.0,1.0,,,1.0,4.0,,56.0,9.0,,4.0,401.0,11.0,12.0,12.0,10.0,23.0,3.0,4.0,306.0,16.0,6.0,26.0,109.0,24.0,1.0,17.0,17.0,,18.0,3.0,14.0,1.0,5.0,9.0,1.0,1.0,3.0,5.0,1.0,2.0,2.0,,,2.0,,3.0,,,,2.0,,,1.0,2.0,5.0,,,1.0,1.0,1.0,1.0,,,,,,,2.0,,,1.0,,,1.0,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
35,755645,2015-05-04 20:00:00,"The MKM Stadium, Hull",23628,Home,Hull City,Arsenal,1,3,L,0,3,0,0,,,,58.0,,2.0,,,,23.0,21.0,2.0,2.0,6.0,142.0,4.0,7.0,1.0,2.0,7.0,1.0,63.0,141.0,51.0,,8.0,1.0,18.0,,,1.0,,20.0,11.0,,21.0,,4.0,27.0,,126.0,,,0.0,91.0,8.0,4.0,,2.0,1.0,37.0,61.0,2.0,47.0,1.0,2.0,20.0,8.0,,5.0,141.0,1.0,,16.0,63.0,476.0,,5.0,11.0,6.0,209.0,24.0,3.0,7.0,1.0,1.0,2.0,7.0,5.0,13.0,283.0,50.0,90517,4.0,106.0,,13.0,,122.0,5.0,8.0,10.0,58.0,,4.0,,12.0,6.0,4.0,64.0,228.0,10.0,15.0,1.0,18.0,83.0,,,,0.0,,1.0,5.0,4.0,1.0,3.0,0.0,4.0,1.0,5.0,32.3,9.0,4.0,2.0,,,1.0,,42.0,,,1.0,315.0,6.0,11.0,12.0,6.0,15.0,,4.0,213.0,1.0,4.0,22.0,55.0,21.0,3.0,7.0,13.0,1.0,7.0,3.0,13.0,3.0,4.0,,1.0,,,2.0,1.0,,1.0,2.0,3.0,,2.0,,,,1.0,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,
36,755658,2015-05-09 15:00:00,"The MKM Stadium, Hull",24877,Home,Hull City,Burnley,0,1,L,0,0,0,0,,,2.0,53.0,,,4.0,,,33.0,24.0,12.0,8.0,1.0,177.0,8.0,6.0,,4.0,13.0,3.0,100.0,168.0,57.0,3.0,21.0,7.0,33.0,1.0,,1.0,1.0,35.0,13.0,2.0,24.0,8.0,8.0,54.0,,190.0,3.0,,0.0,151.0,16.0,1.0,,1.0,1.0,52.0,81.0,9.0,48.0,2.0,,27.0,11.0,3.0,11.0,168.0,1.0,,7.0,115.0,631.0,,11.0,7.0,9.0,322.0,27.0,3.0,15.0,,1.0,1.0,1.0,4.0,24.0,415.0,84.0,90517,8.0,149.0,1.0,15.0,,167.0,6.0,11.0,11.0,67.0,,,2.0,12.0,1.0,2.0,81.0,331.0,12.0,9.0,2.0,23.0,94.0,,,1.0,0.0,,2.0,3.0,1.0,,3.0,0.0,7.0,,4.0,54.5,19.0,4.0,1.0,,2.0,11.0,,39.0,9.0,,1.0,440.0,9.0,8.0,29.0,7.0,20.0,1.0,4.0,308.0,7.0,8.0,25.0,98.0,20.0,1.0,15.0,16.0,,16.0,3.0,11.0,1.0,4.0,9.0,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,2.0,,1.0,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,2.0,
37,755670,2015-05-16 15:00:00,"White Hart Lane, London",35857,Away,Hull City,Tottenham Hotspur,0,2,L,0,0,0,0,,,2.0,67.0,,,2.0,,,34.0,18.0,2.0,5.0,1.0,149.0,9.0,4.0,,2.0,11.0,2.0,107.0,152.0,50.0,,14.0,1.0,16.0,2.0,,1.0,1.0,33.0,14.0,,18.0,8.0,7.0,44.0,,153.0,1.0,,0.0,103.0,6.0,1.0,,1.0,,41.0,61.0,4.0,55.0,1.0,2.0,25.0,10.0,,11.0,152.0,1.0,,6.0,90.0,586.0,,9.0,4.0,13.0,305.0,33.0,6.0,8.0,,1.0,1.0,4.0,7.0,17.0,378.0,60.0,90517,7.0,170.0,1.0,13.0,,186.0,5.0,10.0,10.0,47.0,,5.0,1.0,11.0,4.0,2.0,71.0,314.0,10.0,7.0,2.0,11.0,85.0,,,2.0,0.0,,2.0,6.0,1.0,,,0.0,6.0,,5.0,44.3,12.0,5.0,2.0,3.0,1.0,3.0,,43.0,8.0,,,401.0,13.0,13.0,19.0,9.0,27.0,3.0,7.0,248.0,4.0,7.0,18.0,62.0,26.0,1.0,8.0,19.0,,10.0,2.0,9.0,1.0,7.0,8.0,,,,1.0,,,,1.0,2.0,,2.0,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,2.0,,,2.0,,,,,,,,,4.0,,,2.0,,2.0,1.0,,,,,2.0,,,,,,,,,,,,
38,755678,2015-05-24 15:00:00,"The MKM Stadium, Hull",24745,Home,Hull City,Manchester United,0,0,D,0,0,0,1,,,2.0,65.0,,1.0,2.0,,,29.0,9.0,4.0,4.0,1.0,136.0,11.0,5.0,,4.0,9.0,6.0,71.0,152.0,54.0,1.0,16.0,3.0,16.0,4.0,,,1.0,34.0,13.0,2.0,9.0,7.0,17.0,38.0,,158.0,1.0,1.0,0.0,107.0,12.0,,,2.0,,60.0,64.0,6.0,51.0,,1.0,27.0,14.0,1.0,13.0,152.0,,,3.0,78.0,518.0,,8.0,8.0,9.0,228.0,22.0,4.0,6.0,,,2.0,3.0,3.0,18.0,315.0,63.0,90517,10.0,94.0,,12.0,,113.0,9.0,14.0,4.0,52.0,,6.0,2.0,6.0,4.0,2.0,64.0,241.0,15.0,7.0,1.0,18.0,81.0,,3.0,,0.0,,2.0,1.0,,,,0.0,8.0,,5.0,40.9,16.0,2.0,9.0,1.0,2.0,5.0,,41.0,8.0,,,336.0,9.0,13.0,15.0,5.0,39.0,3.0,5.0,257.0,7.0,15.0,17.0,63.0,29.0,,6.0,17.0,,9.0,3.0,9.0,,10.0,8.0,,,,,3.0,,,,,,,1.0,,,,1.0,,,,,3.0,,,1.0,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0
