gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attObxCentre,attRfTarget,attFreekickTotal,shotFastbreak,attBxRight,attOboxTarget,totalFastbreak,attSvLowLeft,goodHighClaim,freekickTotal,contentiousDecision,attMissHighLeft,errorLeadToShot,defenderGoals,attFastbreak,attBxLeft,totalHighClaim,attFreekickMiss,accurateCornersIntobox,savedObox,attLfGoal,attGoalLowCentre,attOboxBlocked,accurateKeeperSweeper,attMissHighRight,subsGoals,totalKeeperSweeper,fastestPlayer_topSpeed,totalDistance,punches,shieldBallOop,attMissLeft,midfielderGoals,attGoalHighCentre,penaltyConceded,attRfGoal,attCmissLeft,accurateFlickOn,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,sixYardBlock,attCmissHigh,goalsConcededObox,attGoalLowRight,expectedGoalsOnTarget,attGoalHighRight,expectedGoalsOnTargetConceded,attOboxGoal,winningGoal,keeperGoals,expectedAssists,ownGoals,attPenGoal,attObpGoal,attFreekickGoal,attIboxOwnGoal,expectedGoals,cleanSheet,attSvHighCentre,accuratePullBack,postScoringAtt,attIboxPost,penaltyWon,hitWoodwork,totalPullBack,attOboxPost,attPostHigh,attCmissHighRight,attPostRight,errorLeadToGoal,attSvHighLeft,attObxRight,attPostLeft,attHdPost,attObxdRight,attCmissHighLeft,attFreekickTarget,expectedGoalsFreekick,penaltySave,attSvHighRight,foulThrowIn,goalFastbreak,attPenTarget
27,2444735,2025-02-27 20:00:00,"London Stadium, London",62455,Away,Leicester City,West Ham United,0,2,L,0,2,0,0,,,44.0,1.0,11.0,26.0,3.0,5.0,1.0,159.0,4.0,2.0,0.0,3.0,5.0,,2.0,91.0,119.0,53.0,10.0,16.0,1.0,,,24.0,11.0,26.0,2.0,18.0,18.0,,189.0,0.0,90.0,6.0,,1.0,2.0,85.0,62.0,2.0,91.0,1.0,1.0,22.0,17.0,5.0,7.0,,119.0,,8.0,121.0,644.0,,4.0,3.0,10.0,1.0,9.0,376.0,19.0,1.0,12.0,,0.0,3.0,3.0,16.0,444.0,50.0,,1.0,245419,3.0,206.0,,13.0,1.0,233.0,2.0,7.0,4.0,43.0,1.0,,1.0,0.0,12.0,1.0,1.0,1.0,39.0,391.0,11.0,9.0,1.0,15.0,1.0,52.0,0.0,,0.0,1.0,3.0,1.0,0.0,2.0,0.0,4.0,,2.0,42.2,15.0,1.0,1.0,2.0,5.0,,33.0,3.0,462.0,9.0,10.0,10.0,3.0,25.0,3.0,253.0,5.0,17.0,16.0,64.0,21.0,,2.0,12.0,25.0,0.0,2.0,6.0,4.0,5.0,2.0,7.0,3.0,1.0,0.0,,,5.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,0.0,,1.0,,,,,0.0,0.0,4.0,,,0.0,,31.32,109146.76,1.0,1.0,,0.0,0.0,,0.0,,2.0,,,,,,0.0,0.0,0.2473,0.0,1.6357,0.0,0.0,0.0,0.224249,1.0,0.0,0.0,0.0,1.0,0.3895,,1.0,,,,,,1.0,,,,,,,,,,,,,0.0343,,,,,
28,2444742,2025-03-09 14:00:00,"Stamford Bridge, London",39750,Away,Leicester City,Chelsea,0,1,L,0,0,0,0,1.0,,44.0,,17.0,36.0,1.0,1.0,7.0,171.0,1.0,2.0,,,2.0,,3.0,93.0,123.0,44.0,3.0,21.0,1.0,,2.0,18.0,12.0,36.0,2.0,23.0,25.0,,137.0,0.0,86.0,13.0,,3.0,,28.0,64.0,2.0,69.0,,,16.0,11.0,2.0,7.0,,123.0,,11.0,84.0,600.0,,2.0,6.0,4.0,,5.0,331.0,21.0,2.0,24.0,,0.0,7.0,,21.0,398.0,50.0,,,157668,,203.0,,9.0,,224.0,10.0,4.0,6.0,58.0,,2.0,4.0,,14.0,9.0,1.0,,48.0,339.0,12.0,13.0,,19.0,,59.0,,,0.0,,12.0,5.0,,1.0,0.0,1.0,,,43.4,20.0,,2.0,4.0,,,31.0,2.0,417.0,5.0,4.0,10.0,,20.0,,211.0,2.0,23.0,13.0,50.0,13.0,,2.0,24.0,18.0,,,3.0,5.0,9.0,2.0,4.0,2.0,,,,,2.0,2.0,,,,2.0,,,,,,,2.0,,,,,,,1.0,,,,2.0,,,2.0,32.33,109763.19,,1.0,,,,1.0,,,4.0,1.0,,,,,1.0,,0.1508,,1.5244,,,,0.128366,,,,,,0.1014,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,
29,2444756,2025-03-16 19:00:00,"King Power Stadium, Leicester",31773,Home,Leicester City,Manchester United,0,3,L,0,1,0,0,2.0,,56.0,4.0,18.0,23.0,4.0,7.0,2.0,159.0,3.0,7.0,,1.0,8.0,,3.0,137.0,166.0,51.0,11.0,24.0,2.0,,2.0,30.0,13.0,23.0,5.0,20.0,29.0,,207.0,0.0,103.0,6.0,,1.0,2.0,54.0,88.0,6.0,96.0,1.0,2.0,25.0,24.0,4.0,14.0,1.0,166.0,2.0,7.0,128.0,747.0,,8.0,6.0,23.0,,14.0,421.0,11.0,5.0,10.0,,2.0,5.0,2.0,16.0,504.0,49.0,1.0,1.0,513527,4.0,230.0,3.0,9.0,1.0,247.0,4.0,10.0,5.0,56.0,2.0,4.0,5.0,,23.0,11.0,3.0,,36.0,434.0,6.0,6.0,,11.0,,78.0,,,0.0,2.0,4.0,1.0,,3.0,0.0,2.0,,1.0,53.8,13.0,,7.0,5.0,6.0,,51.0,6.0,520.0,14.0,12.0,15.0,2.0,32.0,1.0,303.0,6.0,19.0,17.0,64.0,32.0,,2.0,10.0,21.0,,2.0,10.0,5.0,15.0,2.0,10.0,6.0,,,,,4.0,1.0,,1.0,,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,2.0,,,,,33.72,112686.74,,2.0,,,,,,,3.0,,,,,,1.0,,0.3835,,1.6577,,,,0.705733,,,,,,1.0527,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,
30,2444767,2025-04-02 19:45:00,"Etihad Stadium, Manchester",51983,Away,Leicester City,Manchester City,0,2,L,0,2,0,0,,,30.0,,17.0,26.0,,1.0,3.0,103.0,1.0,4.0,,,2.0,1.0,,70.0,89.0,41.0,2.0,10.0,,,,6.0,9.0,26.0,,9.0,28.0,,73.0,0.0,48.0,8.0,,,,25.0,29.0,,61.0,2.0,1.0,6.0,8.0,1.0,2.0,1.0,89.0,,11.0,66.0,436.0,,2.0,4.0,4.0,,6.0,220.0,18.0,5.0,7.0,,4.0,8.0,2.0,9.0,272.0,26.0,,,473341,1.0,170.0,,4.0,,191.0,6.0,4.0,11.0,39.0,1.0,1.0,4.0,,13.0,7.0,7.0,,45.0,242.0,11.0,12.0,,13.0,,45.0,,,0.0,,5.0,2.0,,2.0,0.0,1.0,,1.0,28.0,6.0,1.0,1.0,4.0,,,25.0,,300.0,6.0,4.0,11.0,2.0,11.0,1.0,115.0,1.0,8.0,8.0,31.0,5.0,,,7.0,19.0,,2.0,2.0,5.0,9.0,,4.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,33.76,108500.83,2.0,,1.0,,,,,,1.0,,,,,,,,,,2.717,,,,0.1082,,,,,,0.0729,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
31,2444776,2025-04-07 20:00:00,"King Power Stadium, Leicester",30403,Home,Leicester City,Newcastle United,0,3,L,0,3,0,0,1.0,,58.0,1.0,26.0,11.0,2.0,6.0,2.0,178.0,7.0,9.0,,,6.0,,2.0,130.0,158.0,48.0,7.0,13.0,2.0,,,31.0,10.0,11.0,10.0,16.0,28.0,,201.0,0.0,119.0,8.0,,1.0,,89.0,31.0,2.0,107.0,2.0,3.0,21.0,17.0,1.0,9.0,1.0,158.0,,10.0,132.0,729.0,,4.0,4.0,16.0,,15.0,441.0,17.0,8.0,5.0,,2.0,3.0,4.0,20.0,523.0,61.0,,,513527,2.0,264.0,,12.0,,289.0,7.0,3.0,7.0,47.0,,3.0,1.0,,19.0,6.0,3.0,,59.0,458.0,9.0,8.0,2.0,25.0,2.0,73.0,,1.0,0.0,,2.0,1.0,,3.0,0.0,5.0,,3.0,57.6,16.0,2.0,6.0,1.0,1.0,,40.0,12.0,547.0,15.0,12.0,10.0,4.0,37.0,3.0,289.0,2.0,16.0,14.0,80.0,32.0,,1.0,5.0,16.0,,3.0,5.0,4.0,16.0,1.0,3.0,12.0,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,3.0,,1.0,1.0,1.0,,2.0,1.0,,,,,,,,32.43,110652.48,,,1.0,,,,,,2.0,,,,,,,,0.38,,2.939,,,,0.575632,,,,,,0.4756,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
32,2444782,2025-04-12 15:00:00,"American Express Stadium, Falmer",31330,Away,Leicester City,Brighton and Hove Albion,2,2,D,1,1,0,0,2.0,1.0,47.0,1.0,15.0,26.0,5.0,11.0,5.0,139.0,5.0,6.0,2.0,2.0,11.0,,6.0,89.0,113.0,40.0,15.0,14.0,4.0,,1.0,14.0,10.0,26.0,6.0,4.0,21.0,,132.0,0.0,101.0,11.0,1.0,1.0,2.0,35.0,50.0,7.0,54.0,1.0,1.0,8.0,22.0,4.0,3.0,2.0,113.0,1.0,15.0,76.0,528.0,,8.0,4.0,24.0,1.0,5.0,266.0,15.0,2.0,15.0,1.0,5.0,3.0,4.0,18.0,331.0,42.0,,2.0,473341,5.0,154.0,1.0,3.0,2.0,177.0,4.0,12.0,12.0,48.0,1.0,1.0,4.0,1.0,9.0,6.0,6.0,2.0,45.0,281.0,9.0,9.0,2.0,16.0,2.0,48.0,,1.0,0.0,1.0,3.0,3.0,2.0,2.0,0.0,4.0,1.0,3.0,40.7,18.0,1.0,4.0,5.0,3.0,,21.0,6.0,358.0,5.0,8.0,9.0,6.0,24.0,4.0,195.0,7.0,4.0,12.0,71.0,19.0,,1.0,15.0,13.0,1.0,2.0,11.0,5.0,13.0,1.0,12.0,6.0,1.0,,1.0,1.0,4.0,1.0,,2.0,,,2.0,1.0,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,2.0,1.0,2.0,2.0,2.0,,,2.0,34.73,108768.48,,,2.0,1.0,,2.0,,1.0,2.0,2.0,2.0,,1.0,,,,1.5273,,3.1661,,,,0.719396,,,,,,1.4998,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,
33,2444796,2025-04-20 16:30:00,"King Power Stadium, Leicester",30402,Home,Leicester City,Liverpool,0,1,L,0,0,0,0,,,44.0,1.0,15.0,43.0,3.0,3.0,7.0,134.0,2.0,2.0,,3.0,3.0,,,85.0,131.0,41.0,5.0,18.0,,,,10.0,14.0,43.0,1.0,13.0,29.0,,92.0,0.0,61.0,11.0,,3.0,3.0,41.0,36.0,1.0,67.0,2.0,1.0,9.0,7.0,2.0,5.0,2.0,131.0,,24.0,81.0,560.0,,3.0,2.0,13.0,,7.0,274.0,14.0,6.0,21.0,,1.0,8.0,2.0,25.0,346.0,41.0,,1.0,245419,2.0,193.0,,1.0,1.0,214.0,3.0,3.0,12.0,54.0,1.0,2.0,8.0,,10.0,4.0,3.0,,59.0,283.0,7.0,10.0,,30.0,,60.0,,,0.0,5.0,13.0,7.0,,1.0,0.0,2.0,,,41.7,20.0,,3.0,9.0,1.0,2.0,20.0,1.0,367.0,7.0,8.0,19.0,4.0,14.0,1.0,163.0,2.0,13.0,15.0,29.0,16.0,,1.0,21.0,17.0,,1.0,3.0,5.0,10.0,1.0,3.0,1.0,,,,,2.0,,,,1.0,,,,2.0,,,1.0,1.0,,,,2.0,,,2.0,,,,1.0,,,1.0,33.7,109186.2,2.0,2.0,1.0,,,,,,,,,,,,,,,,0.5294,,,,0.155053,,,,,,0.2738,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,
34,2444809,2025-04-26 15:00:00,"Molineux Stadium, Wolverhampton",31518,Away,Leicester City,Wolverhampton Wanderers,0,3,L,0,1,0,0,,,48.0,3.0,19.0,20.0,1.0,5.0,2.0,152.0,6.0,10.0,,2.0,5.0,,2.0,126.0,118.0,50.0,8.0,15.0,2.0,,,13.0,15.0,20.0,2.0,7.0,30.0,,148.0,0.0,88.0,17.0,,,1.0,38.0,57.0,3.0,70.0,2.0,1.0,11.0,19.0,3.0,5.0,3.0,118.0,,13.0,123.0,646.0,,4.0,10.0,15.0,1.0,7.0,387.0,17.0,4.0,12.0,,4.0,7.0,2.0,15.0,455.0,46.0,1.0,1.0,220627,5.0,257.0,1.0,5.0,,278.0,10.0,10.0,7.0,66.0,1.0,3.0,8.0,,9.0,7.0,5.0,,38.0,399.0,7.0,12.0,1.0,12.0,1.0,57.0,,,0.0,1.0,4.0,2.0,,3.0,0.0,5.0,,2.0,43.9,11.0,1.0,5.0,8.0,3.0,1.0,34.0,2.0,471.0,7.0,11.0,12.0,3.0,22.0,,206.0,5.0,7.0,11.0,56.0,17.0,,,12.0,22.0,,3.0,5.0,5.0,21.0,,10.0,2.0,,,,,3.0,1.0,,,,,,1.0,2.0,,,,1.0,,,,2.0,,1.0,1.0,,,,,1.0,,,32.74,110521.11,,,1.0,,,,,,3.0,,,,,,,,1.1289,,1.7206,,,,0.664796,,,,,,1.1473,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0
35,2444817,2025-05-03 15:00:00,"King Power Stadium, Leicester",31240,Home,Leicester City,Southampton,2,0,W,2,0,0,0,,1.0,41.0,5.0,13.0,20.0,2.0,9.0,2.0,127.0,5.0,5.0,2.0,3.0,11.0,,4.0,114.0,83.0,40.0,14.0,13.0,1.0,1.0,1.0,17.0,7.0,20.0,5.0,12.0,21.0,,123.0,0.0,74.0,12.0,,2.0,,50.0,38.0,7.0,84.0,2.0,,12.0,18.0,5.0,2.0,2.0,83.0,1.0,6.0,121.0,613.0,,7.0,1.0,21.0,,12.0,386.0,19.0,,14.0,1.0,1.0,5.0,4.0,12.0,430.0,36.0,,,245419,4.0,281.0,1.0,10.0,2.0,298.0,11.0,9.0,2.0,42.0,1.0,1.0,4.0,1.0,7.0,2.0,2.0,2.0,33.0,399.0,13.0,4.0,3.0,10.0,2.0,51.0,1.0,,0.0,,7.0,2.0,1.0,,0.0,1.0,1.0,1.0,49.6,9.0,1.0,2.0,4.0,6.0,,31.0,6.0,446.0,12.0,8.0,9.0,4.0,21.0,2.0,165.0,11.0,12.0,10.0,54.0,16.0,1.0,2.0,14.0,13.0,,,8.0,5.0,10.0,2.0,9.0,7.0,,1.0,,,5.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,2.0,,,,,2.0,3.0,,,4.0,,1.0,,1.0,,,,,32.79,111455.64,1.0,,2.0,1.0,,,1.0,,,,,,1.0,,,,1.3253,,0.3296,1.0,,,0.356403,,,,,,1.402,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,0.1227,,,,,
36,2444826,2025-05-11 14:15:00,"The City Ground, Nottingham",30245,Away,Leicester City,Nottingham Forest,2,2,D,1,1,0,0,1.0,2.0,35.0,,13.0,33.0,2.0,7.0,2.0,121.0,5.0,7.0,2.0,,8.0,,6.0,90.0,113.0,46.0,10.0,17.0,2.0,1.0,1.0,15.0,7.0,33.0,4.0,12.0,31.0,,88.0,0.0,69.0,11.0,1.0,1.0,2.0,30.0,30.0,4.0,51.0,,1.0,11.0,15.0,3.0,5.0,1.0,113.0,3.0,10.0,85.0,530.0,,4.0,3.0,21.0,2.0,6.0,262.0,14.0,3.0,14.0,1.0,3.0,5.0,3.0,17.0,321.0,42.0,,1.0,536916,3.0,193.0,2.0,4.0,1.0,211.0,7.0,9.0,12.0,49.0,,2.0,4.0,1.0,8.0,5.0,5.0,,47.0,276.0,11.0,4.0,2.0,17.0,2.0,59.0,,1.0,0.0,1.0,4.0,2.0,2.0,2.0,0.0,3.0,,5.0,44.3,13.0,2.0,,4.0,,,27.0,4.0,347.0,6.0,12.0,16.0,4.0,22.0,3.0,151.0,3.0,10.0,17.0,37.0,15.0,,4.0,14.0,11.0,1.0,2.0,5.0,5.0,12.0,4.0,9.0,4.0,,,,,3.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,,,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,,,,,1.0,,1.0,1.0,33.86,102063.31,1.0,,1.0,,,,1.0,,1.0,,,2.0,,,,2.0,2.4377,,1.722,,,,0.533974,,,,,,1.0523,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
37,2444837,2025-05-18 15:00:00,"King Power Stadium, Leicester",31986,Home,Leicester City,Ipswich Town,2,0,W,1,0,0,0,1.0,,38.0,2.0,19.0,16.0,6.0,7.0,2.0,163.0,1.0,6.0,2.0,2.0,7.0,1.0,3.0,101.0,109.0,49.0,9.0,17.0,1.0,2.0,,8.0,18.0,16.0,1.0,15.0,34.0,,133.0,0.0,74.0,15.0,,,,44.0,50.0,5.0,79.0,,1.0,7.0,17.0,2.0,2.0,,109.0,,16.0,116.0,618.0,,4.0,2.0,11.0,,9.0,367.0,17.0,1.0,12.0,2.0,1.0,9.0,2.0,16.0,427.0,41.0,,,513527,2.0,254.0,,5.0,1.0,279.0,6.0,4.0,13.0,56.0,,,3.0,2.0,13.0,4.0,5.0,,55.0,387.0,12.0,11.0,1.0,12.0,,59.0,,1.0,0.0,,2.0,2.0,2.0,,0.0,,2.0,,51.1,13.0,,,3.0,2.0,,29.0,2.0,459.0,9.0,8.0,13.0,4.0,20.0,3.0,188.0,3.0,15.0,6.0,48.0,17.0,1.0,,12.0,25.0,,,8.0,5.0,11.0,,4.0,2.0,,,,,2.0,,,2.0,,1.0,3.0,,,,,1.0,1.0,,2.0,2.0,1.0,,1.0,,,1.0,,,,,,33.51,104307.98,,,2.0,1.0,,,2.0,2.0,1.0,,,,,,,1.0,0.8464,1.0,0.3427,,,,0.236059,,,,,,0.8048,1.0,,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,
38,2444840,2025-05-25 16:00:00,"Vitality Stadium, Bournemouth",11238,Away,Leicester City,Bournemouth,0,2,L,0,0,0,0,,,39.0,,15.0,30.0,,2.0,5.0,120.0,2.0,5.0,,1.0,2.0,,,57.0,126.0,55.0,3.0,22.0,,,,8.0,12.0,30.0,1.0,13.0,22.0,,87.0,0.0,69.0,16.0,,5.0,1.0,25.0,25.0,,52.0,,1.0,7.0,12.0,1.0,3.0,1.0,126.0,,10.0,72.0,482.0,,2.0,3.0,12.0,,6.0,208.0,15.0,4.0,17.0,,2.0,6.0,2.0,9.0,262.0,38.0,,,461587,2.0,139.0,,3.0,,158.0,4.0,8.0,12.0,62.0,,2.0,2.0,,21.0,10.0,6.0,,51.0,224.0,19.0,10.0,,25.0,,54.0,,,0.0,2.0,6.0,2.0,,2.0,0.0,2.0,,1.0,37.3,6.0,1.0,3.0,2.0,,,16.0,1.0,301.0,6.0,10.0,13.0,3.0,14.0,2.0,151.0,2.0,12.0,13.0,41.0,13.0,,2.0,17.0,18.0,,1.0,3.0,5.0,10.0,2.0,8.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,3.0,,,,,2.0,,,32.21,102250.91,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,2.0998,,,,0.420418,,,,,,0.2663,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
