gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,punches,redCard,overrun,lostCorners,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,savedObox,saves,attOboxTarget,divingSave,errorLeadToShot,attemptsConcededObox,attAssistSetplay,savedIbox,attBxLeft,effectiveBlockedCross,blockedCross,attLfTarget,attGoalLowLeft,attLfGoal,goals,attCmissRight,postScoringAtt,goalAssistOpenplay,attIboxPost,midfielderGoals,interceptionsInBox,attMissRight,hitWoodwork,goalAssist,accurateThroughBall,fastestPlayer_topSpeed,totalDistance,attCmissHigh,goalsOpenplay,attSvLowRight,attCmissLeft,attIboxGoal,attPostHigh,goalAssistIntentional,attFreekickMiss,accurateCornersIntobox,goalsConcededObox,attPenTarget,accurateKeeperSweeper,penaltyWon,totalKeeperSweeper,accurateFreekickCross,bigChanceScored,attGoalLowRight,attOneOnOne,attPostLeft,accurateFlickOn,ptsDroppedWinningPos,handBall,defenderGoals,attHdGoal,goalFastbreak,subsGoals,attRfGoal,attGoalLowCentre,penaltyConceded,penaltyFaced,penGoalsConceded,forwardGoals,clearanceOffLine,attSvHighRight,cleanSheet,attMissHighLeft,contentiousDecision,attLgCentre,attCmissHighLeft,ptsGainedLosingPos,attCmissHighRight,attSvHighLeft,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,goalAssistSetplay,goalAssistDeadball,attGoalHighRight,attGoalHighLeft,penaltySave,expectedGoalsFreekick,attFreekickTarget,attPostRight
27,2444737,2025-02-25 20:15:00,"Stamford Bridge, London",39485,Away,Southampton,Chelsea,0,4,L,0,3,0,0,42.0,1.0,18.0,12.0,2.0,1.0,5.0,,126.0,4.0,4.0,1.0,6.0,1.0,2.0,112.0,100.0,33.0,,7.0,2.0,12.0,2.0,,1.0,1.0,,10.0,11.0,12.0,2.0,14.0,18.0,119.0,1.0,0.0,73.0,9.0,,,,,54.0,30.0,4.0,76.0,8.0,8.0,2.0,,3.0,,100.0,2.0,13.0,101.0,551.0,5.0,3.0,12.0,2.0,9.0,333.0,21.0,3.0,6.0,2.0,2.0,2.0,13.0,392.0,37.0,496661,4.0,235.0,2.0,5.0,,1.0,259.0,4.0,1.0,6.0,9.0,42.0,,,3.0,12.0,4.0,1.0,43.0,350.0,5.0,5.0,13.0,1.0,55.0,,,0.0,,4.0,4.0,0.0,4.0,1.0,3.0,40.4,13.0,1.0,2.0,,3.0,3.0,31.0,2.0,,415.0,9.0,7.0,6.0,2.0,15.0,2.0,166.0,3.0,12.0,8.0,48.0,13.0,6.0,16.0,4.0,5.0,5.0,14.0,1.0,6.0,2.0,3.0,6.0,,2.0,1.0,6.0,1.0,3.0,,,,,,,,,,,,,3.0,,,,,34.45,105910.41,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,0.6621,3.0921,0.479975,0.7231,,,,,,,,
28,2444744,2025-03-08 15:00:00,"Anfield, Liverpool",60399,Away,Southampton,Liverpool,1,3,L,1,0,0,0,51.0,,12.0,37.0,3.0,1.0,3.0,2.0,101.0,1.0,13.0,1.0,5.0,,4.0,62.0,100.0,52.0,,6.0,2.0,3.0,2.0,1.0,1.0,2.0,,5.0,10.0,37.0,4.0,1.0,19.0,65.0,,0.0,62.0,9.0,1.0,,,,31.0,26.0,5.0,45.0,1.0,7.0,3.0,,,,100.0,,23.0,59.0,440.0,4.0,3.0,8.0,,9.0,190.0,33.0,,17.0,1.0,8.0,,10.0,241.0,33.0,504783,,140.0,,1.0,,,156.0,3.0,,5.0,12.0,46.0,1.0,1.0,3.0,10.0,4.0,,42.0,204.0,9.0,18.0,10.0,2.0,52.0,1.0,1.0,0.0,1.0,6.0,3.0,0.0,,,,28.8,8.0,,2.0,1.0,3.0,2.0,23.0,4.0,,267.0,9.0,9.0,6.0,,14.0,,116.0,4.0,1.0,9.0,30.0,11.0,17.0,21.0,3.0,3.0,6.0,23.0,,5.0,4.0,,4.0,1.0,3.0,1.0,5.0,1.0,4.0,,1.0,1.0,,1.0,,1.0,,,,,1.0,2.0,,,,,34.32,105716.47,,,,,1.0,,,,1.0,,,,,,,1.0,,,,2.0,3.0,3.0,,,,,1.0,,2.0,2.0,2.0,,,,,,,,,,,,0.3604,3.3018,0.143899,0.3566,,,,,,,,
29,2444759,2025-03-15 15:00:00,"St. Mary's Stadium, Southampton",30950,Home,Southampton,Wolverhampton Wanderers,1,2,L,0,1,0,0,44.0,3.0,19.0,9.0,1.0,4.0,9.0,1.0,145.0,5.0,18.0,1.0,10.0,,3.0,188.0,122.0,57.0,,10.0,1.0,14.0,2.0,,3.0,,,18.0,10.0,9.0,5.0,12.0,22.0,289.0,,0.0,172.0,12.0,,,1.0,,97.0,88.0,6.0,88.0,13.0,14.0,1.0,,4.0,,122.0,2.0,3.0,175.0,785.0,6.0,3.0,26.0,1.0,4.0,518.0,17.0,3.0,6.0,0.0,,3.0,26.0,576.0,57.0,504783,4.0,248.0,2.0,8.0,,1.0,262.0,4.0,,8.0,4.0,54.0,,2.0,3.0,11.0,1.0,2.0,39.0,532.0,13.0,4.0,15.0,2.0,58.0,,,0.0,3.0,1.0,2.0,0.0,3.0,1.0,3.0,59.1,24.0,1.0,4.0,1.0,3.0,4.0,40.0,5.0,,596.0,4.0,15.0,11.0,3.0,34.0,2.0,352.0,3.0,11.0,12.0,137.0,20.0,6.0,14.0,1.0,7.0,5.0,30.0,,8.0,5.0,1.0,1.0,,,,2.0,3.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,2.0,,,32.95,108531.84,,1.0,,,1.0,,,,2.0,1.0,,,,,1.0,1.0,,,1.0,,,3.0,,,,1.0,,,,,,,,,,,,,,,,1.0,1.8556,0.9233,1.09516,1.3663,,,,,,,,
30,2444769,2025-04-02 19:45:00,"St. Mary's Stadium, Southampton",29366,Home,Southampton,Crystal Palace,1,1,D,1,0,0,0,51.0,3.0,25.0,29.0,1.0,2.0,7.0,,134.0,7.0,10.0,4.0,6.0,,2.0,104.0,136.0,48.0,,8.0,,13.0,1.0,,1.0,,2.0,13.0,4.0,29.0,2.0,4.0,34.0,155.0,,0.0,87.0,14.0,,,4.0,2.0,49.0,65.0,4.0,64.0,11.0,16.0,1.0,,5.0,1.0,136.0,1.0,7.0,80.0,577.0,3.0,10.0,21.0,1.0,9.0,291.0,14.0,6.0,15.0,2.0,1.0,2.0,22.0,365.0,45.0,500016,4.0,151.0,,2.0,1.0,1.0,166.0,6.0,,6.0,7.0,48.0,1.0,2.0,5.0,20.0,2.0,1.0,54.0,299.0,8.0,5.0,22.0,1.0,70.0,,,0.0,1.0,2.0,1.0,0.0,6.0,,3.0,42.3,16.0,,1.0,,5.0,3.0,40.0,2.0,2.0,382.0,9.0,9.0,19.0,3.0,20.0,2.0,229.0,3.0,4.0,16.0,56.0,26.0,15.0,14.0,1.0,5.0,5.0,19.0,,6.0,2.0,,2.0,,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,,,,1.0,,,1.0,,,3.0,,,1.0,,32.46,110722.75,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,4.0,2.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.2782,0.9755,0.610956,0.6724,,,,,,,,
31,2444778,2025-04-06 14:00:00,"Tottenham Hotspur Stadium, London",60984,Away,Southampton,Tottenham Hotspur,1,3,L,0,2,0,0,52.0,5.0,17.0,16.0,3.0,8.0,9.0,2.0,137.0,2.0,10.0,2.0,9.0,1.0,4.0,128.0,101.0,60.0,,12.0,1.0,5.0,2.0,,1.0,3.0,1.0,15.0,19.0,16.0,1.0,15.0,20.0,228.0,,0.0,138.0,20.0,,,2.0,,62.0,69.0,8.0,74.0,14.0,11.0,3.0,,4.0,1.0,101.0,3.0,11.0,131.0,649.0,8.0,3.0,25.0,,7.0,397.0,27.0,3.0,10.0,1.0,3.0,1.0,10.0,446.0,46.0,504783,3.0,190.0,2.0,8.0,1.0,3.0,209.0,11.0,1.0,4.0,5.0,49.0,,1.0,1.0,15.0,5.0,,36.0,416.0,15.0,9.0,17.0,,47.0,,1.0,0.0,2.0,4.0,3.0,0.0,2.0,1.0,,49.2,10.0,,5.0,,1.0,6.0,31.0,1.0,,470.0,7.0,11.0,11.0,2.0,26.0,1.0,276.0,4.0,14.0,5.0,112.0,19.0,10.0,30.0,3.0,9.0,5.0,15.0,,4.0,1.0,1.0,5.0,1.0,3.0,2.0,2.0,,4.0,4.0,4.0,4.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,31.82,108032.88,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,0.4472,3.4655,0.458877,1.0378,,,,,,,,
32,2444788,2025-04-12 15:00:00,"St. Mary's Stadium, Southampton",30673,Home,Southampton,Aston Villa,0,3,L,0,0,0,0,41.0,1.0,29.0,37.0,2.0,2.0,5.0,2.0,104.0,2.0,2.0,,5.0,,2.0,91.0,98.0,32.0,,7.0,,6.0,1.0,1.0,,,1.0,16.0,10.0,37.0,2.0,5.0,24.0,116.0,1.0,0.0,77.0,11.0,1.0,1.0,1.0,,49.0,28.0,1.0,66.0,14.0,6.0,2.0,,5.0,1.0,98.0,1.0,13.0,93.0,534.0,5.0,4.0,8.0,,11.0,295.0,21.0,6.0,20.0,3.0,5.0,4.0,6.0,336.0,34.0,496661,1.0,193.0,1.0,8.0,,1.0,208.0,8.0,,3.0,11.0,45.0,,,7.0,12.0,7.0,,49.0,307.0,4.0,4.0,14.0,1.0,43.0,1.0,2.0,0.0,,14.0,3.0,0.0,2.0,,2.0,39.9,6.0,2.0,1.0,,7.0,1.0,29.0,2.0,1.0,354.0,11.0,12.0,15.0,4.0,19.0,3.0,162.0,3.0,5.0,8.0,56.0,10.0,20.0,18.0,3.0,5.0,5.0,15.0,,3.0,2.0,3.0,7.0,1.0,4.0,1.0,12.0,,4.0,2.0,3.0,3.0,,,,,1.0,,,,,3.0,1.0,,,,34.56,100732.88,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,2.0,2.0,,,,,,1.0,,,,,,,0.25,3.2949,0.138904,0.3105,,,,,2.0,,,
33,2444799,2025-04-19 15:00:00,"London Stadium, London",62461,Away,Southampton,West Ham United,1,1,D,0,0,0,0,41.0,2.0,27.0,14.0,8.0,7.0,7.0,1.0,116.0,3.0,5.0,4.0,11.0,,4.0,142.0,104.0,44.0,1.0,15.0,4.0,11.0,,,2.0,2.0,2.0,18.0,9.0,14.0,5.0,4.0,28.0,230.0,1.0,0.0,152.0,13.0,,1.0,3.0,,59.0,77.0,7.0,65.0,13.0,10.0,8.0,1.0,5.0,1.0,104.0,1.0,8.0,132.0,609.0,9.0,4.0,25.0,,6.0,383.0,24.0,6.0,8.0,1.0,5.0,4.0,11.0,435.0,59.0,504783,5.0,169.0,1.0,5.0,,7.0,181.0,6.0,,3.0,6.0,40.0,2.0,1.0,2.0,11.0,4.0,1.0,50.0,396.0,14.0,3.0,20.0,1.0,49.0,,1.0,0.0,,2.0,1.0,0.0,1.0,,2.0,48.1,7.0,1.0,,,3.0,6.0,33.0,5.0,,455.0,6.0,3.0,18.0,5.0,33.0,3.0,292.0,6.0,4.0,11.0,114.0,11.0,8.0,15.0,1.0,6.0,4.0,15.0,,3.0,5.0,,3.0,3.0,1.0,,4.0,2.0,3.0,,2.0,2.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,33.18,107161.99,1.0,1.0,,1.0,1.0,1.0,,,2.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,0.8571,1.0933,0.525675,0.6413,,,,,,0.0308,1.0,
34,2444808,2025-04-26 15:00:00,"St. Mary's Stadium, Southampton",28946,Home,Southampton,Fulham,1,2,L,1,0,0,0,40.0,3.0,15.0,42.0,1.0,1.0,6.0,1.0,122.0,1.0,8.0,1.0,5.0,,3.0,81.0,119.0,44.0,,7.0,1.0,21.0,2.0,,1.0,,,8.0,4.0,42.0,,6.0,13.0,102.0,,0.0,88.0,10.0,,1.0,1.0,2.0,45.0,37.0,5.0,45.0,8.0,11.0,1.0,,2.0,,119.0,1.0,18.0,71.0,502.0,4.0,4.0,13.0,,6.0,234.0,17.0,3.0,23.0,1.0,5.0,,6.0,287.0,49.0,504783,3.0,145.0,,5.0,,1.0,157.0,5.0,,6.0,14.0,52.0,,1.0,4.0,18.0,5.0,,51.0,246.0,12.0,4.0,25.0,,52.0,,1.0,0.0,,13.0,2.0,0.0,1.0,1.0,1.0,35.4,4.0,,1.0,1.0,4.0,4.0,22.0,,2.0,319.0,6.0,10.0,9.0,,15.0,,170.0,5.0,6.0,15.0,49.0,15.0,23.0,9.0,2.0,5.0,3.0,16.0,,6.0,,,3.0,,1.0,,8.0,,3.0,2.0,8.0,8.0,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,33.95,105795.88,,,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.4104,2.912,0.270851,0.6282,1.0,1.0,,,,,,
35,2444817,2025-05-03 15:00:00,"King Power Stadium, Leicester",31240,Away,Southampton,Leicester City,0,2,L,0,2,0,0,36.0,3.0,18.0,16.0,2.0,2.0,6.0,,111.0,6.0,4.0,1.0,8.0,,2.0,126.0,99.0,42.0,,8.0,2.0,10.0,2.0,,1.0,1.0,1.0,15.0,10.0,16.0,7.0,12.0,20.0,164.0,,0.0,97.0,13.0,,,3.0,,53.0,53.0,7.0,77.0,8.0,17.0,2.0,,4.0,,99.0,1.0,9.0,141.0,604.0,4.0,3.0,20.0,2.0,5.0,381.0,15.0,2.0,11.0,3.0,6.0,1.0,17.0,435.0,44.0,496661,4.0,238.0,1.0,1.0,,,253.0,7.0,1.0,6.0,7.0,40.0,,1.0,5.0,11.0,5.0,,36.0,396.0,12.0,5.0,12.0,4.0,52.0,,,0.0,1.0,7.0,2.0,0.0,2.0,1.0,4.0,50.4,12.0,1.0,,,5.0,5.0,31.0,7.0,,455.0,5.0,5.0,7.0,1.0,24.0,1.0,217.0,2.0,11.0,13.0,69.0,16.0,11.0,13.0,1.0,4.0,5.0,12.0,,6.0,7.0,1.0,2.0,,1.0,,5.0,4.0,1.0,,3.0,3.0,,,,,,,,,,,,,,,34.48,104617.44,,,1.0,,,,,,4.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.3296,1.3253,0.580865,0.5329,,,,,,,,
36,2444827,2025-05-10 15:00:00,"St. Mary's Stadium, Southampton",30937,Home,Southampton,Manchester City,0,0,D,0,0,0,0,39.0,2.0,21.0,52.0,,,2.0,,107.0,1.0,3.0,,2.0,,,56.0,101.0,40.0,,2.0,,17.0,,,,,,5.0,8.0,52.0,1.0,3.0,12.0,58.0,,0.0,56.0,9.0,,,,1.0,21.0,30.0,2.0,33.0,4.0,7.0,,,,,101.0,,14.0,62.0,444.0,2.0,4.0,7.0,,11.0,189.0,28.0,9.0,28.0,2.0,14.0,,8.0,234.0,37.0,504783,1.0,139.0,,4.0,,,155.0,2.0,,4.0,12.0,51.0,,2.0,6.0,18.0,4.0,,57.0,196.0,8.0,13.0,34.0,,50.0,,3.0,0.0,,15.0,,0.0,1.0,,,28.2,5.0,,,,6.0,2.0,17.0,1.0,1.0,258.0,11.0,7.0,7.0,,7.0,,108.0,2.0,3.0,17.0,31.0,1.0,28.0,13.0,,2.0,5.0,8.0,,4.0,1.0,2.0,4.0,,2.0,1.0,12.0,,3.0,1.0,5.0,5.0,,,,,,,,,,6.0,,,,,35.36,102216.59,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,0.6609,0.308809,0.101,,,,,,,,
37,2444836,2025-05-18 12:00:00,"Goodison Park, Liverpool",39201,Away,Southampton,Everton,0,2,L,0,2,0,0,36.0,1.0,12.0,30.0,1.0,,5.0,2.0,117.0,2.0,12.0,,3.0,1.0,2.0,145.0,120.0,46.0,,6.0,,21.0,2.0,1.0,2.0,1.0,,11.0,11.0,30.0,5.0,8.0,13.0,169.0,1.0,0.0,75.0,10.0,1.0,,,1.0,56.0,63.0,2.0,95.0,6.0,10.0,1.0,,3.0,1.0,120.0,1.0,13.0,152.0,694.0,3.0,3.0,17.0,,8.0,430.0,11.0,,16.0,1.0,4.0,1.0,17.0,491.0,33.0,504783,2.0,274.0,2.0,3.0,,,288.0,3.0,2.0,4.0,7.0,61.0,,1.0,5.0,15.0,2.0,1.0,34.0,441.0,5.0,5.0,14.0,1.0,67.0,1.0,,0.0,,4.0,2.0,0.0,2.0,1.0,1.0,50.0,15.0,1.0,2.0,,5.0,1.0,42.0,5.0,1.0,509.0,8.0,12.0,6.0,3.0,17.0,1.0,232.0,5.0,7.0,11.0,48.0,17.0,16.0,18.0,2.0,5.0,5.0,25.0,,4.0,5.0,,2.0,,,1.0,,,3.0,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,,35.02,103698.98,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.217,2.6457,0.832271,1.2126,,,,,,,,1.0
38,2444847,2025-05-25 16:00:00,"St. Mary's Stadium, Southampton",31289,Home,Southampton,Arsenal,1,2,L,0,1,0,0,42.0,1.0,17.0,34.0,2.0,3.0,5.0,,104.0,3.0,14.0,1.0,3.0,,2.0,83.0,105.0,52.0,1.0,7.0,2.0,14.0,1.0,2.0,,,2.0,11.0,9.0,34.0,5.0,7.0,13.0,129.0,,0.0,77.0,7.0,2.0,1.0,,1.0,31.0,46.0,2.0,60.0,6.0,16.0,2.0,1.0,1.0,,105.0,,16.0,92.0,530.0,2.0,2.0,17.0,,6.0,270.0,26.0,9.0,19.0,0.0,11.0,1.0,12.0,323.0,39.0,504783,1.0,152.0,,5.0,,1.0,163.0,4.0,,7.0,3.0,49.0,2.0,1.0,,13.0,,,47.0,278.0,7.0,10.0,29.0,2.0,57.0,2.0,1.0,0.0,1.0,8.0,2.0,0.0,1.0,,2.0,38.2,8.0,1.0,4.0,,,3.0,29.0,5.0,1.0,339.0,6.0,11.0,6.0,2.0,22.0,2.0,187.0,2.0,7.0,13.0,46.0,6.0,19.0,18.0,1.0,4.0,4.0,21.0,,7.0,5.0,1.0,6.0,,3.0,1.0,7.0,,5.0,3.0,3.0,3.0,1.0,,,1.0,,,,,,5.0,,,1.0,1.0,35.6,102200.04,,,,1.0,1.0,,1.0,,2.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,0.9922,1.4136,0.544568,0.6174,1.0,1.0,1.0,,,0.1351,,
