gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,successfulPutThrough,wonCorners,attOboxBlocked,attSvLowCentre,attOboxTarget,attSvHighRight,interceptionsInBox,attMissHighLeft,accurateFreekickCross,attSetpiece,attHdMiss,attGoalLowCentre,accuratePullBack,postScoringAtt,attMissLeft,attIboxPost,attMissHighRight,attPostLeft,hitWoodwork,fastestPlayer_topSpeed,totalDistance,attRfGoal,totalPullBack,attCmissHigh,goalAssistIntentional,effectiveBlockedCross,blockedCross,attGoalHighRight,attSvHighLeft,shieldBallOop,attSvHighCentre,attHdGoal,ptsDroppedWinningPos,errorLeadToGoal,errorLeadToShot,attGoalHighLeft,clearanceOffLine,attFreekickTotal,freekickTotal,goalAssistSetplay,goalAssistDeadball,shotFastbreak,attOneOnOne,penaltyWon,totalFastbreak,midfielderGoals,contentiousDecision,subsGoals,sixYardBlock,defenderGoals,attPenGoal,attFastbreak,attFreekickMiss,attOboxGoal,ptsGainedLosingPos,attGoalHighCentre,handBall,cleanSheet,goalsConcededObox,penaltyConceded,penaltyFaced,penGoalsConceded,attObxdLeft,goalFastbreak,attPostHigh,attLgCentre,attCmissLeft,expectedGoalsFreekick,attObxdRight,attCmissHighRight,attHdPost,attCmissHighLeft,attOboxPost,attPenTarget
27,2444730,2025-02-26 19:30:00,"Gtech Community Stadium, Brentford",17082,Home,Brentford,Everton,1,1,D,1,0,0,0,,1.0,48.0,,,1.0,2.0,0.8901,25.0,24.0,4.0,3.0,8.0,3.0,,1.0,141.0,4.0,9.0,1.0,1.0,8.0,1.0,3.0,119.0,120.0,41.0,12.0,16.0,1.0,1.0,,,20.0,8.0,24.0,1.0,8.0,32.0,2.3591,172.0,0.0,151.0,3.0,,,,3.0,56.0,62.0,4.0,76.0,2.0,19.0,17.0,4.0,7.0,2.0,120.0,1.0,7.0,122.0,642.0,6.0,6.0,31.0,1.0,9.0,365.0,10.0,5.0,14.0,,,2.0,2.0,4.0,0.792531,21.0,438.0,56.0,1.0,513418,3.0,216.0,1.0,12.0,229.0,2.0,10.0,11.0,38.0,,1.0,1.0,7.0,,8.0,7.0,10.0,,44.0,384.0,5.0,4.0,2.0,12.0,1.0,50.0,,1.0,0.0,1.0,5.0,2.0,1.0,1.0,1.0,0.0,4.0,5.0,51.8,16.0,3.0,,7.0,3.0,30.0,2.0,3.0,458.0,9.0,4.0,16.0,6.0,34.0,,3.0,249.0,4.0,8.0,15.0,106.0,24.0,1.0,,14.0,13.0,1.0,5.0,2.0,20.0,1.4776,10.0,2.0,1.0,1.0,1.0,,2.0,,,1.0,2.0,,,1.0,2.0,1.0,1.0,,1.0,34.27,112004.06,,2.0,,,3.0,3.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,,
28,2444740,2025-03-08 17:30:00,"Gtech Community Stadium, Brentford",17171,Home,Brentford,Aston Villa,0,1,L,0,0,0,0,1.0,,54.0,,,,4.0,0.7022,27.0,32.0,6.0,5.0,7.0,3.0,,2.0,148.0,5.0,9.0,,,9.0,,3.0,109.0,113.0,51.0,13.0,16.0,1.0,1.0,,,27.0,6.0,32.0,4.0,7.0,33.0,0.6853,210.0,0.0,154.0,10.0,1.0,2.0,,2.0,84.0,64.0,7.0,90.0,,23.0,24.0,6.0,10.0,1.0,113.0,,10.0,112.0,656.0,7.0,6.0,37.0,,7.0,381.0,18.0,7.0,21.0,,,2.0,6.0,2.0,0.513188,12.0,443.0,59.0,,513418,4.0,190.0,,13.0,202.0,5.0,14.0,3.0,43.0,,1.0,2.0,5.0,,11.0,2.0,3.0,,47.0,395.0,4.0,6.0,2.0,14.0,3.0,50.0,,,0.0,1.0,5.0,3.0,,1.0,3.0,0.0,4.0,1.0,59.9,10.0,4.0,,5.0,6.0,32.0,6.0,2.0,459.0,7.0,7.0,17.0,4.0,45.0,1.0,2.0,284.0,7.0,5.0,23.0,114.0,26.0,,,21.0,15.0,1.0,5.0,2.0,13.0,0.8339,14.0,6.0,2.0,1.0,2.0,,,1.0,,,1.0,,,1.0,2.0,,,1.0,1.0,35.14,103801.26,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,
29,2444750,2025-03-15 17:30:00,"Vitality Stadium, Bournemouth",11180,Away,Brentford,Bournemouth,2,1,W,1,1,0,0,1.0,2.0,54.0,1.0,1.0,1.0,,2.2227,32.0,39.0,3.0,4.0,7.0,5.0,,,171.0,2.0,7.0,2.0,3.0,7.0,1.0,4.0,76.0,155.0,60.0,10.0,21.0,2.0,1.0,,,10.0,10.0,39.0,3.0,9.0,24.0,1.0171,131.0,0.0,135.0,7.0,2.0,,1.0,1.0,58.0,59.0,4.0,47.0,1.0,7.0,15.0,3.0,,2.0,155.0,1.0,14.0,56.0,551.0,5.0,10.0,26.0,1.0,8.0,231.0,20.0,17.0,20.0,1.0,,0.0,5.0,3.0,0.782054,22.0,324.0,61.0,1.0,446008,4.0,118.0,,6.0,146.0,3.0,9.0,9.0,50.0,1.0,2.0,2.0,2.0,,12.0,4.0,5.0,3.0,68.0,247.0,13.0,6.0,1.0,36.0,2.0,66.0,,,0.0,2.0,4.0,4.0,2.0,1.0,1.0,0.0,1.0,3.0,41.3,10.0,6.0,,2.0,1.0,34.0,3.0,1.0,350.0,8.0,6.0,9.0,5.0,24.0,1.0,3.0,214.0,3.0,7.0,22.0,84.0,20.0,1.0,1.0,20.0,18.0,1.0,4.0,4.0,17.0,0.8333,9.0,3.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,,,1.0,,,33.74,110722.64,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,1.0,,3.0,,,,,,,,,,,,,0.0352,,,,,,
30,2444768,2025-04-02 19:45:00,"St. James' Park, Newcastle",52021,Away,Brentford,Newcastle United,1,2,L,0,1,0,0,,1.0,55.0,,1.0,,5.0,1.2776,36.0,20.0,2.0,3.0,10.0,2.0,1.0,1.0,169.0,4.0,9.0,1.0,2.0,8.0,,3.0,92.0,159.0,48.0,12.0,15.0,2.0,4.0,,,16.0,6.0,20.0,4.0,7.0,38.0,1.5957,161.0,0.0,117.0,12.0,1.0,,1.0,1.0,55.0,45.0,7.0,77.0,,12.0,17.0,2.0,2.0,1.0,159.0,1.0,15.0,89.0,615.0,8.0,10.0,37.0,1.0,7.0,314.0,21.0,4.0,9.0,,,1.0,7.0,1.0,0.676643,13.0,397.0,67.0,,513418,5.0,172.0,1.0,9.0,198.0,5.0,8.0,12.0,57.0,,1.0,,3.0,,23.0,6.0,6.0,2.0,76.0,329.0,12.0,10.0,,24.0,1.0,71.0,,1.0,0.0,,4.0,2.0,1.0,2.0,2.0,0.0,3.0,2.0,51.6,8.0,3.0,1.0,3.0,6.0,30.0,5.0,1.0,427.0,7.0,6.0,16.0,3.0,32.0,1.0,1.0,245.0,7.0,7.0,17.0,69.0,24.0,,,9.0,11.0,1.0,8.0,3.0,24.0,1.6039,8.0,5.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,1.0,1.0,31.66,113310.7,,,,,,,,1.0,1.0,,,,1.0,4.0,,,,,,,2.0,,1.0,2.0,1.0,,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,
31,2444771,2025-04-06 14:00:00,"Gtech Community Stadium, Brentford",17183,Home,Brentford,Chelsea,0,0,D,0,0,0,0,1.0,,54.0,,,2.0,1.0,0.4758,27.0,20.0,2.0,4.0,7.0,6.0,,,137.0,4.0,6.0,,3.0,8.0,2.0,2.0,69.0,132.0,49.0,9.0,15.0,2.0,,1.0,,20.0,11.0,20.0,2.0,8.0,37.0,1.0881,101.0,0.0,92.0,12.0,2.0,1.0,4.0,2.0,43.0,45.0,4.0,47.0,2.0,18.0,14.0,2.0,8.0,1.0,132.0,3.0,12.0,77.0,523.0,6.0,4.0,25.0,1.0,9.0,241.0,24.0,6.0,11.0,,1.0,1.0,7.0,3.0,1.78859,18.0,309.0,49.0,1.0,513418,5.0,154.0,3.0,6.0,179.0,6.0,7.0,9.0,43.0,,2.0,3.0,4.0,,19.0,9.0,3.0,2.0,61.0,251.0,12.0,5.0,1.0,24.0,2.0,59.0,,,0.0,,6.0,3.0,,,2.0,0.0,3.0,3.0,40.9,14.0,3.0,,4.0,2.0,24.0,3.0,2.0,330.0,9.0,7.0,23.0,5.0,26.0,1.0,4.0,171.0,2.0,7.0,8.0,60.0,18.0,,,11.0,23.0,,6.0,3.0,10.0,1.1849,7.0,3.0,1.0,,,,2.0,,1.0,,2.0,,,,1.0,,,,,34.0,106781.82,,2.0,2.0,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,1.0,0.1082,,,,,,
32,2444781,2025-04-12 17:30:00,"Emirates Stadium, London",60184,Away,Brentford,Arsenal,1,1,D,0,0,0,0,,1.0,37.0,,,1.0,,0.2974,22.0,35.0,,1.0,3.0,2.0,,1.0,98.0,2.0,2.0,1.0,,2.0,,2.0,57.0,94.0,40.0,3.0,11.0,1.0,1.0,,,10.0,10.0,35.0,4.0,5.0,28.0,0.4181,79.0,0.0,80.0,9.0,3.0,,,,18.0,30.0,2.0,53.0,,6.0,9.0,,3.0,,94.0,1.0,8.0,72.0,421.0,1.0,4.0,16.0,,8.0,202.0,17.0,4.0,16.0,1.0,,3.0,6.0,,0.562541,12.0,256.0,38.0,1.0,191866,1.0,142.0,,3.0,157.0,6.0,8.0,9.0,38.0,,3.0,1.0,2.0,,11.0,6.0,6.0,,47.0,219.0,7.0,14.0,,14.0,2.0,44.0,1.0,1.0,0.0,3.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,,36.4,6.0,2.0,1.0,2.0,,19.0,5.0,,280.0,8.0,1.0,15.0,1.0,28.0,1.0,1.0,133.0,2.0,5.0,14.0,47.0,14.0,1.0,,16.0,17.0,1.0,1.0,4.0,5.0,0.2437,8.0,5.0,,,,,3.0,,,,,1.0,,,1.0,,,,,34.04,103658.69,1.0,,,1.0,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
33,2444791,2025-04-19 15:00:00,"Gtech Community Stadium, Brentford",17083,Home,Brentford,Brighton and Hove Albion,4,2,W,1,1,0,1,,2.0,43.0,3.0,,,2.0,3.5373,31.0,23.0,2.0,4.0,14.0,1.0,1.0,1.0,134.0,8.0,10.0,4.0,2.0,14.0,1.0,8.0,98.0,131.0,54.0,16.0,16.0,4.0,3.0,1.0,3.0,17.0,13.0,23.0,4.0,6.0,34.0,1.2055,167.0,0.0,112.0,7.0,,1.0,3.0,1.0,39.0,60.0,10.0,69.0,2.0,13.0,14.0,2.0,8.0,1.0,131.0,5.0,7.0,120.0,617.0,7.0,3.0,36.0,3.0,9.0,324.0,18.0,4.0,14.0,4.0,1.0,3.0,3.0,4.0,1.39165,22.0,402.0,58.0,1.0,444765,7.0,180.0,4.0,2.0,209.0,2.0,3.0,7.0,44.0,,2.0,1.0,1.0,3.0,15.0,5.0,3.0,1.0,68.0,339.0,11.0,6.0,3.0,26.0,5.0,58.0,,,0.0,3.0,8.0,1.0,4.0,2.0,1.0,0.0,5.0,6.0,46.4,19.0,6.0,,1.0,3.0,28.0,4.0,1.0,421.0,9.0,6.0,19.0,5.0,28.0,3.0,4.0,229.0,6.0,6.0,13.0,78.0,13.0,1.0,,14.0,20.0,2.0,10.0,6.0,22.0,2.1729,3.0,4.0,1.0,2.0,,,1.0,,1.0,1.0,2.0,1.0,1.0,,2.0,,,,,34.04,113121.99,2.0,2.0,,4.0,5.0,5.0,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,2.0,3.0,,,2.0,,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,
34,2444807,2025-05-01 19:30:00,"The City Ground, Nottingham",29040,Away,Brentford,Nottingham Forest,2,0,W,1,0,0,0,,2.0,50.0,1.0,1.0,2.0,3.0,1.7403,24.0,33.0,1.0,4.0,10.0,5.0,,,125.0,6.0,10.0,2.0,,10.0,,3.0,73.0,123.0,51.0,11.0,15.0,1.0,3.0,,1.0,14.0,14.0,33.0,5.0,10.0,23.0,0.8483,84.0,0.0,81.0,12.0,2.0,,2.0,3.0,18.0,41.0,6.0,52.0,1.0,9.0,9.0,1.0,1.0,1.0,123.0,3.0,11.0,73.0,507.0,5.0,6.0,23.0,1.0,5.0,229.0,19.0,5.0,19.0,2.0,,5.0,5.0,4.0,0.912452,10.0,294.0,49.0,1.0,446008,6.0,167.0,1.0,6.0,186.0,4.0,6.0,12.0,43.0,,1.0,,6.0,2.0,24.0,3.0,7.0,1.0,52.0,245.0,8.0,8.0,3.0,19.0,3.0,58.0,,,0.0,2.0,4.0,3.0,2.0,,1.0,0.0,4.0,3.0,45.4,7.0,3.0,,6.0,3.0,29.0,5.0,3.0,323.0,5.0,7.0,11.0,5.0,23.0,2.0,4.0,151.0,4.0,8.0,17.0,45.0,16.0,1.0,,19.0,16.0,,7.0,4.0,11.0,1.2876,6.0,5.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,,1.0,,,34.77,104853.44,2.0,,,1.0,2.0,2.0,,,5.0,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
35,2444812,2025-05-04 14:00:00,"Gtech Community Stadium, Brentford",17190,Home,Brentford,Manchester United,4,3,W,2,1,0,0,,3.0,48.0,1.0,,,1.0,3.2459,19.0,16.0,1.0,3.0,11.0,2.0,,2.0,133.0,3.0,10.0,4.0,3.0,9.0,2.0,6.0,98.0,142.0,56.0,12.0,7.0,3.0,1.0,,2.0,20.0,8.0,16.0,6.0,10.0,27.0,1.1286,155.0,0.0,128.0,8.0,,,2.0,,42.0,73.0,6.0,71.0,3.0,15.0,22.0,1.0,7.0,,142.0,5.0,9.0,108.0,603.0,4.0,6.0,27.0,1.0,6.0,312.0,15.0,9.0,8.0,2.0,,0.0,7.0,3.0,1.49892,23.0,392.0,53.0,1.0,216646,5.0,175.0,3.0,6.0,196.0,3.0,11.0,4.0,38.0,,2.0,,2.0,3.0,19.0,5.0,3.0,1.0,44.0,327.0,10.0,6.0,3.0,22.0,2.0,52.0,2.0,,0.0,,4.0,2.0,4.0,3.0,,0.0,3.0,4.0,46.8,17.0,9.0,1.0,2.0,2.0,26.0,7.0,,410.0,6.0,5.0,12.0,4.0,33.0,1.0,4.0,234.0,5.0,9.0,16.0,86.0,17.0,1.0,,8.0,20.0,2.0,6.0,5.0,22.0,2.7954,11.0,7.0,1.0,1.0,,,,,1.0,1.0,1.0,2.0,,,,,,,,34.19,112348.52,1.0,,1.0,2.0,1.0,1.0,,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,2.0,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,
36,2444822,2025-05-10 15:00:00,"Portman Road, Ipswich",29511,Away,Brentford,Ipswich Town,1,0,W,1,0,0,0,,1.0,41.0,,,,2.0,1.1953,25.0,17.0,4.0,2.0,11.0,4.0,,4.0,123.0,4.0,7.0,1.0,2.0,10.0,1.0,5.0,90.0,112.0,38.0,15.0,16.0,4.0,1.0,,,22.0,6.0,17.0,6.0,4.0,21.0,0.9339,142.0,0.0,106.0,12.0,2.0,1.0,2.0,1.0,30.0,66.0,7.0,60.0,1.0,16.0,9.0,4.0,8.0,,112.0,1.0,5.0,103.0,542.0,9.0,2.0,27.0,,5.0,314.0,16.0,7.0,8.0,1.0,,4.0,2.0,3.0,0.902808,18.0,361.0,52.0,,446008,7.0,181.0,1.0,6.0,197.0,4.0,7.0,8.0,49.0,,,,1.0,,14.0,6.0,1.0,1.0,57.0,319.0,6.0,9.0,,19.0,1.0,44.0,1.0,,0.0,1.0,5.0,4.0,1.0,,,0.0,3.0,3.0,50.5,8.0,4.0,,1.0,6.0,19.0,6.0,1.0,376.0,5.0,8.0,10.0,4.0,34.0,1.0,4.0,201.0,10.0,3.0,12.0,78.0,18.0,,,8.0,13.0,,11.0,3.0,11.0,1.4129,7.0,6.0,4.0,3.0,,,,,,,1.0,,,,1.0,,2.0,,,34.32,100454.05,,,,1.0,2.0,2.0,,,3.0,,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
37,2444832,2025-05-18 15:00:00,"Gtech Community Stadium, Brentford",17136,Home,Brentford,Fulham,2,3,L,2,1,0,0,1.0,1.0,59.0,1.0,,2.0,1.0,2.6976,24.0,15.0,1.0,2.0,10.0,4.0,1.0,1.0,140.0,4.0,8.0,2.0,3.0,6.0,1.0,6.0,90.0,137.0,42.0,11.0,22.0,4.0,1.0,,1.0,19.0,7.0,15.0,5.0,6.0,31.0,1.8698,171.0,0.0,141.0,12.0,2.0,2.0,1.0,,55.0,53.0,5.0,62.0,1.0,14.0,18.0,1.0,3.0,,137.0,2.0,9.0,82.0,550.0,4.0,5.0,36.0,2.0,5.0,280.0,19.0,6.0,13.0,1.0,,4.0,9.0,1.0,0.823951,18.0,358.0,66.0,3.0,513418,6.0,125.0,3.0,10.0,138.0,3.0,3.0,4.0,56.0,,5.0,,5.0,1.0,15.0,7.0,3.0,1.0,51.0,292.0,8.0,5.0,1.0,18.0,,48.0,1.0,,0.0,,3.0,2.0,2.0,3.0,4.0,0.0,4.0,4.0,50.5,12.0,11.0,1.0,5.0,2.0,31.0,5.0,,374.0,5.0,10.0,9.0,3.0,37.0,1.0,3.0,255.0,5.0,5.0,15.0,86.0,19.0,1.0,,13.0,11.0,2.0,5.0,4.0,17.0,2.8717,3.0,5.0,1.0,1.0,,,,1.0,,,2.0,1.0,,,2.0,,,,,34.15,106622.69,1.0,3.0,,1.0,1.0,1.0,,,1.0,1.0,,3.0,,1.0,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0
38,2444849,2025-05-25 16:00:00,"Molineux Stadium, Wolverhampton",31382,Away,Brentford,Wolverhampton Wanderers,1,1,D,1,0,0,0,,1.0,63.0,,,3.0,1.0,1.8436,28.0,21.0,2.0,3.0,11.0,5.0,,3.0,147.0,4.0,3.0,1.0,1.0,9.0,1.0,7.0,114.0,136.0,46.0,13.0,19.0,5.0,1.0,,1.0,13.0,13.0,21.0,3.0,10.0,26.0,0.5406,152.0,0.0,108.0,9.0,3.0,1.0,2.0,1.0,51.0,57.0,7.0,73.0,2.0,10.0,9.0,2.0,6.0,1.0,136.0,3.0,8.0,120.0,650.0,7.0,3.0,27.0,3.0,6.0,370.0,32.0,3.0,11.0,1.0,,1.0,4.0,2.0,0.623555,19.0,433.0,54.0,,513418,8.0,235.0,2.0,2.0,252.0,5.0,5.0,9.0,67.0,,3.0,1.0,2.0,1.0,22.0,10.0,4.0,1.0,54.0,383.0,7.0,14.0,1.0,14.0,1.0,56.0,1.0,,0.0,1.0,8.0,2.0,1.0,1.0,1.0,0.0,3.0,4.0,51.4,13.0,9.0,1.0,3.0,1.0,34.0,3.0,1.0,454.0,6.0,11.0,15.0,5.0,34.0,1.0,4.0,215.0,6.0,8.0,13.0,69.0,14.0,,,11.0,23.0,,10.0,3.0,17.0,1.4321,5.0,3.0,,3.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,34.63,108791.19,1.0,1.0,1.0,1.0,4.0,4.0,,1.0,1.0,,,2.0,,1.0,,,,,,,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,
