gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,attSvHighLeft,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,successfulPutThrough,wonCorners,savedObox,attRfTarget,shotFastbreak,attSvLowCentre,totalFastbreak,sixYardBlock,totalThroughBall,attCorner,attFastbreak,attCmissLeft,punches,effectiveBlockedCross,errorLeadToGoal,blockedCross,bigChanceScored,goalAssistSetplay,attCmissRight,postScoringAtt,goalAssistOpenplay,attIboxPost,attOboxTarget,attMissHighRight,bigChanceCreated,attPostLeft,attHdPost,hitWoodwork,goalAssist,accurateThroughBall,fastestPlayer_topSpeed,bigChanceMissed,totalDistance,totalPullBack,goalAssistIntentional,attSvHighCentre,forwardGoals,ptsDroppedWinningPos,goalAssistDeadball,attOneOnOne,attPostHigh,shieldBallOop,clearanceOffLine,attFreekickTotal,attSvLowLeft,freekickTotal,attHdTarget,attMissHighLeft,attObxRight,ptsGainedLosingPos,penaltySave,cleanSheet,expectedGoalsFreekick,penaltyConceded,penaltyFaced,attFreekickMiss,handBall,accuratePullBack,attFreekickTarget,attOboxPost,attSvLowRight,attCmissHighRight,attSvHighRight,attCmissHighLeft,penaltyWon,secondYellow,goalFastbreak,attPostRight
27,2444730,2025-02-26 19:30:00,"Gtech Community Stadium, Brentford",17082.0,Away,Everton,Brentford,1,1,D,0,1,0,0,,,47.0,1.0,,2.0,2.3591,26.0,33.0,7.0,2.0,7.0,2.0,,121.0,,4.0,4.0,1.0,1.0,10.0,4.0,113.0,117.0,38.0,14.0,,15.0,2.0,,,1.0,21.0,8.0,,33.0,5.0,10.0,24.0,0.8901,188.0,,0.0,115.0,6.0,,1.0,,,1.0,,65.0,48.0,5.0,78.0,,1.0,16.0,19.0,7.0,,,7.0,6.0,117.0,,8.0,,113.0,591.0,8.0,6.0,17.0,4.0,340.0,18.0,7.0,18.0,,1.0,3.0,5.0,0.522957,23.0,410.0,47.0,,,486385,5.0,167.0,8.0,,195.0,2.0,,6.0,8.0,41.0,,,1.0,,4.0,1.0,8.0,4.0,7.0,1.0,,48.0,351.0,3.0,9.0,1.0,16.0,47.0,,,,0.0,,2.0,1.0,1.0,1.0,,0.0,2.0,2.0,48.2,19.0,,1.0,2.0,5.0,2.0,27.0,5.0,,425.0,4.0,7.0,11.0,8.0,25.0,2.0,2.0,251.0,10.0,10.0,16.0,82.0,20.0,18.0,15.0,1.0,1.0,12.0,2.0,10.0,1.3698,6.0,5.0,1.0,3.0,3.0,,3.0,1.0,,2.0,3.0,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,4.0,2.0,,,,1.0,,34.55,2.0,111827.57,,1.0,2.0,,,,2.0,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,
28,2444749,2025-03-08 20:00:00,"Molineux Stadium, Wolverhampton",30738.0,Away,Everton,Wolverhampton Wanderers,1,1,D,1,1,0,0,,1.0,42.0,,1.0,4.0,1.4977,25.0,35.0,5.0,4.0,7.0,2.0,1.0,111.0,,5.0,5.0,1.0,1.0,10.0,4.0,70.0,110.0,62.0,12.0,3.0,9.0,2.0,,,,16.0,16.0,,35.0,4.0,3.0,21.0,1.1193,87.0,,0.0,74.0,16.0,,2.0,,1.0,1.0,,22.0,32.0,9.0,57.0,,,12.0,15.0,5.0,,,5.0,1.0,110.0,,5.0,,68.0,497.0,7.0,5.0,18.0,8.0,218.0,18.0,5.0,23.0,,2.0,3.0,1.0,0.741237,9.0,281.0,35.0,1.0,,486385,4.0,151.0,6.0,1.0,171.0,10.0,,9.0,11.0,44.0,,,,1.0,5.0,1.0,12.0,6.0,6.0,1.0,,57.0,233.0,10.0,6.0,2.0,20.0,46.0,,,,0.0,,5.0,2.0,1.0,1.0,,0.0,2.0,2.0,34.5,9.0,,3.0,1.0,5.0,7.0,22.0,5.0,1.0,306.0,8.0,9.0,12.0,1.0,24.0,3.0,,151.0,6.0,3.0,15.0,42.0,14.0,23.0,32.0,,1.0,8.0,3.0,9.0,1.4143,9.0,5.0,,2.0,1.0,2.0,1.0,2.0,,3.0,1.0,,1.0,2.0,1.0,2.0,,,,,1.0,,1.0,,2.0,,,,1.0,,31.57,2.0,109473.83,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
29,2444753,2025-03-15 15:00:00,"Goodison Park, Liverpool",39343.0,Home,Everton,West Ham United,1,1,D,0,0,0,0,,1.0,44.0,,,4.0,1.4561,27.0,25.0,1.0,4.0,12.0,5.0,,166.0,1.0,10.0,6.0,1.0,2.0,11.0,5.0,119.0,139.0,49.0,13.0,,24.0,3.0,1.0,1.0,2.0,34.0,9.0,,25.0,5.0,7.0,22.0,1.8235,256.0,,0.0,176.0,12.0,,3.0,,,3.0,,86.0,95.0,8.0,101.0,,,29.0,18.0,1.0,,,8.0,,139.0,1.0,8.0,,102.0,706.0,10.0,3.0,29.0,9.0,403.0,15.0,4.0,13.0,1.0,1.0,1.0,3.0,1.49076,21.0,475.0,63.0,,,221399,7.0,167.0,18.0,,182.0,8.0,,11.0,4.0,63.0,2.0,,1.0,1.0,5.0,,16.0,2.0,2.0,2.0,,52.0,413.0,8.0,10.0,,17.0,70.0,,,,0.0,2.0,5.0,3.0,1.0,1.0,1.0,0.0,9.0,5.0,53.9,18.0,2.0,7.0,1.0,6.0,4.0,47.0,6.0,,488.0,9.0,15.0,14.0,4.0,37.0,1.0,4.0,340.0,4.0,7.0,20.0,134.0,15.0,13.0,15.0,1.0,1.0,8.0,4.0,8.0,0.9969,11.0,6.0,1.0,1.0,,2.0,,1.0,,4.0,,1.0,,3.0,,3.0,1.0,1.0,,,,,1.0,,1.0,,,,1.0,,32.52,,107422.92,,1.0,1.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,1.0,,,,,,,
30,2444766,2025-04-02 20:00:00,"Anfield, Liverpool",60331.0,Away,Everton,Liverpool,0,1,L,0,0,0,0,,,47.0,,,1.0,,16.0,47.0,2.0,2.0,3.0,3.0,,100.0,,1.0,3.0,,1.0,4.0,,41.0,126.0,51.0,5.0,2.0,15.0,,,,,17.0,12.0,,47.0,5.0,1.0,20.0,0.2695,55.0,,0.0,68.0,11.0,,1.0,,,,2.0,23.0,24.0,2.0,16.0,2.0,1.0,12.0,21.0,2.0,,,3.0,,126.0,,11.0,,49.0,419.0,2.0,6.0,17.0,12.0,119.0,21.0,9.0,27.0,,2.0,9.0,2.0,0.197088,10.0,184.0,30.0,,,486385,2.0,76.0,9.0,1.0,93.0,7.0,,13.0,9.0,49.0,,,,4.0,5.0,,12.0,6.0,4.0,,,50.0,130.0,7.0,10.0,2.0,24.0,52.0,,,,0.0,1.0,11.0,1.0,,1.0,1.0,0.0,,1.0,26.1,7.0,1.0,2.0,1.0,5.0,3.0,17.0,5.0,2.0,206.0,12.0,8.0,8.0,2.0,31.0,1.0,1.0,130.0,2.0,1.0,24.0,35.0,14.0,27.0,17.0,,1.0,3.0,5.0,9.0,0.665,13.0,5.0,1.0,,2.0,,2.0,1.0,,,2.0,,2.0,2.0,,2.0,,,,1.0,,1.0,,,2.0,1.0,,1.0,,,34.42,2.0,110191.87,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2444773,2025-04-05 12:30:00,"Goodison Park, Liverpool",39316.0,Home,Everton,Arsenal,1,1,D,0,1,0,0,,1.0,25.0,,1.0,,0.9572,15.0,31.0,2.0,1.0,3.0,3.0,,74.0,,2.0,7.0,1.0,3.0,4.0,2.0,38.0,109.0,44.0,5.0,1.0,18.0,1.0,,,,14.0,11.0,,31.0,2.0,,20.0,0.65,66.0,,0.0,74.0,17.0,,1.0,,1.0,3.0,,28.0,18.0,2.0,27.0,,,12.0,17.0,2.0,,,2.0,1.0,109.0,,11.0,,50.0,375.0,4.0,1.0,19.0,5.0,113.0,10.0,3.0,19.0,,3.0,6.0,2.0,0.549513,17.0,162.0,38.0,1.0,,490094,2.0,66.0,7.0,,72.0,11.0,1.0,11.0,13.0,65.0,,,,,,,11.0,3.0,9.0,1.0,1.0,41.0,130.0,13.0,9.0,,16.0,45.0,,,,0.0,,8.0,3.0,1.0,1.0,,0.0,2.0,1.0,29.7,12.0,1.0,4.0,1.0,,1.0,17.0,3.0,,189.0,5.0,12.0,8.0,2.0,27.0,,1.0,131.0,3.0,,7.0,39.0,7.0,19.0,17.0,,1.0,3.0,5.0,17.0,1.0886,11.0,3.0,1.0,,2.0,,2.0,,1.0,1.0,2.0,,1.0,2.0,1.0,2.0,1.0,,,,,,,,1.0,,,,,1.0,34.34,1.0,100556.65,1.0,,,,,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,
32,2444787,2025-04-12 15:00:00,"The City Ground, Nottingham",30199.0,Away,Everton,Nottingham Forest,1,0,W,0,0,0,0,,1.0,48.0,,,2.0,1.3467,32.0,29.0,5.0,5.0,8.0,5.0,,152.0,,7.0,5.0,1.0,2.0,9.0,5.0,109.0,140.0,47.0,13.0,2.0,19.0,4.0,2.0,,1.0,24.0,6.0,,29.0,7.0,6.0,34.0,0.7796,213.0,,0.0,156.0,13.0,,,,1.0,3.0,1.0,83.0,75.0,6.0,81.0,,,17.0,13.0,5.0,,,4.0,3.0,140.0,,5.0,,102.0,630.0,8.0,3.0,29.0,1.0,354.0,18.0,7.0,20.0,,3.0,3.0,3.0,1.17531,17.0,430.0,74.0,2.0,,440323,4.0,156.0,10.0,,171.0,5.0,1.0,4.0,5.0,48.0,,,,1.0,5.0,1.0,20.0,5.0,2.0,2.0,,62.0,362.0,9.0,1.0,,28.0,72.0,1.0,,,0.0,1.0,1.0,5.0,1.0,,1.0,0.0,6.0,1.0,57.6,13.0,,2.0,2.0,5.0,4.0,41.0,7.0,1.0,444.0,1.0,7.0,25.0,4.0,36.0,1.0,1.0,297.0,7.0,6.0,24.0,114.0,22.0,20.0,9.0,,,12.0,3.0,13.0,1.3565,4.0,7.0,,2.0,2.0,2.0,3.0,,2.0,1.0,2.0,,,,,,1.0,,,,1.0,,,,2.0,,,,1.0,1.0,33.71,1.0,104022.77,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,
33,2444793,2025-04-19 15:00:00,"Goodison Park, Liverpool",39332.0,Home,Everton,Manchester City,0,2,L,0,0,0,0,,1.0,45.0,,,3.0,0.8913,34.0,23.0,1.0,2.0,7.0,4.0,,117.0,,6.0,12.0,,,5.0,3.0,71.0,107.0,57.0,8.0,,10.0,3.0,,3.0,,14.0,10.0,,23.0,2.0,5.0,26.0,2.8881,106.0,,0.0,90.0,7.0,,2.0,1.0,,2.0,,34.0,45.0,3.0,60.0,1.0,1.0,12.0,15.0,1.0,,,3.0,1.0,107.0,,8.0,,70.0,499.0,4.0,7.0,21.0,13.0,236.0,13.0,10.0,13.0,3.0,4.0,3.0,2.0,0.477415,13.0,303.0,46.0,2.0,2.0,486385,2.0,149.0,7.0,1.0,166.0,4.0,,7.0,6.0,38.0,,,,5.0,4.0,,15.0,4.0,5.0,,,58.0,249.0,6.0,14.0,1.0,22.0,52.0,,,,0.0,2.0,5.0,3.0,,2.0,1.0,0.0,5.0,2.0,32.6,12.0,,4.0,4.0,4.0,3.0,27.0,2.0,,318.0,13.0,5.0,18.0,2.0,24.0,1.0,,166.0,4.0,5.0,21.0,58.0,15.0,13.0,19.0,,2.0,6.0,5.0,14.0,0.9113,7.0,2.0,2.0,1.0,,1.0,,2.0,,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,1.0,,,33.5,1.0,109216.78,1.0,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
34,2444803,2025-04-26 12:30:00,"Stamford Bridge, London",39894.0,Away,Everton,Chelsea,0,1,L,0,1,0,0,1.0,1.0,50.0,,,2.0,0.9855,24.0,21.0,2.0,1.0,4.0,6.0,,128.0,,6.0,5.0,,1.0,3.0,3.0,107.0,121.0,41.0,6.0,,13.0,1.0,2.0,,,18.0,13.0,,21.0,2.0,3.0,25.0,1.7349,154.0,,0.0,78.0,11.0,,3.0,,,1.0,,49.0,66.0,2.0,61.0,,1.0,16.0,9.0,2.0,,,8.0,,121.0,,5.0,,116.0,600.0,3.0,3.0,11.0,7.0,334.0,21.0,6.0,14.0,,0.0,1.0,1.0,0.262035,17.0,394.0,51.0,1.0,2.0,121599,2.0,200.0,7.0,,214.0,6.0,,6.0,6.0,62.0,,,,3.0,10.0,,14.0,5.0,6.0,,,51.0,348.0,11.0,17.0,,19.0,70.0,,,,0.0,2.0,10.0,4.0,,1.0,,0.0,6.0,1.0,45.3,14.0,1.0,1.0,,10.0,2.0,47.0,2.0,,412.0,7.0,14.0,10.0,1.0,29.0,,1.0,216.0,4.0,3.0,8.0,41.0,17.0,14.0,17.0,,,5.0,4.0,14.0,0.4417,6.0,2.0,2.0,2.0,,1.0,,,,,,,1.0,3.0,1.0,3.0,,,,,,,2.0,,2.0,,,,,,32.44,2.0,109043.09,1.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
35,2444816,2025-05-03 15:00:00,"Goodison Park, Liverpool",39305.0,Home,Everton,Ipswich Town,2,2,D,2,1,0,0,1.0,,38.0,1.0,1.0,1.0,1.4825,26.0,14.0,2.0,1.0,6.0,3.0,1.0,142.0,1.0,6.0,5.0,2.0,3.0,5.0,3.0,135.0,118.0,54.0,8.0,1.0,19.0,1.0,,1.0,1.0,31.0,10.0,,14.0,2.0,8.0,33.0,1.2112,257.0,1.0,0.0,162.0,12.0,,,,1.0,3.0,,65.0,84.0,3.0,84.0,,1.0,29.0,11.0,2.0,,,7.0,,118.0,,6.0,,120.0,658.0,3.0,5.0,23.0,7.0,409.0,10.0,10.0,8.0,1.0,4.0,2.0,2.0,0.688403,21.0,462.0,64.0,1.0,,512462,5.0,172.0,19.0,1.0,175.0,7.0,,7.0,4.0,53.0,,,,,3.0,2.0,15.0,6.0,4.0,2.0,,51.0,423.0,14.0,7.0,,21.0,68.0,,,,0.0,,3.0,1.0,1.0,2.0,2.0,0.0,5.0,5.0,57.5,16.0,3.0,5.0,,3.0,1.0,48.0,2.0,,481.0,7.0,9.0,15.0,4.0,36.0,1.0,4.0,337.0,2.0,7.0,18.0,120.0,18.0,8.0,18.0,1.0,1.0,4.0,5.0,11.0,0.5539,7.0,3.0,2.0,,,1.0,,,,2.0,,,,1.0,,1.0,1.0,,,,2.0,,,,2.0,,,,2.0,,33.95,1.0,107479.9,,1.0,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
36,2444821,2025-05-10 15:00:00,"Craven Cottage, London",27653.0,Away,Everton,Fulham,3,1,W,1,1,0,0,,1.0,44.0,2.0,1.0,3.0,1.3709,25.0,31.0,2.0,4.0,9.0,5.0,1.0,133.0,,6.0,2.0,3.0,,9.0,7.0,70.0,117.0,43.0,11.0,,11.0,4.0,2.0,,1.0,17.0,6.0,,31.0,3.0,9.0,28.0,1.2805,105.0,2.0,0.0,89.0,9.0,,1.0,,,1.0,1.0,22.0,51.0,8.0,50.0,1.0,1.0,14.0,21.0,2.0,,,3.0,,117.0,,12.0,,61.0,507.0,4.0,6.0,21.0,14.0,224.0,19.0,7.0,21.0,,0.0,4.0,1.0,0.826478,14.0,281.0,50.0,1.0,1.0,232928,2.0,148.0,10.0,,162.0,3.0,1.0,14.0,12.0,43.0,,,2.0,,1.0,1.0,20.0,6.0,9.0,,,55.0,247.0,15.0,8.0,2.0,24.0,60.0,,,,0.0,,5.0,2.0,1.0,1.0,3.0,0.0,3.0,4.0,36.0,10.0,1.0,,2.0,1.0,3.0,32.0,5.0,1.0,314.0,14.0,8.0,17.0,1.0,31.0,3.0,1.0,169.0,3.0,9.0,16.0,51.0,21.0,21.0,10.0,1.0,1.0,5.0,5.0,9.0,1.1223,14.0,5.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,4.0,3.0,1.0,,,,,1.0,2.0,,,1.0,,1.0,,3.0,,,,3.0,1.0,33.35,2.0,109198.25,,3.0,1.0,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,3.0,,,,,,,,,,,1.0,,,,,,1.0,
37,2444836,2025-05-18 12:00:00,"Goodison Park, Liverpool",39201.0,Home,Everton,Southampton,2,0,W,2,0,0,0,,1.0,43.0,1.0,,3.0,2.6457,31.0,19.0,,5.0,13.0,2.0,2.0,144.0,1.0,6.0,5.0,2.0,4.0,10.0,5.0,134.0,116.0,61.0,13.0,,11.0,3.0,1.0,2.0,,20.0,17.0,,19.0,4.0,9.0,29.0,1.217,218.0,,0.0,119.0,6.0,,1.0,,2.0,4.0,,75.0,63.0,6.0,95.0,1.0,2.0,16.0,11.0,,,,5.0,,116.0,,5.0,,132.0,684.0,7.0,4.0,33.0,11.0,430.0,18.0,3.0,8.0,2.0,1.0,1.0,4.0,1.33098,13.0,491.0,58.0,1.0,1.0,486385,8.0,227.0,7.0,2.0,245.0,5.0,,6.0,6.0,46.0,1.0,,,2.0,1.0,2.0,14.0,1.0,4.0,1.0,,56.0,439.0,10.0,12.0,2.0,16.0,66.0,,,,0.0,1.0,5.0,2.0,2.0,,2.0,0.0,4.0,4.0,50.0,12.0,3.0,5.0,1.0,1.0,3.0,42.0,4.0,,505.0,11.0,13.0,14.0,5.0,34.0,2.0,5.0,280.0,4.0,9.0,21.0,87.0,19.0,8.0,25.0,,,7.0,5.0,10.0,2.7285,6.0,4.0,,2.0,1.0,1.0,1.0,,1.0,4.0,1.0,,,,,,1.0,,,,1.0,,,1.0,4.0,,,,1.0,1.0,35.16,3.0,107501.47,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,
38,2444845,2025-05-25 16:00:00,"St. James' Park, Newcastle",52221.0,Away,Everton,Newcastle United,1,0,W,0,0,0,0,,1.0,50.0,,1.0,1.0,1.1269,26.0,25.0,5.0,4.0,9.0,6.0,,122.0,,3.0,9.0,1.0,1.0,7.0,6.0,61.0,100.0,49.0,14.0,1.0,18.0,2.0,,,1.0,11.0,8.0,,25.0,2.0,9.0,28.0,2.1576,101.0,,0.0,76.0,9.0,,3.0,1.0,1.0,,4.0,42.0,28.0,6.0,42.0,3.0,1.0,9.0,5.0,5.0,,,2.0,1.0,100.0,,10.0,,63.0,458.0,6.0,9.0,13.0,14.0,202.0,25.0,9.0,8.0,,4.0,4.0,1.0,0.35837,16.0,255.0,49.0,,,486385,7.0,126.0,7.0,,138.0,6.0,,2.0,14.0,43.0,1.0,,,,3.0,1.0,11.0,7.0,12.0,3.0,,61.0,224.0,12.0,5.0,,28.0,65.0,,,,0.0,,12.0,3.0,1.0,,4.0,0.0,3.0,4.0,34.7,10.0,2.0,3.0,1.0,3.0,2.0,31.0,3.0,4.0,288.0,14.0,6.0,14.0,6.0,17.0,,5.0,161.0,6.0,8.0,16.0,42.0,10.0,8.0,13.0,1.0,,10.0,3.0,14.0,1.161,2.0,3.0,3.0,3.0,4.0,1.0,4.0,,,2.0,4.0,1.0,3.0,1.0,,1.0,,,,,1.0,,3.0,,1.0,,,,1.0,,33.46,2.0,109820.72,,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,0.0348,,,,,,1.0,,2.0,,,1.0,,,,
