gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,goalFastbreak,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,attCmissHighRight,totalRedCard,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,attLfTotal,attRfTarget,fouledFinalThird,attBxRight,accurateKeeperSweeper,attOboxTarget,attSvLowLeft,attMissRight,attMissHighLeft,totalKeeperSweeper,accurateFreekickCross,errorLeadToShot,totalPullBack,attCmissHigh,attGoalHighLeft,attSvLowRight,accurateFlickOn,accurateCrossNocorner,shieldBallOop,attHdMiss,forwardGoals,attHdGoal,attLfTarget,attGoalLowRight,accuratePullBack,attMissLeft,attSvHighRight,goodHighClaim,penaltyConceded,defenderGoals,penaltyFaced,totalHighClaim,penGoalsConceded,ptsDroppedWinningPos,attCmissRight,cleanSheet,attSvHighLeft,accurateThroughBall,punches,attGoalHighRight,attOboxGoal,ptsGainedLosingPos,midfielderGoals,attCmissLeft,attFreekickTotal,freekickTotal,attGoalHighCentre,secondYellow,clearanceOffLine,postScoringAtt,attIboxPost,attPostLeft,attObxdRight,hitWoodwork,sixYardBlock,attSvHighCentre,attLfGoal,attGoalLowCentre,errorLeadToGoal,attPostHigh,penaltyWon,contentiousDecision,attPenGoal,attCmissHighLeft,attPostRight,handBall,goalAssistSetplay,goalAssistDeadball,attObpGoal,ownGoals,attFreekickTarget,attIboxOwnGoal,attLgCentre,attFreekickMiss,attLgLeft,attObxLeft,attHdPost,attOboxPost
27,2367805,2024-03-02 15:00:00,"The City Ground, Nottingham",29603,Home,Nottingham Forest,Liverpool,0,1,L,0,0,0,0,,,46.0,,,18.0,26.0,3.0,5.0,1.0,130.0,1.0,10.0,,6.0,2.0,62.0,150.0,54.0,8.0,2.0,17.0,2.0,3.0,,,,10.0,10.0,26.0,2.0,3.0,29.0,1.0,93.0,,0.0,88.0,11.0,1.0,3.0,,48.0,35.0,4.0,33.0,1.0,8.0,28.0,3.0,2.0,1.0,150.0,2.0,19.0,,53.0,490.0,6.0,4.0,14.0,,11.0,169.0,27.0,4.0,17.0,,3.0,12.0,2.0,29.0,249.0,47.0,85633,3.0,95.0,2.0,6.0,,123.0,11.0,,11.0,12.0,52.0,,2.0,1.0,,14.0,3.0,8.0,,56.0,187.0,11.0,4.0,,26.0,,65.0,3.0,0.0,1.0,12.0,1.0,,1.0,,0.0,,,29.4,16.0,1.0,2.0,1.0,3.0,30.0,3.0,278.0,11.0,7.0,13.0,3.0,25.0,,2.0,165.0,4.0,2.0,14.0,53.0,13.0,1.0,17.0,20.0,1.0,7.0,2.0,23.0,1.0,11.0,3.0,1.0,4.0,1.0,,,,,1.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2367811,2024-03-10 14:00:00,"American Express Stadium, Falmer",31505,Away,Nottingham Forest,Brighton and Hove Albion,0,1,L,0,1,0,0,,,45.0,,1.0,21.0,15.0,3.0,6.0,3.0,130.0,1.0,8.0,,6.0,4.0,95.0,103.0,41.0,9.0,,9.0,2.0,1.0,,1.0,,15.0,5.0,15.0,3.0,5.0,29.0,1.0,141.0,1.0,0.0,89.0,14.0,1.0,1.0,1.0,31.0,45.0,3.0,71.0,,12.0,23.0,3.0,1.0,1.0,103.0,1.0,7.0,,79.0,550.0,5.0,7.0,16.0,,8.0,294.0,13.0,6.0,6.0,,4.0,3.0,3.0,16.0,354.0,39.0,90585,,171.0,1.0,10.0,2.0,198.0,13.0,,15.0,7.0,39.0,3.0,1.0,4.0,,15.0,4.0,4.0,1.0,46.0,311.0,14.0,8.0,1.0,18.0,1.0,50.0,1.0,0.0,,6.0,2.0,,1.0,,0.0,,,36.0,16.0,5.0,3.0,4.0,1.0,35.0,3.0,375.0,8.0,4.0,16.0,4.0,23.0,,3.0,192.0,6.0,4.0,6.0,65.0,23.0,3.0,6.0,13.0,1.0,4.0,5.0,13.0,3.0,15.0,3.0,1.0,2.0,2.0,5.0,3.0,,2.0,,,,,,,1.0,1.0,,1.0,2.0,1.0,,,,,2.0,,,2.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,1.0,2.0,2.0,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,1.0,2.0,1.0,,,,,,
29,2367824,2024-03-16 15:00:00,"Kenilworth Road, Luton",11630,Away,Nottingham Forest,Luton Town,1,1,D,1,0,0,0,,1.0,47.0,,2.0,36.0,22.0,6.0,9.0,3.0,139.0,3.0,7.0,1.0,11.0,6.0,65.0,124.0,60.0,16.0,2.0,13.0,4.0,,1.0,1.0,,18.0,17.0,22.0,7.0,4.0,34.0,3.0,133.0,,0.0,112.0,17.0,1.0,,2.0,29.0,73.0,7.0,39.0,,11.0,19.0,7.0,3.0,4.0,124.0,5.0,5.0,,54.0,473.0,8.0,5.0,16.0,,7.0,200.0,19.0,9.0,14.0,1.0,2.0,4.0,4.0,15.0,278.0,59.0,90585,6.0,84.0,4.0,6.0,1.0,104.0,17.0,1.0,10.0,10.0,51.0,2.0,2.0,1.0,1.0,12.0,5.0,6.0,1.0,69.0,214.0,8.0,14.0,2.0,27.0,2.0,72.0,,0.0,,6.0,1.0,1.0,1.0,,0.0,1.0,2.0,40.3,11.0,5.0,1.0,1.0,4.0,38.0,7.0,297.0,7.0,4.0,18.0,6.0,24.0,1.0,2.0,211.0,11.0,3.0,20.0,72.0,15.0,3.0,14.0,25.0,1.0,11.0,3.0,11.0,3.0,10.0,7.0,2.0,3.0,4.0,2.0,2.0,,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,2.0,2.0,3.0,2.0,1.0,,1.0,,,3.0,,2.0,,,,2.0,,2.0,1.0,,,2.0,1.0,,,,,1.0,2.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,
30,2367835,2024-03-30 15:00:00,"The City Ground, Nottingham",29520,Home,Nottingham Forest,Crystal Palace,1,1,D,0,1,0,0,,1.0,55.0,,,20.0,14.0,6.0,6.0,2.0,172.0,6.0,5.0,1.0,8.0,5.0,137.0,171.0,47.0,12.0,3.0,16.0,3.0,,1.0,1.0,,31.0,10.0,14.0,4.0,16.0,22.0,,256.0,,0.0,157.0,14.0,,,2.0,101.0,66.0,7.0,98.0,,27.0,25.0,6.0,10.0,2.0,171.0,1.0,6.0,,140.0,769.0,6.0,3.0,22.0,1.0,9.0,443.0,22.0,7.0,8.0,1.0,1.0,1.0,1.0,32.0,527.0,66.0,85633,2.0,211.0,,15.0,1.0,242.0,14.0,,13.0,8.0,57.0,2.0,4.0,4.0,1.0,21.0,4.0,8.0,2.0,47.0,461.0,11.0,5.0,1.0,25.0,1.0,64.0,,0.0,3.0,6.0,2.0,1.0,1.0,,0.0,1.0,3.0,58.4,22.0,3.0,2.0,4.0,4.0,42.0,4.0,547.0,9.0,10.0,8.0,3.0,34.0,1.0,1.0,336.0,8.0,15.0,16.0,117.0,26.0,1.0,8.0,15.0,1.0,10.0,3.0,17.0,1.0,13.0,4.0,1.0,1.0,2.0,2.0,1.0,,1.0,,,,,1.0,,3.0,1.0,,1.0,,5.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
31,2367842,2024-04-02 19:30:00,"The City Ground, Nottingham",28997,Home,Nottingham Forest,Fulham,3,1,W,3,0,0,0,,1.0,47.0,1.0,1.0,29.0,36.0,7.0,9.0,2.0,139.0,2.0,8.0,3.0,12.0,4.0,67.0,117.0,40.0,16.0,4.0,19.0,1.0,1.0,3.0,1.0,,7.0,7.0,36.0,3.0,6.0,26.0,,125.0,1.0,0.0,96.0,7.0,2.0,1.0,1.0,36.0,71.0,6.0,46.0,2.0,4.0,10.0,7.0,2.0,2.0,117.0,3.0,15.0,,72.0,508.0,8.0,8.0,21.0,,12.0,238.0,27.0,11.0,15.0,3.0,1.0,2.0,6.0,17.0,303.0,49.0,85633,6.0,129.0,3.0,1.0,1.0,148.0,6.0,3.0,6.0,13.0,44.0,2.0,2.0,3.0,3.0,16.0,3.0,7.0,2.0,55.0,252.0,7.0,4.0,1.0,25.0,1.0,60.0,1.0,0.0,1.0,8.0,1.0,2.0,1.0,,0.0,2.0,1.0,33.3,11.0,1.0,1.0,3.0,4.0,37.0,3.0,324.0,12.0,9.0,18.0,8.0,16.0,1.0,5.0,183.0,9.0,4.0,15.0,63.0,14.0,3.0,15.0,11.0,1.0,13.0,4.0,14.0,3.0,6.0,3.0,,6.0,1.0,,2.0,1.0,,,2.0,1.0,1.0,1.0,,,1.0,,,4.0,1.0,,1.0,1.0,,,2.0,,1.0,,2.0,,,,2.0,,,,,,1.0,,,1.0,,2.0,1.0,,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
32,2367856,2024-04-07 18:00:00,"Tottenham Hotspur Stadium, London",61098,Away,Nottingham Forest,Tottenham Hotspur,1,3,L,1,1,0,0,,1.0,51.0,1.0,3.0,21.0,22.0,6.0,6.0,5.0,148.0,3.0,14.0,1.0,9.0,6.0,81.0,110.0,40.0,13.0,,11.0,3.0,1.0,1.0,1.0,,14.0,7.0,22.0,2.0,6.0,34.0,,150.0,1.0,0.0,83.0,12.0,2.0,1.0,3.0,56.0,60.0,5.0,63.0,3.0,12.0,23.0,7.0,3.0,5.0,110.0,1.0,9.0,,88.0,575.0,8.0,6.0,25.0,1.0,9.0,295.0,31.0,3.0,2.0,1.0,4.0,5.0,4.0,17.0,355.0,40.0,85633,2.0,170.0,2.0,6.0,,192.0,11.0,1.0,13.0,12.0,45.0,1.0,2.0,4.0,1.0,12.0,9.0,9.0,1.0,46.0,317.0,11.0,5.0,,10.0,,58.0,1.0,0.0,,12.0,2.0,1.0,3.0,,0.0,1.0,1.0,36.4,12.0,3.0,1.0,4.0,,35.0,2.0,380.0,9.0,7.0,15.0,7.0,19.0,,1.0,202.0,8.0,5.0,6.0,63.0,12.0,3.0,2.0,10.0,3.0,11.0,5.0,24.0,3.0,13.0,2.0,,4.0,3.0,3.0,,,2.0,,1.0,,,1.0,,,1.0,,2.0,3.0,3.0,1.0,,1.0,,1.0,,,3.0,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,2.0,1.0,1.0,,,,1.0,1.0,,,2.0,,2.0,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,
33,2367866,2024-04-13 15:00:00,"The City Ground, Nottingham",29604,Home,Nottingham Forest,Wolverhampton Wanderers,2,2,D,1,1,0,0,,1.0,49.0,1.0,,14.0,7.0,5.0,13.0,1.0,145.0,2.0,9.0,2.0,11.0,9.0,108.0,136.0,53.0,18.0,1.0,11.0,5.0,,,4.0,,21.0,9.0,7.0,10.0,10.0,29.0,2.0,213.0,,0.0,156.0,15.0,1.0,,,86.0,42.0,7.0,69.0,,11.0,16.0,5.0,1.0,2.0,136.0,,8.0,,116.0,609.0,10.0,10.0,34.0,1.0,9.0,342.0,14.0,3.0,2.0,1.0,2.0,3.0,4.0,20.0,418.0,46.0,85633,9.0,150.0,1.0,10.0,,169.0,10.0,,8.0,6.0,45.0,1.0,1.0,3.0,1.0,15.0,3.0,6.0,2.0,34.0,361.0,10.0,5.0,,11.0,4.0,61.0,,0.0,4.0,1.0,2.0,2.0,2.0,,0.0,1.0,2.0,46.2,14.0,7.0,1.0,3.0,3.0,41.0,10.0,438.0,9.0,5.0,11.0,6.0,37.0,1.0,4.0,290.0,11.0,8.0,21.0,120.0,24.0,,2.0,14.0,2.0,13.0,4.0,18.0,,8.0,10.0,2.0,5.0,4.0,1.0,1.0,,2.0,1.0,2.0,,,,1.0,1.0,,,,5.0,1.0,2.0,,,1.0,2.0,,,2.0,2.0,1.0,,,,1.0,,2.0,,,,,,,,1.0,2.0,1.0,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,
34,2367871,2024-04-21 13:30:00,"Goodison Park, Liverpool",39239,Away,Nottingham Forest,Everton,0,2,L,0,1,0,0,2.0,,57.0,,1.0,30.0,16.0,1.0,7.0,2.0,202.0,5.0,3.0,,5.0,3.0,137.0,162.0,46.0,8.0,,19.0,2.0,,,2.0,,20.0,7.0,16.0,4.0,15.0,37.0,1.0,187.0,,0.0,141.0,9.0,,,,78.0,74.0,4.0,92.0,,16.0,13.0,1.0,8.0,,162.0,1.0,3.0,,142.0,749.0,5.0,5.0,27.0,,10.0,449.0,28.0,9.0,7.0,,2.0,1.0,1.0,23.0,547.0,64.0,85633,2.0,291.0,2.0,8.0,,316.0,3.0,,6.0,8.0,52.0,1.0,1.0,3.0,,15.0,4.0,8.0,,73.0,473.0,15.0,5.0,,32.0,,76.0,,0.0,3.0,6.0,1.0,,2.0,,0.0,,,59.7,15.0,2.0,3.0,3.0,3.0,42.0,4.0,573.0,10.0,14.0,13.0,2.0,39.0,,2.0,277.0,7.0,15.0,16.0,95.0,24.0,,7.0,13.0,,8.0,4.0,9.0,,6.0,4.0,3.0,1.0,3.0,,,,1.0,,1.0,,,,,,,,,2.0,5.0,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
35,2367884,2024-04-28 16:30:00,"The City Ground, Nottingham",29677,Home,Nottingham Forest,Manchester City,0,2,L,0,1,0,0,,,60.0,,1.0,23.0,8.0,4.0,9.0,3.0,120.0,7.0,8.0,,12.0,2.0,79.0,113.0,41.0,14.0,,9.0,1.0,1.0,,,,18.0,15.0,8.0,4.0,3.0,36.0,,153.0,3.0,0.0,130.0,8.0,1.0,1.0,,72.0,33.0,5.0,53.0,2.0,14.0,18.0,5.0,5.0,4.0,113.0,2.0,6.0,,98.0,523.0,11.0,6.0,23.0,,10.0,274.0,30.0,6.0,5.0,,0.0,4.0,7.0,16.0,336.0,48.0,90585,4.0,139.0,3.0,9.0,,163.0,5.0,,11.0,5.0,40.0,1.0,2.0,4.0,,10.0,5.0,4.0,1.0,47.0,285.0,6.0,4.0,1.0,19.0,2.0,45.0,1.0,0.0,1.0,5.0,2.0,,2.0,,0.0,,3.0,33.3,12.0,5.0,1.0,4.0,3.0,25.0,4.0,350.0,10.0,13.0,18.0,9.0,30.0,1.0,4.0,205.0,9.0,3.0,7.0,95.0,21.0,,5.0,21.0,2.0,11.0,5.0,15.0,,11.0,4.0,3.0,2.0,2.0,3.0,1.0,,1.0,,2.0,,,,,3.0,1.0,,1.0,2.0,6.0,,2.0,,,,,1.0,2.0,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,1.0,3.0,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,
36,2367897,2024-05-04 15:00:00,"Bramall Lane, Sheffield",28516,Away,Nottingham Forest,Sheffield United,3,1,W,1,1,0,1,,1.0,56.0,,1.0,27.0,16.0,6.0,9.0,4.0,184.0,6.0,8.0,3.0,13.0,4.0,92.0,140.0,57.0,15.0,3.0,15.0,1.0,4.0,2.0,,1.0,11.0,15.0,16.0,3.0,7.0,26.0,,190.0,2.0,0.0,119.0,7.0,2.0,5.0,2.0,99.0,52.0,6.0,77.0,2.0,8.0,14.0,6.0,2.0,3.0,140.0,3.0,13.0,,82.0,620.0,7.0,5.0,22.0,,9.0,324.0,26.0,5.0,11.0,3.0,1.0,5.0,7.0,21.0,415.0,56.0,90585,6.0,155.0,2.0,4.0,2.0,181.0,5.0,3.0,6.0,11.0,44.0,1.0,1.0,4.0,2.0,18.0,4.0,8.0,1.0,57.0,339.0,9.0,10.0,3.0,20.0,2.0,88.0,4.0,0.0,1.0,5.0,3.0,3.0,1.0,2.0,0.0,1.0,3.0,45.8,14.0,3.0,1.0,4.0,3.0,50.0,3.0,435.0,9.0,7.0,11.0,8.0,22.0,2.0,3.0,265.0,9.0,6.0,19.0,80.0,23.0,2.0,11.0,21.0,1.0,11.0,4.0,13.0,2.0,6.0,3.0,,3.0,1.0,1.0,,,,1.0,1.0,1.0,,2.0,,,,,,2.0,4.0,1.0,2.0,,,,2.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,3.0,3.0,1.0,,,1.0,,,2.0,2.0,,,2.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,
37,2367904,2024-05-11 17:30:00,"The City Ground, Nottingham",29708,Home,Nottingham Forest,Chelsea,2,3,L,1,1,0,0,,1.0,59.0,,,17.0,33.0,8.0,12.0,2.0,112.0,4.0,5.0,2.0,13.0,4.0,64.0,104.0,60.0,20.0,3.0,18.0,1.0,3.0,1.0,,,22.0,18.0,33.0,5.0,6.0,29.0,1.0,142.0,1.0,0.0,108.0,14.0,,3.0,1.0,68.0,29.0,8.0,44.0,,17.0,12.0,8.0,5.0,3.0,104.0,3.0,10.0,,60.0,469.0,9.0,6.0,33.0,,3.0,210.0,27.0,5.0,9.0,2.0,2.0,3.0,5.0,17.0,266.0,46.0,90585,4.0,85.0,4.0,11.0,2.0,96.0,5.0,1.0,5.0,2.0,54.0,,3.0,4.0,1.0,10.0,2.0,2.0,4.0,33.0,223.0,8.0,14.0,2.0,12.0,2.0,50.0,3.0,0.0,2.0,6.0,2.0,2.0,3.0,1.0,0.0,1.0,6.0,32.3,12.0,3.0,2.0,4.0,5.0,31.0,5.0,280.0,3.0,7.0,16.0,11.0,32.0,1.0,6.0,206.0,13.0,6.0,16.0,74.0,25.0,,9.0,31.0,3.0,14.0,4.0,7.0,,5.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,,3.0,,1.0,1.0,1.0,2.0,2.0,,1.0,,3.0,,3.0,,1.0,,2.0,,1.0,,1.0,,1.0,,1.0,,3.0,,,,,,,,,1.0,1.0,,,,,,2.0,1.0,,,3.0,1.0,1.0,,,1.0,,,,,,2.0,,1.0,1.0,,,,,,,,,1.0,1.0
38,2367911,2024-05-19 16:00:00,"Turf Moor, Burnley",21109,Away,Nottingham Forest,Burnley,2,1,W,2,0,0,0,1.0,2.0,46.0,2.0,,21.0,31.0,3.0,8.0,3.0,104.0,2.0,2.0,2.0,12.0,6.0,54.0,99.0,42.0,12.0,,11.0,2.0,2.0,2.0,1.0,,8.0,11.0,31.0,3.0,7.0,26.0,,71.0,2.0,0.0,52.0,5.0,1.0,2.0,2.0,25.0,17.0,8.0,38.0,2.0,5.0,8.0,4.0,1.0,2.0,99.0,2.0,10.0,,50.0,395.0,8.0,6.0,18.0,1.0,16.0,158.0,29.0,11.0,14.0,2.0,0.0,7.0,4.0,12.0,223.0,27.0,90585,5.0,107.0,,2.0,2.0,136.0,3.0,1.0,3.0,11.0,31.0,1.0,2.0,2.0,2.0,7.0,10.0,8.0,1.0,48.0,176.0,11.0,8.0,2.0,27.0,2.0,56.0,2.0,0.0,1.0,4.0,2.0,2.0,1.0,,0.0,1.0,1.0,27.4,7.0,2.0,2.0,2.0,2.0,27.0,3.0,246.0,16.0,3.0,13.0,4.0,13.0,,2.0,118.0,8.0,7.0,17.0,35.0,8.0,1.0,14.0,14.0,,8.0,5.0,7.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,,,2.0,2.0,1.0,,,1.0,,1.0,,,,,2.0,1.0,,2.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,
