gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,totalAttAssist,attCmissRight,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,fouledFinalThird,postScoringAtt,attIboxPost,totalCornersIntobox,attOboxMiss,bigChanceCreated,hitWoodwork,attMissHighLeft,bigChanceMissed,totalThroughBall,attMissHigh,attAssistSetplay,attCmissLeft,savedIbox,attPostHigh,goalsConceded,cornerTaken,accurateCornersIntobox,goalsConcededIbox,errorLeadToGoal,wonCorners,attGoalLowLeft,attGoalLowRight,attLfGoal,goals,ontargetScoringAtt,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attOboxGoal,attHdTarget,goalAssist,attSetpiece,attRfGoal,goalsOpenplay,attIboxGoal,goalAssistIntentional,forwardGoals,attLfTarget,attRfTarget,attFreekickTotal,attOboxTarget,attSvLowLeft,freekickTotal,contentiousDecision,accurateThroughBall,attCmissHigh,punches,attFreekickMiss,goalsConcededObox,bigChanceScored,sixYardBlock,foulThrowIn,attSvHighRight,goalAssistSetplay,attObxLeft,accurateKeeperSweeper,attMissHighRight,totalKeeperSweeper,ownGoals,defenderGoals,attSvLowRight,attObxRight,attIboxOwnGoal,attGoalLowCentre,attOneOnOne,midfielderGoals,attBxLeft,ptsDroppedWinningPos,attSvHighLeft,shotFastbreak,attGoalHighRight,totalFastbreak,attFastbreak,penaltySave,goalAssistDeadball,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,ptsGainedLosingPos,attCmissHighRight,attOboxPost,totalPullBack,attHdGoal,attPostRight,clearanceOffLine,accuratePullBack,attSvHighCentre,attPostLeft,penaltyWon,attPenGoal,attObpGoal,attCmissHighLeft
28,919165,2018-02-24 15:00:00,"Amex Stadium, Falmer",30523,Away,Swansea City,Brighton and Hove Albion,1,4,L,0,1,0,0,2.0,54.0,,1.0,31.0,11.0,8.0,4.0,3.0,1.0,154.0,2.0,8.0,9.0,,104.0,154.0,54.0,11.0,3.0,21.0,,3.0,16.0,10.0,11.0,10.0,41.0,158.0,,0.0,119.0,6.0,,2.0,,58.0,65.0,4.0,70.0,2.0,,11.0,13.0,8.0,2.0,154.0,10.0,106.0,625.0,9.0,3.0,17.0,9.0,315.0,22.0,5.0,4.0,0.0,2.0,5.0,27.0,402.0,58.0,1.0,,97615,3.0,178.0,7.0,204.0,3.0,13.0,8.0,57.0,,7.0,12.0,6.0,3.0,77.0,334.0,16.0,8.0,25.0,87.0,0.0,1.0,3.0,,0.0,2.0,,1.0,52.2,24.0,1.0,2.0,7.0,4.0,41.0,,434.0,9.0,17.0,17.0,6.0,20.0,2.0,246.0,6.0,9.0,12.0,72.0,21.0,3.0,4.0,20.0,9.0,3.0,15.0,3.0,8.0,4.0,1.0,,5.0,3.0,,1.0,1.0,,,,,1.0,1.0,,4.0,5.0,,4.0,1.0,5.0,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,,,,
29,919180,2018-03-03 15:00:00,"Liberty Stadium, Swansea",20829,Home,Swansea City,West Ham United,4,1,W,2,0,0,0,,70.0,,,31.0,25.0,3.0,2.0,6.0,1.0,161.0,2.0,10.0,7.0,,98.0,156.0,69.0,9.0,,17.0,1.0,,10.0,9.0,25.0,16.0,20.0,171.0,,0.0,114.0,9.0,,1.0,,58.0,84.0,6.0,68.0,1.0,,7.0,17.0,3.0,3.0,156.0,3.0,113.0,624.0,4.0,11.0,17.0,11.0,313.0,29.0,14.0,20.0,0.0,3.0,1.0,26.0,414.0,53.0,,,97615,2.0,162.0,3.0,190.0,6.0,17.0,4.0,51.0,,1.0,12.0,4.0,1.0,73.0,331.0,14.0,5.0,44.0,76.0,0.0,2.0,5.0,2.0,0.0,,,2.0,45.3,21.0,,5.0,1.0,,36.0,,440.0,11.0,10.0,9.0,1.0,16.0,,260.0,5.0,15.0,28.0,65.0,30.0,2.0,20.0,18.0,4.0,3.0,20.0,2.0,8.0,4.0,,,3.0,1.0,2.0,,,1.0,3.0,1.0,1.0,,1.0,,1.0,4.0,2.0,1.0,,4.0,1.0,1.0,1.0,4.0,8.0,3.0,1.0,3.0,1.0,1.0,2.0,,2.0,1.0,3.0,1.0,1.0,1.0,2.0,,1.0,,,,1.0,,1.0,,,3.0,,,,1.0,,,,,,1.0,1.0,,,2.0,,2.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,
30,919187,2018-03-10 15:00:00,"John Smith's Stadium, Huddersfield",23567,Away,Swansea City,Huddersfield Town,0,0,D,0,0,1,0,,47.0,1.0,,21.0,67.0,,,,4.0,103.0,2.0,5.0,,,21.0,113.0,55.0,,,30.0,,,4.0,13.0,67.0,6.0,16.0,40.0,1.0,0.0,31.0,9.0,1.0,3.0,2.0,28.0,33.0,,26.0,3.0,,4.0,9.0,,1.0,113.0,18.0,19.0,375.0,,11.0,1.0,13.0,74.0,32.0,8.0,38.0,3.0,10.0,,18.0,137.0,34.0,2.0,,97615,,50.0,,77.0,5.0,9.0,19.0,55.0,3.0,,10.0,12.0,8.0,66.0,88.0,9.0,7.0,30.0,58.0,0.0,,12.0,1.0,1.0,2.0,,,18.8,11.0,,,,,19.0,2.0,169.0,13.0,6.0,6.0,,5.0,,96.0,,6.0,24.0,11.0,8.0,8.0,38.0,17.0,,2.0,9.0,8.0,6.0,1.0,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,919200,2018-05-08 19:45:00,"Liberty Stadium, Swansea",20858,Home,Swansea City,Southampton,0,1,L,0,0,0,0,,64.0,2.0,1.0,32.0,17.0,7.0,3.0,4.0,7.0,182.0,3.0,9.0,6.0,,83.0,187.0,71.0,11.0,2.0,45.0,,2.0,28.0,8.0,17.0,5.0,40.0,154.0,,0.0,141.0,7.0,4.0,2.0,,46.0,82.0,3.0,70.0,,,21.0,21.0,7.0,4.0,187.0,9.0,81.0,621.0,6.0,15.0,16.0,6.0,287.0,28.0,12.0,9.0,2.0,2.0,3.0,36.0,396.0,81.0,1.0,1.0,97615,3.0,149.0,15.0,174.0,3.0,21.0,3.0,65.0,2.0,3.0,15.0,4.0,2.0,89.0,300.0,15.0,2.0,48.0,97.0,0.0,1.0,6.0,4.0,0.0,2.0,,2.0,53.3,22.0,2.0,,3.0,3.0,40.0,,416.0,6.0,11.0,20.0,5.0,45.0,3.0,270.0,6.0,5.0,36.0,83.0,21.0,2.0,9.0,11.0,8.0,3.0,12.0,2.0,10.0,4.0,,,7.0,2.0,,,2.0,,,1.0,,1.0,5.0,,1.0,7.0,1.0,1.0,,7.0,,,,,3.0,,,1.0,,,,,,,,,,,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,919208,2018-03-31 15:00:00,"Old Trafford, Manchester",75038,Away,Swansea City,Manchester United,0,2,L,0,2,0,0,,50.0,1.0,1.0,23.0,25.0,,1.0,3.0,3.0,128.0,5.0,5.0,2.0,,87.0,120.0,30.0,3.0,,11.0,,,14.0,12.0,25.0,9.0,30.0,134.0,,0.0,76.0,13.0,3.0,,1.0,30.0,71.0,2.0,65.0,3.0,,11.0,15.0,,6.0,120.0,8.0,86.0,527.0,2.0,1.0,12.0,11.0,275.0,22.0,3.0,18.0,0.0,2.0,,19.0,341.0,46.0,,,97615,2.0,161.0,5.0,180.0,10.0,15.0,9.0,51.0,1.0,6.0,10.0,3.0,5.0,56.0,290.0,4.0,10.0,16.0,71.0,0.0,1.0,3.0,1.0,0.0,3.0,,,33.5,13.0,,3.0,6.0,1.0,37.0,1.0,366.0,11.0,10.0,20.0,,20.0,,200.0,2.0,9.0,4.0,45.0,16.0,3.0,18.0,17.0,3.0,3.0,12.0,3.0,8.0,,,,3.0,,,,,,,,,,2.0,,2.0,3.0,2.0,1.0,,3.0,,,,,2.0,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,
33,919222,2018-04-07 15:00:00,"The Hawthorns, West Bromwich",23297,Away,Swansea City,West Bromwich Albion,1,1,D,0,0,0,0,,45.0,1.0,,31.0,25.0,3.0,3.0,4.0,2.0,148.0,3.0,11.0,6.0,1.0,105.0,136.0,60.0,7.0,1.0,19.0,,1.0,13.0,11.0,25.0,11.0,37.0,160.0,,0.0,123.0,5.0,1.0,2.0,,45.0,61.0,1.0,81.0,1.0,2.0,12.0,16.0,3.0,3.0,136.0,7.0,118.0,622.0,4.0,3.0,7.0,6.0,338.0,22.0,5.0,16.0,2.0,8.0,5.0,20.0,423.0,61.0,1.0,1.0,97615,2.0,200.0,7.0,229.0,4.0,16.0,8.0,49.0,1.0,7.0,10.0,8.0,4.0,71.0,357.0,13.0,12.0,21.0,74.0,0.0,1.0,6.0,,0.0,2.0,,1.0,48.3,14.0,1.0,1.0,7.0,1.0,33.0,,452.0,6.0,8.0,15.0,5.0,23.0,3.0,236.0,2.0,11.0,23.0,77.0,15.0,3.0,16.0,13.0,5.0,3.0,16.0,3.0,6.0,1.0,,,1.0,2.0,1.0,,,1.0,,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,1.0,
34,919230,2018-04-14 15:00:00,"Liberty Stadium, Swansea",20933,Home,Swansea City,Everton,1,1,D,0,1,0,0,1.0,73.0,1.0,4.0,17.0,22.0,5.0,4.0,12.0,3.0,173.0,7.0,3.0,12.0,,99.0,169.0,67.0,17.0,1.0,33.0,2.0,,21.0,13.0,22.0,12.0,40.0,194.0,,0.0,154.0,10.0,2.0,1.0,,50.0,86.0,9.0,73.0,,,15.0,26.0,5.0,4.0,169.0,10.0,102.0,656.0,9.0,9.0,39.0,11.0,321.0,31.0,2.0,11.0,1.0,4.0,3.0,27.0,424.0,74.0,1.0,,97615,8.0,149.0,10.0,173.0,5.0,26.0,10.0,63.0,1.0,4.0,12.0,3.0,5.0,61.0,336.0,11.0,5.0,30.0,73.0,0.0,1.0,3.0,2.0,0.0,5.0,,3.0,50.6,14.0,,6.0,4.0,5.0,30.0,,447.0,11.0,14.0,21.0,5.0,39.0,2.0,295.0,9.0,11.0,28.0,98.0,29.0,2.0,11.0,25.0,10.0,2.0,6.0,2.0,14.0,1.0,,,6.0,3.0,,,,1.0,1.0,3.0,2.0,,2.0,,1.0,6.0,2.0,1.0,,6.0,,1.0,,1.0,7.0,5.0,,1.0,,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,,3.0,,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
35,919239,2018-04-22 16:30:00,"Etihad Stadium, Manchester",54387,Away,Swansea City,Manchester City,0,5,L,0,2,0,0,,49.0,2.0,,20.0,26.0,2.0,2.0,2.0,7.0,89.0,1.0,10.0,2.0,,42.0,101.0,41.0,4.0,1.0,10.0,,1.0,6.0,6.0,26.0,4.0,29.0,47.0,,0.0,39.0,8.0,2.0,,,20.0,35.0,,32.0,2.0,,5.0,8.0,2.0,1.0,101.0,12.0,40.0,355.0,1.0,6.0,7.0,14.0,127.0,28.0,4.0,14.0,1.0,3.0,2.0,14.0,177.0,33.0,,1.0,97615,1.0,96.0,4.0,118.0,5.0,8.0,7.0,47.0,1.0,4.0,14.0,7.0,3.0,54.0,142.0,6.0,16.0,23.0,47.0,0.0,2.0,6.0,1.0,0.0,,,1.0,17.1,10.0,1.0,,4.0,1.0,17.0,,203.0,14.0,8.0,20.0,2.0,6.0,2.0,91.0,1.0,4.0,14.0,17.0,9.0,2.0,14.0,11.0,2.0,3.0,16.0,2.0,6.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,,5.0,,5.0,1.0,1.0,4.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
36,919250,2018-04-28 17:30:00,"Liberty Stadium, Swansea",20900,Home,Swansea City,Chelsea,0,1,L,0,1,0,0,1.0,62.0,,,21.0,10.0,5.0,4.0,5.0,2.0,174.0,2.0,8.0,8.0,1.0,154.0,131.0,44.0,10.0,2.0,16.0,,1.0,26.0,13.0,10.0,7.0,25.0,276.0,,0.0,193.0,13.0,2.0,2.0,1.0,73.0,118.0,4.0,89.0,1.0,2.0,25.0,16.0,5.0,14.0,131.0,9.0,167.0,751.0,8.0,4.0,15.0,9.0,493.0,23.0,2.0,3.0,1.0,3.0,4.0,17.0,564.0,77.0,,,97615,3.0,232.0,9.0,249.0,9.0,16.0,7.0,51.0,1.0,6.0,12.0,2.0,3.0,39.0,506.0,9.0,11.0,10.0,60.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,51.1,14.0,2.0,3.0,6.0,2.0,43.0,1.0,584.0,9.0,8.0,12.0,5.0,37.0,4.0,361.0,4.0,6.0,7.0,148.0,29.0,,3.0,20.0,9.0,3.0,12.0,,6.0,4.0,,,1.0,1.0,,,,,,2.0,,,2.0,,1.0,1.0,,1.0,1.0,1.0,,,,,3.0,1.0,,1.0,,,,,,,,,,,3.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37,919253,2018-05-05 15:00:00,"Vitality Stadium, Bournemouth",10820,Away,Swansea City,Bournemouth,0,1,L,0,1,0,0,,67.0,,,38.0,23.0,6.0,2.0,6.0,4.0,188.0,8.0,4.0,11.0,,81.0,160.0,58.0,12.0,3.0,32.0,,1.0,23.0,17.0,23.0,19.0,35.0,161.0,,0.0,146.0,10.0,2.0,1.0,,66.0,55.0,6.0,77.0,5.0,,17.0,21.0,6.0,5.0,160.0,9.0,100.0,624.0,9.0,8.0,23.0,14.0,311.0,29.0,13.0,9.0,4.0,2.0,5.0,24.0,416.0,74.0,,1.0,97615,4.0,173.0,11.0,201.0,7.0,21.0,9.0,52.0,1.0,4.0,14.0,4.0,5.0,101.0,326.0,10.0,5.0,48.0,85.0,0.0,,11.0,,0.0,4.0,,3.0,54.8,19.0,3.0,4.0,4.0,3.0,36.0,,446.0,14.0,3.0,15.0,6.0,38.0,4.0,268.0,7.0,18.0,23.0,86.0,23.0,,9.0,23.0,7.0,3.0,6.0,,5.0,2.0,,,6.0,2.0,2.0,,1.0,2.0,1.0,4.0,2.0,1.0,4.0,,1.0,6.0,4.0,,,6.0,,,,,3.0,2.0,,2.0,,,,3.0,,,,,,,3.0,,1.0,,,,1.0,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
38,919270,2018-05-13 15:00:00,"Liberty Stadium, Swansea",20673,Home,Swansea City,Stoke City,1,2,L,1,2,0,0,3.0,59.0,1.0,7.0,38.0,4.0,8.0,11.0,19.0,3.0,191.0,6.0,16.0,13.0,,120.0,141.0,52.0,27.0,4.0,22.0,3.0,3.0,31.0,12.0,4.0,4.0,40.0,307.0,,0.0,208.0,12.0,2.0,1.0,,49.0,76.0,10.0,99.0,,1.0,27.0,20.0,8.0,4.0,141.0,5.0,134.0,744.0,10.0,8.0,46.0,8.0,452.0,20.0,6.0,2.0,1.0,1.0,3.0,18.0,524.0,84.0,1.0,,97615,14.0,171.0,22.0,183.0,5.0,20.0,4.0,57.0,1.0,4.0,18.0,3.0,4.0,56.0,472.0,9.0,5.0,13.0,59.0,0.0,2.0,,3.0,0.0,5.0,,1.0,57.6,16.0,,5.0,4.0,11.0,44.0,,544.0,8.0,11.0,27.0,5.0,60.0,2.0,392.0,14.0,3.0,11.0,162.0,29.0,1.0,2.0,16.0,20.0,3.0,26.0,1.0,11.0,4.0,,,4.0,3.0,2.0,,,3.0,2.0,1.0,2.0,1.0,2.0,,2.0,6.0,1.0,2.0,,6.0,1.0,,,1.0,11.0,9.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,6.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,,1.0,1.0,,1.0,2.0,,1.0,,,,,,,,2.0,,,,,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,
