id,code,first_name,second_name,team_id,team_code,team_name
147,204214,Pervis,Estupiñán Tenorio,6,36,Brighton
148,231416,Ferdi,Kadıoğlu,6,36,Brighton
149,223434,Igor Julio,dos Santos de Paulo,6,36,Brighton
150,232792,Tariq,Lamptey,6,36,Brighton
151,469142,Jan Paul,van Hecke,6,36,Brighton
152,111478,Joël,Veltman,6,36,Brighton
153,110735,Adam,Webster,6,36,Brighton
154,439135,Eiran,Cashin,6,36,Brighton
155,589100,Jacob,Slater,6,36,Brighton
156,547720,Charlie,Tasker,6,36,Brighton
157,451340,Mitoma,Kaoru,6,36,Brighton
158,463067,Georginio,Rutter,6,36,Brighton
159,109345,Solly,March,6,36,Brighton
160,592031,Yankuba,Minteh,6,36,Brighton
161,474120,Julio,Enciso Espínola,6,36,Brighton
162,513433,Brajan,Gruda,6,36,Brighton
163,532529,Jack,Hinshelwood,6,36,Brighton
164,219249,Matt,O'Riley,6,36,Brighton
165,516211,Abdallah,Sima,6,36,Brighton
166,509416,Yasin,Ayari,6,36,Brighton
167,535301,Carlos,Baleba,6,36,Brighton
169,514254,Diego,Gómez Amarilla,6,36,Brighton
170,15157,James,Milner,6,36,Brighton
171,441192,Jeremy,Sarmiento Morante,6,36,Brighton
172,549074,Tom,Watson,6,36,Brighton
173,467779,Mats,Wieffer,6,36,Brighton
174,611695,Malick,Yalcouyé,6,36,Brighton
175,567121,Joe,Knight,6,36,Brighton
176,550141,Adrian,Mazilu,6,36,Brighton
177,513834,Andrew,Moran,6,36,Brighton
178,50175,Danny,Welbeck,6,36,Brighton
179,487117,Evan,Ferguson,6,36,Brighton
180,608181,Stefanos,Tzimas,6,36,Brighton
181,647850,Charalampos,Kostoulas,6,36,Brighton
744,556637,Nehemiah,Oriola,6,36,Brighton
761,604988,Freddie,Simmonds,6,36,Brighton
783,60307,Pascal,Groß,6,36,Brighton
795,597320,Harry,Howell,6,36,Brighton
220,215059,Robert,Lynch Sánchez,7,8,Chelsea
221,508479,Filip,Jörgensen,7,8,Chelsea
222,549939,Mike,Penders,7,8,Chelsea
223,471798,Gabriel,Słonina,7,8,Chelsea
224,179268,Marc,Cucurella Saseta,7,8,Chelsea
225,225796,Reece,James,7,8,Chelsea
226,180736,Trevoh,Chalobah,7,8,Chelsea
227,460028,Levi,Samuels Colwill,7,8,Chelsea
228,482609,Malo,Gusto,7,8,Chelsea
229,242880,Benoît,Badiashile Mukinayi,7,8,Chelsea
230,444463,Wesley,Fofana,7,8,Chelsea
231,574458,Mamadou,Sarr,7,8,Chelsea
232,109646,Tosin,Adarabioyo,7,8,Chelsea
233,577016,Josh,Acheampong,7,8,Chelsea
234,622758,Aarón,Anselmino,7,8,Chelsea
235,244851,Cole,Palmer,7,8,Chelsea
236,247632,Pedro,Lomba Neto,7,8,Chelsea
237,448047,Enzo,Fernández,7,8,Chelsea
238,624773,Estêvão,Almeida de Oliveira Gonçalves,7,8,Chelsea
239,463936,Jamie,Bynoe-Gittens,7,8,Chelsea
240,213198,Christopher,Nkunku,7,8,Chelsea
241,486672,Moisés,Caicedo Corozo,7,8,Chelsea
244,514356,Roméo,Lavia,7,8,Chelsea
245,465920,Mykhailo,Mudryk,7,8,Chelsea
246,532605,Andrey,Nascimento dos Santos,7,8,Chelsea
247,491007,Dário,Luís Essugo,7,8,Chelsea
248,611134,Kendry,Páez Andrade,7,8,Chelsea
249,475168,João Pedro,Junqueira de Jesus,7,8,Chelsea
250,463034,Liam,Delap,7,8,Chelsea
251,517052,Nicolas,Jackson,7,8,Chelsea
