gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attRfTarget,fouledFinalThird,accuratePullBack,attFreekickTotal,attOboxBlocked,accurateKeeperSweeper,goalFastbreak,freekickTotal,totalKeeperSweeper,expectedGoalsFreekick,totalPullBack,attCorner,punches,goalAssistIntentional,accurateCornersIntobox,attIboxPost,attMissHighRight,attSvHighLeft,accurateThroughBall,totalThroughBall,attCmissLeft,attFreekickTarget,attCmissRight,attSvHighRight,attMissRight,attMissHighLeft,attCmissHigh,forwardGoals,penaltyWon,attHdTarget,attFreekickMiss,errorLeadToGoal,attLgCentre,goalAssistSetplay,ptsGainedLosingPos,ptsDroppedWinningPos,handBall,foulThrowIn,penaltyConceded,penaltyFaced,penGoalsConceded,attObxdRight,attSvHighCentre,clearanceOffLine,attLgLeft,attPenTarget,attPostLeft,attHdPost,attCmissHighLeft,attCmissHighRight,attIboxOwnGoal,attLgRight,attObxRight,attPostRight,attObxLeft,fastestPlayer
25,2562135,2026-02-07 15:00:00,"Vitality Stadium, Bournemouth",11248.0,Home,Bournemouth,Aston Villa,1,1,D,0.0,1.0,0,0,0.0,3.0,57.0,0.0,1.0,1.0,2.0,2.1357,25.0,25.0,8.0,8.0,12.0,3.0,0.0,137.0,0.0,3.0,3.0,1.0,15.0,9.0,115.0,144.0,40.0,20.0,22.0,5.0,2.0,1.0,1.0,1.0,4.0,1.0,27.0,6.0,0.0,3.0,25.0,11.0,12.0,32.0,,1.3316,176.0,,0.0,0.0,128.0,4.0,0.0,3.0,2.0,1.0,1.0,2.0,,66.0,67.0,9.0,59.0,1.0,17.0,12.0,8.0,0.0,0.0,7.0,3.0,144.0,1.0,,5.0,0.0,102.0,616.0,12.0,7.0,26.0,1.0,11.0,328.0,23.0,6.0,12.0,1.0,1.0,2.0,6.0,1.56109,21.0,396.0,64.0,1.0,,33.31,489888,9.0,170.0,3.0,8.0,,1.0,183.0,,108971.51,1.0,5.0,2.0,48.0,0.0,0.0,3.0,3.0,1.0,19.0,2.0,2.0,1.0,0.0,48.0,343.0,11.0,5.0,2.0,20.0,60.0,2.0,0.0,0.0,1.0,0.0,0.0,,4.0,2.0,1.0,,1.0,1.0,2.0,0.0,2.0,,5.0,52.7,11.0,3.0,5.0,,3.0,4.0,35.0,11.0,,413.0,11.0,10.0,20.0,7.0,43.0,3.0,257.0,7.0,11.0,17.0,86.0,26.0,1.0,12.0,10.0,0.0,1.0,15.0,4.0,11.0,2.0624,1.0,5.0,11.0,,4.0,3.0,1.0,,2.0,,,,,,3.0,3.0,,,2.0,1.0,,1.0,2.0,5.0,,,1.0,,3.0,1.0,,,,1.0,,,,,1.0,,,,,,,,2.0,,,,,1.0,1.0,,,,,,,
26,2562149,2026-02-10 19:30:00,"Hill Dickinson Stadium, Liverpool",50196.0,Away,Bournemouth,Everton,2,1,W,0.0,1.0,0,1,0.0,,51.0,0.0,1.0,1.0,2.0,2.0616,16.0,35.0,6.0,5.0,5.0,5.0,0.0,135.0,1.0,2.0,3.0,2.0,9.0,4.0,97.0,134.0,55.0,11.0,28.0,1.0,1.0,,,1.0,1.0,1.0,12.0,9.0,0.0,1.0,35.0,1.0,12.0,27.0,,2.4692,146.0,,0.0,0.0,89.0,15.0,0.0,1.0,1.0,2.0,1.0,1.0,,47.0,37.0,8.0,74.0,1.0,11.0,16.0,6.0,0.0,0.0,6.0,2.0,134.0,2.0,,14.0,0.0,97.0,582.0,7.0,3.0,14.0,,8.0,293.0,21.0,5.0,14.0,2.0,3.0,5.0,1.0,1.23064,18.0,378.0,48.0,,2.0,32.97,551483,2.0,166.0,,4.0,,1.0,199.0,5.0,109263.1,0.0,2.0,9.0,58.0,0.0,0.0,,6.0,1.0,16.0,2.0,7.0,,0.0,53.0,310.0,14.0,5.0,,24.0,55.0,1.0,0.0,0.0,,0.0,0.0,1.0,7.0,4.0,2.0,,,1.0,1.0,0.0,2.0,1.0,3.0,47.3,15.0,,3.0,1.0,6.0,5.0,21.0,2.0,,403.0,8.0,3.0,10.0,2.0,25.0,,216.0,3.0,11.0,20.0,54.0,21.0,2.0,14.0,21.0,2.0,1.0,9.0,5.0,11.0,1.3362,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,3.0,1.0,,1.0,1.0,0.0272,,,1.0,2.0,,,,,1.0,6.0,,,1.0,,1.0,,,,,,1.0,,,1.0,3.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
27,2562164,2026-02-21 17:30:00,"London Stadium, London",62437.0,Away,Bournemouth,West Ham United,0,0,D,0.0,0.0,0,0,0.0,3.0,48.0,0.0,0.0,,3.0,0.2981,17.0,25.0,6.0,7.0,4.0,3.0,0.0,163.0,0.0,1.0,7.0,0.0,7.0,5.0,129.0,151.0,44.0,10.0,27.0,1.0,4.0,2.0,1.0,,3.0,,15.0,12.0,0.0,4.0,25.0,4.0,10.0,36.0,,1.5778,169.0,1.0,0.0,0.0,108.0,11.0,0.0,2.0,4.0,0.0,1.0,1.0,1.0,73.0,47.0,6.0,78.0,1.0,11.0,19.0,6.0,0.0,0.0,1.0,,151.0,,,16.0,0.0,114.0,678.0,7.0,7.0,17.0,1.0,8.0,367.0,22.0,5.0,16.0,,1.0,7.0,1.0,0.360883,19.0,460.0,58.0,1.0,2.0,33.32,499604,1.0,216.0,,9.0,,,241.0,5.0,107198.65,0.0,11.0,12.0,63.0,0.0,0.0,3.0,5.0,0.0,7.0,4.0,8.0,,0.0,56.0,384.0,9.0,5.0,,24.0,73.0,4.0,0.0,0.0,,0.0,0.0,1.0,9.0,3.0,0.0,1.0,,0.0,1.0,0.0,1.0,1.0,,58.0,14.0,,,1.0,5.0,4.0,39.0,5.0,1.0,484.0,8.0,9.0,10.0,1.0,30.0,,258.0,3.0,7.0,11.0,60.0,21.0,4.0,16.0,17.0,0.0,0.0,7.0,5.0,19.0,0.6517,4.0,11.0,5.0,,2.0,2.0,,,1.0,2.0,,,2.0,,,3.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
28,2562165,2026-02-28 12:30:00,"Vitality Stadium, Bournemouth",11240.0,Home,Bournemouth,Sunderland,1,1,D,0.0,1.0,0,0,0.0,3.0,51.0,0.0,0.0,1.0,1.0,1.0597,28.0,27.0,10.0,10.0,10.0,3.0,0.0,182.0,0.0,4.0,12.0,1.0,12.0,5.0,107.0,175.0,65.0,21.0,16.0,3.0,1.0,,,1.0,1.0,2.0,26.0,10.0,1.0,1.0,27.0,5.0,5.0,44.0,1.0,1.2662,194.0,,0.0,0.0,162.0,15.0,0.0,3.0,1.0,0.0,3.0,2.0,,71.0,60.0,6.0,77.0,,21.0,12.0,11.0,0.0,0.0,8.0,4.0,175.0,1.0,,6.0,1.0,98.0,692.0,11.0,7.0,28.0,,14.0,338.0,20.0,5.0,13.0,1.0,4.0,1.0,6.0,0.99625,18.0,439.0,79.0,1.0,1.0,32.99,503139,6.0,168.0,1.0,11.0,,2.0,198.0,8.0,109113.18,0.0,5.0,10.0,61.0,0.0,0.0,1.0,5.0,0.0,18.0,2.0,9.0,1.0,0.0,68.0,358.0,12.0,4.0,,27.0,70.0,1.0,0.0,0.0,,0.0,0.0,,3.0,2.0,1.0,,,1.0,4.0,0.0,4.0,1.0,1.0,62.0,16.0,,3.0,2.0,5.0,7.0,32.0,7.0,,464.0,14.0,14.0,20.0,9.0,39.0,5.0,292.0,10.0,5.0,25.0,113.0,20.0,,13.0,16.0,1.0,1.0,14.0,5.0,24.0,1.7126,,5.0,7.0,1.0,1.0,3.0,,1.0,6.0,,,1.0,,0.0358,,4.0,1.0,1.0,1.0,,2.0,,,,,1.0,1.0,,4.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,
29,2562175,2026-03-03 19:30:00,"Vitality Stadium, Bournemouth",11108.0,Home,Bournemouth,Brentford,0,0,D,0.0,0.0,0,0,0.0,2.0,65.0,0.0,0.0,,2.0,0.4472,20.0,43.0,4.0,8.0,9.0,2.0,0.0,153.0,0.0,3.0,8.0,0.0,11.0,2.0,91.0,145.0,57.0,13.0,24.0,1.0,1.0,1.0,2.0,,1.0,1.0,16.0,9.0,0.0,1.0,43.0,1.0,15.0,26.0,,0.2186,177.0,1.0,0.0,0.0,146.0,9.0,0.0,1.0,1.0,0.0,1.0,,1.0,69.0,54.0,3.0,77.0,2.0,15.0,16.0,4.0,0.0,0.0,6.0,2.0,145.0,4.0,,3.0,0.0,92.0,628.0,11.0,8.0,27.0,2.0,12.0,302.0,21.0,7.0,18.0,,2.0,2.0,8.0,1.7264,23.0,394.0,56.0,,,34.32,551483,4.0,146.0,4.0,9.0,1.0,,165.0,3.0,112439.44,0.0,7.0,5.0,52.0,0.0,0.0,2.0,3.0,0.0,17.0,2.0,5.0,2.0,0.0,55.0,320.0,10.0,5.0,,30.0,70.0,1.0,0.0,0.0,,0.0,0.0,1.0,3.0,2.0,0.0,,,0.0,3.0,0.0,3.0,1.0,1.0,47.7,18.0,1.0,9.0,2.0,3.0,3.0,34.0,4.0,2.0,413.0,12.0,5.0,12.0,8.0,36.0,4.0,264.0,4.0,14.0,27.0,97.0,28.0,,18.0,13.0,0.0,0.0,11.0,3.0,17.0,1.9246,,7.0,4.0,,,,1.0,,1.0,,,,,,3.0,2.0,1.0,,,2.0,1.0,,4.0,4.0,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,
30,2562187,2026-03-14 15:00:00,"Turf Moor, Burnley",20281.0,Away,Bournemouth,Burnley,0,0,D,0.0,0.0,0,0,0.0,2.0,60.0,0.0,0.0,1.0,4.0,0.1692,15.0,42.0,8.0,9.0,14.0,2.0,0.0,163.0,0.0,7.0,10.0,0.0,16.0,3.0,117.0,140.0,63.0,22.0,20.0,2.0,,1.0,1.0,,1.0,6.0,26.0,16.0,0.0,1.0,42.0,7.0,13.0,28.0,,0.2056,193.0,1.0,0.0,0.0,149.0,5.0,0.0,2.0,,0.0,,1.0,1.0,69.0,62.0,6.0,63.0,1.0,19.0,29.0,8.0,0.0,0.0,9.0,1.0,140.0,3.0,,12.0,0.0,128.0,703.0,12.0,5.0,32.0,1.0,11.0,358.0,29.0,2.0,26.0,,0.0,8.0,10.0,1.56044,18.0,450.0,56.0,1.0,,33.15,494521,9.0,191.0,3.0,10.0,1.0,1.0,217.0,2.0,110376.82,0.0,11.0,8.0,45.0,0.0,0.0,1.0,3.0,0.0,9.0,3.0,8.0,1.0,0.0,54.0,377.0,11.0,7.0,4.0,29.0,69.0,,0.0,0.0,2.0,0.0,0.0,,5.0,1.0,0.0,1.0,,0.0,3.0,0.0,4.0,,6.0,62.0,14.0,6.0,7.0,1.0,3.0,9.0,41.0,8.0,1.0,471.0,11.0,5.0,10.0,10.0,43.0,8.0,280.0,7.0,11.0,22.0,101.0,21.0,1.0,26.0,20.0,0.0,0.0,15.0,4.0,18.0,2.5529,1.0,11.0,8.0,,1.0,1.0,,,5.0,,,,,,2.0,5.0,,,3.0,,,,1.0,2.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,
31,2562195,2026-03-20 20:00:00,"Vitality Stadium, Bournemouth",11250.0,Home,Bournemouth,Manchester United,2,2,D,0.0,0.0,0,1,0.0,3.0,63.0,1.0,1.0,1.0,1.0,1.4605,19.0,24.0,10.0,8.0,6.0,4.0,0.0,183.0,0.0,2.0,7.0,2.0,10.0,5.0,113.0,129.0,42.0,16.0,19.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,22.0,8.0,0.0,3.0,24.0,5.0,9.0,24.0,,1.3687,248.0,,0.0,0.0,164.0,10.0,0.0,3.0,3.0,1.0,,,1.0,80.0,80.0,5.0,92.0,1.0,17.0,21.0,10.0,0.0,0.0,7.0,3.0,129.0,1.0,,9.0,1.0,114.0,697.0,9.0,4.0,23.0,1.0,9.0,414.0,17.0,4.0,12.0,1.0,2.0,7.0,5.0,0.561535,15.0,487.0,72.0,,,34.92,499604,4.0,180.0,1.0,10.0,,,194.0,4.0,112002.34,2.0,11.0,4.0,47.0,1.0,0.0,2.0,5.0,1.0,13.0,6.0,3.0,2.0,1.0,40.0,426.0,9.0,3.0,1.0,11.0,50.0,3.0,0.0,0.0,1.0,0.0,0.0,,8.0,3.0,2.0,1.0,,2.0,1.0,0.0,2.0,,1.0,54.9,13.0,1.0,7.0,,5.0,4.0,30.0,6.0,1.0,502.0,9.0,7.0,11.0,7.0,42.0,3.0,330.0,7.0,9.0,13.0,121.0,33.0,,12.0,13.0,0.0,2.0,12.0,4.0,16.0,1.8043,,11.0,6.0,1.0,,3.0,,1.0,3.0,1.0,,1.0,1.0,0.0481,,1.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,
32,2562205,2026-04-11 12:30:00,"Emirates Stadium, London",60210.0,Away,Bournemouth,Arsenal,2,1,W,1.0,1.0,0,0,0.0,1.0,46.0,1.0,1.0,1.0,2.0,1.4133,13.0,28.0,3.0,3.0,5.0,2.0,0.0,135.0,0.0,1.0,8.0,2.0,5.0,3.0,81.0,130.0,58.0,8.0,13.0,1.0,,,,1.0,1.0,,8.0,11.0,0.0,,28.0,,5.0,34.0,,1.0805,130.0,,0.0,0.0,87.0,18.0,0.0,,,2.0,,2.0,1.0,59.0,36.0,3.0,58.0,,8.0,19.0,3.0,0.0,0.0,1.0,3.0,130.0,1.0,,10.0,0.0,93.0,560.0,4.0,4.0,18.0,,9.0,275.0,17.0,4.0,13.0,1.0,3.0,7.0,2.0,0.284334,20.0,341.0,50.0,,,34.12,494521,3.0,163.0,,6.0,,,181.0,8.0,107634.52,2.0,9.0,11.0,56.0,0.0,0.0,,4.0,2.0,24.0,5.0,5.0,3.0,0.0,51.0,292.0,11.0,9.0,,17.0,68.0,,0.0,0.0,,0.0,0.0,,10.0,1.0,2.0,,,1.0,1.0,0.0,1.0,1.0,,47.6,13.0,,5.0,1.0,4.0,2.0,30.0,1.0,1.0,367.0,9.0,7.0,14.0,3.0,18.0,,194.0,5.0,5.0,19.0,56.0,19.0,2.0,13.0,20.0,0.0,1.0,8.0,5.0,18.0,1.1937,2.0,9.0,1.0,2.0,,2.0,,,,,,,,,,,3.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,
33,2562222,2026-04-18 15:00:00,"St. James' Park, Newcastle",52109.0,Away,Bournemouth,Newcastle United,2,1,W,1.0,0.0,0,0,0.0,,52.0,0.0,0.0,,1.0,2.0121,17.0,27.0,4.0,5.0,7.0,2.0,1.0,156.0,1.0,4.0,7.0,2.0,9.0,3.0,78.0,151.0,67.0,12.0,24.0,1.0,1.0,,,1.0,1.0,4.0,12.0,14.0,0.0,,27.0,3.0,6.0,34.0,,1.124,150.0,,0.0,0.0,102.0,12.0,0.0,1.0,1.0,1.0,,,1.0,49.0,51.0,5.0,62.0,,9.0,21.0,5.0,0.0,0.0,4.0,3.0,151.0,3.0,,11.0,0.0,90.0,591.0,7.0,6.0,23.0,,6.0,274.0,27.0,2.0,16.0,1.0,4.0,6.0,4.0,1.729,18.0,361.0,56.0,,,34.96,494521,2.0,142.0,2.0,5.0,1.0,,167.0,6.0,113265.77,1.0,10.0,11.0,58.0,0.0,1.0,1.0,4.0,2.0,23.0,1.0,5.0,,0.0,61.0,288.0,11.0,7.0,1.0,26.0,68.0,1.0,1.0,0.0,,0.0,0.0,,2.0,2.0,2.0,,,1.0,1.0,0.0,3.0,,3.0,46.5,12.0,1.0,3.0,1.0,4.0,3.0,28.0,3.0,1.0,386.0,6.0,5.0,16.0,6.0,23.0,3.0,231.0,4.0,6.0,24.0,61.0,17.0,1.0,16.0,25.0,0.0,1.0,9.0,5.0,17.0,2.9864,1.0,10.0,3.0,2.0,,,,,2.0,,,,,,,2.0,,1.0,1.0,,1.0,,2.0,2.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
35,2562235,2026-05-03 14:00:00,"Vitality Stadium, Bournemouth",11122.0,Home,Bournemouth,Crystal Palace,3,0,W,2.0,0.0,0,0,0.0,1.0,61.0,2.0,0.0,,2.0,1.9343,13.0,26.0,5.0,4.0,10.0,1.0,0.0,131.0,0.0,5.0,15.0,3.0,10.0,5.0,110.0,136.0,63.0,16.0,16.0,1.0,3.0,2.0,,1.0,2.0,,19.0,10.0,0.0,2.0,26.0,7.0,11.0,28.0,,0.0466,158.0,1.0,0.0,0.0,110.0,10.0,0.0,1.0,4.0,2.0,,1.0,2.0,50.0,55.0,5.0,61.0,1.0,12.0,15.0,6.0,0.0,0.0,6.0,,136.0,1.0,,6.0,0.0,89.0,602.0,7.0,2.0,32.0,,9.0,306.0,22.0,1.0,12.0,1.0,0.0,1.0,5.0,1.33287,16.0,376.0,58.0,1.0,1.0,34.2,551483,5.0,167.0,,5.0,,,176.0,4.0,110919.99,2.0,7.0,8.0,54.0,0.0,0.0,3.0,6.0,1.0,22.0,1.0,8.0,4.0,1.0,45.0,320.0,11.0,6.0,2.0,13.0,64.0,3.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,2.0,,,0.0,,0.0,4.0,,4.0,49.8,13.0,4.0,8.0,2.0,6.0,6.0,36.0,7.0,3.0,391.0,9.0,11.0,8.0,5.0,30.0,5.0,234.0,8.0,11.0,19.0,66.0,25.0,,12.0,17.0,0.0,0.0,9.0,5.0,26.0,2.077,,7.0,7.0,2.0,2.0,3.0,,2.0,4.0,1.0,1.0,2.0,1.0,0.0766,,3.0,,1.0,1.0,,,,5.0,10.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
36,2562248,2026-05-09 15:00:00,"Craven Cottage, London",27626.0,Away,Bournemouth,Fulham,1,0,W,0.0,0.0,1,1,0.0,4.0,48.0,0.0,1.0,1.0,2.0,0.5955,27.0,33.0,5.0,7.0,5.0,2.0,1.0,114.0,0.0,3.0,4.0,1.0,10.0,5.0,85.0,97.0,39.0,10.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,8.0,0.0,2.0,33.0,2.0,9.0,27.0,1.0,0.1376,127.0,1.0,1.0,0.0,80.0,21.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,54.0,34.0,7.0,64.0,1.0,7.0,4.0,5.0,0.0,0.0,1.0,1.0,97.0,1.0,1.0,11.0,0.0,76.0,515.0,8.0,1.0,16.0,1.0,4.0,274.0,23.0,2.0,20.0,1.0,2.0,6.0,3.0,0.259856,7.0,317.0,51.0,1.0,1.0,33.22,444102,2.0,164.0,2.0,5.0,1.0,1.0,175.0,9.0,101952.85,0.0,4.0,9.0,54.0,0.0,0.0,3.0,7.0,1.0,17.0,3.0,6.0,1.0,0.0,57.0,288.0,12.0,7.0,1.0,14.0,63.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,39.9,4.0,1.0,4.0,1.0,7.0,2.0,36.0,2.0,1.0,339.0,4.0,12.0,14.0,3.0,16.0,1.0,173.0,2.0,9.0,12.0,52.0,14.0,5.0,20.0,11.0,0.0,0.0,9.0,5.0,8.0,0.7339,5.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2562255,2026-05-19 19:30:00,"Vitality Stadium, Bournemouth",,Home,Bournemouth,Manchester City,0,0,D,0.0,0.0,0,0,0.0,,,0.0,0.0,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2562271,2026-05-24 16:00:00,"The City Ground, Nottingham",,Away,Bournemouth,Nottingham Forest,0,0,D,,,0,0,1.0,,47.0,0.0,0.0,,1.0,0.4689,21.0,18.0,11.0,5.0,6.0,3.0,1.0,141.0,0.0,2.0,10.0,1.0,12.0,4.0,145.0,124.0,54.0,17.0,14.0,2.0,,,,1.0,1.0,,15.0,8.0,0.0,1.0,18.0,2.0,5.0,32.0,,0.5236,257.0,,0.0,0.0,187.0,7.0,0.0,2.0,,1.0,,1.0,,81.0,65.0,8.0,85.0,,14.0,18.0,11.0,1.0,0.0,6.0,4.0,124.0,1.0,,10.0,0.0,114.0,697.0,10.0,3.0,31.0,,18.0,389.0,16.0,3.0,7.0,1.0,1.0,5.0,4.0,0.563881,26.0,464.0,63.0,,1.0,33.28,496208,4.0,154.0,1.0,7.0,,,169.0,4.0,104688.53,0.0,8.0,5.0,41.0,0.0,0.0,1.0,5.0,1.0,12.0,5.0,5.0,4.0,0.0,50.0,409.0,11.0,4.0,1.0,18.0,62.0,,0.0,0.0,,0.0,0.0,1.0,6.0,4.0,1.0,,,1.0,2.0,0.0,2.0,,,54.8,21.0,,8.0,2.0,5.0,7.0,33.0,3.0,1.0,485.0,18.0,7.0,13.0,6.0,30.0,2.0,331.0,12.0,5.0,12.0,144.0,16.0,2.0,7.0,21.0,0.0,0.0,14.0,5.0,19.0,0.9522,2.0,8.0,3.0,1.0,3.0,5.0,1.0,2.0,6.0,,,2.0,,0.1328,1.0,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,1.0,,,,,,,
