gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,successfulPutThrough,wonCorners,freekickCross,interceptionsInBox,attHdTarget,errorLeadToShot,penaltyConceded,attSvHighCentre,penaltyFaced,penGoalsConceded,effectiveBlockedCross,blockedCross,savedObox,attFreekickTotal,shotFastbreak,attMissLeft,totalFastbreak,freekickTotal,expectedGoalsFreekick,attFastbreak,attSvLowRight,attCmissLeft,attFreekickMiss,postScoringAtt,hitWoodwork,attOboxPost,attPostHigh,attIboxOwnGoal,goalAssistOpenplay,ptsGainedLosingPos,goalAssist,accurateThroughBall,totalThroughBall,goalAssistIntentional,forwardGoals,handBall,goalAssistSetplay,goalAssistDeadball,attSvHighRight,attMissHighLeft,accurateFreekickCross,attCmissHighLeft,shieldBallOop,ptsDroppedWinningPos,attIboxPost,attHdPost,attSetpiece,attPostRight,errorLeadToGoal,accuratePullBack,accurateKeeperSweeper,totalKeeperSweeper,attFreekickTarget,attCmissHighRight,attLgCentre,attSvHighLeft,contentiousDecision,attPenTarget,attObxLeft,attLgRight,goalFastbreak,attPostLeft,clearanceOffLine,attLgLeft,secondYellow,attPenMiss,attObxdLeft,foulThrowIn
25,2562140,2026-02-06 20:00:00,"Elland Road, Leeds",36835.0,Home,Leeds United,Nottingham Forest,3,1,W,2.0,0.0,0,0,0.0,,3.0,33.0,2.0,1.0,5.0,2.9396,17.0,36.0,1.0,5.0,13.0,5.0,1.0,1.0,154.0,0.0,7.0,11.0,3.0,2.0,11.0,,5.0,115.0,126.0,63.0,14.0,1.0,19.0,2.0,2.0,,17.0,16.0,0.0,1.0,36.0,5.0,10.0,18.0,1.0,1.4936,144.0,,,0.0,,0.0,104.0,9.0,0.0,3.0,1.0,,,43.0,55.0,9.0,76.0,,12.0,13.0,1.0,0.0,0.0,1.0,,126.0,5.0,9.0,0.0,132.0,685.0,5.0,6.0,30.0,5.0,375.0,8.0,5.0,25.0,1.0,4.0,2.0,1.40175,12.0,447.0,48.0,34.14,435997,8.0,261.0,4.0,10.0,1.0,281.0,6.0,115654.28,1.0,1.0,6.0,11.0,52.0,,0.0,0.0,1.0,4.0,3.0,16.0,7.0,8.0,1.0,0.0,50.0,398.0,12.0,10.0,3.0,24.0,6.0,72.0,0.0,1.0,0.0,,0.0,1.0,10.0,4.0,3.0,1.0,3.0,0.0,5.0,5.0,56.4,7.0,1.0,4.0,,4.0,6.0,34.0,5.0,1.0,477.0,5.0,9.0,9.0,3.0,24.0,2.0,2.0,213.0,3.0,9.0,18.0,72.0,13.0,25.0,22.0,0.0,1.0,7.0,3.0,16.0,2.504,6.0,5.0,1.0,,1.0,1.0,,1.0,,,4.0,4.0,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,1.0,,3.0,,3.0,1.0,1.0,2.0,2.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,
26,2562147,2026-02-10 19:30:00,"Stamford Bridge, London",39253.0,Away,Leeds United,Chelsea,2,2,D,0.0,1.0,0,0,0.0,,2.0,30.0,1.0,0.0,,1.7439,21.0,33.0,2.0,1.0,2.0,2.0,1.0,,105.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,78.0,108.0,38.0,4.0,2.0,14.0,,,,4.0,6.0,0.0,,33.0,1.0,7.0,25.0,,1.4537,105.0,,,0.0,1.0,0.0,74.0,13.0,0.0,1.0,0.0,,,23.0,45.0,2.0,60.0,,3.0,11.0,2.0,0.0,0.0,1.0,,108.0,1.0,14.0,1.0,93.0,504.0,,2.0,17.0,9.0,256.0,12.0,2.0,17.0,4.0,7.0,,0.552799,17.0,308.0,40.0,32.49,214225,2.0,170.0,,,,185.0,7.0,113569.38,1.0,1.0,5.0,14.0,46.0,,0.0,0.0,1.0,7.0,1.0,20.0,5.0,5.0,,1.0,52.0,274.0,9.0,5.0,1.0,18.0,,55.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,,2.0,2.0,1.0,0.0,1.0,1.0,34.2,11.0,,1.0,,7.0,2.0,28.0,1.0,,336.0,9.0,12.0,19.0,,12.0,,,155.0,2.0,6.0,17.0,45.0,8.0,17.0,11.0,0.0,2.0,2.0,3.0,4.0,1.441,5.0,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,2562155,2026-02-21 15:00:00,"Villa Park, Birmingham",43048.0,Away,Leeds United,Aston Villa,1,1,D,1.0,0.0,0,0,0.0,,,43.0,0.0,0.0,1.0,1.1031,17.0,40.0,5.0,4.0,9.0,3.0,0.0,2.0,112.0,0.0,5.0,5.0,1.0,3.0,9.0,,4.0,53.0,118.0,53.0,14.0,3.0,23.0,3.0,1.0,2.0,13.0,13.0,0.0,,40.0,2.0,4.0,18.0,1.0,1.8303,79.0,,,1.0,,0.0,72.0,16.0,0.0,2.0,1.0,1.0,3.0,39.0,23.0,5.0,39.0,2.0,11.0,20.0,5.0,0.0,0.0,4.0,1.0,118.0,2.0,6.0,0.0,52.0,473.0,8.0,8.0,21.0,11.0,162.0,17.0,5.0,15.0,4.0,5.0,4.0,0.699291,16.0,226.0,36.0,32.19,222694,5.0,108.0,2.0,5.0,1.0,126.0,6.0,113815.1,1.0,,11.0,13.0,61.0,1.0,0.0,0.0,5.0,4.0,0.0,12.0,10.0,8.0,1.0,0.0,44.0,182.0,11.0,8.0,1.0,16.0,2.0,54.0,1.0,0.0,1.0,2.0,0.0,,7.0,1.0,0.0,1.0,2.0,0.0,5.0,3.0,33.2,11.0,2.0,4.0,3.0,4.0,4.0,26.0,2.0,3.0,256.0,11.0,9.0,8.0,6.0,19.0,,5.0,143.0,7.0,3.0,15.0,37.0,14.0,15.0,22.0,0.0,1.0,7.0,3.0,10.0,1.3541,11.0,2.0,2.0,,1.0,,,,,,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0375,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
28,2562170,2026-02-28 17:30:00,"Elland Road, Leeds",36838.0,Home,Leeds United,Manchester City,0,1,L,0.0,1.0,0,0,0.0,,,41.0,0.0,0.0,1.0,0.4695,18.0,26.0,7.0,6.0,7.0,4.0,0.0,2.0,115.0,0.0,6.0,1.0,0.0,,10.0,1.0,2.0,73.0,139.0,32.0,14.0,4.0,16.0,1.0,1.0,,22.0,5.0,0.0,1.0,26.0,5.0,2.0,25.0,1.0,2.6259,94.0,,,0.0,,0.0,86.0,10.0,0.0,2.0,0.0,1.0,,28.0,37.0,5.0,47.0,2.0,17.0,20.0,7.0,0.0,0.0,6.0,2.0,139.0,3.0,11.0,0.0,76.0,495.0,8.0,5.0,25.0,9.0,217.0,13.0,2.0,16.0,0.0,4.0,5.0,0.868708,21.0,292.0,40.0,33.45,214225,4.0,141.0,3.0,9.0,,160.0,6.0,116914.08,0.0,1.0,8.0,4.0,59.0,,0.0,0.0,1.0,2.0,0.0,15.0,3.0,1.0,1.0,0.0,46.0,229.0,8.0,16.0,2.0,16.0,2.0,56.0,0.0,0.0,0.0,,0.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,5.0,2.0,33.0,14.0,2.0,6.0,,2.0,5.0,23.0,5.0,,311.0,9.0,7.0,12.0,7.0,33.0,1.0,5.0,173.0,6.0,2.0,9.0,50.0,17.0,16.0,14.0,0.0,1.0,9.0,5.0,11.0,1.4907,8.0,5.0,2.0,,,1.0,,,,,,,,,3.0,4.0,3.0,,,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
29,2562180,2026-03-03 19:30:00,"Elland Road, Leeds",36713.0,Home,Leeds United,Sunderland,0,1,L,0.0,0.0,0,0,0.0,,1.0,51.0,0.0,0.0,7.0,0.7287,30.0,20.0,6.0,4.0,12.0,,0.0,2.0,188.0,0.0,4.0,3.0,0.0,6.0,10.0,,4.0,129.0,162.0,62.0,18.0,2.0,25.0,2.0,2.0,,29.0,6.0,0.0,2.0,20.0,9.0,9.0,31.0,,0.6468,205.0,,,0.0,,0.0,125.0,15.0,0.0,,0.0,1.0,1.0,70.0,77.0,8.0,92.0,1.0,20.0,18.0,6.0,0.0,0.0,9.0,2.0,162.0,1.0,3.0,0.0,141.0,748.0,7.0,7.0,25.0,6.0,436.0,19.0,16.0,15.0,1.0,2.0,2.0,0.64384,22.0,528.0,65.0,33.4,200617,6.0,254.0,,7.0,2.0,278.0,6.0,117588.76,0.0,,5.0,1.0,56.0,,0.0,0.0,2.0,3.0,0.0,17.0,,,,0.0,66.0,455.0,19.0,2.0,3.0,35.0,2.0,76.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,1.0,2.0,0.0,2.0,4.0,70.3,17.0,,5.0,2.0,3.0,9.0,43.0,9.0,1.0,550.0,6.0,8.0,11.0,5.0,37.0,2.0,3.0,301.0,10.0,9.0,24.0,83.0,22.0,15.0,16.0,0.0,1.0,8.0,5.0,11.0,1.1503,5.0,9.0,4.0,,2.0,,1.0,,1.0,1.0,1.0,1.0,,2.0,1.0,3.0,1.0,2.0,0.1521,1.0,2.0,1.0,,,1.0,,,,,,1.0,,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,2.0,2.0,1.0,,,,1.0,,,,,,,,,,,
30,2562189,2026-03-15 14:00:00,"Selhurst Park, London",25155.0,Away,Leeds United,Crystal Palace,0,0,D,0.0,0.0,1,0,0.0,,,38.0,0.0,0.0,2.0,0.3586,18.0,55.0,3.0,1.0,7.0,,0.0,1.0,100.0,0.0,4.0,4.0,0.0,1.0,5.0,1.0,3.0,48.0,139.0,57.0,10.0,1.0,38.0,2.0,,,14.0,8.0,0.0,1.0,55.0,3.0,,22.0,,,67.0,1.0,1.0,0.0,1.0,0.0,80.0,11.0,0.0,,0.0,1.0,1.0,25.0,36.0,4.0,29.0,2.0,11.0,20.0,3.0,0.0,0.0,6.0,1.0,139.0,,7.0,0.0,51.0,434.0,2.0,4.0,20.0,6.0,129.0,15.0,8.0,26.0,1.0,6.0,1.0,0.532992,24.0,201.0,50.0,33.23,243526,6.0,79.0,1.0,4.0,,92.0,3.0,106537.31,0.0,,11.0,7.0,61.0,,0.0,0.0,2.0,3.0,0.0,15.0,5.0,3.0,1.0,0.0,56.0,142.0,11.0,5.0,3.0,30.0,2.0,62.0,0.0,0.0,0.0,,0.0,,8.0,,0.0,0.0,,1.0,2.0,4.0,33.4,7.0,1.0,2.0,1.0,3.0,3.0,18.0,3.0,1.0,228.0,6.0,3.0,9.0,4.0,31.0,2.0,3.0,150.0,5.0,,28.0,33.0,13.0,26.0,15.0,0.0,0.0,3.0,2.0,10.0,1.116,11.0,3.0,1.0,1.0,2.0,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,,,,,,,,,1.0,1.0,,
31,2562200,2026-03-21 20:00:00,"Elland Road, Leeds",36386.0,Home,Leeds United,Brentford,0,0,D,0.0,0.0,0,0,0.0,,,53.0,0.0,0.0,3.0,0.7239,26.0,38.0,7.0,2.0,6.0,2.0,0.0,3.0,150.0,0.0,5.0,5.0,0.0,1.0,11.0,,4.0,132.0,167.0,68.0,14.0,4.0,41.0,1.0,1.0,,32.0,6.0,0.0,3.0,38.0,6.0,11.0,25.0,,0.1875,203.0,1.0,1.0,0.0,,0.0,150.0,6.0,0.0,,0.0,2.0,,52.0,78.0,8.0,47.0,1.0,26.0,19.0,8.0,0.0,0.0,12.0,1.0,167.0,,4.0,0.0,132.0,700.0,10.0,11.0,33.0,8.0,352.0,14.0,11.0,20.0,2.0,1.0,3.0,0.953413,23.0,438.0,55.0,35.43,174594,2.0,171.0,,13.0,,196.0,3.0,120761.96,0.0,1.0,9.0,9.0,64.0,,0.0,0.0,1.0,9.0,0.0,23.0,2.0,5.0,,0.0,50.0,369.0,9.0,7.0,1.0,21.0,2.0,63.0,0.0,0.0,0.0,,0.0,1.0,2.0,2.0,0.0,0.0,5.0,0.0,4.0,2.0,57.0,11.0,1.0,7.0,2.0,9.0,7.0,30.0,6.0,1.0,461.0,8.0,4.0,13.0,3.0,48.0,1.0,2.0,297.0,10.0,10.0,39.0,111.0,21.0,20.0,15.0,0.0,0.0,8.0,3.0,12.0,0.5243,9.0,6.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,2.0,2.0,,,1.0,,,1.0,,,,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,
32,2562211,2026-04-13 20:00:00,"Old Trafford, Manchester",74018.0,Away,Leeds United,Manchester United,2,1,W,2.0,0.0,0,1,0.0,,,45.0,0.0,2.0,3.0,1.4379,31.0,37.0,4.0,2.0,11.0,6.0,0.0,2.0,155.0,0.0,8.0,9.0,2.0,2.0,11.0,,6.0,107.0,123.0,45.0,15.0,2.0,24.0,4.0,1.0,3.0,17.0,8.0,0.0,,37.0,4.0,12.0,28.0,,1.8,216.0,1.0,,1.0,,0.0,136.0,15.0,0.0,3.0,0.0,1.0,1.0,76.0,59.0,7.0,82.0,1.0,13.0,12.0,4.0,0.0,0.0,1.0,1.0,123.0,3.0,15.0,0.0,109.0,647.0,6.0,5.0,32.0,7.0,361.0,13.0,10.0,22.0,2.0,8.0,4.0,1.97283,15.0,424.0,59.0,33.16,435997,9.0,168.0,4.0,10.0,2.0,181.0,6.0,116526.66,2.0,1.0,5.0,10.0,62.0,,0.0,0.0,,3.0,2.0,11.0,5.0,6.0,1.0,0.0,58.0,376.0,11.0,7.0,4.0,22.0,3.0,69.0,0.0,0.0,0.0,2.0,0.0,2.0,11.0,7.0,1.0,1.0,2.0,0.0,4.0,6.0,47.3,10.0,3.0,5.0,1.0,3.0,5.0,40.0,4.0,1.0,453.0,7.0,10.0,18.0,4.0,29.0,4.0,3.0,289.0,7.0,12.0,13.0,99.0,18.0,22.0,12.0,0.0,1.0,10.0,3.0,17.0,2.5715,5.0,4.0,2.0,,2.0,,,,,,3.0,3.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,2.0,,,,,,2.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,1.0
33,2562220,2026-04-18 15:00:00,"Elland Road, Leeds",36840.0,Home,Leeds United,Wolverhampton Wanderers,3,0,W,2.0,0.0,0,0,0.0,,3.0,38.0,2.0,0.0,2.0,2.5074,24.0,22.0,2.0,3.0,15.0,1.0,0.0,3.0,155.0,1.0,4.0,5.0,3.0,4.0,14.0,2.0,6.0,105.0,159.0,43.0,17.0,2.0,16.0,3.0,1.0,2.0,17.0,6.0,0.0,,22.0,5.0,10.0,28.0,,0.2952,146.0,,1.0,0.0,1.0,0.0,87.0,9.0,0.0,1.0,0.0,,1.0,57.0,53.0,9.0,83.0,2.0,12.0,20.0,2.0,0.0,0.0,4.0,,159.0,5.0,7.0,0.0,122.0,688.0,8.0,4.0,29.0,15.0,365.0,14.0,6.0,11.0,2.0,4.0,5.0,0.616886,31.0,448.0,51.0,33.79,435997,8.0,236.0,4.0,4.0,1.0,266.0,5.0,112699.73,3.0,,8.0,3.0,53.0,,0.0,1.0,,3.0,1.0,16.0,,2.0,1.0,1.0,49.0,378.0,15.0,5.0,4.0,21.0,8.0,71.0,0.0,0.0,0.0,,0.0,2.0,6.0,2.0,3.0,0.0,,0.0,2.0,5.0,56.1,13.0,4.0,5.0,1.0,3.0,4.0,38.0,5.0,1.0,465.0,15.0,17.0,15.0,7.0,28.0,2.0,7.0,216.0,9.0,9.0,11.0,56.0,16.0,11.0,12.0,0.0,0.0,6.0,5.0,11.0,2.8204,8.0,5.0,4.0,1.0,,,,,,,1.0,1.0,,,3.0,3.0,4.0,,,3.0,1.0,2.0,,,,,,,2.0,,2.0,,,1.0,2.0,,,,,1.0,2.0,,2.0,,,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,,
35,2562241,2026-05-01 20:00:00,"Elland Road, Leeds",36265.0,Home,Leeds United,Burnley,3,1,W,1.0,0.0,0,0,0.0,1.0,2.0,50.0,1.0,2.0,4.0,2.2961,25.0,13.0,7.0,4.0,11.0,2.0,1.0,3.0,150.0,0.0,6.0,2.0,3.0,1.0,13.0,1.0,8.0,112.0,140.0,45.0,18.0,1.0,21.0,3.0,1.0,3.0,20.0,7.0,0.0,2.0,13.0,5.0,6.0,27.0,,0.3651,154.0,1.0,,1.0,,0.0,123.0,12.0,0.0,1.0,1.0,,,57.0,55.0,11.0,76.0,1.0,15.0,15.0,7.0,0.0,0.0,8.0,3.0,140.0,1.0,5.0,0.0,114.0,608.0,9.0,10.0,26.0,12.0,347.0,14.0,11.0,6.0,4.0,3.0,2.0,0.760065,14.0,432.0,66.0,34.09,214225,7.0,211.0,,7.0,,231.0,5.0,118691.09,2.0,,8.0,4.0,53.0,,0.0,0.0,,2.0,2.0,13.0,4.0,2.0,2.0,0.0,58.0,359.0,10.0,7.0,2.0,25.0,5.0,60.0,0.0,0.0,0.0,,0.0,1.0,,1.0,2.0,1.0,3.0,0.0,4.0,3.0,47.6,7.0,2.0,5.0,2.0,2.0,5.0,25.0,5.0,,452.0,12.0,8.0,12.0,5.0,26.0,2.0,2.0,241.0,11.0,5.0,23.0,68.0,26.0,6.0,10.0,0.0,1.0,10.0,5.0,7.0,1.6399,8.0,5.0,,2.0,1.0,,,1.0,,,,,1.0,1.0,2.0,1.0,3.0,1.0,0.0435,2.0,1.0,,1.0,,,,,,2.0,,2.0,,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,
37,2562261,2026-05-17 15:00:00,"Elland Road, Leeds",,Home,Leeds United,Brighton and Hove Albion,0,0,D,,,0,0,0.0,,1.0,37.0,0.0,0.0,1.0,0.8287,17.0,37.0,4.0,2.0,3.0,7.0,0.0,,141.0,1.0,3.0,8.0,1.0,,5.0,1.0,1.0,54.0,134.0,46.0,7.0,2.0,24.0,,1.0,,20.0,5.0,0.0,,37.0,7.0,1.0,24.0,,0.6314,102.0,,1.0,0.0,,0.0,97.0,9.0,0.0,2.0,0.0,,1.0,39.0,43.0,2.0,39.0,1.0,13.0,16.0,4.0,0.0,0.0,6.0,2.0,134.0,,15.0,0.0,46.0,458.0,4.0,13.0,17.0,3.0,177.0,15.0,3.0,24.0,1.0,6.0,3.0,0.379917,19.0,256.0,51.0,33.51,177815,,89.0,,7.0,1.0,115.0,3.0,112937.66,1.0,,7.0,10.0,44.0,,0.0,0.0,3.0,3.0,1.0,7.0,4.0,5.0,1.0,0.0,56.0,188.0,7.0,6.0,1.0,27.0,1.0,63.0,0.0,0.0,0.0,1.0,0.0,,8.0,5.0,1.0,0.0,4.0,0.0,2.0,1.0,33.7,10.0,,3.0,1.0,3.0,3.0,26.0,7.0,1.0,280.0,3.0,4.0,13.0,3.0,29.0,1.0,1.0,185.0,4.0,1.0,20.0,54.0,11.0,24.0,12.0,0.0,0.0,5.0,5.0,10.0,0.3883,7.0,7.0,,1.0,,,,,,,4.0,4.0,3.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,
38,2562274,2026-05-24 16:00:00,"London Stadium, London",,Away,Leeds United,West Ham United,0,0,D,,,0,0,1.0,1.0,,49.0,0.0,0.0,1.0,0.463,24.0,26.0,4.0,4.0,9.0,5.0,0.0,1.0,154.0,0.0,4.0,8.0,0.0,2.0,10.0,2.0,3.0,114.0,132.0,53.0,13.0,3.0,10.0,2.0,2.0,2.0,18.0,9.0,0.0,1.0,26.0,4.0,12.0,20.0,,3.2661,185.0,,,0.0,,0.0,113.0,14.0,0.0,5.0,0.0,1.0,,68.0,43.0,6.0,96.0,3.0,14.0,13.0,4.0,0.0,0.0,6.0,,132.0,2.0,13.0,0.0,89.0,644.0,9.0,2.0,27.0,7.0,359.0,16.0,6.0,17.0,3.0,3.0,4.0,1.35947,17.0,431.0,52.0,33.13,248056,4.0,193.0,2.0,7.0,,211.0,8.0,100873.87,0.0,1.0,7.0,6.0,44.0,,0.0,0.0,1.0,5.0,0.0,22.0,3.0,5.0,,0.0,50.0,374.0,10.0,8.0,1.0,19.0,2.0,67.0,0.0,0.0,0.0,1.0,0.0,,6.0,5.0,0.0,3.0,2.0,0.0,3.0,2.0,57.8,13.0,1.0,3.0,1.0,5.0,4.0,45.0,4.0,,453.0,7.0,8.0,11.0,6.0,29.0,1.0,6.0,260.0,7.0,11.0,15.0,75.0,21.0,17.0,21.0,0.0,2.0,9.0,5.0,12.0,1.5929,7.0,4.0,1.0,1.0,1.0,2.0,,,,,5.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,0.137,1.0,1.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
