gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,postScoringAtt,goalAssistOpenplay,attMissLeft,totalCross,attIboxPost,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,attRfTarget,attFreekickTotal,attIboxTarget,attSvLowCentre,attOboxTarget,attMissHighRight,attSvHighLeft,attSvLowLeft,goodHighClaim,freekickTotal,attHdTarget,attMissHighLeft,accurateLaunches,penaltyConceded,attMissHigh,attAssistSetplay,attCmissLeft,attHdMiss,attSvHighCentre,penaltyFaced,totalHighClaim,penGoalsConceded,attFreekickMiss,attIboxMiss,effectiveBlockedCross,blockedCross,attCmissRight,shotFastbreak,attOneOnOne,cleanSheet,attOboxGoal,totalFastbreak,midfielderGoals,attMissRight,bigChanceCreated,accurateThroughBall,accurateFreekickCross,bigChanceMissed,attFastbreak,possWonAtt3rd,attBxLeft,errorLeadToShot,errorLeadToGoal,attPenTarget,penaltyWon,totalPullBack,attSvLowRight,attObxRight,attPostHigh,sixYardBlock,attCmissHigh,goalAssistIntentional,attGoalLowRight,attemptsIbox,attemptsObox,touchesInOppBox,attObxLeft,attCmissHighRight,ownGoals,attCmissHighLeft,shieldBallOop,attIboxOwnGoal,attLfGoal,attGoalHighCentre,attPenGoal,attFreekickGoal,attOboxPost,goalAssistSetplay,goalAssistDeadball,accurateKeeperSweeper,attSvHighRight,totalKeeperSweeper,attFreekickTarget,goalFastbreak,attHdPost,accuratePullBack,secondYellow,ptsDroppedWinningPos,attPostRight,attGoalHighLeft,attObxdLeft,foulThrowIn,attFreekickPost,attGoalLowCentre,attObxdRight
28,695171,2014-03-02 16:30:00,"Villa Park, Birmingham",30303,Away,Norwich City,Aston Villa,1,4,L,1,4,0,0,,1.0,1.0,48.0,1.0,,1.0,34.0,36.0,3.0,3.0,1.0,158.0,2.0,2.0,1.0,1.0,6.0,4.0,75.0,156.0,45.0,7.0,,21.0,1.0,,1.0,2.0,13.0,,17.0,,36.0,1.0,19.0,30.0,182.0,0.0,140.0,10.0,,2.0,55.0,89.0,4.0,71.0,1.0,12.0,15.0,4.0,1.0,156.0,,8.0,,95.0,605.0,5.0,9.0,,20.0,284.0,14.0,18.0,1.0,3.0,3.0,2.0,27.0,374.0,80.0,83283,2.0,116.0,6.0,,141.0,4.0,,15.0,7.0,59.0,6.0,,2.0,5.0,1.0,10.0,3.0,4.0,70.0,296.0,12.0,4.0,24.0,84.0,,0.0,2.0,6.0,1.0,1.0,4.0,2.0,0.0,2.0,,44.9,27.0,5.0,1.0,,44.0,2.0,399.0,20.0,19.0,16.0,2.0,20.0,,271.0,3.0,18.0,12.0,86.0,20.0,,18.0,19.0,,4.0,7.0,3.0,8.0,5.0,2.0,2.0,1.0,,1.0,1.0,2.0,,,,3.0,,,,8.0,,,,,,,,3.0,,,1.0,2.0,2.0,,,1.0,,,1.0,1.0,,2.0,3.0,,1.0,,,,,,,,1.0,2.0,,,1.0,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,3.0,,3.0,,,,,,,,,,,,,
29,695187,2014-03-08 15:00:00,"Carrow Road, Norwich",26646,Home,Norwich City,Stoke City,1,1,D,0,0,0,1,,,1.0,64.0,,1.0,1.0,30.0,24.0,7.0,7.0,2.0,161.0,3.0,8.0,1.0,4.0,12.0,5.0,76.0,162.0,55.0,13.0,1.0,28.0,2.0,,,1.0,21.0,,13.0,,24.0,3.0,19.0,33.0,195.0,0.0,173.0,9.0,2.0,3.0,59.0,83.0,6.0,63.0,,18.0,9.0,7.0,4.0,162.0,,3.0,,103.0,599.0,10.0,8.0,,11.0,292.0,27.0,12.0,1.0,0.0,1.0,6.0,24.0,386.0,91.0,83283,1.0,109.0,8.0,1.0,125.0,4.0,,9.0,10.0,60.0,4.0,,,5.0,,12.0,3.0,4.0,61.0,301.0,12.0,4.0,29.0,86.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,52.5,20.0,5.0,2.0,,42.0,3.0,403.0,11.0,16.0,14.0,6.0,24.0,1.0,299.0,3.0,19.0,22.0,107.0,22.0,,12.0,14.0,1.0,1.0,11.0,3.0,12.0,6.0,3.0,2.0,2.0,,1.0,,3.0,1.0,,1.0,2.0,,,,5.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,,2.0,2.0,2.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,3.0,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,
30,695196,2014-03-15 15:00:00,"St. Mary's Stadium, Southampton",29828,Away,Norwich City,Southampton,2,4,L,0,1,0,0,,1.0,2.0,48.0,,,,28.0,20.0,3.0,2.0,2.0,138.0,4.0,3.0,2.0,1.0,3.0,3.0,71.0,147.0,57.0,6.0,1.0,17.0,2.0,,,,12.0,,15.0,,20.0,1.0,12.0,25.0,110.0,0.0,88.0,17.0,3.0,1.0,37.0,53.0,1.0,44.0,,11.0,14.0,5.0,1.0,147.0,,13.0,,72.0,508.0,2.0,8.0,,9.0,218.0,23.0,11.0,,2.0,3.0,2.0,26.0,305.0,61.0,83283,1.0,125.0,5.0,1.0,149.0,8.0,2.0,14.0,9.0,66.0,,,1.0,2.0,2.0,16.0,4.0,5.0,59.0,231.0,11.0,16.0,31.0,84.0,,0.0,1.0,6.0,2.0,2.0,4.0,2.0,0.0,4.0,,36.9,20.0,2.0,1.0,,43.0,1.0,325.0,9.0,12.0,9.0,2.0,20.0,,188.0,4.0,11.0,18.0,40.0,21.0,1.0,11.0,25.0,,4.0,4.0,3.0,8.0,9.0,1.0,,1.0,,,,1.0,,,,1.0,,,,8.0,,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,2.0,,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
31,695208,2014-03-22 15:00:00,"Carrow Road, Norwich",26654,Home,Norwich City,Sunderland,2,0,W,2,0,0,1,,1.0,1.0,60.0,1.0,,,28.0,23.0,9.0,6.0,2.0,157.0,6.0,6.0,2.0,7.0,11.0,8.0,100.0,140.0,45.0,15.0,1.0,27.0,,,1.0,1.0,25.0,,12.0,1.0,23.0,6.0,20.0,33.0,196.0,0.0,150.0,16.0,2.0,2.0,62.0,72.0,7.0,67.0,1.0,19.0,12.0,2.0,4.0,140.0,,6.0,,112.0,628.0,8.0,6.0,,11.0,333.0,31.0,8.0,1.0,2.0,3.0,4.0,21.0,411.0,66.0,83283,2.0,158.0,15.0,1.0,181.0,9.0,1.0,12.0,5.0,68.0,3.0,,,3.0,2.0,7.0,3.0,1.0,64.0,348.0,18.0,8.0,33.0,75.0,,0.0,1.0,5.0,2.0,1.0,,4.0,0.0,4.0,2.0,54.1,18.0,3.0,1.0,,31.0,8.0,436.0,11.0,13.0,17.0,6.0,12.0,2.0,280.0,7.0,19.0,9.0,106.0,16.0,,8.0,12.0,,,11.0,3.0,11.0,6.0,8.0,2.0,3.0,1.0,2.0,1.0,4.0,,,2.0,1.0,1.0,1.0,1.0,4.0,,1.0,2.0,,1.0,1.0,,1.0,,1.0,2.0,2.0,2.0,1.0,,,1.0,1.0,,2.0,3.0,3.0,1.0,1.0,2.0,,4.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0
32,695219,2014-03-29 15:00:00,"Swansea.com Stadium, Swansea",20371,Away,Norwich City,Swansea City,0,3,L,0,2,0,0,1.0,,,63.0,,1.0,1.0,13.0,24.0,2.0,3.0,4.0,137.0,5.0,3.0,,6.0,7.0,4.0,97.0,129.0,54.0,8.0,2.0,16.0,1.0,,,,21.0,,12.0,,24.0,4.0,8.0,24.0,164.0,0.0,111.0,9.0,3.0,3.0,43.0,62.0,6.0,55.0,1.0,17.0,14.0,4.0,,129.0,,8.0,,83.0,553.0,6.0,10.0,,16.0,281.0,26.0,11.0,,2.0,4.0,1.0,10.0,346.0,64.0,83283,3.0,135.0,10.0,1.0,153.0,4.0,,14.0,6.0,49.0,,,2.0,2.0,,11.0,8.0,1.0,40.0,294.0,15.0,10.0,14.0,77.0,,0.0,,7.0,3.0,,3.0,3.0,0.0,5.0,1.0,41.3,8.0,2.0,3.0,,38.0,4.0,372.0,16.0,11.0,8.0,1.0,20.0,,240.0,3.0,8.0,19.0,69.0,22.0,,11.0,19.0,,2.0,6.0,3.0,7.0,8.0,4.0,1.0,2.0,,4.0,1.0,,,1.0,,4.0,,1.0,,3.0,,,1.0,,,,,5.0,,,1.0,2.0,2.0,,,,,,,,1.0,,,1.0,,,4.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
33,695228,2014-04-05 15:00:00,"Carrow Road, Norwich",26859,Home,Norwich City,West Bromwich Albion,0,1,L,0,1,0,0,1.0,,,53.0,,1.0,1.0,42.0,8.0,5.0,6.0,4.0,175.0,4.0,8.0,,3.0,7.0,4.0,149.0,180.0,49.0,12.0,1.0,18.0,3.0,1.0,,,33.0,1.0,11.0,,8.0,7.0,11.0,32.0,222.0,0.0,174.0,10.0,3.0,1.0,64.0,105.0,4.0,71.0,1.0,26.0,17.0,11.0,2.0,180.0,,5.0,,133.0,722.0,7.0,9.0,2.0,7.0,411.0,23.0,3.0,,1.0,1.0,3.0,34.0,511.0,82.0,83283,3.0,202.0,14.0,1.0,227.0,2.0,,17.0,6.0,58.0,,,1.0,5.0,,10.0,3.0,4.0,77.0,420.0,11.0,6.0,22.0,90.0,,0.0,2.0,3.0,3.0,,1.0,6.0,0.0,4.0,2.0,68.8,33.0,5.0,2.0,,50.0,7.0,528.0,7.0,15.0,8.0,6.0,21.0,,334.0,4.0,11.0,17.0,115.0,17.0,,3.0,13.0,,,9.0,3.0,19.0,6.0,7.0,2.0,1.0,1.0,2.0,,2.0,1.0,,1.0,,1.0,1.0,2.0,5.0,,1.0,,,1.0,2.0,,,,,3.0,,,1.0,,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,
34,695232,2014-04-12 15:07:00,"Craven Cottage, London",25028,Away,Norwich City,Fulham,0,1,L,0,1,0,0,,,,66.0,,1.0,2.0,23.0,24.0,6.0,8.0,1.0,182.0,6.0,6.0,,1.0,11.0,4.0,101.0,165.0,50.0,14.0,2.0,14.0,,1.0,,1.0,24.0,,13.0,,24.0,6.0,14.0,36.0,202.0,0.0,165.0,12.0,1.0,,54.0,71.0,8.0,59.0,1.0,18.0,23.0,4.0,2.0,165.0,,9.0,,100.0,677.0,9.0,3.0,1.0,24.0,335.0,21.0,11.0,,3.0,4.0,3.0,27.0,426.0,69.0,83283,5.0,150.0,14.0,,170.0,8.0,,23.0,11.0,62.0,2.0,,3.0,8.0,,14.0,5.0,6.0,49.0,346.0,10.0,10.0,18.0,86.0,1.0,0.0,2.0,8.0,1.0,,1.0,1.0,0.0,2.0,1.0,54.9,27.0,8.0,4.0,1.0,44.0,8.0,442.0,24.0,14.0,16.0,6.0,13.0,4.0,296.0,4.0,14.0,19.0,114.0,27.0,,11.0,17.0,,1.0,10.0,3.0,19.0,11.0,8.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,1.0,1.0,,2.0,,1.0,2.0,1.0,,2.0,,,,,3.0,3.0,3.0,2.0,,,,,,,3.0,2.0,2.0,,3.0,,5.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,1.0
35,695248,2014-04-20 12:00:00,"Carrow Road, Norwich",26857,Home,Norwich City,Liverpool,2,3,L,0,2,0,0,1.0,,1.0,48.0,,,4.0,21.0,9.0,4.0,5.0,3.0,153.0,8.0,2.0,2.0,4.0,9.0,5.0,70.0,172.0,44.0,13.0,2.0,12.0,,,1.0,,38.0,,17.0,1.0,9.0,8.0,9.0,33.0,188.0,0.0,151.0,16.0,3.0,3.0,79.0,52.0,7.0,51.0,1.0,30.0,17.0,11.0,,172.0,1.0,11.0,,91.0,594.0,6.0,7.0,,18.0,268.0,22.0,2.0,1.0,3.0,2.0,2.0,31.0,352.0,63.0,83283,5.0,97.0,16.0,2.0,112.0,9.0,1.0,17.0,8.0,78.0,,,,3.0,2.0,13.0,3.0,5.0,49.0,277.0,9.0,14.0,23.0,70.0,,0.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,5.0,4.0,42.5,31.0,3.0,6.0,,37.0,8.0,365.0,18.0,25.0,17.0,2.0,40.0,3.0,291.0,3.0,7.0,10.0,101.0,19.0,1.0,2.0,23.0,1.0,2.0,9.0,2.0,13.0,10.0,8.0,1.0,1.0,,1.0,,2.0,1.0,,,1.0,,1.0,,1.0,,1.0,2.0,,2.0,,,1.0,,,2.0,,,,,,,,,1.0,,1.0,,,1.0,,3.0,1.0,,1.0,,,,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
36,695255,2014-04-26 17:30:00,"Old Trafford, Manchester",75208,Away,Norwich City,Manchester United,0,4,L,0,1,0,0,1.0,1.0,,57.0,,3.0,,11.0,34.0,6.0,6.0,7.0,152.0,4.0,12.0,,3.0,5.0,2.0,80.0,134.0,53.0,9.0,3.0,23.0,,,,1.0,21.0,,15.0,,34.0,3.0,13.0,18.0,156.0,0.0,115.0,9.0,7.0,2.0,47.0,68.0,2.0,63.0,5.0,18.0,17.0,4.0,1.0,134.0,1.0,16.0,,96.0,602.0,5.0,6.0,1.0,21.0,292.0,26.0,17.0,,1.0,6.0,3.0,19.0,371.0,55.0,83283,2.0,150.0,12.0,,175.0,1.0,,17.0,7.0,55.0,2.0,,,4.0,,4.0,9.0,1.0,41.0,302.0,12.0,8.0,29.0,70.0,,0.0,1.0,5.0,4.0,,4.0,2.0,0.0,3.0,,38.7,18.0,4.0,3.0,,32.0,3.0,391.0,21.0,8.0,6.0,4.0,10.0,1.0,237.0,3.0,12.0,12.0,72.0,16.0,,17.0,17.0,,3.0,7.0,3.0,20.0,11.0,3.0,2.0,,1.0,,,2.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,3.0,4.0,4.0,,,,,,,,1.0,,1.0,1.0,,,5.0,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
37,695263,2014-05-04 16:00:00,"Stamford Bridge, London",41602,Away,Norwich City,Chelsea,0,0,D,0,0,0,0,,1.0,,46.0,,2.0,1.0,11.0,46.0,3.0,3.0,4.0,115.0,,4.0,,1.0,3.0,3.0,52.0,117.0,44.0,6.0,1.0,20.0,1.0,,,,6.0,,18.0,,46.0,2.0,13.0,15.0,87.0,0.0,91.0,17.0,2.0,1.0,31.0,34.0,3.0,41.0,2.0,4.0,12.0,1.0,1.0,117.0,1.0,10.0,,51.0,440.0,3.0,10.0,,13.0,172.0,26.0,20.0,,3.0,7.0,,13.0,238.0,55.0,83283,2.0,91.0,2.0,,103.0,9.0,,12.0,14.0,61.0,4.0,,1.0,1.0,,7.0,13.0,8.0,39.0,178.0,9.0,14.0,20.0,64.0,,0.0,1.0,5.0,2.0,,,3.0,0.0,,1.0,28.7,9.0,1.0,2.0,,22.0,2.0,259.0,13.0,10.0,6.0,1.0,11.0,,162.0,2.0,12.0,10.0,44.0,7.0,,20.0,22.0,,,3.0,1.0,5.0,6.0,2.0,1.0,1.0,,2.0,1.0,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,5.0,5.0,,1.0,,1.0,,1.0,,,,2.0,,,1.0,4.0,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
38,695276,2014-05-11 15:00:00,"Carrow Road, Norwich",26848,Home,Norwich City,Arsenal,0,2,L,0,0,0,0,,,,64.0,,2.0,,36.0,20.0,6.0,2.0,6.0,136.0,,6.0,,,9.0,5.0,104.0,121.0,32.0,11.0,2.0,4.0,2.0,,,1.0,13.0,,8.0,,20.0,3.0,11.0,18.0,164.0,0.0,133.0,6.0,5.0,,48.0,67.0,6.0,64.0,2.0,10.0,10.0,3.0,3.0,121.0,,11.0,,107.0,575.0,9.0,8.0,,17.0,321.0,34.0,7.0,,1.0,2.0,3.0,19.0,394.0,60.0,83283,2.0,171.0,7.0,,187.0,3.0,,4.0,6.0,36.0,,,3.0,6.0,,9.0,3.0,4.0,61.0,335.0,5.0,8.0,17.0,63.0,,0.0,1.0,5.0,4.0,,2.0,1.0,0.0,,,37.7,18.0,6.0,2.0,,37.0,4.0,411.0,17.0,11.0,6.0,4.0,23.0,,237.0,9.0,10.0,8.0,89.0,21.0,,7.0,13.0,,2.0,11.0,3.0,13.0,4.0,4.0,,5.0,,3.0,2.0,2.0,1.0,2.0,1.0,,,,,8.0,,1.0,,1.0,,,,,,,1.0,2.0,2.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,4.0,7.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
