gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attBxRight,postScoringAtt,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,goalsConcededObox,bigChanceScored,savedObox,goalAssistSetplay,attLfGoal,attGoalLowCentre,goals,attOboxBlocked,midfielderGoals,interceptionsInBox,attMissHighLeft,goalAssist,ownGoals,attIboxGoal,goalAssistIntentional,attIboxOwnGoal,errorLeadToGoal,attIboxTarget,attMissLeft,cleanSheet,attMissRight,attHdTarget,errorLeadToShot,attSvLowRight,attCmissLeft,punches,foulThrowIn,effectiveBlockedCross,blockedCross,attLfTarget,attMissHighRight,attSvHighRight,attSvLowLeft,attGoalHighCentre,attHdGoal,ptsDroppedWinningPos,attFreekickTotal,attSvLowCentre,freekickTotal,attCmissHigh,attOboxPost,attHdMiss,attPostRight,attGoalLowLeft,attCmissRight,attLgCentre,accurateThroughBall,attRfGoal,defenderGoals,attFreekickMiss,attGoalLowRight,shotFastbreak,goalAssistOpenplay,ptsGainedLosingPos,totalFastbreak,sixYardBlock,attCmissHighLeft,goalsOpenplay,attFastbreak,attSvHighLeft,totalKeeperSweeper,accurateKeeperSweeper,attOboxGoal,attFreekickTarget,clearanceOffLine,forwardGoals,attFreekickGoal,contentiousDecision,attGoalHighLeft,penaltySave,attGoalHighRight,secondYellow,attOneOnOne,attObxdLeft,goalAssistDeadball,attObxLeft,penaltyWon,attPenGoal,attObxRight,attCmissHighRight,goalFastbreak
28,987865,2019-02-26 19:45:00,"Accu Stadium, Huddersfield",22714,Home,Huddersfield Town,Wolverhampton Wanderers,1,0,W,0,0,0,0,1.0,57.0,1.0,24.0,17.0,7.0,5.0,8.0,,1.0,167.0,3.0,5.0,3.0,10.0,,3.0,117.0,163.0,69.0,15.0,21.0,,,22.0,,16.0,,17.0,3.0,6.0,37.0,165.0,0.0,125.0,10.0,,2.0,1.0,67.0,76.0,2.0,67.0,19.0,23.0,7.0,6.0,5.0,163.0,1.0,4.0,,94.0,,654.0,8.0,11.0,15.0,,13.0,331.0,25.0,2.0,7.0,2.0,2.0,8.0,29.0,426.0,58.0,1.0,87428,3.0,182.0,1.0,11.0,1.0,,207.0,6.0,,23.0,5.0,62.0,,,5.0,15.0,3.0,4.0,2.0,61.0,344.0,10.0,12.0,2.0,21.0,68.0,0.0,4.0,5.0,,,,3.0,0.0,2.0,1.0,4.0,49.9,25.0,4.0,1.0,,5.0,3.0,36.0,3.0,,1.0,445.0,,13.0,10.0,19.0,9.0,27.0,1.0,4.0,260.0,6.0,6.0,34.0,82.0,21.0,7.0,21.0,,11.0,3.0,15.0,13.0,3.0,,1.0,,,1.0,,1.0,2.0,,,,,,1.0,,,,2.0,2.0,1.0,5.0,1.0,,,1.0,,,,,,,,,,,,,2.0,,1.0,,3.0,,,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
29,987873,2019-03-02 15:00:00,"American Express Stadium, Falmer",30182,Away,Huddersfield Town,Brighton and Hove Albion,0,1,L,0,0,0,0,,63.0,1.0,32.0,19.0,3.0,3.0,3.0,2.0,1.0,168.0,1.0,2.0,1.0,4.0,,4.0,86.0,161.0,51.0,6.0,24.0,,,15.0,,12.0,2.0,19.0,3.0,7.0,42.0,132.0,0.0,78.0,6.0,2.0,2.0,,56.0,35.0,4.0,57.0,12.0,18.0,3.0,4.0,,161.0,,8.0,,102.0,,608.0,4.0,9.0,8.0,,14.0,302.0,36.0,5.0,4.0,2.0,5.0,,15.0,389.0,49.0,,87428,1.0,186.0,,6.0,,,222.0,3.0,,18.0,7.0,62.0,1.0,,2.0,23.0,6.0,3.0,,70.0,317.0,10.0,11.0,,26.0,73.0,0.0,2.0,6.0,2.0,,1.0,,0.0,1.0,1.0,1.0,47.3,12.0,3.0,2.0,1.0,2.0,2.0,42.0,3.0,,,413.0,,14.0,12.0,24.0,,26.0,,,206.0,2.0,5.0,20.0,44.0,18.0,4.0,21.0,1.0,6.0,3.0,12.0,11.0,3.0,,,1.0,,,,,1.0,,2.0,,,,,,,,2.0,,,,1.0,,1.0,,1.0,1.0,2.0,2.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
30,987886,2019-03-09 15:00:00,"Accu Stadium, Huddersfield",22304,Home,Huddersfield Town,Bournemouth,0,2,L,0,1,0,0,1.0,68.0,2.0,26.0,9.0,5.0,1.0,2.0,2.0,1.0,187.0,4.0,12.0,1.0,5.0,,1.0,116.0,169.0,58.0,8.0,11.0,,,31.0,,12.0,1.0,9.0,6.0,4.0,29.0,216.0,0.0,177.0,14.0,2.0,2.0,,75.0,94.0,3.0,54.0,25.0,32.0,6.0,11.0,3.0,169.0,,8.0,,105.0,,684.0,5.0,8.0,22.0,,13.0,350.0,20.0,2.0,3.0,3.0,1.0,2.0,34.0,447.0,63.0,,87428,1.0,151.0,,12.0,,,173.0,7.0,,32.0,4.0,54.0,1.0,1.0,5.0,17.0,,2.0,1.0,55.0,363.0,9.0,11.0,,16.0,56.0,0.0,2.0,5.0,3.0,,2.0,4.0,0.0,2.0,,,56.5,30.0,3.0,1.0,,5.0,4.0,34.0,6.0,,,462.0,,13.0,11.0,11.0,3.0,42.0,2.0,,320.0,7.0,4.0,20.0,119.0,37.0,3.0,18.0,2.0,7.0,3.0,20.0,13.0,6.0,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,
31,987900,2019-03-16 15:00:00,"London Stadium, London",59931,Away,Huddersfield Town,West Ham United,3,4,L,2,1,0,0,1.0,54.0,2.0,14.0,21.0,6.0,7.0,9.0,1.0,1.0,151.0,5.0,8.0,1.0,9.0,,5.0,56.0,138.0,46.0,15.0,17.0,,,18.0,,10.0,1.0,21.0,8.0,1.0,29.0,122.0,0.0,93.0,15.0,1.0,,,63.0,67.0,6.0,50.0,10.0,23.0,6.0,2.0,2.0,138.0,4.0,10.0,,70.0,,511.0,4.0,5.0,15.0,,12.0,217.0,21.0,2.0,6.0,2.0,6.0,3.0,15.0,304.0,52.0,,74471,8.0,116.0,3.0,8.0,2.0,1.0,138.0,7.0,,23.0,6.0,53.0,2.0,1.0,4.0,11.0,6.0,3.0,,52.0,233.0,7.0,7.0,3.0,23.0,72.0,0.0,1.0,5.0,1.0,,4.0,,0.0,1.0,,3.0,35.9,13.0,,1.0,,4.0,4.0,33.0,8.0,1.0,,327.0,1.0,12.0,10.0,11.0,6.0,20.0,4.0,4.0,207.0,3.0,1.0,13.0,50.0,23.0,6.0,18.0,4.0,8.0,3.0,14.0,9.0,8.0,,1.0,,1.0,1.0,,3.0,2.0,1.0,,1.0,2.0,,2.0,1.0,,1.0,1.0,2.0,,2.0,,1.0,,,,,2.0,2.0,1.0,1.0,1.0,,,1.0,3.0,,1.0,,,,2.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,,,2.0,,,,,1.0,,,,1.0,,,,,,
32,987906,2019-03-30 15:00:00,"Selhurst Park, London",25193,Away,Huddersfield Town,Crystal Palace,0,2,L,0,0,0,0,,60.0,3.0,33.0,22.0,4.0,4.0,11.0,4.0,1.0,184.0,5.0,10.0,2.0,10.0,,5.0,97.0,162.0,47.0,15.0,27.0,4.0,,21.0,,10.0,,22.0,5.0,6.0,34.0,195.0,0.0,139.0,7.0,4.0,3.0,,90.0,71.0,6.0,76.0,16.0,17.0,4.0,5.0,4.0,162.0,,15.0,,92.0,,646.0,9.0,13.0,21.0,,15.0,320.0,16.0,9.0,6.0,0.0,8.0,4.0,22.0,416.0,70.0,1.0,87428,5.0,149.0,1.0,8.0,2.0,1.0,169.0,5.0,,17.0,12.0,63.0,2.0,3.0,2.0,14.0,4.0,5.0,1.0,74.0,339.0,10.0,14.0,1.0,26.0,81.0,0.0,2.0,5.0,1.0,,2.0,3.0,0.0,5.0,1.0,2.0,51.5,20.0,8.0,1.0,1.0,2.0,3.0,46.0,5.0,1.0,,449.0,1.0,15.0,13.0,16.0,7.0,28.0,,3.0,301.0,9.0,6.0,13.0,84.0,27.0,6.0,14.0,2.0,12.0,3.0,12.0,7.0,5.0,,,2.0,,,,,,,1.0,,,,,,,,5.0,3.0,,1.0,2.0,,2.0,,1.0,,,,2.0,2.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,
33,987915,2019-04-06 15:00:00,"Accu Stadium, Huddersfield",24126,Home,Huddersfield Town,Leicester City,1,4,L,0,1,0,0,,52.0,3.0,32.0,12.0,,3.0,8.0,6.0,2.0,152.0,5.0,5.0,4.0,6.0,1.0,4.0,72.0,143.0,47.0,10.0,16.0,1.0,,21.0,,7.0,,12.0,7.0,3.0,36.0,169.0,0.0,100.0,13.0,4.0,3.0,1.0,80.0,85.0,4.0,72.0,14.0,21.0,2.0,3.0,2.0,143.0,1.0,10.0,,73.0,,553.0,3.0,2.0,15.0,,14.0,262.0,19.0,6.0,5.0,3.0,2.0,2.0,22.0,342.0,49.0,,87428,5.0,115.0,1.0,8.0,,1.0,138.0,5.0,1.0,21.0,8.0,60.0,1.0,2.0,3.0,18.0,8.0,2.0,,73.0,279.0,10.0,15.0,3.0,25.0,65.0,0.0,1.0,5.0,3.0,,4.0,1.0,0.0,2.0,,,44.8,22.0,2.0,,,3.0,3.0,30.0,8.0,1.0,1.0,369.0,1.0,14.0,11.0,18.0,3.0,18.0,3.0,1.0,252.0,5.0,3.0,16.0,70.0,25.0,5.0,17.0,2.0,7.0,3.0,10.0,9.0,8.0,2.0,1.0,2.0,,,,1.0,,1.0,2.0,1.0,,,1.0,,,,3.0,1.0,,1.0,,,1.0,,,,2.0,2.0,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,
34,987930,2019-04-13 12:30:00,"Tottenham Hotspur Stadium, London",58308,Away,Huddersfield Town,Tottenham Hotspur,0,4,L,0,2,0,0,1.0,56.0,,25.0,15.0,2.0,2.0,5.0,1.0,1.0,141.0,3.0,11.0,1.0,5.0,,1.0,53.0,129.0,47.0,7.0,20.0,,,17.0,,8.0,1.0,15.0,2.0,6.0,24.0,107.0,0.0,77.0,12.0,,,,73.0,47.0,,45.0,15.0,24.0,2.0,5.0,,129.0,2.0,16.0,,66.0,,480.0,4.0,5.0,17.0,1.0,16.0,206.0,19.0,7.0,7.0,2.0,9.0,5.0,21.0,274.0,34.0,,87428,3.0,118.0,2.0,10.0,,,143.0,8.0,,24.0,8.0,61.0,2.0,,1.0,11.0,6.0,2.0,1.0,64.0,222.0,10.0,14.0,1.0,22.0,66.0,0.0,2.0,4.0,,,4.0,1.0,0.0,2.0,1.0,1.0,30.0,18.0,3.0,2.0,,1.0,1.0,29.0,2.0,,2.0,305.0,,16.0,9.0,9.0,5.0,21.0,1.0,5.0,179.0,4.0,6.0,13.0,53.0,23.0,7.0,13.0,4.0,5.0,3.0,18.0,11.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,3.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
35,987937,2019-04-20 15:00:00,"Accu Stadium, Huddersfield",23957,Home,Huddersfield Town,Watford,1,2,L,0,1,0,0,1.0,58.0,3.0,27.0,17.0,6.0,3.0,7.0,4.0,2.0,145.0,3.0,7.0,2.0,8.0,,3.0,92.0,115.0,43.0,13.0,10.0,1.0,,14.0,,8.0,1.0,17.0,2.0,,31.0,180.0,0.0,102.0,15.0,3.0,1.0,1.0,70.0,61.0,7.0,52.0,12.0,22.0,6.0,3.0,3.0,115.0,1.0,8.0,,89.0,,561.0,6.0,4.0,12.0,,12.0,291.0,23.0,2.0,4.0,2.0,1.0,1.0,21.0,359.0,45.0,,87428,2.0,129.0,,8.0,,,145.0,9.0,,22.0,5.0,45.0,,1.0,4.0,9.0,3.0,3.0,1.0,47.0,306.0,9.0,5.0,1.0,10.0,50.0,0.0,3.0,2.0,3.0,,2.0,,0.0,2.0,,2.0,45.7,18.0,1.0,1.0,,4.0,5.0,34.0,2.0,,2.0,378.0,,12.0,11.0,17.0,5.0,24.0,1.0,2.0,247.0,8.0,,12.0,62.0,28.0,4.0,15.0,2.0,8.0,3.0,12.0,13.0,2.0,,1.0,1.0,,,,1.0,2.0,,4.0,,1.0,,1.0,1.0,,1.0,1.0,2.0,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,
36,987947,2019-04-26 20:00:00,"Anfield, Liverpool",53249,Away,Huddersfield Town,Liverpool,0,5,L,0,3,0,0,1.0,48.0,1.0,22.0,20.0,2.0,2.0,3.0,2.0,1.0,138.0,1.0,4.0,,4.0,,1.0,64.0,146.0,41.0,5.0,12.0,,,8.0,,15.0,1.0,20.0,4.0,1.0,29.0,82.0,0.0,87.0,14.0,,,1.0,57.0,40.0,2.0,54.0,4.0,18.0,2.0,2.0,,146.0,,14.0,,50.0,,479.0,3.0,9.0,10.0,,12.0,194.0,25.0,7.0,8.0,0.0,2.0,2.0,22.0,275.0,43.0,,87428,1.0,130.0,,2.0,,,154.0,8.0,1.0,18.0,14.0,54.0,1.0,4.0,1.0,14.0,7.0,5.0,,60.0,211.0,5.0,11.0,1.0,25.0,68.0,0.0,2.0,4.0,2.0,,5.0,4.0,0.0,,,,29.7,17.0,2.0,2.0,,1.0,2.0,26.0,4.0,,1.0,306.0,,12.0,11.0,11.0,2.0,13.0,1.0,2.0,160.0,3.0,1.0,9.0,51.0,15.0,8.0,23.0,5.0,4.0,3.0,12.0,8.0,4.0,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
37,987957,2019-05-05 14:00:00,"Accu Stadium, Huddersfield",24263,Home,Huddersfield Town,Manchester United,1,1,D,0,1,0,0,,58.0,1.0,20.0,20.0,2.0,2.0,5.0,6.0,1.0,148.0,,5.0,3.0,6.0,,3.0,61.0,145.0,45.0,7.0,12.0,1.0,,9.0,,9.0,,20.0,2.0,3.0,31.0,119.0,0.0,114.0,10.0,3.0,2.0,1.0,55.0,55.0,5.0,47.0,7.0,22.0,2.0,1.0,1.0,145.0,2.0,12.0,,76.0,,506.0,4.0,9.0,13.0,,9.0,218.0,24.0,3.0,8.0,1.0,6.0,1.0,25.0,301.0,53.0,,87428,3.0,115.0,1.0,4.0,,,139.0,7.0,,22.0,12.0,47.0,,2.0,5.0,14.0,11.0,5.0,1.0,55.0,234.0,10.0,10.0,1.0,19.0,67.0,0.0,,7.0,3.0,,1.0,4.0,0.0,,,,35.8,18.0,3.0,1.0,,5.0,2.0,31.0,3.0,,1.0,332.0,,9.0,6.0,16.0,2.0,18.0,,1.0,202.0,5.0,3.0,12.0,68.0,18.0,8.0,18.0,1.0,6.0,2.0,14.0,13.0,4.0,,1.0,3.0,,,1.0,1.0,1.0,,2.0,,1.0,,1.0,1.0,,2.0,2.0,,,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,2.0,1.0,,,,,,1.0,,,1.0,,,,3.0,1.0,1.0,4.0,,,1.0,3.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0
38,987969,2019-05-12 15:00:00,"St. Mary's Stadium, Southampton",30367,Away,Huddersfield Town,Southampton,1,1,D,0,1,0,0,,63.0,,23.0,26.0,6.0,4.0,3.0,2.0,2.0,181.0,3.0,5.0,3.0,6.0,,3.0,71.0,178.0,64.0,10.0,40.0,,,14.0,,13.0,2.0,26.0,3.0,6.0,44.0,134.0,0.0,103.0,6.0,1.0,2.0,1.0,79.0,81.0,3.0,61.0,11.0,22.0,7.0,3.0,2.0,178.0,1.0,4.0,,75.0,,579.0,4.0,12.0,7.0,,10.0,245.0,24.0,8.0,13.0,1.0,4.0,3.0,33.0,368.0,54.0,,87428,2.0,123.0,1.0,6.0,1.0,,156.0,4.0,,22.0,6.0,71.0,,2.0,,13.0,6.0,2.0,3.0,78.0,254.0,8.0,13.0,2.0,37.0,80.0,0.0,1.0,4.0,1.0,,1.0,4.0,0.0,1.0,,2.0,46.3,28.0,3.0,,,,3.0,23.0,3.0,,1.0,388.0,,10.0,10.0,18.0,4.0,20.0,2.0,2.0,246.0,4.0,6.0,24.0,63.0,27.0,13.0,27.0,,7.0,2.0,7.0,8.0,3.0,1.0,1.0,1.0,,1.0,,1.0,3.0,,2.0,,,,1.0,,,,,,,1.0,,,,,1.0,,2.0,2.0,,,,,,,,,2.0,,,,2.0,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,
