gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attObxLeft,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,attIboxBlocked,attFreekickTotal,goalAssistOpenplay,freekickTotal,attObxdRight,sixYardBlock,attRfGoal,attCmissHighLeft,goalsOpenplay,overrun,attFreekickMiss,postScoringAtt,attIboxPost,midfielderGoals,attHdPost,attLgCentre,hitWoodwork,punches,attPostHigh,goalsConceded,attSvHighCentre,goalsConcededIbox,ptsDroppedWinningPos,errorLeadToGoal,goalsConcededObox,attLfTarget,attGoalLowCentre,bigChanceMissed,handBall,accurateKeeperSweeper,contentiousDecision,totalKeeperSweeper,penaltyConceded,penaltyFaced,penGoalsConceded,attLfGoal,shotFastbreak,goalFastbreak,attOneOnOne,totalFastbreak,attFastbreak,forwardGoals,attGoalHighRight,attOboxGoal,totalPullBack,attFreekickGoal,attSvHighRight,attGoalHighCentre,attFreekickTarget,attSvHighLeft,ownGoals,attOboxPost,attIboxOwnGoal,errorLeadToShot,clearanceOffLine,penaltyWon,ptsGainedLosingPos,attPenGoal,attGoalHighLeft,accuratePullBack,attLgLeft,attObpGoal
28,919172,2018-02-24 15:00:00,"The Hawthorns, West Bromwich",25920,Home,West Bromwich Albion,Huddersfield Town,1,2,L,0,0,0,0,1.0,76.0,1.0,3.0,1.0,1.0,35.0,30.0,4.0,5.0,6.0,5.0,,194.0,3.0,11.0,1.0,4.0,7.0,,3.0,72.0,206.0,60.0,10.0,,31.0,,,1.0,1.0,,18.0,7.0,2.0,30.0,5.0,9.0,47.0,137.0,,,0.0,125.0,11.0,4.0,,1.0,,65.0,38.0,4.0,61.0,,1.0,13.0,14.0,4.0,2.0,2.0,206.0,2.0,8.0,78.0,634.0,4.0,18.0,18.0,,12.0,264.0,33.0,1.0,11.0,16.0,1.0,1.0,4.0,3.0,29.0,385.0,79.0,,,9089,3.0,140.0,10.0,1.0,175.0,8.0,14.0,5.0,79.0,,,1.0,7.0,3.0,19.0,8.0,4.0,3.0,83.0,274.0,9.0,8.0,2.0,38.0,91.0,,,0.0,3.0,2.0,1.0,6.0,,0.0,1.0,1.0,2.0,2.0,53.3,27.0,1.0,4.0,,3.0,2.0,42.0,6.0,,405.0,12.0,19.0,20.0,5.0,30.0,2.0,3.0,248.0,3.0,6.0,27.0,64.0,29.0,2.0,16.0,13.0,1.0,6.0,3.0,21.0,2.0,4.0,6.0,,2.0,1.0,,1.0,,,,,,3.0,,,,,,,,,,2.0,,2.0,,,,2.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,
29,919182,2018-03-03 15:00:00,"Vicarage Road, Watford",20022,Away,West Bromwich Albion,Watford,0,1,L,0,0,0,0,,60.0,,,,,28.0,39.0,2.0,3.0,6.0,2.0,1.0,164.0,8.0,7.0,,3.0,6.0,,2.0,71.0,171.0,73.0,9.0,,25.0,1.0,,,1.0,1.0,30.0,14.0,1.0,39.0,6.0,4.0,32.0,116.0,1.0,,0.0,108.0,12.0,1.0,1.0,1.0,,36.0,66.0,2.0,48.0,1.0,2.0,24.0,25.0,3.0,3.0,2.0,171.0,2.0,10.0,63.0,565.0,6.0,17.0,23.0,,14.0,217.0,27.0,,11.0,20.0,,0.0,6.0,4.0,27.0,320.0,59.0,1.0,,9089,4.0,120.0,20.0,,157.0,6.0,25.0,9.0,57.0,1.0,3.0,,1.0,2.0,11.0,5.0,2.0,1.0,74.0,228.0,11.0,12.0,,30.0,73.0,,,0.0,4.0,3.0,,5.0,,0.0,5.0,,1.0,2.0,46.7,22.0,2.0,2.0,1.0,2.0,2.0,31.0,6.0,1.0,346.0,14.0,9.0,10.0,5.0,33.0,3.0,3.0,219.0,3.0,4.0,38.0,59.0,25.0,,20.0,17.0,,8.0,3.0,10.0,,7.0,6.0,,2.0,1.0,,1.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
30,919191,2018-03-10 15:00:00,"The Hawthorns, West Bromwich",23558,Home,West Bromwich Albion,Leicester City,1,4,L,1,1,0,0,,54.0,,,,,26.0,16.0,4.0,5.0,2.0,3.0,,163.0,2.0,8.0,1.0,1.0,3.0,,2.0,71.0,162.0,50.0,6.0,,30.0,,,,,,21.0,10.0,1.0,16.0,7.0,15.0,41.0,145.0,,,0.0,134.0,6.0,2.0,,2.0,,39.0,76.0,3.0,62.0,1.0,3.0,14.0,17.0,4.0,2.0,3.0,162.0,,9.0,66.0,545.0,2.0,6.0,12.0,,7.0,256.0,26.0,,6.0,7.0,1.0,1.0,3.0,,30.0,338.0,73.0,,,9089,2.0,124.0,10.0,,146.0,3.0,17.0,10.0,64.0,,,,1.0,3.0,15.0,5.0,3.0,,69.0,267.0,7.0,12.0,,23.0,84.0,,,0.0,6.0,2.0,1.0,2.0,,0.0,1.0,1.0,1.0,,43.8,17.0,,1.0,,3.0,1.0,38.0,7.0,,362.0,7.0,9.0,16.0,3.0,27.0,1.0,,237.0,1.0,15.0,18.0,79.0,20.0,4.0,7.0,17.0,,5.0,3.0,16.0,4.0,11.0,7.0,,1.0,,1.0,,,,,,1.0,2.0,,,,,,,1.0,,,4.0,,4.0,3.0,,,1.0,1.0,,1.0,2.0,,2.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
31,919193,2018-03-17 15:00:00,"Vitality Stadium, Bournemouth",10242,Away,West Bromwich Albion,Bournemouth,1,2,L,0,0,0,0,1.0,79.0,,2.0,,,33.0,25.0,3.0,2.0,8.0,3.0,1.0,160.0,8.0,3.0,1.0,,9.0,,6.0,68.0,160.0,49.0,11.0,,18.0,3.0,,,3.0,,19.0,12.0,2.0,25.0,2.0,8.0,44.0,137.0,1.0,,0.0,111.0,9.0,2.0,1.0,,1.0,57.0,44.0,8.0,59.0,3.0,,17.0,20.0,3.0,5.0,1.0,160.0,3.0,7.0,63.0,549.0,8.0,12.0,23.0,3.0,15.0,238.0,40.0,,9.0,10.0,1.0,2.0,5.0,1.0,21.0,326.0,68.0,,,9089,6.0,118.0,12.0,,139.0,4.0,20.0,6.0,51.0,,2.0,,1.0,1.0,18.0,10.0,1.0,,83.0,247.0,6.0,6.0,,35.0,88.0,1.0,,0.0,3.0,1.0,1.0,5.0,,0.0,8.0,1.0,2.0,3.0,39.4,15.0,,11.0,,1.0,4.0,38.0,2.0,1.0,350.0,15.0,12.0,23.0,1.0,30.0,,,230.0,6.0,6.0,19.0,61.0,17.0,1.0,10.0,21.0,,11.0,3.0,10.0,1.0,10.0,2.0,1.0,4.0,,1.0,,,,1.0,,1.0,2.0,,,,,,,,,,2.0,,,3.0,,2.0,1.0,,2.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
32,919212,2018-03-31 15:00:00,"The Hawthorns, West Bromwich",23455,Home,West Bromwich Albion,Burnley,1,2,L,0,1,0,0,,66.0,,1.0,,,43.0,28.0,1.0,2.0,7.0,2.0,,168.0,8.0,7.0,1.0,2.0,6.0,2.0,3.0,84.0,160.0,65.0,8.0,1.0,25.0,2.0,,,,,26.0,13.0,,28.0,1.0,5.0,45.0,150.0,,,0.0,135.0,12.0,,,1.0,,51.0,68.0,5.0,75.0,,2.0,25.0,8.0,1.0,10.0,,160.0,,6.0,87.0,582.0,5.0,13.0,26.0,2.0,6.0,286.0,39.0,,8.0,13.0,1.0,1.0,1.0,1.0,18.0,389.0,62.0,1.0,,9089,7.0,158.0,14.0,,188.0,8.0,8.0,12.0,52.0,,1.0,,2.0,1.0,14.0,5.0,5.0,1.0,92.0,300.0,9.0,6.0,,30.0,93.0,1.0,,0.0,6.0,1.0,1.0,5.0,,0.0,8.0,1.0,2.0,3.0,47.5,17.0,1.0,1.0,,1.0,2.0,45.0,1.0,,414.0,6.0,6.0,26.0,3.0,32.0,,3.0,252.0,3.0,4.0,29.0,77.0,22.0,3.0,13.0,20.0,,8.0,2.0,11.0,3.0,3.0,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,2.0,1.0,2.0,,,,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,
33,919222,2018-04-07 15:00:00,"The Hawthorns, West Bromwich",23297,Home,West Bromwich Albion,Swansea City,1,1,D,0,0,0,0,1.0,57.0,,,1.0,,32.0,20.0,8.0,5.0,7.0,,1.0,166.0,7.0,12.0,1.0,,9.0,,3.0,116.0,140.0,49.0,15.0,5.0,23.0,1.0,,1.0,,2.0,25.0,7.0,1.0,20.0,5.0,10.0,51.0,209.0,,,0.0,127.0,15.0,,,1.0,1.0,66.0,71.0,7.0,87.0,,1.0,20.0,18.0,8.0,5.0,2.0,140.0,1.0,4.0,110.0,673.0,8.0,13.0,26.0,,11.0,387.0,25.0,,5.0,10.0,1.0,3.0,1.0,2.0,29.0,465.0,69.0,,,9089,4.0,193.0,14.0,2.0,217.0,12.0,18.0,6.0,60.0,,,,6.0,2.0,14.0,3.0,2.0,1.0,62.0,395.0,5.0,11.0,,16.0,90.0,,,0.0,1.0,,1.0,4.0,,0.0,5.0,1.0,,1.0,51.7,26.0,1.0,3.0,1.0,2.0,8.0,53.0,5.0,1.0,479.0,11.0,10.0,27.0,4.0,33.0,2.0,2.0,287.0,9.0,9.0,19.0,89.0,24.0,1.0,10.0,13.0,,11.0,1.0,15.0,1.0,9.0,6.0,,3.0,,,,,,1.0,,,2.0,,,,,,,,,,1.0,2.0,1.0,2.0,,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,919227,2018-04-15 16:00:00,"Old Trafford, Manchester",75095,Away,West Bromwich Albion,Manchester United,1,0,W,0,0,0,0,1.0,66.0,,1.0,,,29.0,38.0,4.0,4.0,6.0,4.0,,132.0,4.0,9.0,1.0,1.0,8.0,,4.0,65.0,131.0,39.0,10.0,2.0,15.0,3.0,,,1.0,1.0,14.0,7.0,,38.0,4.0,6.0,22.0,116.0,,1.0,0.0,86.0,13.0,2.0,1.0,1.0,3.0,34.0,47.0,5.0,52.0,2.0,2.0,10.0,23.0,4.0,3.0,2.0,131.0,,6.0,63.0,490.0,8.0,8.0,9.0,2.0,14.0,206.0,36.0,,13.0,20.0,,1.0,4.0,3.0,16.0,284.0,52.0,,,9089,4.0,106.0,6.0,,129.0,11.0,23.0,12.0,57.0,,,,1.0,,7.0,8.0,5.0,1.0,68.0,218.0,7.0,14.0,,33.0,79.0,,,0.0,4.0,3.0,1.0,1.0,,0.0,3.0,,1.0,4.0,29.7,14.0,1.0,2.0,1.0,,2.0,36.0,4.0,3.0,312.0,14.0,11.0,11.0,4.0,19.0,1.0,2.0,197.0,2.0,4.0,14.0,42.0,19.0,2.0,20.0,9.0,1.0,9.0,3.0,13.0,2.0,9.0,4.0,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
35,919242,2018-04-21 12:30:00,"The Hawthorns, West Bromwich",24520,Home,West Bromwich Albion,Liverpool,2,2,D,0,1,0,0,2.0,64.0,1.0,,1.0,1.0,20.0,19.0,2.0,4.0,10.0,1.0,2.0,131.0,10.0,11.0,2.0,2.0,7.0,1.0,6.0,74.0,150.0,47.0,13.0,,13.0,4.0,,1.0,2.0,,29.0,8.0,,19.0,7.0,10.0,42.0,118.0,1.0,,0.0,108.0,12.0,1.0,,3.0,,26.0,67.0,4.0,62.0,4.0,4.0,22.0,22.0,3.0,3.0,3.0,150.0,1.0,6.0,77.0,527.0,5.0,8.0,25.0,,13.0,234.0,31.0,1.0,7.0,10.0,1.0,0.0,2.0,3.0,26.0,327.0,56.0,,2.0,9089,7.0,134.0,16.0,4.0,152.0,5.0,22.0,7.0,49.0,,1.0,,1.0,4.0,12.0,3.0,4.0,,69.0,242.0,5.0,13.0,1.0,35.0,81.0,2.0,,0.0,4.0,1.0,2.0,1.0,,0.0,7.0,1.0,2.0,2.0,38.4,24.0,1.0,5.0,,4.0,1.0,31.0,7.0,,344.0,13.0,9.0,21.0,6.0,30.0,3.0,3.0,221.0,6.0,9.0,17.0,52.0,18.0,2.0,10.0,14.0,1.0,7.0,3.0,14.0,2.0,7.0,7.0,,1.0,,,,,,1.0,,,2.0,,,,1.0,,1.0,,,,2.0,,2.0,,,,2.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,1.0,,,1.0,,,1.0,,
36,919248,2018-04-28 15:00:00,"St. James' Park, Newcastle",52283,Away,West Bromwich Albion,Newcastle United,1,0,W,1,0,0,0,1.0,64.0,,1.0,,,31.0,32.0,3.0,3.0,6.0,2.0,1.0,170.0,6.0,12.0,1.0,2.0,7.0,,2.0,61.0,170.0,58.0,9.0,,28.0,1.0,,1.0,1.0,2.0,10.0,13.0,,32.0,1.0,6.0,30.0,143.0,,1.0,0.0,116.0,13.0,1.0,,1.0,1.0,72.0,52.0,3.0,55.0,1.0,2.0,9.0,25.0,3.0,3.0,3.0,170.0,1.0,9.0,56.0,556.0,5.0,14.0,19.0,,14.0,213.0,31.0,2.0,10.0,18.0,1.0,3.0,6.0,4.0,32.0,314.0,76.0,2.0,1.0,9089,3.0,90.0,5.0,1.0,118.0,7.0,25.0,16.0,71.0,,2.0,,2.0,1.0,17.0,8.0,6.0,,76.0,227.0,8.0,9.0,1.0,36.0,81.0,,,0.0,5.0,1.0,1.0,4.0,,0.0,5.0,1.0,1.0,1.0,36.5,24.0,1.0,7.0,2.0,1.0,1.0,34.0,1.0,1.0,342.0,14.0,13.0,17.0,6.0,15.0,1.0,3.0,234.0,5.0,5.0,21.0,66.0,18.0,2.0,18.0,18.0,,8.0,3.0,22.0,2.0,10.0,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,919262,2018-05-05 15:00:00,"The Hawthorns, West Bromwich",23685,Home,West Bromwich Albion,Tottenham Hotspur,1,0,W,0,0,0,0,1.0,61.0,,2.0,,,29.0,45.0,2.0,3.0,7.0,5.0,,107.0,6.0,6.0,1.0,3.0,6.0,1.0,1.0,37.0,138.0,54.0,9.0,,18.0,,,,,3.0,17.0,8.0,,45.0,5.0,8.0,24.0,58.0,1.0,1.0,0.0,50.0,13.0,3.0,,3.0,,26.0,24.0,1.0,26.0,2.0,1.0,12.0,15.0,2.0,3.0,2.0,138.0,1.0,10.0,40.0,410.0,4.0,2.0,15.0,,8.0,114.0,41.0,1.0,11.0,22.0,,4.0,6.0,5.0,6.0,185.0,40.0,,,9089,2.0,74.0,6.0,2.0,104.0,8.0,15.0,12.0,52.0,,,,2.0,2.0,20.0,8.0,4.0,,70.0,126.0,12.0,9.0,2.0,37.0,63.0,,1.0,0.0,9.0,3.0,1.0,,,0.0,2.0,,,2.0,26.2,2.0,2.0,1.0,,2.0,2.0,26.0,5.0,1.0,210.0,8.0,8.0,18.0,6.0,23.0,4.0,4.0,123.0,3.0,3.0,20.0,24.0,10.0,5.0,22.0,16.0,,2.0,3.0,11.0,5.0,8.0,5.0,,2.0,,,,,2.0,1.0,,,4.0,,,,1.0,,,,,,,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,919264,2018-05-13 15:00:00,"Selhurst Park, London",25357,Away,West Bromwich Albion,Crystal Palace,0,2,L,0,0,0,0,,73.0,,,,,28.0,14.0,4.0,4.0,2.0,4.0,,135.0,2.0,9.0,,1.0,4.0,,1.0,95.0,145.0,63.0,7.0,,13.0,,,,1.0,3.0,15.0,20.0,1.0,14.0,2.0,12.0,37.0,159.0,,,0.0,102.0,11.0,3.0,,,1.0,63.0,41.0,1.0,49.0,2.0,2.0,13.0,14.0,5.0,6.0,4.0,145.0,,7.0,100.0,584.0,4.0,7.0,6.0,,18.0,288.0,38.0,1.0,6.0,6.0,,3.0,2.0,3.0,17.0,359.0,53.0,,,9089,,143.0,7.0,,163.0,8.0,14.0,5.0,73.0,,1.0,,1.0,5.0,15.0,4.0,3.0,,60.0,300.0,8.0,21.0,,18.0,63.0,,1.0,0.0,4.0,3.0,,1.0,,0.0,2.0,,,1.0,40.8,13.0,1.0,3.0,1.0,5.0,,36.0,2.0,1.0,379.0,18.0,22.0,16.0,6.0,23.0,,2.0,231.0,2.0,12.0,12.0,64.0,23.0,2.0,6.0,34.0,,5.0,3.0,15.0,2.0,6.0,2.0,,,1.0,,1.0,,,,,,5.0,1.0,,,,,1.0,,,,2.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
