gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attObxLeft,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,saves,attFreekickTotal,attOboxBlocked,attIboxTarget,attOneOnOne,cleanSheet,divingSave,freekickTotal,errorLeadToShot,bigChanceMissed,attSetpiece,totalOffside,attFreekickTarget,savedIbox,attHdTotal,attHdMiss,blockedScoringAtt,savedObox,postScoringAtt,attIboxPost,attSvHighRight,attLgCentre,hitWoodwork,accurateThroughBall,totalPullBack,attMissHigh,attAssistSetplay,punches,attPostHigh,attBxLeft,clearanceOffLine,errorLeadToGoal,attCmissHigh,attFreekickMiss,goalAssistSetplay,goalAssistDeadball,midfielderGoals,sixYardBlock,attSvLowRight,attHdGoal,attGoalLowCentre,attHdTarget,defenderGoals,shotFastbreak,totalFastbreak,attSvHighLeft,attFastbreak,attGoalHighLeft,attGoalHighRight,attOboxGoal,attLgLeft,penaltyConceded,attOboxPost,penaltyFaced,penGoalsConceded,attHdPost,attPenTarget,accuratePullBack,attGoalHighCentre,attPostLeft,attPostRight,goalFastbreak,attLfGoal,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,attCmissHighRight,penaltySave
28,755573,2015-03-03 19:45:00,"Villa Park, Birmingham",31272,Away,West Bromwich Albion,Aston Villa,1,2,L,0,1,0,0,,,,1.0,56.0,,,30.0,28.0,1.0,1.0,,161.0,4.0,2.0,1.0,3.0,2.0,,1.0,65.0,166.0,59.0,3.0,32.0,,,,,,,19.0,10.0,,28.0,3.0,6.0,13.0,128.0,,,0.0,110.0,13.0,,2.0,2.0,36.0,77.0,1.0,49.0,1.0,,16.0,21.0,3.0,,166.0,2.0,1.0,6.0,73.0,534.0,,4.0,13.0,221.0,26.0,,11.0,17.0,1.0,,4.0,3.0,1.0,22.0,320.0,69.0,2.0,91972,1.0,108.0,11.0,129.0,7.0,,21.0,6.0,66.0,2.0,9.0,,,10.0,10.0,2.0,,93.0,232.0,15.0,9.0,57.0,99.0,,0.0,2.0,,1.0,2.0,1.0,0.0,2.0,1.0,,,41.8,15.0,1.0,,9.0,38.0,3.0,3.0,348.0,13.0,10.0,5.0,1.0,25.0,2.0,1.0,238.0,,5.0,29.0,55.0,14.0,,,17.0,15.0,2.0,,1.0,6.0,,12.0,3.0,,5.0,,1.0,,,,1.0,,,1.0,1.0,2.0,,4.0,2.0,1.0,1.0,2.0,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,2.0,1.0,14.0,2.0,,
29,755592,2015-03-14 15:00:00,"The Hawthorns, West Bromwich",24323,Home,West Bromwich Albion,Stoke City,1,0,W,1,0,0,0,,1.0,1.0,,57.0,1.0,,23.0,33.0,6.0,3.0,3.0,124.0,6.0,8.0,1.0,6.0,12.0,1.0,5.0,60.0,142.0,58.0,14.0,20.0,,1.0,,1.0,,2.0,19.0,12.0,3.0,33.0,6.0,10.0,13.0,129.0,1.0,,0.0,123.0,7.0,1.0,4.0,,37.0,55.0,8.0,47.0,1.0,2.0,13.0,11.0,2.0,2.0,142.0,,1.0,3.0,56.0,507.0,11.0,6.0,18.0,203.0,23.0,,10.0,19.0,1.0,1.0,1.0,4.0,4.0,28.0,261.0,59.0,1.0,91972,4.0,93.0,7.0,107.0,2.0,,11.0,9.0,57.0,2.0,1.0,,1.0,15.0,6.0,5.0,,55.0,216.0,16.0,3.0,33.0,61.0,,0.0,,5.0,1.0,,3.0,0.0,6.0,1.0,,,43.2,14.0,5.0,,1.0,28.0,7.0,,287.0,18.0,23.0,8.0,5.0,12.0,,3.0,199.0,9.0,8.0,18.0,78.0,21.0,1.0,1.0,19.0,17.0,,13.0,3.0,13.0,1.0,6.0,7.0,3.0,2.0,,1.0,1.0,,1.0,,,,,,1.0,,2.0,2.0,1.0,4.0,,,,1.0,,,1.0,,,,1.0,,3.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,755596,2015-03-21 12:45:00,"Etihad Stadium, Manchester",45018,Away,West Bromwich Albion,Manchester City,0,3,L,0,2,1,0,,,,,45.0,,,19.0,32.0,,,,110.0,1.0,2.0,,,3.0,,,32.0,113.0,34.0,3.0,11.0,,,1.0,,,1.0,6.0,12.0,,32.0,2.0,1.0,10.0,78.0,,,0.0,58.0,5.0,,1.0,,8.0,70.0,,40.0,8.0,,4.0,12.0,,,113.0,1.0,1.0,23.0,39.0,386.0,2.0,10.0,18.0,132.0,27.0,,7.0,12.0,,1.0,0.0,10.0,3.0,14.0,190.0,38.0,,91972,,70.0,3.0,89.0,2.0,,12.0,17.0,43.0,1.0,1.0,,,13.0,20.0,7.0,,55.0,147.0,6.0,14.0,29.0,60.0,1.0,0.0,,9.0,,3.0,4.0,1.0,,,1.0,,22.4,9.0,2.0,,1.0,27.0,2.0,,221.0,18.0,12.0,8.0,3.0,4.0,1.0,2.0,138.0,,1.0,7.0,31.0,7.0,,2.0,12.0,19.0,3.0,,2.0,3.0,2.0,6.0,2.0,,13.0,,,,,,9.0,,,1.0,,3.0,,8.0,3.0,2.0,,5.0,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
31,755612,2015-04-04 15:00:00,"The Hawthorns, West Bromwich",25735,Home,West Bromwich Albion,Queens Park Rangers,1,4,L,0,3,1,0,1.0,1.0,1.0,,67.0,,1.0,46.0,12.0,8.0,3.0,3.0,196.0,12.0,8.0,1.0,6.0,16.0,2.0,6.0,108.0,176.0,62.0,21.0,17.0,,2.0,,1.0,3.0,3.0,30.0,6.0,2.0,12.0,2.0,10.0,24.0,200.0,2.0,,0.0,195.0,6.0,,,1.0,59.0,61.0,9.0,62.0,2.0,3.0,28.0,17.0,9.0,5.0,176.0,2.0,,6.0,89.0,665.0,14.0,10.0,15.0,314.0,30.0,,23.0,9.0,1.0,,2.0,3.0,7.0,31.0,427.0,94.0,,91972,8.0,147.0,19.0,164.0,2.0,,17.0,3.0,46.0,,4.0,,1.0,13.0,6.0,2.0,,98.0,335.0,15.0,8.0,67.0,110.0,1.0,0.0,2.0,4.0,1.0,4.0,3.0,1.0,11.0,1.0,,,55.0,27.0,4.0,2.0,4.0,56.0,2.0,1.0,455.0,15.0,12.0,18.0,11.0,29.0,1.0,6.0,321.0,12.0,8.0,28.0,120.0,23.0,,2.0,9.0,13.0,3.0,17.0,3.0,12.0,2.0,11.0,2.0,3.0,3.0,1.0,1.0,3.0,,,,1.0,,2.0,2.0,3.0,,2.0,6.0,4.0,4.0,1.0,,,,,,,1.0,3.0,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
32,755621,2015-04-11 15:00:00,"The Hawthorns, West Bromwich",26768,Home,West Bromwich Albion,Leicester City,2,3,L,2,1,0,0,,,,,58.0,,1.0,27.0,33.0,4.0,,3.0,168.0,6.0,3.0,2.0,5.0,7.0,,5.0,65.0,177.0,56.0,8.0,31.0,,,3.0,1.0,2.0,,20.0,12.0,3.0,33.0,4.0,1.0,10.0,112.0,,,0.0,122.0,15.0,,3.0,3.0,47.0,56.0,5.0,46.0,2.0,,16.0,16.0,8.0,1.0,177.0,1.0,1.0,9.0,37.0,511.0,2.0,15.0,13.0,180.0,26.0,1.0,13.0,19.0,2.0,3.0,2.0,2.0,2.0,20.0,288.0,75.0,2.0,91972,1.0,88.0,5.0,113.0,6.0,1.0,16.0,9.0,79.0,,1.0,,1.0,8.0,3.0,3.0,,94.0,194.0,14.0,12.0,67.0,99.0,,0.0,2.0,6.0,2.0,3.0,4.0,0.0,4.0,1.0,1.0,1.0,45.9,13.0,2.0,,1.0,35.0,4.0,3.0,316.0,13.0,20.0,6.0,2.0,16.0,2.0,1.0,223.0,5.0,1.0,26.0,56.0,18.0,,8.0,19.0,16.0,3.0,3.0,3.0,6.0,8.0,10.0,4.0,1.0,1.0,1.0,,,,,,1.0,,1.0,2.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,1.0,3.0,1.0,,,,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
33,755626,2015-04-18 15:00:00,"Selhurst Park, London",24765,Away,West Bromwich Albion,Crystal Palace,2,0,W,1,0,0,0,,,,1.0,49.0,1.0,,21.0,49.0,4.0,1.0,2.0,123.0,2.0,6.0,2.0,,7.0,1.0,4.0,26.0,143.0,66.0,8.0,16.0,,1.0,,,,2.0,14.0,20.0,,49.0,4.0,5.0,3.0,79.0,,,0.0,77.0,17.0,1.0,,5.0,46.0,32.0,4.0,31.0,6.0,1.0,10.0,6.0,,2.0,143.0,1.0,1.0,13.0,41.0,453.0,4.0,10.0,23.0,116.0,25.0,,14.0,27.0,2.0,,3.0,5.0,3.0,21.0,178.0,55.0,,91972,3.0,56.0,10.0,76.0,10.0,1.0,6.0,17.0,67.0,,,,,10.0,6.0,4.0,,71.0,133.0,16.0,13.0,46.0,75.0,1.0,0.0,1.0,7.0,1.0,,4.0,0.0,,1.0,,,31.9,12.0,3.0,,,30.0,6.0,5.0,221.0,23.0,18.0,1.0,3.0,8.0,2.0,1.0,159.0,6.0,4.0,22.0,37.0,12.0,,11.0,27.0,24.0,,5.0,3.0,9.0,11.0,5.0,6.0,,4.0,,1.0,2.0,,1.0,3.0,,1.0,,,2.0,,3.0,1.0,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,2.0,2.0,2.0,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
34,755642,2015-04-25 15:00:00,"The Hawthorns, West Bromwich",26663,Home,West Bromwich Albion,Liverpool,0,0,D,0,0,0,0,,,3.0,,65.0,,,24.0,38.0,4.0,4.0,,140.0,4.0,3.0,,1.0,7.0,1.0,4.0,37.0,143.0,63.0,10.0,19.0,,1.0,1.0,,,3.0,16.0,22.0,2.0,38.0,2.0,4.0,11.0,70.0,,,0.0,93.0,12.0,1.0,1.0,3.0,19.0,54.0,3.0,23.0,6.0,3.0,14.0,20.0,6.0,3.0,143.0,,,7.0,36.0,441.0,6.0,16.0,22.0,112.0,29.0,,10.0,13.0,,1.0,1.0,9.0,4.0,13.0,206.0,58.0,1.0,91972,2.0,62.0,7.0,85.0,9.0,,20.0,14.0,51.0,,3.0,,,9.0,15.0,8.0,,71.0,128.0,10.0,10.0,41.0,72.0,,0.0,,4.0,,,2.0,0.0,4.0,,,,26.8,11.0,1.0,1.0,4.0,26.0,2.0,3.0,236.0,22.0,9.0,6.0,6.0,16.0,,3.0,167.0,4.0,4.0,17.0,34.0,22.0,,1.0,13.0,33.0,,6.0,3.0,4.0,1.0,12.0,2.0,,4.0,1.0,,2.0,,1.0,1.0,1.0,,,3.0,1.0,,2.0,2.0,1.0,,2.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
35,755648,2015-05-02 17:30:00,"Old Trafford, Manchester",75454,Away,West Bromwich Albion,Manchester United,1,0,W,0,0,0,0,,2.0,,,48.0,,,19.0,39.0,3.0,3.0,,121.0,2.0,4.0,1.0,1.0,3.0,,3.0,23.0,124.0,39.0,6.0,18.0,,,,,1.0,,9.0,9.0,,39.0,3.0,,18.0,53.0,1.0,,0.0,64.0,11.0,,,1.0,21.0,51.0,3.0,18.0,2.0,,6.0,9.0,1.0,2.0,124.0,,,13.0,23.0,360.0,1.0,2.0,10.0,84.0,23.0,1.0,10.0,25.0,1.0,,0.0,10.0,,16.0,154.0,45.0,,91972,3.0,49.0,5.0,65.0,4.0,,9.0,15.0,47.0,1.0,2.0,,,10.0,13.0,9.0,,67.0,100.0,10.0,6.0,36.0,75.0,,0.0,,9.0,1.0,,,0.0,,,,,20.3,9.0,,1.0,2.0,29.0,3.0,1.0,185.0,10.0,12.0,4.0,2.0,9.0,2.0,,129.0,1.0,,12.0,20.0,14.0,,6.0,25.0,13.0,,2.0,3.0,7.0,6.0,5.0,3.0,,9.0,1.0,1.0,2.0,,1.0,5.0,1.0,,,2.0,,,3.0,2.0,,1.0,6.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,2.0,1.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0
36,755661,2015-05-09 15:00:00,"St. James' Park, Newcastle",47894,Away,West Bromwich Albion,Newcastle United,1,1,D,1,1,0,0,,,2.0,,63.0,,1.0,33.0,42.0,,3.0,,138.0,4.0,7.0,1.0,2.0,6.0,1.0,3.0,65.0,141.0,71.0,8.0,13.0,,1.0,,,,,15.0,27.0,,42.0,1.0,5.0,21.0,98.0,,,0.0,67.0,17.0,,1.0,4.0,37.0,38.0,4.0,29.0,2.0,1.0,14.0,15.0,5.0,,141.0,,,8.0,60.0,523.0,4.0,8.0,17.0,198.0,40.0,,17.0,26.0,1.0,,3.0,4.0,2.0,22.0,265.0,45.0,1.0,91972,4.0,119.0,8.0,147.0,10.0,,15.0,11.0,73.0,2.0,4.0,,,13.0,7.0,4.0,,67.0,213.0,11.0,19.0,37.0,79.0,,0.0,2.0,7.0,1.0,1.0,4.0,0.0,3.0,1.0,,,39.3,12.0,1.0,,4.0,43.0,2.0,4.0,292.0,17.0,19.0,15.0,3.0,15.0,1.0,1.0,160.0,2.0,4.0,26.0,41.0,13.0,1.0,6.0,26.0,28.0,1.0,3.0,3.0,12.0,6.0,9.0,2.0,2.0,3.0,,,2.0,,,1.0,,,1.0,3.0,2.0,,3.0,2.0,,2.0,1.0,2.0,2.0,,,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,2.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,
37,755671,2015-05-18 20:00:00,"The Hawthorns, West Bromwich",24750,Home,West Bromwich Albion,Chelsea,3,0,W,1,0,0,1,,1.0,1.0,1.0,56.0,1.0,2.0,20.0,23.0,4.0,2.0,1.0,127.0,2.0,6.0,3.0,4.0,8.0,,5.0,111.0,87.0,39.0,9.0,5.0,,2.0,,1.0,1.0,,10.0,13.0,,23.0,2.0,9.0,15.0,222.0,1.0,1.0,0.0,125.0,12.0,1.0,1.0,3.0,57.0,51.0,5.0,64.0,2.0,,8.0,16.0,2.0,3.0,87.0,,,5.0,120.0,580.0,6.0,2.0,12.0,358.0,31.0,,4.0,8.0,2.0,,3.0,5.0,3.0,9.0,405.0,55.0,,91972,1.0,149.0,5.0,161.0,7.0,2.0,16.0,4.0,44.0,3.0,6.0,,1.0,6.0,7.0,2.0,1.0,44.0,369.0,11.0,12.0,22.0,52.0,,0.0,2.0,4.0,2.0,,1.0,0.0,2.0,,,,40.5,8.0,2.0,,6.0,36.0,3.0,3.0,422.0,12.0,12.0,9.0,3.0,10.0,,,271.0,7.0,8.0,3.0,98.0,13.0,3.0,3.0,8.0,19.0,,7.0,3.0,10.0,3.0,12.0,3.0,1.0,3.0,,,2.0,,1.0,1.0,,,,,1.0,,2.0,,,1.0,1.0,,,,,,1.0,,2.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,
38,755673,2015-05-24 15:00:00,"Emirates Stadium, London",59971,Away,West Bromwich Albion,Arsenal,1,4,L,0,4,0,0,1.0,2.0,1.0,,60.0,1.0,,28.0,14.0,6.0,2.0,3.0,131.0,4.0,10.0,1.0,4.0,12.0,,5.0,89.0,110.0,49.0,14.0,9.0,,1.0,1.0,,2.0,3.0,11.0,17.0,3.0,14.0,1.0,9.0,16.0,152.0,,,0.0,104.0,7.0,,2.0,,36.0,60.0,7.0,52.0,4.0,1.0,10.0,23.0,4.0,1.0,110.0,,,18.0,87.0,526.0,11.0,6.0,14.0,267.0,34.0,,7.0,11.0,1.0,1.0,0.0,7.0,5.0,13.0,331.0,47.0,1.0,91972,2.0,137.0,4.0,150.0,2.0,,23.0,14.0,36.0,,5.0,,,8.0,6.0,6.0,,55.0,285.0,6.0,7.0,20.0,58.0,,0.0,,7.0,1.0,4.0,2.0,0.0,3.0,1.0,,,36.3,10.0,,1.0,5.0,37.0,3.0,,359.0,14.0,13.0,11.0,6.0,18.0,1.0,5.0,220.0,10.0,9.0,14.0,62.0,16.0,,2.0,11.0,20.0,3.0,10.0,3.0,12.0,2.0,11.0,3.0,1.0,9.0,,2.0,1.0,,,7.0,,,,1.0,3.0,,7.0,2.0,1.0,3.0,2.0,,,,,1.0,,,2.0,,,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
