gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attOboxBlocked,postScoringAtt,accurateKeeperSweeper,attIboxPost,attOboxGoal,goodHighClaim,attMissRight,contentiousDecision,attHdTarget,hitWoodwork,totalKeeperSweeper,errorLeadToShot,attSetpiece,ownGoals,accurateKeeperThrows,attAssistSetplay,keeperThrows,totalHighClaim,attPostRight,attIboxOwnGoal,goalsConcededIbox,goalAssistDeadball,attLfGoal,accuratePullBack,attCmissRight,attFreekickTotal,attBxRight,attMissHighRight,attSvHighLeft,attSvLowLeft,freekickTotal,attGoalHighCentre,accurateFreekickCross,foulThrowIn,attObxRight,attSvHighCentre,attHdGoal,attCmissHigh,attSvLowRight,attCmissLeft,punches,attObxLeft,attLgLeft,errorLeadToGoal,attSvHighRight,attPostLeft,attObxdRight,sixYardBlock,attFreekickTarget,cleanSheet,penaltyWon,attLgCentre,attPenGoal,attGoalHighLeft,attGoalLowRight,attGoalHighRight,attMissHighLeft,forwardGoals,secondYellow,shotFastbreak,totalFastbreak,attFastbreak,attFreekickMiss,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHighLeft,attHdPost,attPostHigh,attOboxPost,attCmissHighRight,attPenTarget,attFreekickGoal
28,803433,2016-03-01 19:45:00,"Stadium of Light, Sunderland",39795,Away,Crystal Palace,Sunderland,2,2,D,0,1,0,0,1.0,,1.0,,64.0,1.0,3.0,3.0,,29.0,24.0,1.0,4.0,4.0,1.0,160.0,,5.0,10.0,2.0,2.0,11.0,5.0,50.0,168.0,49.0,13.0,23.0,3.0,1.0,1.0,1.0,15.0,11.0,,20.0,5.0,12.0,14.0,,113.0,0.0,105.0,14.0,1.0,,1.0,23.0,54.0,7.0,37.0,2.0,10.0,10.0,2.0,,164.0,,6.0,46.0,488.0,7.0,11.0,19.0,176.0,26.0,16.0,15.0,1.0,1.0,4.0,4.0,16.0,262.0,71.0,,82403,5.0,84.0,,7.0,111.0,6.0,1.0,,10.0,13.0,60.0,,,3.0,1.0,23.0,11.0,4.0,1.0,75.0,192.0,8.0,9.0,46.0,81.0,0.0,4.0,4.0,1.0,2.0,2.0,4.0,0.0,3.0,1.0,3.0,3.0,40.8,11.0,2.0,3.0,4.0,4.0,,39.0,5.0,293.0,19.0,11.0,8.0,4.0,29.0,2.0,4.0,197.0,5.0,9.0,18.0,58.0,25.0,2.0,13.0,13.0,8.0,3.0,16.0,2.0,3.0,5.0,1.0,,,,,2.0,,,1.0,,,,2.0,,4.0,3.0,4.0,2.0,,,1.0,,1.0,,,,1.0,2.0,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,
29,803446,2016-03-06 13:30:00,"Selhurst Park, London",24709,Home,Crystal Palace,Liverpool,1,2,L,0,0,0,1,,,,,74.0,,1.0,1.0,,28.0,17.0,3.0,2.0,3.0,2.0,179.0,,7.0,9.0,1.0,3.0,8.0,4.0,54.0,176.0,54.0,14.0,20.0,3.0,,1.0,2.0,26.0,7.0,,14.0,6.0,7.0,18.0,,140.0,0.0,131.0,12.0,1.0,1.0,2.0,69.0,49.0,3.0,55.0,3.0,20.0,15.0,6.0,1.0,173.0,1.0,9.0,54.0,541.0,5.0,6.0,20.0,217.0,33.0,12.0,6.0,,1.0,8.0,5.0,19.0,311.0,74.0,,82403,7.0,97.0,2.0,12.0,118.0,2.0,,,15.0,8.0,63.0,,,3.0,,8.0,10.0,2.0,1.0,79.0,230.0,15.0,8.0,50.0,89.0,0.0,5.0,6.0,2.0,1.0,2.0,3.0,0.0,5.0,,,4.0,38.5,16.0,2.0,6.0,2.0,4.0,,33.0,6.0,342.0,20.0,11.0,11.0,6.0,34.0,2.0,4.0,250.0,8.0,5.0,17.0,77.0,27.0,2.0,5.0,13.0,8.0,3.0,21.0,2.0,5.0,6.0,3.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,2.0,,3.0,3.0,3.0,,,,2.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,
30,803453,2016-04-20 20:00:00,"Old Trafford, Manchester",75277,Away,Crystal Palace,Manchester United,0,2,L,0,1,0,0,1.0,,,,53.0,,2.0,1.0,,29.0,20.0,3.0,2.0,9.0,,125.0,,3.0,14.0,,1.0,3.0,,67.0,135.0,56.0,5.0,9.0,,,,1.0,9.0,19.0,,16.0,2.0,9.0,13.0,,124.0,0.0,95.0,7.0,5.0,,,42.0,61.0,2.0,59.0,7.0,7.0,19.0,2.0,,131.0,,9.0,70.0,542.0,3.0,11.0,31.0,228.0,31.0,11.0,11.0,,2.0,3.0,1.0,26.0,291.0,50.0,,82403,1.0,126.0,,5.0,146.0,6.0,,1.0,19.0,10.0,56.0,,,1.0,,12.0,8.0,7.0,,60.0,247.0,12.0,11.0,32.0,55.0,0.0,5.0,10.0,7.0,,2.0,6.0,0.0,2.0,,2.0,,33.7,23.0,,4.0,,4.0,,30.0,2.0,321.0,31.0,18.0,6.0,1.0,14.0,1.0,1.0,184.0,3.0,8.0,9.0,60.0,12.0,1.0,10.0,23.0,3.0,3.0,25.0,1.0,8.0,2.0,3.0,,,,,1.0,,,,,,,,1.0,2.0,,2.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,803465,2016-03-19 15:00:00,"Selhurst Park, London",25041,Home,Crystal Palace,Leicester City,0,1,L,0,1,0,0,,,3.0,,66.0,,,1.0,,35.0,26.0,5.0,4.0,2.0,1.0,191.0,,7.0,18.0,,1.0,12.0,4.0,87.0,194.0,73.0,13.0,25.0,1.0,,,1.0,39.0,12.0,3.0,18.0,9.0,23.0,23.0,,146.0,0.0,128.0,9.0,2.0,,1.0,68.0,62.0,6.0,73.0,3.0,30.0,10.0,8.0,2.0,186.0,1.0,6.0,77.0,672.0,10.0,11.0,19.0,309.0,34.0,10.0,14.0,,1.0,2.0,6.0,34.0,405.0,71.0,,82403,3.0,186.0,1.0,21.0,210.0,4.0,,,10.0,7.0,75.0,,,,,14.0,2.0,5.0,,89.0,325.0,13.0,13.0,50.0,96.0,0.0,1.0,7.0,2.0,,1.0,4.0,0.0,5.0,,2.0,2.0,55.9,27.0,2.0,2.0,2.0,2.0,,44.0,10.0,428.0,19.0,16.0,12.0,7.0,38.0,2.0,4.0,257.0,7.0,21.0,28.0,75.0,24.0,6.0,13.0,15.0,10.0,3.0,30.0,6.0,4.0,10.0,1.0,1.0,1.0,1.0,,,5.0,,,1.0,1.0,,1.0,,5.0,2.0,5.0,,,,1.0,,,,1.0,,,,,2.0,,,,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
32,803473,2016-04-02 15:00:00,"Boleyn Ground, London",34857,Away,Crystal Palace,West Ham United,2,2,D,1,2,0,1,1.0,1.0,1.0,2.0,59.0,,3.0,2.0,,24.0,22.0,2.0,6.0,4.0,1.0,122.0,1.0,10.0,9.0,2.0,3.0,6.0,5.0,35.0,138.0,55.0,12.0,18.0,2.0,,1.0,,29.0,9.0,1.0,17.0,5.0,12.0,15.0,,97.0,0.0,87.0,19.0,3.0,,3.0,52.0,38.0,3.0,31.0,4.0,24.0,14.0,8.0,,133.0,2.0,9.0,39.0,426.0,5.0,4.0,14.0,144.0,19.0,11.0,13.0,,2.0,6.0,3.0,15.0,204.0,60.0,,82403,5.0,68.0,2.0,13.0,79.0,6.0,1.0,1.0,14.0,7.0,59.0,,1.0,5.0,1.0,15.0,9.0,2.0,1.0,60.0,155.0,11.0,15.0,36.0,70.0,0.0,4.0,4.0,1.0,2.0,2.0,3.0,0.0,8.0,,,3.0,33.4,9.0,1.0,4.0,,3.0,,30.0,5.0,227.0,14.0,7.0,9.0,4.0,27.0,2.0,4.0,177.0,3.0,12.0,19.0,44.0,26.0,1.0,10.0,18.0,6.0,2.0,14.0,1.0,11.0,5.0,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,,5.0,1.0,5.0,1.0,,,1.0,,,,,,3.0,1.0,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
33,803489,2016-04-09 15:00:00,"Selhurst Park, London",24960,Home,Crystal Palace,Norwich City,1,0,W,0,0,0,0,,,1.0,,61.0,1.0,1.0,1.0,,28.0,23.0,3.0,3.0,4.0,4.0,174.0,,11.0,12.0,1.0,1.0,12.0,7.0,52.0,186.0,60.0,13.0,31.0,4.0,1.0,1.0,2.0,37.0,11.0,2.0,17.0,10.0,28.0,18.0,,107.0,0.0,114.0,13.0,2.0,1.0,2.0,56.0,43.0,7.0,32.0,5.0,27.0,8.0,4.0,,180.0,2.0,8.0,57.0,527.0,7.0,7.0,26.0,175.0,28.0,10.0,12.0,1.0,2.0,3.0,5.0,28.0,289.0,71.0,,82403,7.0,91.0,2.0,21.0,128.0,3.0,,1.0,8.0,10.0,55.0,,,3.0,1.0,11.0,5.0,4.0,,90.0,187.0,10.0,9.0,52.0,89.0,0.0,,4.0,3.0,,,1.0,0.0,4.0,,2.0,4.0,52.0,23.0,3.0,5.0,,1.0,,28.0,10.0,315.0,26.0,4.0,4.0,5.0,35.0,7.0,5.0,224.0,6.0,23.0,28.0,57.0,16.0,5.0,11.0,11.0,6.0,3.0,15.0,5.0,2.0,10.0,,,,,1.0,2.0,2.0,,1.0,,,,,,5.0,4.0,5.0,3.0,,,,,1.0,,,,1.0,,2.0,,,,,,,1.0,,,2.0,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
34,803493,2016-04-17 16:00:00,"Emirates Stadium, London",59961,Away,Crystal Palace,Arsenal,1,1,D,0,1,0,0,,,,,68.0,1.0,,,,19.0,35.0,4.0,1.0,5.0,1.0,119.0,,3.0,9.0,1.0,1.0,7.0,3.0,64.0,141.0,53.0,7.0,21.0,1.0,1.0,,1.0,21.0,12.0,1.0,24.0,5.0,10.0,18.0,,88.0,0.0,68.0,13.0,2.0,,1.0,34.0,30.0,4.0,42.0,2.0,16.0,15.0,4.0,1.0,130.0,,15.0,53.0,476.0,4.0,7.0,13.0,195.0,34.0,10.0,14.0,1.0,2.0,7.0,3.0,10.0,256.0,40.0,,82403,2.0,120.0,,11.0,140.0,8.0,1.0,,15.0,9.0,63.0,,,2.0,1.0,15.0,6.0,3.0,2.0,63.0,205.0,7.0,13.0,33.0,62.0,0.0,3.0,10.0,5.0,,1.0,2.0,0.0,2.0,,,3.0,28.3,8.0,2.0,5.0,,1.0,,24.0,5.0,278.0,13.0,7.0,8.0,3.0,22.0,1.0,2.0,159.0,3.0,8.0,20.0,37.0,19.0,3.0,13.0,17.0,4.0,3.0,18.0,3.0,13.0,5.0,1.0,,,,1.0,3.0,,,1.0,,,1.0,1.0,,5.0,2.0,6.0,3.0,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
35,803504,2016-04-13 20:00:00,"Selhurst Park, London",23528,Home,Crystal Palace,Everton,0,0,D,0,0,0,1,,,3.0,,71.0,,2.0,,,26.0,30.0,7.0,3.0,5.0,3.0,157.0,,7.0,8.0,,3.0,17.0,7.0,130.0,162.0,61.0,19.0,15.0,5.0,,1.0,1.0,40.0,21.0,2.0,24.0,7.0,25.0,22.0,,273.0,0.0,206.0,7.0,4.0,,3.0,106.0,70.0,8.0,80.0,2.0,33.0,19.0,15.0,2.0,156.0,3.0,4.0,143.0,747.0,14.0,10.0,15.0,410.0,22.0,4.0,18.0,,0.0,2.0,8.0,17.0,496.0,68.0,1.0,82403,7.0,156.0,3.0,15.0,170.0,3.0,,1.0,19.0,2.0,47.0,1.0,,,,16.0,5.0,2.0,1.0,49.0,422.0,9.0,9.0,17.0,66.0,0.0,3.0,7.0,3.0,,,3.0,0.0,6.0,,,5.0,56.9,17.0,4.0,6.0,1.0,3.0,,38.0,10.0,510.0,15.0,9.0,10.0,9.0,52.0,1.0,7.0,380.0,11.0,24.0,21.0,149.0,30.0,3.0,17.0,23.0,16.0,3.0,15.0,3.0,12.0,10.0,3.0,,,,,2.0,3.0,,1.0,,,,1.0,,8.0,2.0,8.0,2.0,,,,,,,3.0,,2.0,2.0,,3.0,,,1.0,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,1.0,,,,1.0,,
36,803514,2016-04-30 15:00:00,"St. James' Park, Newcastle",52107,Away,Crystal Palace,Newcastle United,0,1,L,0,0,0,0,1.0,,,,70.0,,2.0,,,32.0,21.0,5.0,2.0,3.0,3.0,184.0,,4.0,11.0,,1.0,4.0,3.0,81.0,187.0,57.0,9.0,23.0,2.0,,2.0,3.0,25.0,16.0,1.0,14.0,8.0,30.0,29.0,,145.0,0.0,121.0,12.0,3.0,,,74.0,49.0,1.0,65.0,3.0,17.0,13.0,5.0,3.0,180.0,,5.0,69.0,617.0,4.0,12.0,21.0,277.0,31.0,13.0,9.0,,0.0,3.0,3.0,34.0,375.0,82.0,,79228,3.0,148.0,1.0,12.0,164.0,6.0,,,13.0,8.0,75.0,,,1.0,,11.0,5.0,3.0,,82.0,289.0,10.0,14.0,41.0,94.0,0.0,3.0,4.0,1.0,,1.0,5.0,0.0,2.0,,1.0,1.0,50.5,27.0,1.0,2.0,,1.0,,39.0,8.0,399.0,21.0,18.0,16.0,5.0,34.0,2.0,2.0,260.0,6.0,29.0,20.0,59.0,28.0,3.0,8.0,18.0,5.0,3.0,20.0,3.0,5.0,8.0,1.0,,3.0,,,1.0,,,,,3.0,,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,1.0,,,,,1.0,
37,803528,2016-05-07 15:00:00,"Selhurst Park, London",23990,Home,Crystal Palace,Stoke City,2,1,W,0,1,0,0,,,1.0,1.0,49.0,,,1.0,,23.0,10.0,10.0,6.0,2.0,1.0,178.0,,6.0,11.0,2.0,4.0,12.0,4.0,74.0,157.0,48.0,17.0,20.0,1.0,1.0,1.0,1.0,28.0,7.0,1.0,8.0,3.0,29.0,14.0,,163.0,0.0,136.0,8.0,,2.0,3.0,45.0,65.0,8.0,62.0,4.0,25.0,7.0,7.0,2.0,155.0,2.0,6.0,76.0,585.0,11.0,9.0,24.0,273.0,21.0,12.0,7.0,1.0,2.0,2.0,4.0,30.0,356.0,75.0,,79228,3.0,138.0,1.0,15.0,155.0,5.0,2.0,,7.0,14.0,53.0,,,1.0,1.0,16.0,6.0,7.0,2.0,73.0,295.0,18.0,9.0,45.0,80.0,0.0,,3.0,2.0,1.0,1.0,5.0,0.0,5.0,,,1.0,57.8,25.0,,2.0,1.0,7.0,,38.0,4.0,390.0,24.0,11.0,3.0,6.0,34.0,1.0,3.0,263.0,10.0,25.0,12.0,82.0,19.0,2.0,5.0,8.0,13.0,3.0,16.0,2.0,2.0,4.0,6.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,3.0,,3.0,,1.0,,1.0,,,,,2.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0
38,803534,2016-05-15 15:00:00,"St. Mary's Stadium, Southampton",31313,Away,Crystal Palace,Southampton,1,4,L,0,1,0,0,,1.0,2.0,,42.0,,1.0,4.0,,30.0,19.0,6.0,9.0,1.0,1.0,176.0,,6.0,6.0,1.0,1.0,8.0,4.0,79.0,146.0,35.0,16.0,12.0,3.0,,,2.0,21.0,9.0,,13.0,5.0,24.0,20.0,,167.0,0.0,146.0,14.0,1.0,1.0,1.0,68.0,58.0,7.0,75.0,6.0,16.0,16.0,6.0,2.0,140.0,2.0,10.0,71.0,584.0,7.0,7.0,19.0,297.0,19.0,13.0,10.0,,2.0,2.0,1.0,28.0,371.0,59.0,,79228,6.0,153.0,2.0,9.0,165.0,9.0,,,16.0,15.0,47.0,,,1.0,,18.0,9.0,6.0,,72.0,314.0,7.0,7.0,39.0,72.0,0.0,1.0,2.0,,1.0,4.0,2.0,0.0,5.0,,,1.0,50.2,25.0,1.0,3.0,3.0,8.0,,37.0,5.0,401.0,19.0,13.0,16.0,4.0,31.0,1.0,2.0,257.0,6.0,18.0,11.0,95.0,16.0,1.0,9.0,11.0,12.0,3.0,8.0,1.0,10.0,5.0,4.0,,1.0,,,,2.0,,,,1.0,,,,2.0,1.0,2.0,,,,4.0,,1.0,,,,1.0,,1.0,,,,1.0,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,
