gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,goalAssistSetplay,goalAssistDeadball,goals,attIboxTarget,attGoalHighRight,ptsGainedLosingPos,midfielderGoals,interceptionsInBox,totalFlickOn,attHdTarget,goalAssist,totalOffside,attMissHigh,punches,attIboxGoal,goalsConceded,accurateFlickOn,goalAssistIntentional,shieldBallOop,attBxLeft,attHdGoal,goalsConcededIbox,errorLeadToGoal,attLfGoal,attCmissRight,attFreekickTotal,goalAssistOpenplay,goodHighClaim,freekickTotal,accurateThroughBall,attRfGoal,goalsOpenplay,attGoalHighLeft,totalHighClaim,attFreekickMiss,forwardGoals,attGoalLowLeft,attObxLeft,shotFastbreak,attSvLowCentre,goalFastbreak,attMissHighRight,attOboxGoal,totalFastbreak,contentiousDecision,errorLeadToShot,attCmissHighLeft,attFastbreak,attLfTarget,accurateKeeperSweeper,totalKeeperSweeper,penaltyConceded,attCmissHighRight,attSvHighCentre,penaltyFaced,penGoalsConceded,attGoalLowCentre,attSvLowLeft,sixYardBlock,defenderGoals,handBall,expectedGoalsOnTarget,attOneOnOne,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,accuratePullBack,attCmissHigh,attGoalLowRight,penaltyWon,attGoalHighCentre,attPenGoal,attFreekickGoal,postScoringAtt,attIboxPost,hitWoodwork,attPostRight,attPostHigh,attSvHighLeft,attHdPost,attSvHighRight,attPostLeft,attObxdLeft,attOboxPost,goalsConcededObox,ptsDroppedWinningPos,attPenTarget,attFreekickTarget,clearanceOffLine,secondYellow,penaltySave,attLgCentre,ownGoals,attIboxOwnGoal
26,1059961,2020-02-14 20:00:00,"Molineux Stadium, Wolverhampton",31682.0,Away,Leicester City,Wolverhampton Wanderers,0,0,D,0,0,1,0,50.0,,3.0,13.0,17.0,3.0,1.0,6.0,3.0,1.0,154.0,4.0,11.0,4.0,7.0,3.0,133.0,131.0,62.0,9.0,1.0,22.0,,,19.0,12.0,2.0,17.0,,5.0,22.0,223.0,1.0,0.0,122.0,10.0,1.0,3.0,72.0,90.0,5.0,81.0,2.0,19.0,15.0,3.0,7.0,,131.0,,11.0,125.0,698.0,5.0,20.0,14.0,395.0,24.0,,1.0,10.0,2.0,4.0,2.0,20.0,470.0,42.0,2.0,95463,4.0,194.0,,9.0,4.0,218.0,5.0,1.0,15.0,10.0,67.0,,5.0,13.0,4.0,7.0,39.0,413.0,12.0,18.0,2.0,18.0,,68.0,1.0,,0.0,3.0,7.0,3.0,1.0,4.0,2.0,59.2,18.0,1.0,4.0,5.0,4.0,45.0,,493.0,14.0,10.0,11.0,2.0,20.0,,2.0,294.0,6.0,5.0,19.0,89.0,17.0,5.0,10.0,21.0,5.0,3.0,19.0,5.0,6.0,,,,,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
27,1059966,2020-02-22 17:30:00,"King Power Stadium, Leicester",32068.0,Home,Leicester City,Manchester City,0,1,L,0,0,0,0,62.0,1.0,,24.0,21.0,5.0,3.0,5.0,6.0,1.0,124.0,2.0,18.0,3.0,6.0,3.0,71.0,121.0,50.0,10.0,3.0,9.0,1.0,2.0,11.0,10.0,2.0,21.0,2.0,2.0,42.0,107.0,,0.0,86.0,14.0,3.0,1.0,53.0,37.0,3.0,46.0,,9.0,15.0,5.0,5.0,,121.0,1.0,10.0,70.0,515.0,6.0,10.0,12.0,225.0,31.0,,2.0,15.0,0.0,4.0,3.0,21.0,293.0,48.0,1.0,95463,3.0,134.0,1.0,3.0,,153.0,6.0,,15.0,6.0,49.0,3.0,7.0,18.0,8.0,6.0,52.0,239.0,10.0,12.0,,13.0,2.0,57.0,,1.0,0.0,1.0,7.0,5.0,0.0,2.0,1.0,31.9,17.0,,3.0,8.0,3.0,29.0,3.0,311.0,12.0,7.0,23.0,4.0,20.0,,3.0,169.0,6.0,2.0,8.0,51.0,18.0,3.0,15.0,14.0,6.0,3.0,26.0,3.0,8.0,3.0,,,,,1.0,,,,,4.0,1.0,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,2.0,,1.0,2.0,2.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,
28,1059978,2020-02-28 20:00:00,"Carrow Road, Norwich",27010.0,Away,Leicester City,Norwich City,0,1,L,0,0,0,0,62.0,1.0,3.0,33.0,10.0,8.0,8.0,11.0,5.0,2.0,146.0,4.0,9.0,1.0,13.0,4.0,124.0,137.0,49.0,19.0,4.0,9.0,,3.0,22.0,4.0,2.0,10.0,7.0,7.0,34.0,217.0,,0.0,172.0,16.0,,,67.0,75.0,8.0,67.0,,17.0,14.0,8.0,7.0,2.0,137.0,,6.0,131.0,667.0,11.0,29.0,9.0,368.0,29.0,1.0,2.0,5.0,2.0,4.0,5.0,27.0,444.0,52.0,,95463,8.0,176.0,,10.0,1.0,200.0,10.0,2.0,14.0,4.0,62.0,1.0,5.0,15.0,5.0,4.0,52.0,389.0,13.0,16.0,2.0,11.0,3.0,58.0,2.0,,0.0,1.0,6.0,4.0,0.0,2.0,3.0,57.4,25.0,2.0,4.0,5.0,7.0,32.0,7.0,468.0,9.0,14.0,18.0,8.0,35.0,4.0,5.0,290.0,7.0,5.0,13.0,135.0,23.0,2.0,5.0,15.0,15.0,3.0,17.0,2.0,6.0,7.0,,,,,2.0,,,,,4.0,1.0,,,2.0,,,1.0,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
29,1059986,2020-03-09 20:00:00,"King Power Stadium, Leicester",32125.0,Home,Leicester City,Aston Villa,4,0,W,1,0,0,0,62.0,1.0,1.0,43.0,12.0,3.0,3.0,12.0,1.0,1.0,181.0,7.0,9.0,3.0,13.0,7.0,140.0,164.0,62.0,15.0,,15.0,1.0,3.0,29.0,13.0,,12.0,6.0,9.0,53.0,224.0,1.0,0.0,157.0,15.0,,2.0,82.0,102.0,6.0,76.0,,23.0,19.0,3.0,7.0,2.0,164.0,2.0,2.0,146.0,757.0,7.0,38.0,8.0,426.0,19.0,,5.0,7.0,2.0,,7.0,34.0,521.0,61.0,2.0,95463,6.0,230.0,1.0,14.0,1.0,259.0,11.0,3.0,19.0,5.0,58.0,2.0,3.0,17.0,2.0,5.0,64.0,447.0,11.0,5.0,4.0,14.0,4.0,66.0,,2.0,0.0,3.0,,,0.0,4.0,5.0,64.6,34.0,4.0,3.0,3.0,1.0,41.0,9.0,543.0,8.0,8.0,30.0,7.0,33.0,3.0,5.0,313.0,7.0,8.0,18.0,116.0,34.0,2.0,7.0,24.0,9.0,3.0,24.0,2.0,5.0,9.0,2.0,,,4.0,3.0,,,2.0,,2.0,1.0,2.0,3.0,3.0,,3.0,,,1.0,,4.0,,,,,,,2.0,1.0,,,4.0,3.0,,1.0,,,1.0,,2.0,3.0,1.0,1.0,1.0,3.0,1.0,,,2.0,1.0,,,,1.0,,,,2.0,,,,,,,,,,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
30,1060000,2020-06-20 12:30:00,"Vicarage Road, Watford",,Away,Leicester City,Watford,1,1,D,0,0,0,0,67.0,,1.0,20.0,25.0,10.0,4.0,5.0,3.0,,176.0,3.0,5.0,4.0,12.0,2.0,159.0,159.0,68.0,15.0,5.0,22.0,1.0,2.0,23.0,17.0,1.0,25.0,6.0,9.0,44.0,263.0,,0.0,175.0,12.0,,3.0,66.0,106.0,7.0,67.0,,18.0,22.0,10.0,5.0,4.0,159.0,1.0,7.0,153.0,760.0,10.0,16.0,4.0,433.0,32.0,1.0,1.0,14.0,1.0,1.0,5.0,23.0,534.0,81.0,1.0,95463,,192.0,1.0,10.0,1.0,221.0,8.0,,22.0,6.0,51.0,,6.0,14.0,1.0,6.0,50.0,452.0,15.0,5.0,1.0,14.0,,60.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,2.0,1.0,68.3,20.0,1.0,3.0,6.0,6.0,34.0,7.0,555.0,4.0,7.0,18.0,7.0,27.0,1.0,2.0,357.0,10.0,9.0,21.0,120.0,26.0,1.0,14.0,27.0,13.0,3.0,11.0,1.0,9.0,7.0,,,,1.0,,1.0,,,,3.0,,1.0,3.0,,,1.0,1.0,1.0,1.0,,2.0,,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,3.0,,,,1.0,,,1.0,,,,2.0,,,,,,6.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,
31,1060004,2020-06-23 18:00:00,"King Power Stadium, Leicester",,Home,Leicester City,Brighton and Hove Albion,0,0,D,0,0,0,0,56.0,1.0,1.0,28.0,20.0,4.0,2.0,7.0,2.0,,175.0,5.0,8.0,2.0,8.0,2.0,146.0,143.0,54.0,11.0,1.0,20.0,1.0,4.0,25.0,9.0,,20.0,6.0,2.0,30.0,287.0,1.0,0.0,141.0,10.0,1.0,1.0,109.0,81.0,3.0,79.0,,19.0,18.0,4.0,7.0,3.0,143.0,,5.0,188.0,783.0,7.0,26.0,9.0,493.0,24.0,,4.0,14.0,2.0,5.0,5.0,20.0,571.0,69.0,,95463,5.0,224.0,,11.0,4.0,249.0,8.0,,18.0,4.0,62.0,1.0,3.0,16.0,5.0,3.0,54.0,506.0,12.0,11.0,1.0,18.0,1.0,81.0,,1.0,0.0,2.0,7.0,1.0,0.0,5.0,3.0,66.4,18.0,1.0,5.0,3.0,2.0,57.0,6.0,588.0,9.0,15.0,14.0,7.0,32.0,,4.0,364.0,5.0,2.0,18.0,107.0,23.0,1.0,14.0,16.0,5.0,3.0,14.0,1.0,6.0,6.0,,,,,2.0,,,,2.0,2.0,2.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,
32,1060017,2020-07-01 18:00:00,"Goodison Park, Liverpool",,Away,Leicester City,Everton,1,2,L,0,2,0,0,56.0,,4.0,27.0,9.0,6.0,8.0,9.0,,,163.0,3.0,17.0,,12.0,3.0,173.0,141.0,65.0,15.0,2.0,32.0,1.0,1.0,35.0,10.0,1.0,9.0,4.0,8.0,45.0,273.0,,0.0,181.0,10.0,1.0,1.0,94.0,90.0,7.0,76.0,,31.0,15.0,6.0,14.0,3.0,141.0,1.0,5.0,184.0,796.0,11.0,29.0,6.0,501.0,17.0,,2.0,5.0,1.0,3.0,5.0,25.0,576.0,65.0,,95463,6.0,251.0,1.0,16.0,,269.0,7.0,1.0,15.0,3.0,74.0,,4.0,11.0,2.0,3.0,47.0,521.0,13.0,13.0,1.0,9.0,3.0,58.0,,,0.0,,3.0,,0.0,2.0,2.0,65.1,23.0,1.0,2.0,4.0,6.0,43.0,5.0,596.0,6.0,9.0,22.0,6.0,41.0,1.0,3.0,362.0,5.0,8.0,21.0,139.0,32.0,,5.0,15.0,12.0,4.0,28.0,,8.0,5.0,1.0,,,1.0,1.0,,,,,3.0,,,1.0,5.0,,1.0,2.0,1.0,,1.0,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,1.0,,,1.0,1.0,,2.0,6.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
33,1060024,2020-07-04 15:00:00,"King Power Stadium, Leicester",,Home,Leicester City,Crystal Palace,3,0,W,0,0,0,0,61.0,,2.0,31.0,20.0,4.0,4.0,11.0,1.0,,164.0,4.0,6.0,1.0,12.0,4.0,126.0,132.0,63.0,15.0,3.0,24.0,2.0,3.0,11.0,17.0,,20.0,3.0,1.0,22.0,192.0,1.0,0.0,103.0,18.0,1.0,,64.0,60.0,6.0,91.0,,8.0,24.0,4.0,4.0,1.0,132.0,5.0,5.0,125.0,710.0,8.0,16.0,14.0,410.0,25.0,1.0,4.0,14.0,2.0,1.0,6.0,27.0,489.0,43.0,,95463,5.0,239.0,2.0,4.0,,257.0,15.0,,24.0,5.0,74.0,1.0,1.0,23.0,2.0,5.0,54.0,427.0,7.0,14.0,1.0,21.0,3.0,76.0,1.0,1.0,0.0,,7.0,1.0,0.0,3.0,2.0,52.2,23.0,2.0,9.0,1.0,5.0,41.0,3.0,506.0,14.0,8.0,15.0,6.0,17.0,1.0,4.0,260.0,8.0,1.0,22.0,80.0,24.0,5.0,14.0,29.0,12.0,5.0,16.0,5.0,9.0,3.0,3.0,,,3.0,1.0,,,,2.0,4.0,,3.0,1.0,,1.0,3.0,,,3.0,1.0,2.0,,,,,,,3.0,,,1.0,3.0,3.0,,,,3.0,,,1.0,,1.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,2.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
34,1060033,2020-07-07 20:15:00,"Emirates Stadium, London",,Away,Leicester City,Arsenal,1,1,D,0,1,0,1,62.0,2.0,,33.0,20.0,4.0,6.0,8.0,6.0,1.0,184.0,6.0,4.0,,11.0,5.0,142.0,140.0,49.0,13.0,1.0,17.0,1.0,3.0,18.0,12.0,1.0,20.0,,6.0,38.0,238.0,,0.0,154.0,14.0,3.0,1.0,77.0,65.0,5.0,83.0,1.0,18.0,19.0,5.0,11.0,3.0,140.0,1.0,8.0,149.0,733.0,9.0,15.0,8.0,441.0,26.0,1.0,5.0,9.0,0.0,2.0,6.0,22.0,534.0,78.0,,95463,7.0,228.0,,6.0,,264.0,8.0,1.0,19.0,7.0,42.0,1.0,4.0,20.0,3.0,6.0,69.0,460.0,10.0,6.0,1.0,18.0,1.0,57.0,,2.0,0.0,,10.0,4.0,0.0,6.0,2.0,62.5,19.0,1.0,2.0,4.0,1.0,28.0,1.0,558.0,8.0,4.0,12.0,7.0,28.0,,4.0,312.0,5.0,6.0,18.0,111.0,28.0,1.0,9.0,17.0,11.0,4.0,6.0,1.0,10.0,1.0,1.0,,,1.0,3.0,,1.0,,2.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,,,3.0,,2.0,,,1.0,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
35,1060042,2020-07-12 19:00:00,"Vitality Stadium, Bournemouth",,Away,Leicester City,Bournemouth,1,4,L,1,0,1,0,64.0,1.0,4.0,33.0,13.0,4.0,7.0,9.0,1.0,2.0,183.0,1.0,5.0,,9.0,5.0,141.0,156.0,56.0,13.0,1.0,18.0,4.0,,18.0,10.0,2.0,13.0,5.0,7.0,43.0,192.0,,0.0,128.0,12.0,1.0,,51.0,96.0,7.0,90.0,1.0,13.0,21.0,4.0,7.0,1.0,156.0,,8.0,131.0,729.0,9.0,25.0,15.0,413.0,33.0,1.0,9.0,7.0,1.0,2.0,2.0,28.0,516.0,51.0,,95463,3.0,247.0,,6.0,,275.0,8.0,2.0,21.0,7.0,46.0,1.0,2.0,20.0,2.0,6.0,71.0,438.0,11.0,12.0,,29.0,2.0,97.0,1.0,,0.0,,2.0,,1.0,1.0,,55.9,23.0,,5.0,2.0,5.0,53.0,6.0,545.0,15.0,5.0,21.0,3.0,31.0,,2.0,288.0,6.0,7.0,23.0,88.0,23.0,2.0,7.0,17.0,11.0,3.0,6.0,2.0,10.0,6.0,1.0,,,1.0,2.0,,,,1.0,9.0,,,1.0,,,1.0,4.0,2.0,,1.0,1.0,,4.0,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,1.0
36,1060057,2020-07-16 18:00:00,"King Power Stadium, Leicester",,Home,Leicester City,Sheffield United,2,0,W,1,0,0,0,54.0,,2.0,33.0,24.0,3.0,4.0,11.0,1.0,4.0,167.0,7.0,7.0,1.0,12.0,7.0,107.0,148.0,64.0,15.0,3.0,35.0,1.0,,26.0,9.0,1.0,24.0,8.0,6.0,34.0,202.0,1.0,0.0,152.0,12.0,1.0,,81.0,62.0,9.0,90.0,,18.0,16.0,4.0,6.0,,148.0,5.0,4.0,108.0,658.0,10.0,26.0,13.0,362.0,27.0,,4.0,10.0,1.0,,3.0,19.0,451.0,68.0,,95463,6.0,179.0,5.0,12.0,,212.0,6.0,,16.0,4.0,62.0,1.0,2.0,13.0,1.0,2.0,78.0,374.0,10.0,6.0,,28.0,1.0,77.0,,,0.0,,5.0,1.0,0.0,4.0,1.0,54.4,14.0,1.0,1.0,2.0,5.0,35.0,9.0,472.0,13.0,6.0,17.0,3.0,28.0,3.0,2.0,286.0,10.0,6.0,30.0,113.0,22.0,,10.0,18.0,14.0,2.0,11.0,,6.0,9.0,1.0,,,2.0,4.0,,,,3.0,7.0,,2.0,3.0,1.0,1.0,2.0,,3.0,2.0,1.0,2.0,,,,,,,2.0,,,1.0,2.0,2.0,,,,1.0,2.0,1.0,4.0,4.0,1.0,1.0,,5.0,,,,4.0,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
37,1060069,2020-07-19 16:00:00,"Tottenham Hotspur Stadium, London",,Away,Leicester City,Tottenham Hotspur,0,3,L,0,3,0,0,53.0,,8.0,34.0,7.0,11.0,7.0,13.0,1.0,4.0,137.0,10.0,7.0,5.0,17.0,6.0,231.0,126.0,55.0,24.0,2.0,14.0,2.0,3.0,33.0,6.0,4.0,7.0,13.0,5.0,36.0,379.0,,0.0,214.0,10.0,1.0,2.0,126.0,103.0,11.0,94.0,,21.0,18.0,11.0,9.0,5.0,126.0,,7.0,235.0,893.0,14.0,28.0,8.0,608.0,10.0,1.0,2.0,4.0,1.0,3.0,6.0,16.0,674.0,61.0,,95463,6.0,261.0,,10.0,,274.0,4.0,,18.0,3.0,53.0,,6.0,17.0,1.0,3.0,43.0,630.0,15.0,12.0,3.0,5.0,6.0,63.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,7.0,3.0,71.0,15.0,3.0,7.0,6.0,10.0,54.0,13.0,697.0,8.0,12.0,24.0,8.0,39.0,3.0,3.0,456.0,11.0,4.0,22.0,179.0,30.0,1.0,4.0,12.0,16.0,5.0,12.0,1.0,11.0,13.0,,,,,2.0,,,,,5.0,,,,4.0,,,3.0,4.0,,2.0,1.0,,3.0,,,,2.0,,,2.0,,,,,,,,,,,2.0,,,,,1.0,,,,2.0,,,,,2.0,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0
38,1060077,2020-07-26 16:00:00,"King Power Stadium, Leicester",,Home,Leicester City,Manchester United,0,2,L,0,0,1,0,68.0,,2.0,29.0,12.0,5.0,4.0,9.0,1.0,1.0,155.0,7.0,9.0,5.0,12.0,3.0,98.0,132.0,54.0,14.0,2.0,12.0,1.0,3.0,18.0,11.0,1.0,12.0,3.0,,29.0,164.0,,0.0,96.0,12.0,,3.0,50.0,87.0,6.0,68.0,,15.0,18.0,5.0,1.0,2.0,132.0,,7.0,104.0,623.0,10.0,14.0,16.0,331.0,28.0,,7.0,8.0,1.0,1.0,6.0,26.0,404.0,50.0,2.0,95463,6.0,187.0,,11.0,2.0,206.0,6.0,,18.0,7.0,50.0,,3.0,16.0,,4.0,57.0,344.0,11.0,8.0,2.0,21.0,,72.0,,2.0,0.0,,3.0,1.0,1.0,7.0,3.0,45.8,25.0,1.0,3.0,3.0,4.0,39.0,3.0,425.0,16.0,13.0,14.0,7.0,26.0,,4.0,237.0,7.0,,11.0,68.0,31.0,,8.0,23.0,11.0,5.0,17.0,,8.0,3.0,,,,,2.0,,,,3.0,2.0,1.0,,2.0,2.0,,,2.0,1.0,,,2.0,,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,1.0,1.0,,2.0,,,1.0,,,,,,,2.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,
