gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,fiftyFifty,ballRecovery,attGoalLowRight,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,attPostLeft,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,attOboxPost,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attGoalLowLeft,accuratePullBack,shotFastbreak,accurateKeeperSweeper,divingSave,totalFastbreak,freekickCross,interceptionsInBox,bigChanceCreated,contentiousDecision,totalKeeperSweeper,accurateThroughBall,bigChanceMissed,attRfGoal,totalPullBack,attFastbreak,overrun,forwardGoals,errorLeadToGoal,savedObox,attFreekickTotal,freekickTotal,attFreekickGoal,shieldBallOop,attBxLeft,attCmissRight,attOneOnOne,attHdTarget,attMissHigh,attPostHigh,attSvHighRight,attMissHighLeft,attObxdLeft,attFreekickTarget,attCmissHighRight,bigChanceScored,attGoalLowCentre,errorLeadToShot,penaltyConceded,ownGoals,punches,penaltyFaced,penGoalsConceded,attIboxOwnGoal,secondYellow,accurateFreekickCross,handBall,penaltyWon,attPenGoal,attGoalHighLeft,cleanSheet,attCmissHighLeft,subsGoals,clearanceOffLine,attSvHighCentre,goalFastbreak,sixYardBlock,attPenTarget,foulThrowIn,attSvHighLeft,ptsGainedLosingPos,attCmissHigh,attGoalHighRight,penaltySave,defenderGoals,attFreekickMiss
27,2293075,2023-03-11 15:00:00,"King Power Stadium, Leicester",32170,Home,Leicester City,Chelsea,1,3,L,1,2,1,0,,26.0,61.0,1.0,1.0,,,14.0,10.0,9.0,9.0,8.0,3.0,1.0,2.0,160.0,14.0,4.0,18.0,1.0,3.0,14.0,7.0,150.0,133.0,62.0,17.0,5.0,10.0,4.0,2.0,,1.0,4.0,2.0,12.0,,11.0,2.0,10.0,1.0,5.0,32.0,225.0,,1.0,0.0,155.0,10.0,,1.0,,76.0,70.0,11.0,69.0,2.0,11.0,29.0,9.0,,4.0,1.0,133.0,9.0,,138.0,,708.0,11.0,7.0,23.0,1.0,15.0,411.0,18.0,,3.0,1.0,1.0,3.0,3.0,19.0,495.0,61.0,95463,5.0,208.0,6.0,1.0,227.0,7.0,11.0,3.0,52.0,3.0,,3.0,1.0,10.0,3.0,3.0,29.0,429.0,10.0,9.0,2.0,4.0,3.0,61.0,,,0.0,5.0,3.0,,,3.0,2.0,1.0,3.0,,3.0,48.4,19.0,2.0,10.0,3.0,6.0,41.0,2.0,,517.0,15.0,14.0,17.0,4.0,,26.0,1.0,3.0,302.0,5.0,4.0,19.0,110.0,29.0,,3.0,15.0,,3.0,12.0,5.0,28.0,,,11.0,2.0,4.0,,,,1.0,3.0,,1.0,1.0,3.0,1.0,1.0,,3.0,,1.0,,3.0,1.0,,,1.0,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,
28,2293082,2023-03-18 15:00:00,"Gtech Community Stadium, Brentford",17006,Away,Leicester City,Brentford,1,1,D,0,1,0,1,,17.0,62.0,,5.0,,,16.0,30.0,3.0,3.0,11.0,1.0,,,163.0,11.0,3.0,14.0,1.0,1.0,10.0,1.0,109.0,137.0,51.0,14.0,2.0,16.0,,2.0,,1.0,,3.0,13.0,,5.0,,30.0,4.0,4.0,31.0,155.0,,,0.0,92.0,11.0,1.0,,,51.0,45.0,5.0,57.0,2.0,9.0,12.0,3.0,,2.0,1.0,137.0,6.0,,114.0,,648.0,8.0,6.0,21.0,,14.0,341.0,28.0,1.0,20.0,1.0,2.0,7.0,5.0,19.0,420.0,52.0,95463,8.0,203.0,6.0,,234.0,4.0,12.0,10.0,62.0,2.0,3.0,4.0,1.0,10.0,5.0,4.0,51.0,355.0,10.0,13.0,1.0,13.0,3.0,67.0,,,0.0,8.0,,1.0,,1.0,1.0,0.0,2.0,1.0,4.0,47.1,17.0,3.0,2.0,4.0,7.0,41.0,4.0,1.0,443.0,14.0,12.0,14.0,6.0,,23.0,1.0,5.0,222.0,7.0,4.0,15.0,57.0,27.0,3.0,20.0,12.0,,1.0,11.0,4.0,24.0,,3.0,8.0,4.0,,,,,,,,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,2.0,,,1.0,,,,2.0,1.0,2.0,1.0,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
29,2293094,2023-04-01 15:00:00,"Selhurst Park, London",25143,Away,Leicester City,Crystal Palace,1,2,L,0,0,0,0,,22.0,54.0,,1.0,,,21.0,31.0,,,3.0,8.0,,1.0,174.0,9.0,2.0,4.0,1.0,,3.0,2.0,92.0,141.0,56.0,3.0,,15.0,1.0,2.0,,1.0,,,7.0,,12.0,,31.0,1.0,4.0,43.0,115.0,,,0.0,87.0,16.0,,,1.0,67.0,33.0,3.0,69.0,,6.0,16.0,,1.0,1.0,,141.0,21.0,,110.0,,638.0,2.0,3.0,9.0,1.0,14.0,324.0,21.0,3.0,16.0,1.0,4.0,14.0,,11.0,415.0,54.0,95463,1.0,232.0,5.0,,260.0,6.0,7.0,14.0,52.0,1.0,2.0,6.0,1.0,18.0,11.0,10.0,58.0,345.0,11.0,9.0,,13.0,,75.0,1.0,,0.0,10.0,3.0,1.0,,2.0,1.0,0.0,2.0,1.0,,49.0,9.0,,5.0,6.0,1.0,36.0,1.0,1.0,445.0,14.0,7.0,13.0,,,11.0,,,192.0,3.0,4.0,17.0,44.0,20.0,1.0,16.0,24.0,,2.0,3.0,3.0,9.0,3.0,1.0,7.0,1.0,,,,,,5.0,,,1.0,,,,,,1.0,,,2.0,,,5.0,,,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
30,2293104,2023-04-08 15:00:00,"King Power Stadium, Leicester",32094,Home,Leicester City,Bournemouth,0,1,L,0,1,0,0,1.0,21.0,60.0,,2.0,,,12.0,27.0,4.0,4.0,10.0,6.0,,2.0,157.0,16.0,7.0,8.0,,4.0,9.0,4.0,110.0,146.0,58.0,14.0,,20.0,4.0,3.0,,,1.0,2.0,22.0,,8.0,,27.0,4.0,1.0,35.0,136.0,,,0.0,91.0,10.0,,,1.0,51.0,36.0,4.0,52.0,3.0,18.0,20.0,4.0,,6.0,4.0,146.0,13.0,,104.0,,619.0,7.0,4.0,19.0,,4.0,301.0,29.0,1.0,11.0,,0.0,8.0,5.0,27.0,399.0,50.0,95463,6.0,190.0,9.0,2.0,229.0,8.0,8.0,8.0,45.0,2.0,3.0,5.0,,9.0,6.0,4.0,42.0,319.0,13.0,7.0,2.0,12.0,3.0,69.0,2.0,,0.0,6.0,5.0,,,1.0,,0.0,5.0,,4.0,50.8,21.0,3.0,1.0,6.0,2.0,36.0,6.0,1.0,423.0,4.0,5.0,9.0,8.0,,35.0,2.0,4.0,216.0,6.0,,18.0,54.0,23.0,,11.0,19.0,,,9.0,4.0,11.0,,,8.0,6.0,1.0,,,,,1.0,,3.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,3.0,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,
31,2293114,2023-04-15 17:30:00,"Etihad Stadium, Manchester",53329,Away,Leicester City,Manchester City,1,3,L,0,3,0,0,1.0,20.0,45.0,,2.0,,,21.0,25.0,3.0,3.0,8.0,1.0,1.0,2.0,108.0,12.0,5.0,10.0,1.0,,9.0,4.0,72.0,90.0,43.0,11.0,1.0,7.0,3.0,1.0,1.0,,1.0,,6.0,,7.0,,25.0,2.0,3.0,43.0,88.0,,,0.0,67.0,8.0,,,1.0,26.0,30.0,5.0,63.0,1.0,4.0,11.0,3.0,1.0,1.0,1.0,90.0,7.0,,74.0,,461.0,8.0,4.0,21.0,1.0,6.0,241.0,22.0,,14.0,,1.0,3.0,4.0,15.0,298.0,27.0,95463,6.0,171.0,2.0,1.0,198.0,4.0,5.0,6.0,38.0,,3.0,3.0,,9.0,5.0,3.0,52.0,254.0,8.0,13.0,1.0,4.0,3.0,42.0,2.0,,0.0,6.0,,1.0,1.0,3.0,2.0,0.0,3.0,,3.0,29.4,13.0,1.0,2.0,3.0,3.0,18.0,2.0,1.0,317.0,6.0,6.0,14.0,4.0,1.0,12.0,2.0,2.0,125.0,5.0,3.0,15.0,47.0,16.0,1.0,14.0,10.0,,2.0,7.0,5.0,15.0,,1.0,5.0,2.0,,,,,,,,1.0,1.0,1.0,,,,2.0,,,,1.0,,,1.0,,,,,,,1.0,1.0,2.0,,,,,,,1.0,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,
32,2293126,2023-04-22 15:00:00,"King Power Stadium, Leicester",32053,Home,Leicester City,Wolverhampton Wanderers,2,1,W,1,1,0,0,1.0,18.0,59.0,1.0,,,,18.0,24.0,5.0,10.0,10.0,2.0,2.0,3.0,161.0,9.0,4.0,12.0,2.0,4.0,9.0,8.0,75.0,137.0,71.0,15.0,3.0,17.0,6.0,1.0,,1.0,4.0,,12.0,,12.0,,24.0,1.0,2.0,44.0,117.0,1.0,,0.0,89.0,17.0,1.0,,1.0,56.0,29.0,7.0,53.0,2.0,11.0,21.0,5.0,,2.0,2.0,137.0,6.0,,75.0,,554.0,7.0,5.0,21.0,,8.0,251.0,35.0,4.0,16.0,1.0,1.0,6.0,2.0,18.0,333.0,54.0,95463,7.0,157.0,6.0,2.0,184.0,14.0,9.0,13.0,62.0,4.0,1.0,,1.0,20.0,10.0,8.0,52.0,270.0,16.0,16.0,1.0,13.0,1.0,62.0,,,0.0,7.0,1.0,2.0,,1.0,1.0,0.0,3.0,1.0,1.0,41.8,16.0,1.0,1.0,,3.0,27.0,1.0,1.0,364.0,8.0,8.0,14.0,4.0,,21.0,1.0,2.0,192.0,4.0,1.0,21.0,50.0,20.0,1.0,16.0,22.0,,,11.0,4.0,16.0,,1.0,9.0,1.0,3.0,1.0,,3.0,,1.0,3.0,3.0,,1.0,,,3.0,2.0,,,3.0,,,1.0,1.0,,,,3.0,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,2.0,,1.0,1.0,,,,,,1.0,,,,,1.0,3.0,,,,1.0,
33,2293132,2023-04-25 20:00:00,"Elland Road, Leeds",36666,Away,Leicester City,Leeds United,1,1,D,0,1,0,0,,21.0,65.0,1.0,4.0,,,11.0,14.0,3.0,3.0,12.0,2.0,,,176.0,12.0,4.0,10.0,1.0,5.0,11.0,3.0,106.0,185.0,63.0,15.0,2.0,16.0,1.0,,,1.0,,4.0,20.0,,13.0,1.0,14.0,6.0,5.0,51.0,169.0,,,0.0,149.0,15.0,,1.0,2.0,67.0,66.0,6.0,63.0,1.0,14.0,23.0,3.0,,2.0,,185.0,9.0,,100.0,,664.0,7.0,8.0,25.0,,5.0,311.0,31.0,,8.0,1.0,2.0,4.0,5.0,29.0,420.0,66.0,95463,9.0,160.0,8.0,1.0,202.0,9.0,9.0,8.0,58.0,3.0,6.0,7.0,1.0,14.0,4.0,3.0,50.0,325.0,14.0,5.0,3.0,12.0,3.0,64.0,1.0,1.0,0.0,3.0,2.0,1.0,,1.0,2.0,0.0,2.0,1.0,1.0,59.2,22.0,1.0,4.0,7.0,6.0,27.0,6.0,3.0,445.0,5.0,18.0,16.0,6.0,,28.0,2.0,6.0,263.0,11.0,4.0,18.0,98.0,21.0,1.0,8.0,21.0,,1.0,10.0,3.0,14.0,,1.0,9.0,6.0,2.0,,,1.0,2.0,1.0,1.0,4.0,,3.0,1.0,2.0,2.0,2.0,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,,,,
34,2293146,2023-05-01 20:00:00,"King Power Stadium, Leicester",32173,Home,Leicester City,Everton,2,2,D,2,1,0,0,,22.0,71.0,,,1.0,,21.0,34.0,6.0,5.0,9.0,6.0,1.0,3.0,177.0,13.0,3.0,17.0,2.0,2.0,12.0,6.0,101.0,164.0,77.0,15.0,5.0,33.0,4.0,,1.0,1.0,3.0,1.0,11.0,1.0,10.0,,34.0,2.0,3.0,51.0,158.0,,,0.0,132.0,10.0,,1.0,3.0,89.0,40.0,9.0,65.0,1.0,9.0,11.0,6.0,,1.0,1.0,164.0,18.0,,109.0,,672.0,10.0,7.0,22.0,1.0,6.0,319.0,38.0,4.0,22.0,2.0,4.0,6.0,3.0,19.0,424.0,65.0,95463,5.0,180.0,7.0,1.0,218.0,7.0,4.0,11.0,67.0,1.0,6.0,9.0,1.0,16.0,5.0,4.0,68.0,335.0,11.0,10.0,,17.0,1.0,70.0,,,0.0,9.0,4.0,2.0,,2.0,,0.0,3.0,2.0,1.0,55.3,17.0,,4.0,9.0,5.0,29.0,2.0,3.0,452.0,6.0,12.0,11.0,4.0,,20.0,,2.0,245.0,9.0,2.0,30.0,81.0,19.0,4.0,22.0,19.0,,2.0,12.0,3.0,20.0,2.0,4.0,4.0,2.0,,1.0,1.0,2.0,,2.0,3.0,1.0,1.0,3.0,,,,3.0,1.0,1.0,2.0,,1.0,,2.0,,,,1.0,3.0,,,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,
35,2293152,2023-05-08 15:00:00,"Craven Cottage, London",24442,Away,Leicester City,Fulham,3,5,L,0,3,0,0,3.0,25.0,63.0,2.0,1.0,,,20.0,4.0,9.0,3.0,9.0,2.0,,4.0,140.0,13.0,4.0,17.0,3.0,5.0,10.0,9.0,78.0,140.0,51.0,18.0,4.0,16.0,2.0,,,2.0,1.0,1.0,14.0,,8.0,4.0,4.0,6.0,,41.0,125.0,1.0,,0.0,113.0,15.0,3.0,3.0,,67.0,37.0,8.0,51.0,1.0,9.0,26.0,9.0,,1.0,1.0,140.0,10.0,,111.0,,577.0,5.0,1.0,21.0,,13.0,269.0,26.0,6.0,1.0,2.0,3.0,4.0,2.0,17.0,354.0,49.0,95463,7.0,171.0,7.0,2.0,194.0,11.0,13.0,7.0,57.0,3.0,4.0,4.0,2.0,13.0,7.0,7.0,58.0,292.0,11.0,4.0,3.0,17.0,4.0,54.0,1.0,1.0,0.0,2.0,1.0,3.0,,5.0,,0.0,2.0,2.0,2.0,42.9,16.0,1.0,5.0,4.0,5.0,26.0,7.0,,380.0,13.0,10.0,11.0,4.0,,20.0,3.0,3.0,200.0,13.0,,9.0,69.0,26.0,1.0,1.0,14.0,,2.0,8.0,5.0,29.0,,1.0,13.0,7.0,2.0,1.0,,,1.0,,,1.0,,2.0,,1.0,,2.0,3.0,,,2.0,,,1.0,2.0,2.0,,,1.0,,,,1.0,,,,,,,3.0,,,,,,,,,,,,2.0,1.0,,,,,,1.0,,1.0,1.0,,,,1.0,,,,1.0
36,2293167,2023-05-15 20:00:00,"King Power Stadium, Leicester",32225,Home,Leicester City,Liverpool,0,3,L,0,2,0,0,1.0,18.0,63.0,,,,,27.0,16.0,1.0,1.0,3.0,2.0,,3.0,143.0,8.0,,9.0,,4.0,3.0,4.0,82.0,151.0,74.0,4.0,,11.0,3.0,1.0,,,2.0,,8.0,,17.0,1.0,16.0,3.0,6.0,44.0,102.0,,,0.0,86.0,11.0,,,,73.0,40.0,3.0,49.0,,5.0,18.0,1.0,,3.0,,151.0,12.0,,57.0,,537.0,3.0,4.0,9.0,,14.0,213.0,32.0,4.0,8.0,,2.0,5.0,,26.0,302.0,56.0,86881,1.0,128.0,,,158.0,5.0,8.0,5.0,54.0,5.0,3.0,5.0,,17.0,4.0,1.0,66.0,230.0,17.0,14.0,,20.0,,65.0,1.0,,0.0,4.0,2.0,,,3.0,1.0,0.0,,,,33.1,23.0,,3.0,5.0,,29.0,4.0,,331.0,14.0,6.0,21.0,,,10.0,,,181.0,3.0,5.0,12.0,50.0,22.0,3.0,8.0,36.0,,2.0,4.0,4.0,21.0,,3.0,8.0,4.0,1.0,,,,,2.0,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2293175,2023-05-22 20:00:00,"St. James' Park, Newcastle",52152,Away,Leicester City,Newcastle United,0,0,D,0,0,0,0,,14.0,42.0,,,,,17.0,45.0,,,1.0,3.0,,1.0,113.0,4.0,1.0,7.0,,1.0,1.0,1.0,36.0,106.0,46.0,1.0,,19.0,1.0,,,,1.0,,5.0,,8.0,,45.0,1.0,3.0,50.0,73.0,,,0.0,64.0,5.0,,,,55.0,33.0,1.0,28.0,,4.0,13.0,,,,,106.0,15.0,,32.0,,360.0,1.0,7.0,5.0,,5.0,112.0,31.0,3.0,27.0,,0.0,7.0,,11.0,175.0,41.0,86881,1.0,51.0,3.0,1.0,64.0,4.0,9.0,18.0,39.0,1.0,,,,6.0,8.0,5.0,64.0,123.0,9.0,9.0,,12.0,,71.0,,,0.0,12.0,3.0,,,,2.0,0.0,1.0,,,22.4,9.0,,1.0,,,22.0,1.0,1.0,209.0,5.0,4.0,10.0,,,14.0,,,150.0,1.0,2.0,13.0,33.0,4.0,5.0,27.0,17.0,,,,4.0,9.0,,5.0,9.0,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
38,2293187,2023-05-28 16:30:00,"King Power Stadium, Leicester",32183,Home,Leicester City,West Ham United,2,1,W,1,0,0,0,,18.0,51.0,2.0,2.0,1.0,1.0,18.0,17.0,5.0,4.0,8.0,2.0,,2.0,184.0,9.0,2.0,8.0,2.0,1.0,11.0,4.0,141.0,109.0,39.0,13.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,7.0,1.0,17.0,2.0,2.0,41.0,256.0,,,0.0,133.0,8.0,1.0,1.0,2.0,75.0,74.0,7.0,77.0,2.0,9.0,17.0,5.0,,2.0,3.0,109.0,12.0,,139.0,,705.0,9.0,,22.0,1.0,7.0,457.0,27.0,1.0,11.0,2.0,1.0,4.0,4.0,17.0,517.0,66.0,86881,5.0,221.0,5.0,1.0,239.0,5.0,9.0,9.0,36.0,,2.0,2.0,1.0,11.0,4.0,7.0,44.0,475.0,9.0,6.0,,8.0,,69.0,,1.0,0.0,5.0,2.0,2.0,,1.0,,0.0,2.0,2.0,1.0,48.2,14.0,,4.0,2.0,3.0,46.0,3.0,2.0,541.0,7.0,8.0,16.0,6.0,,15.0,,2.0,313.0,8.0,1.0,11.0,100.0,17.0,2.0,11.0,11.0,1.0,1.0,12.0,3.0,17.0,,2.0,9.0,3.0,,,,1.0,,2.0,1.0,2.0,1.0,2.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,2.0,1.0,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,
