gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attGoalLowRight,savedObox,accuratePullBack,attFreekickTotal,attBxRight,attOneOnOne,freekickTotal,contentiousDecision,attCmissHigh,totalThroughBall,attSvLowRight,shieldBallOop,attFreekickMiss,effectiveBlockedCross,blockedCross,attemptsIbox,attCmissRight,attMissHighRight,attemptsObox,touchesInOppBox,outfielderBlock,goalsConceded,goalsConcededIbox,errorLeadToGoal,handBall,attLfGoal,attGoalLowCentre,goalAssistOpenplay,attIboxPost,attSvHighLeft,midfielderGoals,attPostLeft,goalAssist,sixYardBlock,totalOffside,goalsOpenplay,goalAssistIntentional,attSvLowLeft,attHdTarget,accurateThroughBall,attObxRight,interceptionsInBox,foulThrowIn,attPostRight,attCmissHighLeft,attSvHighRight,attOboxGoal,errorLeadToShot,attGoalHighLeft,attCorner,attFreekickTarget,attHdPost,goalsConcededObox,ownGoals,clearanceOffLine,attIboxOwnGoal,attGoalHighRight,penaltyConceded,defenderGoals,attFreekickGoal,attCmissHighRight,penaltyFaced,penGoalsConceded,goalAssistSetplay,goalFastbreak,attGoalHighCentre,attObxdRight,attHdGoal,attLgCentre,goalAssistDeadball,attObxdLeft,attObpGoal,attPenTarget,attObxLeft,penaltySave
28,695180,2014-03-02 16:30:00,"White Hart Lane, London",35512,Home,Tottenham Hotspur,Cardiff City,1,0,W,1,0,0,0,1.0,1.0,46.0,,,41.0,38.0,9.0,4.0,2.0,3.0,178.0,8.0,13.0,1.0,7.0,11.0,6.0,130.0,144.0,69.0,15.0,3.0,21.0,3.0,1.0,,,4.0,2.0,22.0,16.0,2.0,38.0,3.0,27.0,37.0,292.0,1.0,,0.0,198.0,11.0,,2.0,2.0,,103.0,125.0,7.0,93.0,2.0,19.0,19.0,5.0,4.0,144.0,2.0,5.0,140.0,768.0,8.0,4.0,,11.0,450.0,19.0,,4.0,23.0,,1.0,4.0,31.0,526.0,74.0,1.0,78830,4.0,178.0,1.0,12.0,1.0,190.0,6.0,1.0,,18.0,5.0,54.0,5.0,15.0,3.0,2.0,1.0,,59.0,462.0,12.0,4.0,2.0,22.0,90.0,1.0,,2.0,0.0,1.0,7.0,2.0,1.0,,,3.0,0.0,6.0,2.0,60.4,20.0,1.0,5.0,,,5.0,3.0,60.0,4.0,,541.0,11.0,12.0,23.0,6.0,24.0,2.0,2.0,373.0,9.0,25.0,26.0,150.0,17.0,1.0,23.0,19.0,10.0,3.0,20.0,8.0,4.0,1.0,,,2.0,,,2.0,,,1.0,,,,2.0,2.0,,,1.0,,,4.0,,,,,,,1.0,,1.0,,,1.0,,2.0,1.0,1.0,,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,
29,695182,2014-03-08 17:30:00,"Stamford Bridge, London",41598,Away,Tottenham Hotspur,Chelsea,0,4,L,0,0,1,0,1.0,,57.0,,,31.0,21.0,4.0,4.0,,,138.0,3.0,8.0,,2.0,4.0,2.0,92.0,151.0,50.0,6.0,2.0,10.0,1.0,,,1.0,1.0,,14.0,16.0,1.0,21.0,4.0,18.0,28.0,191.0,,,0.0,97.0,18.0,,,1.0,,65.0,81.0,2.0,68.0,1.0,10.0,14.0,4.0,1.0,151.0,,10.0,97.0,597.0,3.0,5.0,,14.0,295.0,21.0,,5.0,14.0,2.0,3.0,2.0,31.0,369.0,65.0,,78830,1.0,124.0,,5.0,,144.0,7.0,,1.0,14.0,6.0,60.0,7.0,14.0,2.0,2.0,1.0,,65.0,312.0,11.0,8.0,1.0,31.0,92.0,,,,0.0,3.0,5.0,,,,,3.0,1.0,1.0,1.0,46.4,22.0,,1.0,1.0,,7.0,2.0,49.0,4.0,,395.0,14.0,19.0,14.0,2.0,14.0,2.0,1.0,265.0,1.0,17.0,10.0,58.0,22.0,,14.0,21.0,5.0,2.0,14.0,8.0,4.0,,,,,,,,2.0,,1.0,,1.0,,1.0,1.0,,,,,,2.0,4.0,4.0,3.0,,,,,,,,,,,2.0,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,
30,695200,2014-03-16 16:00:00,"White Hart Lane, London",35711,Home,Tottenham Hotspur,Arsenal,0,1,L,0,1,0,0,,,52.0,,1.0,39.0,14.0,12.0,5.0,2.0,2.0,181.0,6.0,9.0,,2.0,13.0,2.0,139.0,188.0,48.0,18.0,9.0,22.0,1.0,,,3.0,,4.0,34.0,11.0,1.0,14.0,5.0,17.0,31.0,229.0,,,0.0,172.0,18.0,1.0,,2.0,,51.0,105.0,7.0,59.0,1.0,29.0,13.0,12.0,2.0,188.0,2.0,3.0,98.0,674.0,11.0,7.0,,10.0,359.0,16.0,,7.0,13.0,3.0,5.0,5.0,26.0,456.0,84.0,1.0,80607,4.0,146.0,3.0,15.0,1.0,162.0,9.0,,,5.0,6.0,67.0,3.0,16.0,4.0,2.0,1.0,,74.0,369.0,11.0,7.0,1.0,30.0,102.0,,,,0.0,5.0,2.0,1.0,,,,2.0,0.0,6.0,3.0,59.0,19.0,3.0,2.0,1.0,,3.0,10.0,56.0,5.0,,477.0,10.0,15.0,16.0,6.0,52.0,,4.0,349.0,9.0,15.0,16.0,110.0,27.0,,13.0,13.0,16.0,3.0,15.0,5.0,5.0,,1.0,,1.0,,,1.0,,,,2.0,1.0,1.0,,,6.0,,,12.0,29.0,,1.0,1.0,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,695209,2014-03-23 13:30:00,"White Hart Lane, London",35460,Home,Tottenham Hotspur,Southampton,3,2,W,1,2,0,0,1.0,2.0,57.0,2.0,1.0,31.0,33.0,6.0,5.0,2.0,1.0,165.0,3.0,8.0,3.0,2.0,11.0,6.0,90.0,191.0,47.0,15.0,,24.0,2.0,,,,2.0,2.0,33.0,14.0,1.0,33.0,7.0,16.0,32.0,190.0,,,0.0,135.0,9.0,,1.0,2.0,,56.0,86.0,5.0,80.0,4.0,26.0,30.0,10.0,5.0,191.0,2.0,7.0,85.0,666.0,7.0,13.0,,15.0,298.0,23.0,,12.0,11.0,,1.0,6.0,36.0,401.0,86.0,,80607,4.0,124.0,1.0,14.0,2.0,148.0,2.0,1.0,,30.0,7.0,66.0,3.0,13.0,5.0,5.0,1.0,,62.0,311.0,8.0,7.0,2.0,37.0,89.0,,,,0.0,1.0,3.0,1.0,2.0,,,6.0,0.0,1.0,1.0,51.1,29.0,,3.0,,1.0,3.0,1.0,44.0,7.0,,420.0,15.0,18.0,15.0,8.0,22.0,2.0,3.0,305.0,9.0,15.0,11.0,79.0,26.0,,11.0,20.0,10.0,2.0,18.0,13.0,7.0,,1.0,,1.0,3.0,,1.0,,,2.0,,,,1.0,1.0,,3.0,1.0,,,5.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,,,3.0,,2.0,,1.0,3.0,1.0,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
32,695214,2014-03-30 16:00:00,"Anfield, Liverpool",44762,Away,Tottenham Hotspur,Liverpool,0,4,L,0,2,0,0,2.0,,41.0,,2.0,19.0,23.0,8.0,5.0,2.0,1.0,127.0,5.0,7.0,,1.0,12.0,4.0,94.0,117.0,36.0,15.0,3.0,8.0,1.0,,,3.0,1.0,,16.0,9.0,3.0,23.0,6.0,12.0,15.0,169.0,,,0.0,118.0,10.0,1.0,,1.0,1.0,53.0,61.0,7.0,52.0,,10.0,20.0,3.0,2.0,117.0,,6.0,91.0,544.0,9.0,5.0,,9.0,288.0,19.0,1.0,4.0,9.0,3.0,2.0,5.0,23.0,346.0,49.0,,80607,4.0,135.0,,6.0,,145.0,4.0,,1.0,20.0,9.0,50.0,2.0,8.0,6.0,4.0,4.0,,37.0,299.0,9.0,10.0,3.0,21.0,77.0,,,1.0,0.0,,5.0,2.0,,,,3.0,0.0,,3.0,41.4,20.0,2.0,3.0,2.0,,2.0,5.0,46.0,7.0,1.0,364.0,9.0,15.0,10.0,6.0,9.0,5.0,4.0,235.0,7.0,11.0,10.0,85.0,11.0,,9.0,11.0,12.0,3.0,16.0,8.0,7.0,,,,,1.0,,,,2.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,4.0,2.0,2.0,2.0,,,,,,,,,,1.0,,,1.0,1.0,,,3.0,,,,1.0,,2.0,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
33,695229,2014-04-07 20:00:00,"White Hart Lane, London",34410,Home,Tottenham Hotspur,Sunderland,5,1,W,1,1,0,0,1.0,4.0,51.0,1.0,2.0,40.0,12.0,16.0,6.0,3.0,5.0,161.0,4.0,9.0,5.0,5.0,24.0,11.0,123.0,145.0,45.0,29.0,9.0,12.0,5.0,,,2.0,3.0,3.0,24.0,14.0,1.0,12.0,7.0,22.0,30.0,290.0,,,0.0,185.0,12.0,1.0,,1.0,,99.0,75.0,19.0,76.0,2.0,17.0,14.0,5.0,5.0,145.0,5.0,1.0,140.0,701.0,19.0,10.0,,12.0,404.0,17.0,,7.0,9.0,2.0,0.0,5.0,28.0,484.0,60.0,,80607,5.0,129.0,3.0,11.0,2.0,147.0,6.0,3.0,1.0,14.0,8.0,44.0,3.0,14.0,7.0,7.0,1.0,,61.0,415.0,7.0,4.0,1.0,21.0,80.0,,1.0,,0.0,1.0,2.0,,4.0,,,3.0,0.0,4.0,,60.9,23.0,,5.0,3.0,,3.0,11.0,51.0,8.0,,500.0,12.0,12.0,17.0,7.0,19.0,,2.0,377.0,22.0,20.0,11.0,147.0,19.0,3.0,9.0,18.0,23.0,3.0,14.0,7.0,8.0,3.0,3.0,1.0,2.0,1.0,,2.0,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,,2.0,1.0,,,1.0,1.0,,1.0,,1.0,,3.0,,,2.0,,4.0,,2.0,4.0,3.0,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,
34,695239,2014-04-12 15:07:00,"The Hawthorns, West Bromwich",25398,Away,Tottenham Hotspur,West Bromwich Albion,3,3,D,1,3,0,0,2.0,,64.0,1.0,2.0,50.0,25.0,8.0,3.0,2.0,4.0,168.0,6.0,8.0,3.0,5.0,12.0,8.0,143.0,157.0,53.0,20.0,3.0,18.0,2.0,,,,2.0,2.0,23.0,14.0,4.0,25.0,1.0,15.0,38.0,238.0,,1.0,0.0,182.0,8.0,1.0,1.0,1.0,2.0,63.0,93.0,7.0,51.0,1.0,22.0,17.0,6.0,2.0,157.0,2.0,5.0,147.0,714.0,10.0,8.0,,16.0,397.0,30.0,,4.0,16.0,,2.0,5.0,23.0,493.0,82.0,,80607,7.0,177.0,5.0,15.0,,194.0,5.0,1.0,1.0,17.0,4.0,61.0,5.0,10.0,1.0,2.0,2.0,,79.0,409.0,11.0,15.0,1.0,24.0,86.0,,2.0,,0.0,1.0,2.0,2.0,3.0,,,5.0,0.0,5.0,2.0,67.6,20.0,1.0,3.0,2.0,,5.0,5.0,53.0,2.0,2.0,509.0,16.0,13.0,15.0,7.0,29.0,1.0,5.0,338.0,15.0,13.0,17.0,116.0,25.0,1.0,16.0,18.0,15.0,3.0,16.0,9.0,2.0,,,,2.0,,,2.0,,,,2.0,1.0,,,,,1.0,2.0,,,,3.0,2.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,3.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,
35,695249,2014-04-19 12:45:00,"White Hart Lane, London",35841,Home,Tottenham Hotspur,Fulham,3,1,W,1,1,0,0,,3.0,51.0,1.0,1.0,30.0,32.0,6.0,1.0,3.0,1.0,190.0,5.0,6.0,3.0,4.0,11.0,5.0,151.0,160.0,58.0,14.0,3.0,14.0,2.0,,,1.0,,,22.0,18.0,,32.0,3.0,34.0,40.0,303.0,,,0.0,190.0,8.0,3.0,,2.0,1.0,82.0,115.0,8.0,89.0,1.0,19.0,13.0,10.0,3.0,160.0,4.0,7.0,153.0,810.0,8.0,11.0,1.0,17.0,474.0,24.0,,5.0,21.0,1.0,0.0,3.0,22.0,568.0,82.0,2.0,80607,4.0,191.0,1.0,7.0,3.0,211.0,4.0,2.0,1.0,13.0,9.0,54.0,8.0,14.0,4.0,6.0,3.0,,49.0,489.0,10.0,8.0,,20.0,85.0,,,1.0,0.0,2.0,5.0,3.0,3.0,,,2.0,0.0,5.0,4.0,62.2,19.0,2.0,3.0,,,8.0,4.0,50.0,4.0,1.0,583.0,17.0,19.0,18.0,5.0,24.0,,2.0,394.0,9.0,32.0,19.0,132.0,15.0,1.0,21.0,23.0,9.0,3.0,12.0,6.0,4.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,3.0,,2.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,2.0,,,,1.0,,2.0,,,,,1.0
36,695257,2014-04-26 15:00:00,"bet365 Stadium, Stoke",26021,Away,Tottenham Hotspur,Stoke City,1,0,W,1,0,0,1,,,56.0,,3.0,19.0,28.0,8.0,2.0,3.0,3.0,151.0,3.0,10.0,1.0,3.0,12.0,4.0,96.0,159.0,53.0,16.0,4.0,14.0,2.0,,,,1.0,1.0,18.0,16.0,1.0,28.0,1.0,19.0,23.0,227.0,1.0,,0.0,151.0,6.0,1.0,,2.0,1.0,81.0,63.0,10.0,55.0,1.0,17.0,26.0,4.0,3.0,159.0,3.0,8.0,96.0,629.0,11.0,7.0,,10.0,300.0,22.0,,6.0,13.0,,2.0,2.0,34.0,381.0,74.0,,80607,7.0,88.0,3.0,11.0,,104.0,,,,26.0,12.0,48.0,5.0,8.0,9.0,4.0,2.0,,47.0,312.0,11.0,7.0,,28.0,97.0,,1.0,1.0,0.0,1.0,4.0,1.0,1.0,,,4.0,0.0,3.0,2.0,49.5,18.0,1.0,4.0,1.0,,5.0,7.0,46.0,3.0,1.0,398.0,10.0,12.0,8.0,5.0,21.0,,2.0,312.0,12.0,18.0,7.0,106.0,21.0,,13.0,25.0,14.0,3.0,20.0,16.0,3.0,,2.0,,1.0,,,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,,,1.0,,,4.0,,,,1.0,,,1.0,,,,,1.0,,2.0,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
37,695270,2014-05-03 12:45:00,"Boleyn Ground, London",34977,Away,Tottenham Hotspur,West Ham United,0,2,L,0,2,1,0,,,43.0,,2.0,15.0,40.0,6.0,2.0,7.0,2.0,152.0,3.0,6.0,,,8.0,3.0,88.0,155.0,60.0,12.0,2.0,23.0,2.0,1.0,,1.0,1.0,2.0,21.0,24.0,1.0,40.0,6.0,9.0,24.0,143.0,,,0.0,107.0,16.0,4.0,1.0,1.0,2.0,48.0,56.0,4.0,47.0,1.0,15.0,18.0,3.0,3.0,155.0,,13.0,100.0,632.0,8.0,8.0,1.0,11.0,283.0,20.0,,4.0,16.0,1.0,4.0,4.0,37.0,368.0,50.0,,80607,2.0,155.0,,11.0,,179.0,9.0,,,18.0,7.0,64.0,4.0,16.0,8.0,6.0,2.0,,44.0,295.0,10.0,8.0,,26.0,73.0,1.0,,4.0,0.0,2.0,10.0,5.0,,,,,1.0,2.0,1.0,52.8,30.0,,3.0,1.0,1.0,4.0,4.0,32.0,6.0,2.0,387.0,11.0,14.0,8.0,5.0,18.0,1.0,2.0,229.0,9.0,9.0,17.0,68.0,12.0,,16.0,28.0,12.0,3.0,11.0,8.0,6.0,,2.0,,,2.0,,,1.0,,,,,,3.0,3.0,,,,,,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,3.0,,,,1.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
38,695279,2014-05-11 15:00:00,"White Hart Lane, London",35826,Home,Tottenham Hotspur,Aston Villa,3,0,W,3,0,0,0,,2.0,52.0,,1.0,41.0,18.0,4.0,3.0,1.0,2.0,161.0,3.0,7.0,3.0,4.0,10.0,6.0,150.0,141.0,54.0,12.0,1.0,11.0,4.0,,,,2.0,1.0,18.0,14.0,,18.0,2.0,26.0,35.0,215.0,1.0,1.0,0.0,120.0,11.0,1.0,,2.0,,82.0,54.0,6.0,82.0,2.0,16.0,9.0,7.0,3.0,141.0,3.0,1.0,163.0,739.0,9.0,9.0,,22.0,462.0,21.0,1.0,4.0,10.0,,1.0,4.0,18.0,543.0,60.0,,80607,6.0,261.0,3.0,7.0,,279.0,5.0,2.0,,9.0,9.0,41.0,5.0,10.0,3.0,4.0,,1.0,63.0,473.0,10.0,3.0,1.0,16.0,90.0,,,,0.0,1.0,1.0,,3.0,,,3.0,0.0,2.0,2.0,54.7,15.0,,2.0,,,5.0,2.0,49.0,5.0,,556.0,22.0,17.0,19.0,4.0,21.0,1.0,1.0,295.0,7.0,26.0,21.0,85.0,23.0,1.0,10.0,17.0,9.0,3.0,7.0,5.0,5.0,,1.0,,,,,,,,2.0,1.0,,,2.0,2.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,7.0,1.0,,,2.0,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
