gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attGoalLowLeft,attemptsIbox,attLfGoal,attRfTarget,accuratePullBack,attIboxTarget,attBxRight,attSvLowCentre,attOboxTarget,attMissHighRight,totalFastbreak,interceptionsInBox,attMissRight,attemptsObox,attOboxMiss,subsGoals,attLgCentre,touchesInOppBox,attMissHighLeft,offtargetAttAssist,totalPullBack,totalThroughBall,totalOffside,goalsOpenplay,attSvLowRight,attFreekickTarget,overrun,goalsConceded,accurateCrossNocorner,attBxLeft,clearanceOffLine,attFreekickMiss,shotOffTarget,goalsConcededIbox,goalsConcededObox,accurateKeeperSweeper,attSvHighRight,contentiousDecision,totalKeeperSweeper,attBxCentre,attMissHigh,postScoringAtt,attMissLeft,attIboxPost,attOneOnOne,hitWoodwork,accurateThroughBall,bigChanceMissed,attRfGoal,attCmissHigh,attPostHigh,attHdMiss,attIboxMiss,errorLeadToGoal,attIboxBlocked,goalAssistOpenplay,attOboxGoal,attHdTarget,errorLeadToShot,attCmissHighLeft,forwardGoals,attGoalLowCentre,shotFastbreak,attFastbreak,defenderGoals,attCmissLeft,attGoalLowRight,attCmissRight,attSvLowLeft,attHdPost,attSvHighLeft,ownGoals,attIboxOwnGoal,attPostRight,accurateFreekickCross,sixYardBlock,penaltyWon,attPostLeft,attPenGoal,attObxRight,goalFastbreak,attGoalHighCentre,attObxdRight,foulThrowIn,attSvHighCentre,penaltyConceded,penaltyFaced,penGoalsConceded,attCorner,attCmissHighRight,attObxLeft,attGoalHighRight,attLgRight,attPenTarget
28,695173,2014-03-01 15:00:00,"Craven Cottage, London",24577,Home,Fulham,Chelsea,1,3,L,0,0,0,0,2.0,1.0,61.0,,1.0,,23.0,28.0,3.0,4.0,4.0,155.0,5.0,7.0,1.0,4.0,6.0,3.0,60.0,171.0,51.0,1.0,7.0,1.0,38.0,26.0,7.0,28.0,5.0,4.0,26.0,108.0,,0.0,118.0,14.0,3.0,,3.0,1.0,46.0,69.0,3.0,53.0,21.0,21.0,1.0,3.0,171.0,2.0,14.0,67.0,537.0,4.0,13.0,16.0,215.0,27.0,12.0,14.0,1.0,2.0,5.0,22.0,315.0,74.0,81025,122.0,15.0,1.0,135.0,1.0,21.0,11.0,73.0,3.0,10.0,3.0,6.0,66.0,225.0,12.0,11.0,1.0,42.0,85.0,,1.0,0.0,4.0,5.0,1.0,4.0,0.0,,,2.0,41.9,15.0,2.0,3.0,1.0,31.0,5.0,1.0,335.0,16.0,12.0,5.0,23.0,,226.0,1.0,4.0,20.0,50.0,24.0,1.0,14.0,13.0,,4.0,3.0,10.0,1.0,10.0,5.0,1.0,1.0,,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,3.0,1.0,,1.0,,1.0,1.0,2.0,3.0,5.0,1.0,1.0,,3.0,3.0,,1.0,,,1.0,2.0,,,1.0,,,,,1.0,,,,2.0,3.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
29,695181,2014-03-08 15:00:00,"Cardiff City Stadium, Cardiff",26796,Away,Fulham,Cardiff City,1,3,L,0,1,0,0,,1.0,57.0,3.0,1.0,,39.0,38.0,4.0,8.0,7.0,160.0,2.0,12.0,1.0,1.0,10.0,6.0,104.0,146.0,66.0,,14.0,1.0,22.0,18.0,17.0,38.0,6.0,13.0,43.0,183.0,,0.0,131.0,12.0,4.0,1.0,1.0,2.0,58.0,68.0,6.0,80.0,12.0,12.0,,4.0,146.0,1.0,12.0,114.0,675.0,7.0,9.0,9.0,356.0,29.0,4.0,19.0,1.0,0.0,4.0,14.0,443.0,70.0,91046,188.0,7.0,2.0,207.0,7.0,12.0,10.0,55.0,6.0,12.0,8.0,1.0,72.0,369.0,9.0,9.0,2.0,28.0,88.0,,1.0,0.0,7.0,4.0,1.0,4.0,0.0,,,3.0,53.6,11.0,,7.0,2.0,41.0,6.0,2.0,458.0,9.0,11.0,26.0,25.0,1.0,269.0,3.0,10.0,22.0,92.0,17.0,5.0,19.0,23.0,,8.0,3.0,14.0,5.0,6.0,6.0,4.0,,,1.0,1.0,1.0,3.0,3.0,1.0,2.0,,,2.0,4.0,,1.0,,,,,4.0,1.0,,2.0,,3.0,,1.0,3.0,1.0,,,,6.0,3.0,,,,,,6.0,,,2.0,,,,,,,,,3.0,5.0,1.0,1.0,,,,1.0,,,,,,,2.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,
30,695193,2014-03-15 15:00:00,"Craven Cottage, London",25664,Home,Fulham,Newcastle United,1,0,W,0,0,0,0,,,61.0,1.0,,,20.0,39.0,8.0,5.0,3.0,128.0,2.0,7.0,1.0,1.0,8.0,3.0,53.0,167.0,54.0,,12.0,2.0,26.0,25.0,17.0,39.0,7.0,2.0,23.0,101.0,1.0,0.0,102.0,11.0,2.0,1.0,1.0,8.0,26.0,68.0,5.0,32.0,18.0,20.0,,2.0,167.0,,9.0,64.0,516.0,7.0,11.0,16.0,181.0,25.0,9.0,25.0,1.0,1.0,3.0,28.0,264.0,48.0,91046,91.0,15.0,,117.0,5.0,20.0,9.0,71.0,5.0,9.0,3.0,1.0,48.0,190.0,6.0,11.0,,28.0,69.0,,,0.0,7.0,2.0,,2.0,0.0,,,1.0,38.9,19.0,1.0,5.0,3.0,25.0,9.0,8.0,277.0,16.0,15.0,8.0,16.0,1.0,185.0,6.0,2.0,20.0,64.0,22.0,,25.0,23.0,,12.0,3.0,15.0,,9.0,9.0,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,,2.0,2.0,,4.0,,,,,3.0,,1.0,6.0,1.0,,,2.0,,1.0,,,,6.0,,,,,,,2.0,1.0,,2.0,,,1.0,,,1.0,,,1.0,2.0,,1.0,1.0,1.0,,2.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
31,695206,2014-03-22 15:00:00,"Etihad Stadium, Manchester",47262,Away,Fulham,Manchester City,0,5,L,0,1,1,0,,,52.0,1.0,,,17.0,24.0,3.0,2.0,5.0,130.0,2.0,6.0,,1.0,5.0,,55.0,111.0,42.0,1.0,6.0,1.0,17.0,10.0,12.0,24.0,2.0,3.0,22.0,122.0,,0.0,93.0,15.0,2.0,,,1.0,40.0,35.0,1.0,58.0,8.0,10.0,1.0,1.0,111.0,1.0,16.0,56.0,462.0,3.0,7.0,12.0,221.0,29.0,5.0,18.0,,4.0,7.0,13.0,284.0,51.0,91046,110.0,7.0,,125.0,7.0,10.0,8.0,56.0,1.0,7.0,6.0,4.0,39.0,230.0,8.0,10.0,1.0,25.0,67.0,,,0.0,13.0,6.0,,2.0,1.0,,,2.0,32.4,11.0,2.0,1.0,2.0,30.0,2.0,1.0,299.0,12.0,10.0,13.0,7.0,1.0,184.0,2.0,1.0,13.0,60.0,16.0,9.0,18.0,16.0,,4.0,3.0,13.0,9.0,6.0,2.0,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,3.0,,,2.0,,,,2.0,5.0,1.0,,2.0,,4.0,4.0,1.0,,,,,3.0,1.0,,1.0,,1.0,,,1.0,,,,2.0,2.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,
32,695213,2014-03-30 13:30:00,"Craven Cottage, London",25454,Home,Fulham,Everton,1,3,L,0,0,0,0,1.0,,57.0,1.0,,,35.0,40.0,9.0,13.0,5.0,115.0,7.0,6.0,1.0,1.0,18.0,8.0,67.0,132.0,62.0,,23.0,2.0,10.0,30.0,29.0,40.0,4.0,11.0,28.0,138.0,,0.0,108.0,7.0,3.0,1.0,1.0,2.0,50.0,49.0,10.0,38.0,26.0,17.0,,9.0,132.0,3.0,11.0,76.0,538.0,13.0,5.0,8.0,219.0,23.0,4.0,25.0,1.0,1.0,4.0,21.0,285.0,58.0,91046,98.0,16.0,3.0,113.0,2.0,17.0,10.0,48.0,4.0,15.0,4.0,6.0,58.0,229.0,4.0,23.0,4.0,24.0,73.0,1.0,,0.0,6.0,4.0,,3.0,0.0,,1.0,6.0,38.2,16.0,3.0,4.0,6.0,40.0,5.0,2.0,296.0,8.0,7.0,15.0,18.0,2.0,213.0,4.0,11.0,17.0,76.0,21.0,,25.0,35.0,,17.0,3.0,8.0,,8.0,6.0,4.0,,,,,,6.0,3.0,5.0,1.0,2.0,2.0,,1.0,,5.0,,,,,8.0,,3.0,8.0,1.0,,,1.0,3.0,5.0,1.0,,,9.0,3.0,,,,1.0,,8.0,3.0,,3.0,,,,2.0,3.0,1.0,,,3.0,4.0,1.0,4.0,1.0,1.0,3.0,1.0,,,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,
33,695221,2014-04-05 15:00:00,"Villa Park, Birmingham",33532,Away,Fulham,Aston Villa,2,1,W,0,0,0,0,,,54.0,1.0,,,22.0,34.0,10.0,5.0,5.0,172.0,2.0,12.0,2.0,2.0,12.0,8.0,99.0,139.0,61.0,,16.0,4.0,10.0,18.0,10.0,34.0,4.0,13.0,49.0,169.0,,0.0,148.0,13.0,4.0,1.0,2.0,3.0,49.0,85.0,11.0,51.0,14.0,16.0,,2.0,139.0,1.0,8.0,88.0,609.0,10.0,4.0,12.0,298.0,22.0,2.0,25.0,2.0,2.0,3.0,22.0,396.0,81.0,91046,143.0,10.0,,159.0,4.0,16.0,7.0,43.0,8.0,3.0,4.0,5.0,50.0,310.0,10.0,8.0,,22.0,76.0,,1.0,0.0,2.0,4.0,1.0,3.0,0.0,2.0,1.0,2.0,49.9,19.0,6.0,8.0,4.0,35.0,7.0,3.0,410.0,12.0,9.0,22.0,25.0,,269.0,9.0,11.0,25.0,83.0,17.0,3.0,25.0,15.0,1.0,16.0,3.0,15.0,3.0,7.0,7.0,1.0,1.0,,1.0,5.0,,3.0,1.0,4.0,3.0,,4.0,3.0,2.0,,3.0,,,,,1.0,,2.0,1.0,2.0,1.0,,2.0,1.0,2.0,,,,4.0,1.0,,1.0,,,1.0,4.0,1.0,,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,,2.0,1.0,,,,1.0,,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
34,695232,2014-04-12 15:07:00,"Craven Cottage, London",25028,Home,Fulham,Norwich City,1,0,W,1,0,0,0,,1.0,71.0,2.0,1.0,,22.0,35.0,5.0,3.0,4.0,153.0,8.0,10.0,1.0,3.0,15.0,3.0,70.0,162.0,62.0,,14.0,2.0,19.0,21.0,24.0,35.0,4.0,11.0,32.0,153.0,1.0,0.0,127.0,10.0,2.0,,3.0,3.0,53.0,79.0,6.0,67.0,17.0,21.0,,5.0,162.0,4.0,7.0,75.0,589.0,11.0,9.0,12.0,242.0,37.0,4.0,20.0,1.0,1.0,3.0,28.0,346.0,66.0,81025,110.0,9.0,1.0,129.0,5.0,21.0,9.0,50.0,4.0,9.0,7.0,4.0,63.0,255.0,12.0,6.0,2.0,40.0,82.0,,,0.0,8.0,2.0,1.0,5.0,0.0,1.0,1.0,5.0,45.1,21.0,2.0,4.0,3.0,31.0,8.0,3.0,365.0,12.0,9.0,18.0,18.0,3.0,257.0,6.0,10.0,14.0,76.0,24.0,4.0,20.0,27.0,,9.0,3.0,18.0,4.0,9.0,8.0,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,3.0,,3.0,,2.0,,,,1.0,8.0,1.0,,,,,,1.0,,5.0,,,,8.0,,,1.0,,,1.0,5.0,2.0,,2.0,,,1.0,,3.0,,1.0,,4.0,6.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
35,695249,2014-04-19 12:45:00,"White Hart Lane, London",35841,Away,Fulham,Tottenham Hotspur,1,3,L,1,1,0,0,1.0,,55.0,,,,39.0,36.0,4.0,2.0,2.0,153.0,7.0,8.0,1.0,1.0,8.0,4.0,72.0,152.0,54.0,,11.0,1.0,19.0,13.0,19.0,36.0,5.0,3.0,30.0,128.0,,0.0,97.0,11.0,1.0,1.0,,1.0,33.0,51.0,3.0,52.0,8.0,12.0,,4.0,152.0,,8.0,75.0,566.0,8.0,12.0,11.0,252.0,32.0,10.0,18.0,,1.0,4.0,19.0,337.0,65.0,91046,141.0,4.0,,158.0,3.0,12.0,9.0,58.0,4.0,17.0,6.0,4.0,65.0,262.0,7.0,6.0,,25.0,79.0,,,0.0,4.0,2.0,1.0,,0.0,,,2.0,37.8,13.0,2.0,4.0,2.0,39.0,5.0,1.0,352.0,11.0,15.0,14.0,21.0,2.0,207.0,7.0,3.0,14.0,48.0,15.0,2.0,18.0,25.0,,9.0,2.0,16.0,2.0,7.0,5.0,,,,,2.0,,3.0,2.0,1.0,,,,2.0,4.0,,3.0,,,,,5.0,,,4.0,1.0,,,1.0,3.0,5.0,,,,5.0,3.0,,,1.0,1.0,,5.0,,,1.0,,2.0,,,2.0,1.0,,,1.0,2.0,,1.0,,,1.0,,,,,,,,1.0,,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0
36,695253,2014-04-26 15:00:00,"Craven Cottage, London",25700,Home,Fulham,Hull City,2,2,D,0,0,0,0,,,61.0,,1.0,,49.0,31.0,3.0,5.0,3.0,145.0,6.0,4.0,2.0,,8.0,3.0,86.0,140.0,45.0,,10.0,,16.0,24.0,11.0,31.0,6.0,11.0,34.0,152.0,,0.0,114.0,8.0,2.0,1.0,1.0,1.0,51.0,62.0,3.0,60.0,18.0,17.0,,6.0,140.0,2.0,6.0,88.0,581.0,3.0,8.0,9.0,293.0,20.0,11.0,19.0,2.0,1.0,3.0,27.0,364.0,74.0,91046,156.0,11.0,,168.0,6.0,17.0,7.0,49.0,6.0,14.0,2.0,4.0,76.0,302.0,5.0,6.0,2.0,27.0,77.0,1.0,,0.0,2.0,2.0,2.0,3.0,0.0,1.0,,3.0,46.0,21.0,3.0,6.0,,42.0,7.0,1.0,379.0,9.0,16.0,15.0,25.0,3.0,235.0,2.0,10.0,19.0,73.0,26.0,1.0,19.0,17.0,1.0,6.0,3.0,7.0,1.0,7.0,7.0,,,,1.0,1.0,,1.0,2.0,1.0,,1.0,1.0,,3.0,,3.0,,,,1.0,4.0,,,,1.0,,,2.0,2.0,3.0,,,,7.0,2.0,,,,,,5.0,,,2.0,,,,,2.0,,,,2.0,4.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
37,695268,2014-05-03 15:00:00,"bet365 Stadium, Stoke",27429,Away,Fulham,Stoke City,1,4,L,0,1,0,0,3.0,1.0,59.0,2.0,,,23.0,17.0,5.0,3.0,4.0,117.0,3.0,11.0,1.0,3.0,8.0,2.0,90.0,130.0,49.0,,10.0,3.0,21.0,19.0,14.0,17.0,2.0,9.0,28.0,149.0,,0.0,91.0,13.0,4.0,1.0,3.0,,45.0,45.0,6.0,40.0,17.0,12.0,,3.0,130.0,1.0,11.0,89.0,522.0,6.0,5.0,20.0,245.0,29.0,1.0,9.0,1.0,2.0,6.0,26.0,319.0,63.0,91046,113.0,11.0,,136.0,7.0,12.0,12.0,67.0,2.0,3.0,12.0,4.0,48.0,259.0,9.0,21.0,1.0,21.0,67.0,,,0.0,3.0,2.0,1.0,3.0,0.0,,,1.0,36.7,15.0,2.0,2.0,5.0,31.0,5.0,,336.0,20.0,12.0,15.0,18.0,,219.0,6.0,9.0,12.0,55.0,23.0,3.0,9.0,17.0,,7.0,3.0,14.0,3.0,5.0,5.0,,1.0,,,1.0,,,,,1.0,,,2.0,1.0,,1.0,,,,,2.0,,,,1.0,,,,4.0,3.0,,,,3.0,4.0,,1.0,,,1.0,5.0,1.0,,1.0,,,,,1.0,1.0,,,1.0,2.0,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
38,695272,2014-05-11 15:00:00,"Craven Cottage, London",24447,Home,Fulham,Crystal Palace,2,2,D,0,1,0,0,1.0,,55.0,,,,46.0,33.0,6.0,7.0,4.0,169.0,7.0,8.0,2.0,4.0,9.0,5.0,122.0,145.0,62.0,2.0,15.0,1.0,19.0,32.0,17.0,33.0,4.0,14.0,40.0,244.0,,0.0,161.0,11.0,2.0,1.0,2.0,3.0,69.0,84.0,6.0,81.0,28.0,11.0,2.0,6.0,145.0,3.0,12.0,124.0,717.0,6.0,6.0,7.0,401.0,24.0,3.0,26.0,2.0,3.0,4.0,22.0,476.0,82.0,94217,181.0,20.0,,196.0,3.0,11.0,7.0,57.0,5.0,12.0,3.0,3.0,71.0,418.0,14.0,9.0,,13.0,76.0,2.0,,0.0,4.0,4.0,1.0,1.0,0.0,,,2.0,66.1,19.0,1.0,5.0,3.0,50.0,6.0,3.0,496.0,7.0,14.0,21.0,23.0,2.0,332.0,5.0,11.0,20.0,115.0,21.0,,26.0,21.0,,11.0,3.0,15.0,,4.0,6.0,2.0,,,2.0,,,2.0,2.0,1.0,1.0,,,1.0,,,3.0,,,,,2.0,,,1.0,2.0,,,1.0,2.0,5.0,1.0,,1.0,7.0,1.0,1.0,,,,,5.0,3.0,1.0,3.0,1.0,,1.0,,3.0,,,,,3.0,,2.0,2.0,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
