gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,lostCorners,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attObxRight,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attRfTarget,attCmissRight,attBxRight,accurateKeeperSweeper,attOboxTarget,cleanSheet,interceptionsInBox,totalKeeperSweeper,attSetpiece,attSvLowRight,punches,overrun,savedIbox,bigChanceCreated,totalPullBack,bigChanceScored,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,goals,attSvLowCentre,goalAssist,accurateThroughBall,totalThroughBall,defenderGoals,attIboxGoal,goalAssistIntentional,attLgLeft,attHdGoal,attGoalLowRight,attLfGoal,goalAssistOpenplay,attMissHighRight,midfielderGoals,hitWoodwork,attRfGoal,goalsOpenplay,attCmissHighRight,foulThrowIn,attBxLeft,goalsConcededObox,postScoringAtt,attIboxPost,attOneOnOne,attOboxGoal,attSvHighLeft,attHdPost,attFreekickTarget,attPostHigh,forwardGoals,attemptsIbox,attGoalHighRight,attemptsObox,attLgCentre,touchesInOppBox,attCorner,ptsDroppedWinningPos,totalFastbreak,shieldBallOop,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,penaltyWon,subsGoals,expectedAssists,attPenGoal,attGoalHighLeft,attSvHighCentre,expectedGoals,accuratePullBack,attGoalLowCentre,shotFastbreak,attGoalHighCentre,attPostLeft,attFastbreak,errorLeadToGoal,errorLeadToShot,attSvHighRight,attObxdRight,attLgRight,attFreekickPost,attOboxPost,attPostRight,attObxdLeft,penaltySave,attCmissHighLeft,goalFastbreak,ownGoals,attIboxOwnGoal
28,695178,2014-05-07 19:45:00,"Stadium of Light, Sunderland",45181,Away,West Bromwich Albion,Sunderland,0,2,L,0,2,0,0,,62.0,2.0,,24.0,16.0,11.0,4.0,2.0,167.0,3.0,6.0,2.0,9.0,3.0,119.0,145.0,45.0,2.0,13.0,5.0,20.0,,2.0,15.0,7.0,16.0,,19.0,21.0,229.0,0.0,182.0,12.0,1.0,,,3.0,69.0,61.0,6.0,60.0,2.0,15.0,15.0,2.0,2.0,4.0,145.0,,6.0,121.0,647.0,9.0,10.0,,22.0,358.0,23.0,,11.0,10.0,0.0,3.0,3.0,19.0,451.0,73.0,,91972,1.0,143.0,,13.0,,,158.0,5.0,15.0,6.0,52.0,,1.0,3.0,8.0,4.0,5.0,1.0,50.0,369.0,13.0,5.0,,36.0,80.0,1.0,0.0,5.0,2.0,4.0,0.0,3.0,,51.7,14.0,,,4.0,3.0,5.0,42.0,,,4.0,467.0,,22.0,1.0,8.0,13.0,5.0,9.0,,1.0,324.0,9.0,19.0,16.0,124.0,27.0,1.0,10.0,11.0,2.0,10.0,3.0,13.0,1.0,8.0,,,3.0,2.0,,,3.0,,2.0,,1.0,1.0,,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
29,695188,2014-03-08 12:45:00,"The Hawthorns, West Bromwich",26184,Home,West Bromwich Albion,Manchester United,0,3,L,0,1,0,0,,60.0,1.0,3.0,16.0,31.0,4.0,5.0,2.0,136.0,9.0,12.0,3.0,11.0,3.0,95.0,151.0,50.0,,14.0,1.0,12.0,3.0,2.0,31.0,17.0,31.0,3.0,6.0,20.0,170.0,0.0,157.0,11.0,,1.0,3.0,1.0,69.0,58.0,5.0,57.0,2.0,28.0,20.0,,8.0,3.0,151.0,1.0,10.0,78.0,602.0,10.0,3.0,1.0,10.0,281.0,19.0,1.0,4.0,22.0,1.0,4.0,6.0,25.0,354.0,64.0,2.0,95461,5.0,125.0,1.0,17.0,,,137.0,8.0,20.0,7.0,53.0,1.0,2.0,6.0,9.0,4.0,3.0,1.0,36.0,286.0,9.0,4.0,1.0,23.0,62.0,1.0,0.0,5.0,3.0,1.0,0.0,8.0,2.0,45.0,19.0,1.0,,7.0,6.0,4.0,27.0,3.0,,1.0,366.0,,10.0,,17.0,11.0,7.0,22.0,1.0,4.0,260.0,6.0,5.0,10.0,109.0,26.0,2.0,22.0,19.0,3.0,12.0,3.0,21.0,2.0,14.0,3.0,1.0,1.0,1.0,2.0,2.0,,,,2.0,1.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,695199,2014-03-15 15:00:00,"Swansea.com Stadium, Swansea",20703,Away,West Bromwich Albion,Swansea City,2,1,W,0,1,0,0,,69.0,1.0,1.0,19.0,30.0,10.0,1.0,3.0,162.0,2.0,3.0,1.0,9.0,4.0,94.0,150.0,54.0,,13.0,3.0,18.0,1.0,1.0,16.0,17.0,30.0,1.0,4.0,15.0,189.0,0.0,150.0,13.0,1.0,,1.0,3.0,58.0,45.0,5.0,58.0,2.0,15.0,18.0,,5.0,4.0,150.0,,10.0,86.0,600.0,7.0,20.0,,22.0,295.0,31.0,,10.0,21.0,3.0,4.0,4.0,17.0,387.0,77.0,,95461,1.0,116.0,,9.0,,,131.0,10.0,18.0,11.0,60.0,,,1.0,11.0,4.0,6.0,,44.0,303.0,7.0,12.0,1.0,36.0,80.0,,0.0,4.0,1.0,4.0,0.0,1.0,,38.0,13.0,,,6.0,1.0,4.0,44.0,1.0,,4.0,400.0,,22.0,,14.0,11.0,5.0,24.0,1.0,1.0,285.0,12.0,4.0,25.0,96.0,27.0,2.0,21.0,20.0,1.0,9.0,3.0,6.0,2.0,10.0,1.0,,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,2.0,2.0,,,,1.0,,,2.0,2.0,1.0,1.0,1.0,,,,,,1.0,,1.0,2.0,2.0,,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
31,695205,2014-03-22 15:00:00,"The MKM Stadium, Hull",23486,Away,West Bromwich Albion,Hull City,0,2,L,0,2,0,0,,62.0,1.0,5.0,27.0,14.0,7.0,3.0,3.0,170.0,4.0,4.0,4.0,13.0,4.0,84.0,188.0,48.0,,16.0,3.0,24.0,4.0,,32.0,13.0,14.0,5.0,19.0,23.0,187.0,0.0,168.0,13.0,2.0,1.0,6.0,1.0,58.0,77.0,11.0,46.0,,27.0,16.0,,12.0,4.0,188.0,2.0,8.0,92.0,615.0,9.0,9.0,2.0,15.0,276.0,32.0,1.0,13.0,12.0,0.0,3.0,2.0,33.0,375.0,101.0,,95461,4.0,105.0,,9.0,1.0,1.0,125.0,3.0,16.0,6.0,56.0,1.0,1.0,7.0,11.0,4.0,1.0,2.0,53.0,288.0,17.0,1.0,4.0,47.0,87.0,,0.0,4.0,2.0,2.0,0.0,2.0,3.0,56.8,22.0,1.0,,1.0,7.0,8.0,42.0,5.0,1.0,1.0,392.0,,15.0,,19.0,12.0,4.0,36.0,2.0,,299.0,8.0,18.0,16.0,105.0,19.0,1.0,12.0,14.0,2.0,10.0,3.0,8.0,1.0,8.0,5.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,2.0,1.0,,4.0,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,
32,695220,2014-03-29 15:00:00,"The Hawthorns, West Bromwich",25661,Home,West Bromwich Albion,Cardiff City,3,3,D,2,1,0,0,1.0,54.0,1.0,1.0,19.0,30.0,6.0,3.0,2.0,144.0,3.0,7.0,3.0,10.0,6.0,73.0,158.0,54.0,1.0,16.0,3.0,14.0,2.0,1.0,24.0,17.0,30.0,3.0,14.0,16.0,139.0,0.0,151.0,12.0,,2.0,2.0,,71.0,41.0,8.0,39.0,2.0,21.0,11.0,1.0,4.0,2.0,158.0,,4.0,58.0,541.0,8.0,7.0,,21.0,217.0,20.0,,9.0,21.0,1.0,5.0,2.0,23.0,297.0,74.0,,98760,6.0,92.0,,15.0,1.0,,102.0,5.0,11.0,9.0,50.0,,2.0,1.0,11.0,7.0,1.0,2.0,60.0,228.0,11.0,10.0,1.0,47.0,77.0,,0.0,1.0,3.0,3.0,0.0,2.0,1.0,41.7,13.0,1.0,1.0,3.0,1.0,4.0,26.0,4.0,,,314.0,,21.0,1.0,8.0,8.0,6.0,16.0,1.0,4.0,236.0,12.0,14.0,15.0,89.0,26.0,4.0,21.0,21.0,2.0,11.0,3.0,15.0,4.0,7.0,4.0,,3.0,,1.0,2.0,1.0,,3.0,2.0,2.0,,,4.0,1.0,1.0,2.0,1.0,2.0,,,3.0,1.0,1.0,,3.0,,2.0,1.0,,,,1.0,1.0,1.0,2.0,,2.0,3.0,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,
33,695228,2014-04-05 15:00:00,"Carrow Road, Norwich",26859,Away,West Bromwich Albion,Norwich City,1,0,W,1,0,0,0,,50.0,2.0,,7.0,45.0,3.0,3.0,4.0,104.0,,6.0,1.0,6.0,5.0,58.0,131.0,58.0,1.0,8.0,1.0,17.0,3.0,,6.0,22.0,45.0,2.0,11.0,12.0,92.0,0.0,99.0,11.0,1.0,2.0,1.0,1.0,48.0,27.0,4.0,39.0,2.0,4.0,17.0,1.0,1.0,,131.0,,7.0,33.0,446.0,5.0,4.0,,15.0,159.0,24.0,,2.0,27.0,0.0,2.0,2.0,19.0,222.0,60.0,,95461,1.0,70.0,1.0,2.0,,,87.0,3.0,17.0,18.0,49.0,,2.0,1.0,10.0,5.0,6.0,,35.0,162.0,10.0,8.0,,30.0,64.0,,0.0,7.0,,,0.0,,,31.2,7.0,,,1.0,2.0,1.0,22.0,3.0,,1.0,234.0,,15.0,,9.0,7.0,2.0,18.0,,2.0,153.0,5.0,11.0,18.0,53.0,20.0,9.0,27.0,26.0,,7.0,3.0,10.0,9.0,11.0,3.0,2.0,2.0,1.0,1.0,,1.0,1.0,4.0,,,,,2.0,2.0,1.0,1.0,,1.0,,,1.0,2.0,1.0,1.0,3.0,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
34,695239,2014-04-12 15:07:00,"The Hawthorns, West Bromwich",25398,Home,West Bromwich Albion,Tottenham Hotspur,3,3,D,3,1,0,0,,55.0,4.0,,24.0,37.0,1.0,1.0,6.0,124.0,3.0,15.0,2.0,3.0,5.0,39.0,152.0,61.0,,6.0,,17.0,2.0,,12.0,13.0,37.0,2.0,8.0,7.0,80.0,0.0,98.0,11.0,5.0,,1.0,3.0,58.0,27.0,2.0,34.0,1.0,10.0,16.0,,3.0,,152.0,2.0,12.0,35.0,450.0,3.0,14.0,,13.0,129.0,23.0,,13.0,26.0,4.0,5.0,1.0,19.0,216.0,59.0,,95461,2.0,62.0,,6.0,,1.0,83.0,6.0,16.0,11.0,53.0,,3.0,4.0,15.0,9.0,4.0,,56.0,139.0,7.0,8.0,,51.0,77.0,,0.0,2.0,3.0,4.0,0.0,3.0,,32.4,14.0,,,4.0,4.0,,26.0,2.0,1.0,3.0,232.0,,13.0,,16.0,5.0,1.0,10.0,,1.0,161.0,5.0,6.0,18.0,49.0,18.0,4.0,26.0,21.0,3.0,6.0,3.0,17.0,4.0,10.0,2.0,,2.0,,1.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,3.0,1.0,,,3.0,1.0,,,,,2.0,,,,1.0,1.0,,,2.0,,2.0,3.0,,,2.0,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0
35,695246,2014-04-21 20:00:00,"Etihad Stadium, Manchester",46564,Away,West Bromwich Albion,Manchester City,1,3,L,1,3,0,0,,47.0,1.0,2.0,18.0,19.0,7.0,4.0,3.0,112.0,3.0,6.0,2.0,6.0,3.0,63.0,129.0,49.0,2.0,10.0,,17.0,,1.0,17.0,21.0,19.0,2.0,13.0,11.0,132.0,0.0,88.0,7.0,2.0,1.0,,2.0,53.0,39.0,3.0,49.0,,15.0,12.0,2.0,7.0,5.0,129.0,,11.0,71.0,496.0,5.0,9.0,,22.0,213.0,25.0,,7.0,11.0,1.0,8.0,3.0,18.0,280.0,55.0,,91972,3.0,95.0,1.0,8.0,,,111.0,2.0,12.0,9.0,57.0,,3.0,,10.0,8.0,4.0,3.0,41.0,224.0,9.0,13.0,,31.0,71.0,,0.0,8.0,3.0,1.0,0.0,3.0,,31.0,15.0,,,3.0,,2.0,37.0,2.0,,2.0,295.0,,22.0,1.0,14.0,5.0,5.0,11.0,,,201.0,6.0,12.0,8.0,51.0,16.0,4.0,11.0,26.0,2.0,8.0,3.0,13.0,4.0,8.0,2.0,1.0,1.0,,,,2.0,,1.0,,,1.0,,2.0,2.0,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,695260,2014-04-26 15:00:00,"The Hawthorns, West Bromwich",26541,Home,West Bromwich Albion,West Ham United,1,0,W,1,0,0,0,,58.0,,1.0,22.0,37.0,11.0,5.0,3.0,114.0,8.0,8.0,2.0,16.0,6.0,63.0,119.0,37.0,1.0,19.0,3.0,17.0,2.0,2.0,26.0,7.0,37.0,7.0,10.0,18.0,136.0,0.0,109.0,14.0,4.0,,1.0,1.0,53.0,38.0,9.0,35.0,5.0,19.0,11.0,1.0,1.0,5.0,119.0,,8.0,61.0,482.0,14.0,4.0,,18.0,211.0,29.0,,8.0,22.0,0.0,,7.0,20.0,266.0,58.0,,95461,3.0,88.0,2.0,17.0,,,97.0,3.0,11.0,12.0,45.0,,2.0,3.0,16.0,1.0,7.0,1.0,49.0,216.0,8.0,7.0,1.0,33.0,72.0,,0.0,6.0,,1.0,0.0,6.0,2.0,43.3,11.0,2.0,,2.0,3.0,4.0,37.0,7.0,,3.0,273.0,,18.0,,9.0,12.0,9.0,10.0,2.0,4.0,202.0,12.0,10.0,14.0,77.0,18.0,3.0,22.0,9.0,,14.0,3.0,9.0,3.0,4.0,7.0,1.0,4.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,1.0,,,,1.0,4.0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
37,695261,2014-05-04 13:30:00,"Emirates Stadium, London",60021,Away,West Bromwich Albion,Arsenal,0,1,L,0,1,0,0,,60.0,2.0,4.0,19.0,29.0,3.0,2.0,3.0,130.0,6.0,9.0,1.0,10.0,1.0,109.0,135.0,44.0,,11.0,,18.0,,1.0,23.0,10.0,29.0,10.0,10.0,24.0,191.0,0.0,126.0,6.0,1.0,,1.0,2.0,49.0,52.0,5.0,57.0,1.0,13.0,14.0,,2.0,3.0,135.0,,11.0,94.0,590.0,6.0,11.0,,15.0,309.0,24.0,1.0,10.0,16.0,2.0,6.0,5.0,28.0,374.0,61.0,,91972,6.0,131.0,1.0,10.0,,,144.0,4.0,8.0,4.0,48.0,1.0,2.0,5.0,11.0,4.0,,3.0,45.0,316.0,8.0,5.0,4.0,20.0,64.0,,0.0,9.0,1.0,2.0,0.0,1.0,4.0,39.7,16.0,3.0,,4.0,5.0,4.0,33.0,10.0,,2.0,390.0,,15.0,,14.0,5.0,6.0,34.0,5.0,3.0,269.0,5.0,9.0,16.0,82.0,24.0,3.0,16.0,13.0,1.0,7.0,2.0,14.0,3.0,8.0,10.0,,1.0,,,,1.0,,2.0,,,,1.0,,1.0,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,4.0,1.0,20.0,4.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
38,695280,2014-05-11 15:00:00,"The Hawthorns, West Bromwich",26613,Home,West Bromwich Albion,Stoke City,1,2,L,0,1,0,0,1.0,49.0,2.0,2.0,14.0,17.0,7.0,4.0,3.0,134.0,6.0,6.0,1.0,14.0,4.0,90.0,118.0,38.0,,18.0,4.0,8.0,2.0,2.0,25.0,14.0,17.0,11.0,11.0,15.0,190.0,0.0,157.0,4.0,3.0,,1.0,,50.0,40.0,7.0,42.0,,14.0,12.0,,1.0,2.0,118.0,,5.0,93.0,549.0,11.0,10.0,2.0,21.0,289.0,26.0,1.0,11.0,7.0,0.0,3.0,7.0,16.0,347.0,60.0,,91972,6.0,113.0,1.0,12.0,1.0,,122.0,1.0,12.0,9.0,45.0,,1.0,3.0,5.0,10.0,3.0,3.0,27.0,297.0,7.0,16.0,2.0,24.0,64.0,2.0,0.0,6.0,2.0,3.0,0.0,1.0,4.0,43.0,13.0,2.0,,3.0,4.0,6.0,44.0,11.0,,,359.0,,21.0,,15.0,10.0,8.0,18.0,5.0,4.0,262.0,9.0,11.0,8.0,113.0,15.0,1.0,7.0,17.0,1.0,11.0,3.0,9.0,1.0,11.0,11.0,,1.0,,2.0,,1.0,,6.0,,1.0,,,3.0,1.0,1.0,3.0,,,,,1.0,2.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,2.0,,1.0,,,,1.0,2.0,2.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0
