gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,wonCorners,handBall,savedObox,accuratePullBack,attMissLeft,attOboxTarget,divingSave,attSvLowLeft,interceptionsInBox,errorLeadToShot,totalPullBack,attSvLowRight,goalsConceded,possWonAtt3rd,accurateCornersIntobox,effectiveBlockedCross,goalsConcededIbox,errorLeadToGoal,blockedCross,goalAssistSetplay,goalAssistDeadball,goals,attCmissRight,attSvHighRight,attGoalHighCentre,hitWoodwork,goalAssist,attIboxGoal,goalAssistIntentional,shieldBallOop,forwardGoals,attHdGoal,goalsConcededObox,attGoalLowLeft,attLfGoal,goalAssistOpenplay,accurateKeeperSweeper,attGoalHighRight,attSvHighLeft,totalKeeperSweeper,accurateFreekickCross,attRfGoal,goalsOpenplay,attCmissLeft,postScoringAtt,attIboxPost,attMissHighLeft,attFreekickTarget,attPostRight,bigChanceScored,attGoalLowCentre,shotFastbreak,penaltyWon,totalFastbreak,midfielderGoals,attPenGoal,attFastbreak,attGoalHighLeft,attOboxPost,attPostHigh,clearanceOffLine,attPostLeft,goalFastbreak,attOboxGoal,ownGoals,attIboxOwnGoal,attLgCentre,attPenTarget,attGoalLowRight,attHdPost,attCmissHighLeft,attObpGoal,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickGoal,defenderGoals,foulThrowIn
28,360740,2012-03-10 15:00:00,"Villa Park, Birmingham",32372,Away,Fulham,Aston Villa,0,1,L,0,0,0,0,,53.0,,18.0,41.0,4.0,5.0,1.0,154.0,1.0,7.0,,5.0,1.0,102.0,155.0,34.0,,7.0,2.0,15.0,1.0,,,11.0,7.0,24.0,3.0,12.0,23.0,106.0,1.0,,0.0,65.0,11.0,,2.0,29.0,32.0,2.0,75.0,2.0,8.0,,2.0,2.0,138.0,,9.0,104.0,626.0,4.0,11.0,,18.0,27.0,3.0,24.0,0.0,2.0,3.0,15.0,30.0,,9493,,253.0,,5.0,,1.0,280.0,19.0,44.0,,2.0,3.0,7.0,13.0,7.0,7.0,,37.0,358.0,9.0,3.0,1.0,23.0,76.0,1.0,0.0,1.0,10.0,3.0,3.0,,0.0,1.0,,48.8,8.0,,3.0,,7.0,2.0,37.0,4.0,4.0,435.0,13.0,,9.0,14.0,4.0,11.0,1.0,166.0,2.0,11.0,9.0,43.0,14.0,13.0,9.0,,2.0,13.0,4.0,,2.0,,,,1.0,1.0,2.0,,,,1.0,1.0,,3.0,1.0,1.0,3.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
29,360752,2012-03-17 15:00:00,"Craven Cottage, London",25690,Home,Fulham,Swansea City,0,3,L,0,1,0,0,2.0,58.0,,27.0,11.0,11.0,10.0,3.0,148.0,1.0,6.0,,9.0,5.0,107.0,148.0,37.0,,16.0,4.0,8.0,2.0,,1.0,12.0,13.0,8.0,5.0,1.0,41.0,190.0,,,0.0,135.0,8.0,,2.0,29.0,44.0,3.0,73.0,1.0,7.0,,4.0,4.0,145.0,,7.0,102.0,607.0,6.0,9.0,,24.0,16.0,9.0,5.0,0.0,1.0,6.0,23.0,60.0,,9493,2.0,157.0,,3.0,,1.0,171.0,5.0,44.0,,,2.0,5.0,15.0,3.0,4.0,,51.0,346.0,7.0,3.0,3.0,19.0,74.0,1.0,0.0,,2.0,2.0,5.0,,0.0,,1.0,38.1,16.0,1.0,2.0,,5.0,4.0,40.0,6.0,2.0,430.0,17.0,,12.0,20.0,7.0,25.0,2.0,271.0,5.0,1.0,7.0,86.0,28.0,4.0,17.0,11.0,3.0,19.0,6.0,,,,1.0,3.0,,,2.0,,,2.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,
30,360763,2012-03-26 20:00:00,"Old Trafford, Manchester",75570,Away,Fulham,Manchester United,0,1,L,0,1,0,0,,69.0,3.0,30.0,30.0,4.0,2.0,2.0,159.0,1.0,6.0,1.0,7.0,2.0,101.0,151.0,51.0,,7.0,1.0,10.0,,1.0,,8.0,16.0,16.0,1.0,2.0,35.0,172.0,,,0.0,99.0,6.0,3.0,2.0,34.0,57.0,6.0,110.0,,7.0,,1.0,1.0,137.0,,14.0,117.0,680.0,7.0,7.0,,25.0,29.0,8.0,8.0,0.0,9.0,1.0,15.0,46.0,,9493,1.0,221.0,,3.0,,,244.0,5.0,43.0,,1.0,,5.0,14.0,7.0,2.0,,62.0,392.0,17.0,12.0,,28.0,87.0,1.0,0.0,,7.0,6.0,1.0,,0.0,1.0,,40.5,12.0,,1.0,,5.0,4.0,44.0,1.0,2.0,487.0,18.0,,10.0,14.0,1.0,13.0,,251.0,5.0,2.0,6.0,61.0,22.0,4.0,22.0,7.0,2.0,11.0,1.0,,2.0,,1.0,2.0,2.0,1.0,6.0,,,1.0,1.0,2.0,,5.0,1.0,1.0,5.0,,,,,,,,,,,1.0,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
31,360772,2012-03-31 15:00:00,"Craven Cottage, London",25700,Home,Fulham,Norwich City,2,1,W,2,0,0,0,5.0,61.0,2.0,28.0,41.0,3.0,7.0,1.0,145.0,3.0,4.0,2.0,11.0,8.0,106.0,161.0,45.0,,15.0,1.0,4.0,4.0,2.0,1.0,12.0,15.0,22.0,3.0,2.0,38.0,167.0,1.0,,0.0,117.0,12.0,2.0,5.0,42.0,49.0,7.0,69.0,,9.0,,1.0,,142.0,1.0,9.0,85.0,598.0,9.0,12.0,,16.0,29.0,6.0,20.0,1.0,4.0,4.0,14.0,50.0,2.0,9493,8.0,143.0,1.0,6.0,,3.0,165.0,15.0,33.0,1.0,3.0,3.0,8.0,6.0,7.0,10.0,2.0,58.0,307.0,9.0,2.0,1.0,28.0,79.0,1.0,0.0,,7.0,1.0,2.0,,0.0,3.0,2.0,38.1,9.0,2.0,1.0,,8.0,3.0,39.0,6.0,5.0,405.0,11.0,,9.0,14.0,4.0,22.0,3.0,252.0,5.0,2.0,13.0,74.0,16.0,11.0,19.0,12.0,3.0,11.0,6.0,1.0,2.0,,,2.0,2.0,2.0,,,,1.0,1.0,1.0,,5.0,1.0,,5.0,,,2.0,,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,2.0,,1.0,1.0,,,,2.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,
32,360780,2012-04-07 15:00:00,"University of Bolton Stadium, Bolton",21939,Away,Fulham,Bolton Wanderers,3,0,W,2,0,0,0,2.0,59.0,1.0,21.0,43.0,4.0,6.0,1.0,144.0,3.0,9.0,1.0,9.0,6.0,105.0,154.0,49.0,1.0,11.0,1.0,15.0,2.0,,1.0,10.0,13.0,17.0,2.0,8.0,30.0,160.0,,1.0,0.0,101.0,10.0,,3.0,35.0,59.0,6.0,74.0,1.0,8.0,1.0,2.0,1.0,128.0,4.0,8.0,105.0,627.0,7.0,8.0,,20.0,28.0,,29.0,0.0,3.0,3.0,19.0,58.0,1.0,9493,4.0,188.0,2.0,6.0,,,207.0,11.0,38.0,,3.0,4.0,7.0,10.0,4.0,5.0,,53.0,345.0,12.0,4.0,,20.0,84.0,,0.0,2.0,5.0,,2.0,,0.0,2.0,1.0,47.6,15.0,,,,7.0,2.0,39.0,3.0,4.0,428.0,13.0,,9.0,10.0,3.0,12.0,2.0,231.0,4.0,8.0,11.0,62.0,19.0,12.0,17.0,10.0,3.0,12.0,3.0,3.0,1.0,,2.0,1.0,1.0,2.0,2.0,,1.0,,,,1.0,4.0,,,4.0,,,3.0,1.0,,,,2.0,2.0,2.0,,2.0,1.0,,,,2.0,,1.0,,,,2.0,2.0,1.0,,,,,,2.0,,,,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,1.0,,
33,360792,2012-04-09 20:00:00,"Craven Cottage, London",25697,Home,Fulham,Chelsea,1,1,D,0,1,0,0,2.0,58.0,1.0,27.0,33.0,4.0,4.0,2.0,156.0,5.0,4.0,4.0,8.0,7.0,123.0,138.0,52.0,,10.0,1.0,6.0,4.0,1.0,3.0,22.0,20.0,17.0,6.0,6.0,38.0,186.0,,,0.0,112.0,6.0,1.0,,46.0,50.0,7.0,73.0,1.0,16.0,,3.0,1.0,122.0,1.0,6.0,119.0,659.0,4.0,4.0,2.0,20.0,28.0,4.0,22.0,1.0,4.0,1.0,10.0,58.0,1.0,9493,4.0,223.0,1.0,12.0,,1.0,232.0,8.0,30.0,,1.0,4.0,1.0,11.0,9.0,5.0,,41.0,404.0,16.0,3.0,3.0,10.0,79.0,,0.0,,11.0,1.0,,,0.0,2.0,3.0,46.6,6.0,,,,1.0,2.0,45.0,7.0,,471.0,17.0,,9.0,20.0,1.0,14.0,,261.0,3.0,6.0,7.0,73.0,21.0,11.0,25.0,6.0,3.0,11.0,7.0,1.0,1.0,,,2.0,,1.0,2.0,,,2.0,1.0,2.0,3.0,5.0,1.0,,5.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
34,360802,2012-05-01 19:45:00,"Anfield, Liverpool",40106,Away,Fulham,Liverpool,1,0,W,1,0,0,0,2.0,55.0,,29.0,28.0,5.0,6.0,2.0,145.0,3.0,7.0,2.0,8.0,4.0,79.0,140.0,43.0,1.0,10.0,2.0,20.0,4.0,,1.0,8.0,11.0,17.0,3.0,3.0,35.0,125.0,,1.0,0.0,82.0,8.0,,,32.0,48.0,5.0,79.0,3.0,5.0,1.0,1.0,2.0,129.0,1.0,11.0,89.0,590.0,7.0,9.0,,17.0,24.0,10.0,9.0,0.0,3.0,3.0,18.0,42.0,2.0,9493,4.0,197.0,1.0,4.0,,,212.0,17.0,53.0,,4.0,,5.0,16.0,10.0,8.0,,53.0,319.0,11.0,4.0,1.0,32.0,97.0,1.0,0.0,,5.0,2.0,3.0,,0.0,2.0,1.0,40.5,14.0,1.0,1.0,,5.0,2.0,48.0,4.0,1.0,392.0,14.0,1.0,15.0,16.0,4.0,10.0,1.0,188.0,3.0,2.0,9.0,49.0,19.0,7.0,16.0,8.0,3.0,14.0,4.0,1.0,2.0,,,,1.0,1.0,1.0,,,2.0,,1.0,1.0,4.0,,,4.0,,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
35,360813,2012-04-21 15:00:00,"Craven Cottage, London",25689,Home,Fulham,Wigan Athletic,2,1,W,0,0,0,0,2.0,50.0,1.0,26.0,11.0,6.0,10.0,,160.0,3.0,3.0,6.0,12.0,4.0,121.0,129.0,38.0,1.0,14.0,3.0,4.0,1.0,1.0,,22.0,10.0,7.0,2.0,9.0,28.0,269.0,,,0.0,154.0,11.0,2.0,,42.0,49.0,7.0,81.0,,20.0,1.0,5.0,1.0,125.0,1.0,5.0,130.0,669.0,7.0,3.0,,18.0,19.0,2.0,6.0,1.0,1.0,5.0,19.0,71.0,,81025,5.0,163.0,2.0,13.0,,2.0,179.0,10.0,35.0,,1.0,2.0,14.0,13.0,5.0,7.0,,43.0,429.0,16.0,4.0,3.0,12.0,71.0,,0.0,2.0,,2.0,1.0,,0.0,2.0,2.0,51.2,13.0,1.0,1.0,,14.0,4.0,50.0,4.0,,492.0,10.0,,11.0,15.0,6.0,19.0,3.0,335.0,2.0,9.0,4.0,120.0,15.0,4.0,15.0,10.0,1.0,8.0,4.0,,1.0,,2.0,1.0,1.0,,1.0,,,2.0,1.0,2.0,1.0,2.0,,,2.0,1.0,1.0,2.0,,,,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,1.0
36,360820,2012-04-28 15:00:00,"Goodison Park, Liverpool",31885,Away,Fulham,Everton,0,4,L,0,3,0,0,1.0,46.0,1.0,34.0,13.0,3.0,3.0,1.0,150.0,2.0,8.0,2.0,4.0,2.0,164.0,127.0,37.0,,6.0,2.0,3.0,2.0,,,12.0,8.0,9.0,4.0,6.0,29.0,237.0,,,0.0,121.0,10.0,,,49.0,72.0,3.0,98.0,,8.0,,1.0,1.0,123.0,,6.0,145.0,705.0,4.0,3.0,,23.0,24.0,7.0,6.0,1.0,2.0,1.0,12.0,60.0,,81025,2.0,248.0,,7.0,,,265.0,6.0,40.0,,2.0,2.0,6.0,7.0,6.0,1.0,1.0,53.0,483.0,13.0,4.0,,21.0,87.0,,0.0,,3.0,1.0,,,0.0,2.0,,47.6,11.0,,1.0,2.0,6.0,3.0,54.0,4.0,,557.0,17.0,,11.0,14.0,1.0,10.0,,304.0,3.0,6.0,4.0,86.0,16.0,5.0,12.0,6.0,3.0,21.0,5.0,1.0,2.0,,,,3.0,,2.0,,,,4.0,,,6.0,4.0,,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
37,360833,2012-05-06 14:00:00,"Craven Cottage, London",25683,Home,Fulham,Sunderland,2,1,W,2,1,0,0,4.0,63.0,4.0,28.0,16.0,8.0,10.0,2.0,175.0,2.0,9.0,5.0,16.0,8.0,163.0,120.0,47.0,4.0,22.0,4.0,4.0,6.0,6.0,1.0,15.0,14.0,15.0,3.0,19.0,41.0,231.0,2.0,,0.0,133.0,8.0,1.0,1.0,60.0,46.0,10.0,121.0,1.0,12.0,4.0,3.0,2.0,119.0,1.0,6.0,162.0,783.0,11.0,2.0,,12.0,25.0,2.0,9.0,0.0,2.0,6.0,15.0,58.0,,9493,7.0,316.0,1.0,8.0,,2.0,331.0,6.0,37.0,,,,4.0,4.0,7.0,3.0,2.0,53.0,545.0,13.0,6.0,4.0,17.0,94.0,,0.0,2.0,2.0,3.0,,,0.0,1.0,1.0,56.8,13.0,1.0,,1.0,4.0,8.0,57.0,8.0,1.0,621.0,9.0,1.0,12.0,24.0,6.0,23.0,4.0,305.0,11.0,19.0,8.0,97.0,26.0,9.0,17.0,12.0,2.0,16.0,8.0,,2.0,,,,,1.0,,,,2.0,1.0,3.0,1.0,1.0,,,1.0,,,2.0,1.0,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,,2.0,,2.0,1.0,,2.0,1.0,,,,,,2.0,,,,,,,,,,,,1.0,,
38,360846,2012-05-13 15:00:00,"White Hart Lane, London",36256,Away,Fulham,Tottenham Hotspur,0,2,L,0,1,0,0,3.0,61.0,,21.0,14.0,8.0,6.0,2.0,135.0,3.0,4.0,,9.0,5.0,138.0,123.0,32.0,,11.0,2.0,8.0,2.0,2.0,,13.0,13.0,8.0,2.0,3.0,26.0,214.0,,,0.0,94.0,12.0,,,62.0,76.0,5.0,95.0,,11.0,,3.0,2.0,117.0,,10.0,141.0,668.0,8.0,3.0,,19.0,19.0,4.0,7.0,2.0,4.0,4.0,12.0,44.0,,9493,1.0,228.0,,8.0,,,246.0,9.0,50.0,,,3.0,10.0,5.0,7.0,6.0,1.0,40.0,439.0,9.0,6.0,1.0,12.0,81.0,,0.0,,9.0,3.0,1.0,,0.0,2.0,,49.0,11.0,,,2.0,10.0,2.0,52.0,3.0,,509.0,16.0,,17.0,11.0,4.0,8.0,1.0,276.0,5.0,3.0,3.0,68.0,27.0,3.0,16.0,9.0,1.0,12.0,3.0,1.0,1.0,,2.0,3.0,,1.0,1.0,,,2.0,2.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
