gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,secondYellow,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attIboxBlocked,attCmissRight,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,attOboxGoal,freekickCross,attMissRight,attOboxMiss,bigChanceCreated,contentiousDecision,attHdTarget,offtargetAttAssist,accurateFreekickCross,errorLeadToShot,attBxCentre,bigChanceMissed,attSetpiece,attRfGoal,accurateKeeperThrows,goalsOpenplay,attSvLowRight,possWonAtt3rd,keeperThrows,shotOffTarget,attIboxMiss,forwardGoals,errorLeadToGoal,bigChanceScored,attGoalLowRight,attLfGoal,attRfTarget,shotFastbreak,attGoalHighRight,attOneOnOne,attMissHighRight,totalFastbreak,midfielderGoals,hitWoodwork,accurateThroughBall,totalThroughBall,attMissHigh,attFastbreak,attBxLeft,penaltySave,accuratePullBack,postScoringAtt,attIboxPost,cleanSheet,attHdPost,penaltyConceded,totalPullBack,attCmissHigh,attAssistSetplay,attCmissLeft,attPostHigh,attHdMiss,penaltyFaced,attGoalLowCentre,penaltyWon,attPenGoal,clearanceOffLine,penGoalsConceded,attMissHighLeft,sixYardBlock,punches,foulThrowIn,attSvHighCentre,attFreekickTotal,attSvHighLeft,freekickTotal,attFreekickMiss,attSvHighRight,attPostLeft,attFreekickGoal,attOboxPost,attGoalHighCentre,attCmissHighRight,attemptsIbox,ptsGainedLosingPos,attemptsObox,touchesInOppBox,attCorner,attCmissHighLeft,attObxLeft,attPostRight,attGoalHighLeft,attFreekickTarget,attPenTarget
28,755577,2015-03-03 19:45:00,"St. Mary's Stadium, Southampton",28351,Away,Crystal Palace,Southampton,0,1,L,0,0,0,0,,1.0,61.0,,1.0,,,28.0,47.0,3.0,4.0,2.0,159.0,4.0,10.0,,1.0,6.0,3.0,51.0,170.0,69.0,9.0,1.0,27.0,3.0,24.0,17.0,1.0,47.0,2.0,13.0,25.0,131.0,0.0,105.0,10.0,1.0,1.0,2.0,58.0,45.0,3.0,33.0,,22.0,28.0,5.0,,170.0,12.0,54.0,550.0,,6.0,18.0,15.0,177.0,34.0,13.0,22.0,,3.0,2.0,8.0,32.0,264.0,55.0,82403,68.0,16.0,98.0,3.0,28.0,14.0,77.0,,,20.0,11.0,7.0,71.0,195.0,10.0,15.0,35.0,74.0,0.0,,10.0,1.0,,1.0,9.0,0.0,3.0,,,2.0,37.8,29.0,1.0,37.0,2.0,2.0,297.0,15.0,10.0,10.0,13.0,1.0,223.0,3.0,12.0,26.0,69.0,18.0,6.0,22.0,23.0,,1.0,8.0,1.0,25.0,6.0,14.0,2.0,,,1.0,2.0,3.0,,2.0,2.0,,1.0,1.0,1.0,,,,3.0,,,3.0,,,,,,,2.0,,5.0,3.0,,1.0,,,,2.0,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
29,755586,2015-03-14 12:45:00,"Selhurst Park, London",24886,Home,Crystal Palace,Queens Park Rangers,3,1,W,3,0,0,0,,,70.0,1.0,1.0,,,28.0,46.0,3.0,4.0,3.0,144.0,6.0,6.0,3.0,3.0,11.0,4.0,46.0,167.0,68.0,15.0,,25.0,2.0,26.0,20.0,1.0,46.0,6.0,11.0,28.0,137.0,0.0,118.0,17.0,1.0,,2.0,50.0,79.0,7.0,35.0,,20.0,26.0,3.0,,167.0,4.0,57.0,529.0,,5.0,13.0,7.0,181.0,24.0,9.0,31.0,3.0,2.0,1.0,2.0,33.0,258.0,63.0,82403,61.0,15.0,76.0,9.0,26.0,5.0,68.0,1.0,5.0,22.0,7.0,2.0,61.0,192.0,14.0,11.0,29.0,78.0,0.0,1.0,3.0,2.0,3.0,1.0,6.0,0.0,3.0,3.0,,4.0,43.5,22.0,4.0,33.0,6.0,3.0,282.0,7.0,7.0,14.0,12.0,3.0,232.0,7.0,8.0,27.0,78.0,36.0,3.0,31.0,22.0,,,7.0,3.0,17.0,3.0,10.0,7.0,1.0,4.0,,,1.0,3.0,1.0,3.0,,2.0,1.0,2.0,2.0,1.0,,4.0,,,4.0,,1.0,2.0,1.0,3.0,,2.0,1.0,7.0,5.0,1.0,,2.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,,3.0,,,,,,,,,,3.0,1.0,,4.0,,1.0,,,,,2.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,
30,755600,2015-03-21 15:00:00,"bet365 Stadium, Stoke",27532,Away,Crystal Palace,Stoke City,2,1,W,2,1,0,0,,1.0,62.0,,1.0,,,26.0,35.0,3.0,4.0,3.0,160.0,5.0,7.0,2.0,4.0,10.0,3.0,69.0,153.0,60.0,12.0,1.0,32.0,,16.0,11.0,,35.0,3.0,2.0,35.0,120.0,0.0,103.0,14.0,2.0,,4.0,60.0,33.0,5.0,47.0,1.0,13.0,17.0,,,153.0,10.0,55.0,522.0,,7.0,10.0,8.0,208.0,28.0,4.0,20.0,1.0,,4.0,3.0,19.0,295.0,54.0,82403,110.0,11.0,139.0,2.0,17.0,14.0,69.0,,,14.0,7.0,5.0,74.0,225.0,15.0,10.0,14.0,78.0,0.0,2.0,8.0,2.0,2.0,1.0,4.0,0.0,3.0,1.0,,1.0,43.1,15.0,3.0,35.0,4.0,6.0,331.0,8.0,12.0,9.0,14.0,2.0,208.0,7.0,2.0,23.0,60.0,22.0,2.0,20.0,15.0,,1.0,8.0,3.0,11.0,2.0,7.0,4.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,,,5.0,,,6.0,1.0,,2.0,2.0,1.0,,2.0,2.0,6.0,4.0,1.0,,2.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,2.0,,,1.0,,,1.0,1.0,,,1.0,,2.0,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,
31,755606,2015-04-06 20:00:00,"Selhurst Park, London",24718,Home,Crystal Palace,Manchester City,2,1,W,1,0,0,0,2.0,1.0,61.0,,1.0,,,29.0,34.0,1.0,2.0,3.0,123.0,2.0,8.0,2.0,1.0,3.0,3.0,36.0,136.0,69.0,5.0,,14.0,2.0,8.0,16.0,,34.0,4.0,7.0,20.0,85.0,0.0,66.0,11.0,2.0,,1.0,15.0,35.0,2.0,30.0,4.0,4.0,25.0,1.0,,136.0,9.0,49.0,448.0,,2.0,20.0,11.0,136.0,35.0,9.0,15.0,,3.0,2.0,8.0,20.0,208.0,46.0,82403,71.0,3.0,88.0,4.0,25.0,13.0,60.0,,2.0,13.0,13.0,9.0,65.0,154.0,10.0,15.0,30.0,79.0,0.0,1.0,13.0,2.0,1.0,1.0,5.0,0.0,1.0,,,,25.9,13.0,1.0,41.0,4.0,1.0,238.0,11.0,5.0,12.0,13.0,1.0,158.0,2.0,6.0,27.0,32.0,20.0,4.0,15.0,24.0,,,1.0,3.0,26.0,4.0,20.0,4.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,2.0,,,1.0,,1.0,2.0,2.0,,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,
32,755618,2015-04-11 15:00:00,"Stadium of Light, Sunderland",42073,Away,Crystal Palace,Sunderland,4,1,W,0,0,0,0,1.0,,73.0,1.0,,,,30.0,22.0,4.0,2.0,2.0,169.0,2.0,21.0,4.0,4.0,8.0,5.0,57.0,160.0,64.0,14.0,2.0,16.0,2.0,10.0,14.0,,22.0,2.0,14.0,41.0,136.0,0.0,116.0,17.0,1.0,,,54.0,46.0,8.0,63.0,5.0,8.0,13.0,1.0,,160.0,7.0,66.0,569.0,,4.0,16.0,24.0,228.0,25.0,6.0,10.0,3.0,2.0,2.0,4.0,25.0,325.0,67.0,82403,115.0,7.0,136.0,6.0,13.0,8.0,70.0,,,8.0,5.0,6.0,67.0,249.0,15.0,10.0,26.0,81.0,0.0,4.0,8.0,2.0,4.0,1.0,5.0,0.0,1.0,3.0,1.0,1.0,46.3,19.0,6.0,41.0,4.0,,355.0,24.0,14.0,17.0,17.0,1.0,229.0,11.0,12.0,12.0,61.0,38.0,,10.0,17.0,1.0,1.0,12.0,3.0,35.0,,7.0,5.0,,4.0,,1.0,3.0,3.0,,2.0,,,,2.0,3.0,1.0,,,,,4.0,,1.0,3.0,3.0,4.0,,3.0,3.0,3.0,1.0,4.0,,4.0,2.0,,1.0,1.0,,2.0,1.0,2.0,,,1.0,1.0,,1.0,1.0,,,,,,,,3.0,,1.0,1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
33,755626,2015-04-18 15:00:00,"Selhurst Park, London",24765,Home,Crystal Palace,West Bromwich Albion,0,2,L,0,1,0,0,,1.0,67.0,,,,,23.0,29.0,6.0,5.0,1.0,178.0,7.0,13.0,,5.0,15.0,4.0,108.0,162.0,67.0,19.0,1.0,22.0,,37.0,19.0,1.0,29.0,2.0,12.0,47.0,221.0,0.0,158.0,17.0,1.0,1.0,1.0,87.0,61.0,8.0,58.0,4.0,35.0,7.0,16.0,,162.0,4.0,116.0,705.0,,13.0,7.0,15.0,348.0,27.0,2.0,20.0,,,3.0,2.0,29.0,431.0,79.0,82403,159.0,18.0,173.0,7.0,7.0,2.0,66.0,,1.0,15.0,4.0,2.0,65.0,373.0,17.0,6.0,16.0,76.0,0.0,3.0,6.0,2.0,,2.0,4.0,0.0,7.0,,,3.0,68.1,27.0,5.0,47.0,7.0,1.0,460.0,15.0,7.0,15.0,42.0,,324.0,11.0,11.0,16.0,100.0,33.0,4.0,20.0,21.0,,1.0,14.0,3.0,30.0,4.0,2.0,7.0,1.0,4.0,,3.0,2.0,,1.0,,,1.0,2.0,4.0,2.0,1.0,1.0,7.0,1.0,1.0,6.0,2.0,4.0,,4.0,,1.0,2.0,4.0,10.0,5.0,,1.0,,,,2.0,,,,2.0,,,1.0,,,3.0,,2.0,,,1.0,1.0,,1.0,,1.0,,2.0,,1.0,1.0,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
34,755635,2015-04-25 15:00:00,"Selhurst Park, London",23876,Home,Crystal Palace,Hull City,0,2,L,0,0,0,0,1.0,1.0,57.0,,2.0,,,29.0,32.0,2.0,3.0,5.0,155.0,3.0,10.0,,2.0,3.0,3.0,68.0,145.0,67.0,7.0,,26.0,3.0,21.0,13.0,,32.0,,13.0,24.0,148.0,0.0,128.0,15.0,3.0,,1.0,53.0,47.0,2.0,63.0,4.0,21.0,13.0,6.0,,145.0,10.0,65.0,565.0,,3.0,14.0,16.0,244.0,17.0,8.0,23.0,,3.0,0.0,4.0,24.0,322.0,60.0,82403,116.0,14.0,125.0,9.0,13.0,13.0,64.0,,5.0,13.0,11.0,6.0,76.0,261.0,10.0,8.0,33.0,92.0,0.0,1.0,9.0,3.0,,2.0,4.0,0.0,3.0,,1.0,1.0,46.5,23.0,1.0,41.0,,1.0,351.0,16.0,8.0,13.0,22.0,,247.0,3.0,10.0,30.0,81.0,26.0,4.0,23.0,18.0,,2.0,6.0,3.0,19.0,4.0,8.0,,,1.0,,3.0,,,3.0,1.0,,1.0,1.0,2.0,,,1.0,1.0,,,2.0,1.0,1.0,,6.0,,,4.0,6.0,3.0,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
35,755644,2015-05-03 13:30:00,"Stamford Bridge, London",41566,Away,Crystal Palace,Chelsea,0,1,L,0,1,0,0,,,68.0,,2.0,,,21.0,27.0,3.0,3.0,6.0,152.0,5.0,14.0,,1.0,5.0,1.0,58.0,164.0,69.0,8.0,,31.0,3.0,25.0,16.0,,27.0,6.0,14.0,30.0,127.0,0.0,108.0,13.0,1.0,,2.0,65.0,50.0,3.0,53.0,2.0,19.0,18.0,5.0,,164.0,9.0,59.0,546.0,,5.0,6.0,14.0,207.0,30.0,8.0,15.0,,3.0,2.0,2.0,20.0,294.0,54.0,82403,100.0,13.0,121.0,8.0,18.0,8.0,82.0,,2.0,8.0,8.0,1.0,67.0,222.0,12.0,14.0,23.0,73.0,0.0,8.0,3.0,4.0,,1.0,2.0,0.0,4.0,,,,38.3,18.0,3.0,33.0,6.0,2.0,322.0,14.0,11.0,10.0,18.0,1.0,226.0,4.0,14.0,17.0,62.0,23.0,,15.0,26.0,,1.0,4.0,3.0,27.0,,11.0,6.0,,3.0,1.0,1.0,1.0,,1.0,,,1.0,4.0,3.0,,2.0,,2.0,,1.0,2.0,,2.0,,5.0,,,2.0,5.0,4.0,1.0,,,,,,1.0,,,,,,,,1.0,2.0,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
36,755656,2015-05-09 17:30:00,"Selhurst Park, London",25009,Home,Crystal Palace,Manchester United,1,2,L,0,1,0,0,1.0,,52.0,1.0,1.0,,,23.0,18.0,2.0,5.0,2.0,135.0,9.0,10.0,1.0,4.0,11.0,4.0,40.0,155.0,51.0,13.0,,20.0,1.0,32.0,7.0,,18.0,6.0,8.0,41.0,122.0,0.0,108.0,13.0,1.0,,3.0,35.0,46.0,6.0,39.0,,26.0,12.0,8.0,,155.0,11.0,53.0,462.0,,10.0,13.0,11.0,170.0,15.0,6.0,9.0,,1.0,0.0,5.0,20.0,243.0,56.0,82403,68.0,18.0,82.0,6.0,12.0,6.0,63.0,,4.0,13.0,2.0,2.0,63.0,181.0,11.0,6.0,28.0,67.0,0.0,1.0,6.0,1.0,,2.0,6.0,0.0,6.0,,,1.0,37.5,18.0,3.0,26.0,7.0,3.0,267.0,11.0,14.0,23.0,26.0,3.0,217.0,6.0,8.0,21.0,70.0,27.0,2.0,9.0,9.0,,2.0,8.0,3.0,22.0,2.0,7.0,7.0,,3.0,1.0,3.0,2.0,,2.0,3.0,1.0,,2.0,1.0,1.0,2.0,,5.0,,,6.0,1.0,,,2.0,,1.0,3.0,2.0,6.0,5.0,,1.0,,,1.0,3.0,,,1.0,,,,,,1.0,,,2.0,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,
37,755664,2015-05-16 17:30:00,"Anfield, Liverpool",44673,Away,Crystal Palace,Liverpool,3,1,W,1,1,0,0,,2.0,61.0,1.0,1.0,,,21.0,26.0,4.0,9.0,2.0,138.0,2.0,16.0,3.0,5.0,8.0,6.0,52.0,141.0,60.0,15.0,1.0,15.0,1.0,18.0,15.0,1.0,26.0,5.0,4.0,21.0,109.0,0.0,99.0,17.0,1.0,1.0,2.0,41.0,46.0,4.0,39.0,8.0,13.0,13.0,1.0,,141.0,7.0,62.0,510.0,,8.0,5.0,25.0,202.0,31.0,7.0,18.0,,1.0,3.0,5.0,21.0,267.0,53.0,82403,104.0,10.0,124.0,9.0,13.0,11.0,66.0,,3.0,14.0,11.0,5.0,59.0,211.0,10.0,14.0,27.0,62.0,0.0,3.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,,,,33.7,16.0,3.0,25.0,5.0,2.0,291.0,25.0,10.0,14.0,25.0,1.0,185.0,6.0,4.0,15.0,62.0,21.0,1.0,18.0,20.0,,1.0,10.0,3.0,26.0,1.0,6.0,5.0,,2.0,,2.0,2.0,,1.0,1.0,1.0,2.0,,1.0,,1.0,,4.0,,,5.0,1.0,2.0,1.0,2.0,,1.0,2.0,2.0,6.0,4.0,,1.0,2.0,1.0,2.0,1.0,,,,1.0,,1.0,1.0,,,2.0,,3.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0
38,755676,2015-05-24 15:00:00,"Selhurst Park, London",25076,Home,Crystal Palace,Swansea City,1,0,W,0,0,0,0,1.0,2.0,67.0,,1.0,1.0,,28.0,23.0,6.0,4.0,2.0,165.0,4.0,11.0,1.0,4.0,10.0,7.0,64.0,148.0,61.0,13.0,3.0,17.0,,30.0,15.0,2.0,23.0,6.0,11.0,34.0,165.0,0.0,151.0,22.0,,1.0,3.0,63.0,47.0,8.0,50.0,,24.0,13.0,3.0,,148.0,2.0,63.0,566.0,,8.0,9.0,14.0,252.0,26.0,8.0,8.0,1.0,,3.0,2.0,29.0,323.0,76.0,82403,102.0,20.0,110.0,11.0,13.0,2.0,71.0,,2.0,14.0,3.0,,66.0,263.0,13.0,10.0,27.0,82.0,0.0,,3.0,1.0,1.0,,4.0,0.0,3.0,1.0,,2.0,47.4,25.0,4.0,39.0,7.0,3.0,342.0,14.0,7.0,17.0,39.0,1.0,262.0,7.0,11.0,18.0,101.0,24.0,2.0,8.0,20.0,,,10.0,3.0,27.0,2.0,10.0,7.0,,1.0,,4.0,2.0,,,1.0,,1.0,,1.0,1.0,,2.0,2.0,,,3.0,,2.0,,3.0,,4.0,8.0,3.0,2.0,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,,,1.0,,2.0,,,,,1.0,,,2.0,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
