gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,ownGoals,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,shotFastbreak,accurateKeeperSweeper,attMissHighRight,totalFastbreak,attSvHighLeft,totalKeeperSweeper,outfielderBlock,accurateFreekickCross,attSetpiece,totalPullBack,totalOffside,attFastbreak,accurateFlickOn,attCmissHighRight,shieldBallOop,errorLeadToGoal,goalsConcededObox,errorLeadToShot,attCmissHigh,attSvLowRight,attOneOnOne,sixYardBlock,handBall,attMissHighLeft,attCmissHighLeft,hitWoodwork,accurateThroughBall,totalThroughBall,punches,contentiousDecision,bigChanceScored,attGoalLowRight,goals,goalAssistOpenplay,attSvHighRight,goalAssist,attRfGoal,goalsOpenplay,attIboxGoal,attSvHighCentre,forwardGoals,attGoalLowLeft,postScoringAtt,penaltyWon,ptsGainedLosingPos,midfielderGoals,attPostLeft,attPenGoal,attOboxPost,penaltyConceded,goalAssistIntentional,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attGoalLowCentre,defenderGoals,cleanSheet,clearanceOffLine,goalAssistSetplay,attLfGoal,attPenTarget,attGoalHighRight,attCorner,goalFastbreak,attOboxGoal,attGoalHighLeft,attHdGoal,foulThrowIn,goalAssistDeadball,attGoalHighCentre,attObxRight,attIboxPost,attObxdLeft,attFreekickGoal,attFreekickPost,attHdPost,attPostHigh,attPostRight,attObxdRight
27,919154,2018-02-10 15:00:00,"Goodison Park, Liverpool",39139,Away,Crystal Palace,Everton,1,3,L,0,0,0,0,1.0,61.0,1.0,5.0,20.0,37.0,6.0,6.0,9.0,2.0,1.0,130.0,5.0,15.0,1.0,12.0,1.0,4.0,93.0,138.0,64.0,,16.0,2.0,14.0,1.0,1.0,,2.0,21.0,4.0,2.0,37.0,7.0,10.0,34.0,151.0,0.0,124.0,15.0,2.0,1.0,,1.0,60.0,45.0,9.0,45.0,2.0,1.0,14.0,22.0,7.0,,7.0,3.0,138.0,1.0,5.0,77.0,574.0,12.0,11.0,24.0,1.0,16.0,249.0,33.0,9.0,20.0,1.0,3.0,28.0,321.0,52.0,79228,8.0,119.0,1.0,7.0,141.0,5.0,22.0,3.0,66.0,,2.0,19.0,6.0,1.0,2.0,53.0,265.0,12.0,21.0,,28.0,63.0,1.0,0.0,,2.0,8.0,1.0,3.0,0.0,3.0,3.0,47.1,24.0,2.0,2.0,,2.0,7.0,31.0,7.0,1.0,345.0,16.0,,10.0,17.0,5.0,28.0,2.0,2.0,225.0,6.0,9.0,27.0,87.0,20.0,,,20.0,10.0,2.0,10.0,,21.0,,12.0,7.0,,,2.0,,,1.0,2.0,4.0,,2.0,,1.0,,3.0,,,,1.0,,,,,2.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
28,919167,2018-02-25 12:00:00,"Selhurst Park, London",25287,Home,Crystal Palace,Tottenham Hotspur,0,1,L,0,0,0,0,1.0,66.0,,1.0,21.0,41.0,1.0,3.0,4.0,4.0,,103.0,1.0,5.0,1.0,4.0,,3.0,45.0,141.0,62.0,,5.0,,14.0,2.0,,2.0,1.0,10.0,20.0,1.0,41.0,3.0,3.0,16.0,60.0,0.0,65.0,12.0,4.0,,1.0,1.0,29.0,19.0,4.0,21.0,5.0,,7.0,25.0,1.0,,2.0,,141.0,,9.0,36.0,428.0,3.0,16.0,11.0,2.0,24.0,104.0,41.0,5.0,20.0,0.0,,30.0,183.0,40.0,79228,2.0,60.0,,4.0,85.0,9.0,25.0,11.0,45.0,,2.0,18.0,5.0,8.0,,59.0,119.0,5.0,7.0,1.0,32.0,54.0,,0.0,,2.0,13.0,3.0,1.0,0.0,,2.0,23.8,21.0,,2.0,2.0,2.0,1.0,24.0,3.0,1.0,205.0,24.0,,11.0,9.0,1.0,20.0,1.0,1.0,130.0,,2.0,24.0,34.0,15.0,3.0,,20.0,28.0,1.0,3.0,2.0,8.0,3.0,19.0,3.0,,1.0,,,1.0,,,4.0,,1.0,,,1.0,4.0,,,,,2.0,,,,,2.0,,,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
29,919175,2018-03-05 20:00:00,"Selhurst Park, London",25840,Home,Crystal Palace,Manchester United,2,3,L,1,0,0,0,1.0,72.0,2.0,,19.0,41.0,4.0,5.0,6.0,4.0,,146.0,5.0,15.0,3.0,8.0,,4.0,62.0,143.0,64.0,,10.0,1.0,22.0,2.0,1.0,,,20.0,9.0,,41.0,3.0,7.0,21.0,118.0,0.0,114.0,10.0,2.0,1.0,2.0,,44.0,58.0,4.0,34.0,1.0,3.0,17.0,18.0,4.0,,4.0,2.0,143.0,1.0,8.0,36.0,494.0,6.0,13.0,18.0,1.0,18.0,172.0,31.0,6.0,19.0,1.0,4.0,15.0,251.0,59.0,86417,4.0,72.0,,11.0,95.0,5.0,18.0,9.0,56.0,,,19.0,9.0,2.0,2.0,64.0,185.0,8.0,16.0,,35.0,64.0,,0.0,,,7.0,3.0,3.0,0.0,3.0,3.0,30.5,10.0,2.0,3.0,1.0,,1.0,27.0,3.0,1.0,278.0,18.0,,7.0,9.0,5.0,22.0,2.0,3.0,203.0,2.0,6.0,24.0,61.0,31.0,1.0,,19.0,19.0,2.0,8.0,1.0,17.0,1.0,9.0,3.0,,,,,,,,7.0,,1.0,,2.0,,3.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,2.0,1.0,,2.0,,1.0,1.0,,,,,,,1.0,,,,,2.0,,,3.0,,1.0,,1.0,1.0,2.0,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,
30,919185,2018-03-10 17:30:00,"Stamford Bridge, London",40800,Away,Crystal Palace,Chelsea,1,2,L,0,2,0,0,1.0,57.0,4.0,,24.0,34.0,3.0,6.0,5.0,7.0,,129.0,5.0,12.0,4.0,6.0,,2.0,94.0,129.0,54.0,1.0,9.0,2.0,18.0,,,,,18.0,13.0,1.0,34.0,3.0,10.0,22.0,168.0,0.0,120.0,9.0,5.0,,3.0,,61.0,54.0,2.0,57.0,,2.0,15.0,26.0,4.0,1.0,3.0,1.0,129.0,2.0,16.0,81.0,578.0,5.0,12.0,24.0,,9.0,276.0,23.0,4.0,10.0,2.0,4.0,15.0,339.0,46.0,86417,4.0,125.0,1.0,9.0,145.0,7.0,26.0,12.0,63.0,1.0,4.0,18.0,12.0,6.0,1.0,55.0,288.0,8.0,19.0,,19.0,71.0,,0.0,,2.0,12.0,6.0,2.0,0.0,4.0,1.0,37.7,11.0,1.0,7.0,1.0,4.0,2.0,39.0,3.0,1.0,361.0,9.0,,11.0,11.0,5.0,27.0,1.0,3.0,234.0,2.0,10.0,15.0,85.0,18.0,4.0,1.0,10.0,19.0,1.0,5.0,3.0,18.0,4.0,16.0,3.0,,,1.0,,,,1.0,9.0,1.0,1.0,1.0,2.0,,7.0,,,,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,1.0,,,,1.0,1.0,,3.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,
31,919195,2018-03-17 15:00:00,"John Smith's Stadium, Huddersfield",23980,Away,Crystal Palace,Huddersfield Town,2,0,W,1,0,0,0,,83.0,2.0,4.0,31.0,34.0,7.0,2.0,11.0,2.0,4.0,173.0,4.0,15.0,4.0,11.0,1.0,6.0,69.0,186.0,87.0,2.0,18.0,3.0,21.0,3.0,1.0,3.0,1.0,14.0,18.0,1.0,34.0,5.0,8.0,27.0,146.0,0.0,109.0,12.0,2.0,1.0,,,31.0,62.0,7.0,63.0,3.0,1.0,9.0,29.0,7.0,2.0,2.0,3.0,186.0,1.0,3.0,88.0,660.0,9.0,10.0,22.0,,22.0,260.0,41.0,10.0,16.0,2.0,4.0,29.0,370.0,55.0,86417,7.0,133.0,2.0,7.0,168.0,7.0,29.0,9.0,66.0,,2.0,20.0,3.0,7.0,3.0,68.0,275.0,11.0,10.0,2.0,30.0,82.0,1.0,0.0,,1.0,4.0,,,0.0,1.0,2.0,45.4,18.0,2.0,9.0,,2.0,7.0,41.0,7.0,,393.0,22.0,1.0,14.0,13.0,5.0,21.0,3.0,2.0,239.0,14.0,8.0,32.0,65.0,26.0,1.0,,16.0,29.0,,9.0,2.0,25.0,1.0,17.0,7.0,,,,,,,,1.0,,,,2.0,,1.0,,1.0,,,1.0,2.0,,,2.0,,,,,,1.0,,1.0,2.0,,2.0,,,,2.0,,2.0,,,,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
32,919206,2018-03-31 12:30:00,"Selhurst Park, London",25807,Home,Crystal Palace,Liverpool,1,2,L,1,0,0,0,1.0,85.0,2.0,,18.0,25.0,2.0,2.0,4.0,4.0,1.0,146.0,,15.0,4.0,3.0,,3.0,77.0,186.0,63.0,1.0,6.0,,17.0,1.0,,,,15.0,17.0,1.0,25.0,4.0,8.0,25.0,96.0,0.0,86.0,6.0,2.0,1.0,,,67.0,27.0,1.0,24.0,2.0,2.0,11.0,19.0,2.0,1.0,3.0,1.0,186.0,3.0,11.0,65.0,516.0,3.0,13.0,12.0,,8.0,186.0,38.0,8.0,15.0,2.0,2.0,22.0,290.0,48.0,82403,4.0,99.0,3.0,8.0,127.0,5.0,19.0,9.0,49.0,,4.0,26.0,5.0,2.0,1.0,59.0,195.0,6.0,10.0,,28.0,78.0,,0.0,1.0,4.0,6.0,2.0,2.0,0.0,,,32.2,16.0,,5.0,,4.0,,31.0,4.0,,312.0,8.0,,10.0,8.0,3.0,26.0,,2.0,200.0,4.0,5.0,17.0,41.0,31.0,6.0,,15.0,25.0,2.0,4.0,2.0,21.0,6.0,9.0,4.0,,1.0,1.0,,1.0,,1.0,5.0,,,,1.0,1.0,2.0,,1.0,1.0,,1.0,,1.0,,,,,,,1.0,2.0,,1.0,1.0,,1.0,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
33,919213,2018-04-07 15:00:00,"Vitality Stadium, Bournemouth",10730,Away,Crystal Palace,Bournemouth,2,2,D,0,0,0,0,3.0,65.0,3.0,3.0,27.0,35.0,6.0,7.0,7.0,3.0,,161.0,2.0,11.0,1.0,10.0,,6.0,119.0,132.0,50.0,1.0,13.0,1.0,18.0,3.0,,1.0,,16.0,11.0,1.0,35.0,3.0,5.0,18.0,203.0,0.0,148.0,9.0,2.0,,,3.0,71.0,71.0,7.0,66.0,1.0,,13.0,15.0,6.0,1.0,5.0,2.0,132.0,1.0,15.0,99.0,643.0,9.0,4.0,32.0,1.0,23.0,344.0,34.0,4.0,23.0,2.0,3.0,16.0,420.0,47.0,82403,5.0,154.0,1.0,8.0,183.0,7.0,15.0,9.0,41.0,,3.0,15.0,6.0,1.0,1.0,64.0,355.0,8.0,7.0,,22.0,70.0,,0.0,,3.0,11.0,,2.0,0.0,2.0,1.0,47.3,14.0,,6.0,2.0,3.0,4.0,35.0,3.0,3.0,445.0,23.0,,3.0,9.0,3.0,25.0,,1.0,278.0,5.0,4.0,17.0,120.0,17.0,4.0,,23.0,15.0,1.0,11.0,,15.0,4.0,7.0,3.0,1.0,2.0,,2.0,2.0,,,4.0,,,1.0,1.0,2.0,3.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,2.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,2.0,,,,,,1.0,,1.0,,,2.0,1.0,,,,,,,,1.0,,,,,
34,919224,2018-04-14 15:00:00,"Selhurst Park, London",24656,Home,Crystal Palace,Brighton and Hove Albion,3,2,W,3,2,0,0,2.0,65.0,1.0,1.0,28.0,35.0,7.0,4.0,7.0,1.0,3.0,165.0,2.0,12.0,5.0,10.0,,8.0,84.0,137.0,58.0,1.0,15.0,4.0,20.0,2.0,,1.0,1.0,12.0,8.0,3.0,35.0,4.0,10.0,26.0,174.0,0.0,150.0,12.0,1.0,3.0,1.0,4.0,87.0,41.0,9.0,57.0,1.0,,8.0,9.0,8.0,1.0,2.0,1.0,137.0,1.0,10.0,61.0,570.0,9.0,11.0,25.0,,9.0,264.0,24.0,13.0,23.0,3.0,1.0,16.0,333.0,55.0,82403,3.0,110.0,1.0,5.0,125.0,6.0,9.0,12.0,52.0,,2.0,21.0,2.0,4.0,1.0,65.0,282.0,16.0,8.0,,35.0,87.0,1.0,0.0,,2.0,6.0,,2.0,0.0,1.0,1.0,50.2,15.0,,5.0,1.0,3.0,5.0,45.0,5.0,4.0,367.0,9.0,1.0,8.0,14.0,2.0,23.0,1.0,1.0,254.0,10.0,9.0,19.0,106.0,28.0,5.0,,23.0,12.0,2.0,9.0,2.0,18.0,5.0,6.0,5.0,,1.0,,,1.0,,,2.0,1.0,,,3.0,1.0,3.0,,2.0,,,1.0,1.0,1.0,,,2.0,,,,,,1.0,,2.0,1.0,3.0,1.0,,1.0,1.0,1.0,3.0,,2.0,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,
35,919241,2018-04-21 15:00:00,"Vicarage Road, Watford",20401,Away,Crystal Palace,Watford,0,0,D,0,0,0,0,,68.0,1.0,1.0,22.0,44.0,2.0,1.0,3.0,5.0,,153.0,3.0,17.0,2.0,3.0,1.0,1.0,71.0,157.0,73.0,1.0,6.0,1.0,32.0,1.0,,,,10.0,8.0,,44.0,3.0,7.0,27.0,113.0,0.0,114.0,13.0,3.0,,1.0,,58.0,33.0,2.0,44.0,1.0,1.0,7.0,17.0,3.0,1.0,,1.0,157.0,,8.0,73.0,569.0,1.0,4.0,25.0,1.0,11.0,227.0,33.0,9.0,25.0,5.0,1.0,18.0,314.0,58.0,82403,2.0,128.0,,6.0,157.0,8.0,17.0,9.0,75.0,,3.0,18.0,6.0,2.0,,67.0,238.0,16.0,6.0,2.0,29.0,65.0,,0.0,,2.0,4.0,3.0,,0.0,1.0,2.0,48.2,17.0,,3.0,,3.0,2.0,27.0,3.0,,341.0,11.0,,16.0,9.0,3.0,21.0,2.0,,194.0,3.0,6.0,24.0,63.0,24.0,4.0,,25.0,16.0,,2.0,1.0,26.0,4.0,9.0,3.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,2.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,2.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,
36,919244,2018-04-28 15:00:00,"Selhurst Park, London",25750,Home,Crystal Palace,Leicester City,5,0,W,2,0,0,1,2.0,58.0,,2.0,22.0,22.0,1.0,6.0,13.0,,1.0,167.0,3.0,13.0,8.0,10.0,,9.0,87.0,120.0,42.0,1.0,15.0,,11.0,4.0,1.0,2.0,2.0,12.0,8.0,,22.0,7.0,9.0,17.0,210.0,0.0,154.0,11.0,,2.0,1.0,,71.0,66.0,7.0,72.0,,,5.0,19.0,2.0,1.0,4.0,1.0,120.0,3.0,3.0,89.0,600.0,6.0,2.0,32.0,1.0,16.0,336.0,24.0,3.0,14.0,1.0,3.0,17.0,398.0,66.0,86417,8.0,139.0,3.0,,156.0,9.0,19.0,7.0,57.0,,2.0,11.0,3.0,3.0,1.0,54.0,346.0,9.0,14.0,1.0,19.0,62.0,1.0,0.0,,5.0,2.0,1.0,,0.0,,2.0,50.5,13.0,1.0,2.0,3.0,2.0,2.0,34.0,8.0,1.0,415.0,16.0,1.0,13.0,10.0,4.0,29.0,3.0,3.0,271.0,7.0,9.0,8.0,116.0,25.0,3.0,,14.0,12.0,,10.0,3.0,21.0,3.0,10.0,8.0,,,,,,,,3.0,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,2.0,3.0,1.0,,3.0,2.0,5.0,3.0,,3.0,5.0,4.0,4.0,,1.0,1.0,,1.0,,2.0,,1.0,,,3.0,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0
37,919260,2018-05-05 12:30:00,"bet365 Stadium, Stoke",29687,Away,Crystal Palace,Stoke City,2,1,W,0,1,0,0,,64.0,,1.0,28.0,26.0,6.0,7.0,7.0,1.0,,175.0,3.0,18.0,2.0,10.0,1.0,2.0,98.0,158.0,61.0,,13.0,3.0,22.0,,2.0,,1.0,13.0,5.0,,26.0,3.0,13.0,30.0,189.0,0.0,145.0,12.0,1.0,,1.0,,69.0,51.0,4.0,54.0,2.0,3.0,10.0,17.0,6.0,,3.0,3.0,158.0,1.0,5.0,84.0,613.0,8.0,10.0,27.0,,11.0,294.0,39.0,5.0,8.0,2.0,6.0,26.0,380.0,67.0,86417,3.0,129.0,,6.0,153.0,6.0,17.0,5.0,58.0,,2.0,20.0,2.0,2.0,2.0,64.0,315.0,18.0,8.0,1.0,28.0,76.0,,0.0,,1.0,1.0,1.0,1.0,0.0,2.0,,58.9,17.0,,2.0,2.0,2.0,4.0,41.0,7.0,1.0,411.0,11.0,,11.0,11.0,7.0,38.0,1.0,4.0,271.0,6.0,12.0,20.0,92.0,18.0,2.0,,8.0,7.0,,10.0,3.0,25.0,2.0,7.0,7.0,1.0,1.0,,,2.0,,,1.0,,1.0,1.0,2.0,1.0,3.0,,2.0,,1.0,,1.0,,,,2.0,1.0,,,,2.0,,2.0,2.0,1.0,2.0,1.0,,1.0,,2.0,2.0,,,,,,3.0,1.0,,,,,1.0,,,,1.0,1.0,,,,2.0,,,,1.0,,,,2.0,,,,,,,,,,,
38,919264,2018-05-13 15:00:00,"Selhurst Park, London",25357,Home,Crystal Palace,West Bromwich Albion,2,0,W,0,0,0,0,,62.0,1.0,,18.0,18.0,4.0,3.0,7.0,1.0,2.0,193.0,3.0,21.0,2.0,9.0,,5.0,151.0,135.0,73.0,,11.0,2.0,12.0,3.0,,2.0,2.0,11.0,20.0,,18.0,3.0,13.0,33.0,271.0,0.0,181.0,10.0,,,,1.0,82.0,93.0,6.0,81.0,1.0,1.0,8.0,13.0,4.0,,2.0,2.0,135.0,4.0,2.0,135.0,792.0,7.0,3.0,32.0,1.0,19.0,466.0,22.0,,13.0,2.0,3.0,27.0,536.0,50.0,86417,5.0,217.0,2.0,6.0,235.0,5.0,13.0,9.0,63.0,,7.0,11.0,5.0,7.0,,39.0,485.0,11.0,9.0,,4.0,76.0,1.0,0.0,,2.0,2.0,,,0.0,2.0,1.0,59.2,23.0,,8.0,1.0,7.0,2.0,55.0,4.0,1.0,560.0,19.0,,26.0,10.0,4.0,31.0,1.0,2.0,336.0,7.0,12.0,13.0,142.0,23.0,3.0,,13.0,28.0,,10.0,3.0,29.0,3.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,3.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,,3.0,,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
