gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attRfTarget,accuratePullBack,shotFastbreak,accurateKeeperSweeper,attOboxTarget,cleanSheet,totalFastbreak,attSvLowLeft,goodHighClaim,interceptionsInBox,totalKeeperSweeper,errorLeadToShot,bigChanceMissed,attMissHigh,attFastbreak,attSvLowRight,totalHighClaim,attGoalLowLeft,attOneOnOne,penaltyWon,attCmissHigh,attPenGoal,shieldBallOop,attBxLeft,attMissHighRight,accurateFreekickCross,attSetpiece,overrun,forwardGoals,postScoringAtt,attIboxPost,hitWoodwork,attPostRight,goalsConcededObox,attGoalLowCentre,attFreekickTotal,goalFastbreak,attOboxGoal,ptsGainedLosingPos,attSvHighLeft,freekickTotal,attObxdLeft,attGoalHighLeft,attFreekickGoal,subsGoals,attFreekickMiss,attGoalHighRight,ptsDroppedWinningPos,penaltyConceded,clearanceOffLine,penaltyFaced,penGoalsConceded,attPostHigh,attObxRight,errorLeadToGoal,defenderGoals,attFreekickTarget,attHdGoal,penaltySave,attPostLeft,goalAssistSetplay,sixYardBlock,attCmissHighRight,foulThrowIn,attSvHighRight,attObpGoal,goalAssistDeadball,attFreekickPost,attOboxPost,attObxLeft,attHdPost
26,2293063,2023-03-04 15:00:00,"American Express Stadium, Falmer",31523.0,Home,Brighton and Hove Albion,West Ham United,4,0,W,1,0,0,0,1.0,3.0,18.0,60.0,,,4.0,30.0,5.0,8.0,6.0,12.0,2.0,,201.0,5.0,2.0,12.0,4.0,1.0,15.0,,9.0,188.0,111.0,47.0,20.0,,6.0,3.0,,2.0,1.0,1.0,18.0,10.0,5.0,7.0,7.0,28.0,333.0,0.0,174.0,6.0,,2.0,,85.0,65.0,10.0,139.0,1.0,11.0,15.0,8.0,,1.0,5.0,111.0,2.0,,3.0,180.0,870.0,12.0,2.0,38.0,,3.0,631.0,18.0,1.0,2.0,4.0,3.0,0.0,1.0,5.0,18.0,698.0,72.0,,83299,6.0,310.0,10.0,331.0,5.0,3.0,1.0,6.0,2.0,30.0,,,,4.0,,2.0,16.0,,2.0,41.0,641.0,7.0,8.0,,10.0,3.0,63.0,1.0,,0.0,3.0,2.0,3.0,,2.0,0.0,1.0,2.0,1.0,65.8,17.0,,2.0,1.0,4.0,4.0,55.0,7.0,708.0,3.0,4.0,24.0,7.0,31.0,1.0,2.0,395.0,12.0,7.0,8.0,145.0,35.0,2.0,,4.0,20.0,,16.0,5.0,19.0,2.0,6.0,7.0,1.0,4.0,1.0,,,2.0,1.0,,1.0,,,,,,2.0,,1.0,,3.0,,1.0,,1.0,,2.0,2.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,1.0,,,,,
27,2293074,2023-03-11 15:00:00,"Elland Road, Leeds",36471.0,Away,Brighton and Hove Albion,Leeds United,2,2,D,1,1,0,0,1.0,2.0,19.0,61.0,,,3.0,28.0,7.0,4.0,5.0,11.0,2.0,1.0,192.0,11.0,4.0,14.0,2.0,2.0,8.0,,3.0,176.0,142.0,62.0,15.0,1.0,5.0,,1.0,1.0,,5.0,23.0,13.0,7.0,7.0,9.0,43.0,258.0,0.0,176.0,9.0,1.0,2.0,2.0,55.0,63.0,4.0,97.0,1.0,16.0,23.0,4.0,,2.0,2.0,142.0,2.0,,7.0,155.0,817.0,6.0,4.0,38.0,,8.0,509.0,19.0,,1.0,2.0,1.0,1.0,4.0,4.0,16.0,595.0,64.0,1.0,83299,5.0,280.0,12.0,302.0,6.0,,1.0,8.0,9.0,35.0,,3.0,3.0,4.0,,2.0,17.0,5.0,9.0,39.0,534.0,12.0,6.0,1.0,2.0,3.0,60.0,1.0,,0.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,62.0,15.0,,7.0,,4.0,4.0,47.0,7.0,620.0,8.0,4.0,28.0,8.0,36.0,2.0,6.0,341.0,8.0,9.0,12.0,129.0,28.0,2.0,,2.0,24.0,1.0,11.0,2.0,25.0,2.0,8.0,7.0,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,2.0,,1.0,,1.0,,,,,,2.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,2.0,,,,,,,,,
28,2293083,2023-05-04 20:00:00,"American Express Stadium, Falmer",31577.0,Home,Brighton and Hove Albion,Manchester United,1,0,W,0,0,0,0,2.0,1.0,23.0,73.0,,2.0,4.0,33.0,6.0,8.0,7.0,14.0,5.0,,193.0,10.0,5.0,10.0,1.0,4.0,19.0,3.0,6.0,139.0,121.0,50.0,22.0,1.0,7.0,3.0,4.0,,,3.0,14.0,8.0,6.0,8.0,12.0,31.0,187.0,0.0,126.0,10.0,3.0,1.0,1.0,34.0,47.0,9.0,88.0,4.0,6.0,26.0,8.0,,1.0,5.0,121.0,,1.0,8.0,143.0,738.0,17.0,3.0,37.0,1.0,10.0,466.0,25.0,2.0,3.0,3.0,,4.0,5.0,10.0,8.0,541.0,55.0,1.0,83299,7.0,304.0,4.0,323.0,3.0,1.0,1.0,14.0,7.0,47.0,,3.0,,2.0,1.0,,13.0,8.0,7.0,52.0,486.0,13.0,11.0,2.0,7.0,2.0,68.0,1.0,1.0,0.0,6.0,3.0,1.0,,1.0,0.0,1.0,,2.0,59.6,8.0,1.0,6.0,2.0,2.0,5.0,50.0,8.0,563.0,10.0,8.0,16.0,11.0,31.0,4.0,6.0,254.0,13.0,11.0,12.0,85.0,38.0,,,3.0,15.0,,18.0,3.0,22.0,,14.0,8.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,1.0,1.0,2.0,,,,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
29,2293092,2023-04-01 15:00:00,"American Express Stadium, Falmer",31493.0,Home,Brighton and Hove Albion,Brentford,3,3,D,2,2,0,0,4.0,3.0,18.0,48.0,,1.0,5.0,28.0,5.0,14.0,9.0,19.0,2.0,,169.0,10.0,12.0,15.0,3.0,2.0,24.0,,15.0,155.0,131.0,49.0,33.0,5.0,10.0,7.0,1.0,2.0,5.0,2.0,37.0,6.0,5.0,8.0,5.0,36.0,312.0,0.0,212.0,16.0,,2.0,,94.0,64.0,18.0,111.0,1.0,29.0,21.0,14.0,,9.0,3.0,131.0,4.0,1.0,6.0,147.0,767.0,20.0,3.0,50.0,3.0,2.0,488.0,17.0,1.0,2.0,4.0,2.0,2.0,1.0,6.0,17.0,561.0,51.0,3.0,83299,11.0,207.0,20.0,229.0,11.0,2.0,1.0,7.0,1.0,43.0,,3.0,2.0,3.0,,2.0,12.0,1.0,1.0,44.0,507.0,9.0,2.0,2.0,6.0,8.0,60.0,,,0.0,,1.0,2.0,3.0,1.0,0.0,9.0,2.0,8.0,72.2,16.0,4.0,5.0,2.0,3.0,10.0,38.0,14.0,582.0,2.0,8.0,18.0,8.0,47.0,3.0,5.0,390.0,16.0,4.0,16.0,177.0,21.0,,,4.0,9.0,3.0,23.0,3.0,23.0,,7.0,14.0,,5.0,1.0,,,5.0,,,3.0,,1.0,,1.0,3.0,4.0,,2.0,,1.0,,1.0,1.0,1.0,,2.0,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,3.0,,,,,,,,,
30,2293108,2023-04-08 15:00:00,"Tottenham Hotspur Stadium, London",61405.0,Away,Brighton and Hove Albion,Tottenham Hotspur,1,2,L,1,1,0,0,,1.0,19.0,54.0,,,6.0,29.0,12.0,5.0,3.0,12.0,1.0,,171.0,10.0,9.0,8.0,1.0,2.0,17.0,2.0,4.0,166.0,121.0,59.0,17.0,2.0,9.0,,1.0,,,,22.0,8.0,12.0,6.0,4.0,39.0,281.0,0.0,177.0,15.0,1.0,,1.0,55.0,67.0,12.0,79.0,4.0,16.0,24.0,5.0,1.0,7.0,,121.0,2.0,1.0,7.0,141.0,730.0,13.0,4.0,36.0,,4.0,460.0,15.0,,,8.0,1.0,1.0,2.0,5.0,14.0,528.0,55.0,1.0,83299,8.0,213.0,8.0,225.0,9.0,,2.0,5.0,8.0,46.0,,3.0,1.0,3.0,,,18.0,2.0,8.0,41.0,485.0,15.0,8.0,3.0,3.0,3.0,67.0,,,0.0,3.0,1.0,1.0,2.0,1.0,0.0,6.0,1.0,7.0,64.8,14.0,3.0,5.0,,3.0,8.0,50.0,7.0,557.0,4.0,11.0,27.0,5.0,35.0,3.0,5.0,354.0,7.0,4.0,18.0,141.0,29.0,,,8.0,18.0,1.0,13.0,3.0,14.0,,5.0,7.0,3.0,3.0,,,,3.0,,,2.0,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,
31,2293111,2023-04-15 15:00:00,"Stamford Bridge, London",40126.0,Away,Brighton and Hove Albion,Chelsea,2,1,W,1,1,0,0,2.0,,26.0,61.0,,,4.0,19.0,11.0,9.0,8.0,17.0,1.0,,162.0,12.0,4.0,16.0,2.0,1.0,17.0,1.0,10.0,151.0,121.0,59.0,26.0,2.0,9.0,5.0,2.0,2.0,3.0,2.0,14.0,13.0,11.0,7.0,12.0,32.0,246.0,0.0,159.0,11.0,,,,58.0,37.0,10.0,80.0,4.0,7.0,21.0,9.0,,2.0,3.0,121.0,1.0,,4.0,162.0,745.0,14.0,5.0,39.0,1.0,6.0,457.0,18.0,2.0,1.0,6.0,2.0,2.0,1.0,7.0,17.0,535.0,50.0,,83299,10.0,233.0,5.0,261.0,7.0,1.0,2.0,11.0,5.0,47.0,,3.0,1.0,5.0,1.0,2.0,11.0,4.0,5.0,34.0,475.0,11.0,9.0,1.0,9.0,2.0,55.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,57.3,16.0,2.0,10.0,2.0,5.0,6.0,44.0,8.0,555.0,6.0,7.0,24.0,10.0,36.0,2.0,6.0,308.0,14.0,10.0,8.0,115.0,27.0,,,6.0,24.0,,22.0,3.0,27.0,,11.0,8.0,,5.0,1.0,,,3.0,,,1.0,,1.0,,,5.0,,,1.0,,,,,,,,2.0,1.0,,,,,1.0,1.0,2.0,,1.0,,,,1.0,3.0,1.0,,,2.0,,2.0,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,
32,2293123,2023-05-24 20:00:00,"American Express Stadium, Falmer",31388.0,Home,Brighton and Hove Albion,Manchester City,1,1,D,1,1,0,0,2.0,,22.0,61.0,,1.0,3.0,25.0,6.0,8.0,4.0,12.0,3.0,,145.0,11.0,9.0,8.0,1.0,3.0,14.0,,7.0,89.0,98.0,39.0,20.0,4.0,12.0,5.0,2.0,1.0,1.0,3.0,18.0,6.0,6.0,4.0,6.0,35.0,162.0,0.0,97.0,16.0,2.0,1.0,1.0,45.0,34.0,10.0,75.0,,14.0,10.0,8.0,,4.0,1.0,98.0,2.0,,11.0,77.0,539.0,11.0,10.0,34.0,,11.0,307.0,20.0,,4.0,1.0,1.0,2.0,3.0,4.0,6.0,367.0,34.0,,83299,4.0,172.0,9.0,199.0,8.0,1.0,1.0,5.0,7.0,50.0,,,2.0,1.0,,1.0,14.0,2.0,6.0,40.0,325.0,10.0,12.0,2.0,8.0,4.0,42.0,1.0,,0.0,1.0,2.0,,1.0,3.0,0.0,7.0,,4.0,39.6,6.0,3.0,10.0,,1.0,7.0,30.0,5.0,386.0,11.0,5.0,20.0,6.0,22.0,2.0,4.0,205.0,11.0,5.0,9.0,75.0,28.0,,,1.0,12.0,1.0,14.0,4.0,15.0,,5.0,5.0,2.0,3.0,,,,1.0,,,4.0,,,,,2.0,2.0,,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,2.0,,1.0,1.0,,2.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,
33,2293133,2023-04-26 19:30:00,"The City Ground, Nottingham",28808.0,Away,Brighton and Hove Albion,Nottingham Forest,1,3,L,1,1,0,0,3.0,1.0,26.0,62.0,,,3.0,16.0,16.0,5.0,7.0,11.0,3.0,1.0,197.0,10.0,3.0,12.0,1.0,,14.0,2.0,7.0,189.0,140.0,43.0,17.0,1.0,9.0,2.0,1.0,,2.0,2.0,13.0,9.0,16.0,6.0,15.0,37.0,302.0,0.0,177.0,8.0,2.0,1.0,,86.0,51.0,8.0,120.0,3.0,7.0,20.0,6.0,,1.0,1.0,140.0,2.0,,11.0,213.0,892.0,12.0,2.0,37.0,,7.0,601.0,25.0,,,5.0,,0.0,2.0,6.0,18.0,697.0,65.0,2.0,83299,7.0,323.0,6.0,344.0,2.0,,3.0,8.0,9.0,43.0,1.0,7.0,2.0,3.0,,1.0,10.0,2.0,9.0,36.0,622.0,7.0,9.0,2.0,4.0,4.0,67.0,,1.0,0.0,2.0,3.0,1.0,3.0,,0.0,1.0,,2.0,75.2,18.0,2.0,5.0,1.0,3.0,4.0,48.0,7.0,719.0,7.0,13.0,16.0,6.0,28.0,2.0,5.0,388.0,8.0,15.0,10.0,124.0,27.0,1.0,1.0,5.0,14.0,3.0,13.0,3.0,17.0,1.0,8.0,7.0,1.0,3.0,2.0,1.0,,4.0,,1.0,2.0,,1.0,,2.0,3.0,,1.0,,,,,,,,,1.0,1.0,,,3.0,,,,,,,1.0,,,,,,,,,,,,,3.0,2.0,,2.0,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,1.0,
34,2293143,2023-04-29 15:00:00,"American Express Stadium, Falmer",31584.0,Home,Brighton and Hove Albion,Wolverhampton Wanderers,6,0,W,4,0,0,0,,4.0,13.0,63.0,1.0,,4.0,10.0,15.0,7.0,9.0,15.0,2.0,3.0,168.0,6.0,2.0,7.0,6.0,1.0,14.0,,8.0,134.0,98.0,42.0,22.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,7.0,9.0,15.0,2.0,14.0,19.0,203.0,0.0,114.0,14.0,1.0,4.0,,60.0,30.0,10.0,91.0,,5.0,16.0,7.0,1.0,,1.0,98.0,4.0,,6.0,134.0,677.0,9.0,,34.0,,9.0,447.0,24.0,,1.0,6.0,4.0,1.0,2.0,4.0,10.0,509.0,44.0,3.0,83299,9.0,264.0,5.0,279.0,7.0,2.0,1.0,9.0,6.0,40.0,,3.0,2.0,,,6.0,12.0,4.0,6.0,27.0,465.0,11.0,9.0,1.0,6.0,,57.0,1.0,1.0,0.0,5.0,2.0,4.0,,,0.0,2.0,3.0,1.0,57.2,10.0,,9.0,,,7.0,38.0,2.0,527.0,9.0,7.0,10.0,7.0,18.0,,5.0,255.0,12.0,13.0,9.0,82.0,27.0,,,6.0,15.0,,20.0,5.0,16.0,,9.0,2.0,,2.0,1.0,1.0,1.0,,1.0,2.0,,,,1.0,,1.0,2.0,1.0,1.0,,2.0,1.0,,2.0,,,2.0,2.0,,2.0,1.0,2.0,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,
35,2293151,2023-05-08 17:30:00,"American Express Stadium, Falmer",31567.0,Home,Brighton and Hove Albion,Everton,1,5,L,0,3,0,0,3.0,1.0,24.0,61.0,,,6.0,28.0,6.0,5.0,6.0,18.0,1.0,,171.0,11.0,9.0,16.0,1.0,4.0,20.0,,5.0,222.0,159.0,56.0,23.0,3.0,19.0,4.0,2.0,,,2.0,44.0,7.0,6.0,9.0,4.0,41.0,480.0,0.0,290.0,11.0,,1.0,1.0,121.0,83.0,11.0,116.0,2.0,36.0,17.0,5.0,,13.0,2.0,159.0,2.0,,10.0,232.0,956.0,17.0,2.0,46.0,1.0,6.0,629.0,18.0,1.0,2.0,3.0,,1.0,4.0,9.0,24.0,713.0,84.0,,83299,9.0,186.0,22.0,198.0,6.0,,1.0,5.0,2.0,62.0,1.0,2.0,1.0,6.0,1.0,1.0,18.0,1.0,2.0,39.0,657.0,13.0,13.0,3.0,4.0,7.0,56.0,,,0.0,1.0,1.0,1.0,5.0,2.0,0.0,6.0,,6.0,77.7,24.0,3.0,7.0,2.0,7.0,9.0,49.0,15.0,741.0,6.0,9.0,22.0,9.0,68.0,4.0,5.0,587.0,9.0,2.0,16.0,232.0,29.0,,1.0,3.0,11.0,5.0,16.0,5.0,26.0,,5.0,15.0,,,1.0,,,,,,,,1.0,,,4.0,2.0,,2.0,,,,,,,1.0,3.0,,,,1.0,,2.0,2.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,2.0,,,,1.0,,,,,1.0
36,2293160,2023-05-14 16:30:00,"Emirates Stadium, London",60139.0,Away,Brighton and Hove Albion,Arsenal,3,0,W,0,0,0,0,1.0,3.0,18.0,58.0,,,1.0,22.0,13.0,5.0,4.0,7.0,2.0,2.0,177.0,12.0,,13.0,3.0,1.0,8.0,,6.0,122.0,129.0,52.0,12.0,,8.0,1.0,,2.0,1.0,3.0,5.0,9.0,13.0,2.0,7.0,40.0,157.0,0.0,79.0,17.0,,1.0,,39.0,46.0,4.0,105.0,1.0,3.0,19.0,5.0,1.0,1.0,3.0,129.0,2.0,,11.0,131.0,694.0,6.0,3.0,19.0,,8.0,422.0,22.0,,1.0,10.0,2.0,2.0,4.0,4.0,15.0,510.0,41.0,,83299,4.0,289.0,2.0,337.0,9.0,,1.0,8.0,9.0,51.0,,1.0,4.0,1.0,,3.0,8.0,3.0,9.0,49.0,446.0,13.0,8.0,,11.0,,57.0,1.0,,0.0,5.0,2.0,3.0,,1.0,0.0,,1.0,1.0,59.1,12.0,,1.0,,1.0,1.0,39.0,2.0,535.0,8.0,8.0,18.0,5.0,7.0,,2.0,203.0,7.0,7.0,11.0,54.0,26.0,,,10.0,15.0,,12.0,3.0,25.0,,8.0,2.0,1.0,2.0,,,1.0,2.0,1.0,,1.0,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
37,2293171,2023-05-21 14:00:00,"American Express Stadium, Falmer",31507.0,Home,Brighton and Hove Albion,Southampton,3,1,W,2,0,0,0,2.0,1.0,17.0,51.0,1.0,,3.0,13.0,8.0,8.0,11.0,18.0,,1.0,160.0,7.0,4.0,12.0,3.0,3.0,22.0,1.0,8.0,197.0,102.0,45.0,26.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,20.0,9.0,8.0,4.0,2.0,13.0,318.0,0.0,180.0,8.0,,1.0,2.0,66.0,77.0,15.0,93.0,2.0,16.0,10.0,8.0,,2.0,3.0,102.0,1.0,,4.0,177.0,795.0,17.0,3.0,43.0,1.0,5.0,563.0,14.0,,,6.0,3.0,2.0,1.0,7.0,17.0,615.0,70.0,,83299,9.0,261.0,12.0,274.0,4.0,2.0,,5.0,3.0,33.0,,1.0,1.0,3.0,,2.0,14.0,1.0,3.0,20.0,575.0,9.0,6.0,2.0,3.0,2.0,58.0,2.0,,0.0,3.0,,3.0,1.0,1.0,0.0,2.0,2.0,2.0,63.0,17.0,1.0,8.0,,3.0,7.0,43.0,4.0,627.0,5.0,9.0,8.0,11.0,35.0,2.0,7.0,373.0,13.0,2.0,11.0,156.0,26.0,,,6.0,13.0,1.0,22.0,5.0,19.0,,5.0,4.0,,2.0,,1.0,,1.0,,2.0,,1.0,,,,2.0,4.0,1.0,,1.0,1.0,1.0,,2.0,,1.0,5.0,,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
38,2293181,2023-05-28 16:30:00,"Villa Park, Birmingham",42212.0,Away,Brighton and Hove Albion,Aston Villa,1,2,L,1,2,0,0,1.0,1.0,22.0,54.0,1.0,,1.0,18.0,14.0,3.0,2.0,5.0,3.0,1.0,132.0,8.0,2.0,8.0,1.0,2.0,7.0,,4.0,126.0,114.0,47.0,8.0,,12.0,2.0,1.0,,3.0,2.0,7.0,2.0,14.0,1.0,5.0,25.0,131.0,0.0,79.0,16.0,2.0,,,55.0,19.0,5.0,61.0,,6.0,17.0,3.0,,1.0,2.0,114.0,3.0,2.0,7.0,108.0,586.0,6.0,3.0,23.0,,3.0,327.0,22.0,,3.0,5.0,1.0,4.0,2.0,2.0,12.0,397.0,33.0,3.0,83299,3.0,228.0,5.0,258.0,9.0,,1.0,5.0,12.0,57.0,,4.0,6.0,4.0,,,18.0,5.0,12.0,27.0,357.0,15.0,15.0,,6.0,,42.0,1.0,,0.0,4.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0,,59.7,12.0,,7.0,,4.0,1.0,27.0,3.0,427.0,3.0,9.0,17.0,3.0,12.0,,1.0,176.0,6.0,4.0,11.0,58.0,17.0,1.0,,5.0,13.0,2.0,7.0,5.0,13.0,1.0,5.0,3.0,,2.0,,,1.0,1.0,,,,2.0,,1.0,,2.0,1.0,,,2.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
