gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,saves,attCmissRight,attOboxBlocked,attBxRight,attGoalHighRight,divingSave,attMissRight,errorLeadToShot,ownGoals,totalOffside,attAssistSetplay,attSvLowRight,savedIbox,goalsConceded,attCmissHighRight,accurateCornersIntobox,attIboxOwnGoal,goalsConcededIbox,savedObox,postScoringAtt,attIboxPost,contentiousDecision,hitWoodwork,attPostHigh,attSvHighCentre,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,accuratePullBack,shotFastbreak,goalFastbreak,totalFastbreak,attSvLowLeft,freekickCross,attPostLeft,accurateFreekickCross,attSetpiece,defenderGoals,attFastbreak,attHdGoal,attemptsIbox,ptsGainedLosingPos,attemptsObox,secondYellow,touchesInOppBox,attHdTarget,attCmissLeft,attOboxGoal,penaltyConceded,attOboxPost,penaltyFaced,penGoalsConceded,sixYardBlock,attPostRight,penaltySave,attPenTarget,penaltyWon,attPenGoal,handBall,attGoalHighCentre,attCmissHighLeft,foulThrowIn,attGoalHighLeft,attFreekickGoal,attFreekickTarget,clearanceOffLine,goalsConcededObox,attObxLeft
27,755566,2015-03-01 12:00:00,"Anfield, Liverpool",44590,Away,Manchester City,Liverpool,1,2,L,1,1,0,0,,1.0,76.0,,,28.0,15.0,3.0,4.0,,,209.0,,1.0,12.0,1.0,2.0,6.0,1.0,113.0,167.0,54.0,,8.0,11.0,,2.0,1.0,,3.0,11.0,17.0,,15.0,,4.0,37.0,,225.0,,,,0.0,178.0,16.0,,,2.0,49.0,100.0,1.0,75.0,3.0,11.0,16.0,,1.0,3.0,167.0,2.0,7.0,127.0,707.0,5.0,9.0,16.0,398.0,35.0,1.0,5.0,4.0,1.0,2.0,3.0,1.0,5.0,25.0,501.0,68.0,2.0,57112,3.0,188.0,1.0,8.0,212.0,6.0,1.0,,16.0,7.0,57.0,1.0,3.0,2.0,1.0,11.0,4.0,5.0,1.0,69.0,412.0,7.0,12.0,25.0,97.0,,0.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,,1.0,52.0,23.0,1.0,3.0,1.0,2.0,,50.0,,2.0,524.0,16.0,,20.0,14.0,7.0,24.0,3.0,323.0,3.0,4.0,13.0,125.0,31.0,1.0,2.0,4.0,22.0,8.0,3.0,16.0,2.0,7.0,,1.0,3.0,,,,,2.0,1.0,1.0,,6.0,,,2.0,2.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,2.0,
28,755579,2015-03-04 19:45:00,"Etihad Stadium, Manchester",45000,Home,Manchester City,Leicester City,2,0,W,1,0,0,0,2.0,2.0,69.0,1.0,4.0,31.0,23.0,6.0,6.0,1.0,4.0,210.0,1.0,7.0,13.0,2.0,,19.0,9.0,188.0,150.0,63.0,,22.0,20.0,4.0,2.0,1.0,1.0,1.0,28.0,14.0,3.0,23.0,9.0,18.0,30.0,,449.0,,1.0,1.0,0.0,272.0,11.0,,1.0,,88.0,102.0,12.0,95.0,1.0,19.0,19.0,,3.0,1.0,150.0,2.0,2.0,207.0,906.0,17.0,12.0,10.0,600.0,23.0,1.0,5.0,21.0,1.0,2.0,0.0,3.0,7.0,26.0,687.0,68.0,3.0,57112,11.0,167.0,1.0,16.0,183.0,7.0,1.0,2.0,19.0,4.0,55.0,1.0,5.0,5.0,2.0,12.0,4.0,2.0,2.0,50.0,609.0,3.0,8.0,12.0,70.0,,0.0,1.0,3.0,2.0,4.0,0.0,5.0,1.0,,3.0,69.5,23.0,2.0,8.0,1.0,5.0,6.0,49.0,10.0,,700.0,10.0,,12.0,16.0,7.0,28.0,6.0,545.0,13.0,17.0,28.0,219.0,31.0,,,21.0,18.0,21.0,3.0,19.0,,7.0,10.0,,2.0,2.0,2.0,1.0,,,3.0,,,4.0,1.0,2.0,1.0,,,2.0,,,1.0,,,,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,
29,755584,2015-03-14 17:30:00,"Turf Moor, Burnley",21216,Away,Manchester City,Burnley,0,1,L,0,0,0,0,3.0,,66.0,,2.0,30.0,28.0,11.0,9.0,,1.0,237.0,,5.0,19.0,,2.0,14.0,5.0,166.0,172.0,77.0,1.0,22.0,33.0,4.0,1.0,,4.0,1.0,27.0,15.0,1.0,28.0,5.0,8.0,35.0,,322.0,,,,0.0,195.0,9.0,,,,82.0,116.0,10.0,111.0,3.0,22.0,25.0,1.0,4.0,4.0,172.0,1.0,2.0,172.0,911.0,13.0,11.0,19.0,554.0,22.0,,4.0,23.0,,1.0,1.0,1.0,4.0,25.0,661.0,61.0,,57112,7.0,250.0,1.0,18.0,287.0,3.0,,1.0,25.0,10.0,59.0,,,2.0,,14.0,8.0,2.0,3.0,71.0,567.0,5.0,7.0,19.0,103.0,1.0,0.0,1.0,2.0,,3.0,0.0,4.0,,,3.0,70.2,22.0,2.0,1.0,1.0,2.0,8.0,64.0,6.0,,686.0,19.0,,8.0,12.0,9.0,25.0,5.0,426.0,10.0,8.0,31.0,156.0,34.0,,2.0,23.0,23.0,19.0,3.0,24.0,2.0,11.0,6.0,,3.0,5.0,6.0,1.0,,1.0,5.0,,,,1.0,,,1.0,,1.0,,,3.0,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,
30,755596,2015-03-21 12:45:00,"Etihad Stadium, Manchester",45018,Home,Manchester City,West Bromwich Albion,3,0,W,2,0,0,1,6.0,3.0,60.0,1.0,3.0,35.0,12.0,20.0,18.0,1.0,7.0,216.0,,4.0,14.0,3.0,2.0,33.0,16.0,226.0,104.0,43.0,2.0,43.0,7.0,8.0,,1.0,4.0,7.0,23.0,12.0,5.0,12.0,5.0,11.0,16.0,,546.0,1.0,2.0,1.0,0.0,426.0,6.0,,2.0,,72.0,113.0,24.0,91.0,,19.0,12.0,2.0,1.0,6.0,104.0,3.0,3.0,228.0,963.0,30.0,1.0,19.0,694.0,24.0,,,8.0,2.0,,0.0,,9.0,21.0,748.0,63.0,1.0,57112,10.0,165.0,1.0,18.0,176.0,3.0,2.0,1.0,12.0,2.0,34.0,,1.0,4.0,,8.0,,2.0,1.0,42.0,707.0,5.0,2.0,4.0,51.0,1.0,0.0,,2.0,3.0,,0.0,3.0,,,1.0,77.6,19.0,1.0,5.0,4.0,4.0,12.0,43.0,9.0,,761.0,19.0,1.0,14.0,10.0,15.0,33.0,7.0,608.0,24.0,11.0,11.0,392.0,27.0,1.0,1.0,8.0,13.0,32.0,3.0,19.0,1.0,6.0,9.0,1.0,,1.0,9.0,2.0,,,4.0,,,2.0,1.0,5.0,,,,2.0,,,,2.0,2.0,,2.0,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,1.0,,,,,
31,755606,2015-04-06 20:00:00,"Selhurst Park, London",24718,Away,Manchester City,Crystal Palace,1,2,L,0,1,0,0,3.0,,52.0,,4.0,26.0,14.0,13.0,8.0,1.0,,212.0,,8.0,15.0,1.0,3.0,20.0,4.0,191.0,158.0,60.0,1.0,22.0,27.0,2.0,,,1.0,3.0,30.0,18.0,1.0,14.0,10.0,11.0,18.0,,411.0,,1.0,,0.0,292.0,11.0,,1.0,1.0,82.0,106.0,11.0,85.0,,20.0,25.0,1.0,1.0,6.0,158.0,,4.0,179.0,887.0,19.0,11.0,14.0,559.0,16.0,1.0,3.0,8.0,,,1.0,1.0,9.0,30.0,646.0,72.0,,57112,6.0,173.0,,17.0,188.0,5.0,,1.0,25.0,4.0,69.0,1.0,2.0,5.0,1.0,10.0,1.0,2.0,5.0,42.0,576.0,9.0,8.0,11.0,82.0,1.0,0.0,5.0,4.0,,4.0,0.0,2.0,,,1.0,74.1,24.0,1.0,4.0,2.0,5.0,8.0,57.0,13.0,1.0,667.0,14.0,1.0,18.0,7.0,10.0,26.0,3.0,509.0,13.0,10.0,14.0,242.0,26.0,,1.0,8.0,23.0,15.0,3.0,21.0,1.0,5.0,13.0,1.0,1.0,,4.0,1.0,,1.0,,,,,1.0,,1.0,2.0,,6.0,,1.0,,1.0,,2.0,1.0,,,,,,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,1.0,
32,755615,2015-04-12 16:00:00,"Old Trafford, Manchester",75313,Away,Manchester City,Manchester United,2,4,L,1,2,0,0,,2.0,55.0,,2.0,13.0,25.0,2.0,2.0,1.0,1.0,174.0,1.0,4.0,7.0,2.0,3.0,9.0,3.0,81.0,153.0,55.0,,10.0,14.0,1.0,2.0,2.0,1.0,,11.0,16.0,,25.0,4.0,8.0,30.0,,147.0,2.0,,,0.0,138.0,16.0,,,,47.0,65.0,6.0,54.0,,7.0,12.0,,,,153.0,2.0,9.0,76.0,568.0,5.0,7.0,19.0,256.0,25.0,,3.0,13.0,2.0,2.0,3.0,3.0,3.0,28.0,361.0,59.0,3.0,57112,4.0,130.0,,7.0,157.0,9.0,1.0,1.0,12.0,6.0,53.0,,5.0,2.0,2.0,7.0,2.0,1.0,,50.0,273.0,9.0,12.0,18.0,79.0,,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,,1.0,41.4,21.0,1.0,2.0,1.0,2.0,4.0,37.0,5.0,,385.0,19.0,,11.0,7.0,3.0,14.0,3.0,239.0,7.0,6.0,17.0,85.0,23.0,2.0,1.0,13.0,22.0,7.0,3.0,11.0,1.0,7.0,5.0,1.0,3.0,,2.0,2.0,,3.0,1.0,,,3.0,2.0,,1.0,4.0,,3.0,,4.0,2.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,
33,755630,2015-04-19 13:30:00,"Etihad Stadium, Manchester",45041,Home,Manchester City,West Ham United,2,0,W,2,0,0,0,1.0,1.0,59.0,,4.0,20.0,20.0,4.0,7.0,,1.0,212.0,1.0,5.0,4.0,2.0,2.0,15.0,3.0,184.0,111.0,38.0,1.0,18.0,15.0,2.0,,1.0,,3.0,25.0,12.0,,20.0,4.0,19.0,16.0,,421.0,1.0,,1.0,0.0,242.0,10.0,1.0,,1.0,56.0,113.0,9.0,110.0,1.0,21.0,9.0,1.0,1.0,,111.0,2.0,7.0,169.0,850.0,14.0,2.0,13.0,600.0,15.0,1.0,1.0,13.0,1.0,,2.0,3.0,6.0,18.0,656.0,62.0,,80235,9.0,196.0,1.0,19.0,215.0,7.0,1.0,2.0,9.0,5.0,47.0,,4.0,5.0,1.0,7.0,2.0,2.0,2.0,42.0,612.0,6.0,7.0,13.0,66.0,,0.0,,3.0,2.0,1.0,0.0,5.0,1.0,,1.0,66.8,17.0,1.0,5.0,2.0,5.0,8.0,46.0,6.0,1.0,675.0,13.0,,11.0,7.0,7.0,24.0,7.0,485.0,10.0,19.0,12.0,212.0,31.0,1.0,3.0,13.0,16.0,15.0,3.0,8.0,3.0,6.0,6.0,,3.0,,4.0,3.0,,2.0,,2.0,,5.0,,1.0,2.0,,,,,,1.0,,,,,,,,,,2.0,3.0,1.0,4.0,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,755637,2015-04-25 17:30:00,"Etihad Stadium, Manchester",45036,Home,Manchester City,Aston Villa,3,2,W,1,0,0,0,1.0,1.0,37.0,,3.0,26.0,21.0,5.0,4.0,2.0,,151.0,2.0,6.0,8.0,3.0,3.0,9.0,4.0,91.0,132.0,41.0,1.0,11.0,18.0,,1.0,,,1.0,16.0,6.0,1.0,21.0,6.0,11.0,26.0,,218.0,,,,0.0,148.0,13.0,,,,72.0,81.0,7.0,82.0,1.0,10.0,25.0,1.0,1.0,1.0,132.0,1.0,6.0,104.0,595.0,6.0,8.0,6.0,322.0,17.0,,6.0,12.0,1.0,1.0,1.0,3.0,2.0,22.0,399.0,55.0,,80235,5.0,126.0,1.0,8.0,141.0,9.0,1.0,1.0,25.0,8.0,59.0,,2.0,1.0,1.0,16.0,7.0,4.0,,58.0,338.0,11.0,15.0,22.0,69.0,2.0,0.0,,6.0,2.0,5.0,0.0,2.0,1.0,,1.0,44.9,20.0,1.0,4.0,,1.0,5.0,32.0,7.0,,428.0,6.0,,5.0,12.0,2.0,31.0,1.0,303.0,5.0,10.0,13.0,110.0,13.0,1.0,8.0,12.0,9.0,4.0,3.0,16.0,8.0,14.0,7.0,1.0,2.0,1.0,2.0,1.0,,2.0,1.0,,,1.0,2.0,,1.0,2.0,,4.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,
35,755651,2015-05-03 16:00:00,"White Hart Lane, London",35784,Away,Manchester City,Tottenham Hotspur,1,0,W,1,0,0,0,2.0,1.0,72.0,,3.0,24.0,26.0,4.0,4.0,,1.0,160.0,,6.0,14.0,1.0,,10.0,4.0,81.0,157.0,48.0,,15.0,15.0,1.0,,1.0,1.0,3.0,19.0,11.0,2.0,26.0,6.0,11.0,28.0,,174.0,,,1.0,0.0,136.0,11.0,1.0,,2.0,70.0,77.0,5.0,58.0,4.0,13.0,21.0,,1.0,1.0,157.0,2.0,13.0,100.0,622.0,9.0,6.0,33.0,285.0,34.0,,5.0,15.0,1.0,1.0,4.0,5.0,5.0,21.0,373.0,75.0,3.0,80235,5.0,128.0,1.0,12.0,146.0,7.0,1.0,1.0,21.0,10.0,58.0,,3.0,5.0,1.0,12.0,8.0,2.0,1.0,71.0,296.0,6.0,13.0,28.0,85.0,,0.0,2.0,8.0,1.0,1.0,0.0,3.0,1.0,,1.0,45.0,15.0,1.0,1.0,,5.0,5.0,36.0,7.0,2.0,399.0,33.0,,16.0,10.0,6.0,16.0,5.0,272.0,10.0,10.0,13.0,84.0,25.0,1.0,5.0,15.0,16.0,13.0,3.0,18.0,5.0,10.0,7.0,,5.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,,1.0,,,4.0,,,3.0,,,1.0,,,2.0,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0
36,755660,2015-05-10 13:30:00,"Etihad Stadium, Manchester",44564,Home,Manchester City,Queens Park Rangers,6,0,W,2,0,0,0,5.0,5.0,69.0,2.0,3.0,18.0,31.0,5.0,9.0,2.0,,178.0,1.0,8.0,10.0,6.0,4.0,15.0,11.0,118.0,141.0,52.0,2.0,23.0,18.0,3.0,1.0,1.0,3.0,4.0,21.0,13.0,2.0,31.0,5.0,9.0,14.0,4.0,219.0,1.0,1.0,1.0,0.0,141.0,12.0,,2.0,,76.0,55.0,8.0,70.0,,16.0,16.0,2.0,4.0,1.0,141.0,3.0,4.0,126.0,687.0,10.0,9.0,22.0,379.0,29.0,,3.0,20.0,2.0,1.0,0.0,1.0,7.0,15.0,474.0,45.0,4.0,57112,11.0,181.0,2.0,12.0,211.0,8.0,4.0,,16.0,5.0,55.0,,6.0,6.0,3.0,4.0,5.0,2.0,1.0,48.0,392.0,7.0,10.0,18.0,80.0,1.0,0.0,2.0,4.0,4.0,3.0,0.0,4.0,2.0,,2.0,59.5,13.0,2.0,3.0,1.0,6.0,3.0,42.0,7.0,1.0,492.0,22.0,,11.0,5.0,9.0,21.0,7.0,302.0,11.0,6.0,20.0,107.0,28.0,3.0,2.0,20.0,15.0,16.0,3.0,17.0,2.0,5.0,7.0,3.0,3.0,,,2.0,,2.0,2.0,,,1.0,3.0,,1.0,,,4.0,,,2.0,1.0,1.0,,1.0,,,,1.0,,,3.0,1.0,3.0,1.0,,,,,1.0,3.0,,,,,,,,,2.0,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,
37,755669,2015-05-17 13:30:00,"Swansea.com Stadium, Swansea",20669,Away,Manchester City,Swansea City,4,2,W,2,1,0,0,3.0,1.0,75.0,4.0,3.0,24.0,14.0,7.0,6.0,,2.0,199.0,,6.0,17.0,4.0,2.0,20.0,11.0,135.0,128.0,59.0,1.0,22.0,7.0,7.0,,4.0,5.0,2.0,21.0,16.0,,14.0,7.0,9.0,22.0,,296.0,1.0,,,0.0,181.0,8.0,,3.0,1.0,85.0,80.0,17.0,75.0,1.0,14.0,22.0,1.0,,3.0,128.0,2.0,7.0,121.0,732.0,12.0,5.0,13.0,439.0,32.0,,3.0,10.0,4.0,,3.0,2.0,3.0,21.0,515.0,65.0,,57112,10.0,161.0,1.0,14.0,178.0,5.0,4.0,1.0,22.0,4.0,49.0,,2.0,2.0,4.0,6.0,6.0,2.0,1.0,45.0,451.0,8.0,14.0,13.0,75.0,,0.0,2.0,11.0,3.0,1.0,0.0,2.0,,,4.0,52.9,17.0,2.0,8.0,1.0,2.0,6.0,56.0,7.0,1.0,530.0,13.0,1.0,15.0,8.0,5.0,17.0,2.0,373.0,12.0,9.0,11.0,144.0,29.0,,4.0,10.0,23.0,17.0,3.0,22.0,4.0,11.0,7.0,,7.0,1.0,3.0,2.0,,6.0,1.0,1.0,,2.0,4.0,1.0,4.0,2.0,,4.0,,1.0,3.0,,,,,,,,,,,2.0,1.0,3.0,1.0,,,,,,2.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,
38,755680,2015-05-24 15:00:00,"Etihad Stadium, Manchester",45919,Home,Manchester City,Southampton,2,0,W,1,0,0,0,,1.0,58.0,1.0,2.0,21.0,29.0,5.0,5.0,1.0,3.0,179.0,,3.0,12.0,2.0,2.0,10.0,6.0,109.0,140.0,53.0,,15.0,10.0,3.0,,1.0,3.0,1.0,20.0,11.0,1.0,29.0,7.0,13.0,21.0,1.0,275.0,1.0,,1.0,0.0,207.0,13.0,,1.0,3.0,84.0,68.0,5.0,68.0,1.0,13.0,11.0,,2.0,4.0,140.0,2.0,8.0,119.0,670.0,8.0,4.0,20.0,376.0,21.0,1.0,6.0,12.0,2.0,,1.0,3.0,5.0,16.0,443.0,56.0,2.0,57112,4.0,115.0,2.0,10.0,130.0,7.0,,,11.0,11.0,60.0,,3.0,4.0,1.0,10.0,5.0,2.0,4.0,61.0,387.0,8.0,19.0,26.0,76.0,2.0,0.0,1.0,4.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,54.5,13.0,,3.0,1.0,4.0,2.0,39.0,8.0,3.0,475.0,20.0,,14.0,15.0,7.0,34.0,3.0,365.0,8.0,12.0,18.0,158.0,25.0,1.0,2.0,12.0,16.0,11.0,3.0,19.0,2.0,4.0,8.0,,4.0,,,2.0,,3.0,,,,,,,3.0,,,2.0,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,
