gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,attMissLeft,ptsGainedLosingPos,attSvLowLeft,secondYellow,attMissHighLeft,accurateFreekickCross,attSetpiece,attMissHigh,punches,goalsConceded,accurateFlickOn,foulThrowIn,effectiveBlockedCross,goalsConcededIbox,errorLeadToGoal,blockedCross,goalsConcededObox,savedObox,attCmissRight,divingSave,attSvHighLeft,attHdPost,sixYardBlock,attFreekickMiss,attLfGoal,attGoalLowCentre,attOboxGoal,interceptionsInBox,attGoalHighLeft,attCmissHighRight,attHdGoal,goalAssistSetplay,goalAssistDeadball,shotFastbreak,attGoalHighRight,attSvHighRight,penaltyWon,totalFastbreak,defenderGoals,attPenGoal,attFastbreak,attCmissLeft,shieldBallOop,attCmissHigh,attGoalLowRight,midfielderGoals,goalFastbreak,attGoalHighCentre,ownGoals,attIboxOwnGoal,attSvHighCentre,attFreekickPost,attOboxPost,attPostHigh,attObxdLeft,attFreekickGoal,attPenPost,attCorner,clearanceOffLine,attPostRight,penaltySave,penaltyConceded,penaltyFaced,attLgRight,ptsDroppedWinningPos,attLgCentre,attPenTarget,attCmissHighLeft,attObxRight
27,919156,2018-02-10 17:30:00,"Etihad Stadium, Manchester",54416,Home,Manchester City,Leicester City,5,1,W,1,1,0,0,,3.0,77.0,1.0,2.0,29.0,13.0,5.0,5.0,14.0,1.0,5.0,198.0,2.0,18.0,5.0,4.0,17.0,1.0,11.0,195.0,144.0,52.0,,19.0,,17.0,4.0,4.0,,2.0,4.0,3.0,18.0,,8.0,2.0,13.0,1.0,13.0,37.0,1.0,381.0,,,0.0,255.0,10.0,3.0,,127.0,115.0,12.0,114.0,1.0,17.0,23.0,5.0,,4.0,2.0,144.0,2.0,,2.0,,198.0,892.0,12.0,5.0,40.0,,,8.0,596.0,23.0,3.0,8.0,4.0,2.0,2.0,,5.0,24.0,680.0,76.0,1.0,,97299,3.0,237.0,,10.0,253.0,9.0,4.0,1.0,23.0,1.0,56.0,2.0,1.0,2.0,5.0,14.0,,1.0,43.0,616.0,12.0,11.0,1.0,5.0,72.0,1.0,0.0,,4.0,2.0,1.0,4.0,0.0,1.0,3.0,2.0,70.5,22.0,2.0,14.0,3.0,2.0,2.0,59.0,8.0,,705.0,8.0,11.0,21.0,6.0,46.0,1.0,4.0,470.0,12.0,11.0,11.0,198.0,34.0,5.0,8.0,11.0,17.0,3.0,25.0,9.0,8.0,1.0,3.0,,2.0,,,,,2.0,,1.0,3.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
28,919164,2018-03-01 19:45:00,"Emirates Stadium, London",58420,Away,Manchester City,Arsenal,3,0,W,3,0,0,0,,2.0,73.0,,1.0,27.0,31.0,2.0,5.0,7.0,5.0,1.0,182.0,,21.0,3.0,1.0,6.0,,5.0,175.0,144.0,52.0,,9.0,2.0,6.0,2.0,2.0,,1.0,3.0,2.0,3.0,,5.0,,31.0,,17.0,29.0,,230.0,,1.0,0.0,115.0,11.0,,,95.0,47.0,5.0,116.0,1.0,3.0,23.0,2.0,,,,144.0,3.0,,5.0,,180.0,859.0,3.0,4.0,15.0,,,15.0,540.0,34.0,,11.0,3.0,2.0,1.0,3.0,1.0,26.0,634.0,43.0,1.0,,97299,2.0,326.0,1.0,3.0,373.0,10.0,,,23.0,5.0,50.0,2.0,1.0,4.0,3.0,17.0,5.0,4.0,51.0,556.0,11.0,9.0,,14.0,73.0,,0.0,,,6.0,2.0,3.0,0.0,,2.0,,54.2,24.0,,6.0,1.0,4.0,3.0,47.0,1.0,,653.0,15.0,17.0,17.0,1.0,12.0,,1.0,283.0,4.0,15.0,9.0,87.0,27.0,2.0,11.0,11.0,8.0,3.0,28.0,9.0,1.0,1.0,,,,,,,,,1.0,,1.0,,4.0,,,4.0,,3.0,1.0,3.0,,,,,3.0,,,,2.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
29,919178,2018-03-04 16:00:00,"Etihad Stadium, Manchester",54328,Home,Manchester City,Chelsea,1,0,W,0,0,0,0,,1.0,65.0,,3.0,30.0,10.0,4.0,9.0,9.0,,1.0,203.0,5.0,20.0,1.0,2.0,13.0,,3.0,307.0,121.0,44.0,,13.0,2.0,8.0,2.0,2.0,,2.0,1.0,1.0,19.0,,8.0,,10.0,4.0,21.0,35.0,,606.0,,1.0,0.0,254.0,8.0,1.0,,216.0,129.0,8.0,146.0,,15.0,17.0,4.0,,4.0,2.0,121.0,1.0,,1.0,,320.0,1134.0,11.0,5.0,29.0,,,8.0,894.0,19.0,1.0,3.0,1.0,2.0,2.0,,5.0,17.0,963.0,100.0,,,97299,3.0,301.0,,10.0,306.0,7.0,,,17.0,3.0,35.0,1.0,2.0,4.0,1.0,15.0,2.0,1.0,46.0,902.0,8.0,8.0,1.0,6.0,93.0,,0.0,,4.0,2.0,,1.0,0.0,4.0,1.0,,71.2,16.0,,7.0,4.0,4.0,5.0,77.0,5.0,,976.0,8.0,10.0,25.0,5.0,23.0,1.0,3.0,689.0,4.0,21.0,5.0,207.0,35.0,1.0,3.0,11.0,11.0,3.0,21.0,6.0,5.0,1.0,,,,,2.0,1.0,2.0,3.0,,,2.0,,2.0,,,2.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,919190,2018-03-12 20:00:00,"bet365 Stadium, Stoke",29138,Away,Manchester City,Stoke City,2,0,W,1,0,0,0,,2.0,59.0,1.0,2.0,35.0,21.0,5.0,10.0,12.0,1.0,2.0,206.0,2.0,10.0,2.0,2.0,15.0,,6.0,243.0,130.0,47.0,,17.0,1.0,13.0,2.0,2.0,,1.0,2.0,1.0,10.0,,11.0,2.0,21.0,1.0,25.0,28.0,1.0,377.0,1.0,1.0,0.0,216.0,8.0,1.0,,115.0,113.0,9.0,137.0,3.0,9.0,17.0,5.0,,1.0,2.0,130.0,3.0,1.0,1.0,,261.0,1006.0,12.0,1.0,33.0,,,4.0,742.0,26.0,1.0,12.0,2.0,1.0,0.0,2.0,6.0,20.0,826.0,59.0,1.0,,97299,4.0,387.0,2.0,7.0,405.0,5.0,,,17.0,4.0,49.0,4.0,4.0,1.0,2.0,9.0,2.0,3.0,60.0,762.0,6.0,9.0,1.0,12.0,96.0,2.0,0.0,,1.0,3.0,,2.0,0.0,1.0,2.0,,77.1,16.0,,8.0,4.0,1.0,3.0,68.0,10.0,,847.0,4.0,12.0,19.0,8.0,28.0,1.0,6.0,452.0,7.0,25.0,16.0,174.0,23.0,,12.0,16.0,12.0,2.0,17.0,4.0,10.0,2.0,3.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,,1.0,,,1.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
31,919198,2018-05-09 20:00:00,"Etihad Stadium, Manchester",54013,Home,Manchester City,Brighton and Hove Albion,3,1,W,2,1,0,0,,1.0,61.0,2.0,3.0,20.0,8.0,7.0,8.0,12.0,2.0,2.0,227.0,4.0,15.0,3.0,4.0,15.0,3.0,7.0,247.0,110.0,58.0,1.0,19.0,1.0,10.0,3.0,,1.0,1.0,2.0,3.0,13.0,,12.0,1.0,8.0,1.0,25.0,26.0,,548.0,,,0.0,292.0,5.0,,1.0,110.0,67.0,11.0,135.0,3.0,12.0,5.0,7.0,1.0,1.0,4.0,110.0,1.0,,4.0,,245.0,1011.0,12.0,4.0,38.0,,1.0,14.0,767.0,17.0,,4.0,3.0,1.0,0.0,,4.0,21.0,836.0,98.0,1.0,,61366,7.0,240.0,,11.0,246.0,2.0,1.0,3.0,5.0,5.0,33.0,1.0,1.0,4.0,2.0,13.0,2.0,5.0,31.0,784.0,7.0,4.0,,2.0,59.0,,0.0,,1.0,3.0,2.0,3.0,0.0,4.0,3.0,1.0,73.8,19.0,1.0,9.0,3.0,4.0,4.0,54.0,4.0,1.0,854.0,14.0,6.0,14.0,8.0,44.0,,3.0,621.0,10.0,24.0,21.0,235.0,30.0,1.0,4.0,14.0,16.0,3.0,23.0,2.0,4.0,2.0,2.0,,1.0,,1.0,,,1.0,,1.0,2.0,,,1.0,,,,,1.0,,,,1.0,,2.0,,,,,,,1.0,,1.0,,,,2.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
32,919207,2018-03-31 17:30:00,"Goodison Park, Liverpool",39221,Away,Manchester City,Everton,3,1,W,3,0,0,0,1.0,2.0,49.0,,4.0,32.0,13.0,7.0,7.0,10.0,1.0,1.0,231.0,2.0,9.0,3.0,,16.0,2.0,4.0,280.0,118.0,37.0,,18.0,2.0,12.0,,1.0,,1.0,3.0,1.0,12.0,,6.0,1.0,13.0,2.0,26.0,29.0,,464.0,,,0.0,260.0,8.0,,1.0,100.0,87.0,9.0,187.0,5.0,10.0,13.0,8.0,,4.0,5.0,118.0,2.0,,4.0,,278.0,1115.0,12.0,3.0,36.0,,,4.0,878.0,26.0,1.0,8.0,3.0,1.0,0.0,,7.0,14.0,947.0,66.0,,,61366,6.0,443.0,,6.0,468.0,5.0,,2.0,13.0,6.0,36.0,5.0,3.0,4.0,3.0,17.0,2.0,5.0,51.0,905.0,10.0,4.0,1.0,4.0,76.0,,0.0,,2.0,2.0,1.0,3.0,0.0,2.0,3.0,1.0,82.0,12.0,,4.0,1.0,4.0,6.0,60.0,11.0,1.0,976.0,4.0,5.0,18.0,8.0,30.0,,3.0,520.0,10.0,25.0,12.0,225.0,14.0,2.0,8.0,8.0,15.0,3.0,17.0,5.0,11.0,,,,,,,,,3.0,,1.0,2.0,,1.0,,,1.0,1.0,,3.0,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,
33,919219,2018-04-07 17:30:00,"Etihad Stadium, Manchester",54259,Home,Manchester City,Manchester United,2,3,L,2,0,0,0,,1.0,54.0,,3.0,24.0,14.0,5.0,7.0,15.0,1.0,,165.0,8.0,11.0,2.0,1.0,17.0,1.0,6.0,152.0,118.0,40.0,1.0,20.0,2.0,10.0,4.0,,2.0,1.0,1.0,3.0,16.0,2.0,6.0,,14.0,8.0,28.0,31.0,,261.0,,,0.0,150.0,17.0,,,105.0,40.0,10.0,117.0,1.0,8.0,19.0,5.0,1.0,3.0,3.0,118.0,5.0,2.0,3.0,,162.0,764.0,13.0,3.0,35.0,2.0,2.0,7.0,499.0,19.0,,7.0,2.0,1.0,6.0,,7.0,23.0,576.0,48.0,5.0,,61366,13.0,263.0,4.0,5.0,281.0,13.0,1.0,1.0,19.0,5.0,54.0,6.0,,7.0,1.0,14.0,2.0,4.0,47.0,516.0,8.0,16.0,2.0,11.0,71.0,,0.0,,,4.0,,2.0,0.0,3.0,2.0,3.0,64.8,18.0,,5.0,1.0,7.0,5.0,48.0,8.0,,596.0,7.0,8.0,19.0,9.0,35.0,5.0,4.0,331.0,10.0,26.0,10.0,112.0,22.0,,7.0,11.0,15.0,3.0,14.0,11.0,8.0,2.0,,,,,3.0,,,3.0,,3.0,1.0,,1.0,3.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,2.0,,,,,3.0,,,,
34,919231,2018-04-14 19:45:00,"Wembley Stadium, London",80811,Away,Manchester City,Tottenham Hotspur,3,1,W,2,1,0,0,,3.0,62.0,,4.0,40.0,31.0,7.0,9.0,10.0,2.0,1.0,169.0,3.0,13.0,3.0,3.0,9.0,,6.0,119.0,137.0,51.0,2.0,17.0,2.0,9.0,2.0,,1.0,1.0,1.0,,12.0,1.0,9.0,1.0,31.0,7.0,14.0,39.0,,142.0,1.0,,0.0,100.0,12.0,,1.0,66.0,47.0,5.0,104.0,1.0,6.0,13.0,7.0,2.0,1.0,4.0,137.0,1.0,1.0,4.0,1.0,119.0,717.0,8.0,4.0,27.0,,1.0,14.0,410.0,27.0,3.0,15.0,1.0,1.0,4.0,4.0,4.0,18.0,487.0,54.0,4.0,1.0,61366,6.0,287.0,1.0,5.0,312.0,5.0,1.0,1.0,13.0,7.0,67.0,5.0,1.0,10.0,1.0,15.0,4.0,4.0,77.0,426.0,11.0,25.0,,18.0,82.0,1.0,0.0,,1.0,5.0,1.0,3.0,0.0,1.0,1.0,,52.0,14.0,,3.0,1.0,10.0,6.0,46.0,7.0,1.0,511.0,14.0,14.0,22.0,5.0,19.0,2.0,,211.0,8.0,12.0,14.0,64.0,21.0,2.0,15.0,14.0,11.0,3.0,21.0,7.0,7.0,2.0,1.0,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,,2.0,,,2.0,1.0,2.0,,,3.0,1.0,,,,,,,,1.0,,,1.0,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
35,919239,2018-04-22 16:30:00,"Etihad Stadium, Manchester",54387,Home,Manchester City,Swansea City,5,0,W,2,0,0,0,,3.0,57.0,1.0,,33.0,8.0,7.0,4.0,12.0,1.0,4.0,259.0,3.0,16.0,5.0,4.0,13.0,,12.0,305.0,118.0,47.0,1.0,19.0,3.0,14.0,5.0,2.0,,,3.0,2.0,19.0,,10.0,2.0,8.0,3.0,13.0,45.0,,577.0,,1.0,0.0,285.0,6.0,,,196.0,87.0,9.0,176.0,1.0,17.0,8.0,7.0,1.0,7.0,1.0,118.0,3.0,,2.0,,275.0,1160.0,10.0,1.0,44.0,1.0,2.0,11.0,928.0,23.0,2.0,6.0,3.0,,0.0,1.0,4.0,10.0,1000.0,92.0,5.0,,61366,4.0,368.0,2.0,10.0,377.0,4.0,3.0,1.0,8.0,4.0,41.0,7.0,4.0,2.0,4.0,13.0,2.0,4.0,51.0,942.0,7.0,10.0,,4.0,69.0,2.0,0.0,,1.0,1.0,,4.0,0.0,3.0,2.0,3.0,82.9,10.0,1.0,7.0,2.0,2.0,3.0,58.0,5.0,,1015.0,11.0,8.0,25.0,4.0,44.0,,3.0,657.0,12.0,12.0,10.0,231.0,25.0,3.0,6.0,14.0,16.0,3.0,19.0,,6.0,2.0,1.0,,2.0,,2.0,,1.0,,,,,,2.0,,,2.0,,1.0,1.0,1.0,1.0,,,,1.0,3.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
36,919252,2018-04-29 14:15:00,"London Stadium, London",56904,Away,Manchester City,West Ham United,4,1,W,2,1,0,0,1.0,1.0,70.0,1.0,1.0,29.0,14.0,9.0,7.0,10.0,,4.0,222.0,3.0,13.0,4.0,2.0,16.0,,8.0,249.0,123.0,44.0,1.0,19.0,3.0,5.0,3.0,1.0,,1.0,3.0,4.0,13.0,,11.0,2.0,14.0,6.0,14.0,24.0,3.0,507.0,,,0.0,252.0,11.0,,,140.0,90.0,8.0,154.0,4.0,7.0,14.0,9.0,1.0,3.0,3.0,123.0,3.0,1.0,3.0,,251.0,1047.0,12.0,2.0,40.0,,,11.0,794.0,29.0,3.0,7.0,3.0,1.0,1.0,1.0,7.0,15.0,862.0,81.0,4.0,,61366,7.0,303.0,2.0,4.0,314.0,7.0,2.0,,14.0,3.0,43.0,9.0,1.0,3.0,3.0,18.0,1.0,3.0,43.0,807.0,4.0,5.0,,12.0,90.0,1.0,0.0,,2.0,,,3.0,0.0,1.0,2.0,,75.4,15.0,,7.0,,3.0,4.0,79.0,7.0,,876.0,11.0,9.0,13.0,7.0,32.0,2.0,4.0,575.0,12.0,13.0,12.0,208.0,31.0,2.0,7.0,15.0,18.0,3.0,27.0,10.0,7.0,1.0,3.0,,,,,,,,,1.0,,,2.0,,,2.0,1.0,,2.0,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
37,919259,2018-05-06 13:30:00,"Etihad Stadium, Manchester",54350,Home,Manchester City,Huddersfield Town,0,0,D,0,0,0,0,,,53.0,,1.0,42.0,9.0,5.0,6.0,9.0,3.0,,177.0,7.0,7.0,,2.0,12.0,,2.0,229.0,153.0,40.0,,15.0,2.0,20.0,2.0,1.0,,,,1.0,37.0,,12.0,,9.0,9.0,17.0,29.0,,470.0,1.0,1.0,0.0,310.0,9.0,2.0,1.0,109.0,123.0,4.0,106.0,3.0,29.0,19.0,6.0,,13.0,4.0,153.0,,,2.0,,208.0,916.0,10.0,3.0,31.0,,,10.0,621.0,22.0,2.0,3.0,,,0.0,,8.0,37.0,711.0,83.0,,1.0,97299,5.0,167.0,,14.0,186.0,7.0,,2.0,19.0,3.0,49.0,1.0,1.0,7.0,,11.0,3.0,3.0,59.0,630.0,4.0,3.0,2.0,9.0,49.0,1.0,0.0,,2.0,1.0,1.0,,0.0,5.0,,3.0,79.2,37.0,3.0,5.0,2.0,8.0,3.0,42.0,10.0,1.0,720.0,10.0,12.0,12.0,10.0,62.0,3.0,6.0,571.0,6.0,16.0,15.0,250.0,18.0,,3.0,14.0,9.0,3.0,13.0,8.0,10.0,2.0,2.0,,,,1.0,1.0,1.0,3.0,,,1.0,,2.0,,,2.0,,2.0,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
38,919269,2018-05-13 15:00:00,"St. Mary's Stadium, Southampton",31882,Away,Manchester City,Southampton,1,0,W,0,0,0,0,3.0,1.0,54.0,,3.0,27.0,21.0,7.0,7.0,6.0,2.0,,163.0,2.0,14.0,1.0,2.0,7.0,1.0,2.0,166.0,144.0,53.0,1.0,13.0,3.0,17.0,1.0,,,,1.0,,27.0,,9.0,,21.0,6.0,7.0,34.0,,340.0,,1.0,0.0,208.0,10.0,1.0,1.0,121.0,65.0,4.0,78.0,2.0,21.0,18.0,7.0,1.0,6.0,4.0,144.0,1.0,,7.0,,176.0,782.0,5.0,3.0,28.0,1.0,1.0,4.0,487.0,27.0,3.0,10.0,1.0,,2.0,1.0,3.0,20.0,561.0,65.0,1.0,1.0,97299,5.0,168.0,,14.0,191.0,4.0,1.0,2.0,18.0,5.0,55.0,3.0,2.0,8.0,1.0,10.0,1.0,3.0,41.0,506.0,8.0,8.0,1.0,10.0,44.0,,0.0,,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,69.7,18.0,,1.0,1.0,10.0,6.0,32.0,12.0,1.0,583.0,4.0,10.0,20.0,5.0,46.0,1.0,1.0,419.0,5.0,5.0,18.0,167.0,16.0,,10.0,13.0,6.0,3.0,28.0,10.0,12.0,,1.0,,,,,,,2.0,,,,,,,,,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,
